gene_id	TCGA-55-6985-01A-11R-1949-07	gene_id	TCGA-55-6985-11A-01R-1949-07
?|100133144	7.5075	?|100133144	19.5628
?|100134869	15.6269	?|100134869	17.8535
?|10357	86.1493	?|10357	72.8436
?|10431	852.2388	?|10431	609.6889
?|155060	121.6418	?|155060	160.6932
?|390284	6.7164	removed	removed
?|57714	908.2090	?|57714	632.5325
?|645851	7.4627	?|645851	8.6648
removed	removed	?|652919	31.9063
?|653553	446.2687	?|653553	265.8527
?|728603	7.4328	removed	removed
?|729884	178.3582	?|729884	9.0587
?|8225	705.9701	?|8225	614.8090
?|90288	193.2836	?|90288	102.0087
A1BG	242.1940	A1BG	115.1438
A2BP1	8.2090	removed	removed
A2LD1	79.9254	A2LD1	69.6180
A2M	17508.8284	A2M	97341.9850
A4GALT	558.9552	A4GALT	389.1296
removed	removed	A4GNT	7.8771
AAAS	411.9403	AAAS	533.2808
removed	removed	AACSL	6.3017
AACS	737.3134	AACS	511.6187
AADAC	18.6567	AADAC	148.4837
AADAT	82.8358	AADAT	117.7629
AAGAB	740.2985	AAGAB	754.6278
AAK1	877.6119	AAK1	1163.0563
AAMP	2909.7015	AAMP	1776.2899
AARS2	508.7910	AARS2	338.7121
AARSD1	349.2537	AARSD1	315.8724
AARS	3350.7463	AARS	2495.0768
AASDHPPT	1176.8657	AASDHPPT	749.5077
AASDH	257.4627	AASDH	318.6294
AASS	905.2239	AASS	945.6479
AATF	1301.4925	AATF	1002.7570
AATK	101.4925	AATK	619.1296
ABAT	394.7761	ABAT	522.6467
ABCA10	5.9701	ABCA10	112.2489
ABCA11P	61.5149	ABCA11P	92.7452
removed	removed	ABCA12	13.3911
ABCA13	1552.9851	ABCA13	265.0650
ABCA1	1661.1642	ABCA1	2095.2895
ABCA2	947.0149	ABCA2	780.6223
ABCA3	3559.7015	ABCA3	14498.6215
ABCA4	261.9403	ABCA4	29.9330
ABCA5	350.0000	ABCA5	488.3813
ABCA6	55.9701	ABCA6	602.9933
ABCA7	472.3881	ABCA7	544.7026
ABCA8	102.2388	ABCA8	1588.8145
ABCA9	29.1045	ABCA9	276.0929
ABCB10	438.8060	ABCB10	492.3198
ABCB11	8.9552	removed	removed
ABCB1	76.8657	ABCB1	116.5813
ABCB4	50.7463	ABCB4	11.8157
ABCB6	475.0821	ABCB6	360.9098
ABCB7	252.2388	ABCB7	422.2135
ABCB8	580.5970	ABCB8	575.0295
ABCB9	143.8582	ABCB9	82.1859
ABCC10	826.8657	ABCC10	515.5573
removed	removed	ABCC13	35.4470
ABCC1	1714.9254	ABCC1	1595.5100
ABCC2	8.9552	ABCC2	15.7542
ABCC3	3537.3134	ABCC3	1233.1627
ABCC4	622.3881	ABCC4	1251.2800
ABCC5	867.1642	ABCC5	776.2899
