gene_id	TCGA-44-2665-01A-01R-0946-07	gene_id	TCGA-44-2665-11A-01R-1758-07
?|100133144	13.3444	removed	removed
?|100134869	18.4393	?|100134869	16.9965
?|10357	89.0323	?|10357	117.6237
?|10431	965.8444	?|10431	622.2997
?|155060	218.6907	?|155060	69.3380
?|390284	11.8596	removed	removed
?|57714	338.2353	?|57714	420.5575
?|645851	16.6034	removed	removed
?|652919	8.5863	?|652919	11.8467
?|653553	386.1480	?|653553	271.0801
?|729884	341.5560	removed	removed
?|8225	456.8311	?|8225	676.6551
removed	removed	?|90288	16.7247
A1BG	124.1888	A1BG	103.7700
A2LD1	97.8748	A2LD1	81.6237
A2M	9333.4725	A2M	113644.1812
A4GALT	339.6584	A4GALT	643.2056
AAAS	600.5693	AAAS	571.0801
AACSL	8.5389	removed	removed
AACS	1035.5787	AACS	521.6028
removed	removed	AADAC	297.5610
AADAT	116.2239	AADAT	94.0767
AAGAB	970.5882	AAGAB	678.3972
AAK1	485.2941	AAK1	980.4878
AAMP	1508.0645	AAMP	2037.2822
AARS2	270.3843	AARS2	337.6272
AARSD1	363.8520	AARSD1	366.5505
AARS	4711.1006	AARS	2737.9791
AASDHPPT	943.9658	AASDHPPT	562.7178
AASDH	282.7324	AASDH	177.3519
AASS	612.4288	AASS	664.1115
AATF	1016.6034	AATF	1037.2822
AATK	24.6679	AATK	1007.5854
ABAT	287.0019	ABAT	316.3763
ABCA10	7.5901	ABCA10	17.0732
ABCA11P	104.0702	ABCA11P	60.5575
ABCA12	182.6376	removed	removed
ABCA13	129.5066	ABCA13	30.6620
ABCA17P	5.6926	ABCA17P	5.5749
ABCA1	1459.1793	ABCA1	1836.5749
ABCA2	842.9791	ABCA2	1102.0906
ABCA3	2904.6490	ABCA3	35417.7700
ABCA4	11.8596	ABCA4	16.0279
ABCA5	125.2372	ABCA5	208.0139
ABCA6	360.0569	ABCA6	220.9059
ABCA7	342.0304	ABCA7	478.7456
ABCA8	63.0930	ABCA8	980.4878
ABCA9	33.2068	ABCA9	95.4704
ABCB10	486.7173	ABCB10	486.7596
ABCB1	20.8729	ABCB1	125.0871
ABCB4	43.6433	removed	removed
removed	removed	ABCB5	5.2265
ABCB6	341.0389	ABCB6	221.4042
ABCB7	350.5693	ABCB7	352.9617
ABCB8	594.4023	ABCB8	795.1220
ABCB9	315.8017	ABCB9	90.2648
ABCC10	495.7306	ABCC10	481.1847
ABCC11	6.6414	removed	removed
removed	removed	ABCC13	14.9826
ABCC1	1518.9753	ABCC1	1967.5958
ABCC2	17.0778	removed	removed
ABCC3	3629.9810	ABCC3	955.7491
ABCC4	387.5712	ABCC4	1196.5157
ABCC5	768.0266	ABCC5	517.4216
ABCC6P1	51.7078	ABCC6P1	26.4808
ABCC6P2	239.5636	ABCC6P2	79.4425
ABCC6	388.5199	ABCC6	968.2927
removed	removed	ABCC8	18.1185
ABCC9	207.7799	ABCC9	673.1707
ABCD1	281.3093	ABCD1	566.5505
ABCD2	18.0266	removed	removed
ABCD3	642.7894	ABCD3	1374.2160
ABCD4	683.1120	ABCD4	676.6551
ABCE1	1805.0285	ABCE1	967.5958
ABCF1	1033.6812	ABCF1	1658.5366
ABCF2	1077.7989	ABCF2	1000.6969
