gene_id	TCGA-44-2657-01A-01R-1107-07	gene_id	TCGA-44-2657-11A-01R-1758-07
?|100133144	11.9128	removed	removed
?|100134869	13.5906	?|100134869	5.9363
?|10357	151.0403	?|10357	153.8304
?|10431	576.5101	?|10431	579.3967
?|155060	213.4228	?|155060	79.6813
?|390284	9.3960	?|390284	7.9681
removed	removed	?|553137	18.2129
?|57714	555.0336	?|57714	373.9328
?|645851	14.7651	removed	removed
?|652919	7.3423	removed	removed
?|653553	252.3490	?|653553	218.5544
?|729884	26.8456	?|729884	5.6915
?|8225	551.0067	?|8225	683.5515
?|90288	23.4899	?|90288	61.4684
A1BG	312.4899	A1BG	138.7365
A2LD1	60.0738	A2LD1	68.1047
A2ML1	12.0805	A2ML1	50.0854
A2M	47573.8121	A2M	68335.7314
A4GALT	348.3221	A4GALT	500.8537
AAAS	628.8591	AAAS	608.9926
removed	removed	AACSL	13.0905
AACS	422.8188	AACS	581.6733
AADAC	181.8792	AADAC	457.0290
AADAT	102.0134	AADAT	127.4900
AAGAB	743.6242	AAGAB	759.2487
AAK1	717.4497	AAK1	803.0734
AAMP	2654.3624	AAMP	2241.8896
AARS2	495.3020	AARS2	403.5231
AARSD1	367.7852	AARSD1	359.1349
AARS	3263.0872	AARS	2611.8384
AASDHPPT	888.5906	AASDHPPT	636.3119
AASDH	348.9933	AASDH	266.9323
AASS	277.1812	AASS	281.7302
AATF	704.6980	AATF	1128.6283
AATK	131.5436	AATK	783.1531
ABAT	757.0470	ABAT	350.5976
ABCA10	14.7651	ABCA10	12.5213
ABCA11P	97.2416	ABCA11P	75.7029
ABCA12	79.8658	ABCA12	13.0905
ABCA13	51.0067	ABCA13	48.3779
ABCA17P	26.1745	ABCA17P	6.2607
ABCA1	1110.0537	ABCA1	1554.3369
ABCA2	916.1074	ABCA2	947.0689
ABCA3	1785.2349	ABCA3	34482.6409
ABCA4	53.0201	ABCA4	14.7980
ABCA5	329.5302	ABCA5	214.5703
ABCA6	171.8121	ABCA6	233.9215
ABCA7	746.9799	ABCA7	508.8219
ABCA8	263.7584	ABCA8	817.3022
ABCA9	84.5638	ABCA9	64.8833
ABCB10	408.0537	ABCB10	393.2840
removed	removed	ABCB1	92.7718
ABCB4	31.5436	ABCB4	51.7928
ABCB6	393.7919	ABCB6	240.4439
removed	removed	ABCB7	393.2840
ABCB8	889.9329	ABCB8	699.4878
removed	removed	ABCB9	122.6067
ABCC10	598.6577	ABCC10	512.2368
ABCC12	9.3960	removed	removed
ABCC13	6.7114	ABCC13	11.3830
ABCC1	1230.8725	ABCC1	1575.9818
ABCC2	9.3960	ABCC2	6.2607
ABCC3	3851.0067	ABCC3	772.9084
ABCC4	950.3356	ABCC4	1013.0905
ABCC5	902.0134	ABCC5	537.2795
ABCC6P1	65.1007	ABCC6P1	48.9471
ABCC6P2	110.0671	ABCC6P2	59.7610
ABCC6	453.6913	ABCC6	616.9607
removed	removed	ABCC8	19.9203
ABCC9	367.7852	ABCC9	397.2681
ABCD1	506.0403	ABCD1	474.1036
ABCD2	79.1946	ABCD2	39.2715
ABCD3	1237.5839	ABCD3	1338.6454
ABCD4	793.9597	ABCD4	694.9345
ABCE1	1273.1544	ABCE1	935.1167
ABCF1	1912.7517	ABCF1	1655.6631
ABCF2	1260.4027	ABCF2	1164.4849
ABCF3	922.8188	ABCF3	1048.9471
ABCG1	1166.4430	ABCG1	2192.3734
ABCG2	75.1678	ABCG2	272.6238
removed	removed	ABCG4	5.1224
ABHD10	648.9933	ABHD10	566.3062
ABHD11	813.4228	ABHD11	350.0285
ABHD12B	6.0403	removed	removed
ABHD12	1853.0201	ABHD12	1254.4109
ABHD13	661.7450	ABHD13	532.1571
ABHD14A	415.5973	ABHD14A	453.0848
ABHD14B	2032.8859	ABHD14B	2394.9915
ABHD15	453.0201	ABHD15	492.3164
ABHD1	22.1477	removed	removed
ABHD2	3223.4899	ABHD2	5979.5105
ABHD3	569.1275	ABHD3	373.3637
ABHD4	996.6443	ABHD4	1020.4895
ABHD5	385.2349	ABHD5	732.4986
ABHD6	173.1544	ABHD6	303.3580
ABHD8	653.0201	ABHD8	507.6836
ABI1	1456.9530	ABI1	1338.4804
ABI2	955.0336	ABI2	1026.7501
ABI3BP	1189.2617	ABI3BP	2223.6767
ABI3	565.7718	ABI3	714.8549
ABL1	1475.1678	ABL1	1778.0307
ABL2	333.5570	ABL2	430.2789
removed	removed	ABLIM1	4791.6904
ABLIM2	110.0671	ABLIM2	74.5589
ABLIM3	251.0067	ABLIM3	867.3876
ABO	229.5302	ABO	179.8520
ABP1	1285.9060	ABP1	72.2823
ABR	1906.0403	ABR	2983.4946
ABT1	1018.1208	ABT1	777.4616
ABTB1	571.1409	ABTB1	992.6010
ABTB2	210.0671	ABTB2	224.2459
ACAA1	1084.5638	ACAA1	1601.0245
ACAA2	1176.5101	ACAA2	1877.0632
ACACA	726.1745	ACACA	1868.5259
ACACB	191.9463	ACACB	396.6989
ACAD10	289.9329	ACAD10	508.2527
ACAD11	281.8792	ACAD11	240.7001
ACAD8	1614.7651	ACAD8	627.2055
ACAD9	591.9463	ACAD9	764.3711
ACADL	10.0671	ACADL	313.6027
ACADM	864.4295	ACADM	890.7228
ACADSB	718.1208	ACADSB	1141.7188
ACADS	459.7315	ACADS	817.3022
ACADVL	4597.3087	ACADVL	4140.5805
ACAN	11.4094	ACAN	11.9522
ACAP1	958.3893	ACAP1	1028.4576
ACAP2	1055.7047	ACAP2	1120.6602
ACAP3	887.2483	ACAP3	364.2573
ACAT1	731.5436	ACAT1	1500.8537
ACAT2	379.9933	ACAT2	542.5270
ACBD3	1545.6376	ACBD3	1169.0381
ACBD4	494.6309	ACBD4	293.1133
ACBD5	501.3423	ACBD5	659.0780
ACBD6	322.1477	ACBD6	314.7410
ACBD7	47.6510	ACBD7	21.0586
removed	removed	ACCN2	27.3193
ACCN3	16.7785	ACCN3	5.1224
ACCN4	5.3691	removed	removed
ACCS	267.1141	ACCS	151.9636
