gene_id	TCGA-55-6982-01A-11R-1949-07	gene_id	TCGA-55-6982-11A-01R-1949-07
?|100133144	9.0251	?|100133144	25.5650
?|100134869	14.0217	?|100134869	13.4876
?|10357	61.2676	?|10357	72.0593
?|10431	801.1062	?|10431	437.5339
?|155060	70.9841	?|155060	167.0584
?|390284	5.5312	removed	removed
?|57714	970.7306	?|57714	1159.2840
?|645851	6.4531	?|645851	12.2943
?|653553	382.5766	?|653553	243.7172
?|729884	274.7177	removed	removed
?|8225	419.4515	?|8225	632.7970
?|90288	24.8905	?|90288	212.6198
A1BG	163.1712	A1BG	92.7138
A2LD1	101.5073	A2LD1	66.6787
A2ML1	7.3750	A2ML1	5.7856
A2M	19518.7370	A2M	105959.5805
A4GALT	503.3418	A4GALT	309.5281
removed	removed	A4GNT	5.7856
removed	removed	AAAS	536.6118
AACS	736.5752	AACS	615.4402
AADAC	12.9062	AADAC	266.1363
AADAT	285.7801	AADAT	130.8986
AAGAB	891.4496	AAGAB	780.3291
AAK1	1092.4176	AAK1	1366.8414
removed	removed	AAMP	1576.5684
AARS2	361.2814	AARS2	395.5813
AARSD1	735.6534	AARSD1	305.1889
AARS	5044.4803	AARS	2492.8584
AASDHPPT	963.3556	AASDHPPT	741.9996
AASDH	153.0307	AASDH	250.9492
AASS	242.4522	AASS	683.4207
AATF	1885.2270	AATF	911.9508
AATK	23.9687	AATK	907.8720
ABAT	152.1088	ABAT	454.8906
ABCA10	6.4531	ABCA10	105.5867
ABCA11P	47.8820	ABCA11P	96.3587
ABCA12	842.5905	removed	removed
ABCA13	125.3745	ABCA13	134.5146
ABCA1	1120.0553	ABCA1	2500.0542
ABCA2	620.4195	ABCA2	1126.0170
ABCA3	2629.1772	ABCA3	9928.7651
ABCA4	124.4526	ABCA4	10.8479
ABCA5	285.7801	ABCA5	462.1226
ABCA6	64.5310	ABCA6	577.8340
ABCA7	669.2786	ABCA7	571.3253
ABCA8	48.8592	ABCA8	1837.6424
