gene_id	TCGA-38-4632-01A-01R-1755-07	gene_id	TCGA-38-4632-11A-01R-1755-07
?|100133144	7.6391	?|100133144	8.2678
removed	removed	?|100134869	9.0772
?|10357	67.0617	?|10357	108.5800
?|10431	1346.5877	?|10431	878.8159
?|155060	49.7037	?|155060	33.7265
?|390284	6.8820	?|390284	16.3814
?|57714	202.6381	?|57714	414.3540
?|645851	6.8820	removed	removed
?|652919	7.6467	removed	removed
?|653553	838.0807	?|653553	149.3602
?|8225	702.7337	?|8225	609.9676
removed	removed	?|90288	21.1995
A1BG	873.6532	A1BG	95.3978
A2LD1	159.9541	A2LD1	154.3228
removed	removed	A2M	63184.0406
A4GALT	412.9230	A4GALT	185.0139
AAAS	650.7360	AAAS	468.3164
AACS	1143.9495	AACS	453.8622
AADAC	22.9402	AADAC	571.4231
AADAT	125.4062	AADAT	131.0515
AAGAB	1299.1780	AAGAB	1065.7570
AAK1	500.0956	AAK1	570.4595
AAMP	2498.9486	AAMP	2004.3170
AARS2	200.3441	AARS2	185.8908
AARSD1	652.2653	AARSD1	386.4092
AARS	3422.6725	AARS	1869.4110
AASDHPPT	975.7217	AASDHPPT	890.3793
AASDH	231.6957	AASDH	282.3389
AASS	109.3481	AASS	553.1144
AATF	1020.0726	AATF	657.1847
AATK	46.6450	AATK	173.4505
ABAT	63.4678	ABAT	473.1344
removed	removed	ABCA10	7.7089
ABCA11P	123.2193	ABCA11P	75.8075
ABCA13	32.1162	ABCA13	49.1443
ABCA1	1526.2856	ABCA1	5122.4946
ABCA2	562.7987	ABCA2	362.3188
ABCA3	4395.3355	ABCA3	23674.0672
ABCA4	2060.7914	ABCA4	14.4542
ABCA5	30.5869	ABCA5	187.9047
ABCA6	50.4684	ABCA6	182.1230
ABCA7	272.2233	ABCA7	207.1770
ABCA8	11.4701	ABCA8	759.3278
ABCA9	6.8820	ABCA9	73.2347
ABCB10	1019.3080	ABCB10	593.5862
ABCB1	12.2348	ABCB1	78.0527
ABCB4	12.2348	ABCB4	6.7453
removed	removed	ABCB5	18.3087
ABCB6	544.3777	ABCB6	1019.5421
ABCB7	384.6301	ABCB7	524.2060
ABCB8	1106.4806	ABCB8	631.1671
ABCB9	246.3085	ABCB9	94.2414
ABCC10	446.5685	ABCC10	306.4292
removed	removed	ABCC13	54.9260
ABCC1	709.6158	ABCC1	2088.1514
ABCC2	8.4114	removed	removed
ABCC3	2721.4682	ABCC3	558.8961
ABCC4	693.5576	ABCC4	714.0379
ABCC5	386.1594	ABCC5	665.8572
ABCC6P1	51.9977	ABCC6P1	44.3262
ABCC6P2	91.7607	ABCC6P2	88.6525
ABCC6	141.4643	ABCC6	407.6087
ABCC9	152.1698	ABCC9	503.9701
ABCD1	368.5720	ABCD1	731.3830
ABCD2	22.1755	ABCD2	32.7629
ABCD3	2307.7805	ABCD3	2168.1314
ABCD4	548.2699	ABCD4	730.4194
ABCE1	2012.6171	ABCE1	1648.7434
ABCF1	1159.2430	ABCF1	1314.3694
ABCF2	1875.7408	ABCF2	996.3768
ABCF3	818.9639	ABCF3	875.9251
ABCG1	529.1531	ABCG1	1669.9430
ABCG2	19.8815	ABCG2	108.8884
removed	removed	ABCG4	22.1631
ABHD10	877.0790	ABHD10	586.8409
ABHD11	1343.5290	ABHD11	336.3013
ABHD12B	5.3527	removed	removed
ABHD12	2138.0233	ABHD12	2166.2041
ABHD13	428.9811	ABHD13	916.3969
ABHD14A	389.2181	ABHD14A	393.6459
ABHD14B	1809.9790	ABHD14B	1595.7447
ABHD15	451.9212	ABHD15	359.4280
ABHD1	11.4701	removed	removed
ABHD2	2405.6586	ABHD2	7359.1196
ABHD3	890.0784	ABHD3	976.1409
ABHD4	950.4875	ABHD4	1565.8726
ABHD5	854.1388	ABHD5	985.7771
ABHD6	187.3447	ABHD6	397.9726
ABHD8	284.4580	ABHD8	364.2461
ABI1	2216.0734	ABI1	2267.2583
ABI2	1280.0612	ABI2	827.7444
ABI3BP	97.8780	ABI3BP	986.7407
ABI3	363.9839	ABI3	368.1005
ABL1	752.4374	ABL1	1554.3093
ABL2	687.4403	ABL2	597.4406
ABLIM1	648.4420	ABLIM1	2384.9445
ABLIM2	38.2336	ABLIM2	36.6173
ABLIM3	363.2193	ABLIM3	678.3842
ABO	18.3521	ABO	57.8168
ABP1	25.9989	ABP1	50.1079
ABR	1409.2908	ABR	2438.9069
ABT1	1215.8287	ABT1	875.9251
ABTB1	482.5081	ABTB1	953.9778
ABTB2	178.9333	ABTB2	66.4894
ACAA1	1107.2453	ACAA1	1959.0271
removed	removed	ACAA2	2232.6935
ACACA	1146.2435	ACACA	1943.6093
ACACB	35.9396	ACACB	146.4693
ACAD10	230.9310	ACAD10	352.6827
ACAD11	123.7622	ACAD11	238.8606
ACAD8	549.0346	ACAD8	379.6639
ACAD9	559.7400	ACAD9	735.2278
ACADL	7.6467	ACADL	532.8785
ACADM	1455.1711	ACADM	2037.0799
ACADSB	1088.8931	ACADSB	2592.1215
ACADS	965.0162	ACADS	619.6038
ACADVL	2816.2875	ACADVL	3614.5159
ACAN	19.8815	ACAN	10.5998
ACAP1	237.8130	ACAP1	196.5772
ACAP2	906.1365	ACAP2	1380.8588
ACAP3	598.8071	ACAP3	185.9775
ACAT1	1418.4668	ACAT1	1897.3558
ACAT2	650.2313	ACAT2	599.7148
ACBD3	2103.6131	ACBD3	1738.3595
ACBD4	165.1692	ACBD4	177.3050
ACBD5	1427.6429	ACBD5	1124.5375
ACBD6	770.0249	ACBD6	440.3716
ACBD7	60.4091	ACBD7	11.5634
ACCN2	26.7635	ACCN2	51.0715
ACCN3	11.4701	removed	removed
ACCS	65.7618	ACCS	151.2874
ACD	368.5720	ACD	211.9951
ACE2	19.1168	ACE2	121.4154
ACER2	50.4684	ACER2	26.9812
ACER3	275.2820	ACER3	572.3867
ACE	584.2095	ACE	2922.6411
ACHE	48.9390	ACHE	19.2723
ACIN1	984.1331	ACIN1	1130.3191
ACLY	4490.1548	ACLY	2196.0762
ACMSD	19.8815	removed	removed
ACN9	958.1342	ACN9	331.4832
ACO1	2209.1378	ACO1	808.4721
ACO2	1761.9117	ACO2	2394.0796
ACOT11	264.7295	ACOT11	132.3524
ACOT13	660.4550	ACOT13	1520.9682
ACOT1	314.2803	ACOT1	1070.5751
ACOT2	246.9891	ACOT2	555.0416
ACOT4	128.4649	ACOT4	144.5421
removed	removed	ACOT6	5.7817
ACOT7	1498.7574	ACOT7	430.7354
ACOT8	525.8727	ACOT8	339.3559
ACOT9	906.9012	ACOT9	855.6892
ACOX1	1692.5024	ACOX1	1617.2236
ACOX2	336.4557	ACOX2	83.8344
ACOX3	207.2262	ACOX3	370.0278
ACOXL	19.8815	ACOXL	106.9611
ACP1	3349.2640	ACP1	2018.7712
ACP2	683.6169	ACP2	2784.8443
ACP5	2988.3387	ACP5	12254.2784
ACP6	302.8102	ACP6	136.8332
ACPL2	266.8706	ACPL2	187.9047
ACPP	64.9971	ACPP	262.1030
ACRBP	53.5271	ACRBP	82.8708
ACRC	24.4695	ACRC	10.5998
ACSBG1	6.8820	ACSBG1	14.4542
ACSF2	864.8442	ACSF2	1116.8286
ACSF3	315.8096	ACSF3	383.5183
ACSL1	1663.1619	ACSL1	6763.6062
ACSL3	1893.3282	ACSL3	2152.7135
ACSL4	4261.5179	ACSL4	4339.1536
ACSL5	3466.2588	ACSL5	2493.8329
removed	removed	ACSL6	7.7089
ACSM1	12.2348	ACSM1	31.7993
ACSM3	418.3368	ACSM3	699.6801
removed	removed	ACSM5	49.1443
ACSS1	134.5823	ACSS1	1124.5375
ACSS2	681.3229	ACSS2	2325.2004
ACSS3	38.2336	ACSS3	753.5461
removed	removed	ACTA1	22.1631
ACTA2	3318.7459	ACTA2	2188.1360
ACTB	164804.4351	ACTB	133705.2883
removed	removed	ACTC1	5.7817
ACTG1	88750.1434	ACTG1	53290.7416
ACTG2	248.5184	ACTG2	440.3716
ACTL6A	2150.2581	ACTL6A	722.7105
ACTN1	2708.4687	ACTN1	2194.1489
removed	removed	ACTN2	26.9812
ACTN4	9695.1864	ACTN4	6827.2144
ACTR10	1261.7090	ACTR10	1338.4598
ACTR1A	3306.4424	ACTR1A	3226.1795
ACTR1B	2436.2455	ACTR1B	1542.7459
ACTR2	7636.7807	ACTR2	9604.3401
ACTR3B	170.5219	ACTR3B	75.1619
ACTR3C	70.3498	ACTR3C	69.3802
ACTR3	8487.8608	ACTR3	7376.4647
removed	removed	ACTR5	105.9975
ACTR6	458.8033	ACTR6	695.7293
ACTR8	414.4523	ACTR8	360.3916
ACVR1B	751.6727	ACVR1B	625.3854
ACVR1C	48.1743	ACVR1C	18.3087
ACVR1	1412.3495	ACVR1	883.6340
ACVR2A	113.9361	ACVR2A	247.6488
ACVR2B	172.0512	ACVR2B	104.0703
ACVRL1	444.2745	ACVRL1	2883.1329
ACY1	2203.0205	ACY1	701.9831
ACY3	13.7641	ACY3	5.7817
ACYP1	48.1743	ACYP1	41.4354
ACYP2	87.1726	ACYP2	283.3025
ADAL	68.0558	ADAL	119.4881
ADAM10	1793.9209	ADAM10	1904.1011
ADAM11	6.8820	removed	removed
ADAM12	344.8671	ADAM12	24.0903
ADAM15	8659.9426	ADAM15	2940.9497
ADAM17	1027.7194	ADAM17	1001.1949
ADAM19	857.1975	ADAM19	321.8471
ADAM22	64.2325	ADAM22	8.6725
ADAM23	6.8820	removed	removed
ADAM28	69.5852	ADAM28	99.2522
removed	removed	ADAM33	19.2723
ADAM6	26546.7176	ADAM6	24152.0486
ADAM8	2219.8432	ADAM8	403.7542
ADAM9	3184.0948	ADAM9	6127.6210
ADAMDEC1	81.8199	ADAMDEC1	344.0102
ADAMTS10	39.7630	ADAMTS10	19.2723
ADAMTS12	128.4649	ADAMTS12	28.9084
ADAMTS13	16.0581	ADAMTS13	18.3087
ADAMTS14	66.5265	ADAMTS14	13.4906
ADAMTS15	103.2307	ADAMTS15	40.4718
ADAMTS17	5.3527	ADAMTS17	40.4718
ADAMTS1	227.8723	ADAMTS1	1531.1825
ADAMTS2	149.1111	ADAMTS2	96.3614
ADAMTS3	22.1755	ADAMTS3	46.2535
ADAMTS4	503.1543	ADAMTS4	738.1283
ADAMTS5	103.9954	ADAMTS5	33.7265
ADAMTS6	13.7641	ADAMTS6	7.7089
ADAMTS7	63.4678	ADAMTS7	66.4894
ADAMTS8	6.1174	ADAMTS8	814.2538
ADAMTS9	541.3879	ADAMTS9	311.2473
ADAMTSL1	14.5288	ADAMTSL1	12.5270
ADAMTSL2	139.9350	ADAMTSL2	359.4280
removed	removed	ADAMTSL3	344.9738
ADAMTSL4	366.2780	ADAMTSL4	668.7481
ADAMTSL5	64.9971	ADAMTSL5	18.3087
ADAP1	743.1696	ADAP1	404.6600
ADAP2	659.1474	ADAP2	1274.8612
ADARB1	115.4655	ADARB1	476.0253
removed	removed	ADARB2	8.6725
ADAR	5283.1199	ADAR	6182.5470
ADAT1	279.1053	ADAT1	246.6852
ADAT2	77.9966	ADAT2	67.4530
ADAT3	45.8803	ADAT3	52.9988
ADA	360.1606	ADA	309.3201
ADCK1	83.3493	ADCK1	177.3050
ADCK2	823.5519	ADCK2	839.3077
ADCK4	1538.5204	ADCK4	419.1721
ADCK5	313.5156	ADCK5	34.6901
ADCY1	12.9994	ADCY1	19.2723
ADCY3	604.2669	ADCY3	887.8835
ADCY4	35.1749	ADCY4	212.9587
ADCY5	18.3521	ADCY5	18.3087
ADCY6	563.5634	ADCY6	600.3315
ADCY7	925.2533	ADCY7	1646.8162
removed	removed	ADCY8	51.0715
ADCY9	587.2682	ADCY9	828.7080
removed	removed	ADCYAP1	5.7817
ADC	191.9327	ADC	64.5621
ADD1	2041.6746	ADD1	4366.1348
removed	removed	ADD2	5.7817
ADD3	2017.9698	ADD3	2468.7789
removed	removed	ADH1A	41.4354
ADH1B	83.3493	ADH1B	6851.2951
ADH1C	35.9396	ADH1C	121.4154
ADH5	5295.3546	ADH5	3939.2538
ADH6	26.7635	ADH6	8.6725
ADHFE1	26.7635	ADHFE1	122.3790
ADI1	3783.5978	ADI1	5456.9457
ADIPOR1	4849.5508	ADIPOR1	5364.4388
ADIPOR2	1316.7654	ADIPOR2	1800.9944
ADK	2073.0262	ADK	1072.5023
ADM2	246.9891	ADM2	13.4906
ADM	133.0530	ADM	1497.4561
ADNP2	501.6249	ADNP2	621.5310
ADNP	1325.9415	ADNP	1135.1372
ADORA1	1015.4846	ADORA1	17.3451
ADORA2A	239.3424	ADORA2A	251.5032
ADORA2B	336.4557	ADORA2B	314.1381
ADORA3	159.8165	ADORA3	1104.3016
ADO	666.7941	ADO	688.0204
ADPGK	2062.4508	ADPGK	2316.4026
ADPRHL1	93.2900	ADPRHL1	31.7993
ADPRHL2	876.3143	ADPRHL2	945.3053
ADPRH	140.6997	ADPRH	833.5261
removed	removed	ADRA1A	19.2723
ADRA1B	183.5213	ADRA1B	24.0903
removed	removed	ADRA1D	17.3451
ADRA2A	35.1749	ADRA2A	165.7416
ADRA2B	6.8820	ADRA2B	11.5634
removed	removed	ADRA2C	30.8356
ADRB1	50.4684	ADRB1	260.1758
ADRB2	132.2883	ADRB2	279.4480
ADRB3	8.4114	ADRB3	16.3814
ADRBK1	3519.7859	ADRBK1	2121.8779
ADRBK2	235.5190	ADRBK2	1005.0493
ADRM1	2363.6016	ADRM1	1727.7598
ADSL	2538.7115	ADSL	1181.3907
ADSSL1	66.5265	ADSSL1	92.5069
ADSS	1724.3357	ADSS	1136.1008
AEBP1	3193.2709	AEBP1	2421.5618
removed	removed	AEBP2	558.8961
AEN	718.7918	AEN	496.2612
AES	5740.3938	AES	7677.1122
AFAP1L1	101.7014	AFAP1L1	447.1169
AFAP1L2	1196.7119	AFAP1L2	134.9060
AFAP1	751.1222	AFAP1	319.9006
AFF1	753.9667	AFF1	1436.7484
removed	removed	AFF2	165.7416
AFF3	25.9989	AFF3	406.6451
AFF4	1374.1158	AFF4	2011.0623
AFG3L1	75.7025	AFG3L1	83.8344
AFG3L2	565.0162	AFG3L2	1320.3342
AFMID	818.1992	AFMID	382.5547
AFTPH	944.3701	AFTPH	1032.0305
AG2	913.0185	AG2	1577.4360
AGAP11	13.7641	AGAP11	10.5998
AGAP1	662.9708	AGAP1	185.9775
AGAP2	88.8243	AGAP2	127.3512
removed	removed	AGAP3	1574.5452
AGAP4	79.5259	AGAP4	53.9624
AGAP5	19.8815	AGAP5	9.6361
AGAP6	37.4689	AGAP6	44.3262
AGA	773.8482	AGA	686.0931
removed	removed	AGBL1	33.7265
AGBL2	6.8820	AGBL2	8.6725
AGBL3	8.4114	AGBL3	5.7817
removed	removed	AGBL4	8.6725
AGBL5	822.7949	AGBL5	509.7518
AGER	314.2803	AGER	16511.5248
AGFG1	2086.0256	AGFG1	1694.0333
AGFG2	247.7538	AGFG2	448.0805
AGGF1	460.3326	AGGF1	825.8171
AGK	714.9685	AGK	468.3164
AGL	848.7861	AGL	481.8070
AGMAT	116.2302	AGMAT	14.4542
AGPAT1	1904.3701	AGPAT1	1731.7106
AGPAT2	3267.4441	AGPAT2	2898.5507
AGPAT3	1686.8668	AGPAT3	2575.7401
AGPAT4	36.7043	AGPAT4	231.2673
AGPAT5	1130.9501	AGPAT5	589.7317
AGPAT6	894.6664	AGPAT6	1114.9013
AGPAT9	257.6945	AGPAT9	447.1169
AGPHD1	50.4684	AGPHD1	33.7265
AGPS	1393.2327	AGPS	1906.0284
AGR2	8013.7641	AGR2	2925.5319
AGR3	362.4546	AGR3	3574.0441
AGRN	4959.6635	AGRN	2666.3198
AGTPBP1	401.4529	AGTPBP1	673.5661
AGTR1	6.1174	AGTR1	226.4493
AGTR2	19.1168	AGTR2	1001.1949
AGTRAP	1601.9881	AGTRAP	1341.3506
AGT	4295.9281	AGT	37.5809
AGXT2L2	414.5517	AGXT2L2	564.8030
AHCTF1	964.2516	AHCTF1	616.7129
AHCYL1	3985.4712	AHCYL1	3588.4983
AHCYL2	8454.2153	AHCYL2	5077.2818
AHCY	8448.0979	AHCY	3919.0179
AHDC1	365.5133	AHDC1	267.8847
AHI1	204.1675	AHI1	206.2134
AHNAK2	1201.2999	AHNAK2	158.9963
AHNAK	1866.5647	AHNAK	12644.5421
AHRR	20.6461	AHRR	53.9624
AHR	4838.8453	AHR	3725.3315
AHSA1	1513.2862	AHSA1	1429.0395
AHSA2	116.9948	AHSA2	79.9800
removed	removed	AHSP	16.3814
AICDA	7.6467	removed	removed
AIDA	1047.6314	AIDA	1114.9881
AIF1L	486.3315	AIF1L	813.2902
AIF1	1164.5957	AIF1	2629.7024
AIFM1	609.4437	AIFM1	902.9063
AIFM2	373.1600	AIFM2	831.5988
AIFM3	24.4695	AIFM3	15.8611
AIG1	1012.4259	AIG1	712.1107
AIM1L	42.0570	removed	removed
AIM1	955.0755	AIM1	919.2877
AIM2	690.4989	AIM2	103.1067
AIMP1	1112.0703	AIMP1	1109.1196
AIMP2	616.2799	AIMP2	400.3912
AIP	3207.0350	AIP	1438.6756
AK1	1175.3011	AK1	3758.0944
AK2	5419.9962	AK2	2597.9032
AK3L1	46.6450	AK3L1	36.6173
AK3	1766.3927	AK3	2438.9069
AK7	33.6456	AK7	82.8708
AKAP10	315.0449	AKAP10	437.4807
AKAP11	448.0979	AKAP11	1263.2979
AKAP12	298.2221	AKAP12	1122.6102
AKAP13	1377.9392	AKAP13	5479.1088
AKAP14	17.5875	AKAP14	13.4906
AKAP1	994.8385	AKAP1	1003.1221
AKAP2	200.1529	AKAP2	1976.1795
AKAP3	12.2348	AKAP3	29.8720
AKAP5	90.9960	AKAP5	65.5257
AKAP6	315.0449	AKAP6	105.0339
AKAP7	57.3504	AKAP7	259.2121
AKAP8L	376.2187	AKAP8L	339.1921
AKAP8	376.2187	AKAP8	465.4255
AKAP9	617.0904	AKAP9	769.9275
removed	removed	AKD1	59.7441
AKIRIN1	1176.0658	AKIRIN1	1537.9278
AKIRIN2	801.3764	AKIRIN2	1067.6842
AKNA	759.3194	AKNA	1086.9565
AKR1A1	3545.0201	AKR1A1	3560.5535
AKR1B1	4325.7503	AKR1B1	2229.8027
AKR1C1	227.8723	AKR1C1	1138.9917
AKR1C2	49.7037	AKR1C2	315.1018
AKR1C3	237.8130	AKR1C3	1270.0432
AKR1E2	92.5253	AKR1E2	11.5634
AKR7A2	1121.7740	AKR7A2	1084.0657
AKR7A3	33.6456	removed	removed
AKR7L	12.2348	removed	removed
AKT1S1	774.6129	AKT1S1	976.1409
AKT1	2277.1937	AKT1	4279.4095
AKT2	5333.5882	AKT2	1935.9004
AKT3	119.2889	AKT3	318.9562
AKTIP	719.3271	AKTIP	560.3608
ALAD	724.9092	ALAD	1136.1008
ALAS1	1556.8725	ALAS1	1195.8449
ALAS2	12.2348	ALAS2	367.1369
ALCAM	3743.8348	ALCAM	3422.7567
ALDH16A1	421.3344	ALDH16A1	884.5976
ALDH18A1	2477.5378	ALDH18A1	715.9652
ALDH1A1	577.3275	ALDH1A1	7826.4724
removed	removed	ALDH1A2	98.2886
ALDH1A3	1230.3575	ALDH1A3	145.7370
ALDH1B1	1117.1860	ALDH1B1	405.6815
ALDH1L1	5.3527	removed	removed
ALDH1L2	523.0357	ALDH1L2	61.6713
ALDH2	4053.5271	ALDH2	6401.2874
ALDH3A1	29.0575	ALDH3A1	373.8822
ALDH3A2	643.0893	ALDH3A2	4758.3256
ALDH3B1	958.8989	ALDH3B1	2263.5291
ALDH3B2	370.8660	ALDH3B2	65.5257
ALDH4A1	334.9264	ALDH4A1	866.2889
ALDH5A1	215.6375	ALDH5A1	710.1835
ALDH6A1	224.2783	ALDH6A1	688.9840
ALDH7A1	1390.1740	ALDH7A1	1317.2603
ALDH9A1	1945.3259	ALDH9A1	3218.4706
ALDOA	28343.3378	ALDOA	19011.1394
ALDOB	9.9407	removed	removed
ALDOC	110.8775	ALDOC	296.7931
ALG10B	357.8666	ALG10B	234.1582
ALG10	219.4609	ALG10	100.2158
removed	removed	ALG11	28.9084
ALG12	682.0876	ALG12	587.8045
ALG13	422.0990	ALG13	475.0617
ALG14	419.0403	ALG14	268.8483
ALG1L	143.8654	ALG1L	10.6576
ALG1	843.8387	ALG1	678.3649
ALG2	841.9040	ALG2	1236.3167
ALG3	1594.3414	ALG3	909.6516
ALG5	1017.0140	ALG5	1141.8825
ALG6	340.2791	ALG6	238.0126
ALG8	730.2619	ALG8	435.5535
ALG9	1353.4697	ALG9	450.9713
ALKBH1	198.0501	ALKBH1	230.3037
ALKBH2	386.9241	ALKBH2	152.2510
