gene_id	TCGA-44-6146-01A-11R-1755-07	gene_id	TCGA-44-6146-11A-01R-1858-07
?|100133144	24.5894	?|100133144	23.2034
?|100134869	17.3782	?|100134869	12.6500
?|10357	60.5009	?|10357	81.5043
?|10431	668.3213	?|10431	426.3445
?|155060	77.6173	?|155060	104.4427
?|390284	8.5740	?|390284	10.9119
?|57714	1073.1047	?|57714	945.4404
?|645851	8.5740	?|645851	6.2354
?|652919	54.6570	removed	removed
?|653553	71.7509	?|653553	222.1356
?|8225	361.9134	?|8225	473.8893
?|90288	46.0289	?|90288	11.6913
A1BG	8.5740	A1BG	28.0592
A2LD1	113.6417	A2LD1	44.4661
A2ML1	53.7004	removed	removed
A2M	20990.9431	A2M	132691.2393
A4GALT	90.2527	A4GALT	462.9774
A4GNT	28.4296	A4GNT	6.2354
AAAS	467.9603	AAAS	460.6391
AACS	2346.5704	AACS	526.1107
AADAC	1902.0758	AADAC	627.4357
AADAT	23.4657	AADAT	113.7958
AAGAB	1538.3574	AAGAB	617.3032
AAK1	1143.0505	AAK1	1151.2081
AAMP	3750.0000	AAMP	1600.9353
AARS2	368.6778	AARS2	321.1146
AARSD1	318.1408	AARSD1	256.4302
AARS	3133.1227	AARS	2030.3975
AASDHPPT	638.9892	AASDHPPT	685.8924
AASDH	261.7329	AASDH	259.5479
AASS	201.2635	AASS	508.1839
AATF	988.2671	AATF	840.9977
AATK	630.8664	AATK	959.0101
ABAT	1162.4549	ABAT	214.3414
ABCA10	17.1480	ABCA10	56.1185
ABCA11P	60.8619	ABCA11P	73.0787
ABCA12	150.7220	removed	removed
ABCA13	36.1011	ABCA13	7.7942
ABCA1	749.0749	ABCA1	3628.1995
ABCA2	1096.5704	ABCA2	978.1761
ABCA3	6490.5235	ABCA3	19639.1270
ABCA4	5.8664	ABCA4	10.1325
ABCA5	587.5451	ABCA5	303.9751
ABCA6	111.0108	ABCA6	423.2268
ABCA7	586.1913	ABCA7	385.0351
ABCA8	171.0289	ABCA8	1874.5129
ABCA9	26.1733	ABCA9	517.5370
ABCB10	588.8989	ABCB10	514.4193
ABCB11	7.2202	removed	removed
ABCB1	10.8303	ABCB1	594.6999
ABCB4	5.8664	ABCB4	5.4560
removed	removed	ABCB5	6.2354
ABCB6	568.3709	ABCB6	168.4178
ABCB7	281.1372	ABCB7	316.4458
ABCB8	490.5235	ABCB8	510.5222
ABCB9	371.7374	ABCB9	73.8348
ABCC10	517.1480	ABCC10	473.8893
ABCC11	8.5740	removed	removed
removed	removed	ABCC13	17.1473
ABCC1	2555.0542	ABCC1	1849.5713
