gene_id	TCGA-55-6983-01A-11R-1949-07	gene_id	TCGA-55-6983-11A-01R-1949-07
removed	removed	?|100133144	17.9705
?|100134869	6.7199	?|100134869	21.0581
?|10357	109.4468	?|10357	89.9740
?|10431	935.4610	?|10431	603.6427
?|155060	77.6596	?|155060	95.4033
?|390284	7.4468	removed	removed
?|57714	376.5957	?|57714	737.2073
?|645851	5.6738	?|645851	9.5403
?|652919	10.1702	?|652919	59.4276
?|653553	291.8440	?|653553	189.9393
?|8225	789.7163	?|8225	502.1683
?|90288	69.1489	?|90288	115.3513
A1BG	64.8333	A1BG	53.7728
A2BP1	264.5390	removed	removed
A2LD1	81.1028	A2LD1	76.1839
A2ML1	8.1560	removed	removed
A2M	21294.6135	A2M	49817.7103
A4GALT	346.0993	A4GALT	211.6219
removed	removed	A4GNT	6.0711
AAAS	548.5816	AAAS	520.3816
AACS	1426.5957	AACS	743.2784
AADAC	51.0638	AADAC	326.1058
AADAT	94.3262	AADAT	148.3088
AAGAB	934.7518	AAGAB	803.1223
AAK1	974.4681	AAK1	1260.1908
AAMP	2241.1348	AAMP	1673.0269
AARS2	332.1418	AARS2	327.7624
AARSD1	508.1560	AARSD1	284.4753
AARS	3650.7092	AARS	2361.6652
AASDHPPT	1026.5957	AASDHPPT	843.8855
AASDH	195.3901	AASDH	274.9350
AASS	429.7872	AASS	1274.0676
AATF	1209.2199	AATF	976.5828
AATK	106.0496	AATK	773.0703
ABAT	545.0355	ABAT	467.4761
removed	removed	ABCA10	27.7537
ABCA11P	68.6277	ABCA11P	98.2394
ABCA12	145.0355	ABCA12	7.8057
ABCA13	226.9504	ABCA13	353.8595
removed	removed	ABCA17P	9.5403
ABCA1	644.6702	ABCA1	2302.6886
ABCA2	1005.6738	ABCA2	697.3114
ABCA3	3121.2766	ABCA3	44667.8231
ABCA4	17.3759	ABCA4	24.2845
ABCA5	181.5603	ABCA5	480.4857
ABCA6	98.9362	ABCA6	151.7780
ABCA7	482.2695	ABCA7	408.4996
ABCA8	170.5674	ABCA8	1032.9575
ABCA9	27.6596	ABCA9	78.0572
ABCB10	498.5816	ABCB10	539.4623
ABCB1	65.2482	ABCB1	98.8725
ABCB4	178.0142	ABCB4	7.8057
ABCB6	1477.6206	ABCB6	117.2767
ABCB7	440.7801	ABCB7	378.1440
ABCB8	646.4539	ABCB8	549.0026
ABCB9	115.7908	ABCB9	103.1743
ABCC10	514.5390	ABCC10	475.2819
removed	removed	ABCC13	19.0807
ABCC1	1256.7376	ABCC1	1607.9792
removed	removed	ABCC2	9.5403
ABCC3	956.0284	ABCC3	896.7910
ABCC4	467.7305	ABCC4	1162.1856
ABCC5	743.6170	ABCC5	538.5950
ABCC6P1	23.0496	ABCC6P1	40.7632
ABCC6P2	32.9787	ABCC6P2	78.0572
ABCC6	159.2199	ABCC6	685.1691
ABCC8	234.3972	ABCC8	7.8057
ABCC9	255.6738	ABCC9	538.5950
ABCD1	420.9220	ABCD1	347.7884
ABCD2	45.7447	ABCD2	29.4883
ABCD3	1829.0780	ABCD3	2097.1379
ABCD4	516.3121	ABCD4	648.7424
ABCE1	1541.4894	ABCE1	1161.3183
ABCF1	1559.2199	ABCF1	1487.4241
ABCF2	1716.3121	ABCF2	1065.0477
ABCF3	843.6170	ABCF3	986.9905
ABCG1	1362.7660	ABCG1	2237.6409
ABCG2	58.1560	ABCG2	310.4944
ABHD10	513.4752	ABHD10	463.1396
ABHD11	583.3333	ABHD11	347.7884
ABHD12B	8.8652	ABHD12B	8.6730
ABHD12	1448.9362	ABHD12	1411.9688
ABHD13	630.1418	ABHD13	806.5915
ABHD14A	509.3511	ABHD14A	342.5846
ABHD14B	1141.4894	ABHD14B	1500.4337
ABHD15	469.1489	ABHD15	405.8977
ABHD1	5.3191	removed	removed
ABHD2	8959.2199	ABHD2	10021.6826
ABHD3	457.8014	ABHD3	470.0781
ABHD4	687.9433	ABHD4	692.9748
ABHD5	569.8582	ABHD5	1509.9740
ABHD6	191.8440	ABHD6	289.6791
ABHD8	424.4681	ABHD8	410.2342
ABI1	1442.5496	ABI1	1432.3330
ABI2	1074.8227	ABI2	1307.8925
ABI3BP	805.6738	ABI3BP	1521.2489
ABI3	439.0071	ABI3	365.1344
ABL1	2357.8014	ABL1	1844.7528
ABL2	1059.5745	ABL2	934.9523
ABLIM1	3562.4113	ABLIM1	5183.8682
ABLIM2	362.7660	ABLIM2	44.2324
ABLIM3	409.5745	ABLIM3	401.5611
ABO	68.0851	ABO	92.8014
ABP1	4616.6667	ABP1	71.1188
ABR	2209.5745	ABR	3720.7285
ABT1	592.9078	ABT1	534.2585
ABTB1	453.9007	ABTB1	803.9896
ABTB2	93.9716	ABTB2	45.9670
ACAA1	1151.7730	ACAA1	1590.6331
ACAA2	1257.4468	ACAA2	1835.2125
ACACA	1129.4326	ACACA	3970.5117
ACACB	182.9787	ACACB	526.4527
ACAD10	348.2270	ACAD10	502.1683
ACAD11	129.4326	ACAD11	320.9020
ACAD8	587.9433	ACAD8	596.7042
ACAD9	478.7092	ACAD9	742.4111
ACADL	35.4610	ACADL	675.6288
ACADM	1101.4184	ACADM	1169.1240
ACADSB	530.4965	ACADSB	1697.3114
ACADS	347.5177	ACADS	575.0217
ACADVL	2991.8333	ACADVL	4408.4822
ACAN	51.0638	removed	removed
ACAP1	471.9858	ACAP1	197.7450
removed	removed	ACAP2	1385.9497
ACAP3	654.6241	ACAP3	348.6557
ACAT1	1640.0709	ACAT1	1645.2732
ACAT2	350.6986	ACAT2	840.1735
ACBD3	2958.5106	ACBD3	1755.4206
ACBD4	161.3475	ACBD4	202.0815
ACBD5	840.4255	ACBD5	966.1752
ACBD6	599.2908	ACBD6	251.5178
ACBD7	43.9716	ACBD7	32.9575
ACCN2	65.6028	ACCN2	23.4172
ACCN3	8.8652	ACCN3	10.4076
ACCS	212.7660	ACCS	386.8170
ACD	316.6667	ACD	197.7450
ACE2	40.0709	ACE2	129.2281
ACER2	57.4468	ACER2	73.7207
ACER3	417.7305	ACER3	790.9801
ACE	857.0922	ACE	2609.7138
ACHE	518.7943	ACHE	45.9670
ACIN1	2752.8369	ACIN1	3310.4944
ACLY	6000.0000	ACLY	2856.8951
ACN9	228.7234	ACN9	104.0763
ACO1	1555.6738	ACO1	2971.3790
ACO2	2445.8582	ACO2	2706.2186
ACOT11	115.4043	ACOT11	58.5603
ACOT13	429.1170	ACOT13	842.4024
ACOT1	486.5248	ACOT1	912.4024
ACOT2	291.8440	ACOT2	464.0069
ACOT4	147.1631	ACOT4	189.0720
ACOT7	604.6099	ACOT7	606.2446
ACOT8	385.2021	ACOT8	333.5646
ACOT9	560.9929	ACOT9	641.8040
ACOX1	1896.2270	ACOX1	2486.5568
ACOX2	245.7447	ACOX2	162.1856
ACOX3	306.3830	ACOX3	346.0538
ACOXL	8.1560	ACOXL	300.9540
ACP1	1678.7234	ACP1	1432.7840
ACP2	1446.4539	ACP2	1556.8083
ACP5	1397.8723	ACP5	8999.1327
ACP6	220.9220	ACP6	175.1951
ACPL2	326.2411	ACPL2	281.8734
ACPP	59.5745	ACPP	320.0347
ACRBP	26.2411	ACRBP	55.5074
ACRC	17.0213	ACRC	28.6210
ACSBG1	48.2270	ACSBG1	78.9245
ACSF2	558.1560	ACSF2	1097.1379
ACSF3	514.8936	ACSF3	392.8881
ACSL1	2112.7660	ACSL1	8516.9124
ACSL3	2048.9362	ACSL3	2307.0252
ACSL4	1880.8511	ACSL4	5992.1943
ACSL5	3244.3262	ACSL5	3287.0772
ACSL6	19.1489	removed	removed
ACSM1	33.6879	ACSM1	52.0382
ACSM3	460.8582	ACSM3	565.3946
removed	removed	ACSM5	22.5499
ACSS1	491.8440	ACSS1	1228.1006
ACSS2	683.3333	ACSS2	2797.9185
ACSS3	87.9433	ACSS3	732.8708
ACTA1	10.6383	removed	removed
ACTA2	8699.1596	ACTA2	1050.5551
ACTB	107348.2270	ACTB	110451.8647
ACTC1	8.5106	removed	removed
ACTG1	87598.7340	ACTG1	52743.2784
