gene_id	TCGA-22-5472-01A-01R-1635-07	gene_id	TCGA-22-5472-11A-11R-1635-07
?|100133144	26.7640	?|100133144	5.6509
?|100134869	13.5558	?|100134869	5.3689
?|10357	120.3823	?|10357	133.0602
?|10431	825.5127	?|10431	531.0006
?|155060	102.5374	?|155060	61.5059
?|390284	6.2565	?|390284	5.3818
?|57714	239.8332	?|57714	1318.5318
?|645851	7.9944	removed	removed
?|652919	7.9805	?|652919	69.9065
?|653553	640.2503	?|653553	158.6339
?|729884	250.9559	?|729884	6.4069
?|8225	396.2461	?|8225	432.5912
?|90288	104.2753	?|90288	83.5455
A1BG	27.7546	A1BG	31.6294
A2LD1	57.7546	A2LD1	62.5079
A2M	34689.5899	A2M	192207.5233
A4GALT	2607.9249	A4GALT	391.5873
removed	removed	A4GNT	5.1255
AAAS	737.9214	AAAS	499.9914
AACS	1003.1283	AACS	707.8299
AADAC	101.1470	AADAC	69.9629
AADAT	60.8273	AADAT	116.3486
AAGAB	1450.8168	AAGAB	806.4955
AAK1	1019.1171	AAK1	1430.0111
AAMP	2514.0772	AAMP	1782.3884
AARS2	436.9065	AARS2	362.1029
AARSD1	325.6865	AARSD1	389.5371
AARS	2400.7647	AARS	3207.0178
AASDHPPT	817.8658	AASDHPPT	663.4944
AASDH	217.2402	AASDH	258.3246
AASS	592.6312	AASS	397.2253
AATF	1082.7251	AATF	1016.8968
AATK	134.1675	AATK	486.4806
ABAT	1164.0598	ABAT	399.0192
ABCA10	12.1655	ABCA10	32.2906
ABCA11P	62.2523	ABCA11P	71.9900
ABCA12	909.2805	ABCA12	25.3712
removed	removed	ABCA13	293.1779
ABCA1	2055.2624	ABCA1	2046.8559
ABCA2	1047.2715	ABCA2	1325.1949
ABCA3	6725.0608	ABCA3	22995.7580
ABCA4	86.2009	ABCA4	63.0435
ABCA5	374.3483	ABCA5	256.2744
ABCA6	42.0577	ABCA6	319.0616
ABCA7	1022.2454	ABCA7	525.8751
ABCA8	156.7605	ABCA8	2297.5000
ABCA9	10.7751	ABCA9	191.9495
ABCB10	385.1234	ABCB10	583.5368
ABCB11	12.1655	removed	removed
ABCB1	22.2454	ABCB1	250.1238
ABCB4	8.3420	ABCB4	11.5323
ABCB5	11.8179	ABCB5	5.8943
ABCB6	861.8005	ABCB6	307.0885
ABCB7	355.9263	ABCB7	370.3165
ABCB8	878.3455	ABCB8	708.5987
ABCB9	163.4724	ABCB9	84.0657
ABCC10	906.4998	ABCC10	550.2211
ABCC13	5.2138	ABCC13	13.5825
ABCC1	3594.0216	ABCC1	2160.9057
ABCC2	6.2565	ABCC2	7.6882
ABCC3	469.2388	ABCC3	1507.6623
ABCC4	230.4484	ABCC4	696.0413
ABCC5	4753.5627	ABCC5	622.2342
removed	removed	ABCC6P1	11.5323
ABCC6P2	29.5447	ABCC6P2	39.4663
ABCC6	133.8200	ABCC6	478.2080
ABCC8	7.6469	ABCC8	16.4016
ABCC9	367.7442	ABCC9	788.5563
ABCD1	313.8686	ABCD1	436.4353
ABCD2	8.3420	ABCD2	43.5666
ABCD3	1506.4303	ABCD3	1623.2420
