gene_id	TCGA-91-6829-01A-21R-1858-07	gene_id	TCGA-91-6829-11A-01R-1858-07
?|100133144	15.9732	?|100133144	17.2733
?|100134869	17.0676	?|100134869	17.4915
?|10357	88.4254	?|10357	87.5937
?|10431	895.1988	?|10431	682.3449
?|155060	55.7563	?|155060	149.2843
?|340602	28.9107	removed	removed
removed	removed	?|390284	6.1350
?|57714	1204.9561	?|57714	905.9305
?|645851	17.5529	?|645851	19.0866
?|652919	99.9226	removed	removed
?|653553	236.9644	?|653553	361.9632
?|8225	258.1311	?|8225	487.3892
removed	removed	?|90288	89.2979
A1BG	79.7212	A1BG	177.9141
A2LD1	56.3913	A2LD1	87.8528
A2M	52799.6386	A2M	42478.9366
A4GALT	319.0501	A4GALT	331.2883
removed	removed	A4GNT	14.9966
AAAS	466.7011	AAAS	728.0164
removed	removed	AACSL	6.8166
AACS	514.7135	AACS	753.9196
removed	removed	AADAC	56.5781
AADAT	110.9964	AADAT	102.2495
AAGAB	588.0227	AAGAB	841.1725
AAK1	1769.7470	AAK1	1465.5760
AAMP	1365.5137	AAMP	1811.8609
AARS2	345.3743	AARS2	336.7416
AARSD1	417.1399	AARSD1	355.8282
AARS	4946.3087	AARS	2848.6708
AASDHPPT	1070.2117	AASDHPPT	693.2515
AASDH	242.6433	AASDH	212.6789
AASS	1390.8105	AASS	519.4274
AATF	1294.7858	AATF	1059.3047
AATK	140.4233	AATK	624.6012
ABAT	718.1208	ABAT	736.1963
ABCA10	10.3252	ABCA10	41.5815
ABCA11P	115.8493	ABCA11P	51.1793
ABCA12	129.5818	ABCA12	28.6299
removed	removed	ABCA13	212.6789
ABCA17P	150.2323	removed	removed
ABCA1	2812.0650	ABCA1	1245.3783
ABCA2	770.7796	ABCA2	751.8746
ABCA3	4044.9148	ABCA3	13573.9605
ABCA4	10.8415	ABCA4	63.3947
ABCA5	139.9071	ABCA5	326.5167
ABCA6	234.3831	ABCA6	131.5610
removed	removed	ABCA7	951.6019
ABCA8	340.2168	ABCA8	466.9393
ABCA9	168.8178	ABCA9	74.9830
removed	removed	ABCB10	543.9673
removed	removed	ABCB1	47.0348
ABCB4	34.5896	ABCB4	6.8166
ABCB6	428.0330	ABCB6	314.9830
ABCB7	418.1724	ABCB7	385.1397
ABCB8	281.3629	ABCB8	813.9059
ABCB9	97.0418	ABCB9	72.6926
ABCC10	526.0712	ABCC10	741.6496
