gene_id	TCGA-49-6745-01A-11R-1858-07	gene_id	TCGA-49-6745-11A-01R-1858-07
?|100134869	5.8968	?|100134869	11.3137
?|10357	103.5823	?|10357	161.4686
?|10431	915.9705	?|10431	926.1993
?|155060	49.1400	?|155060	59.0406
removed	removed	?|390284	11.8081
?|57714	2553.3170	?|57714	261.9926
?|653553	390.1720	?|653553	351.2915
?|729884	2755.7740	removed	removed
?|8225	373.9558	?|8225	735.0554
?|90288	7.8624	?|90288	219.1882
A1BG	24.0786	A1BG	146.8635
A2LD1	162.8256	A2LD1	78.3985
A2M	24111.5381	A2M	46490.7306
A4GALT	278.6241	A4GALT	330.6273
AAAS	471.2531	AAAS	449.4465
AACS	691.4005	AACS	582.2878
removed	removed	AADACL2	7.3801
AADAC	32.9238	AADAC	571.9557
AADAT	124.8157	AADAT	163.8376
AAGAB	1344.4717	AAGAB	1177.1218
AAK1	1194.1032	AAK1	427.3063
AAMP	1853.5627	AAMP	2224.3542
AARS2	309.0909	AARS2	190.3985
AARSD1	445.7002	AARSD1	360.1476
AARS	1339.0663	AARS	1692.9889
AASDHPPT	932.1867	AASDHPPT	867.0111
AASDH	230.4668	AASDH	213.2841
AASS	215.2334	AASS	284.8708
AATF	2189.1892	AATF	768.2657
AATK	40.2948	AATK	337.2694
ABAT	257.4939	ABAT	199.2620
removed	removed	ABCA10	30.9963
ABCA11P	78.9238	ABCA11P	122.4428
ABCA12	1628.0098	removed	removed
ABCA13	71.7445	ABCA13	154.2435
ABCA17P	35.8722	removed	removed
ABCA1	2317.4300	ABCA1	859.7786
ABCA2	716.9533	ABCA2	456.8266
ABCA3	8907.1253	ABCA3	9845.0185
ABCA4	15.2334	ABCA4	11.0701
ABCA5	62.8993	ABCA5	304.0590
ABCA6	98.2801	ABCA6	174.1697
ABCA7	223.5872	ABCA7	216.9742
ABCA8	138.5749	ABCA8	945.3875
ABCA9	37.3464	ABCA9	140.9594
ABCB10	394.1032	ABCB10	652.3985
ABCB1	68.3047	ABCB1	757.9336
ABCB4	8.3538	removed	removed
removed	removed	ABCB5	5.1661
ABCB6	341.3857	ABCB6	235.5203
ABCB7	381.8182	ABCB7	497.4170
ABCB8	781.3268	ABCB8	648.7085
ABCB9	302.5307	ABCB9	50.9815
ABCC10	600.9828	ABCC10	258.3026
removed	removed	ABCC13	16.2362
ABCC1	1870.2703	ABCC1	787.4539
removed	removed	ABCC2	12.5461
ABCC3	3567.5676	ABCC3	340.2214
ABCC4	777.3956	ABCC4	1377.1218
ABCC5	468.7961	ABCC5	484.1328
ABCC6P1	29.4840	ABCC6P1	36.1624
ABCC6P2	40.2948	ABCC6P2	124.7232
ABCC6	335.1351	ABCC6	439.8524
ABCC9	652.5799	ABCC9	482.6568
ABCD1	473.7101	ABCD1	274.5387
removed	removed	ABCD2	73.0627
ABCD3	1371.9902	ABCD3	2241.3284
ABCD4	529.7297	ABCD4	726.9373
ABCE1	2318.9189	ABCE1	1159.4096
ABCF1	1566.0934	ABCF1	998.5240
ABCF2	2131.2039	ABCF2	975.6458
ABCF3	943.9803	ABCF3	857.5646
ABCG1	817.1990	ABCG1	2151.2915
ABCG2	135.6265	ABCG2	457.5646
ABHD10	468.7961	ABHD10	830.2583
ABHD11	1767.0762	ABHD11	532.1033
removed	removed	ABHD12B	12.5461
ABHD12	1288.9435	ABHD12	1073.0627
ABHD13	574.9386	ABHD13	853.1365
ABHD14A	181.2973	ABHD14A	646.4945
ABHD14B	1289.4349	ABHD14B	1796.3100
ABHD15	365.6020	ABHD15	294.4649
ABHD2	5538.5749	ABHD2	3767.5277
ABHD3	384.7666	ABHD3	532.8413
ABHD4	818.1818	ABHD4	633.2103
ABHD5	700.2457	ABHD5	1258.3026
ABHD6	149.8771	ABHD6	500.3690
ABHD8	269.7789	ABHD8	404.4280
ABI1	1721.0123	ABI1	2026.1697
ABI2	1200.9828	ABI2	1546.8635
ABI3BP	532.6781	ABI3BP	2117.3432
ABI3	321.8673	ABI3	442.0664
ABL1	2259.9509	ABL1	1041.3284
ABL2	947.9115	ABL2	303.3210
ABLIM1	5515.9705	ABLIM1	3781.5498
ABLIM2	12.2850	ABLIM2	65.6827
ABLIM3	1101.2285	ABLIM3	849.4465
ABO	17.1990	ABO	50.9225
ABP1	423.0958	ABP1	12.5461
ABR	3516.4619	ABR	1599.2620
ABT1	547.4201	ABT1	1092.9889
ABTB1	286.9779	ABTB1	1021.4022
ABTB2	129.7297	ABTB2	54.6125
ACAA1	1124.8157	ACAA1	1591.8819
ACAA2	1243.7346	ACAA2	3001.4760
ACACA	2782.3096	ACACA	1084.1328
ACACB	118.4275	ACACB	359.4096
ACAD10	408.3538	ACAD10	247.9705
ACAD11	150.8600	ACAD11	346.0517
ACAD8	436.3636	ACAD8	473.0627
ACAD9	1000.0000	ACAD9	735.7417
ACADL	54.5455	ACADL	506.2731
ACADM	752.3342	ACADM	1712.1771
ACADSB	678.6241	ACADSB	1380.0738
ACADS	140.5405	ACADS	957.9336
ACADVL	2675.1843	ACADVL	3398.4723
ACAN	90.9091	removed	removed
ACAP1	206.3882	ACAP1	141.6974
ACAP2	1191.1548	ACAP2	1253.8745
ACAP3	315.0025	ACAP3	241.3284
ACAT1	1101.2285	ACAT1	2199.2620
ACAT2	295.4496	ACAT2	1018.0590
ACBD3	1644.2260	ACBD3	1604.4280
ACBD4	145.4545	ACBD4	337.2694
ACBD5	691.8919	ACBD5	1101.8450
ACBD6	241.7690	ACBD6	408.1181
ACBD7	58.9681	ACBD7	67.1587
ACCN2	56.5111	ACCN2	24.3542
removed	removed	ACCN3	6.6421
ACCS	201.4742	ACCS	297.4170
ACD	214.2506	ACD	276.7528
ACE2	55.0369	ACE2	56.0886
ACER2	190.6634	ACER2	64.2066
ACER3	640.7862	ACER3	497.4170
ACE	1718.9189	ACE	2305.5351
ACHE	18.1818	ACHE	30.9963
ACIN1	2281.5725	ACIN1	1219.9262
ACLY	6783.7838	ACLY	2102.5830
ACN9	194.5946	ACN9	342.4354
ACO1	2698.7715	ACO1	1597.0480
ACO2	2378.8010	ACO2	2366.0959
ACOT11	600.0000	ACOT11	77.9188
ACOT13	477.0172	ACOT13	854.5978
ACOT1	386.7322	ACOT1	954.2435
ACOT2	353.3170	ACOT2	705.5351
ACOT4	148.4029	ACOT4	162.3616
ACOT7	806.3882	ACOT7	727.6753
ACOT8	216.9042	ACOT8	687.4982
ACOT9	725.3071	ACOT9	1028.7823
ACOX1	2223.0958	ACOX1	1602.2140
ACOX2	347.9115	ACOX2	282.6568
ACOX3	300.7371	ACOX3	328.4133
ACOXL	75.1843	ACOXL	278.9668
ACP1	1426.0442	ACP1	2007.3801
ACP2	1312.5307	ACP2	877.4908
ACP5	2802.9484	ACP5	5951.2915
ACP6	334.1523	ACP6	200.0000
ACPL2	174.9386	ACPL2	233.2103
ACPP	311.5479	ACPP	210.3321
ACRBP	28.9926	ACRBP	36.1624
ACRC	7.3710	removed	removed
ACSBG1	6.8796	ACSBG1	190.4059
ACSF2	913.0221	ACSF2	1347.6015
ACSF3	268.7961	ACSF3	357.9336
ACSL1	2304.1769	ACSL1	4028.0443
ACSL3	2210.3194	ACSL3	1613.2841
ACSL4	4147.4201	ACSL4	4534.3173
ACSL5	7120.8845	ACSL5	2118.8192
ACSL6	9.3366	ACSL6	5.9041
ACSM1	28.9926	ACSM1	72.3247
ACSM3	257.8624	ACSM3	244.2214
ACSM5	5.8968	ACSM5	14.7601
ACSS1	459.9509	ACSS1	1048.7085
ACSS2	856.0197	ACSS2	1745.3875
ACSS3	122.3587	ACSS3	445.7565
removed	removed	ACTA1	11.8081
ACTA2	5587.9214	ACTA2	5351.3137
ACTBL2	15.7248	removed	removed
ACTB	183806.8796	ACTB	128981.5498
ACTC1	9.8280	ACTC1	8.1181
ACTG1	131046.1916	ACTG1	60336.5314
ACTG2	504.1769	ACTG2	1203.6900
ACTL6A	1060.9337	ACTL6A	1088.5609
ACTN1	5654.5455	ACTN1	2526.9373
removed	removed	ACTN2	45.0185
ACTN4	14180.9189	ACTN4	11188.2288
ACTR10	914.9877	ACTR10	1849.4465
ACTR1A	3098.7715	ACTR1A	3192.6199
ACTR1B	1119.9017	ACTR1B	2498.8930
ACTR2	10178.8698	ACTR2	6473.8007
ACTR3B	131.6953	ACTR3B	72.3247
ACTR3C	63.8821	ACTR3C	140.9594
ACTR3	7571.0074	ACTR3	5593.3579
ACTR5	162.1622	ACTR5	182.2878
ACTR6	269.7789	ACTR6	681.9188
ACTR8	482.0639	ACTR8	416.9742
ACVR1B	1266.8305	ACVR1B	661.2546
ACVR1C	45.7002	ACVR1C	11.0701
ACVR1	1293.8575	ACVR1	742.4354
ACVR2A	174.4472	ACVR2A	348.3395
ACVR2B	235.8722	ACVR2B	133.5793
ACVRL1	837.8378	ACVRL1	3501.8450
ACY1	709.1204	ACY1	606.6421
ACY3	96.3145	ACY3	7.3801
ACYP1	16.2162	ACYP1	98.8930
ACYP2	49.6314	ACYP2	276.7528
ADAL	61.9165	ADAL	142.4354
ADAM10	2490.9091	ADAM10	1631.7343
ADAM12	1219.1646	ADAM12	25.0923
ADAM15	3809.8280	ADAM15	1969.0037
ADAM17	1002.9484	ADAM17	1064.2066
ADAM19	503.6855	ADAM19	121.0332
ADAM21	8.8452	removed	removed
ADAM22	122.8501	ADAM22	7.3801
ADAM23	10.8108	ADAM23	8.8561
ADAM28	335.1351	ADAM28	94.4649
ADAM33	16.2162	ADAM33	73.8007
ADAM6	10465.0369	ADAM6	818.9373
