gene_id	TCGA-91-6828-01A-11R-1858-07	gene_id	TCGA-91-6828-11A-01R-1858-07
?|100133144	6.0859	?|100133144	22.2508
removed	removed	?|100134869	22.1222
?|10357	126.7593	?|10357	93.1061
?|10431	531.9865	?|10431	587.7814
?|155060	95.9596	?|155060	60.4502
removed	removed	?|390284	6.4309
?|57714	1718.0135	?|57714	866.2379
?|645851	18.5185	?|645851	5.7878
?|652919	88.3838	?|652919	19.7942
?|653553	298.8215	?|653553	240.5145
?|8225	538.7205	?|8225	580.0643
removed	removed	?|90288	389.7106
A1BG	20.8249	A1BG	49.5563
A2LD1	78.7121	A2LD1	57.1125
removed	removed	A2M	53808.9196
A4GALT	280.3030	A4GALT	311.2540
AAAS	507.5758	AAAS	493.2476
AACS	1032.8283	AACS	570.4180
removed	removed	AADAC	99.6785
AADAT	82.4916	AADAT	90.6752
AAGAB	854.3771	AAGAB	748.5531
AAK1	1029.4613	AAK1	1082.9582
AAMP	2191.9192	AAMP	1615.4341
AARS2	366.9697	AARS2	297.0418
AARSD1	312.2896	AARSD1	299.0354
AARS	4675.0842	AARS	2488.1029
AASDHPPT	1077.4411	AASDHPPT	658.5209
AASDH	259.2593	AASDH	246.3023
AASS	580.8081	AASS	690.6752
AATF	1222.2222	AATF	1005.7878
removed	removed	AATK	913.8264
ABAT	1141.4141	ABAT	389.7106
ABCA10	11.7845	ABCA10	25.7235
ABCA11P	32.5168	ABCA11P	60.8360
ABCA12	728.9562	ABCA12	10.2894
removed	removed	ABCA13	641.1576
ABCA17P	5.0505	ABCA17P	9.0032
ABCA1	2603.5185	ABCA1	1794.8553
ABCA2	969.6970	ABCA2	792.2830
ABCA3	14200.3367	ABCA3	35180.0643
removed	removed	ABCA4	24.4373
ABCA5	311.4478	ABCA5	374.9196
ABCA6	174.2424	ABCA6	225.7235
ABCA7	301.3468	ABCA7	450.8039
ABCA8	164.1414	ABCA8	1097.1061
ABCA9	34.5118	ABCA9	114.4695
ABCB10	667.5084	ABCB10	506.1093
ABCB1	95.9596	ABCB1	81.6720
ABCB4	27.7778	removed	removed
ABCB6	690.4209	ABCB6	169.2862
ABCB7	404.0404	ABCB7	358.8424
ABCB8	368.6869	ABCB8	619.2926
ABCB9	53.1734	ABCB9	48.6688
ABCC10	665.8249	ABCC10	432.7974
removed	removed	ABCC13	28.9389
ABCC1	1555.5556	ABCC1	1704.8232
removed	removed	ABCC2	9.0032
ABCC3	3402.3569	ABCC3	441.1576
ABCC4	1310.6061	ABCC4	870.7395
ABCC5	1058.9226	ABCC5	645.6592
ABCC6P1	30.3030	ABCC6P1	15.4341
ABCC6P2	23.5690	ABCC6P2	48.8746
ABCC6	323.2323	ABCC6	632.7974
removed	removed	ABCC9	646.3023
ABCD1	345.1178	ABCD1	341.4791
ABCD2	43.7710	ABCD2	58.5209
ABCD3	1345.1178	ABCD3	1794.2122
ABCD4	328.2828	ABCD4	518.3280
ABCE1	1574.0741	ABCE1	1234.7267
ABCF1	2101.0101	ABCF1	1634.7267
ABCF2	1056.3973	ABCF2	981.3505
ABCF3	971.3805	ABCF3	792.2830
ABCG1	2831.6498	ABCG1	1873.3119
ABCG2	60.6061	ABCG2	221.2219
ABHD10	398.1481	ABHD10	323.4727
ABHD11	374.5791	ABHD11	456.5916
removed	removed	ABHD12B	16.0772
ABHD12	991.5825	ABHD12	955.6270
ABHD13	453.7037	ABHD13	702.2508
ABHD14A	164.1414	ABHD14A	295.1768
ABHD14B	818.1818	ABHD14B	1284.8875
ABHD15	512.6263	ABHD15	297.7492
removed	removed	ABHD2	10881.0289
ABHD3	531.1448	ABHD3	336.3344
ABHD4	707.9125	ABHD4	624.4373
ABHD5	718.0135	ABHD5	1258.5209
ABHD6	212.1212	ABHD6	310.6109
ABHD8	180.1347	ABHD8	273.3119
ABI1	1585.8586	ABI1	1588.9518
ABI2	1494.9495	ABI2	1792.2830
removed	removed	ABI3BP	2288.1029
ABI3	422.5589	ABI3	240.5145
ABL1	2110.2694	ABL1	1897.7492
ABL2	1646.4646	ABL2	1141.4791
ABLIM1	2422.5589	ABLIM1	7135.6913
ABLIM2	122.8956	ABLIM2	72.6688
ABLIM3	579.9663	ABLIM3	881.0289
ABO	117.0034	ABO	83.6013
ABP1	1149.8316	ABP1	22.5080
ABR	2559.7643	ABR	2902.2508
ABT1	551.3468	ABT1	461.7363
ABTB1	542.0875	ABTB1	972.9904
ABTB2	240.7407	ABTB2	64.3087
ACAA1	948.6532	ACAA1	1185.8521
ACAA2	739.0572	ACAA2	1603.2154
ACACA	2358.5859	ACACA	2356.9132
ACACB	159.0909	ACACB	711.2540
ACAD10	554.7138	ACAD10	429.5820
ACAD11	255.8923	ACAD11	383.9228
removed	removed	ACAD8	317.6849
ACAD9	664.1414	ACAD9	711.2540
ACADL	37.8788	ACADL	677.8135
ACADM	1044.6128	ACADM	1179.4212
ACADSB	751.6835	ACADSB	1197.4277
ACADS	266.8350	ACADS	540.1929
ACADVL	3263.4680	ACADVL	3670.7267
ACAN	68.1818	ACAN	19.9357
ACAP1	256.7340	ACAP1	97.1061
ACAP2	1007.5758	ACAP2	1285.5305
ACAP3	425.0842	ACAP3	428.9646
ACAT1	1154.0404	ACAT1	1331.1897
ACAT2	524.2593	ACAT2	719.5756
ACBD3	2428.4512	ACBD3	1828.9389
ACBD4	168.3502	ACBD4	257.8778
ACBD5	700.3367	ACBD5	847.5884
ACBD6	446.1279	ACBD6	252.7331
ACBD7	47.1380	ACBD7	90.6752
ACCN2	24.4108	ACCN2	30.8682
ACCN3	5.8923	ACCN3	6.4309
ACCS	158.2492	ACCS	171.0611
ACD	241.5825	ACD	280.3859
ACE2	21.0438	ACE2	43.0868
ACER2	119.5286	ACER2	115.1125
ACER3	524.4108	ACER3	618.0064
ACE	2501.6835	ACE	3273.9550
ACHE	977.2727	ACHE	43.0868
ACIN1	3414.9832	ACIN1	2306.7524
ACLY	4730.6397	ACLY	2839.2283
ACN9	115.3199	ACN9	96.4630
ACO1	2914.9832	ACO1	1530.5466
ACO2	1740.2020	ACO2	2610.7781
ACOT11	69.0236	ACOT11	71.3826
ACOT13	547.0118	ACOT13	781.2154
ACOT1	457.0707	ACOT1	594.8553
ACOT2	367.8451	ACOT2	399.3569
ACOT4	27.7778	ACOT4	66.8810
ACOT7	459.5960	ACOT7	552.4116
ACOT8	223.7205	ACOT8	353.6527
ACOT9	398.1481	ACOT9	714.4695
ACOX1	1817.3401	ACOX1	1894.5338
ACOX2	381.3131	ACOX2	153.0547
ACOX3	442.7609	ACOX3	401.9293
ACOXL	55.5556	ACOXL	314.4695
ACP1	1480.6397	ACP1	1117.6849
ACP2	1346.8013	ACP2	928.6174
ACP5	2026.9360	ACP5	4350.4823
ACP6	106.0606	ACP6	123.4727
ACPL2	341.7508	ACPL2	181.9936
ACPP	187.7104	ACPP	124.1158
ACRBP	37.0370	ACRBP	40.5145
ACRC	27.7778	ACRC	14.1479
removed	removed	ACSBG1	178.1350
ACSF2	494.9495	ACSF2	1030.8682
ACSF3	439.3939	ACSF3	345.3376
ACSL1	5585.8586	ACSL1	4825.7235
ACSL3	2579.1246	ACSL3	2142.1222
ACSL4	1425.0842	ACSL4	4773.6334
ACSL5	2619.5286	ACSL5	2046.3023
removed	removed	ACSL6	5.1447
removed	removed	ACSM1	10.2894
ACSM3	777.2054	ACSM3	223.6463
ACSM5	15.1515	ACSM5	12.2186
ACSS1	790.4040	ACSS1	1246.9453
ACSS2	3180.9764	ACSS2	2032.7974
ACSS3	112.7946	ACSS3	383.9228
removed	removed	ACTA1	7.0740
ACTA2	3309.4192	ACTA2	4128.7138
removed	removed	ACTBL2	10.9325
ACTB	79255.8923	ACTB	122769.7749
removed	removed	ACTC1	14.1479
ACTG1	63691.0774	ACTG1	65801.9293
ACTG2	58.9226	ACTG2	373.6334
