gene_id	TCGA-91-6835-01A-11R-1858-07	gene_id	TCGA-91-6835-11A-01R-1858-07
?|100133144	5.3905	?|100133144	46.2775
?|100134869	8.6050	?|100134869	25.1210
?|10357	64.3883	?|10357	92.0727
?|10431	469.9774	?|10431	626.9288
?|155060	196.8397	?|155060	139.0392
removed	removed	?|390284	5.6367
?|57714	2932.2799	?|57714	859.9134
?|645851	27.0880	?|645851	6.2630
?|653553	309.2551	?|653553	412.7334
?|729884	106.0948	removed	removed
?|8225	395.4853	?|8225	577.4509
?|90288	62.3025	?|90288	782.8781
A1BG	46.7404	A1BG	76.7722
removed	removed	A2BP1	6.2630
A2LD1	77.3228	A2LD1	55.9789
A2M	49523.1828	A2M	77953.7820
A4GALT	233.8600	A4GALT	561.7934
AAAS	455.9819	AAAS	604.3819
AACS	712.4153	AACS	613.7765
removed	removed	AADACL2	43.2149
AADAC	8.1264	AADAC	125.8868
AADAT	128.2167	AADAT	108.3503
AAGAB	770.6546	AAGAB	905.0071
AAK1	1976.0722	AAK1	993.9421
AAMP	2108.3521	AAMP	1827.5507
AARS2	691.6072	AARS2	414.5434
AARSD1	400.0000	AARSD1	386.4287
AARS	2290.7449	AARS	2423.1644
AASDHPPT	522.7991	AASDHPPT	720.8742
AASDH	282.1670	AASDH	258.0366
AASS	437.0203	AASS	653.8598
AATF	1745.3725	AATF	1042.7937
AATK	199.5485	AATK	378.9130
ABAT	342.2122	ABAT	596.8663
ABCA10	23.9278	ABCA10	95.9871
ABCA11P	92.8352	ABCA11P	104.8744
ABCA12	334.9887	ABCA12	18.7891
ABCA13	517.3815	ABCA13	605.6345
ABCA17P	9.4808	removed	removed
ABCA1	2794.5011	ABCA1	1153.6304
ABCA2	1328.6682	ABCA2	1435.4854
ABCA3	2728.2167	ABCA3	8363.0175
ABCA4	2178.7810	ABCA4	31.9414
ABCA5	307.4492	ABCA5	442.0067
ABCA6	348.0813	ABCA6	335.0718
ABCA7	648.3070	ABCA7	574.9457
ABCA8	345.8239	ABCA8	2039.8673
ABCA9	117.3815	ABCA9	289.3518
ABCB10	493.0023	ABCB10	449.0589
ABCB1	184.1986	ABCB1	448.4326
ABCB4	118.2844	ABCB4	17.5365
ABCB5	8.1264	removed	removed
ABCB6	261.2641	ABCB6	481.9523
ABCB7	502.4831	ABCB7	395.1969
ABCB8	848.7585	ABCB8	804.7987
ABCB9	140.4695	ABCB9	75.6323
ABCC10	981.4898	ABCC10	713.9849
ABCC1	2267.7201	ABCC1	1811.8932
ABCC2	6.7720	ABCC2	13.1524
ABCC3	6035.2144	ABCC3	1639.6600
ABCC4	1263.2054	ABCC4	511.0629
ABCC5	1282.6185	ABCC5	1645.2967
ABCC6P1	39.7291	ABCC6P1	44.4675
ABCC6P2	97.9684	ABCC6P2	113.3608
ABCC6	255.0790	ABCC6	477.8688
ABCC8	9.4808	removed	removed
ABCC9	362.9797	ABCC9	730.8950
ABCD1	552.1445	ABCD1	269.3101
ABCD2	151.6930	ABCD2	113.3608
ABCD3	1133.6343	ABCD3	1480.5791
ABCD4	713.7698	ABCD4	831.1034
ABCE1	1341.3093	ABCE1	1024.6309
ABCF1	2238.8262	ABCF1	1395.4020
ABCF2	1563.8826	ABCF2	933.1907
ABCF3	742.6637	ABCF3	909.3912
ABCG1	1399.0971	ABCG1	688.3065
ABCG2	117.3815	ABCG2	186.0118
removed	removed	ABCG4	6.8893
removed	removed	ABCG5	7.5156
ABHD10	507.9007	ABHD10	548.6410
ABHD11	570.2032	ABHD11	580.5824
ABHD12B	13.9955	ABHD12B	44.4675
ABHD12	1225.7336	ABHD12	887.4707
ABHD13	431.1512	ABHD13	504.1735
ABHD14A	206.4650	ABHD14A	453.4430
ABHD14B	1057.7878	ABHD14B	1416.0700
ABHD15	667.2686	ABHD15	422.1279
ABHD1	12.1896	ABHD1	8.1419
ABHD2	5897.9684	ABHD2	11170.1053
ABHD3	432.9571	ABHD3	253.6525
ABHD4	730.0226	ABHD4	749.6841
ABHD5	371.5576	ABHD5	496.0316
ABHD6	176.9752	ABHD6	311.8987
ABHD8	235.6659	ABHD8	283.0887
ABI1	1592.9029	ABI1	1418.8570
ABI2	1322.3476	ABI2	1840.0768
ABI3BP	2511.0609	ABI3BP	3761.5729
ABI3	576.9752	ABI3	326.3036
ABL1	2501.1287	ABL1	2337.9873
ABL2	1227.5395	ABL2	710.2271
ABLIM1	2630.2483	ABLIM1	6787.8666
ABLIM2	62.7540	ABLIM2	174.1121
ABLIM3	241.9865	ABLIM3	757.8260
ABO	129.5711	ABO	107.0977
ABP1	32.9571	ABP1	72.6511
ABR	4376.5237	ABR	2867.2129
ABT1	738.1490	ABT1	501.6683
ABTB1	548.5327	ABTB1	693.9432
ABTB2	127.7652	ABTB2	125.2605
ACAA1	775.1693	ACAA1	1166.8016
ACAA2	1497.9684	ACAA2	1154.9018
ACACA	3577.8781	ACACA	1963.4584
ACACB	350.3386	ACACB	765.3417
ACAD10	388.2619	ACAD10	529.8519
ACAD11	297.4628	ACAD11	585.5929
ACAD8	1143.5666	ACAD8	596.8663
ACAD9	754.8442	ACAD9	832.3059
ACADL	23.0248	ACADL	253.0262
ACADM	969.7517	ACADM	900.6230
ACADSB	498.4199	ACADSB	1112.9396
ACADS	251.4673	ACADS	502.9209
ACADVL	2309.6795	ACADVL	4147.3251
ACAN	71.3318	ACAN	13.7787
ACAP1	835.6659	ACAP1	230.4793
ACAP2	1398.6456	ACAP2	1101.0398
ACAP3	557.7336	ACAP3	647.3338
ACAT1	487.5847	ACAT1	1424.8382
ACAT2	597.1693	ACAT2	587.1523
ACBD3	1387.8104	ACBD3	1284.5465
ACBD4	258.6907	ACBD4	288.0992
ACBD5	760.2709	ACBD5	633.8181
ACBD6	367.9458	ACBD6	355.7398
ACBD7	68.6230	ACBD7	278.0783
removed	removed	ACCN1	15.0313
ACCN2	137.6975	ACCN2	104.5925
ACCN3	8.5779	ACCN3	29.4362
ACCS	221.2190	ACCS	362.6292
