gene_id	TCGA-55-6986-01A-11R-1949-07	gene_id	TCGA-55-6986-11A-01R-1949-07
?|100133144	11.0901	?|100133144	23.3981
?|100134869	9.9855	?|100134869	8.3920
?|10357	107.8270	?|10357	86.8981
?|10431	789.9709	?|10431	496.9136
?|155060	98.8372	?|155060	154.3210
?|390284	7.2674	?|390284	7.0988
?|57714	300.1453	?|57714	507.7160
?|645851	11.6279	?|645851	8.3333
removed	removed	?|652919	20.3704
?|653553	182.4128	?|653553	284.2593
?|729884	79.2151	removed	removed
?|8225	532.7035	?|8225	481.1728
?|90288	7.2674	?|90288	644.7531
A1BG	28.9317	A1BG	120.9846
A2LD1	95.6395	A2LD1	49.3796
A2M	20364.0480	A2M	58986.5370
A4GALT	170.0581	A4GALT	272.8395
AAAS	635.1744	AAAS	506.7901
removed	removed	AACSL	9.5679
AACS	583.5756	AACS	450.0000
AADAC	45.0581	AADAC	116.0494
AADAT	141.7151	AADAT	145.6790
AAGAB	1134.4477	AAGAB	731.7901
AAK1	638.8081	AAK1	1054.0123
AAMP	2484.0116	AAMP	1673.4568
AARS2	515.2471	AARS2	386.0185
AARSD1	680.2326	AARSD1	325.3086
AARS	2426.5988	AARS	2131.1728
AASDHPPT	1676.5988	AASDHPPT	735.8025
AASDH	268.1686	AASDH	269.4444
AASS	386.6279	AASS	622.8395
AATF	2066.1337	AATF	950.6173
AATK	101.0174	AATK	990.1728
ABAT	235.4651	ABAT	299.0741
ABCA10	11.6279	ABCA10	97.8395
ABCA11P	78.9026	ABCA11P	104.2840
ABCA12	267.4419	removed	removed
ABCA13	9.4477	ABCA13	1651.8519
ABCA1	1140.9884	ABCA1	2424.6728
ABCA2	723.1105	ABCA2	1329.0123
ABCA3	6250.7267	ABCA3	7435.4938
ABCA4	43.6047	ABCA4	31.4815
ABCA5	167.8779	ABCA5	715.7407
ABCA6	66.1337	ABCA6	317.9012
ABCA7	990.5523	ABCA7	637.6543
ABCA8	237.6453	ABCA8	1142.9012
ABCA9	52.3256	ABCA9	224.6914
ABCB10	434.5930	ABCB10	565.7407
ABCB1	125.0000	ABCB1	50.0000
ABCB4	7.9942	ABCB4	5.2469
removed	removed	ABCB5	56.7901
ABCB6	545.5669	ABCB6	278.1975
ABCB7	594.4767	ABCB7	291.3580
ABCB8	525.4360	ABCB8	584.5679
ABCB9	70.1672	ABCB9	48.8796
ABCC10	458.5756	ABCC10	539.1975
ABCC11	10.9012	removed	removed
ABCC1	1720.9302	ABCC1	1723.7654
removed	removed	ABCC2	10.4938
ABCC3	9548.6919	ABCC3	739.8148
ABCC4	236.1919	ABCC4	714.5062
ABCC5	452.7616	ABCC5	1487.6543
ABCC6P1	65.4070	ABCC6P1	60.1852
ABCC6P2	81.3953	ABCC6P2	77.7778
ABCC6	787.7907	ABCC6	969.1358
ABCC8	39.2442	ABCC8	36.4198
ABCC9	166.4244	ABCC9	491.6667
ABCD1	249.2733	ABCD1	406.7901
ABCD2	13.8081	ABCD2	93.8272
ABCD3	1351.0174	ABCD3	1587.3457
ABCD4	653.3430	ABCD4	582.7160
ABCE1	2591.5698	ABCE1	751.8519
