gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
DALRD3	721.2013	DALRD3	548.0161
DAP3	2132.651	DAP3	1840.0279
DAPK1	460.8444	DAPK1	365.7003
DAPK2	143.5594	DAPK2	430.6671
DAPK3	541.9164	DAPK3	276.2836
removed	removed	DAPL1	108.6273
DAPP1	271.2275	DAPP1	186.1684
DAP	2554.9795	DAP	2213.4125
DARC	1135.8158	DARC	1211.3168
DARS2	977.7119	DARS2	617.1848
DARS	1814.0193	DARS	3025.4977
DAXX	1465.7599	DAXX	881.5927
DAZAP1	1097.2998	DAZAP1	695.0751
DAZAP2	6603.461	DAZAP2	7463.1505
DBC1	84.8428	DBC1	193.5033
DBF4B	136.2871	DBF4B	100.2445
DBF4	314.861	DBF4	274.5372
DBI	2007.4069	DBI	2388.4038
DBN1	1528.7859	DBN1	400.978
DBNDD1	450.6094	DBNDD1	184.4219
DBNDD2	475.7848	DBNDD2	737.7716
DBNL	1417.817	DBNL	689.4866
DBP	76.4582	DBP	129.5494
DBR1	446.5693	DBR1	454.4184
DBT	1054.4744	DBT	1325.1834
DBX2	22.0861	DBX2	9.4307
DCAF10	4249.4108	DCAF10	2085.2253
DCAF11	2050.4612	DCAF11	1651.3273
DCAF12	2187.0581	DCAF12	1787.9846
DCAF13	1985.9888	DCAF13	822.4275
DCAF15	408.3227	DCAF15	228.4317
DCAF16	1302.2692	DCAF16	2041.5648
DCAF17	749.5792	DCAF17	997.555
DCAF4	622.1803	DCAF4	406.9158
DCAF5	1746.9531	DCAF5	1907.4397
DCAF6	2174.6684	DCAF6	2198.044
DCAF7	4164.568	DCAF7	2763.1855
DCAF8	1761.0127	DCAF8	2159.4167
DCAKD	730.7252	DCAKD	1066.0147
DCBLD1	347.182	DCBLD1	177.4363
DCBLD2	1019.9987	DCBLD2	1600.0699
DCDC1	19.091	DCDC1	5.0751
DCDC2	142.7028	DCDC2	375.5851
DCHS1	1228.7388	DCHS1	801.2574
DCHS2	25.0488	DCHS2	152.2878
DCI	263.4166	DCI	264.408
DCK	839.5394	DCK	690.5344
DCLK1	592.822	DCLK1	1105.4838
DCLK2	142.482	DCLK2	197.6947
DCLK3	14.2751	DCLK3	15.0192
DCLRE1A	803.9863	DCLRE1A	579.8114
DCLRE1B	329.4054	DCLRE1B	283.2693
DCLRE1C	411.2854	DCLRE1C	460.3563
DCN	23417.1436	DCN	31406.2173
DCP1A	1050.973	DCP1A	1880.8942
DCP1B	331.0215	DCP1B	509.256
DCP2	1950.3064	DCP2	1836.8844
DCPS	301.3938	DCPS	215.8575
removed	removed	DCST2	52.3926
DCTD	1571.6113	DCTD	1343.3461
DCTN1	2672.7547	DCTN1	1904.5756
DCTN2	1834.4893	DCTN2	1633.6011
DCTN3	545.4178	DCTN3	545.2323
DCTN4	1955.6932	DCTN4	2769.4726
DCTN5	2185.9807	DCTN5	1495.634
DCTN6	470.5407	DCTN6	752.3577
DCTPP1	864.3162	DCTPP1	390.496
removed	removed	DCT	13.2728
DCUN1D1	835.7686	DCUN1D1	1024.1006
DCUN1D2	207.1241	DCUN1D2	241.3552
DCUN1D3	233.2503	DCUN1D3	368.4946
DCUN1D4	1118.3085	DCUN1D4	1765.9797
DCUN1D5	412.9015	DCUN1D5	403.423
DCXR	531.412	DCXR	360.1118
DCX	76.4932	DCX	276.2836
DDA1	454.1108	DDA1	404.4708
DDAH1	1129.3516	DDAH1	2068.1104
DDAH2	771.9345	DDAH2	490.3947
DDB1	7708.0331	DDB1	4292.3507
DDB2	275.8063	DDB2	679.3573
DDHD1	937.8493	DDHD1	591.687
DDHD2	1058.5146	DDHD2	1802.3053
DDI2	279.7253	DDI2	196.839
DDIT3	186.2097	DDIT3	338.0265
DDIT4L	19.3926	DDIT4L	103.3881
DDIT4	1004.6462	DDIT4	539.993
DDOST	4617.0628	DDOST	3142.1586
DDO	51.7137	DDO	63.2204
DDR1	9468.4533	DDR1	3311.212
DDR2	716.9888	DDR2	703.4579
DDRGK1	273.1129	DDRGK1	190.3598
DDTL	89.2573	DDTL	112.424
DDT	426.0184	DDT	374.1914
DDX10	648.5759	DDX10	909.8847
DDX11	339.9098	DDX11	376.5281
DDX12	62.4874	DDX12	74.0482
DDX17	13600.9696	DDX17	27054.8376
DDX18	2563.0597	DDX18	3329.0255
DDX19A	780.6774	DDX19A	865.3161
DDX19B	506.5087	DDX19B	629.5844
DDX1	2511.6154	DDX1	2782.7454
DDX20	504.4778	DDX20	810.3388
DDX21	3348.7307	DDX21	4054.4883
DDX23	2482.5264	DDX23	1300.0349
DDX24	2234.7317	DDX24	2725.1135
removed	removed	DDX25	13.2728
DDX26B	179.6512	DDX26B	674.8166
DDX27	1472.7628	DDX27	696.4722
DDX28	155.1411	DDX28	231.9246
DDX31	373.8469	DDX31	424.7293
DDX39	696.2494	DDX39	295.4942
DDX3X	9720.0189	DDX3X	17397.8344
DDX41	777.3214	DDX41	527.4188
DDX42	2669.7192	DDX42	3575.62
DDX43	27.1443	DDX43	114.4219
DDX46	1847.4177	DDX46	1938.1767
DDX47	1104.0334	DDX47	1340.9012
DDX49	461.6524	DDX49	308.0685
DDX50	1092.721	DDX50	1527.0695
DDX51	245.9094	DDX51	310.8627
DDX52	1038.8526	DDX52	899.0569
DDX54	677.083	DDX54	476.3744
DDX55	509.0566	DDX55	534.0552
DDX56	1289.0714	DDX56	1000
DDX58	2758.0634	DDX58	941.3203
DDX59	431.2168	DDX59	706.6015
DDX5	16725.877	DDX5	19566.1893
DDX60L	1329.2034	DDX60L	671.3238
DDX60	2964.1102	DDX60	1117.3594
DDX6	5800.0135	DDX6	6653.8596
DEAF1	409.1307	DEAF1	409.0115
DECR1	1890.7818	DECR1	1081.7324
DECR2	109.0836	DECR2	91.5124
DEDD2	297.3537	DEDD2	309.1163
DEDD	833.8267	DEDD	775.5501
DEF6	337.2163	DEF6	178.1348
DEF8	323.4799	DEF8	428.5714
removed	removed	DEFB132	6.9857
DEFB1	38.2466	DEFB1	95.0052
DEGS1	2472.2914	DEGS1	2612.9934
DEGS2	523.6011	DEGS2	87.6703
DEK	3943.1688	DEK	4576.3185
DEM1	159.9892	DEM1	157.5271
DENND1A	876.4393	DENND1A	429.6193
DENND1B	206.8548	DENND1B	213.7618
DENND1C	196.3504	DENND1C	101.9909
DENND2A	64.3728	DENND2A	180.9291
DENND2C	68.5637	DENND2C	175.875
DENND2D	884.5196	DENND2D	601.467
DENND3	280.6545	DENND3	263.0108
DENND4A	951.276	DENND4A	1142.6546
DENND4B	747.4136	DENND4B	775.7597
DENND4C	2304.2219	DENND4C	3641.6346
DENND5A	2050.2323	DENND5A	2142.1586
DENND5B	339.1017	DENND5B	579.1128
DENR	2434.8529	DENR	2065.3161
DEPDC1B	154.333	DEPDC1B	37.0241
DEPDC1	410.2081	DEPDC1	71.2539
DEPDC4	22.0861	DEPDC4	37.7227
DEPDC5	417.4803	DEPDC5	363.2553
DEPDC6	1218.2345	DEPDC6	1168.7042
DEPDC7	43.3641	DEPDC7	27.2441
DERA	373.0389	DERA	493.189
DERL1	5269.9482	DERL1	2312.2599
DERL2	441.7211	DERL2	615.0891
DERL3	216.0124	DERL3	215.1589
DES	30.1663	DES	21.3063
DET1	181.5366	DET1	302.8292
DEXI	351.2221	DEXI	302.4799
DFFA	495.5895	DFFA	514.8446
DFFB	160.5279	DFFB	198.7426
DFNA5	143.8287	DFNA5	204.6804
DFNB31	100.734	DFNB31	237.1638
DFNB59	20.47	DFNB59	68.8089
DGAT1	940.5697	DGAT1	400.73
DGAT2	319.4398	DGAT2	755.1519
DGCR11	64.1034	DGCR11	33.182
DGCR14	233.789	DGCR14	155.0821
DGCR2	2940.6774	DGCR2	1830.9466
DGCR5	5.1175	DGCR5	11.5264
DGCR6L	314.5916	DGCR6L	152.6371
DGCR6	202.5453	DGCR6	142.5079
DGCR8	656.1174	DGCR8	771.219
DGKA	637.2635	DGKA	390.4995
DGKD	1003.5688	DGKD	552.9165
DGKE	220.0525	DGKE	466.6434
DGKG	19.9313	DGKG	16.4163
DGKH	129.0149	DGKH	123.2972
DGKI	19.9313	DGKI	10.8278
DGKQ	217.0898	DGKQ	114.5651
DGKZ	518.7529	DGKZ	267.2022
DGUOK	622.4497	DGUOK	624.869
DHCR24	13011.9184	DHCR24	3612.2948
DHCR7	1504.0065	DHCR7	620.6776
DHDDS	676.5874	DHDDS	724.4149
removed	removed	DHDPSL	15.4733
DHFRL1	395.1249	DHFRL1	431.0164
DHFR	600.8942	DHFR	415.1135
DHH	5.3868	removed	removed
DHODH	63.8341	DHODH	102.6895
DHPS	1349.4041	DHPS	490.3947
DHRS11	127.1295	DHRS11	183.7234
DHRS12	125.7828	DHRS12	239.2595
DHRS13	89.7798	DHRS13	121.3622
DHRS1	204.7	DHRS1	422.6336
DHRS2	74.8771	DHRS2	15.3685
DHRS3	568.3119	DHRS3	855.0472
removed	removed	DHRS4L1	12.9235
DHRS4L2	154.3896	DHRS4L2	203.1191
DHRS4	329.0849	DHRS4	383.423
DHRS7B	274.9983	DHRS7B	376.5281
DHRS7	948.3536	DHRS7	990.9186
DHRS9	53.8684	DHRS9	46.1055
DHRSX	450.8787	DHRSX	286.0636
DHTKD1	2106.7942	DHTKD1	803.3531
DHX15	4376.0016	DHX15	4256.0251
DHX16	1090.8356	DHX16	540.6916
DHX29	1456.0636	DHX29	1575.62
DHX30	1113.4604	DHX30	904.6455
DHX32	1204.0751	DHX32	1193.8386
DHX33	433.9102	DHX33	713.2379
DHX34	354.7236	DHX34	385.6095
DHX35	283.8866	DHX35	303.1785
DHX36	1279.6445	DHX36	1486.5526
DHX37	438.489	DHX37	208.1732
DHX38	582.3123	DHX38	653.161
removed	removed	DHX40P1	44.0098
DHX40	1892.9365	DHX40	2291.6521
DHX57	960.474	DHX57	816.9752
DHX58	439.8357	DHX58	152.6371
DHX8	1555.7202	DHX8	1204.6804
DHX9	6125.9174	DHX9	6160.6706
DIABLO	859.7158	DIABLO	679.3573
DIAPH1	2984.3108	DIAPH1	2611.5962
DIAPH2	257.4911	DIAPH2	513.7967
removed	removed	DIAPH3	66.7132
DICER1	1717.0561	DICER1	3591.3378
DIDO1	2471.7527	DIDO1	2055.5362
DIMT1L	345.2966	DIMT1L	957.7366
DIO1	12.9284	DIO1	5.2393
DIO2	2472.8301	DIO2	165.5606
DIO3	6.1949	DIO3	10.1292
DIP2A	992.7951	DIP2A	1015.0192
DIP2B	2645.7478	DIP2B	2494.9354
DIP2C	1124.2341	DIP2C	1173.9434
DIRAS1	255.875	DIRAS1	128.5365
removed	removed	DIRAS2	15.3685
DIRAS3	25.5875	DIRAS3	80.6846
DIRC1	6.4642	removed	removed
DIRC2	460.5885	DIRC2	367.4013
DIRC3	16.1605	DIRC3	17.8135
DIS3L2	370.8841	DIS3L2	469.7869
DIS3L	847.081	DIS3L	1060.7754
DIS3	1711.4241	DIS3	2159.6961
DISC1	193.385	DISC1	283.2693
DISP1	285.5027	DISP1	298.6378
DISP2	28.5503	DISP2	19.9092
DIXDC1	1227.9308	DIXDC1	2236.8145
DKC1	1524.2071	DKC1	1464.897
removed	removed	DKFZP434L187	8.519
DKFZP586I1420	496.3975	DKFZP586I1420	360.8103
DKFZP686I15217	32.3211	DKFZP686I15217	65.6654
removed	removed	DKFZp434J0226	10.4785
DKFZp686O24166	43.0947	DKFZp686O24166	42.2634
DKFZp761E198	256.4137	DKFZp761E198	329.7241
DKK1	54.4071	removed	removed
DKK2	153.2557	DKK2	49.5983
DKK3	1102.4173	DKK3	3070.9046
removed	removed	DKK4	7.6842
DKKL1	7.5416	DKKL1	7.335
DLAT	1073.7755	DLAT	1322.3891
DLC1	1954.8852	DLC1	3373.7338
DLD	1883.7789	DLD	2212.7139
removed	removed	DLEC1	27.5934
DLEU1	57.6554	DLEU1	101.2924
removed	removed	DLEU2L	20.2585
DLEU2	34.9094	DLEU2	35.6619
removed	removed	DLEU7	6.6364
DLG1	1821.8302	DLG1	2328.6727
DLG2	94.2697	DLG2	173.5941
DLG3	1615.7834	DLG3	923.8561
DLG4	118.2412	DLG4	157.8798
DLG5	2995.8925	DLG5	1645.4768
DLGAP1	5.6562	DLGAP1	13.9714
removed	removed	DLGAP2	12.5742
DLGAP3	5.3868	removed	removed
DLGAP4	2167.1268	DLGAP4	1432.0643
DLGAP5	391.6235	DLGAP5	68.4597
removed	removed	DLK1	271.0444
DLK2	9.9657	DLK2	165.5606
DLL1	82.688	DLL1	149.1443
DLL4	179.3819	DLL4	213.0632
DLST	2204.0267	DLST	2218.3025
DLX1	17.5072	removed	removed
DLX2	5.9255	removed	removed
DLX3	199.3132	DLX3	37.7227
DLX4	22.6247	DLX4	8.3828
DLX5	13.1978	removed	removed
DMAP1	234.597	DMAP1	342.9969
DMBT1	45.2495	removed	removed
DMBX1	9.6963	removed	removed
DMC1	23.1634	DMC1	28.6413
DMD	286.0413	DMD	4093.2588
DMGDH	31.7824	DMGDH	67.4118
DMKN	53.8684	DMKN	451.2749
DMPK	205.2387	DMPK	198.3933
DMRT2	16.6992	DMRT2	47.5026
DMRT3	15.6218	DMRT3	12.9235
removed	removed	DMRTA1	30.3877
removed	removed	DMRTC1B	16.4163
DMRTC2	10.235	removed	removed
DMTF1	914.2549	DMTF1	1830.1851
DMWD	302.2019	DMWD	301.0828
DMXL1	1290.1488	DMXL1	2781.3482
DMXL2	811.7972	DMXL2	773.3147
DNA2	307.3194	DNA2	132.3786
DNAH10	25.0488	DNAH10	12.5742
DNAH11	6.8548	removed	removed
removed	removed	DNAH12	20.6078
DNAH14	150.0236	DNAH14	140.0629
DNAH17	11.5817	DNAH17	28.292
DNAH1	123.0894	DNAH1	329.7241
DNAH2	41.2093	DNAH2	84.1774
removed	removed	DNAH3	5.2393
DNAH5	408.8614	DNAH5	411.1072
DNAH6	33.1291	DNAH6	82.431
DNAH7	126.0521	DNAH7	136.2207
DNAH8	7.0029	removed	removed
DNAH9	5.1175	DNAH9	33.182
DNAI1	17.2379	DNAI1	5.5885
DNAJA1	4098.3099	DNAJA1	2475.7248
DNAJA2	1968.3523	DNAJA2	1893.8177
DNAJA3	944.3135	DNAJA3	607.0555
DNAJA4	1108.8816	DNAJA4	739.7834
DNAJB11	986.8696	DNAJB11	666.7831
DNAJB12	890.7144	DNAJB12	832.3437
DNAJB14	610.3293	DNAJB14	693.3287
DNAJB1	2762.9116	DNAJB1	3150.1921
DNAJB2	1001.414	DNAJB2	672.3716
DNAJB4	625.6818	DNAJB4	1049.5983
DNAJB5	291.1588	DNAJB5	152.6371
DNAJB6	1640.5629	DNAJB6	1820.8173
DNAJB7	5.3033	DNAJB7	13.8386
DNAJB9	755.774	DNAJB9	1144.2543
DNAJC10	3753.8213	DNAJC10	3275.5851
DNAJC11	834.896	DNAJC11	708.3095
DNAJC12	638.0715	DNAJC12	206.7761
DNAJC13	3027.6749	DNAJC13	2457.2127
DNAJC14	1423.7964	DNAJC14	782.3786
DNAJC15	699.7509	DNAJC15	770.1711
DNAJC16	1089.7583	DNAJC16	1050.2969
DNAJC17	123.8974	DNAJC17	105.4838
DNAJC18	174.803	DNAJC18	373.3846
DNAJC19	524.1398	DNAJC19	563.7443
DNAJC1	1003.8381	DNAJC1	459.3084
DNAJC21	1274.2576	DNAJC21	1577.3664
DNAJC22	234.597	DNAJC22	57.6319
DNAJC24	343.1957	DNAJC24	426.0671
DNAJC25	144.098	DNAJC25	361.5089
DNAJC27	178.5738	DNAJC27	461.7534
DNAJC28	39.324	DNAJC28	35.627
DNAJC2	589.0836	DNAJC2	797.0625
DNAJC30	291.6975	DNAJC30	258.8194
DNAJC3	2072.857	DNAJC3	3324.4848
DNAJC4	417.0251	DNAJC4	459.3573
DNAJC5B	18.0459	DNAJC5B	6.2871
DNAJC5	3732.2739	DNAJC5	953.5452
DNAJC6	131.439	DNAJC6	145.6514
DNAJC7	1557.5355	DNAJC7	1203.891
DNAJC8	1725.4057	DNAJC8	1680.7545
DNAJC9	945.3209	DNAJC9	633.7583
DNAL1	715.642	DNAL1	709.745
DNAL4	528.9879	DNAL4	250.7859
DNALI1	1060.9387	DNALI1	418.0929
DNASE1L1	278.6748	DNASE1L1	182.1202
DNASE1L3	88.0749	DNASE1L3	62.8711
DNASE1	127.9375	DNASE1	53.4404
DNASE2	1434.7855	DNASE2	518.3374
DND1	60.365	DND1	35.9308
removed	removed	DNER	39.1198
DNHD1	90.7683	DNHD1	306.6713
DNLZ	56.8312	DNLZ	22.7035
DNM1L	2012.7938	DNM1L	1871.8128
DNM1P35	9.6963	DNM1P35	30.3877
DNM1	338.0244	DNM1	209.5704
DNM2	1656.7908	DNM2	1020.6986
DNM3	117.4332	DNM3	159.2735
DNMBP	822.6463	DNMBP	952.0503
DNMT1	1892.6672	DNMT1	874.9563
DNMT3A	712.1406	DNMT3A	344.394
DNMT3B	251.0269	DNMT3B	77.1918
DNPEP	1260.7905	DNPEP	944.8131
DNTTIP1	251.0269	DNTTIP1	201.8861
DNTTIP2	1562.723	DNTTIP2	2372.686
removed	removed	DOC2A	36.8949
DOC2B	32.0517	DOC2B	23.402
DOCK10	1210.1542	DOCK10	982.1865
DOCK11	806.949	DOCK11	986.0286
DOCK1	2668.9112	DOCK1	3207.824
DOCK2	943.2361	DOCK2	419.8393
DOCK3	18.5846	DOCK3	11.8757
DOCK4	553.4981	DOCK4	916.5211
DOCK5	686.2838	DOCK5	683.5487
DOCK6	540.839	DOCK6	391.8966
DOCK7	1344.2866	DOCK7	2222.4939
DOCK8	2057.2352	DOCK8	1192.8048
DOCK9	1392.4988	DOCK9	2464.897
DOHH	53.8684	DOHH	20.6078
DOK1	146.2528	DOK1	81.0339
DOK2	123.3587	DOK2	32.8327
DOK3	115.2784	DOK3	67.0625
DOK4	187.1928	DOK4	274.1879
DOK5	51.175	DOK5	85.2253
DOK6	77.8399	DOK6	79.2875
DOK7	25.5875	removed	removed
DOLK	415.8643	DOLK	215.1589
DOLPP1	401.5891	DOLPP1	240.6567
DOM3Z	176.9228	DOM3Z	278.1698
DONSON	455.8831	DONSON	218.8159
DOPEY1	939.8505	DOPEY1	1911.8302
DOPEY2	6538.8189	DOPEY2	762.1376
DOT1L	579.0856	DOT1L	341.9315
DPAGT1	1287.7355	DPAGT1	955.6759
DPCD	240.7434	DPCD	127.7541
DPEP1	9.1576	removed	removed
DPEP2	36.8999	DPEP2	40.5169
DPF2	1273.7189	DPF2	1073.3496
DPF3	7.8109	DPF3	45.0576
DPH1	397.7402	DPH1	729.6158
DPH2	465.9619	DPH2	398.533
DPH3B	27.4729	DPH3B	23.402
DPH3	621.103	DPH3	822.2145
DPH5	423.8906	DPH5	677.0031
DPM1	734.7653	DPM1	677.9602
DPM2	1754.2253	DPM2	437.3035
DPM3	90.499	DPM3	70.9046
DPP3	1152.2456	DPP3	189.6612
DPP4	1072.251	DPP4	427.5236
DPP6	9.6963	DPP6	39.4691
DPP7	438.489	DPP7	334.614
DPP8	702.983	DPP8	1022.0049
DPP9	1341.0545	DPP9	470.4855
DPT	914.1472	DPT	1667.1324
DPY19L1	752.2726	DPY19L1	715.6829
DPY19L2P2	6.1949	DPY19L2P2	34.5791
DPY19L2	10.235	DPY19L2	73.0003
DPY19L3	507.7099	DPY19L3	738.7356
DPY19L4	1775.5033	DPY19L4	1842.8222
DPY30	559.2889	DPY30	478.2187
DPYD	723.453	DPYD	1403.423
DPYSL2	1823.9849	DPYSL2	3940.971
DPYSL3	5672.076	DPYSL3	3101.9909
DPYSL4	7.5416	removed	removed
removed	removed	DPYSL5	17.4642
removed	removed	DPYS	10.4785
DR1	1515.3188	DR1	1595.1799
DRAM1	810.1811	DRAM1	714.2857
DRAM2	936.7719	DRAM2	1938.8753
DRAP1	380.8498	DRAP1	152.2878
DRD1	18.3153	DRD1	5.5885
DRD2	9.6963	DRD2	78.9382
DRD4	7.5416	removed	removed
DRG1	1187.5295	DRG1	1120.8523
DRG2	334.7923	DRG2	399.9301
DRP2	16.4299	removed	removed
DSC1	12.1743	DSC1	155.9762
DSC2	1648.9125	DSC2	5793.9225
DSC3	1069.0189	DSC3	1727.5585
removed	removed	DSCAML1	12.2249
DSCAM	6.4642	DSCAM	13.9714
DSCC1	319.9785	DSCC1	166.2592
DSCR3	1108.8816	DSCR3	1098.4981
DSCR6	24.5101	DSCR6	8.3828
DSEL	541.3777	DSEL	939.5739
DSE	1045.3491	DSE	1024.1181
removed	removed	DSG1	66.364
DSG2	3987.0635	DSG2	8101.5823
DSG3	685.7451	DSG3	846.6643
DSN1	493.4348	DSN1	339.1547
DSP	25262.6759	DSP	11743.6256
DSTN	9629.2506	DSTN	12018.1628
DSTYK	942.1588	DSTYK	1241.7045
DST	9789.7785	DST	34399.9301
DTD1	342.3338	DTD1	237.5131
DTHD1	19.9313	DTHD1	10.8278
DTL	767.8944	DTL	201.1876
DTNA	888.829	DTNA	647.2232
DTNBP1	391.3541	DTNBP1	190.0105
DTNB	445.4919	DTNB	999.6507
DTWD1	353.6462	DTWD1	883.3392
DTWD2	332.3682	DTWD2	402.7244
DTX1	82.4187	DTX1	179.532
DTX2	401.5891	DTX2	138.6657
DTX3L	3981.6174	DTX3L	1747.4048
DTX3	291.6975	DTX3	512.3996
DTX4	701.9056	DTX4	856.4443
DTYMK	369.8067	DTYMK	137.6179
DULLARD	1335.937	DULLARD	1470.1362
DUOX1	46.3268	DUOX1	150.5414
removed	removed	DUOX2	22.0049
DUOXA1	12.6591	DUOXA1	22.1656
DUS1L	742.0376	DUS1L	444.9878
DUS2L	175.6111	DUS2L	115.613
DUS3L	153.525	DUS3L	100.2445
DUS4L	178.0702	DUS4L	205.379
DUSP10	976.6346	DUSP10	517.9881
DUSP11	540.839	DUSP11	719.1757
DUSP12	191.5023	DUSP12	275.2358
DUSP14	367.9214	DUSP14	652.4625
DUSP15	33.3984	DUSP15	15.7178
DUSP16	3638.0042	DUSP16	2686.343
DUSP18	225.4367	DUSP18	177.7855
DUSP19	95.6165	DUSP19	206.4268
DUSP1	5992.0544	DUSP1	6557.8065
DUSP22	679.0115	DUSP22	923.5068
DUSP23	282.2706	DUSP23	176.7377
DUSP28	82.9574	DUSP28	86.2731
DUSP2	292.2362	DUSP2	212.0154
DUSP3	1525.5538	DUSP3	1924.2054
DUSP4	695.9801	DUSP4	687.0416
DUSP5	2834.0179	DUSP5	1294.4464
DUSP6	1980.4727	DUSP6	5521.481
DUSP7	399.7037	DUSP7	417.7436
DUSP8	304.626	DUSP8	617.5341
removed	removed	DUSP9	58.3304
DUT	977.9543	DUT	1119.6088
DVL1	331.5602	DVL1	244.8481
DVL2	339.6404	DVL2	491.4425
DVL3	2514.0395	DVL3	1900.4541
DYM	920.6114	DYM	1379.6717
DYNC1H1	10415.9989	DYNC1H1	8576.6678
DYNC1I1	25.3182	DYNC1I1	45.7562
DYNC1I2	2776.3787	DYNC1I2	2263.3601
DYNC1LI1	980.6747	DYNC1LI1	1089.766
DYNC1LI2	2602.1143	DYNC1LI2	3675.5152
DYNC2H1	938.9267	DYNC2H1	1623.1226
DYNC2LI1	454.9189	DYNC2LI1	637.4432
DYNLL1	4138.9805	DYNLL1	2119.1058
DYNLL2	1041.2767	DYNLL2	1047.1533
DYNLRB1	1456.3329	DYNLRB1	1147.3978
DYNLRB2	11.3124	DYNLRB2	26.8949
DYNLT1	1686.0817	DYNLT1	981.4879
DYNLT3	763.0463	DYNLT3	847.0136
DYRK1A	2292.1015	DYRK1A	3513.4474
DYRK1B	354.7236	DYRK1B	238.2117
DYRK2	1323.5472	DYRK2	938.1767
DYRK3	236.213	DYRK3	411.4565
DYRK4	248.8721	DYRK4	333.2169
DYSF	443.3371	DYSF	198.7426
DYX1C1	120.5899	DYX1C1	107.9287
DZIP1L	31.7824	DZIP1L	58.3304
DZIP1	332.0638	DZIP1	494.6839
DZIP3	672.0086	DZIP3	793.2239
E2F1	220.3219	E2F1	45.4069
E2F2	281.4625	E2F2	29.6891
E2F3	1937.9166	E2F3	508.5575
E2F4	671.4699	E2F4	651.7639
E2F5	326.5073	E2F5	246.3185
E2F6	320.5171	E2F6	502.9689
E2F7	105.8515	E2F7	35.9762
E2F8	203.3533	E2F8	17.4642
E4F1	182.0753	E4F1	92.9095
EAF1	1010.033	EAF1	907.4397
EAF2	126.3215	EAF2	89.766
EAPP	775.1667	EAPP	1179.8812
EARS2	884.2502	EARS2	686.6923
EBAG9	802.9089	EBAG9	675.8645
EBF1	380.0417	EBF1	1135.5222
EBF2	36.3612	EBF2	52.3926
EBF3	111.777	EBF3	253.9294
EBF4	279.3078	EBF4	118.7565
EBI3	80.5333	EBI3	16.4163
EBNA1BP2	767.8944	EBNA1BP2	510.6532
EBPL	382.1965	EBPL	845.6165
EBP	589.5899	EBP	263.7094
ECD	1031.8497	ECD	953.1959
ECE1	7468.0493	ECE1	3452.672
ECE2	148.6769	ECE2	55.8854
ECEL1	5.9255	removed	removed
ECH1	1083.5634	ECH1	1348.9347
ECHDC1	720.7595	ECHDC1	1560.6008
ECHDC2	202.2759	ECHDC2	680.4052
ECHDC3	261.2619	ECHDC3	330.4226
ECHS1	1866.2716	ECHS1	1268.2501
ECM1	796.714	ECM1	170.7999
ECM2	686.5531	ECM2	1361.8582
ECSCR	109.6222	ECSCR	203.9818
ECSIT	304.8953	ECSIT	350.6811
ECT2L	5.3868	ECT2L	20.6078
ECT2	1660.4942	ECT2	528.8159
EDA2R	113.393	EDA2R	309.1163
EDARADD	472.6954	EDARADD	420.8872
EDAR	9.6963	EDAR	91.1631
EDA	44.9801	EDA	147.3978
EDC3	913.6085	EDC3	826.7552
EDC4	797.7294	EDC4	890.985
EDEM1	2006.8682	EDEM1	2083.8282
EDEM2	528.4493	EDEM2	321.6905
EDEM3	1870.0424	EDEM3	2212.3647
EDF1	1115.6151	EDF1	833.7408
EDIL3	467.3086	EDIL3	601.467
EDN1	446.0306	EDN1	1148.0964
EDN2	67.0662	removed	removed
EDN3	18.8539	EDN3	352.4275
EDNRA	1170.0222	EDNRA	924.2054
EDNRB	314.5916	EDNRB	1211.6661
EEA1	1401.6565	EEA1	1969.9616
EED	371.4228	EED	551.1701
EEF1A1P9	5184.836	EEF1A1P9	11078.9382
EEF1A1	79072.1164	EEF1A1	180995.4593
EEF1A2	141.1353	EEF1A2	8.7321
EEF1B2	2765.8744	EEF1B2	7315.0541
EEF1D	4139.7886	EEF1D	2025.1484
EEF1E1	296.5457	EEF1E1	309.4656
EEF1G	14099.7913	EEF1G	25748.1663
EEF2K	1374.7222	EEF2K	1948.6553
EEF2	29967.0056	EEF2	40862.0328
EEFSEC	270.1259	EEFSEC	248.5819
EEPD1	136.2871	EEPD1	381.7674
EFCAB1	7.2722	EFCAB1	210.9675
EFCAB2	56.0232	EFCAB2	120.503
EFCAB4A	406.976	EFCAB4A	818.3723
EFCAB4B	252.3736	EFCAB4B	208.5225
removed	removed	EFCAB5	5.2393
EFCAB6	81.072	EFCAB6	155.7806
EFCAB7	179.6512	EFCAB7	356.2696
EFEMP1	2648.1718	EFEMP1	6057.6319
EFEMP2	906.6056	EFEMP2	578.065
EFHA1	615.9855	EFHA1	1107.5795
EFHA2	68.9516	EFHA2	384.2124
removed	removed	EFHB	13.2728
EFHC1	824.9949	EFHC1	725.4628
EFHC2	36.3612	EFHC2	25.1484
EFHD1	7167.1941	EFHD1	2986.7272
EFHD2	527.6412	EFHD2	334.2648
EFNA1	1107.8042	EFNA1	1155.4314
EFNA3	315.3996	EFNA3	97.4502
EFNA4	316.477	EFNA4	156.4792
EFNA5	297.8924	EFNA5	882.9899
EFNB1	306.7807	EFNB1	450.227
EFNB2	1126.3888	EFNB2	1712.5393
EFNB3	116.0865	EFNB3	405.1694
