gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
C3orf42	16.3681	C3orf42	20.3313
C3orf47	31.8269	C3orf47	54.5934
C3orf52	144.1302	C3orf52	120.1054
C3orf54	19.0961	C3orf54	31.6265
removed	removed	C3orf55	94.1265
C3orf57	61.3804	C3orf57	50.4518
C3orf58	364.1902	C3orf58	1535.0151
C3orf59	375.1023	C3orf59	245.8584
C3orf62	99.5726	C3orf62	135.1657
C3orf63	1937.4057	C3orf63	1956.6566
C3orf64	411.0212	C3orf64	955.5723
C3orf67	163.681	C3orf67	12.0482
C3orf70	132.3088	C3orf70	75.3012
C3orf71	10.4574	C3orf71	35.3087
removed	removed	C3orf72	7.5301
C3orf75	411.9305	C3orf75	318.5241
C3	6190.7793	C3	15042.1687
C4A	2397.1538	C4A	6623.7123
removed	removed	C4BPA	81.7018
removed	removed	C4BPB	12.8012
C4orf10	151.4959	C4orf10	312.8276
C4orf12	16.8228	C4orf12	57.2289
C4orf14	719.2871	C4orf14	558.7349
C4orf19	20.4874	C4orf19	120.9601
C4orf21	174.5931	C4orf21	95.256
C4orf23	331.454	C4orf23	568.9006
C4orf27	343.2754	C4orf27	268.0723
C4orf29	167.773	C4orf29	185.6175
C4orf31	30.0082	C4orf31	464.9849
C4orf32	194.1439	C4orf32	719.1265
C4orf33	134.1275	C4orf33	169.8042
C4orf34	2554.333	C4orf34	1549.6988
C4orf36	10.0027	C4orf36	10.9187
removed	removed	C4orf38	13.5542
C4orf39	16.8228	C4orf39	18.4488
C4orf3	2304.2648	C4orf3	3132.1536
C4orf41	1694.0984	C4orf41	1162.6506
C4orf42	308.7206	C4orf42	304.9699
C4orf43	294.6258	C4orf43	262.4247
C4orf46	341.1294	C4orf46	108.4337
C4orf47	6.3654	C4orf47	8.2831
C4orf48	44.5576	C4orf48	5.2711
C4orf49	5.456	C4orf49	32.3795
C4orf52	284.6231	C4orf52	267.6958
C4orf6	5.9107	removed	removed
C4orf7	478.3123	C4orf7	509.7892
C5AR1	61.835	C5AR1	79.8193
C5orf13	4315.7225	C5orf13	274.4729
C5orf15	1485.4051	C5orf15	895.3313
C5orf20	10.4574	removed	removed
C5orf22	868.4187	C5orf22	516.9428
C5orf23	184.5958	C5orf23	885.5422
C5orf24	1961.444	C5orf24	1118.5994
C5orf25	549.5863	C5orf25	270.7078
removed	removed	C5orf27	12.4247
C5orf28	327.362	C5orf28	240.5873
C5orf30	883.8774	C5orf30	309.1114
C5orf32	381.013	C5orf32	689.759
C5orf33	1854.142	C5orf33	803.8404
C5orf34	168.6824	C5orf34	47.0633
C5orf35	249.1589	C5orf35	160.7681
C5orf36	54.5603	C5orf36	100.5271
C5orf38	35.9189	C5orf38	95.6325
C5orf39	240.9748	C5orf39	40.2861
C5orf41	446.9401	C5orf41	801.5813
C5orf42	1140.311	C5orf42	672.4398
C5orf43	1981.4495	C5orf43	864.4578
C5orf44	539.9427	C5orf44	433.8667
C5orf45	130.0173	C5orf45	200.384
C5orf46	8.6387	C5orf46	20.7078
C5orf49	21.8241	C5orf49	9.7892
C5orf4	218.696	C5orf4	1792.5452
C5orf51	1307.6294	C5orf51	887.0482
C5orf53	238.7015	C5orf53	399.8494
C5orf54	342.3661	C5orf54	125
C5orf55	44.1029	C5orf55	51.2048
C5orf56	29.1352	C5orf56	112.0444
C5orf62	436.028	C5orf62	640.8133
C5	212.3306	C5	156.6265
C6orf105	10.0027	C6orf105	60.6175
C6orf106	3297.7176	C6orf106	3211.5964
C6orf108	319.6326	C6orf108	175.8283
removed	removed	C6orf114	8.2831
C6orf115	1854.5967	C6orf115	518.4488
C6orf120	884.1775	C6orf120	1078.2455
C6orf122	8.1568	C6orf122	10.802
removed	removed	C6orf123	6.7771
C6orf124	8.6387	C6orf124	25.6024
C6orf125	816.3408	C6orf125	798.2907
C6orf129	637.4466	C6orf129	55.7229
C6orf130	550.1	C6orf130	501.0279
C6orf132	238.7015	C6orf132	201.8072
C6orf134	346.9128	C6orf134	209.7139
C6orf136	255.0696	C6orf136	203.3133
C6orf138	7.2747	C6orf138	15.0602
C6orf141	7.2747	C6orf141	60.6175
C6orf145	684.2775	C6orf145	1195.7831
C6orf147	5.3196	C6orf147	5.6476
C6orf150	77.7485	C6orf150	51.5813
C6orf153	937.5284	C6orf153	592.997
C6orf154	30.9175	C6orf154	8.6596
C6orf155	12.2761	C6orf155	94.1265
removed	removed	C6orf15	10.9187
C6orf162	38.6469	C6orf162	117.6657
removed	removed	C6orf163	11.2952
removed	removed	C6orf164	14.1114
C6orf165	5.0696	C6orf165	17.0745
C6orf167	624.7158	C6orf167	282.003
C6orf168	437.8467	C6orf168	163.0271
C6orf170	351.0048	C6orf170	129.8946
C6orf174	49.1043	C6orf174	192.8878
C6orf182	318.2686	C6orf182	100.5271
C6orf186	9.5481	C6orf186	8.6596
C6orf192	112.758	C6orf192	291.0392
C6orf1	258.2523	C6orf1	185.994
C6orf201	7.2838	C6orf201	36.939
C6orf203	293.2618	C6orf203	187.8765
C6orf204	40.4656	C6orf204	72.2892
C6orf211	1948.7133	C6orf211	643.4488
C6orf217	6.82	C6orf217	10.9187
removed	removed	C6orf223	3215.5045
C6orf225	216.4227	C6orf225	135.9187
C6orf226	59.107	C6orf226	57.6054
C6orf26	7.2747	C6orf26	26.619
C6orf27	6.82	C6orf27	47.4398
C6orf35	280.5311	C6orf35	377.259
C6orf41	6.82	C6orf41	6.7771
C6orf47	727.9258	C6orf47	565.8886
C6orf48	1609.9845	C6orf48	1019.2018
C6orf52	10.9121	C6orf52	10.5422
C6orf57	195.0532	C6orf57	110.3163
removed	removed	C6orf59	10.9187
C6orf62	4461.6214	C6orf62	2063.9797
C6orf64	1284.4412	C6orf64	522.9669
C6orf70	343.2754	C6orf70	399.4729
C6orf72	787.0328	C6orf72	1031.6265
removed	removed	C6orf81	6.7771
C6orf89	2953.5328	C6orf89	3204.4428
C6orf97	108.666	C6orf97	228.5392
removed	removed	C6	33.1325
C7orf10	60.471	C7orf10	53.4639
C7orf11	359.1889	C7orf11	251.1295
C7orf13	416.9319	C7orf13	154.3675
C7orf23	150.9503	C7orf23	321.0768
C7orf25	465.5679	C7orf25	255.2711
C7orf26	577.4302	C7orf26	554.9699
C7orf27	1073.0199	C7orf27	775.6024
C7orf28A	2026.9164	C7orf28A	570.7831
C7orf28B	631.0812	C7orf28B	521.0843
C7orf29	110.03	C7orf29	143.4488
C7orf30	294.1711	C7orf30	253.7651
C7orf31	47.7403	C7orf31	118.9759
C7orf36	239.6108	C7orf36	132.1536
C7orf40	349.6635	C7orf40	224.0211
C7orf41	1099.3907	C7orf41	4160.0151
C7orf42	4235.7006	C7orf42	2728.1627
C7orf43	178.6851	C7orf43	315.8886
C7orf44	840.2292	C7orf44	544.0512
C7orf46	91.3886	C7orf46	150.6024
C7orf47	85.0232	C7orf47	116.3404
C7orf49	491.4659	C7orf49	572.3645
C7orf50	1223.5155	C7orf50	498.494
C7orf51	9.0934	C7orf51	43.2982
C7orf53	9.0934	C7orf53	23.7199
C7orf55	276.9164	C7orf55	194.1453
C7orf58	251.8869	C7orf58	1287.6506
C7orf59	792.9435	C7orf59	632.5301
C7orf60	229.6081	C7orf60	312.5
removed	removed	C7orf61	8.2831
C7orf63	48.6496	C7orf63	207.0783
C7orf64	255.5242	C7orf64	267.3193
C7orf68	289.6244	C7orf68	852.7861
C7orf70	842.9572	C7orf70	359.9398
C7	534.2366	C7	991.7169
C8ORFK29	7.843	removed	removed
C8orf30A	1064.3812	C8orf30A	397.5904
removed	removed	C8orf31	10.5422
C8orf33	1777.3029	C8orf33	1105.0452
removed	removed	C8orf34	19.9548
C8orf37	124.1248	C8orf37	73.7952
C8orf38	802.4916	C8orf38	155.497
C8orf39	17.2774	C8orf39	9.0361
C8orf40	1946.4399	C8orf40	502.259
C8orf41	125.0296	C8orf41	246.3404
C8orf42	2538.4196	C8orf42	315.512
C8orf44	11.5668	C8orf44	36.5136
C8orf45	30.0082	C8orf45	39.9096
removed	removed	C8orf46	33.1325
removed	removed	C8orf47	12.0482
C8orf48	11.8214	C8orf48	19.2018
C8orf4	677.9122	C8orf4	1309.1114
C8orf51	131.8541	C8orf51	34.262
C8orf55	1019.8236	C8orf55	774.4729
C8orf58	82.7498	C8orf58	185.241
C8orf59	1215.0359	C8orf59	391.9503
C8orf73	9.5481	C8orf73	323.0422
removed	removed	C8orf75	78.3133
C8orf76	583.7956	C8orf76	233.0836
C8orf77	5.0014	removed	removed
C8orf79	66.3817	C8orf79	464.2319
C8orf80	7.7294	C8orf80	15.8133
C8orf83	568.7915	C8orf83	369.7289
C8orf84	78.2031	C8orf84	233.8102
C8orf85	101.846	C8orf85	185.241
C9orf100	81.8723	C9orf100	67.2289
C9orf102	121.3104	C9orf102	236.3554
C9orf103	101.846	C9orf103	151.3554
C9orf109	21.3695	C9orf109	14.6837
C9orf110	165.045	C9orf110	98.6446
C9orf114	529.7126	C9orf114	488.1062
C9orf116	52.287	C9orf116	24.4729
C9orf117	6.3654	C9orf117	6.0241
C9orf119	404.6558	C9orf119	240.5873
removed	removed	C9orf122	15.8133
C9orf123	410.5665	C9orf123	537.6506
C9orf125	34.1002	C9orf125	105.0452
removed	removed	C9orf128	11.6717
C9orf129	92.6571	C9orf129	102.1724
C9orf130	52.437	C9orf130	103.2681
C9orf140	466.9455	C9orf140	118.5994
C9orf142	135.9462	C9orf142	256.4006
C9orf150	1308.9934	C9orf150	364.8343
C9orf152	779.3034	C9orf152	650.6024
C9orf156	230.9721	C9orf156	291.0392
C9orf163	9.0934	C9orf163	8.6596
C9orf167	56.379	C9orf167	57.2289
removed	removed	C9orf169	8.1965
C9orf16	660.6347	C9orf16	338.8554
removed	removed	C9orf172	5.6476
C9orf21	132.3088	C9orf21	201.0542
C9orf23	230.5174	C9orf23	251.506
C9orf25	365.0996	C9orf25	530.1205
C9orf30	332.3907	C9orf30	169.552
C9orf37	35.9189	C9orf37	118.9759
C9orf3	148.7178	C9orf3	309.7854
C9orf40	124.5794	C9orf40	115.5873
C9orf41	197.3265	C9orf41	204.0663
C9orf44	6.3654	removed	removed
C9orf45	75.9298	C9orf45	142.6958
C9orf46	347.8221	C9orf46	266.5663
C9orf47	8.6842	C9orf47	113.5241
C9orf5	1351.2776	C9orf5	3140.8133
C9orf64	418.7506	C9orf64	316.6416
C9orf66	21.8241	C9orf66	69.3788
C9orf68	9.0934	C9orf68	62.1235
C9orf69	677.9122	C9orf69	585.8434
C9orf6	340.5474	C9orf6	407.3795
C9orf72	167.3184	C9orf72	267.6958
C9orf78	1813.2218	C9orf78	1120.8584
C9orf7	1575.4297	C9orf7	678.0873
C9orf80	356.0062	C9orf80	263.1777
C9orf82	300.9912	C9orf82	356.5512
C9orf85	121.3967	C9orf85	135.5422
C9orf86	1133.491	C9orf86	1330.9488
C9orf89	166.409	C9orf89	149.4729
C9orf91	1226.2435	C9orf91	1233.8102
C9orf93	97.7539	C9orf93	123.494
C9orf95	210.9666	C9orf95	417.1687
C9orf96	13.6401	C9orf96	16.1898
C9orf98	32.7362	C9orf98	31.25
C9orf9	126.8528	C9orf9	114.8343
CA11	34.5549	CA11	212.7146
CA12	3721.4695	CA12	3069.2771
CA13	50.923	CA13	238.1589
CA14	12.2761	CA14	6.4006
CA2	123.2154	CA2	511.6717
CA3	7.2747	CA3	276.1483
removed	removed	CA4	478.9157
CA5BP	247.7949	CA5BP	192.0181
CA5B	586.4099	CA5B	360.0264
CA8	177.3211	CA8	204.8193
CAB39L	838.8651	CAB39L	1821.5361
CAB39	1557.6976	CAB39	2470.256
CABC1	569.3507	CABC1	1756.9202
CABIN1	1375.8298	CABIN1	1583.5843
CABLES1	192.3252	CABLES1	915.2861
CABLES2	385.105	CABLES2	159.6386
CABP1	6.82	CABP1	22.5904
removed	removed	CABP4	10.9187
CABYR	90.9339	CABYR	54.2169
CACHD1	484.223	CACHD1	1376.506
CACNA1A	34.5549	CACNA1A	14.6837
CACNA1B	28.1895	removed	removed
CACNA1C	274.6567	CACNA1C	394.5708
CACNA1D	111.8487	CACNA1D	211.9729
CACNA1E	26.8255	removed	removed
removed	removed	CACNA1F	22.9669
removed	removed	CACNA1G	33.1325
CACNA1H	179.1398	CACNA1H	68.9006
removed	removed	CACNA1I	14.3072
CACNA2D1	87.2965	CACNA2D1	247.741
CACNA2D2	407.8385	CACNA2D2	96.009
CACNA2D3	5.9107	CACNA2D3	12.0482
CACNA2D4	9.0934	CACNA2D4	54.9699
CACNB1	45.0123	CACNB1	204.8193
CACNB2	23.6428	CACNB2	41.0392
CACNB3	1110.7575	CACNB3	265.0602
CACNB4	37.7376	CACNB4	101.6566
CACNG1	65.0177	removed	removed
CACNG4	1762.7535	CACNG4	124.247
CACNG6	18.6414	removed	removed
CACYBP	2411.1121	CACYBP	1084.7139
CADM1	484.6776	CADM1	527.4849
removed	removed	CADM2	200.6777
CADM3	125.7207	CADM3	313.0685
CADM4	1203.0554	CADM4	417.9217
CADPS2	1379.4671	CADPS2	1422.4398
CAD	1228.9715	CAD	1018.8253
CALB2	33.1909	CALB2	491.7169
CALCOCO1	835.2278	CALCOCO1	3474.0211
CALCOCO2	2038.7378	CALCOCO2	2896.0843
CALCRL	1123.0336	CALCRL	608.4337
CALD1	7737.5648	CALD1	8099.7741
CALHM2	617.8958	CALHM2	615.5873
CALM1	7459.7618	CALM1	7608.4337
CALM2	8467.3093	CALM2	6788.7801
CALM3	6123.4882	CALM3	3284.6386
CALML3	262.7989	CALML3	102.0331
CALML4	297.3538	CALML4	269.5783
CALML5	20.0055	CALML5	246.988
removed	removed	CALN1	6.7771
CALR	30815.677	CALR	11471.762
CALU	5320.0873	CALU	3169.8042
CAMK1D	204.6013	CAMK1D	66.2651
CAMK1	112.7262	CAMK1	347.052
CAMK2B	103.6646	CAMK2B	69.6536
CAMK2D	351.9142	CAMK2D	1076.8072
CAMK2G	931.163	CAMK2G	943.9006
CAMK2N1	2610.2573	CAMK2N1	674.6988
CAMK2N2	39.5562	CAMK2N2	14.6837
CAMK4	22.7335	CAMK4	9.0361
CAMKK1	104.574	CAMKK1	374.247
CAMKK2	1022.5516	CAMKK2	1281.25
CAMLG	1195.7807	CAMLG	696.5361
CAMSAP1L1	2034.6458	CAMSAP1L1	1524.0964
CAMSAP1	1026.6436	CAMSAP1	917.1687
CAMTA1	1019.3689	CAMTA1	478.1627
CAMTA2	517.4138	CAMTA2	1207.0783
CAND1	6720.4692	CAND1	2844.503
CAND2	107.302	CAND2	92.6205
CANT1	2644.8122	CANT1	1431.8524
CANX	24209.3298	CANX	20021.4608
CAP1	7685.7325	CAP1	5035.7681
CAP2	388.2877	CAP2	493.9759
CAPG	2615.7134	CAPG	1302.3343
CAPN10	131.8632	CAPN10	253.6333
CAPN11	8.6387	CAPN11	70.0301
CAPN12	36.3008	CAPN12	66.137
CAPN13	683.8229	CAPN13	839.6084
CAPN1	2476.5845	CAPN1	3005.2711
CAPN2	3604.6194	CAPN2	5608.8102
CAPN3	23.511	CAPN3	202.4172
CAPN5	181.8678	CAPN5	248.494
CAPN6	73.2018	CAPN6	280.497
CAPN7	1535.8734	CAPN7	1256.7771
CAPN8	31.3722	CAPN8	54.9699
CAPN9	155.0423	CAPN9	40.2861
CAPNS1	6353.551	CAPNS1	6600.5271
CAPRIN1	9873.1472	CAPRIN1	5114.8343
CAPRIN2	405.5652	CAPRIN2	396.8373
CAPS2	89.1152	CAPS2	54.5934
CAPSL	5.456	removed	removed
CAPS	135.9462	CAPS	122.741
CAPZA1	2738.4741	CAPZA1	2010.5422
CAPZA2	2111.485	CAPZA2	1923.1928
removed	removed	CAPZA3	5.6476
CAPZB	4816.7682	CAPZB	3076.4307
CARD10	257.3429	CARD10	561.3705
CARD11	85.4779	CARD11	70.4066
CARD14	547.8767	CARD14	269.2018
CARD16	71.3831	CARD16	56.0994
CARD6	154.5876	CARD6	301.9578
CARD8	653.8147	CARD8	846.009
CARD9	18.1868	CARD9	57.6054
CARHSP1	1167.9958	CARHSP1	1215.7229
CARKD	821.133	CARKD	1238.3283
CARM1	3149.0406	CARM1	711.2199
CARNS1	21.8241	CARNS1	33.8855
CARS2	530.4674	CARS2	615.8886
CARS	477.8576	CARS	785.3916
CASC1	23.1881	CASC1	34.6386
CASC2	81.3858	CASC2	39.9096
CASC3	3051.2867	CASC3	2939.3825
CASC4	2493.862	CASC4	2225.1506
CASC5	269.1643	CASC5	67.3946
CASD1	539.238	CASD1	1080.1958
CASKIN1	87.1419	CASKIN1	9.6009
CASKIN2	583.3727	CASKIN2	1483.4563
CASK	3326.3617	CASK	1045.1807
CASP10	178.6851	CASP10	354.6687
removed	removed	CASP12	12.4247
CASP1	228.6987	CASP1	361.8223
CASP2	1706.3745	CASP2	908.8855
CASP3	1415.386	CASP3	511.6717
CASP4	336.9101	CASP4	702.9367
CASP6	1074.3839	CASP6	354.2922
CASP7	565.6088	CASP7	721.009
CASP8AP2	1158.0431	CASP8AP2	709.3373
CASP8	368.2823	CASP8	463.8554
CASP9	447.3947	CASP9	332.8313
CASQ1	5.456	removed	removed
CASQ2	24.5522	CASQ2	69.2771
CASS4	21.8241	CASS4	18.0723
CAST	3121.0148	CAST	5383.9684
CASZ1	1665.4542	CASZ1	1121.2349
removed	removed	CATSPER2P1	23.6295
CATSPER2	6.82	CATSPER2	53.3848
CATSPER3	6.0016	CATSPER3	6.9164
CATSPERB	16.8228	CATSPERB	48.5693
CATSPERG	20.4601	CATSPERG	36.1446
CAT	1193.0527	CAT	5149.8494
CAV1	1517.232	CAV1	10675.4857
CAV2	809.7663	CAV2	2737.9179
CBARA1	1373.5564	CBARA1	1109.1867
CBFA2T2	1018.4596	CBFA2T2	755.6476
CBFA2T3	340.5474	CBFA2T3	243.5994
CBFB	1248.5223	CBFB	700.3012
CBLB	575.6115	CBLB	662.6506
CBLC	35.4642	CBLC	98.2681
CBLL1	1001.6368	CBLL1	605.7982
CBLN1	25.9162	CBLN1	18.0723
CBLN3	18.6414	CBLN3	57.6054
CBLN4	31.3722	CBLN4	25.2259
CBL	874.784	CBL	1296.6867
CBR1	1104.1329	CBR1	521.9277
CBR3	182.7771	CBR3	212.7259
CBR4	609.7117	CBR4	568.1514
CBS	186.8691	CBS	83.5843
CBWD1	890.6975	CBWD1	555.3464
CBWD2	536.51	CBWD2	574.1717
CBWD3	346.4581	CBWD3	574.2357
removed	removed	CBWD5	26.6679
CBWD6	293.2618	CBWD6	110.6928
CBX1	3831.0448	CBX1	1247.3645
CBX2	1382.6498	CBX2	149.4729
CBX3	6455.8516	CBX3	1832.8313
CBX4	1565.8816	CBX4	363.7048
CBX5	3003.5464	CBX5	3324.1717
CBX6	200.9639	CBX6	560.6175
CBX7	327.362	CBX7	2215.3614
CBX8	215.968	CBX8	79.4428
CBY1	481.3722	CBY1	490.7944
CC2D1A	1353.0963	CC2D1A	964.6084
CC2D1B	638.3559	CC2D1B	775.6024
CC2D2A	190.5065	CC2D2A	457.8313
CC2D2B	7.2747	CC2D2B	8.2831
CCAR1	2121.033	CCAR1	1388.5542
CCBE1	5.0014	CCBE1	67.7711
CCBL1	38.1922	CCBL1	464.2319
CCBL2	544.1257	CCBL2	734.5934
CCBP2	14.0948	CCBP2	80.9488
CCDC101	255.9789	CCDC101	243.2229
CCDC102A	142.3115	CCDC102A	160.0151
CCDC102B	108.2113	CCDC102B	52.7108
CCDC103	90.4792	CCDC103	115.2108
CCDC104	868.8733	CCDC104	594.503
CCDC106	362.8262	CCDC106	140.0602
CCDC107	141.825	CCDC107	450.4669
CCDC108	6.82	removed	removed
CCDC109A	821.133	CCDC109A	426.5813
CCDC109B	599.2543	CCDC109B	131.0241
CCDC110	175.0477	CCDC110	54.9699
CCDC111	266.1317	CCDC111	266.5286
CCDC112	406.4745	CCDC112	147.2139
CCDC113	311.4486	CCDC113	220.6325
removed	removed	CCDC114	18.4488
CCDC115	772.4834	CCDC115	812.5
removed	removed	CCDC116	6.4006
CCDC117	1748.6587	CCDC117	792.5452
CCDC11	11.3667	CCDC11	28.238
CCDC120	421.9333	CCDC120	412.6506
CCDC121	117.3047	CCDC121	128.7651
CCDC122	92.2979	CCDC122	63.6295
CCDC123	800.2182	CCDC123	397.9669
CCDC124	977.994	CCDC124	506.0241
CCDC125	696.5536	CCDC125	663.0271
CCDC126	210.9666	CCDC126	207.0783
CCDC127	388.2877	CCDC127	343.3735
removed	removed	CCDC129	20.7078
CCDC12	350.5502	CCDC12	394.2018
CCDC130	597.8903	CCDC130	382.9066
CCDC132	516.5045	CCDC132	719.1265
CCDC134	51.3776	CCDC134	62.8765
CCDC136	14.0948	CCDC136	48.1928
CCDC137	476.4936	CCDC137	504.1416
CCDC138	125.9434	CCDC138	68.1476
CCDC141	18.1868	CCDC141	727.4096
CCDC142	81.9951	CCDC142	119.3524
CCDC144A	46.0489	CCDC144A	140.0075
CCDC144B	30.4629	CCDC144B	163.0271
removed	removed	CCDC144C	6.4006
CCDC144NL	28.6442	removed	removed
CCDC146	108.2113	CCDC146	192.0181
CCDC147	7.2747	CCDC147	21.4608
CCDC148	19.0961	CCDC148	18.8253
CCDC149	593.7983	CCDC149	777.8614
CCDC14	834.7731	CCDC14	896.0843
CCDC150	76.3845	CCDC150	8.2831
CCDC152	57.3566	CCDC152	124.631
CCDC153	11.3667	CCDC153	9.0361
CCDC155	7.2747	removed	removed
CCDC157	73.7019	CCDC157	39.9586
CCDC158	7.7294	CCDC158	54.2169
CCDC159	71.3831	CCDC159	176.9578
CCDC15	70.0191	CCDC15	562.8765
CCDC160	25.0068	CCDC160	112.1988
CCDC163P	51.3776	CCDC163P	34.6386
removed	removed	CCDC17	15.0602
CCDC18	74.5658	CCDC18	45.9337
CCDC19	100.4819	CCDC19	16.9428
CCDC21	675.1841	CCDC21	353.1627
CCDC22	513.2172	CCDC22	383.927
CCDC23	680.6402	CCDC23	246.988
CCDC24	179.4899	CCDC24	121.698
CCDC25	441.9387	CCDC25	1178.0873
CCDC28A	370.5556	CCDC28A	392.6958
CCDC28B	90.9339	CCDC28B	27.4849
CCDC30	130.4901	CCDC30	90.3614
CCDC34	282.8044	CCDC34	155.8735
CCDC36	18.1868	CCDC36	74.5482
removed	removed	CCDC39	22.9669
CCDC3	263.7083	CCDC3	2007.1536
CCDC40	235.0641	CCDC40	96.009
CCDC41	307.8112	CCDC41	181.4759
CCDC43	708.8297	CCDC43	322.2892
CCDC45	501.0457	CCDC45	657.756
CCDC46	120.0327	CCDC46	333.9608
CCDC47	3724.1975	CCDC47	4471.009
CCDC48	77.7485	CCDC48	205.9488
CCDC50	1269.4371	CCDC50	2573.4187
CCDC51	182.7771	CCDC51	220.256
CCDC52	571.9742	CCDC52	450.3012
CCDC53	314.1766	CCDC53	378.3886
CCDC55	1121.2149	CCDC55	714.2319
CCDC56	710.4392	CCDC56	657.7598
CCDC57	250.0682	CCDC57	1597.5151
CCDC58	181.4131	CCDC58	88.1024
CCDC59	356.4609	CCDC59	303.8404
CCDC61	39.1016	CCDC61	119.7289
CCDC62	21.3695	CCDC62	5.6476
CCDC64B	241.8842	CCDC64B	496.6114
CCDC64	195.9625	CCDC64	140.4367
CCDC65	15.4588	CCDC65	11.6717
CCDC66	281.836	CCDC66	382.9518
removed	removed	CCDC67	10.1657
CCDC68	20.0055	CCDC68	79.4428
CCDC69	317.8139	CCDC69	2021.0843
CCDC6	5181.4131	CCDC6	3138.9307
CCDC71	217.332	CCDC71	405.1205
CCDC72	1572.7016	CCDC72	787.6506
CCDC73	59.739	CCDC73	33.6295
CCDC74A	470.1282	CCDC74A	101.6566
CCDC74B	45.9216	CCDC74B	37.2741
CCDC75	82.2952	CCDC75	153.6145
CCDC76	190.7748	CCDC76	308.2718
CCDC77	590.161	CCDC77	128.012
CCDC78	8.6387	CCDC78	10.9187
CCDC7	70.9284	CCDC7	46.9729
CCDC80	2967.6275	CCDC80	7708.2078
CCDC81	21.8241	CCDC81	56.4759
CCDC82	183.6865	CCDC82	472.8916
CCDC83	5.456	removed	removed
CCDC84	65.4724	CCDC84	109.1867
CCDC85A	33.1909	CCDC85A	246.9239
CCDC85B	149.5863	CCDC85B	145.3313
CCDC85C	783.5319	CCDC85C	532.2741
CCDC86	532.8681	CCDC86	374.5181
CCDC87	13.6401	CCDC87	10.5422
CCDC88A	421.9333	CCDC88A	604.2922
CCDC88B	106.8473	CCDC88B	222.1386
CCDC88C	2682.0951	CCDC88C	1309.1114
CCDC89	24.0975	CCDC89	37.2741
CCDC8	230.5174	CCDC8	1118.5994
CCDC90A	594.7076	CCDC90A	414.5331
CCDC90B	659.2616	CCDC90B	568.4977
CCDC91	832.0451	CCDC91	486.8223
CCDC92	748.8406	CCDC92	689.759
CCDC93	593.3436	CCDC93	1106.9277
CCDC94	260.9803	CCDC94	257.9066
CCDC96	81.3858	CCDC96	60.6175
CCDC97	808.4023	CCDC97	937.5
CCDC99	762.9353	CCDC99	168.6747
CCDC9	373.7383	CCDC9	421.6867
CCHCR1	507.4111	CCHCR1	358.8102
CCIN	7.2747	CCIN	5.6476
CCKBR	54.5603	removed	removed
CCL11	5.9107	removed	removed
CCL13	8.1841	CCL13	18.4488
CCL14	136.3963	CCL14	1534.5708
CCL17	12.2761	removed	removed
CCL18	20.0055	CCL18	21.0843
CCL19	430.1173	CCL19	75.3012
CCL21	245.9762	CCL21	948.4187
CCL22	65.0177	CCL22	66.6416
CCL25	5.0014	removed	removed
CCL28	195.5079	CCL28	1045.9337
CCL2	309.1752	CCL2	256.0241
CCL3L1	41.143	CCL3L1	7.3117
CCL3	82.7498	CCL3	67.7711
CCL4L2	82.7498	CCL4L2	22.2139
CCL4	83.2045	CCL4	50.0753
CCL5	625.1705	CCL5	323.4187
CCL8	35.4642	CCL8	39.1566
CCM2	862.0533	CCM2	683.7349
removed	removed	CCNA1	11.2952
CCNA2	1186.0416	CCNA2	118.4036
CCNB1IP1	943.8938	CCNB1IP1	654.744
CCNB1	1715.4679	CCNB1	123.1175
CCNB2	577.4302	CCNB2	31.25
CCNB3	49.559	CCNB3	11.6717
CCNC	2170.1373	CCNC	1612.9518
CCND1	5596.2126	CCND1	2670.6438
CCND2	451.9414	CCND2	877.259
CCND3	1037.101	CCND3	1452.9367
CCNDBP1	371.0103	CCNDBP1	1066.6416
CCNE1	241.4295	CCNE1	58.7349
CCNE2	544.2302	CCNE2	138.1777
CCNF	527.8712	CCNF	873.8705
CCNG1	2572.5198	CCNG1	3135.5422
CCNG2	2064.654	CCNG2	1544.8042
CCNH	379.0079	CCNH	621.7997
CCNI2	14.2039	CCNI2	5.0113
CCNI	5996.1808	CCNI	6279.744
CCNJL	178.2304	CCNJL	57.9819
CCNJ	652.4507	CCNJ	171.6867
CCNK	1076.5209	CCNK	817.1235
CCNL1	710.1937	CCNL1	2163.7801
CCNL2	1132.1269	CCNL2	2312.8765
CCNO	8.1841	CCNO	65.512
CCNT1	319.6326	CCNT1	336.5964
CCNT2	883.8774	CCNT2	926.9578
CCNYL1	305.5379	CCNYL1	516.9428
CCNY	2536.6009	CCNY	1562.8765
CCPG1	1855.6379	CCPG1	3062.6468
removed	removed	CCR10	22.9669
CCR1	89.5699	CCR1	75.3012
CCR2	94.5712	CCR2	64.006
CCR4	55.4697	CCR4	5.6476
CCR5	155.497	CCR5	64.759
CCR6	37.6194	CCR6	19.3336
CCR7	65.4724	CCR7	22.9669
CCR8	21.8241	removed	removed
CCRL1	25.0068	CCRL1	92.6205
CCRL2	50.4683	CCRL2	94.1265
CCRN4L	108.666	CCRN4L	144.2018
CCS	298.2632	CCS	368.2229
CCT2	6024.825	CCT2	2210.4669
CCT3	11005.2742	CCT3	4196.1596
CCT4	5744.2939	CCT4	3274.0964
