gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
ACOT1	181.5913	ACOT1	413.5681
ACOT2	51.0606	ACOT2	228.7677
ACOT4	162.0117	ACOT4	115.4143
ACOT7	808.139	ACOT7	155.9468
ACOT8	213.364	ACOT8	176.8313
ACOT9	1157.8846	ACOT9	417.69
ACOX1	1127.8203	ACOX1	1750.389
ACOX2	49.141	ACOX2	217.0889
ACOX3	805.4516	ACOX3	676.6853
ACP1	1321.432	ACP1	1244.1391
ACP2	1669.2581	ACP2	794.1606
ACP5	1657.3568	ACP5	666.7239
ACP6	221.9023	ACP6	277.544
ACPL2	814.6655	ACPL2	441.7347
ACPP	18.8118	ACPP	52.8982
ACRBP	22.267	ACRBP	26.1056
ACRC	10.7496	ACRC	32.2885
removed	removed	ACR	6.1829
ACSBG1	7.6783	ACSBG1	8.2439
ACSF2	559.7466	ACSF2	929.4976
ACSF3	310.2025	ACSF3	276.17
ACSL1	1834.3411	ACSL1	6252.2971
ACSL3	2456.2818	ACSL3	2901.1593
ACSL4	1599.3857	ACSL4	1224.5599
ACSL5	844.6108	ACSL5	1187.1189
ACSL6	28.4096	ACSL6	21.6402
removed	removed	ACSM1	16.1443
removed	removed	ACSM3	137.6591
removed	removed	ACSM5	177.2435
ACSS1	246.8567	ACSS1	1033.2331
ACSS2	680.2956	ACSS2	1372.2628
ACSS3	97.8981	ACSS3	528.6389
ACTA1	252.6154	removed	removed
ACTA2	17422.2862	ACTA2	21586.3255
removed	removed	ACTBL2	5.8394
ACTB	187518.9558	ACTB	50405.4959
removed	removed	ACTC1	34.693
ACTG1	151833.7652	ACTG1	36076.5994
ACTG2	3201.4589	ACTG2	3454.5298
ACTL6A	2655.1492	ACTL6A	816.4878
ACTL8	82.5415	removed	removed
ACTN1	20019.9635	ACTN1	7425.3328
ACTN2	26.874	removed	removed
ACTN4	29301.7526	ACTN4	8624.2061
ACTR10	973.9898	ACTR10	1060.3693
ACTR1A	2541.8946	ACTR1A	1905.7106
ACTR1B	1119.1093	ACTR1B	1302.1898
ACTR2	7336.2127	ACTR2	5251.009
ACTR3B	211.1527	ACTR3B	175.8695
ACTR3C	18.4279	ACTR3C	54.6157
ACTR3	9687.686	ACTR3	2919.3645
ACTR5	215.7597	ACTR5	220.5238
ACTR6	439.5815	ACTR6	643.7097
ACTR8	434.2067	ACTR8	612.4517
ACVR1B	467.9912	ACVR1B	1294.2894
ACVR1C	70.6402	ACVR1C	690.7686
ACVR1	1145.9833	ACVR1	1019.8368
ACVR2A	246.4728	ACVR2A	611.0777
ACVR2B	266.4363	ACVR2B	710.3478
ACVRL1	454.9381	ACVRL1	595.9639
ACY1	567.4249	ACY1	430.9008
ACY3	38.0075	ACY3	20.6097
ACYP1	76.7828	ACYP1	79.3474
ACYP2	71.0241	ACYP2	139.1155
ADAL	88.3002	ADAL	190.9833
ADAM10	1471.5424	ADAM10	2122.1125
ADAM11	7.2944	ADAM11	17.8617
ADAM12	2807.947	ADAM12	415.629
ADAM15	11010.7534	ADAM15	1703.4676
ADAM17	1863.1347	ADAM17	808.5874
ADAM19	1307.995	ADAM19	240.103
ADAM22	8.83	ADAM22	88.9652
ADAM23	23.8027	ADAM23	54.2722
ADAM28	117.0938	ADAM28	172.778
removed	removed	ADAM29	5.4959
ADAM32	9.9818	ADAM32	27.1361
ADAM33	26.4901	ADAM33	475.1842
ADAM6	163833.3928	ADAM6	32814.444
ADAM8	851.5213	ADAM8	124.3452
ADAM9	3710.1449	ADAM9	2281.8377
ADAMDEC1	211.9205	ADAMDEC1	114.0404
ADAMTS10	62.1941	ADAMTS10	119.8798
ADAMTS12	886.0735	ADAMTS12	93.4307
ADAMTS13	11.5174	ADAMTS13	94.1176
ADAMTS14	84.845	removed	removed
ADAMTS15	14.2048	ADAMTS15	361.7003
ADAMTS16	33.4005	ADAMTS16	27.4796
ADAMTS17	61.8102	ADAMTS17	29.1971
removed	removed	ADAMTS18	53.2417
ADAMTS19	6.9105	removed	removed
ADAMTS1	597.7541	ADAMTS1	2010.4766
ADAMTS2	1028.5056	ADAMTS2	276.5135
ADAMTS3	91.3715	ADAMTS3	57.3637
ADAMTS4	2949.2274	ADAMTS4	53.9287
ADAMTS5	117.8616	ADAMTS5	1448.1752
ADAMTS6	89.8359	ADAMTS6	20.9532
ADAMTS7	277.9537	ADAMTS7	37.0975
removed	removed	ADAMTS8	27.8231
ADAMTS9	138.593	ADAMTS9	488.7935
ADAMTSL1	27.6418	ADAMTSL1	158.0077
ADAMTSL2	98.6659	ADAMTSL2	40.8759
ADAMTSL3	116.7099	ADAMTSL3	166.2516
ADAMTSL4	1653.5176	ADAMTSL4	319.7939
ADAMTSL5	51.0606	ADAMTSL5	30.2276
ADAP1	182.1864	ADAP1	131.8197
ADAP2	324.0234	ADAP2	293.6883
ADARB1	544.774	ADARB1	1039.7596
ADAR	26665.8988	ADAR	10841.3912
ADAT1	178.9039	ADAT1	299.5277
ADAT2	86.7646	ADAT2	208.845
ADAT3	67.5689	ADAT3	17.5182
ADA	217.6792	ADA	84.4998
ADCK1	131.6825	ADCK1	147.3594
ADCK2	921.0097	ADCK2	614.2653
ADCK4	489.1064	ADCK4	374.7531
ADCK5	154.7173	ADCK5	75.5689
ADCY1	52.9801	ADCY1	623.1
ADCY2	536.7118	ADCY2	89.6522
ADCY3	2282.5415	ADCY3	1108.1151
ADCY4	107.4959	ADCY4	400.8587
removed	removed	ADCY5	284.4139
ADCY6	951.7228	ADCY6	2792.6149
ADCY7	767.0602	ADCY7	526.9214
ADCY9	667.6265	ADCY9	830.5711
removed	removed	ADCYAP1R1	28.8536
ADCYAP1	105.1924	ADCYAP1	10.3049
ADC	76.7828	ADC	194.0747
ADD1	4041.0788	ADD1	6282.1812
ADD2	37.6236	ADD2	66.2945
ADD3	1086.0927	ADD3	3252.2112
removed	removed	ADH1A	190.176
ADH1B	377.3875	ADH1B	14183.9416
ADH1C	36.8557	ADH1C	353.7999
removed	removed	ADH4	9.2744
ADH5	1850.0816	ADH5	3415.0279
ADH7	101.7372	ADH7	18.2052
ADHFE1	31.8649	ADHFE1	324.6028
ADI1	1362.1269	ADI1	1402.4903
ADIPOQ	199.6353	ADIPOQ	12393.6453
ADIPOR1	2286.9757	ADIPOR1	2076.4277
ADIPOR2	2086.1887	ADIPOR2	2419.5792
ADK	549.7649	ADK	432.4603
ADM2	426.1445	ADM2	111.6359
ADM	1469.6228	ADM	344.5255
ADNP2	710.2409	ADNP2	841.9064
ADNP	2535.752	ADNP	3309.2314
ADORA1	129.7629	ADORA1	231.8592
ADORA2A	177.3683	ADORA2A	72.821
ADORA2B	188.1179	ADORA2B	63.8901
ADORA3	150.4943	ADORA3	127.4367
ADO	391.5923	ADO	662.9455
ADPGK	1057.4451	ADPGK	908.9566
ADPRHL1	82.1576	ADPRHL1	54.6157
ADPRHL2	968.2311	ADPRHL2	538.2568
ADPRH	434.2067	ADPRH	434.8647
removed	removed	ADRA1A	29.1971
ADRA1B	8.0622	ADRA1B	17.8617
ADRA2A	114.0225	ADRA2A	1147.9605
ADRA2B	36.4718	ADRA2B	32.9755
ADRA2C	8.0622	ADRA2C	43.9674
ADRB1	21.4992	ADRB1	31.945
ADRB2	20.3474	ADRB2	203.0056
removed	removed	ADRB3	5.1524
ADRBK1	2255.4948	ADRBK1	1532.3315
ADRBK2	246.8567	ADRBK2	1562.559
ADRM1	2495.441	ADRM1	727.866
ADSL	967.4633	ADSL	679.7767
ADSSL1	78.7024	ADSSL1	131.2151
ADSS	2208.6573	ADSS	1319.021
AEBP1	19163.8353	AEBP1	5384.6286
AEBP2	340.9156	AEBP2	870.073
AEN	478.7408	AEN	439.3302
AES	5575.1992	AES	5486.9901
AFAP1L1	158.9404	AFAP1L1	412.1941
AFAP1L2	384.2979	AFAP1L2	853.2417
AFAP1	1452.0434	AFAP1	1314.1812
removed	removed	AFARP1	6.5264
AFF1	971.3024	AFF1	3188.3212
removed	removed	AFF2	25.4186
AFF3	51.4445	AFF3	3000.4294
AFF4	1830.502	AFF4	3949.1627
AFG3L1	288.7033	AFG3L1	300.9017
AFG3L2	1561.0519	AFG3L2	1379.2872
AFMID	301.7564	AFMID	594.59
removed	removed	AFP	986.1743
AFTPH	1282.6567	AFTPH	1963.7613
AG2	151.2621	AG2	227.7372
removed	removed	AGAP11	305.0408
AGAP1	348.9778	AGAP1	710.3478
AGAP2	84.3305	AGAP2	116.1151
AGAP3	1266.5323	AGAP3	1222.8424
AGAP4	124.0042	AGAP4	356.5479
AGAP5	11.5405	AGAP5	74.3186
AGAP6	74.0954	AGAP6	156.6337
AGAP7	5.7587	AGAP7	13.0528
AGAP8	17.66	AGAP8	46.3718
AGA	576.2549	AGA	527.6084
removed	removed	AGBL2	21.6402
removed	removed	AGBL3	9.2744
removed	removed	AGBL4	13.0528
AGBL5	1364.4496	AGBL5	844.7231
AGER	13.0531	AGER	58.3942
AGFG1	1751.7996	AGFG1	1666.9815
AGFG2	229.5806	AGFG2	452.7265
AGGF1	366.6379	AGGF1	1031.5157
AGK	474.1338	AGK	576.3847
AGL	580.0941	AGL	1191.9279
AGMAT	91.7554	AGMAT	12.7093
AGPAT1	2034.1952	AGPAT1	1432.0103
AGPAT2	1612.4388	AGPAT2	1403.5208
AGPAT3	2124.964	AGPAT3	1671.447
AGPAT4	167.7704	AGPAT4	238.7291
AGPAT5	818.1207	AGPAT5	688.7076
AGPAT6	2268.1639	AGPAT6	1689.9957
AGPAT9	56.0514	AGPAT9	284.4139
AGPHD1	50.2927	AGPHD1	58.7377
AGPS	1182.839	AGPS	1008.158
AGR2	76.3989	AGR2	3895.5775
removed	removed	AGR3	384.7145
AGRN	5094.9227	AGRN	3801.8033
AGTPBP1	459.929	AGTPBP1	396.0498
AGTR1	17.2761	AGTR1	356.8914
AGTRAP	1313.3698	AGTRAP	498.4113
AGT	206.9296	AGT	83.8128
AGXT2L2	226.5937	AGXT2L2	545.2881
AHCTF1	2543.0464	AHCTF1	1554.3152
AHCYL1	3302.8122	AHCYL1	4120.5668
AHCYL2	286.3998	AHCYL2	617.9476
AHCY	2556.0994	AHCY	1957.2349
AHDC1	412.7076	AHDC1	757.4066
AHI1	265.2846	AHI1	568.4843
AHNAK2	3814.5695	AHNAK2	1110.863
AHNAK	28164.3152	AHNAK	83023.1
AHRR	68.7206	AHRR	120.5668
AHR	860.3513	AHR	3456.2473
AHSA1	2000.5759	AHSA1	1220.7815
AHSA2	235.7232	AHSA2	1099.8712
AIDA	2145.1272	AIDA	1017.1919
AIF1L	452.2507	AIF1L	1831.8592
AIF1	522.507	AIF1	535.8523
AIFM1	1016.6043	AIFM1	633.0614
AIFM2	461.0807	AIFM2	692.1426
AIFM3	12.2852	AIFM3	14.1451
AIG1	621.5568	AIG1	956.9772
AIM1L	96.7463	removed	removed
AIM1	1962.9523	AIM1	2958.523
AIM2	226.1253	AIM2	15.4573
AIMP1	1106.8241	AIMP1	1191.4985
AIMP2	666.6168	AIMP2	172.5513
