gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
C5orf41	153.5656	C5orf41	1044.5685
C5orf42	183.5109	C5orf42	768.7419
C5orf43	659.1803	C5orf43	1336.1958
C5orf44	254.4505	C5orf44	483.0777
C5orf45	61.9368	C5orf45	262.1348
C5orf46	398.5027	C5orf46	44.9979
C5orf49	27.2579	C5orf49	40.1889
C5orf4	87.9163	C5orf4	1913.9545
C5orf51	355.5044	C5orf51	1033.9201
C5orf53	163.5474	C5orf53	698.669
C5orf54	58.7388	C5orf54	241.1335
C5orf55	111.719	C5orf55	76.2559
C5orf56	60.8005	C5orf56	173.1456
C5orf62	366.254	C5orf62	659.167
C5	85.2289	C5	744.6973
C6orf105	17.2761	C6orf105	51.5243
C6orf106	6654.3814	C6orf106	3011.0777
C6orf108	615.4141	C6orf108	176.213
C6orf114	33.0166	C6orf114	5.4959
C6orf115	1496.1129	C6orf115	333.1902
C6orf120	445.3633	C6orf120	1324.1666
removed	removed	C6orf122	11.4212
C6orf123	5.7587	C6orf123	17.8617
C6orf124	10.3657	C6orf124	27.8231
C6orf125	963.4975	C6orf125	414.3718
C6orf127	26.874	removed	removed
C6orf129	482.9638	C6orf129	59.4246
C6orf130	449.5095	C6orf130	580.7402
C6orf132	305.2116	C6orf132	261.3997
C6orf134	232.6519	C6orf134	269.6436
C6orf136	267.5881	C6orf136	149.4204
removed	removed	C6orf138	28.5101
C6orf141	164.3152	C6orf141	120.5668
removed	removed	C6orf142	5.1524
C6orf145	1600.1536	C6orf145	780.7643
C6orf147	15.1416	C6orf147	5.6848
C6orf150	227.2771	C6orf150	60.1116
C6orf153	1419.3301	C6orf153	512.4946
C6orf154	8.83	C6orf154	9.6179
removed	removed	C6orf155	167.6256
C6orf15	22.267	C6orf15	5.8394
C6orf162	83.651	C6orf162	154.9609
removed	removed	C6orf163	11.3353
removed	removed	C6orf164	20.2216
C6orf165	10.0048	C6orf165	22.9764
C6orf167	403.8775	C6orf167	278.5745
C6orf168	164.6991	C6orf168	192.0137
C6orf170	41.0788	C6orf170	167.2821
C6orf174	23.6222	C6orf174	133.8394
C6orf182	137.4412	C6orf182	141.52
removed	removed	C6orf186	6.8768
C6orf192	321.7199	C6orf192	553.3705
C6orf195	5.3748	removed	removed
C6orf1	313.6577	C6orf1	206.097
removed	removed	C6orf201	15.1653
C6orf203	244.5532	C6orf203	234.2636
C6orf204	34.1683	C6orf204	75.2254
C6orf211	319.4165	C6orf211	1330.6999
removed	removed	C6orf217	16.8313
C6orf218	35.704	removed	removed
C6orf223	91.7554	removed	removed
C6orf225	153.5656	C6orf225	197.1662
C6orf226	152.7978	C6orf226	57.7072
C6orf26	30.7131	C6orf26	36.8021
C6orf27	61.0423	C6orf27	40.8759
C6orf35	264.1328	C6orf35	466.1228
removed	removed	C6orf41	10.3049
C6orf47	1139.0728	C6orf47	689.7381
C6orf48	755.9267	C6orf48	1428.2525
removed	removed	C6orf52	10.3049
C6orf57	53.748	C6orf57	88.6217
C6orf59	6.5265	C6orf59	7.2134
C6orf62	3787.995	C6orf62	3772.5101
C6orf64	1248.4883	C6orf64	764.62
C6orf70	175.0648	C6orf70	411.1636
C6orf72	705.25	C6orf72	988.5788
C6orf89	3163.4514	C6orf89	3641.7347
C6orf97	18.044	C6orf97	693.5165
C6	9.5979	C6	82.4388
C7orf10	186.5822	C7orf10	41.2194
C7orf11	449.9472	C7orf11	300.2147
C7orf13	290.6229	C7orf13	81.0648
C7orf23	168.4499	C7orf23	368.0859
C7orf25	356.157	C7orf25	355.8609
C7orf26	516.3643	C7orf26	431.4298
C7orf27	1067.2809	C7orf27	616.2301
C7orf28A	1910.74	C7orf28A	1033.5766
C7orf28B	317.4969	C7orf28B	279.2615
C7orf29	444.9563	C7orf29	213.3104
C7orf30	398.1188	C7orf30	252.4689
C7orf31	142.816	C7orf31	158.6947
C7orf36	240.7141	C7orf36	173.465
C7orf40	275.2663	C7orf40	267.9261
C7orf41	183.5109	C7orf41	3734.1348
C7orf42	2754.583	C7orf42	3644.4826
C7orf43	250.3119	C7orf43	231.5157
C7orf44	534.0244	C7orf44	674.6243
C7orf46	32.2488	C7orf46	210.5625
C7orf47	270.2755	C7orf47	126.7497
C7orf49	603.3285	C7orf49	495.2031
C7orf50	1342.5473	C7orf50	600.7729
C7orf51	6.9105	C7orf51	27.4796
C7orf53	11.9013	C7orf53	18.2052
C7orf55	93.7556	C7orf55	191.6702
C7orf58	67.185	C7orf58	952.8553
C7orf59	724.0618	C7orf59	685.9596
C7orf60	254.535	C7orf60	385.058
C7orf61	6.1426	C7orf61	6.8699
C7orf63	10.7496	C7orf63	204.3796
C7orf64	210.3849	C7orf64	392.2714
C7orf68	701.027	C7orf68	363.4178
C7orf70	590.8437	C7orf70	440.7042
C7	36.8557	C7	1259.9399
removed	removed	C8B	7.2134
C8ORFK29	16.1397	removed	removed
C8orf30A	1465.0158	C8orf30A	262.0867
removed	removed	C8orf31	9.2744
C8orf33	1075.727	C8orf33	1122.5419
removed	removed	C8orf34	32.2885
C8orf37	58.7388	C8orf37	100.6441
C8orf38	320.9521	C8orf38	205.41
removed	removed	C8orf39	14.7703
C8orf40	499.4721	C8orf40	772.1769
C8orf41	317.6504	C8orf41	298.2018
C8orf42	140.5125	C8orf42	517.9906
C8orf44	21.3994	C8orf44	48.6389
C8orf45	30.3292	C8orf45	40.8759
C8orf46	95.9785	C8orf46	58.7377
C8orf47	12.2852	C8orf47	22.3272
C8orf48	7.6783	C8orf48	33.319
C8orf4	866.11	C8orf4	1345.8137
C8orf51	149.3425	C8orf51	33.6625
C8orf55	1914.963	C8orf55	517.3036
C8orf58	316.7291	C8orf58	214.3409
C8orf59	883.3631	C8orf59	563.8059
C8orf73	252.6154	C8orf73	34.3495
C8orf76	743.3458	C8orf76	272.0893
removed	removed	C8orf77	10.9918
C8orf79	40.311	C8orf79	579.1327
C8orf80	48.3732	C8orf80	17.8617
C8orf83	458.0094	C8orf83	868.012
C8orf84	603.8967	C8orf84	424.2164
C8orf85	1072.6557	C8orf85	301.5887
C9orf100	204.5072	C9orf100	55.6668
C9orf102	82.768	C9orf102	191.9931
C9orf103	112.1029	C9orf103	149.4204
C9orf109	21.4992	C9orf109	34.006
C9orf110	125.9238	C9orf110	125.0322
C9orf114	341.8178	C9orf114	411.5552
C9orf116	52.2123	C9orf116	45.6848
removed	removed	C9orf117	7.9004
C9orf119	273.7307	C9orf119	267.2392
C9orf122	39.1592	C9orf122	27.1361
C9orf123	457.6255	C9orf123	703.4779
C9orf125	34.9362	C9orf125	116.4448
removed	removed	C9orf128	20.9532
C9orf129	67.2425	C9orf129	90.4285
C9orf130	36.1877	C9orf130	130.0781
removed	removed	C9orf131	5.1524
C9orf140	1344.0829	C9orf140	74.8819
C9orf142	367.7896	C9orf142	147.3594
C9orf150	133.986	C9orf150	335.5947
C9orf152	16.5083	C9orf152	910.2619
C9orf156	194.2605	C9orf156	393.9888
C9orf163	9.9818	C9orf163	12.3658
C9orf167	173.913	C9orf167	84.4998
C9orf16	672.2334	C9orf16	309.1456
C9orf170	11.1335	removed	removed
C9orf172	15.3566	removed	removed
C9orf21	218.0632	C9orf21	199.2271
C9orf23	257.6063	C9orf23	247.6599
C9orf25	710.2409	C9orf25	405.3242
C9orf30	651.8629	C9orf30	201.0648
C9orf37	79.4702	C9orf37	125.0322
C9orf3	429.9107	C9orf3	494.1211
C9orf40	188.8857	C9orf40	150.4508
C9orf41	99.4337	C9orf41	168.9927
removed	removed	C9orf43	7.9004
C9orf45	78.7024	C9orf45	325.6333
C9orf46	427.2963	C9orf46	369.6007
C9orf47	6.968	C9orf47	72.4156
C9orf5	1091.4675	C9orf5	3542.1211
C9orf64	329.3982	C9orf64	457.1919
C9orf66	25.561	C9orf66	41.2194
C9orf68	7.2944	C9orf68	160.4122
C9orf69	1188.9817	C9orf69	653.6711
C9orf6	378.9231	C9orf6	518.334
C9orf72	138.209	C9orf72	316.7024
C9orf78	1079.5662	C9orf78	1692.0567
C9orf7	396.1993	C9orf7	402.2327
C9orf80	178.9039	C9orf80	296.0927
C9orf82	168.5382	C9orf82	399.4848
C9orf85	107.8798	C9orf85	165.9081
C9orf86	1826.2789	C9orf86	1241.7347
C9orf89	232.6519	C9orf89	153.1988
C9orf91	599.2898	C9orf91	693.86
C9orf93	31.8649	C9orf93	83.8128
C9orf95	268.7398	C9orf95	461.3139
removed	removed	C9orf96	17.1748
C9orf98	8.0622	C9orf98	36.4105
C9orf9	67.185	C9orf9	156.9772
CA11	137.4412	CA11	281.6591
CA12	598.5219	CA12	2000.1717
CA13	106.7281	CA13	158.5195
removed	removed	CA14	9.6179
CA2	417.6984	CA2	1845.9425
removed	removed	CA3	140.6647
removed	removed	CA4	295.4058
CA5BP	434.5907	CA5BP	158.3512
CA5B	119.6506	CA5B	393.9751
CA8	16.8922	CA8	558.8665
CA9	1430.3561	removed	removed
CAB39L	264.1328	CAB39L	2132.0739
CAB39	1885.7856	CAB39	2483.8128
CABC1	922.8448	CABC1	1621.9837
CABIN1	1237.7387	CABIN1	1318.6775
CABLES1	431.1354	CABLES1	1168.2267
CABLES2	612.7267	CABLES2	202.6621
CABP1	5.7587	CABP1	22.6707
removed	removed	CABP4	22.7153
CABYR	208.4653	CABYR	140.833
CACHD1	204.2422	CACHD1	941.1765
CACNA1A	13.8209	CACNA1A	24.0447
CACNA1B	8.4461	removed	removed
CACNA1C	155.1013	CACNA1C	432.4603
CACNA1D	26.4901	CACNA1D	419.064
removed	removed	CACNA1F	19.5792
removed	removed	CACNA1G	44.6544
CACNA1H	36.8557	CACNA1H	179.9914
removed	removed	CACNA1I	18.2052
CACNA2D1	15.7405	CACNA2D1	164.1906
CACNA2D2	15.7405	CACNA2D2	331.1292
CACNA2D3	6.1426	CACNA2D3	21.6402
CACNA2D4	38.3914	CACNA2D4	76.2559
CACNB1	247.2406	CACNB1	113.3534
CACNB2	15.7405	CACNB2	61.4856
CACNB3	900.2783	CACNB3	300.9017
removed	removed	CACNB4	147.0159
removed	removed	CACNG1	8.2439
CACNG4	1303.388	CACNG4	790.3821
CACYBP	3158.4605	CACYBP	1048.0034
CADM1	948.2676	CADM1	1078.5745
CADM2	11.5174	CADM2	25.0751
CADM3	32.6327	CADM3	194.8819
CADM4	932.1432	CADM4	728.553
CADPS2	739.8023	CADPS2	1182.6535
CADPS	6.1426	removed	removed
CAD	2812.1701	CAD	933.9631
CALB2	1894.2317	CALB2	418.0335
CALCB	15.7405	removed	removed
CALCOCO1	621.1729	CALCOCO1	3190.0386
CALCOCO2	2416.3547	CALCOCO2	3257.0202
CALCRL	189.2696	CALCRL	818.8922
removed	removed	CALCR	24.0447
CALD1	7993.8574	CALD1	10479.0039
CALHM2	413.8593	CALHM2	538.9438
CALM1	7323.5435	CALM1	7091.7991
CALM2	8512.1413	CALM2	8785.5732
CALM3	9420.4818	CALM3	3993.8171
CALML3	403.1097	CALML3	344.869
CALML4	266.4363	CALML4	367.5397
CALML5	902.5818	CALML5	102.705
removed	removed	CALML6	5.8394
removed	removed	CALN1	13.7398
CALR	40520.2035	CALR	8553.714
CALU	9827.4307	CALU	2591.6702
CAMK1D	157.4047	CAMK1D	131.2151
CAMK1	205.2558	CAMK1	366.9936
CAMK2A	13.8209	removed	removed
removed	removed	CAMK2B	25.7621
CAMK2D	936.3663	CAMK2D	1218.0335
CAMK2G	683.3669	CAMK2G	943.9244
CAMK2N1	760.5336	CAMK2N1	1778.6174
CAMK2N2	21.1153	removed	removed
CAMK4	9.2139	CAMK4	25.4186
CAMKK1	195.4122	CAMKK1	240.79
CAMKK2	1735.6752	CAMKK2	1840.4465
CAMLG	387.3692	CAMLG	943.5809
CAMSAP1L1	820.4242	CAMSAP1L1	1344.4397
CAMSAP1	919.0901	CAMSAP1	867.6685
CAMTA1	449.9472	CAMTA1	571.2323
CAMTA2	721.7583	CAMTA2	1055.5603
CAND1	4944.8124	CAND1	2901.1593
CAND2	135.9056	CAND2	124.6887
CANT1	2286.5918	CANT1	1544.6973
CANX	18452.8266	CANX	15417.7759
CAP1	12800.4607	CAP1	5671.1035
CAP2	355.1205	CAP2	576.7282
CAPG	8339.7639	CAPG	2188.407
CAPN10	138.7158	CAPN10	178.9231
removed	removed	CAPN11	85.8738
CAPN12	204.3421	CAPN12	92.6681
CAPN13	24.9544	CAPN13	215.3714
CAPN14	6.9105	removed	removed
CAPN1	7870.2371	CAPN1	3049.2057
CAPN2	14739.2264	CAPN2	5079.605
CAPN3	27.135	CAPN3	235.5552
CAPN5	232.6519	CAPN5	246.6295
CAPN6	6482.3879	CAPN6	762.9025
CAPN7	770.1315	CAPN7	1117.7329
removed	removed	CAPN8	146.3289
removed	removed	CAPN9	29.1971
CAPNS1	9195.5082	CAPNS1	4952.5118
CAPNS2	16.8922	removed	removed
CAPRIN1	7210.6728	CAPRIN1	6055.4745
CAPRIN2	230.3484	CAPRIN2	425.9339
CAPS2	10.3657	CAPS2	85.5303
CAPS	408.1006	CAPS	125.0322
CAPZA1	5181.3034	CAPZA1	2623.2718
CAPZA2	1838.5642	CAPZA2	2437.7845
removed	removed	CAPZA3	17.5182
CAPZB	5675.7846	CAPZB	4339.0296
CARD10	261.4454	CARD10	542.0352
CARD11	220.3666	CARD11	199.2271
CARD14	211.1527	CARD14	261.3997
CARD16	355.1205	CARD16	174.152
CARD17	5.3748	removed	removed
CARD6	203.4744	CARD6	389.8669
CARD8	319.8004	CARD8	924.0017
CARD9	111.719	CARD9	62.8596
CARHSP1	2431.504	CARHSP1	1105.2812
CARKD	829.6382	CARKD	1269.2143
CARM1	1301.4685	CARM1	629.283
CARNS1	14.5887	CARNS1	40.8759
CARS2	909.7188	CARS2	516.1116
CARS	1522.219	CARS	769.0854
removed	removed	CASC1	48.7763
CASC2	23.4188	CASC2	62.8596
CASC3	2804.4918	CASC3	3672.6492
CASC4	1806.6993	CASC4	3629.0253
CASC5	548.6131	CASC5	27.4796
CASD1	231.5001	CASD1	939.8025
CASKIN1	9.1871	CASKIN1	11.167
CASKIN2	811.909	CASKIN2	697.5698
CASK	2125.7318	CASK	1263.3748
CASP10	251.0798	CASP10	333.8772
removed	removed	CASP12	13.7398
CASP14	4799.309	removed	removed
CASP1	1234.2835	CASP1	678.7462
CASP2	1215.0878	CASP2	1052.4689
CASP3	909.1084	CASP3	535.8523
CASP4	980.5164	CASP4	780.4208
CASP5	5.7587	removed	removed
CASP6	474.9016	CASP6	396.7368
CASP7	1106.4402	CASP7	896.5221
CASP8AP2	564.7375	CASP8AP2	741.6058
CASP8	535.9439	CASP8	517.3036
CASP9	239.5623	CASP9	317.7329
CASQ1	5.3748	CASQ1	17.1748
CASQ2	30.7131	CASQ2	257.9648
CASS4	12.2852	CASS4	27.8231
CAST	4992.9629	CAST	5646.3066
CASZ1	548.6131	CASZ1	1287.4195
CATSPER1	10.7496	removed	removed
CATSPER2P1	15.8403	CATSPER2P1	21.1249
CATSPER2	17.66	CATSPER2	69.0013
removed	removed	CATSPER3	5.2246
removed	removed	CATSPERB	29.1971
CATSPERG	5.3748	CATSPERG	57.3637
CAT	1067.2809	CAT	3907.5998
CAV1	1867.3577	CAV1	9323.143
CAV2	1089.5479	CAV2	3178.7033
CBARA1	1025.8182	CBARA1	1120.4809
CBFA2T2	593.531	CBFA2T2	1102.9626
CBFA2T3	48.3732	CBFA2T3	143.9244
CBFB	1016.2204	CBFB	784.8862
CBLB	540.5509	CBLB	556.462
CBLC	549.3809	CBLC	165.2211
CBLL1	616.9498	CBLL1	903.392
removed	removed	CBLN1	12.3658
CBLN2	6.9105	removed	removed
CBLN3	71.0241	CBLN3	111.2924
removed	removed	CBLN4	52.2112
CBL	1074.9592	CBL	1210.4766
CBR1	1334.1396	CBR1	712.7042
CBR3	435.7424	CBR3	256.869
CBR4	193.1087	CBR4	682.1812
CBS	182.7431	CBS	52.2112
CBWD1	601.5932	CBWD1	874.5384
CBWD2	618.1015	CBWD2	591.155
CBWD3	484.9909	CBWD3	378.8751
CBWD5	5.2673	removed	removed
CBWD6	108.2637	CBWD6	217.0889
CBX1	3169.2101	CBX1	1874.4526
CBX2	1837.0285	CBX2	78.3169
CBX3	4129.7629	CBX3	2898.7548
CBX4	677.2243	CBX4	352.0824
CBX5	2732.316	CBX5	4216.4019
CBX6	273.3468	CBX6	826.7926
CBX7	381.6105	CBX7	2756.2044
CBX8	193.1087	CBX8	74.8819
CBY1	412.888	CBY1	598.3272
CC2D1A	729.8205	CC2D1A	662.2585
CC2D1B	1217.0074	CC2D1B	780.0773
CC2D2A	171.6096	CC2D2A	451.696
removed	removed	CC2D2B	12.0223
CCAR1	1430.0797	CCAR1	1316.6166
CCBE1	9.2139	CCBE1	52.8982
CCBL1	30.7131	CCBL1	97.5526
CCBL2	579.1304	CCBL2	847.7905
CCBP2	578.9423	CCBP2	127.0932
CCDC101	374.3162	CCDC101	311.8935
CCDC102A	192.3409	CCDC102A	169.6866
CCDC102B	29.9453	CCDC102B	83.1258
CCDC103	50.2927	CCDC103	106.14
CCDC104	471.8303	CCDC104	877.2864
CCDC106	229.1967	CCDC106	185.1438
CCDC107	510.0643	CCDC107	391.5638
CCDC109A	577.0227	CCDC109A	452.0395
CCDC109B	735.1953	CCDC109B	194.4182
CCDC110	21.1153	CCDC110	64.2336
CCDC111	113.0012	CCDC111	236.4277
CCDC112	317.4969	CCDC112	221.8978
CCDC113	30.7131	CCDC113	287.2443
CCDC114	8.4461	CCDC114	21.9837
CCDC115	1020.0595	CCDC115	1052.4689
removed	removed	CCDC116	5.1524
CCDC117	797.3894	CCDC117	1450.9231
CCDC11	9.9818	CCDC11	24.3881
CCDC120	416.1628	CCDC120	345.8995
CCDC121	152.0299	CCDC121	239.0726
CCDC122	39.9271	CCDC122	64.9206
CCDC123	868.4135	CCDC123	425.5904
CCDC124	939.0537	CCDC124	446.8871
CCDC125	104.8085	CCDC125	555.775
CCDC126	95.2107	CCDC126	234.6071
CCDC127	583.9332	CCDC127	408.0721
CCDC129	22.267	CCDC129	27.1361
CCDC12	488.7225	CCDC12	418.377
CCDC130	249.928	CCDC130	306.0541
CCDC132	357.04	CCDC132	952.5118
CCDC134	57.971	CCDC134	51.8678
CCDC136	12.2852	CCDC136	65.9511
CCDC137	1092.2353	CCDC137	246.9729
CCDC138	106.7281	CCDC138	25.0751
removed	removed	CCDC13	12.7093
removed	removed	CCDC141	36.754
CCDC142	194.2605	CCDC142	140.146
CCDC144A	32.1221	CCDC144A	23.0279
CCDC144B	22.6509	CCDC144B	19.5792
CCDC146	97.1302	CCDC146	274.796
CCDC147	9.5979	CCDC147	16.8313
CCDC148	6.5265	CCDC148	45.3413
CCDC149	470.6786	CCDC149	1010.5625
CCDC14	485.2673	CCDC14	1264.4053
CCDC150	56.4354	CCDC150	9.9614
CCDC152	7.1216	CCDC152	197.07
CCDC153	11.5174	CCDC153	8.2439
removed	removed	CCDC154	9.6179
CCDC157	15.0379	CCDC157	34.401
removed	removed	CCDC158	69.386
CCDC159	81.0059	CCDC159	215.0279
CCDC15	11.1335	CCDC15	104.4225
CCDC160	15.3566	CCDC160	39.1584
CCDC163P	23.8027	CCDC163P	34.3495
removed	removed	CCDC17	16.4878
CCDC18	134.416	CCDC18	45.3413
CCDC19	84.845	CCDC19	12.3658
CCDC21	629.2351	CCDC21	363.4178
CCDC22	438.0919	CCDC22	411.9708
CCDC23	553.2201	CCDC23	304.6801
CCDC24	76.8058	CCDC24	129.7312
CCDC25	845.7625	CCDC25	1382.2241
CCDC28A	342.8352	CCDC28A	558.1795
CCDC28B	144.3517	CCDC28B	57.3637
CCDC30	21.1153	CCDC30	151.1378
CCDC34	295.2299	CCDC34	290.2533
removed	removed	CCDC36	29.5406
removed	removed	CCDC39	45.9768
CCDC3	158.5565	CCDC3	1085.7879
CCDC40	34.1683	CCDC40	114.7274
CCDC41	210.3849	CCDC41	258.9953
CCDC43	625.012	CCDC43	435.5517
CCDC45	535.56	CCDC45	726.4921
CCDC46	120.9329	CCDC46	334.5642
CCDC47	2918.8982	CCDC47	3383.0829
CCDC48	9.5979	CCDC48	83.4693
CCDC50	1499.5681	CCDC50	2698.1537
CCDC51	294.0781	CCDC51	185.8308
CCDC52	225.3575	CCDC52	520.395
CCDC53	301.7564	CCDC53	355.5174
CCDC55	831.1738	CCDC55	955.2598
CCDC56	789.9069	CCDC56	1082.6415
CCDC57	319.0325	CCDC57	547.5311
CCDC58	251.0798	CCDC58	128.8106
CCDC59	726.3653	CCDC59	442.4216
CCDC61	199.6353	CCDC61	119.8798
removed	removed	CCDC62	7.2134
CCDC64B	413.0915	CCDC64B	366.5092
CCDC64	133.986	CCDC64	48.4328
removed	removed	CCDC65	21.6402
CCDC66	187.1235	CCDC66	426.4216
CCDC67	23.8027	removed	removed
CCDC68	24.9544	CCDC68	89.6522
CCDC69	519.4356	CCDC69	1649.4633
CCDC6	3661.3878	CCDC6	2666.2087
CCDC71	354.7365	CCDC71	445.5131
CCDC72	930.6075	CCDC72	951.8248
CCDC73	18.4893	CCDC73	66.4113
CCDC74A	83.3093	CCDC74A	385.745
CCDC74B	41.0788	CCDC74B	124.3452
CCDC75	94.4428	CCDC75	112.6664
CCDC76	139.3608	CCDC76	376.474
CCDC77	183.127	CCDC77	186.5178
CCDC78	11.9013	CCDC78	8.2439
CCDC7	16.7847	CCDC7	47.0382
CCDC80	2132.6423	CCDC80	6539.8025
CCDC81	7.6783	CCDC81	9.9614
CCDC82	393.1279	CCDC82	672.5633
CCDC84	122.8525	CCDC84	141.52
CCDC85A	28.4096	CCDC85A	172.2078
CCDC85B	412.3236	CCDC85B	167.2821
CCDC85C	1139.6794	CCDC85C	700.8845
CCDC86	972.4503	CCDC86	373.7845
CCDC87	12.6692	CCDC87	10.6483
CCDC88A	658.7964	CCDC88A	949.7638
CCDC88B	254.1511	CCDC88B	211.9365
CCDC88C	613.1107	CCDC88C	1001.2881
CCDC89	20.7314	CCDC89	34.3495
CCDC8	116.3259	CCDC8	1103.6496
CCDC90A	629.2351	CCDC90A	321.5114
CCDC90B	610.4233	CCDC90B	661.5681
CCDC91	269.5076	CCDC91	599.7424
CCDC92	1314.1376	CCDC92	771.1464
CCDC93	967.0794	CCDC93	1393.216
CCDC94	253.3832	CCDC94	327.6943
CCDC96	59.1228	CCDC96	56.3332
CCDC97	1292.2545	CCDC97	902.705
CCDC99	353.5848	CCDC99	217.4324
CCDC9	1035.0322	CCDC9	352.0824
CCHCR1	949.4193	CCHCR1	407.0416
CCIN	13.8209	removed	removed
CCKBR	388.521	removed	removed
CCL11	26.1062	removed	removed
CCL13	77.5506	CCL13	68.3555
CCL14	54.2739	CCL14	2408.7454
removed	removed	CCL16	11.3353
removed	removed	CCL17	5.8394
CCL18	148.1908	CCL18	160.0687
CCL19	153.9495	CCL19	341.0906
CCL20	19.1957	CCL20	18.2052
CCL21	328.6304	CCL21	4091.3697
CCL22	77.1667	CCL22	115.7578
removed	removed	CCL23	6.8699
CCL25	6.1426	removed	removed
CCL26	11.9013	removed	removed
removed	removed	CCL28	1268.8708
CCL2	1302.6202	CCL2	426.9644
CCL3L1	68.2446	CCL3L1	57.8205
CCL3L3	7.3865	CCL3L3	21.5268
CCL3	306.7473	CCL3	124.0017
CCL4L2	223.4379	CCL4L2	76.9429
CCL4	302.9081	CCL4	101.331
CCL5	1730.6843	CCL5	1062.0867
CCL7	113.2546	removed	removed
CCL8	520.2035	CCL8	106.14
CCM2	1528.3616	CCM2	555.775
CCNA2	1152.5098	CCNA2	62.7428
CCNB1IP1	458.3933	CCNB1IP1	755.0021
CCNB1	1960.6488	CCNB1	168.9996
CCNB2	1980.2284	CCNB2	38.128
removed	removed	CCNB3	15.4573
CCNC	1126.4037	CCNC	1306.9987
CCND1	4465.3038	CCND1	2621.0322
CCND2	1009.6938	CCND2	1117.3894
CCND3	1301.0846	CCND3	1449.5492
CCNDBP1	490.2582	CCNDBP1	1152.0824
CCNE1	327.8626	CCNE1	15.4573
CCNE2	572.531	CCNE2	34.5831
CCNF	1372.4926	CCNF	240.103
CCNG1	676.0726	CCNG1	2933.7913
CCNG2	750.9358	CCNG2	3438.3856
CCNH	359.6506	CCNH	567.7046
CCNI2	15.1339	CCNI2	40.3572
CCNI	5051.5405	CCNI	6122.456
CCNJL	50.2927	CCNJL	95.8351
CCNJ	228.8127	CCNJ	257.6213
CCNK	1330.8072	CCNK	754.1606
CCNL1	1245.0331	CCNL1	1524.0876
CCNL2	871.4848	CCNL2	2687.1619
CCNO	6.9105	CCNO	57.0202
CCNT1	89.8359	CCNT1	309.1456
CCNT2	498.7043	CCNT2	1222.1554
CCNYL1	365.4861	CCNYL1	408.0721
CCNY	1712.2565	CCNY	1813.9974
CCPG1	1179.284	CCPG1	2627.6033
CCR10	12.2852	CCR10	13.3963
CCR1	548.6131	CCR1	307.7716
CCR2	180.8235	CCR2	206.4405
CCR4	19.5796	CCR4	22.3272
CCR5	309.0508	CCR5	329.4118
CCR6	40.741	CCR6	114.0988
CCR7	63.7297	CCR7	96.1786
CCR8	12.6692	removed	removed
CCRL1	91.3715	CCRL1	115.7578
CCRL2	81.7737	CCRL2	59.0812
CCRN4L	214.224	CCRN4L	72.4775
CCS	408.8684	CCS	356.5479
CCT2	4929.0719	CCT2	2142.0352
CCT3	19434.4947	CCT3	3760.5839
CCT4	6104.2327	CCT4	3481.666
CCT5	15135.0418	CCT5	2449.4633
CCT6A	6094.6348	CCT6A	2762.7308
CCT6B	31.4809	CCT6B	82.7823
CCT6P1	57.5871	CCT6P1	133.2761
CCT7	5955.274	CCT7	3241.2194
CCT8	4672.2334	CCT8	3083.5552
CD101	64.8815	CD101	31.6015
CD109	2921.5817	CD109	876.2387
CD14	1915.347	CD14	1208.4156
CD151	4782.8007	CD151	3593.3018
CD160	16.1244	CD160	45.3413
CD163L1	69.8723	CD163L1	94.1176
CD163	1603.2249	CD163	840.5324
CD164L2	14.2048	CD164L2	39.8454
CD164	3408.3885	CD164	12213.3104
CD177	26.874	removed	removed
CD180	258.758	CD180	189.2658
CD19	59.1228	CD19	6.1829
CD1A	10.3657	removed	removed
CD1C	13.437	CD1C	107.514
CD1D	37.6236	CD1D	53.5852
removed	removed	CD1E	41.2194
CD200R1	10.7496	CD200R1	56.3332
CD200	119.7812	CD200	458.2224
CD207	27.2579	CD207	28.1666
CD209	77.1667	CD209	227.0502
CD226	35.3201	CD226	42.9369
CD22	46.4536	CD22	119.8798
CD244	16.5083	CD244	42.2499
CD247	99.0498	CD247	162.4732
CD248	882.2344	CD248	871.7905
CD24	33354.4486	CD24	15336.3675
CD274	86.3807	CD274	46.0283
CD276	4466.8394	CD276	1198.1108
CD27	506.8778	CD27	128.5977
CD28	39.9271	CD28	78.6604
CD2AP	2106.5361	CD2AP	2096.6939
CD2BP2	1617.8136	CD2BP2	1410.0472
CD2	365.1022	CD2	451.009
CD300A	345.1387	CD300A	220.5238
CD300C	56.4354	CD300C	24.3881
CD300LB	10.7496	CD300LB	18.8922
CD300LF	74.4793	CD300LF	59.0812
CD300LG	8.0622	CD300LG	1114.298
CD302	426.5592	CD302	2519.8798
CD320	431.1354	CD320	412.1941
CD33	52.2123	CD33	69.0425
CD34	609.6554	CD34	3991.4126
CD36	281.409	CD36	15572.0052
CD37	494.4812	CD37	243.8815
CD38	223.4379	CD38	48.0893
CD3D	148.5747	CD3D	146.6724
CD3EAP	980.4857	CD3EAP	408.7007
CD3E	362.0309	CD3E	442.7651
CD3G	40.311	CD3G	78.6604
CD40LG	9.9818	CD40LG	64.2336
CD40	474.1338	CD40	379.2185
CD44	11195.3162	CD44	9508.2868
CD46	2465.1118	CD46	6500.6441
CD47	2859.3915	CD47	4213.9974
