gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ACMSD	62.6951	removed	removed
ACN9	221.1238	ACN9	131.4906
ACO1	768.4703	ACO1	6179.1208
ACO2	1835.1119	ACO2	2702.2129
ACOT11	39.282	ACOT11	13.1459
ACOT13	575.0858	ACOT13	608.6703
ACOT1	359.5213	ACOT1	1195.9085
ACOT2	248.179	ACOT2	766.7682
ACOT4	137.3569	ACOT4	147.1071
ACOT6	5.9834	ACOT6	7.8082
ACOT7	1611.3424	ACOT7	208.6359
ACOT8	343.4157	ACOT8	235.846
ACOT9	410.77	ACOT9	568.4391
ACOX1	1117.5858	ACOX1	2582.4346
ACOX2	3572.3205	ACOX2	470.6801
ACOX3	322.5806	ACOX3	405.091
ACP1	2186.7846	ACP1	1151.2454
ACP2	911.2903	ACP2	753.0257
ACP5	1231.0094	ACP5	540.3295
ACP6	288.2414	ACP6	208.0112
ACPL2	594.9532	ACPL2	451.3157
ACPP	53.8502	ACPP	31.5452
ACRBP	10.1457	ACRBP	20.6137
ACRC	22.6327	ACRC	38.4165
removed	removed	ACSBG1	10.3069
ACSF2	466.4412	ACSF2	623.4091
ACSF3	196.6701	ACSF3	248.3017
ACSL1	2331.4256	ACSL1	20225.1893
ACSL3	2127.2112	ACSL3	3050.8316
ACSL4	969.3028	ACSL4	2736.6284
ACSL5	451.3528	ACSL5	850.1601
removed	removed	ACSL6	11.8685
ACSM1	26.5349	ACSM1	33.1069
removed	removed	ACSM2A	7.8082
ACSM3	30.3772	ACSM3	111.8607
removed	removed	ACSM5	452.8773
ACSS1	86.1082	ACSS1	588.4282
ACSS2	650.8845	ACSS2	3667.9941
ACSS3	386.5765	ACSS3	1200.9058
ACTA1	131.6337	ACTA1	424.4554
ACTA2	7187.8408	ACTA2	10386.8135
ACTBL2	7.0239	removed	removed
ACTB	102783.5588	ACTB	49262.1223
ACTG1	70046.5661	ACTG1	35123.2919
ACTG2	80.6452	ACTG2	862.9656
ACTL6A	2216.7014	ACTL6A	823.9244
ACTL8	7.8044	removed	removed
ACTN1	5553.8502	ACTN1	4992.2699
ACTN2	15.3486	ACTN2	34.9809
removed	removed	ACTN3	14.9918
ACTN4	6721.9433	ACTN4	7656.4285
ACTR10	689.3861	ACTR10	1080.3467
ACTR1A	2283.2986	ACTR1A	2193.8003
ACTR1B	562.435	ACTR1B	1099.0864
ACTR2	6439.6462	ACTR2	6382.7594
ACTR3B	346.2539	ACTR3B	200.203
ACTR3C	42.4037	ACTR3C	24.3617
ACTR3	4180.281	ACTR3	3172.64
ACTR5	215.4006	ACTR5	169.2824
ACTR6	931.8418	ACTR6	579.3707
ACTR8	439.9063	ACTR8	462.8719
ACVR1B	1489.334	ACVR1B	989.4589
removed	removed	ACVR1C	4906.6917
ACVR1	585.3278	ACVR1	1536.3473
ACVR2A	105.6191	ACVR2A	570.0008
ACVR2B	624.3496	ACVR2B	689.9352
ACVRL1	211.7586	ACVRL1	1005.3877
ACY1	612.0525	ACY1	472.2417
removed	removed	ACY3	10.9315
ACYP1	139.4381	ACYP1	52.4713
ACYP2	137.8772	ACYP2	164.9098
ADAL	129.5525	ADAL	253.299
ADAM10	1298.3871	ADAM10	1970.4849
removed	removed	ADAM11	7.1836
ADAM12	1235.4318	ADAM12	636.8392
ADAM15	7970.4292	ADAM15	2723.2232
ADAM17	657.128	ADAM17	669.0091
ADAM19	510.4058	ADAM19	230.1866
ADAM21P1	5.2029	removed	removed
ADAM21	14.5682	ADAM21	8.7452
ADAM22	57.4922	ADAM22	157.4139
ADAM23	14.0479	ADAM23	38.7288
ADAM28	34.5994	ADAM28	50.5973
ADAM32	80.9053	ADAM32	51.5343
ADAM33	19.7711	ADAM33	667.7973
ADAM6	1493.6186	ADAM6	54119.6065
ADAM8	424.0375	ADAM8	175.8413
ADAM9	6833.2466	ADAM9	2985.5548
ADAMDEC1	176.3788	ADAMDEC1	24.674
ADAMTS10	27.8356	ADAMTS10	94.0111
ADAMTS12	268.9906	ADAMTS12	320.1374
ADAMTS13	40.8429	ADAMTS13	34.0439
ADAMTS14	92.3517	removed	removed
ADAMTS15	418.5744	ADAMTS15	299.2114
ADAMTS16	24.7138	ADAMTS16	249.2387
ADAMTS17	17.1696	ADAMTS17	27.7973
removed	removed	ADAMTS18	158.3509
ADAMTS19	20.0312	ADAMTS19	7.1836
ADAMTS1	2241.4152	ADAMTS1	2492.0746
ADAMTS2	389.1779	ADAMTS2	492.5431
ADAMTS3	200.052	ADAMTS3	264.2305
ADAMTS4	1605.8793	ADAMTS4	162.7235
ADAMTS5	194.8491	ADAMTS5	4751.464
ADAMTS6	53.3299	ADAMTS6	57.4686
ADAMTS7	93.9126	ADAMTS7	54.3453
ADAMTS8	66.8574	ADAMTS8	114.6248
ADAMTS9	99.8959	ADAMTS9	743.0312
ADAMTSL1	97.0343	ADAMTSL1	624.9707
ADAMTSL2	48.6472	ADAMTSL2	39.3535
ADAMTSL3	456.2955	ADAMTSL3	1061.2946
ADAMTSL4	76.2227	ADAMTSL4	1551.6514
ADAMTSL5	65.2966	ADAMTSL5	26.548
ADAP1	178.9698	ADAP1	83.6917
ADAP2	273.6733	ADAP2	274.5374
ADARB1	328.0437	ADARB1	816.4285
ADAR	16022.6327	ADAR	7865.0738
ADAT1	193.0281	ADAT1	266.4168
ADAT2	104.5786	ADAT2	104.318
