gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
DBF4	625.9105	DBF4	148.6687
DBI	3610.0416	DBI	2953.6972
DBN1	805.6712	DBN1	1518.8569
DBNDD1	734.9116	DBNDD1	162.0989
DBNDD2	2280.8247	DBNDD2	834.5998
DBNL	885.796	DBNL	1227.4537
DBP	164.8985	DBP	128.0144
DBR1	810.0937	DBR1	443.8198
DBT	820.2393	DBT	1447.6458
removed	removed	DBX2	42.4768
DCAF10	1134.7555	DCAF10	1403.2951
DCAF11	1283.257	DCAF11	1724.0572
DCAF12L1	18.2102	removed	removed
DCAF12L2	6.7638	DCAF12L2	11.5562
DCAF12	1578.0437	DCAF12	1501.0541
DCAF13	2532.1826	DCAF13	668.4751
DCAF15	329.8647	DCAF15	247.0524
DCAF16	677.1592	DCAF16	866.7135
DCAF17	257.5442	DCAF17	453.1897
DCAF4	276.795	DCAF4	253.299
DCAF5	1104.8387	DCAF5	2059.1864
DCAF6	4300.9886	DCAF6	2257.5154
DCAF7	3259.6254	DCAF7	2583.5871
DCAF8	2598.8241	DCAF8	2934.6888
DCAKD	625.6504	DCAKD	836.1053
DCBLD1	150.6243	DCBLD1	188.3345
DCBLD2	1816.3371	DCBLD2	1627.5474
DCDC1	7.2841	removed	removed
removed	removed	DCDC2	113.8846
DCHS1	524.4537	DCHS1	1620.9885
DCHS2	28.616	DCHS2	70.2741
DCI	1147.7627	DCI	500.6637
DCK	899.5838	DCK	535.6446
DCLK1	323.3611	DCLK1	2411.4937
DCLK2	54.6306	DCLK2	73.7097
DCLK3	9.8855	removed	removed
DCLRE1A	626.4308	DCLRE1A	319.8251
DCLRE1B	528.3559	DCLRE1B	227.0633
DCLRE1C	339.23	DCLRE1C	331.6936
DCN	7103.538	DCN	98483.9541
DCP1A	1009.3652	DCP1A	1169.9852
DCP1B	424.0375	DCP1B	387.9129
DCP2	636.8366	DCP2	1427.6568
DCPS	401.4048	DCPS	202.7016
DCST2	23.153	DCST2	17.4904
DCTD	1130.8533	DCTD	1428.2814
DCTN1	2951.1446	DCTN1	3714.9247
DCTN2	2335.8481	DCTN2	2172.2496
DCTN3	526.0146	DCTN3	645.8968
DCTN4	1323.1009	DCTN4	2331.2251
DCTN5	2542.924	DCTN5	1369.8758
DCTN6	1490.8949	DCTN6	753.9627
DCTPP1	5084.0166	DCTPP1	791.7514
removed	removed	DCT	9.3699
DCUN1D1	756.5036	DCUN1D1	735.5353
DCUN1D2	256.5036	DCUN1D2	236.7455
DCUN1D3	220.6035	DCUN1D3	474.1157
DCUN1D4	739.8543	DCUN1D4	1140.6262
DCUN1D5	1150.3642	DCUN1D5	305.458
DCXR	723.4651	DCXR	965.4095
DCX	53.3299	DCX	133.0522
DDA1	979.4485	DDA1	475.365
DDAH1	1218.7825	DDAH1	995.3931
DDAH2	442.2477	DDAH2	1624.4241
DDB1	8565.8169	DDB1	6279.0661
DDB2	313.4755	DDB2	424.4554
DDHD1	487.7732	DDHD1	635.5899
DDHD2	2674.0375	DDHD2	1926.4465
DDI2	124.4615	DDI2	280.1312
DDIT3	466.8548	DDIT3	316.8705
DDIT4L	26.795	DDIT4L	137.7372
DDIT4	4140.2185	DDIT4	1977.0438
DDN	5.2029	removed	removed
DDOST	7640.999	DDOST	3777.9339
DDO	55.9313	DDO	103.0686
DDR1	4244.5369	DDR1	2738.1901
DDR2	118.8866	DDR2	3313.8128
DDRGK1	652.7055	DDRGK1	584.0556
DDTL	93.2804	DDTL	141.2321
DDT	422.0578	DDT	409.0357
DDX10	1246.0978	DDX10	636.8392
DDX11L2	7.5442	removed	removed
DDX11	750	DDX11	232.3729
DDX12	113.6837	DDX12	39.3535
DDX17	8931.0614	DDX17	10967.752
DDX18	1931.5817	DDX18	2279.0661
DDX19A	698.7513	DDX19A	966.0248
DDX19B	411.5427	DDX19B	679.3066
DDX1	2614.4641	DDX1	2749.1216
DDX20	598.8554	DDX20	468.4938
DDX21	3625.1301	DDX21	2222.8469
DDX23	3302.5494	DDX23	2160.0687
DDX24	2683.1426	DDX24	3980.6356
DDX26B	176.3788	DDX26B	218.9428
DDX27	1187.8252	DDX27	880.7683
DDX28	272.8928	DDX28	205.8249
DDX31	601.1967	DDX31	285.7812
DDX39	1556.7118	DDX39	413.2115
DDX3X	6933.4027	DDX3X	10473.6472
DDX41	702.1332	DDX41	680.8776
DDX42	2722.6847	DDX42	4144.2961
removed	removed	DDX43	23.1124
DDX46	1591.051	DDX46	1573.8268
DDX47	1641.2591	DDX47	1043.1795
DDX49	884.4953	DDX49	516.2802
DDX50	1491.155	DDX50	1273.3661
DDX51	434.4433	DDX51	358.5539
DDX52	440.6868	DDX52	525.9624
DDX54	1532.0682	DDX54	872.2136
DDX55	773.153	DDX55	362.9265
DDX56	1785.9001	DDX56	901.0697
DDX58	555.1509	DDX58	764.8942
DDX59	742.1956	DDX59	438.8225
DDX5	11943.0281	DDX5	8767.7052
DDX60L	355.8793	DDX60L	631.5296
DDX60	643.6004	DDX60	848.2861
DDX6	4763.7877	DDX6	6101.6632
DEAF1	516.501	DEAF1	386.3512
DECR1	926.6389	DECR1	1683.7667
DECR2	825.9625	DECR2	210.5099
DEDD2	379.2924	DEDD2	334.1922
DEDD	1292.3647	DEDD	911.3485
DEF6	177.9396	DEF6	189.5838
DEF8	420.1353	DEF8	770.5161
removed	removed	DEFB132	93.0741
removed	removed	DEFB1	76.2083
DEGS1	3847.5546	DEGS1	1987.0383
DEGS2	353.7981	DEGS2	97.759
DEK	4207.076	DEK	3142.344
DEM1	267.9501	DEM1	126.181
DENND1A	561.3944	DENND1A	504.0993
DENND1B	100.9365	DENND1B	134.6139
DENND1C	67.898	DENND1C	103.381
DENND2A	68.6785	DENND2A	831.7326
DENND2C	29.576	DENND2C	102.2535
DENND2D	384.7555	DENND2D	594.3625
DENND3	132.154	DENND3	448.1924
DENND4A	405.5671	DENND4A	1007.5646
DENND4B	1067.3257	DENND4B	772.3807
DENND4C	760.4058	DENND4C	2778.4805
DENND5A	1908.949	DENND5A	3239.4784
DENND5B	178.7201	DENND5B	810.4943
DENR	2443.2882	DENR	1402.9827
DEPDC1B	174.5578	DEPDC1B	22.1754
DEPDC1	888.1374	DEPDC1	95.5727
DEPDC4	15.0884	removed	removed
DEPDC5	239.0739	DEPDC5	271.7264
DEPDC6	440.1665	DEPDC6	804.2477
DEPDC7	48.3871	DEPDC7	19.9891
DERA	744.5369	DERA	500.976
DERL1	4591.5713	DERL1	3360.9745
DERL2	646.2019	DERL2	534.3953
DERL3	105.0989	DERL3	208.0112
DES	32.5182	DES	192.7071
DET1	142.0395	DET1	206.1373
DEXI	955.7752	DEXI	562.8172
DFFA	565.0364	DFFA	494.4171
DFFB	190.6868	DFFB	83.7042
DFNA5	166.4932	DFNA5	385.4142
DFNB31	168.5744	DFNB31	130.8659
DFNB59	7.2841	DFNB59	34.6685
DGAT1	719.4355	DGAT1	941.9817
DGAT2	425.8585	DGAT2	3637.3858
DGCR11	33.2986	DGCR11	18.7398
DGCR14	272.3725	DGCR14	296.7127
DGCR2	2047.3465	DGCR2	2175.0605
DGCR5	14.8283	DGCR5	9.6822
DGCR6L	267.1696	DGCR6L	324.8224
DGCR6	135.5359	DGCR6	329.5073
DGCR8	730.7492	DGCR8	606.231
DGCR9	8.5848	removed	removed
DGKA	197.9709	DGKA	341.3758
removed	removed	DGKB	6.5589
DGKD	281.4776	DGKD	657.1406
DGKE	330.1249	DGKE	263.2935
DGKG	9.3652	DGKG	35.6055
DGKH	63.2154	DGKH	110.8769
removed	removed	DGKI	44.6631
DGKQ	115.5047	DGKQ	154.9153
DGKZ	868.6264	DGKZ	490.0445
DGUOK	975.5463	DGUOK	477.239
DHCR24	23945.8897	DHCR24	6033.2631
DHCR7	1554.1103	DHCR7	674.6311
DHDDS	749.7399	DHDDS	1488.2486
DHDH	7.2841	removed	removed
DHDPSL	7.82	DHDPSL	59.7736
DHFRL1	262.487	DHFRL1	351.995
DHFR	826.9303	DHFR	472.2792
removed	removed	DHH	12.4932
DHODH	146.2019	DHODH	149.6057
DHPS	627.6847	DHPS	669.3215
DHRS11	69.1988	DHRS11	220.8167
DHRS12	91.3111	DHRS12	377.9183
DHRS13	118.127	DHRS13	84.2133
DHRS1	379.2924	DHRS1	281.0963
DHRS2	13.0073	removed	removed
DHRS3	1242.1956	DHRS3	2722.5736
DHRS4L1	13.7877	DHRS4L1	14.6795
DHRS4L2	154.204	DHRS4L2	290.5755
DHRS4	370.5853	DHRS4	589.4808
DHRS7B	334.2872	DHRS7B	565.3158
DHRS7	573.6212	DHRS7	1289.9196
removed	removed	DHRS9	92.7618
DHRSX	298.127	DHRSX	389.1622
DHTKD1	2971.9043	DHTKD1	1156.2427
DHX15	4222.1644	DHX15	2793.7846
DHX16	534.3392	DHX16	685.8749
DHX29	1105.6191	DHX29	1234.0126
DHX30	1818.1582	DHX30	1207.1523
DHX32	1419.8647	DHX32	843.9072
DHX33	319.1988	DHX33	371.3594
DHX34	608.2206	DHX34	251.7373
DHX35	410.77	DHX35	277.6607
DHX36	1096.2539	DHX36	1103.459
DHX37	657.128	DHX37	355.1183
DHX38	705.2549	DHX38	1229.64
DHX40	1574.6618	DHX40	1914.2656
DHX57	1370.4475	DHX57	616.2255
DHX58	188.6056	DHX58	214.5702
DHX8	949.0114	DHX8	1169.9852
DHX9	8825.9625	DHX9	4985.0863
DIABLO	1325.9027	DIABLO	571.6311
DIAPH1	3168.0541	DIAPH1	2913.4067
DIAPH2	452.1332	DIAPH2	624.6584
DIAPH3	347.2945	DIAPH3	38.1042
DICER1	1104.3184	DICER1	3173.2646
DIDO1	2052.0291	DIDO1	1887.7177
DIMT1L	336.1082	DIMT1L	467.2445
DIO1	70.4995	DIO1	10.6192
DIO2	2049.6878	DIO2	1233.7003
removed	removed	DIO3	44.0384
DIP2A	752.6015	DIP2A	803.3107
DIP2B	1661.0302	DIP2B	1954.8684
DIP2C	806.7118	DIP2C	1321.7772
DIRAS1	308.7929	DIRAS1	123.37
removed	removed	DIRAS2	14.0548
DIRAS3	11.9667	DIRAS3	97.4467
DIRC2	504.4693	DIRC2	434.4343
DIRC3	23.9334	DIRC3	29.6713
DIS3L2	174.8179	DIS3L2	301.0853
DIS3L	1037.461	DIS3L	1213.0866
DIS3	1038.2596	DIS3	1544.927
DISC1	49.4095	DISC1	233.9346
DISP1	149.0635	DISP1	347.6224
DISP2	6.2435	DISP2	19.6767
DIXDC1	824.1415	DIXDC1	2812.5244
DKC1	3589.7503	DKC1	1182.4783
removed	removed	DKFZP434L187	5.4408
DKFZP586I1420	180.281	DKFZP586I1420	242.0551
DKFZP686I15217	28.616	DKFZP686I15217	59.3425
DKFZp686O24166	64.5161	DKFZp686O24166	32.4822
DKFZp761E198	198.7513	DKFZp761E198	367.2991
removed	removed	DKFZp779M0652	9.0575
DKK1	47.8668	DKK1	7.1836
DKK2	11.7066	DKK2	199.5784
DKK3	1091.8314	DKK3	1782.1504
DLAT	1978.9282	DLAT	875.4587
DLC1	856.3996	DLC1	3416.5691
DLD	2635.2758	DLD	2405.8718
removed	removed	DLEC1	21.2384
DLEU1	130.7544	DLEU1	56.5316
DLEU2L	5.2029	removed	removed
DLEU2	95.64	DLEU2	32.298
DLG1	1902.1852	DLG1	1981.4133
DLG2	11.7066	DLG2	137.4248
DLG3	2045.7856	DLG3	730.538
DLG4	297.6353	DLG4	198.6539
DLG5	4740.3746	DLG5	2199.1099
DLGAP1	45.0728	DLGAP1	24.9676
removed	removed	DLGAP2	19.9891
DLGAP3	11.9667	removed	removed
DLGAP4	1591.051	DLGAP4	1712.501
DLGAP5	534.3392	DLGAP5	57.4686
removed	removed	DLK1	393.2225
removed	removed	DLK2	65.2768
DLL1	40.3226	DLL1	133.6769
DLL4	107.9605	DLL4	286.0935
DLST	1665.1925	DLST	3055.5165
DLX1	17.1696	DLX1	15.3041
DLX2	21.5921	DLX2	14.6795
removed	removed	DLX3	14.3671
DLX4	7.0239	DLX4	6.5589
DLX5	5.2029	DLX5	8.7452
DMAP1	376.6909	DMAP1	433.2006
DMC1	67.898	DMC1	16.5534
DMD	277.5754	DMD	3007.4178
DMGDH	13.2674	DMGDH	230.4989
DMKN	59.8335	DMKN	151.4797
DMPK	355.359	DMPK	300.1484
removed	removed	DMRT2	227.0633
DMRT3	5.4631	DMRT3	74.3343
removed	removed	DMRTA1	40.2905
removed	removed	DMRTC1B	5.6219
DMTF1	907.4063	DMTF1	955.415
DMWD	327.2633	DMWD	298.5867
DMXL1	367.3257	DMXL1	2010.1507
DMXL2	658.6889	DMXL2	728.0394
DNA2	549.4277	DNA2	92.7618
DNAH10	20.8117	DNAH10	14.9918
DNAH11	96.4386	DNAH11	19.9516
DNAH14	298.9074	DNAH14	68.4001
DNAH17	16.3892	DNAH17	53.096
DNAH1	143.6004	DNAH1	342.0005
DNAH2	9.6254	DNAH2	66.2138
DNAH5	236.4724	DNAH5	403.8416
removed	removed	DNAH6	83.7042
DNAH7	20.8117	DNAH7	64.0275
removed	removed	DNAH8	6.2466
removed	removed	DNAH9	120.2467
DNAJA1	4227.3673	DNAJA1	2876.2396
DNAJA2	1484.9116	DNAJA2	1854.6108
DNAJA3	3135.796	DNAJA3	971.0315
DNAJA4	1089.23	DNAJA4	847.3491
DNAJB11	1600.1561	DNAJB11	733.3489
DNAJB12	1329.6046	DNAJB12	1006.637
DNAJB14	133.7149	DNAJB14	541.5788
DNAJB1	4889.1779	DNAJB1	3711.7202
DNAJB2	659.7294	DNAJB2	1535.098
DNAJB4	232.0499	DNAJB4	908.878
DNAJB5	72.3205	DNAJB5	92.7618
DNAJB6	2587.6691	DNAJB6	2110.4084
DNAJB9	815.8169	DNAJB9	908.2533
DNAJC10	2045.0052	DNAJC10	2631.9981
DNAJC11	1464.3444	DNAJC11	884.5631
DNAJC12	697.9709	DNAJC12	147.4194
DNAJC13	2279.1363	DNAJC13	2237.5264
DNAJC14	1623.4105	DNAJC14	1079.2129
DNAJC15	892.5598	DNAJC15	898.2588
DNAJC16	1023.153	DNAJC16	800.4997
DNAJC17	150.8845	DNAJC17	144.9207
DNAJC18	81.9459	DNAJC18	333.8799
DNAJC19	881.8939	DNAJC19	503.1623
DNAJC1	1123.8293	DNAJC1	671.5078
DNAJC21	2822.5806	DNAJC21	1507.613
DNAJC22	241.6753	DNAJC22	59.9672
DNAJC24	354.9818	DNAJC24	356.2583
DNAJC25	236.2123	DNAJC25	240.4935
DNAJC27	135.2758	DNAJC27	243.9291
DNAJC28	7.2841	DNAJC28	32.1699
DNAJC2	1166.5062	DNAJC2	479.9625
DNAJC30	252.0812	DNAJC30	253.299
DNAJC3	1845.7336	DNAJC3	2336.847
DNAJC4	424.732	DNAJC4	454.8825
DNAJC5B	20.5515	DNAJC5B	6.5589
DNAJC5	2240.1145	DNAJC5	1589.7556
DNAJC6	113.9438	DNAJC6	88.0768
DNAJC7	1508.9438	DNAJC7	1353.7909
DNAJC8	3038.7617	DNAJC8	2213.7893
DNAJC9	2089.4901	DNAJC9	532.8336
DNAL1	324.6618	DNAL1	459.1239
DNAL4	354.8387	DNAL4	335.7539
DNALI1	898.0229	DNALI1	387.6005
DNASE1L1	521.5453	DNASE1L1	374.1235
DNASE1L2	29.1363	DNASE1L2	6.5589
removed	removed	DNASE1L3	139.9235
DNASE1	84.5473	DNASE1	51.222
DNASE2	3304.6306	DNASE2	1138.1276
DND1	40.6217	DND1	39.1099
removed	removed	DNER	45.6001
DNHD1	134.2352	DNHD1	147.4194
DNLZ	180.0208	DNLZ	129.3043
DNM1L	2259.3652	DNM1L	1432.9663
DNM1P35	13.7877	DNM1P35	15.9288
DNM1	525.2341	DNM1	513.1569
DNM2	2425.2211	DNM2	1578.5992
DNM3	48.3871	DNM3	138.3618
DNMBP	408.6004	DNMBP	1028.7374
DNMT1	7362.6431	DNMT1	1242.1332
DNMT3A	558.7929	DNMT3A	355.743
DNMT3B	242.9761	DNMT3B	52.4713
DNPEP	917.794	DNPEP	1026.0014
DNTTIP1	570.4995	DNTTIP1	295.4634
DNTTIP2	1540.0624	DNTTIP2	1337.7059
DOC2A	105.333	DOC2A	12.7399
DOC2B	87.4089	DOC2B	76.5207
DOCK10	494.7971	DOCK10	647.4584
DOCK11	175.8585	DOCK11	3805.7312
DOCK1	822.8408	DOCK1	2894.9793
DOCK2	306.9719	DOCK2	711.1736
DOCK3	24.974	DOCK3	9.3699
DOCK4	201.6129	DOCK4	1183.103
DOCK5	512.487	DOCK5	447.5677
DOCK6	241.6753	DOCK6	842.6642
DOCK7	1032.2581	DOCK7	1456.391
DOCK8	1087.1488	DOCK8	1517.6076
DOCK9	610.0416	DOCK9	2598.2666
DOHH	76.4828	DOHH	56.2193
DOK1	235.9521	DOK1	355.743
DOK2	59.0531	DOK2	209.5729
DOK3	119.4069	DOK3	154.2906
DOK4	162.5911	DOK4	317.0141
DOK5	22.6327	DOK5	72.4604
DOK6	155.8273	DOK6	77.77
DOK7	16.129	DOK7	8.1206
DOLK	877.7315	DOLK	356.0553
DOLPP1	970.8637	DOLPP1	274.225
DOM3Z	208.0281	DOM3Z	144.446
DONSON	627.6093	DONSON	119.3098
DOPEY1	388.4391	DOPEY1	1094.7107
DOPEY2	516.129	DOPEY2	540.6418
DOT1L	426.8887	DOT1L	295.6883
DPAGT1	1454.3288	DPAGT1	745.2643
DPCD	403.8996	DPCD	132.8898
DPEP2	16.3892	DPEP2	92.7618
DPF1	6.5036	removed	removed
DPF2	1360.3018	DPF2	1115.0152
DPF3	17.6899	DPF3	18.1151
DPH1	336.1108	DPH1	393.9002
DPH2	977.8876	DPH2	323.2607
DPH3B	67.1176	DPH3B	27.7973
DPH3	688.3455	DPH3	805.8093
DPH5	431.1316	DPH5	503.0062
DPM1	919.0947	DPM1	485.9842
DPM2	2815.5567	DPM2	503.4747
DPM3	463.3195	DPM3	227.0633
DPP3	1863.6837	DPP3	386.8478
DPP4	139.6982	DPP4	1595.6899
removed	removed	DPP6	67.1508
DPP7	1260.4058	DPP7	1014.1329
DPP8	288.2414	DPP8	752.401
DPP9	1291.6233	DPP9	721.1681
DPT	322.8408	DPT	11451.5499
DPY19L1	732.3101	DPY19L1	712.1106
DPY19L2P1	116.8054	DPY19L2P1	13.1178
DPY19L2P2	79.3444	DPY19L2P2	28.1096
removed	removed	DPY19L2P4	6.2466
DPY19L2	92.6119	DPY19L2	89.9508
DPY19L3	425.5983	DPY19L3	647.7708
DPY19L4	877.9917	DPY19L4	1219.0208
DPY30	895.1197	DPY30	471.0237
DPYD	627.2112	DPYD	1506.3637
DPYSL2	2686.7846	DPYSL2	5954.5561
DPYSL3	2277.0552	DPYSL3	6135.3947
DPYSL4	39.0219	DPYSL4	31.5452
removed	removed	DPYS	6.2466
DR1	1130.333	DR1	1282.1113
DRAM1	790.3226	DRAM1	763.0202
DRAM2	1467.2216	DRAM2	1863.6683
DRAP1	884.4953	DRAP1	564.0665
removed	removed	DRD1	6.5589
removed	removed	DRD2	38.4165
DRG1	1075.4422	DRG1	1290.5442
DRG2	386.8366	DRG2	543.7651
DRP2	40.0624	removed	removed
DSC1	5.7778	DSC1	89.0419
DSC2	584.5473	DSC2	1814.3203
DSC3	79.6046	DSC3	811.4312
DSCAML1	7.2841	DSCAML1	24.3617
removed	removed	DSCAM	6.5589
DSCC1	403.486	DSCC1	105.5673
DSCR3	1380.333	DSCR3	1120.9495
DSCR6	93.3923	DSCR6	14.0548
DSEL	285.1197	DSEL	986.0233
DSE	505.7492	DSE	2337.3062
removed	removed	DSG1	138.3618
DSG2	3518.7097	DSG2	4430.0648
DSG3	35.64	DSG3	629.6557
DSN1	1573.3611	DSN1	330.4443
DSP	9715.4006	DSP	8035.6055
DSTN	8360.3018	DSTN	7898.493
DSTYK	963.5796	DSTYK	1236.199
DST	1640.4787	DST	18105.7234
DTD1	554.3704	DTD1	406.9649
removed	removed	DTHD1	8.7452
DTL	1881.3736	DTL	226.1263
DTNA	475.8065	DTNA	421.3321
DTNBP1	218.5224	DTNBP1	247.3647
DTNB	459.6774	DTNB	372.9211
DTWD1	392.82	DTWD1	620.9104
DTWD2	101.1967	DTWD2	175.529
DTX1	14.8283	DTX1	660.2639
DTX2	303.3299	DTX2	237.3702
DTX3L	2639.9037	DTX3L	1503.4309
DTX3	475.5463	DTX3	320.7621
DTX4	1362.6431	DTX4	963.5356
DTYMK	564.5161	DTYMK	212.6962
DULLARD	1866.8054	DULLARD	1750.2928
DUOX1	12.2268	DUOX1	68.4001
DUOX2	6.2435	DUOX2	10.3069
removed	removed	DUOXA1	9.4948
DUS1L	1437.3049	DUS1L	674.9434
DUS2L	265.0884	DUS2L	144.9207
DUS3L	145.1613	DUS3L	161.4742
DUS4L	235.8377	DUS4L	115.643
DUSP10	871.2279	DUSP10	287.9675
DUSP11	427.6795	DUSP11	428.2033
DUSP12	401.9251	DUSP12	211.7592
DUSP14	375.1301	DUSP14	336.6909
DUSP15	97.0343	DUSP15	14.6795
DUSP16	2991.6753	DUSP16	1979.5424
DUSP18	94.1545	DUSP18	152.0887
DUSP19	28.8762	DUSP19	120.8714
DUSP1	983.871	DUSP1	9036.3083
DUSP22	365.2445	DUSP22	1416.1006
DUSP23	706.5557	DUSP23	287.0305
removed	removed	DUSP26	12.1808
removed	removed	DUSP27	18.4274
DUSP28	82.7263	DUSP28	69.9617
DUSP2	210.4579	DUSP2	57.7809
DUSP3	1061.6545	DUSP3	2042.0083
DUSP4	208.6368	DUSP4	566.8775
DUSP5P	111.6025	DUSP5P	14.9918
DUSP5	1095.4735	DUSP5	308.2689
DUSP6	466.4412	DUSP6	3955.3369
DUSP7	611.0822	DUSP7	575.3104
DUSP8	166.4932	DUSP8	170.5317
DUSP9	9.1051	DUSP9	9.6822
DUT	1650.3824	DUT	840.7059
DVL1	1009.8855	DVL1	575.935
DVL2	496.0978	DVL2	511.2829
DVL3	3935.744	DVL3	1831.4984
DYDC2	88.4495	DYDC2	10.9315
DYM	1048.3871	DYM	1071.6015
DYNC1H1	5876.9511	DYNC1H1	12838.6039
DYNC1I1	62.6951	DYNC1I1	68.4001
DYNC1I2	1367.846	DYNC1I2	2332.1621
DYNC1LI1	739.8543	DYNC1LI1	719.2941
DYNC1LI2	1617.5858	DYNC1LI2	4685.8749
DYNC2H1	310.8741	DYNC2H1	1346.7635
DYNC2LI1	187.3049	DYNC2LI1	305.1456
DYNLL1	6477.6275	DYNLL1	2882.4861
DYNLL2	1430.0208	DYNLL2	1416.4129
DYNLRB1	2146.462	DYNLRB1	1449.2075
DYNLRB2	9.6254	DYNLRB2	8.4329
DYNLT1	1594.1727	DYNLT1	812.3682
DYNLT3	1272.6327	DYNLT3	749.9024
DYRK1A	2356.6597	DYRK1A	1979.2301
DYRK1B	401.4048	DYRK1B	327.321
DYRK2	932.8824	DYRK2	915.7492
DYRK3	735.9521	DYRK3	262.3565
DYRK4	336.1082	DYRK4	168.0331
DYSF	210.4579	DYSF	576.2474
DYX1C1	90.0104	DYX1C1	41.5398
DZIP1L	108.4807	DZIP1L	87.7645
DZIP1	115.8689	DZIP1	438.785
DZIP3	296.5661	DZIP3	563.7542
E2F1	900.1041	E2F1	112.1262
E2F2	682.6223	E2F2	67.1508
E2F3	847.0343	E2F3	348.8717
E2F4	1066.077	E2F4	801.1244
E2F5	332.7601	E2F5	85.7781
E2F6	1131.8939	E2F6	335.1292
E2F7	248.9594	E2F7	28.422
E2F8	159.9896	E2F8	12.4932
E4F1	526.0146	E4F1	233.9346
EAF1	1297.0864	EAF1	797.6888
EAF2	38.7617	EAF2	61.8412
EAPP	511.1863	EAPP	871.3985
EARS2	1899.3236	EARS2	637.1516
EBAG9	489.0739	EBAG9	602.1707
EBF1	55.6712	EBF1	3880.6902
EBF2	6.5036	EBF2	287.3429
EBF3	14.0479	EBF3	987.2726
EBF4	82.7263	EBF4	129.6166
EBI3	10.4058	EBI3	21.2384
EBNA1BP2	2364.7242	EBNA1BP2	742.7188
EBPL	867.0656	EBPL	465.3705
EBP	1669.8751	EBP	424.4554
ECD	873.5692	ECD	635.9022
ECE1	4805.6712	ECE1	6896.541
ECE2	606.3996	ECE2	68.7124
removed	removed	ECEL1	10.9315
ECH1	2971.2695	ECH1	3095.807
ECHDC1	315.8169	ECHDC1	1419.8485
ECHDC2	264.0479	ECHDC2	770.5161
ECHDC3	365.5047	ECHDC3	920.1218
ECHS1	4523.9334	ECHS1	3247.9113
ECM1	398.283	ECM1	808.308
ECM2	229.4485	ECM2	5895.5259
ECSCR	36.9407	ECSCR	231.4359
ECSIT	571.8002	ECSIT	656.516
removed	removed	ECT2L	6.5589
ECT2	2109.5213	ECT2	448.8171
EDA2R	39.282	EDA2R	175.8413
EDARADD	865.5047	EDARADD	255.4853
removed	removed	EDAR	33.1069
EDA	15.0884	EDA	178.6523
EDC3	807.7523	EDC3	670.8831
EDC4	924.3548	EDC4	830.7269
EDDM3B	21.5921	removed	removed
EDEM1	2435.2237	EDEM1	1402.3581
EDEM2	764.5682	EDEM2	473.1787
EDEM3	2217.2216	EDEM3	1977.3561
EDF1	2595.7336	EDF1	2388.069
EDIL3	191.7274	EDIL3	324.8224
EDN1	313.4755	EDN1	435.0746
EDN2	188.6056	EDN2	12.8055
removed	removed	EDN3	224.877
EDNRA	593.3923	EDNRA	506.2856
EDNRB	42.924	EDNRB	1698.7585
EEA1	896.7222	EEA1	1735.6133
EED	890.2185	EED	478.8007
EEF1A1P9	4552.8096	EEF1A1P9	9175.6071
EEF1A1	66504.9428	EEF1A1	142355.2745
EEF1A2	36.6805	EEF1A2	30.6083
EEF1B2	3568.4183	EEF1B2	4917.6232
EEF1D	5011.9667	EEF1D	4925.7437
EEF1E1	401.4048	EEF1E1	137.7372
EEF1G	24220.0832	EEF1G	22894.3546
EEF2K	1927.9396	EEF2K	1942.0629
EEF2	23861.0822	EEF2	59519.3254
EEFSEC	241.8574	EEFSEC	285.4095
EEPD1	121.2279	EEPD1	1060.0453
removed	removed	EFCAB1	46.2247
EFCAB2	238.2934	EFCAB2	168.3454
EFCAB4A	431.0614	EFCAB4A	356.6799
EFCAB4B	28.616	EFCAB4B	228.625
EFCAB6	23.9334	EFCAB6	44.0384
EFCAB7	161.2903	EFCAB7	172.0934
EFEMP1	4214.6202	EFEMP1	10084.7974
EFEMP2	610.5619	EFEMP2	1079.0974
EFHA1	771.0718	EFHA1	706.4886
EFHA2	22.8928	EFHA2	176.466
EFHC1	157.3881	EFHC1	381.6663
EFHC2	20.0312	EFHC2	14.6795
EFHD1	4603.7981	EFHD1	3162.0208
EFHD2	1501.821	EFHD2	749.5901
EFNA1	2634.4953	EFNA1	1042.2425
EFNA3	327.0734	EFNA3	122.7454
EFNA4	654.9766	EFNA4	169.9071
EFNA5	333.2466	EFNA5	571.5624
EFNB1	708.6368	EFNB1	1110.9549
EFNB2	169.8751	EFNB2	1080.9713
EFNB3	52.8096	EFNB3	205.2003
EFR3A	3021.3319	EFR3A	2295.9319
EFR3B	104.8387	EFR3B	69.9617
EFS	340.0104	EFS	613.1022
EFTUD1	772.3725	EFTUD1	643.3981
EFTUD2	2017.4298	EFTUD2	1607.246
EGFL6	54.8907	EGFL6	20.9261
EGFL7	109.2612	EGFL7	551.8857
EGFL8	28.845	EGFL8	92.8305
EGFLAM	74.1415	EGFLAM	532.2089
EGFR	28.3559	EGFR	3187.2944
EGF	97.5546	EGF	826.1107
EGLN1	1881.8939	EGLN1	1940.189
EGLN2	743.3793	EGLN2	1012.8836
EGLN3	483.3507	EGLN3	137.7372
EGOT	8.5848	EGOT	15.9288
EGR1	1761.4464	EGR1	8179.9016
EGR2	123.0489	EGR2	367.9238
EGR3	208.6368	EGR3	374.4827
