gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
DBT	626.3704	DBT	1110.2634
removed	removed	DBX2	20.1821
DCAF10	3261.4728	DCAF10	1508.9835
DCAF11	2390.2202	DCAF11	1660.3347
removed	removed	DCAF12L2	6.8915
DCAF12	2092.1704	DCAF12	1571.745
DCAF13	1148.0702	DCAF13	722.065
DCAF15	501.0187	DCAF15	227.6643
DCAF16	361.6959	DCAF16	1308.3928
DCAF17	428.0586	DCAF17	732.9559
DCAF4L1	7.3736	DCAF4L1	9.1066
DCAF4	330.261	DCAF4	290.1797
DCAF5	2352.964	DCAF5	1734.4327
DCAF6	3306.4907	DCAF6	2689.6382
DCAF7	4414.4756	DCAF7	2435.8848
DCAF8	5288.2429	DCAF8	2463.0347
DCAKD	281.3622	DCAKD	815.4073
DCBLD1	287.5716	DCBLD1	247.6126
DCBLD2	892.9853	DCBLD2	1615.555
removed	removed	DCC	11.3217
DCDC1	13.909	DCDC1	6.5493
DCDC2	7.4629	DCDC2	1688.474
DCD	12.8068	removed	removed
DCHS1	939.1676	DCHS1	1163.426
DCHS2	14.7473	DCHS2	97.7111
DCI	745.1247	DCI	291.1642
DCK	365.5768	DCK	542.7024
DCLK1	347.3368	DCLK1	1990.1551
DCLK2	172.3101	DCLK2	121.3389
DCLK3	11.2545	DCLK3	7.876
DCLRE1A	692.7331	DCLRE1A	489.0475
DCLRE1B	331.4252	DCLRE1B	266.7979
DCLRE1C	277.4813	DCLRE1C	361.8016
DCN	16793.2473	DCN	83458.7743
DCP1A	714.4659	DCP1A	1416.9333
DCP1B	567.7695	DCP1B	399.7047
DCP2	585.2333	DCP2	1389.3675
DCPS	310.8567	DCPS	178.4396
DCST1	5.7126	removed	removed
DCST2	84.2146	DCST2	26.5813
DCTD	712.5255	DCTD	1496.6773
DCTN1	3744.3213	DCTN1	2737.5314
DCTN2	2324.6337	DCTN2	1992.8624
DCTN3	958.9599	DCTN3	627.3689
DCTN4	1303.192	DCTN4	2297.3173
DCTN5	1309.0133	DCTN5	1198.6217
DCTN6	677.2097	DCTN6	732.4637
DCTPP1	1004.7502	DCTPP1	470.3421
DCUN1D1	758.7077	DCUN1D1	878.6611
DCUN1D2	532.8418	DCUN1D2	252.7689
DCUN1D3	175.0267	DCUN1D3	382.476
DCUN1D4	712.1374	DCUN1D4	1414.2259
DCUN1D5	577.4716	DCUN1D5	310.3618
DCXR	688.0761	DCXR	391.3365
removed	removed	DCX	53.1627
DDA1	394.6832	DDA1	517.3517
DDAH1	667.1194	DDAH1	1100.9107
DDAH2	1482.4876	DDAH2	882.3529
DDB1	7370.5249	DDB1	5300.2707
DDB2	579.024	DDB2	566.0842
DDHD1	197.1476	DDHD1	505.2917
DDHD2	1153.779	DDHD2	1736.8939
DDI2	537.5454	DDI2	220.0837
DDIT3	234.6832	DDIT3	250.1403
DDIT4L	16.2996	DDIT4L	88.8506
DDIT4	4810.3231	DDIT4	990.4012
DDN	6.9855	removed	removed
DDOST	7819.5401	DDOST	3683.4851
DDO	36.4801	DDO	94.0192
DDR1	10436.0144	DDR1	3703.175
DDR2	380.7121	DDR2	1217.3271
DDRGK1	688.8522	DDRGK1	318.2378
DDTL	195.5254	DDTL	65.8011
DDT	701.7561	DDT	358.3214
DDX10	563.5005	DDX10	594.8806
DDX11L2	19.4043	DDX11L2	22.1511
DDX11	725.7204	DDX11	272.4588
DDX12	64.4222	DDX12	40.6104
DDX17	9713.0106	DDX17	15132.1683
DDX18	1928.3982	DDX18	2439.5767
DDX19A	747.3096	DDX19A	915.3335
DDX19B	499.9903	DDX19B	622.6852
DDX1	3479.1889	DDX1	2998.031
DDX20	499.4664	DDX20	571.9911
DDX21	2484.5251	DDX21	2713.7583
DDX23	2942.8544	DDX23	1590.2043
DDX24	3706.9952	DDX24	2973.6648
removed	removed	DDX25	8.3682
DDX26B	125.7398	DDX26B	354.1718
DDX27	1378.8687	DDX27	766.4287
DDX28	124.9636	DDX28	224.7108
DDX31	374.1147	DDX31	334.728
DDX39	740.0796	DDX39	329.5594
DDX3X	9241.4864	DDX3X	14911.6416
DDX41	1062.9669	DDX41	587.743
DDX42	4313.1852	DDX42	3348.0187
removed	removed	DDX43	14.5213
DDX46	2011.4485	DDX46	1878.6611
DDX47	840.5938	DDX47	1088.8506
DDX49	659.7458	DDX49	332.0207
DDX50	1242.2625	DDX50	1270.4898
DDX51	345.3963	DDX51	297.3173
DDX52	451.7318	DDX52	717.6963
DDX54	1102.4236	DDX54	567.5757
DDX55	507.2281	DDX55	357.3714
DDX56	1447.948	DDX56	769.1361
DDX58	1251.9647	DDX58	1026.5813
DDX59	702.4352	DDX59	625.6461
DDX5	12974.4834	DDX5	19135.6141
DDX60L	126.516	DDX60L	487.8169
DDX60	358.2032	DDX60	1033.9651
DDX6	4880.9547	DDX6	5387.3985
DEAF1	392.7428	DEAF1	349.7416
DECR1	664.4028	DECR1	1155.5501
DECR2	553.0222	DECR2	205.7593
DEDD2	532.0656	DEDD2	276.1506
DEDD	2026.6304	DEDD	867.1056
DEF6	245.6583	DEF6	176.4706
DEF8	466.8672	DEF8	572.4834
DEFB132	11.6426	DEFB132	87.62
DEFB1	6.5975	DEFB1	506.5223
DEGS1	2033.1813	DEGS1	2174.9938
DEGS2	1646.2598	DEGS2	209.9434
DEK	2873.387	DEK	4010.0911
DEM1	286.7954	DEM1	174.2555
DENND1A	865.0432	DENND1A	475.0185
DENND1B	264.2864	DENND1B	205.5132
DENND1C	152.9058	DENND1C	77.775
DENND2A	76.4529	DENND2A	305.6855
DENND2C	49.0424	DENND2C	126.473
DENND2D	1058.698	DENND2D	523.5048
DENND3	259.6294	DENND3	387.3985
DENND4A	665.9552	DENND4A	837.8587
DENND4B	782.0006	DENND4B	699.9582
DENND4C	2221.4029	DENND4C	2705.8824
DENND5A	1663.7237	DENND5A	2502.0921
DENND5B	142.8156	DENND5B	648.0433
DENR	1774.3281	DENR	1745.016
DEPDC1B	87.7074	DEPDC1B	59.808
DEPDC1	168.8173	DEPDC1	112.2323
DEPDC4	12.4187	DEPDC4	13.2907
DEPDC5	547.589	DEPDC5	300.763
DEPDC6	605.8019	DEPDC6	827.2213
DEPDC7	46.1822	DEPDC7	28.7965
DERA	464.5387	DERA	528.9195
DERL1	3224.2166	DERL1	2144.7206
DERL2	464.9267	DERL2	544.4253
DERL3	203.3569	DERL3	115.9242
DES	6.5975	DES	31.0116
DET1	167.6531	DET1	167.1179
DEXI	468.4195	DEXI	354.4179
DFFA	355.4866	DFFA	411.5186
DFFB	131.9492	DFFB	119.3699
DFNA5	183.9527	DFNA5	424.8093
DFNB31	363.2483	DFNB31	228.8949
DFNB59	16.2996	DFNB59	47.748
DGAT1	611.041	DGAT1	721.5112
DGAT2	90.0359	DGAT2	5208.9589
DGCR11	32.2111	DGCR11	25.5968
DGCR14	374.5028	DGCR14	175.7322
DGCR2	3069.7584	DGCR2	2025.843
DGCR5	6.5975	DGCR5	24.3662
DGCR6L	743.9604	DGCR6L	270.7359
DGCR6	555.7388	DGCR6	207.4822
DGCR8	609.6827	DGCR8	715.4812
DGCR9	10.4783	DGCR9	21.4127
DGKA	393.1309	DGKA	458.0359
removed	removed	DGKB	5.907
DGKD	2262.54	DGKD	1200.0984
DGKE	55.4963	DGKE	310.854
DGKG	7.3736	DGKG	15.998
DGKH	110.2164	DGKH	126.2614
DGKI	17.0758	DGKI	19.6899
DGKQ	312.7971	DGKQ	145.7051
DGKZ	408.6543	DGKZ	375.5845
DGUOK	744.7366	DGUOK	551.809
DHCR24	5019.8894	DHCR24	10284.2727
DHCR7	1139.4198	DHCR7	624.4155
DHDDS	610.847	DHDDS	910.411
DHDH	34.1515	removed	removed
DHDPSL	30.3328	DHDPSL	41.7278
DHFRL1	381.1002	DHFRL1	417.4255
DHFR	231.4311	DHFR	282.284
DHODH	91.9763	DHODH	102.1413
DHPS	543.7082	DHPS	437.3616
DHRS11	65.9746	DHRS11	187.3
DHRS12	100.5142	DHRS12	266.5518
DHRS13	2233.9342	DHRS13	215.8824
DHRS1	280.9741	DHRS1	451.6367
DHRS2	144.756	DHRS2	27.812
DHRS3	195.5952	DHRS3	1245.6313
DHRS4L1	44.2418	DHRS4L1	9.1066
DHRS4L2	328.6	DHRS4L2	205.7396
DHRS4	693.0164	DHRS4	368.1344
DHRS7B	286.4073	DHRS7B	461.2355
DHRS7	572.4265	DHRS7	1176.7167
DHRS9	19.4043	DHRS9	77.2828
DHRSX	340.3512	DHRSX	268.2747
DHTKD1	2268.7494	DHTKD1	1206.7438
DHX15	4712.1374	DHX15	3284.2727
DHX16	1291.1613	DHX16	661.0879
DHX29	1524.0128	DHX29	1327.8366
DHX30	1497.2349	DHX30	1077.2828
DHX32	1361.9754	DHX32	1206.3377
DHX33	273.2124	DHX33	457.0514
DHX34	598.0402	DHX34	245.3852
DHX35	371.7862	DHX35	294.856
DHX36	1177.8403	DHX36	1423.0864
DHX37	464.9267	DHX37	255.7224
DHX38	749.7817	DHX38	780.95
DHX40	2748.0353	DHX40	2053.6549
DHX57	984.5736	DHX57	755.1071
DHX58	143.9798	DHX58	251.046
DHX8	848.7436	DHX8	1146.6896
DHX9	6995.2459	DHX9	5167.1179
DIABLO	798.3157	DIABLO	638.4445
DIAPH1	2604.4436	DIAPH1	2983.0175
DIAPH2	235.5681	DIAPH2	540.9796
DIAPH3	90.424	DIAPH3	161.4571
DICER1	3612.6904	DICER1	3370.1698
DIDO1	2040.555	DIDO1	1714.4967
DIMT1L	236.3442	DIMT1L	614.8166
DIO1	182.7884	DIO1	14.2752
DIO2	344.6202	DIO2	374.6
removed	removed	DIO3	26.0891
DIP2A	1191.8114	DIP2A	912.38
DIP2B	4527.4086	DIP2B	2920.9943
DIP2C	1062.1907	DIP2C	1307.9006
DIRAS1	67.5269	DIRAS1	121.0928
removed	removed	DIRAS2	8.8604
DIRAS3	6.2094	DIRAS3	134.6296
DIRC2	368.9027	DIRC2	446.6872
DIRC3	17.4639	DIRC3	38.3953
DIS3L2	447.851	DIS3L2	372.8772
DIS3L	560.0078	DIS3L	900.8122
DIS3	782.2955	DIS3	1724.8782
DISC1	78.696	DISC1	244.1053
DISP1	182.0122	DISP1	357.1253
DISP2	107.8878	DISP2	28.0581
DIXDC1	853.4006	DIXDC1	2499.3847
DKC1	1297.3707	DKC1	1204.0364
DKFZP586I1420	228.9706	DKFZP586I1420	380.7531
DKFZP686I15217	110.6044	DKFZP686I15217	68.9146
DKFZp686O24166	33.3754	DKFZp686O24166	32.7344
DKFZp761E198	242.5536	DKFZp761E198	274.1816
removed	removed	DKK1	128.9687
DKK2	119.9185	DKK2	285.9956
DKK3	2879.2083	DKK3	2669.9483
DKK4	17.4639	removed	removed
DKKL1	19.4043	removed	removed
DLAT	1084.6997	DLAT	1279.5964
DLC1	637.2368	DLC1	2877.6766
DLD	906.5684	DLD	2338.666
DLEC1	19.0162	DLEC1	41.841
DLEU1	49.675	DLEU1	54.3416
removed	removed	DLEU2L	13.7829
DLEU2	26.7546	DLEU2	43.6968
DLEU7	6.9855	DLEU7	5.907
DLG1	1984.6706	DLG1	2265.3212
DLG2	70.6316	DLG2	81.2208
DLG3	1902.0083	DLG3	1223.4802
DLG4	195.6146	DLG4	202.5646
DLG5	2338.2167	DLG5	2369.9237
removed	removed	DLGAP1	44.7945
DLGAP2	5.0451	DLGAP2	11.8139
DLGAP3	5.4332	removed	removed
DLGAP4	2417.7743	DLGAP4	1494.9545
DLGAP5	378.3836	DLGAP5	148.1664
DLK1	615.8921	DLK1	266.3057
removed	removed	DLK2	97.9572
DLL1	53.5558	DLL1	220.0345
DLL4	355.0985	DLL4	262.86
DLST	2006.4034	DLST	2502.0921
DLX1	152.9058	removed	removed
DLX2	134.6658	removed	removed
DLX3	30.2707	DLX3	27.3197
DLX4	8.1498	removed	removed
DLX5	17.0758	removed	removed
DMAP1	1048.6077	DMAP1	504.061
removed	removed	DMBT1	10.0911
DMBX1	10.8664	removed	removed
DMC1	19.7924	DMC1	25.843
DMD	147.8607	DMD	2470.8344
DMGDH	31.4349	DMGDH	145.2129
DMKN	206.4616	DMKN	319.2222
DMPK	601.5329	DMPK	260.3987
DMRT1	6.2094	removed	removed
removed	removed	DMRT2	133.1528
DMRT3	31.0469	DMRT3	50.7015
DMRTA1	162.996	DMRTA1	52.1782
DMRTA2	6.9855	removed	removed
removed	removed	DMRTC1B	22.3972
DMRTC2	43.0775	removed	removed
DMTF1	506.0988	DMTF1	1232.0945
DMWD	461.8221	DMWD	285.5033
DMXL1	1034.2486	DMXL1	2090.3273
DMXL2	221.2089	DMXL2	815.8996
DNA2	363.6364	DNA2	220.5267
DNAH10	19.7924	DNAH10	27.812
removed	removed	DNAH11	41.0116
DNAH12	24.8375	DNAH12	37.6569
DNAH14	160.6675	DNAH14	94.2653
DNAH17	7.3736	DNAH17	26.0891
DNAH1	156.0105	DNAH1	281.0731
DNAH2	260.0175	DNAH2	91.0657
DNAH3	105.9474	DNAH3	20.9205
DNAH5	2724.3621	DNAH5	809.9926
DNAH6	71.4078	DNAH6	121.8312
DNAH7	219.6565	DNAH7	195.6682
removed	removed	DNAH9	39.6259
DNAI1	231.6872	DNAI1	14.029
DNAJA1	5177.8403	DNAJA1	2632.2914
DNAJA2	1345.8814	DNAJA2	1816.3918
DNAJA3	1241.4864	DNAJA3	679.0549
DNAJA4	2380.5181	DNAJA4	851.3414
DNAJB11	1355.9717	DNAJB11	837.8046
DNAJB12	1131.6581	DNAJB12	896.1359
DNAJB14	310.0805	DNAJB14	631.7992
DNAJB1	3085.6699	DNAJB1	3079.9902
DNAJB2	1661.7833	DNAJB2	861.9247
DNAJB4	220.4327	DNAJB4	1336.4509
DNAJB5	172.6982	DNAJB5	214.1275
DNAJB6	761.0362	DNAJB6	1478.7103
removed	removed	DNAJB7	5.2966
DNAJB9	418.3565	DNAJB9	1079.744
DNAJC10	3476.4723	DNAJC10	3871.0313
DNAJC11	1586.4286	DNAJC11	810.1723
DNAJC12	123.7994	DNAJC12	195.176
DNAJC13	3187.7365	DNAJC13	2391.8287
DNAJC14	1952.1995	DNAJC14	1082.5769
DNAJC15	462.5982	DNAJC15	842.2348
DNAJC16	2365.3827	DNAJC16	1060.0541
DNAJC17	622.8777	DNAJC17	151.366
DNAJC18	59.3771	DNAJC18	320.2067
DNAJC19	594.9355	DNAJC19	473.0495
DNAJC1	1280.2949	DNAJC1	493.7238
DNAJC21	1369.9428	DNAJC21	1317.0071
DNAJC22	527.4086	DNAJC22	126.7536
DNAJC24	261.4728	DNAJC24	425.2941
DNAJC25	201.8046	DNAJC25	288.2107
DNAJC27	224.3136	DNAJC27	322.9141
DNAJC28	57.0486	DNAJC28	45.5329
DNAJC2	450.2493	DNAJC2	593.5983
DNAJC30	195.5952	DNAJC30	257.4452
DNAJC3	1366.45	DNAJC3	3244.8929
DNAJC4	329.3606	DNAJC4	324.664
DNAJC5B	17.0758	removed	removed
DNAJC5	1858.1547	DNAJC5	1432.4391
DNAJC6	38.8086	DNAJC6	172.2865
DNAJC7	852.8262	DNAJC7	1292.7492
DNAJC8	1259.7264	DNAJC8	1804.3318
DNAJC9	789.4091	DNAJC9	572.4834
DNAL1	1164.6454	DNAL1	788.5799
DNAL4	1179.3926	DNAL4	338.4199
DNALI1	1518.5796	DNALI1	636.9678
DNASE1L1	715.114	DNASE1L1	345.0898
DNASE1L2	12.4187	removed	removed
removed	removed	DNASE1L3	112.2323
DNASE1	84.2146	DNASE1	53.1627
DNASE2	1348.21	DNASE2	705.144
DND1	74.1244	DND1	36.3032
removed	removed	DNER	12.7984
DNHD1	466.4791	DNHD1	260.891
DNLZ	74.5125	DNLZ	32.4883
DNM1L	2736.7808	DNM1L	1821.8065
DNM1P35	7.3736	DNM1P35	25.5968
DNM1	197.1476	DNM1	363.7706
DNM2	1918.1566	DNM2	1217.3345
DNM3	102.8427	DNM3	162.6877
DNMBP	502.0666	DNMBP	649.8376
DNMT1	2160.0854	DNMT1	1099.4339
DNMT3A	1262.0549	DNMT3A	418.1639
DNMT3B	235.18	DNMT3B	162.6877
DNPEP	810.7112	DNPEP	1008.8604
DNTTIP1	504.8996	DNTTIP1	317.4994
DNTTIP2	935.2867	DNTTIP2	1558.7005
DOC2A	92.8767	DOC2A	19.114
removed	removed	DOC2B	55.1317
removed	removed	DOCK10	737.8784
DOCK11	236.3442	DOCK11	1525.7199
DOCK1	1766.9545	DOCK1	3079.0057
DOCK2	264.2864	DOCK2	501.8459
DOCK3	11.2545	DOCK3	81.4669
DOCK4	429.2229	DOCK4	1128.7226
DOCK5	620.1611	DOCK5	605.9562
DOCK6	582.1287	DOCK6	613.2833
DOCK7	1118.0751	DOCK7	1954.7133
DOCK8	993.1115	DOCK8	1438.0999
DOCK9	1076.5499	DOCK9	2686.9308
DOHH	143.2036	DOHH	28.5503
DOK1	333.7538	DOK1	154.3195
DOK2	24.0613	DOK2	85.8971
DOK3	95.8572	DOK3	77.5289
DOK4	240.6132	DOK4	286.7339
DOK5	30.2707	DOK5	76.0522
DOK6	41.1371	DOK6	87.8661
DOK7	22.8971	DOK7	7.1376
DOLK	420.685	DOLK	311.8385
DOLPP1	513.4375	DOLPP1	252.7689
DOM3Z	257.9684	DOM3Z	185.8971
DONSON	645.5108	DONSON	189.744
DOPEY1	599.8952	DOPEY1	1298.2451
DOPEY2	4103.6189	DOPEY2	1051.6859
DOT1L	601.921	DOT1L	343.8026
DPAGT1	1274.8695	DPAGT1	691.1346
DPCD	902.7185	DPCD	227.8661
DPEP1	28.7183	removed	removed
DPEP2	14.3592	DPEP2	20.4283
DPF2	1349.3742	DPF2	925.9168
DPF3	21.7328	DPF3	20.9205
DPH1	402.9805	DPH1	410.4996
DPH2	869.7002	DPH2	551.809
DPH3B	12.8068	DPH3B	26.5813
DPH3	1094.4019	DPH3	913.8568
DPH5	310.9731	DPH5	479.5644
DPM1	615.8921	DPM1	659.8572
DPM2	1242.2625	DPM2	399.9508
DPM3	346.9487	DPM3	121.0928
DPP10	9.7021	DPP10	9.8449
DPP3	1471.2331	DPP3	437.6077
DPP4	131.173	DPP4	1290.6719
DPP6	6.2094	DPP6	22.1511
DPP7	2591.2487	DPP7	492.001
DPP8	810.3231	DPP8	901.5506
DPP9	1014.4562	DPP9	577.652
DPT	280.9741	DPT	3909.6727
DPY19L1	362.4721	DPY19L1	767.6594
removed	removed	DPY19L2P1	6.1531
DPY19L2P2	6.5975	DPY19L2P2	17.4748
removed	removed	DPY19L2P4	27.0736
DPY19L2	10.8664	DPY19L2	180.9008
DPY19L3	717.9587	DPY19L3	618.0162
DPY19L4	771.9026	DPY19L4	1746.0005
DPY30	852.5119	DPY30	423.9404
DPYD	325.992	DPYD	1558.9466
DPYSL2	1327.2533	DPYSL2	3827.2213
DPYSL3	5139.8079	DPYSL3	6104.8486
DPYSL4	9.3141	removed	removed
removed	removed	DPYSL5	15.0135
removed	removed	DPYS	14.029
DQX1	535.5584	removed	removed
DR1	884.4475	DR1	1150.8737
DRAM1	251.0915	DRAM1	930.8393
DRAM2	2269.9137	DRAM2	1230.1255
DRAP1	943.8246	DRAP1	265.8134
removed	removed	DRD1	66.6995
removed	removed	DRD2	28.7965
DRD4	8.5379	removed	removed
DRG1	1460.7548	DRG1	1146.1974
DRG2	384.2049	DRG2	439.3305
DRP2	29.4945	DRP2	8.8604
removed	removed	DSC1	136.1359
DSC2	613.9517	DSC2	3586.0202
DSC3	35.3158	DSC3	3300.5169
DSCAML1	72.9601	DSCAML1	13.2907
DSCAM	5.4332	removed	removed
DSCC1	138.5466	DSCC1	172.0404
DSCR3	981.0808	DSCR3	1131.43
DSCR6	22.1209	DSCR6	13.7829
DSEL	156.3986	DSEL	1026.0891
DSE	1002.1228	DSE	1280.6375
removed	removed	DSG1	297.0711
DSG2	3461.337	DSG2	6996.2762
DSG3	6.5975	DSG3	1301.7475
DSN1	803.7256	DSN1	436.6232
DSP	23720.5782	DSP	19402.9239
DSTN	13379.6449	DSTN	10429.9778
DSTYK	1165.0335	DSTYK	1184.5927
DST	2431.3573	DST	32544.4253
DTD1	174.2505	DTD1	400.1969
DTL	1012.1277	DTL	345.0652
DTNA	195.5952	DTNA	809.2542
DTNBP1	341.9036	DTNBP1	249.3232
DTNB	822.7418	DTNB	529.904
DTWD1	257.6889	DTWD1	742.5548
DTWD2	457.9412	DTWD2	393.5516
DTX1	65.1984	DTX1	215.112
DTX2	317.8422	DTX2	194.4376
DTX3L	2861.1817	DTX3L	1990.8713
DTX3	626.3704	DTX3	511.6909
DTX4	683.0309	DTX4	627.6151
DTYMK	368.2934	DTYMK	202.3136
DULLARD	1078.8784	DULLARD	1392.8132
DUOX1	393.1309	DUOX1	206.4977
DUOX2	20.9566	DUOX2	44.5484
DUOXA1	46.5004	DUOXA1	31.2577
DUS1L	712.5255	DUS1L	511.4447
DUS2L	159.1152	DUS2L	123.0618
DUS3L	181.6241	DUS3L	111.2478
DUS4L	93.7499	DUS4L	182.6508
DUSP10	624.8181	DUSP10	1129.9532
DUSP11	504.8996	DUSP11	616.2934
DUSP12	423.4016	DUSP12	310.6079
DUSP14	207.2378	DUSP14	505.5378
removed	removed	DUSP15	11.0756
DUSP16	1936.1599	DUSP16	2360.3249
DUSP18	199.5731	DUSP18	194.189
DUSP19	62.8699	DUSP19	131.1839
DUSP1	1988.5515	DUSP1	15157.7652
DUSP22	362.4721	DUSP22	920.5021
DUSP23	576.3074	DUSP23	273.1971
DUSP27	12.0307	DUSP27	10.8294
DUSP28	104.7832	DUSP28	95.9882
DUSP2	54.332	DUSP2	294.856
DUSP3	1035.4128	DUSP3	2125.0308
DUSP4	3354.6134	DUSP4	962.5892
DUSP5P	15.5234	removed	removed
DUSP5	889.8807	DUSP5	1674.3785
DUSP6	3299.8933	DUSP6	4630.0763
DUSP7	383.0407	DUSP7	472.5572
DUSP8	172.6982	DUSP8	499.8769
DUSP9	11.6426	DUSP9	12.7984
DUT	1086.3801	DUT	969.0647
DVL1	3729.8923	DVL1	371.4004
DVL2	513.8256	DVL2	507.999
DVL3	3054.235	DVL3	1763.4753
DVWA	25.2256	removed	removed
DYDC2	35.2886	DYDC2	23.6279
DYM	664.0147	DYM	905.2424
DYNC1H1	13454.9335	DYNC1H1	10414.9643
DYNC1I1	24.4494	DYNC1I1	34.4573
DYNC1I2	2345.9785	DYNC1I2	2185.331
DYNC1LI1	1068.4001	DYNC1LI1	873.0002
DYNC1LI2	2312.9912	DYNC1LI2	3829.9286
DYNC2H1	1054.8171	DYNC2H1	1283.2882
DYNC2LI1	536.7226	DYNC2LI1	556.2392
DYNLL1	3141.9424	DYNLL1	2619.0007
DYNLL2	1878.3351	DYNLL2	1205.7593
DYNLRB1	1862.4236	DYNLRB1	1269.9975
DYNLRB2	64.4222	DYNLRB2	23.874
DYNLT1	1630.7364	DYNLT1	1040.1181
DYNLT3	839.4295	DYNLT3	1057.3468
DYRK1A	1816.2414	DYRK1A	2128.7226
DYRK1B	336.4704	DYRK1B	281.3192
DYRK2	990.3949	DYRK2	814.669
DYRK3	354.3223	DYRK3	402.6581
DYRK4	201.0284	DYRK4	265.5673
DYSF	506.0638	DYSF	492.001
DYX1C1	63.8401	DYX1C1	112.7246
DZIP1L	50.0631	DZIP1L	82.4514
DZIP1	187.395	DZIP1	554.6
DZIP3	1290.3852	DZIP3	654.1964
E2F1	402.0569	E2F1	103.8641
E2F2	131.9492	E2F2	85.4049
E2F3	319.3946	E2F3	434.4081
E2F4	705.1518	E2F4	720.4036
E2F5	141.2749	E2F5	161.8287
E2F6	321.335	E2F6	397.9818
E2F7	53.5558	E2F7	112.9707
E2F8	183.1765	E2F8	55.87
E4F1	482.0025	E4F1	131.43
EAF1	1800.718	EAF1	931.3315
EAF2	74.5125	EAF2	62.2693
EAPP	982.2451	EAPP	1020.1821
EARS2	919.3752	EARS2	554.5164
EBAG9	551.4699	EBAG9	606.4484
EBF1	105.5593	EBF1	1539.0106
EBF2	13.583	EBF2	79.9902
EBF3	13.583	EBF3	482.6483
EBF4	100.5142	EBF4	234.8019
EBI3	11.6426	EBI3	39.1336
EBNA1BP2	2351.0236	EBNA1BP2	944.6222
EBPL	251.4796	EBPL	511.4447
EBP	607.7423	EBP	293.8715
ECD	692.7331	ECD	741.8164
ECE1	3722.1306	ECE1	5432.9313
ECE2	173.0863	ECE2	45.2867
ECEL1	5.8213	ECEL1	47.5018
ECH1	1891.9181	ECH1	1652.4785
ECHDC1	623.2657	ECHDC1	2087.3739
ECHDC2	271.66	ECHDC2	651.489
ECHDC3	294.9452	ECHDC3	462.9584
ECHS1	2015.3294	ECHS1	2443.7608
ECM1	2136.0241	ECM1	639.9212
ECM2	533.2298	ECM2	3154.8117
ECSCR	36.8681	ECSCR	258.6759
ECSIT	371.3981	ECSIT	315.5304
ECT2L	119.9185	ECT2L	16.9825
ECT2	1274.8617	ECT2	769.3822
EDA2R	85.767	EDA2R	376.3229
EDARADD	671.0003	EDARADD	362.54
removed	removed	EDAR	27.0736
EDA	65.5865	EDA	140.2904
EDC3	959.348	EDC3	762.4908
EDC4	1020.9333	EDC4	861.4817
EDEM1	3246.7255	EDEM1	2050.9476
EDEM2	697.7782	EDEM2	462.4662
EDEM3	7694.5765	EDEM3	2203.5442
EDF1	3338.3138	EDF1	1154.8117
EDIL3	842.1461	EDIL3	384.6911
EDN1	83.8265	EDN1	1612.1093
EDN2	120.6947	EDN2	53.4088
removed	removed	EDN3	39.6259
EDNRA	737.751	EDNRA	829.6825
EDNRB	69.4674	EDNRB	930.1009
EEA1	1844.5717	EEA1	1899.8277
EED	324.0516	EED	389.1213
EEF1A1P9	6580.7704	EEF1A1P9	7571.9911
EEF1A1	98395.6534	EEF1A1	120953.4826
EEF1A2	14.7473	EEF1A2	19.6899
EEF1B2	4679.1501	EEF1B2	4019.936
EEF1DP3	7.5327	removed	removed
EEF1D	6222.5672	EEF1D	2308.3928
EEF1E1	261.5698	EEF1E1	276.1506
EEF1G	22155.4283	EEF1G	16456.0669
EEF2K	2833.4142	EEF2K	2172.5326
EEF2	60787.8141	EEF2	35634.3736
EEFSEC	438.3506	EEFSEC	247.5461
EEPD1	154.07	EEPD1	470.5882
removed	removed	EFCAB10	11.5777
removed	removed	EFCAB1	78.5134
EFCAB2	25.6137	EFCAB2	96.4804
EFCAB4A	2407.296	EFCAB4A	546.8865
EFCAB4B	208.7901	EFCAB4B	196.8988
EFCAB5	27.166	EFCAB5	8.8604
EFCAB6	185.505	EFCAB6	97.4649
EFCAB7	168.0411	EFCAB7	253.9995
EFEMP1	633.356	EFEMP1	10174.5016
EFEMP2	1043.1745	EFEMP2	1042.5794
EFHA1	787.0379	EFHA1	1022.1511
EFHA2	15.5234	EFHA2	245.6313
EFHB	17.4639	EFHB	47.9941
EFHC1	430.3871	EFHC1	656.1654
EFHC2	149.8011	EFHC2	47.5018
EFHD1	1664.4999	EFHD1	2089.8351
EFHD2	1162.3169	EFHD2	393.7977
EFNA1	3211.4097	EFNA1	1238.0015
EFNA3	2147.4493	EFNA3	126.9998
EFNA4	1030.9731	EFNA4	198.3756
EFNA5	131.5611	EFNA5	1340.635
EFNB1	511.497	EFNB1	590.4504
EFNB2	439.3131	EFNB2	1100.9107
EFNB3	48.1226	EFNB3	258.922
EFR3A	3091.4912	EFR3A	2730.2486
EFR3B	209.5663	EFR3B	50.4553
EFS	1933.8314	EFS	963.0815
EFTUD1	942.6603	EFTUD1	867.0933
EFTUD2	1256.2336	EFTUD2	1484.125
EGFL6	16.2996	EGFL6	24.8585
EGFL7	250.7034	EGFL7	390.352
EGFL8	41.9365	EGFL8	59.7416
EGFLAM	161.8318	EGFLAM	561.9001
EGFR	131.173	EGFR	2334.7256
