gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ACLY	6198.894	ACLY	3190.0074
ACN9	129.2326	ACN9	214.1275
ACO1	1898.1275	ACO1	2450.8984
ACO2	2858.8998	ACO2	1813.874
ACOT11	21.3447	ACOT11	32.3505
ACOT13	1261.8803	ACOT13	553.2021
ACOT1	554.5746	ACOT1	576.4214
ACOT2	381.8764	ACOT2	302.9781
ACOT4	268.1673	ACOT4	95.9882
ACOT6	25.2256	ACOT6	5.1686
ACOT7	518.4826	ACOT7	210.9279
ACOT8	340.1067	ACOT8	175.9143
ACOT9	458.3293	ACOT9	613.3399
ACOX1	1057.9218	ACOX1	2068.4223
ACOX2	2588.9202	ACOX2	278.6119
ACOX3	301.9307	ACOX3	413.9798
ACP1	1691.2778	ACP1	1296.5789
ACP2	1154.9432	ACP2	623.431
ACP5	554.9626	ACP5	579.3748
ACP6	210.3425	ACP6	176.9628
ACPL2	713.3016	ACPL2	477.9719
ACPP	83.4384	ACPP	45.5329
ACRBP	150.5773	ACRBP	16.4903
ACRC	9.7021	ACRC	40.1181
ACSBG1	5.0451	ACSBG1	10.3372
ACSF2	312.021	ACSF2	575.4369
ACSF3	223.9255	ACSF3	197.8833
ACSL1	3943.7276	ACSL1	13490.7704
ACSL3	3908.7998	ACSL3	2933.7928
ACSL4	554.9626	ACSL4	1724.8339
ACSL5	91.2002	ACSL5	1034.9495
removed	removed	ACSL6	17.2286
ACSM1	26.3898	ACSM1	9.3527
removed	removed	ACSM3	72.9781
ACSM5	18.24	ACSM5	196.1605
ACSS1	1301.6397	ACSS1	616.5395
ACSS2	513.4375	ACSS2	2519.5668
ACSS3	126.516	ACSS3	643.1208
ACTA1	10.4783	ACTA1	7.876
ACTA2	9473.876	ACTA2	14981.7032
removed	removed	ACTBL2	12.7984
ACTB	100757.5434	ACTB	69959.6357
ACTG1	49477.8306	ACTG1	43324.3908
ACTG2	207.2378	ACTG2	4130.9377
ACTL6A	1490.2493	ACTL6A	1000
ACTN1	7184.6318	ACTN1	6379.5225
ACTN2	121.8589	ACTN2	27.0736
ACTN4	11001.6028	ACTN4	6836.5075
ACTR10	1455.7097	ACTR10	1323.4063
ACTR1A	2524.4979	ACTR1A	2020.1821
ACTR1B	1537.2077	ACTR1B	964.5582
ACTR2	8307.752	ACTR2	6986.9555
ACTR3B	112.1568	ACTR3B	141.0288
ACTR3C	15.5234	ACTR3C	65.2227
ACTR3	4313.1852	ACTR3	3944.13
ACTR5	202.9689	ACTR5	170.8097
ACTR6	526.6324	ACTR6	804.3318
ACTR8	367.9053	ACTR8	519.3207
ACVR1B	2569.9039	ACVR1B	979.0795
ACVR1C	8.5379	ACVR1C	2585.2818
ACVR1	834.7725	ACVR1	1648.5356
ACVR2A	231.2991	ACVR2A	686.4386
ACVR2B	417.5803	ACVR2B	546.3943
ACVRL1	317.4542	ACVRL1	593.4039
ACY1	770.7383	ACY1	498.4322
removed	removed	ACY3	16.7364
ACYP1	85.3789	ACYP1	69.8991
ACYP2	50.0631	ACYP2	171.0559
ADAL	186.6693	ADAL	201.3291
ADAM10	953.5267	ADAM10	3627.8612
ADAM11	8.1498	ADAM11	8.8604
ADAM12	1803.0465	ADAM12	334.2358
ADAM15	9158.1682	ADAM15	2230.8639
ADAM17	844.4746	ADAM17	1083.9281
ADAM19	381.1002	ADAM19	173.271
ADAM21	10.4783	removed	removed
ADAM22	89.2597	ADAM22	99.4339
ADAM23	34.1515	ADAM23	100.9107
ADAM28	38.4205	ADAM28	182.6237
ADAM32	19.7924	ADAM32	40.3643
ADAM33	37.6443	ADAM33	726.8299
ADAM6	4107.0379	ADAM6	17629.5644
ADAM8	439.7012	ADAM8	84.6665
ADAM9	2938.9735	ADAM9	3175.4861
removed	removed	ADAMDEC1	17.2286
ADAMTS10	207.6259	ADAMTS10	68.6685
ADAMTS12	750.1698	ADAMTS12	199.8523
ADAMTS13	140.487	ADAMTS13	39.3798
ADAMTS14	129.6206	removed	removed
ADAMTS15	937.2271	ADAMTS15	68.1762
ADAMTS16	635.6845	ADAMTS16	75.3138
ADAMTS17	136.2181	ADAMTS17	32.2422
ADAMTS18	127.6802	ADAMTS18	25.5968
ADAMTS19	26.0017	ADAMTS19	7.876
ADAMTS1	306.9758	ADAMTS1	7671.4251
ADAMTS2	633.7441	ADAMTS2	298.3017
ADAMTS3	32.5992	ADAMTS3	72.6064
ADAMTS4	835.9367	ADAMTS4	146.9358
ADAMTS5	225.0897	ADAMTS5	2461.7278
ADAMTS6	102.8427	ADAMTS6	32.7344
ADAMTS7	233.6276	ADAMTS7	44.7945
removed	removed	ADAMTS8	48.9786
ADAMTS9	129.6206	ADAMTS9	598.3264
ADAMTSL1	561.172	ADAMTSL1	167.6101
ADAMTSL2	187.4454	ADAMTSL2	36.4263
ADAMTSL3	199.8642	ADAMTSL3	217.3271
ADAMTSL4	643.4462	ADAMTSL4	714.9889
ADAMTSL5	143.5917	ADAMTSL5	41.1026
ADAP1	255.9814	ADAP1	80.1132
ADAP2	247.5987	ADAP2	430.224
ADARB1	754.4387	ADARB1	723.3571
ADARB2	8.926	removed	removed
ADAR	10719.317	ADAR	8092.5425
ADAT1	319.7827	ADAT1	378.2919
ADAT2	41.9133	ADAT2	200.0984
ADAT3	42.3013	ADAT3	12.5523
ADA	138.5466	ADA	72.1142
ADCK1	162.2199	ADCK1	121.585
ADCK2	438.5951	ADCK2	480.1871
ADCK4	868.924	ADCK4	330.0517
ADCK5	220.8208	ADCK5	35.934
ADCY10	5.0451	removed	removed
ADCY1	176.579	ADCY1	392.8132
ADCY2	36.4801	ADCY2	231.8484
ADCY3	304.7638	ADCY3	1251.0534
ADCY4	67.5269	ADCY4	381.4915
ADCY5	202.1927	ADCY5	347.0342
ADCY6	2049.869	ADCY6	2505.2917
ADCY7	524.692	ADCY7	606.4484
removed	removed	ADCY8	6.3992
ADCY9	1345.1053	ADCY9	844.696
removed	removed	ADCYAP1R1	36.9185
removed	removed	ADCYAP1	103.618
ADC	143.2036	ADC	84.9126
ADD1	4396.2356	ADD1	5756.8299
ADD2	25.6137	ADD2	74.5754
ADD3	5607.8393	ADD3	5533.1036
removed	removed	ADH1A	185.6387
removed	removed	ADH1B	32367.9547
removed	removed	ADH1C	437.8538
removed	removed	ADH4	298.794
ADH5	1482.0995	ADH5	3903.0273
ADHFE1	77.2291	ADHFE1	235.7864
ADI1	1577.9567	ADI1	1796.2097
removed	removed	ADIPOQ	27066.4534
ADIPOR1	5533.3269	ADIPOR1	2316.5149
ADIPOR2	2248.957	ADIPOR2	3167.6101
ADK	394.2951	ADK	486.8324
ADM2	1171.2428	ADM2	81.4669
ADM	171.5339	ADM	410.288
ADNP2	664.7909	ADNP2	968.0039
ADNP	3701.9501	ADNP	3560.6695
ADORA1	50.4511	ADORA1	126.2614
ADORA2A	88.4836	ADORA2A	38.6316
ADORA2B	19.0162	ADORA2B	207.9744
ADORA3	290.6762	ADORA3	155.304
ADO	617.4445	ADO	757.8144
ADPGK	773.7266	ADPGK	884.5188
ADPRHL1	187.8335	ADPRHL1	44.3022
ADPRHL2	1413.0203	ADPRHL2	364.7551
ADPRH	325.604	ADPRH	480.4332
removed	removed	ADRA1A	9.3527
ADRA1B	14.3592	ADRA1B	16.4903
removed	removed	ADRA1D	5.907
ADRA2A	199.088	ADRA2A	1097.2188
ADRA2B	17.4639	ADRA2B	23.6279
ADRA2C	62.0937	ADRA2C	28.7965
removed	removed	ADRB1	91.558
ADRB2	42.6894	ADRB2	307.1622
ADRBK1	1089.7448	ADRBK1	1097.9572
ADRBK2	965.1693	ADRBK2	3196.1605
ADRM1	1187.1544	ADRM1	490.2781
ADSL	1005.5302	ADSL	735.4172
ADSSL1	242.5536	ADSSL1	129.461
ADSS	1685.4565	ADSS	1745.7544
removed	removed	AEBP1	4807.0391
AEBP2	608.5185	AEBP2	1125.2769
AEN	332.9776	AEN	518.8285
AES	4107.8878	AES	3759.2912
AFAP1L1	273.9886	AFAP1L1	387.8907
AFAP1L2	353.5461	AFAP1L2	738.8629
AFAP1	1375.3721	AFAP1	1648.2821
AFF1	2071.6018	AFF1	3329.3133
AFF2	13.583	AFF2	120.1083
AFF3	213.4472	AFF3	1080.7285
AFF4	4334.1418	AFF4	5219.7883
AFG3L1	114.0972	AFG3L1	216.3426
AFG3L2	1125.3284	AFG3L2	1237.3246
AFMID	733.8702	AFMID	422.8403
AFTPH	2207.4318	AFTPH	2009.8449
AG2	83.4384	AG2	231.11
AGAP11	32.5992	AGAP11	279.109
AGAP1	796.7401	AGAP1	751.4152
AGAP2	31.4039	AGAP2	48.4445
AGAP3	592.9951	AGAP3	768.6439
AGAP4	199.8642	AGAP4	216.0965
AGAP5	90.6219	AGAP5	64.4622
AGAP6	56.2724	AGAP6	114.6936
AGAP7	6.5975	AGAP7	6.1531
AGAP8	9.3141	AGAP8	36.9185
AGA	319.7827	AGA	436.3771
AGBL2	19.7924	AGBL2	32.4883
AGBL3	5.4332	AGBL3	11.8139
AGBL4	9.3141	AGBL4	6.1531
AGBL5	727.6725	AGBL5	676.8472
AGER	21.7328	AGER	31.9961
AGFG1	1384.3019	AGFG1	2521.5358
AGFG2	238.6727	AGFG2	371.4004
AGGF1	1147.5696	AGGF1	1099.1878
AGK	406.7139	AGK	617.0317
AGL	2089.4538	AGL	1653.7042
AGMAT	55.4963	AGMAT	11.5678
AGPAT1	2163.7644	AGPAT1	1491.3168
