gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
ACN9	136.8187	ACN9	136.7094
ACO1	961.624	ACO1	950.1533
ACO2	2060.1502	ACO2	2471.9246
ACOT11	36.1513	ACOT11	28.6136
ACOT13	432.8309	ACOT13	490.7051
ACOT1	483.871	ACOT1	401.4988
ACOT2	355.3949	ACOT2	313.3871
ACOT4	470.5228	ACOT4	80.8448
ACOT6	6.1179	removed	removed
ACOT7	423.8042	ACOT7	314.2954
ACOT8	337.6752	ACOT8	249.4062
ACOT9	458.8432	ACOT9	446.0089
ACOX1	1182.9811	ACOX1	1694.0706
ACOX2	1418.7987	ACOX2	179.8569
ACOX3	581.2013	ACOX3	1219.4845
ACP1	1419.911	ACP1	1196.3211
ACP2	1116.2403	ACP2	1115.0221
ACP5	893.2147	ACP5	2172.3629
ACP6	515.0167	ACP6	701.2604
ACPL2	426.0289	ACPL2	392.8693
ACPP	7.7864	ACPP	106.7333
ACRBP	17.7976	ACRBP	21.8008
ACRC	7.2303	ACRC	21.3467
removed	removed	ACR	7.2669
removed	removed	ACSBG1	7.7211
removed	removed	ACSBG2	5.4502
ACSF2	823.693	ACSF2	1682.7524
ACSF3	319.2436	ACSF3	511.4114
ACSL1	899.8888	ACSL1	17170.8868
ACSL3	3364.2937	ACSL3	24445.1005
ACSL4	920.4672	ACSL4	1379.3573
ACSL5	222.4694	ACSL5	791.643
ACSL6	13.3482	ACSL6	11.8088
ACSM1	25.584	ACSM1	2846.8264
ACSM3	8.9043	ACSM3	3528.2389
ACSM5	15.5729	ACSM5	15.4423
ACSS1	203.5595	ACSS1	1256.2734
ACSS2	1289.2102	ACSS2	3290.5643
ACSS3	137.3749	ACSS3	941.978
ACTA1	73.9711	ACTA1	46.781
ACTA2	17042.3359	ACTA2	20611.5181
removed	removed	ACTBL2	9.5379
ACTB	134114.5717	ACTB	77536.5051
ACTC1	76.7519	ACTC1	6.8128
ACTG1	108768.6318	ACTG1	54760.9856
ACTG2	610.1224	ACTG2	4152.1517
ACTL6A	877.6418	ACTL6A	710.7982
ACTL8	7.7864	removed	removed
ACTN1	11627.9199	ACTN1	10975.3605
ACTN3	5.0056	removed	removed
ACTN4	12606.3515	ACTN4	11845.9271
ACTR10	1270.8565	ACTR10	920.1771
ACTR1A	2676.307	ACTR1A	2452.1403
ACTR1B	1209.1212	ACTR1B	1388.441
ACTR2	6760.2892	ACTR2	5190.8709
ACTR3B	190.7675	ACTR3B	181.6737
ACTR3C	14.4605	ACTR3C	51.777
ACTR3	4401.5573	ACTR3	3243.7834
ACTR5	286.9855	ACTR5	226.1837
ACTR6	471.079	ACTR6	537.2999
ACTR8	441.0456	ACTR8	503.6902
ACVR1B	1105.673	ACVR1B	1176.337
ACVR1C	7.2303	ACVR1C	48.1435
ACVR1	1444.3826	ACVR1	1367.0944
ACVR2A	527.8087	ACVR2A	679.4595
ACVR2B	467.1858	ACVR2B	319.2915
ACVRL1	854.2825	ACVRL1	596.3438
ACY1	737.4861	ACY1	862.523
removed	removed	ACY3	35.8805
ACYP1	48.9433	ACYP1	63.5858
ACYP2	56.1735	ACYP2	117.1795
ADAL	170.7453	ADAL	180.7653
ADAM10	1991.6574	ADAM10	2218.6897
ADAM11	6.6741	ADAM11	19.0757
ADAM12	5416.574	ADAM12	1740.4337
ADAM15	5296.4572	ADAM15	3500.9969
ADAM17	764.1824	ADAM17	938.3445
ADAM19	479.4216	ADAM19	168.9565
ADAM21	5.0056	removed	removed
ADAM22	22.8031	ADAM22	47.6893
ADAM23	28.3648	ADAM23	20.8925
ADAM28	73.9711	ADAM28	130.805
removed	removed	ADAM29	8.1753
removed	removed	ADAM2	20.8925
removed	removed	ADAM32	9.5379
ADAM33	126.8076	ADAM33	616.396
ADAM6	642.7642	ADAM6	35569.8149
ADAM8	709.6774	ADAM8	370.1601
ADAM9	2573.4149	ADAM9	2693.7663
ADAMDEC1	9.4549	ADAMDEC1	165.323
ADAMTS10	156.2848	ADAMTS10	181.2195
ADAMTS12	657.9533	ADAMTS12	210.7415
ADAMTS13	54.505	ADAMTS13	89.9285
ADAMTS14	185.2058	ADAMTS14	20.8925
ADAMTS15	951.0567	ADAMTS15	422.8455
ADAMTS16	401.0011	ADAMTS16	364.7099
ADAMTS17	107.3415	ADAMTS17	103.554
ADAMTS18	9.4549	ADAMTS18	89.9285
removed	removed	ADAMTS19	25.8885
ADAMTS1	1692.9922	ADAMTS1	4027.7052
ADAMTS2	1107.8977	ADAMTS2	592.2562
ADAMTS3	29.4772	ADAMTS3	84.0241
