gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
CD1E	6.1179	CD1E	32.7013
CD200R1	20.0222	CD200R1	17.259
CD200	476.6407	CD200	705.348
CD207	40.0445	CD207	131.7134
CD209	95.6618	CD209	196.6617
removed	removed	CD226	19.5299
CD22	236.9299	CD22	340.6381
CD244	10.0111	CD244	20.4383
CD247	21.1346	CD247	61.3149
CD248	2105.1168	CD248	2209.606
CD24	10295.8843	CD24	13480.6404
CD274	20.0222	CD274	27.2511
CD276	5217.4638	CD276	2064.7212
CD27	10.2892	CD27	89.7922
CD28	122.3582	CD28	53.1395
CD2AP	1255.8398	CD2AP	1518.7919
CD2BP2	1884.3159	CD2BP2	1296.6958
CD2	41.1568	CD2	138.072
CD300A	319.7998	CD300A	200.2952
CD300C	65.0723	CD300C	34.9722
CD300E	5.5617	removed	removed
CD300LB	27.2525	CD300LB	27.2511
CD300LF	28.3648	CD300LF	69.9444
removed	removed	CD300LG	487.3396
CD302	655.5339	CD302	1516.5209
CD320	516.6852	CD320	577.7223
CD33	100.6674	CD33	64.9483
CD34	2165.1835	CD34	3587.6008
CD36	192.436	CD36	2974.4521
CD37	374.3048	CD37	431.9291
removed	removed	CD38	15.8964
CD3D	13.3482	CD3D	59.4981
CD3EAP	511.1235	CD3EAP	458.4217
CD3E	54.505	CD3E	211.1956
removed	removed	CD3G	25.4343
removed	removed	CD40LG	44.51
CD40	304.2269	CD40	299.7616
CD44	19206.3404	CD44	9886.681
CD46	9627.9199	CD46	7074.8268
CD47	2500.5562	CD47	3167.0262
CD48	155.7286	CD48	283.8651
CD4	1242.4917	CD4	1068.6954
CD52	122.9143	CD52	548.2003
CD53	664.0712	CD53	675.826
CD55	5586.7631	CD55	1527.8756
CD58	197.9978	CD58	194.3908
CD59	14299.2214	CD59	19882.3663
CD5	29.4772	CD5	105.3707
CD63	13034.4828	CD63	7960.0318
CD68	3605.1168	CD68	3723.4018
CD69	27.2525	CD69	124.9006
CD6	53.9488	CD6	146.2473
CD70	13.9043	removed	removed
CD72	44.4939	CD72	36.7889
CD74	78743.604	CD74	25890.7687
removed	removed	CD79A	94.0161
CD79B	15.5729	CD79B	110.8209
CD7	17.7976	CD7	51.3228
CD80	13.3482	CD80	9.5379
CD81	11265.8509	CD81	10604.292
CD82	1248.0534	CD82	1870.3304
CD83	392.6585	CD83	248.8929
CD84	95.6618	CD84	132.6218
CD86	362.6251	CD86	169.8649
CD8A	22.8031	CD8A	134.4385
removed	removed	CD8B	29.9762
CD93	4812.5695	CD93	3356.421
CD96	23.3593	CD96	107.1875
CD97	742.4917	CD97	944.7031
CD99L2	1117.3526	CD99L2	845.6909
CD99	5731.3682	CD99	2240.0363
CD9	7009.4549	CD9	6314.5225
CDADC1	140.1557	CDADC1	192.5741
CDAN1	412.1246	CDAN1	480.5269
CDA	16.6852	CDA	20.8925
CDC123	935.2503	CDC123	711.5976
CDC14A	58.3982	CDC14A	533.6664
CDC14B	315.9066	CDC14B	535.4831
CDC14C	6.1179	CDC14C	9.9921
CDC16	1515.0167	CDC16	1348.0186
CDC20B	116.2403	removed	removed
CDC20	171.3014	CDC20	80.8448
CDC23	828.6986	CDC23	799.3641
CDC25A	22.2469	CDC25A	60.8607
CDC25B	787.5417	CDC25B	893.8344
CDC25C	20.5784	CDC25C	8.6295
CDC26	93.426	CDC26	92.4492
CDC27	1681.8687	CDC27	1496.991
CDC34	823.1368	CDC34	589.9852
CDC37L1	349.8331	CDC37L1	424.208
CDC37	2625.139	CDC37	2426.706
CDC40	492.2136	CDC40	814.8064
CDC42BPA	2602.8921	CDC42BPA	2235.4945
CDC42BPB	3102.3359	CDC42BPB	3167.9346
CDC42BPG	452.1691	CDC42BPG	1181.7872
CDC42EP1	1726.3626	CDC42EP1	2565.2322
CDC42EP2	338.1535	CDC42EP2	232.0881
CDC42EP3	602.8921	CDC42EP3	1244.4646
CDC42EP4	1394.327	CDC42EP4	2820.0295
CDC42EP5	114.5717	CDC42EP5	159.8728
CDC42SE1	2509.6107	CDC42SE1	3233.9321
CDC42SE2	1022.2469	CDC42SE2	1571.9314
CDC42	5179.644	CDC42	4822.0734
CDC45	12.2358	CDC45	31.3387
CDC5L	874.861	CDC5L	1236.7435
CDC6	111.7909	CDC6	89.0201
CDC73	1414.9055	CDC73	1109.1177
CDC7	77.8643	CDC7	133.9843
CDCA2	39.4883	CDCA2	26.3427
CDCA3	58.4372	CDCA3	35.39
CDCA4	329.2547	CDCA4	218.0084
CDCA5	113.4594	CDCA5	78.5739
CDCA7L	155.6285	CDCA7L	466.3109
CDCA7	12.2358	CDCA7	74.9404
CDCA8	157.3971	CDCA8	84.4783
CDCP1	1530.5895	CDCP1	1184.5123
CDH11	7646.2736	CDH11	1265.8113
CDH12	6.6741	CDH12	51.777
CDH13	1174.0823	CDH13	560.0091
CDH15	5.5617	removed	removed
removed	removed	CDH17	14.9881
removed	removed	CDH19	40.4224
CDH1	7319.7998	CDH1	12698.0811
removed	removed	CDH22	36.7889
CDH23	87.3192	CDH23	267.0603
CDH24	72.3026	CDH24	140.7971
removed	removed	CDH26	15.8964
CDH2	231.3682	CDH2	21.3467
CDH3	797.5528	CDH3	3608.9474
removed	removed	CDH4	24.0718
CDH5	1878.7542	CDH5	1967.0716
CDH6	176.307	CDH6	153.5143
removed	removed	CDH7	13.6255
CDH8	14.4605	CDH8	49.5061
CDHR1	6.1179	CDHR1	13.6255
CDHR3	23.7208	CDHR3	20.5973
CDHR4	15.0167	removed	removed
CDIPT	2576.7519	CDIPT	1494.7201
CDK10	363.1813	CDK10	853.8662
CDK11A	408.0812	CDK11A	544.9574
CDK11B	742.0857	CDK11B	754.9177
CDK12	1523.9155	CDK12	1742.2505
CDK13	1047.2747	CDK13	1249.4607
CDK14	860.4004	CDK14	660.3838
removed	removed	CDK15	6.8128
CDK16	1910.4561	CDK16	1408.4251
CDK17	605.673	CDK17	859.7706
CDK18	358.7319	CDK18	365.6183
CDK19	493.4205	CDK19	676.9978
CDK1	240.8231	CDK1	107.6416
CDK20	221.9132	CDK20	180.3111
CDK2AP1	2250.2781	CDK2AP1	1974.3386
CDK2AP2	1022.2469	CDK2AP2	571.8179
CDK2	598.4427	CDK2	571.3637
CDK3	41.8966	CDK3	157.7064
CDK4	1830.3671	CDK4	1554.6724
CDK5R1	120.1335	CDK5R1	63.5858
CDK5RAP1	504.4494	CDK5RAP1	470.0806
CDK5RAP2	1131.8131	CDK5RAP2	1613.2622
CDK5RAP3	1788.6541	CDK5RAP3	2347.2238
CDK5	278.0868	CDK5	232.5423
CDK6	417.1301	CDK6	934.2568
CDK7	626.8076	CDK7	355.6262
CDK8	134.594	CDK8	156.2394
CDK9	1004.4494	CDK9	1052.7989
CDKAL1	237.4861	CDKAL1	256.6141
CDKL1	17.7976	CDKL1	13.6255
removed	removed	CDKL2	22.255
CDKL3	45.5451	CDKL3	30.335
CDKL5	28.3648	CDKL5	99.0121
CDKN1A	3725.8065	CDKN1A	1922.5616
CDKN1B	1619.0211	CDKN1B	1350.2895
CDKN1C	155.7286	CDKN1C	425.1164
CDKN2AIPNL	303.6707	CDKN2AIPNL	245.7136
CDKN2AIP	385.4283	CDKN2AIP	573.1804
CDKN2A	164.6274	CDKN2A	33.6096
CDKN2BAS	6.1179	removed	removed
CDKN2B	610.1224	CDKN2B	145.7931
CDKN2C	250.2781	CDKN2C	169.4107
CDKN2D	214.1268	CDKN2D	65.4025
CDKN3	82.3137	CDKN3	28.1594
CDNF	15.5729	CDNF	56.773
CDO1	26.1402	CDO1	136.7094
CDON	581.2013	CDON	733.0533
CDR1	12.5973	removed	removed
CDR2L	938.8209	CDR2L	536.8457
CDR2	873.1924	CDR2	671.2842
removed	removed	CDRT1	5.9634
CDRT4	179.5829	CDRT4	316.0259
CDS1	779.1991	CDS1	1029.1813
CDS2	1255.8398	CDS2	762.5752
CDSN	649.0545	CDSN	25.4343
CDT1	58.3982	CDT1	88.5659
CDV3	3126.8076	CDV3	3361.4171
CDX1	10.0111	CDX1	9.9921
CDYL2	162.9588	CDYL2	109.9126
CDYL	498.8877	CDYL	696.7185
CEACAM19	24.4716	CEACAM19	82.2073
CEACAM1	182.4249	CEACAM1	822.9817
CEACAM21	11.1235	CEACAM21	5.9044
CEACAM5	320.9121	CEACAM5	5.4502
CEACAM6	1436.04	CEACAM6	73.5778
CEACAM7	6.1179	CEACAM7	16.3506
CEBPA	270.8565	CEBPA	505.9612
CEBPB	1235.2614	CEBPB	1234.9268
CEBPD	423.2481	CEBPD	1301.6918
CEBPG	650.1669	CEBPG	902.9181
CEBPZ	1056.1735	CEBPZ	1201.3171
CECR1	988.3204	CECR1	3840.5814
removed	removed	CECR2	146.7015
CECR5	416.0178	CECR5	586.8059
CECR6	31.1457	CECR6	101.7373
CECR7	50.0556	CECR7	191.2115
CELF1	1666.2959	CELF1	2181.4466
CELF2	528.3648	CELF2	1174.0661
removed	removed	CELF4	8.1753
CELF5	23.9155	CELF5	64.9483
CELF6	29.5439	CELF6	98.8305
CELSR1	5263.6263	CELSR1	1941.1831
CELSR2	6229.1435	CELSR2	2417.6223
CELSR3	363.8098	CELSR3	80.3906
CEL	17.2414	CEL	46.3268
CEMP1	157.3582	CEMP1	207.1534
CENPA	30.0334	CENPA	20.4383
CENPBD1	218.02	CENPBD1	320.654
CENPB	2979.9778	CENPB	1691.3819
CENPC1	340.3782	CENPC1	488.7022
CENPE	100.6674	CENPE	59.9523
CENPF	1087.8754	CENPF	304.3034
CENPH	105.673	CENPH	85.8408
CENPI	9.4549	CENPI	9.5379
CENPJ	103.4483	CENPJ	209.3789
CENPK	29.4772	CENPK	34.9722
CENPL	171.3014	CENPL	87.6575
CENPM	39.4883	CENPM	24.9801
CENPN	87.5918	CENPN	172.1222
CENPO	52.158	CENPO	98.3854
CENPP	326.9021	CENPP	45.1641
CENPQ	78.9766	CENPQ	82.2073
CENPT	293.1034	CENPT	574.9972
CENPV	60.0667	CENPV	64.04
CENPW	43.3815	CENPW	82.2073
CEP110	475.5284	CEP110	695.356
CEP120	536.7075	CEP120	540.9333
CEP135	230.812	CEP135	241.1718
CEP152	46.7186	CEP152	98.558
CEP164	600.1112	CEP164	678.097
CEP170	1131.8131	CEP170	953.7868
CEP192	466.6296	CEP192	832.9738
CEP250	957.7308	CEP250	672.6468
CEP290	417.2024	CEP290	627.2965
CEP350	1956.0623	CEP350	1487.4532
CEP55	130.7008	CEP55	45.4184
CEP57	647.386	CEP57	856.1372
CEP63	647.2024	CEP63	593.646
CEP68	941.0456	CEP68	1308.5046
CEP70	239.7108	CEP70	318.3831
CEP72	53.9488	CEP72	63.1316
CEP76	127.3637	CEP76	153.9684
CEP78	209.1212	CEP78	229.8172
CEP97	151.2792	CEP97	147.6099
CEPT1	731.3682	CEPT1	679.4595
CERCAM	4402.1135	CERCAM	1106.3926
CERKL	88.96	CERKL	49.2381
CERK	615.1279	CERK	719.4277
CES1	361.5128	CES1	652.2085
CES2	705.228	CES2	1265.8113
CES3	11.1235	CES3	272.5105
CES8	30.5895	CES8	101.2831
CETN2	1641.8242	CETN2	699.4436
CETN3	338.1535	CETN3	266.1519
CETP	85.6507	CETP	19.9841
CFB	14701.0957	CFB	1975.7011
CFDP1	624.5829	CFDP1	696.2643
CFD	112.3471	CFD	1612.3538
removed	removed	CFHR5	99.0121
CFH	1830.9232	CFH	1645.5093
CFI	276.4182	CFI	994.2092
CFL1	15131.8131	CFL1	9249.4607
CFL2	294.772	CFL2	483.252
CFLAR	612.9032	CFLAR	1268.0504
removed	removed	CFP	54.0479
removed	removed	CFTR	22.7092
CG030	33.9266	CG030	57.6814
removed	removed	CGB7	12.7444
CGGBP1	1890.99	CGGBP1	2123.7652
CGNL1	1670.7453	CGNL1	2505.7341
CGN	1523.3593	CGN	1170.4326
CGREF1	564.8888	CGREF1	159.7002
CGRRF1	256.396	CGRRF1	187.5781
CH25H	58.3982	CH25H	57.2272
CHAC1	37.2636	CHAC1	39.0598
CHAC2	11.1235	CHAC2	28.1594
CHADL	37.2636	CHADL	39.0598
CHAD	380.4227	CHAD	131.2592
CHAF1A	292.5473	CHAF1A	281.5942
CHAF1B	156.8409	CHAF1B	216.6458
CHCHD10	282.5362	CHCHD10	247.5304
CHCHD1	522.2469	CHCHD1	346.5425
CHCHD2	3523.9155	CHCHD2	2533.8935
CHCHD3	775.3059	CHCHD3	544.5668
CHCHD4	204.1157	CHCHD4	193.4825
CHCHD5	450.5006	CHCHD5	248.8929
CHCHD6	116.2403	CHCHD6	142.6138
CHCHD7	396.5517	CHCHD7	366.0724
CHCHD8	724.1379	CHCHD8	437.3794
CHD1L	762.5139	CHD1L	1204.4964
CHD1	981.6463	CHD1	1425.2299
CHD2	2028.3648	CHD2	3335.0744
CHD3	2561.7353	CHD3	4291.1321
CHD4	5671.1902	CHD4	6258.8986
CHD6	1805.3393	CHD6	2398.0924
CHD7	551.7241	CHD7	789.8263
CHD8	2201.3348	CHD8	2399.455
CHD9	816.4627	CHD9	1984.7848
CHDH	558.9544	CHDH	956.966
CHEK1	127.3637	CHEK1	102.6456
CHEK2	97.3304	CHEK2	134.8927
CHERP	1295.3448	CHERP	1374.6701
CHFR	352.614	CHFR	498.24
removed	removed	CHGB	11.8088
CHI3L1	1059.5106	CHI3L1	5448.8475
CHI3L2	227.475	CHI3L2	517.77
CHIC1	309.7887	CHIC1	300.2157
CHIC2	140.7119	CHIC2	252.0722
CHID1	1442.158	CHID1	1399.3414
CHIT1	105.1168	CHIT1	4429.6582
CHKA	355.3949	CHKA	900.193
CHKB-CPT1B	137.8031	CHKB-CPT1B	351.6158
CHKB	175.1502	CHKB	317.7018
CHL1	78.4205	CHL1	675.826
CHML	1060.6229	CHML	449.6423
CHMP1A	1487.208	CHMP1A	1580.5609
CHMP1B	1243.604	CHMP1B	1796.2984
CHMP2A	2522.2469	CHMP2A	1365.2776
CHMP2B	986.0957	CHMP2B	996.4801
CHMP4A	1255.8788	CHMP4A	650.6097
CHMP4B	6074.5273	CHMP4B	2719.2006
CHMP4C	384.8721	CHMP4C	475.985
CHMP5	1555.812	CHMP5	1118.8418
CHMP6	543.3815	CHMP6	428.7499
CHMP7	938.2647	CHMP7	996.4801
CHM	474.416	CHM	614.5112
CHN1	441.0456	CHN1	255.7057
CHN2	52.8365	CHN2	69.4902
removed	removed	CHODL	27.7052
CHORDC1	308.6763	CHORDC1	423.7538
CHPF2	2087.8754	CHPF2	1249.0065
CHPF	5392.1023	CHPF	1903.4859
CHPT1	1658.5095	CHPT1	1722.2664
CHP	2591.2125	CHP	3316.4528
CHRAC1	754.7275	CHRAC1	483.7061
CHRDL1	13.3482	CHRDL1	1975.247
removed	removed	CHRDL2	10.9004
CHRD	462.7364	CHRD	231.1797
CHRFAM7A	45.6062	CHRFAM7A	35.8805
CHRM1	9.4549	CHRM1	149.4266
CHRM3	8.3426	CHRM3	32.7013
CHRM5	6.1179	removed	removed
removed	removed	CHRNA10	11.8088
CHRNA1	82.8699	CHRNA1	31.3387
removed	removed	CHRNA2	267.9687
CHRNA3	27.8087	removed	removed
CHRNA5	5.0056	CHRNA5	27.2511
CHRNA6	15.0167	removed	removed
removed	removed	CHRNA7	12.7172
CHRNB1	125.6952	CHRNB1	152.1517
CHRNB2	5.5617	CHRNB2	76.7571
CHRNE	19.3437	CHRNE	16.3325
CHST10	507.7864	CHST10	274.7814
CHST11	293.6596	CHST11	162.1437
CHST12	253.6151	CHST12	248.8929
CHST13	23.9155	CHST13	12.263
CHST14	853.1702	CHST14	463.722
CHST15	2708.0089	CHST15	1502.8954
CHST1	477.7531	CHST1	1793.1191
CHST2	107.3415	CHST2	246.622
CHST3	750.2781	CHST3	1522.8795
removed	removed	CHST4	15.8964
removed	removed	CHST5	6.8309
CHST6	76.7519	CHST6	37.6973
CHST7	74.5273	CHST7	93.5619
CHST8	1292.5473	CHST8	41.7849
removed	removed	CHST9	371.9768
CHSY1	2486.6518	CHSY1	2632.9056
CHSY3	223.0256	CHSY3	114.0002
CHTF18	151.2792	CHTF18	205.7454
CHTF8	1582.8699	CHTF8	2263.6539
CHUK	451.6129	CHUK	634.0411
CHURC1	1756.5907	CHURC1	1454.0388
CIAO1	1770.8565	CIAO1	1800.3861
CIAPIN1	578.9766	CIAPIN1	729.4198
CIB1	2630.7008	CIB1	1111.8429
CIB2	50.6118	CIB2	50.8686
CIB3	5.0056	removed	removed
CIC	2169.0768	CIC	2481.6623
removed	removed	CIDEA	10.4462
CIDEB	244.2937	CIDEB	294.5611
CIDECP	131.7186	CIDECP	80.813
removed	removed	CIDEC	89.5061
CIITA	309.7887	CIITA	328.8293
CILP2	875.9733	CILP2	26.3427
CILP	1382.6474	CILP	1428.8634
CINP	484.9833	CINP	296.1281
CIR1	1047.2747	CIR1	822.5275
CIRBP	5581.2013	CIRBP	6104.2353
CIRH1A	537.8198	CIRH1A	871.5794
CISD1	423.8042	CISD1	279.7774
CISD2	507.7864	CISD2	378.3354
CISD3	994.1935	CISD3	671.0889
CISH	3621.802	CISH	980.1294
CITED1	48.9433	CITED1	142.1596
CITED2	860.9566	CITED2	2427.6144
CITED4	3202.4472	CITED4	1136.3688
CIT	313.1257	CIT	112.1835
CIZ1	1796.9967	CIZ1	1812.1948
CKAP2L	36.7075	CKAP2L	24.9801
CKAP2	487.7642	CKAP2	339.7298
CKAP4	3446.6073	CKAP4	1843.5336
CKAP5	2355.3949	CKAP5	2055.1834
CKB	228.5873	CKB	265.6977
CKLF	306.4516	CKLF	196.6617
CKMT1A	106.7853	CKMT1A	178.9486
CKMT1B	208.0089	CKMT1B	334.7337
CKMT2	22.2469	CKMT2	31.7929
CKS1B	608.4538	CKS1B	285.6818
CKS2	263.0701	CKS2	83.5699
CLASP1	1197.4416	CLASP1	1556.035
CLASP2	794.2158	CLASP2	1315.7715
CLCA2	120.6897	CLCA2	1377.9948
removed	removed	CLCA4	118.9963
CLCC1	864.5829	CLCC1	1073.428
CLCF1	148.4983	CLCF1	123.5381
removed	removed	CLCN1	9.9921
CLCN2	110.6785	CLCN2	91.291
CLCN3	1220.2447	CLCN3	1998.4104
CLCN4	34.4828	CLCN4	156.6935
CLCN5	155.1724	CLCN5	216.6458
CLCN6	414.3493	CLCN6	604.5191
CLCN7	1952.1691	CLCN7	1745.4298
CLDN10	8.7264	CLDN10	36.2394
CLDN11	17.7976	CLDN11	1082.7751
CLDN12	1179.644	CLDN12	1367.0944
CLDN14	22.2469	CLDN14	49.0519
CLDN15	73.9711	CLDN15	181.2195
removed	removed	CLDN16	9.0837
removed	removed	CLDN19	179.4027
CLDN1	795.3281	CLDN1	1722.2664
CLDN23	80.6452	CLDN23	91.291
CLDN2	24.4716	removed	removed
CLDN3	627.3637	CLDN3	1334.8473
CLDN4	5887.6529	CLDN4	4379.698
CLDN5	241.3793	CLDN5	946.0656
CLDN7	1508.8988	CLDN7	1798.1151
CLDN8	43.9377	CLDN8	2023.3905
CLDN9	10.0111	CLDN9	9.5379
CLDND1	956.0623	CLDND1	1100.4882
CLEC10A	28.3648	CLEC10A	130.805
CLEC11A	707.4527	CLEC11A	218.0084
CLEC12A	5.0056	CLEC12A	7.7211
CLEC14A	918.2425	CLEC14A	757.5792
CLEC16A	1050.0556	CLEC16A	1007.8347
CLEC18A	23.2925	removed	removed
CLEC18B	6.1179	removed	removed
CLEC1A	85.0945	CLEC1A	141.2513
CLEC2B	586.2069	CLEC2B	202.5661
CLEC2D	383.2036	CLEC2D	375.6103
CLEC3A	2248.6096	removed	removed
CLEC3B	174.0823	CLEC3B	1358.0107
CLEC4A	58.3982	CLEC4A	50.4144
CLEC4E	6.6741	CLEC4E	56.3188
removed	removed	CLEC4F	32.2471
removed	removed	CLEC4GP1	19.5299
removed	removed	CLEC4G	9.9921
CLEC5A	647.386	CLEC5A	40.4224
CLEC7A	184.6496	CLEC7A	174.4067
removed	removed	CLEC9A	10.9004
CLECL1	7.2303	removed	removed
CLGN	25.584	CLGN	30.8845
CLIC1	6590.6563	CLIC1	4228.9088
CLIC2	152.3915	CLIC2	387.8733
CLIC3	41.1568	CLIC3	74.9404
CLIC4	6663.515	CLIC4	6091.9723
CLIC5	38.9321	CLIC5	294.7655
CLIC6	16151.8354	CLIC6	392.4151
CLINT1	1575.6396	CLINT1	2191.4386
CLIP1	1544.4939	CLIP1	2508.005
CLIP2	684.6496	CLIP2	534.5748
CLIP3	660.7341	CLIP3	644.9415
CLIP4	433.8154	CLIP4	954.2409
CLK1	1106.7853	CLK1	3080.7312
CLK2P	27.2525	CLK2P	12.7172
CLK2	1191.8799	CLK2	798.0016
CLK3	522.8031	CLK3	893.8344
CLK4	352.614	CLK4	765.3003
CLMN	811.4572	CLMN	2171.4545
CLN3	1802.0022	CLN3	1529.6923
CLN5	756.396	CLN5	740.7744
CLN6	771.9689	CLN6	759.8501
CLN8	312.0133	CLN8	555.0131
removed	removed	CLNK	8.1753
CLNS1A	1402.1135	CLNS1A	982.4004
CLOCK	283.6485	CLOCK	480.0727
CLP1	216.9077	CLP1	196.2076
CLPB	243.604	CLPB	273.8731
CLPP	664.0712	CLPP	440.1045
CLPTM1L	1900.4449	CLPTM1L	1638.2423
CLPTM1	2709.1212	CLPTM1	2762.8023
CLPX	602.3359	CLPX	799.3641
CLSPN	23.3593	CLSPN	24.9801
CLSTN1	7141.8242	CLSTN1	6509.3675
CLSTN2	729.1435	CLSTN2	849.7786
CLSTN3	1331.4794	CLSTN3	1360.7358
CLTA	1883.2036	CLTA	1523.7879
CLTB	1389.3215	CLTB	895.6512
CLTCL1	97.8865	CLTCL1	77.2113
CLTC	12340.3782	CLTC	10046.0997
CLUAP1	614.6274	CLUAP1	401.953
CLUL1	50.6118	CLUL1	60.8607
CLU	30052.8365	CLU	77677.3021
CLVS1	6.2625	CLVS1	23.5222
CLYBL	109.5662	CLYBL	108.0958
CMA1	7.7864	CMA1	19.0757
CMAH	269.188	CMAH	338.3672
CMAS	610.6785	CMAS	680.8221
CMBL	1053.3927	CMBL	707.1648
CMC1	97.3304	CMC1	96.7412
CMIP	1254.1713	CMIP	1392.9829
CMKLR1	617.3526	CMKLR1	361.0764
CMPK1	2427.6974	CMPK1	3796.0713
CMPK2	208.5651	CMPK2	102.6456
CMTM1	91.7686	CMTM1	96.7412
CMTM3	2403.782	CMTM3	1235.3809
CMTM4	665.7397	CMTM4	2016.5777
removed	removed	CMTM5	18.6216
CMTM6	1704.6719	CMTM6	2818.667
CMTM7	297.5528	CMTM7	1065.5161
CMTM8	154.0601	CMTM8	152.6059
CMYA5	322.5806	CMYA5	1385.2617
removed	removed	CN5H6.4	7.2669
CNBP	5515.0167	CNBP	5765.4139
CNDP2	4577.3081	CNDP2	4276.144
CNFN	66.7408	CNFN	39.514
CNGA1	11.6796	CNGA1	127.1716
CNGA2	12.792	removed	removed
CNGA3	20.0222	removed	removed
removed	removed	CNGB1	5.4502
CNIH2	22.8031	CNIH2	7.2669
CNIH3	170.7453	CNIH3	88.1117
CNIH4	1293.6596	CNIH4	519.5867
CNIH	1334.2603	CNIH	1050.528
CNKSR1	707.4527	CNKSR1	627.2283
removed	removed	CNKSR2	21.3467
CNKSR3	88.4316	CNKSR3	292.4946
CNN1	607.8977	CNN1	3631.6566
CNN2	5239.1546	CNN2	3796.5255
CNN3	5392.6585	CNN3	5977.0637
removed	removed	CNNM1	46.3268
CNNM2	142.9366	CNNM2	173.9525
CNNM3	1086.2069	CNNM3	919.2688
CNNM4	1302.0022	CNNM4	1071.8746
CNOT10	454.9499	CNOT10	528.6704
CNOT1	2423.5039	CNOT1	4432.4605
CNOT2	1334.8165	CNOT2	1409.3335
CNOT3	1119.0211	CNOT3	998.751
CNOT4	457.7308	CNOT4	524.5827
CNOT6L	1218.02	CNOT6L	1724.0831
CNOT6	1122.3582	CNOT6	1090.9504
CNOT7	1472.7475	CNOT7	1565.1187
CNOT8	1359.2881	CNOT8	1213.5801
CNO	295.3281	CNO	224.8212
CNPY2	1106.7853	CNPY2	773.0215
CNPY3	1349.277	CNPY3	1028.7271
CNPY4	610.6785	CNPY4	281.14
CNP	2053.3815	CNP	2791.4068
removed	removed	CNR1	99.4663
CNRIP1	312.0133	CNRIP1	219.371
CNST	969.9666	CNST	710.7982
CNTD1	28.3537	CNTD1	112.8466
CNTD2	9.4549	removed	removed
CNTFR	32.2581	CNTFR	68.5818
CNTF	8.8598	CNTF	12.7172
CNTLN	150.723	CNTLN	215.2833
CNTN1	305.3393	CNTN1	347.4509
removed	removed	CNTN2	16.8048
CNTN3	142.3804	CNTN3	99.9205
CNTN4	231.3682	CNTN4	458.726
CNTNAP1	441.6018	CNTNAP1	167.594
CNTNAP2	552.8365	CNTNAP2	359.7139
CNTNAP3	16.129	CNTNAP3	389.2358
CNTROB	673.5261	CNTROB	888.3842
COASY	1858.7319	COASY	2071.9882
COBLL1	1211.3459	COBLL1	1032.8148
COBL	521.6908	COBL	1581.9235
COBRA1	1423.8042	COBRA1	1305.7795
removed	removed	COCH	9.9921
COG1	935.0167	COG1	946.2337
COG2	1231.9244	COG2	677.1886
COG3	770.8565	COG3	1108.6636
COG4	780.8676	COG4	1042.3527
COG5	990.0056	COG5	983.2769
COG6	612.3471	COG6	653.571
COG7	990.5451	COG7	642.2164
COG8	355.9455	COG8	440.0908
COIL	579.5328	COIL	483.7061
COL10A1	16372.0801	COL10A1	24.0718
COL11A1	27849.277	COL11A1	7.7211
COL11A2	6.1179	COL11A2	24.0718
COL12A1	45006.1179	COL12A1	3308.7317
COL13A1	57.842	COL13A1	20.4383
COL14A1	1988.3204	COL14A1	9248.5523
COL15A1	5011.6796	COL15A1	2477.5747
COL16A1	3496.663	COL16A1	2361.3035
COL17A1	22.8031	COL17A1	5900.7608
COL18A1	10323.693	COL18A1	5163.6198
COL1A1	448271.4127	COL1A1	79881.9121
COL1A2	317197.4416	COL1A2	57013.2849
COL21A1	37.8198	COL21A1	55.4105
COL22A1	98.9989	COL22A1	37.6973
COL23A1	12.2358	COL23A1	91.291
COL24A1	70.634	COL24A1	23.1634
removed	removed	COL25A1	25.4343
COL27A1	276.4182	COL27A1	583.6267
COL28A1	9.4549	COL28A1	47.6893
removed	removed	COL2A1	86.295
COL3A1	195258.6207	COL3A1	57603.2701
COL4A1	30995.5506	COL4A1	3817.8721
COL4A2	26771.4127	COL4A2	6106.9604
COL4A3BP	817.5751	COL4A3BP	1274.895
COL4A3	5.0056	COL4A3	56.3188
COL4A4	53.3927	COL4A4	202.112
COL4A5	1230.2558	COL4A5	1194.5044
COL4A6	57.2859	COL4A6	496.8775
COL5A1	30385.9844	COL5A1	4246.1678
COL5A2	29384.3159	COL5A2	4419.6662
COL5A3	3373.7486	COL5A3	417.8494
COL6A1	46652.9477	COL6A1	10938.5716
COL6A2	39771.9689	COL6A2	15364.5963
COL6A3	67890.4338	COL6A3	21276.2575
COL6A4P2	5.5617	COL6A4P2	18.1674
COL6A6	31.7019	COL6A6	1197.2295
COL7A1	548.9433	COL7A1	975.1334
COL8A1	3285.8732	COL8A1	140.7971
COL8A2	6637.3749	COL8A2	1183.1498
COL9A2	100.6674	COL9A2	425.5706
COL9A3	8.3426	COL9A3	103.554
COLEC10	12.2358	removed	removed
COLEC11	5.0056	COLEC11	6.8128
COLEC12	1431.5907	COLEC12	587.2601
COLQ	35.5951	COLQ	73.1237
COMMD10	438.8209	COMMD10	334.7337
COMMD1	268.0756	COMMD1	235.2674
COMMD2	706.8966	COMMD2	741.2286
COMMD3	1031.3571	COMMD3	577.3317
COMMD4	761.4016	COMMD4	616.7821
COMMD5	730.2225	COMMD5	432.0382
COMMD6	1421.0234	COMMD6	915.6353
COMMD7	1416.0178	COMMD7	1130.9186
