gene_id	TCGA-BH-A0H7-01A-13R-A056-07	gene_id	TCGA-BH-A0H7-11A-13R-A089-07
removed	removed	?|100133144	7.5406
?|10357	108.3388	?|10357	96.6744
?|10431	1141.497	?|10431	948.9559
?|155060	168.4176	?|155060	177.8809
?|390284	6.2377	?|390284	7.3473
?|57714	725.5417	?|57714	282.2892
removed	removed	?|652919	39.2885
?|653553	1499.0151	?|653553	461.3302
removed	removed	?|729884	13.9211
?|8225	336.8352	?|8225	489.1725
?|90288	14.1169	?|90288	13.5344
A1BG	237.6855	A1BG	114.7641
A2LD1	66.891	A2LD1	93.867
A2ML1	16.7433	A2ML1	24.3619
A2M	8543.3027	A2M	20987.5097
A4GALT	406.763	A4GALT	430.7811
AAAS	779.0545	AAAS	728.925
AACS	2795.1412	AACS	2159.3194
removed	removed	AADAC	6.1872
AADAT	82.0749	AADAT	89.7138
AAGAB	1543.6638	AAGAB	1322.8925
AAK1	655.2856	AAK1	644.6249
AAMP	3838.1484	AAMP	3141.5313
AARS2	317.4491	AARS2	488.7858
AARSD1	618.5161	AARSD1	525.522
AARS	5907.0913	AARS	3496.133
AASDHPPT	1216.021	AASDHPPT	765.6613
AASDH	288.2469	AASDH	372.7765
AASS	43.0072	AASS	358.082
AATF	2032.1733	AATF	1385.5375
AATK	8.8641	AATK	35.5762
ABAT	352.2653	ABAT	768.7548
removed	removed	ABCA10	112.529
ABCA11P	18.237	ABCA11P	94.9111
ABCA12	5234.4058	ABCA12	4544.0835
removed	removed	ABCA13	35.9629
ABCA17P	11.1622	ABCA17P	10.4408
ABCA1	928.0959	ABCA1	506.5081
ABCA2	3133.6179	ABCA2	1670.9203
ABCA3	1581.4183	ABCA3	1400.6187
ABCA4	445.8306	ABCA4	108.2753
ABCA5	211.7531	ABCA5	593.5808
ABCA6	48.5883	ABCA6	343.7742
ABCA7	217.0059	ABCA7	240.5259
ABCA8	45.6336	ABCA8	773.3952
ABCA9	29.8752	ABCA9	575.0193
ABCB10	483.9133	ABCB10	358.082
ABCB1	47.9317	ABCB1	318.6388
ABCB4	41.0374	ABCB4	30.1624
removed	removed	ABCB5	103.635
ABCB6	882.413	ABCB6	568.5383
ABCB7	355.22	ABCB7	563.4184
ABCB8	816.4806	ABCB8	508.894
ABCB9	699.4288	ABCB9	617.9737
ABCC10	314.5108	ABCC10	344.9343
ABCC11	23.3093	ABCC11	345.7077
ABCC13	77.807	removed	removed
ABCC1	873.6047	ABCC1	772.2351
ABCC3	106.369	ABCC3	312.8384
ABCC4	191.3986	ABCC4	93.9675
ABCC5	5151.0177	ABCC5	2104.4084
removed	removed	ABCC6P2	27.0688
removed	removed	ABCC6	42.9234
ABCC8	49.9015	ABCC8	29.389
ABCC9	227.5115	ABCC9	198.7626
ABCD1	770.5187	ABCD1	447.0224
ABCD2	10.8339	ABCD2	43.6968
ABCD3	2928.1024	ABCD3	1912.993
ABCD4	382.4688	ABCD4	527.8422
ABCE1	1029.5469	ABCE1	1248.6466
ABCF1	2150.3611	ABCF1	1988.0124
ABCF2	1291.2016	ABCF2	1160.8662
ABCF3	1382.1405	ABCF3	1197.9892
ABCG1	970.4531	ABCG1	816.3186
ABCG2	73.5391	ABCG2	312.4517
ABHD10	1000	ABHD10	800.0773
ABHD11	2573.5391	ABHD11	1253.2869
ABHD12	2487.5246	ABHD12	1545.2436
ABHD13	422.8496	ABHD13	398.2985
ABHD14A	68.2863	ABHD14A	229.6984
ABHD14B	1308.9297	ABHD14B	2733.5654
ABHD15	446.8155	ABHD15	442.7688
ABHD1	5.5811	ABHD1	17.0147
ABHD2	4413.329	ABHD2	3121.8097
ABHD3	188.1156	ABHD3	237.0456
ABHD4	1551.8713	ABHD4	1072.3125
ABHD5	436.6382	ABHD5	742.8461
ABHD6	164.8063	ABHD6	206.1098
ABHD8	127.3802	ABHD8	245.9397
ABI1	1750.6796	ABI1	1403.9869
ABI2	1331.9107	ABI2	1327.9196
ABI3BP	160.2101	ABI3BP	588.1671
ABI3	111.2935	ABI3	96.6744
ABL1	2345.0427	ABL1	1991.106
ABL2	1019.698	ABL2	579.6597
ABLIM1	1298.7525	ABLIM1	3441.6087
ABLIM2	118.1878	ABLIM2	116.396
ABLIM3	61.392	ABLIM3	737.819
removed	removed	ABO	7.734
ABP1	9.1924	ABP1	9.6674
ABR	1504.5962	ABR	1635.7309
ABT1	783.6507	ABT1	810.9049
ABTB1	339.4616	ABTB1	505.4138
ABTB2	214.0512	ABTB2	304.7177
ACAA1	672.6855	ACAA1	1242.8461
ACAA2	611.2935	ACAA2	1258.314
ACACA	1991.7925	ACACA	1821.7324
ACACB	69.2712	ACACB	1759.4741
ACAD10	1182.8628	ACAD10	734.3387
ACAD11	167.1044	ACAD11	323.6659
ACAD8	493.7623	ACAD8	650.0387
ACAD9	1064.2121	ACAD9	912.2196
removed	removed	ACADL	49.4973
ACADM	987.1963	ACADM	1086.6203
ACADSB	3366.7104	ACADSB	3439.2885
ACADS	74.524	ACADS	555.2978
ACADVL	2788.2305	ACADVL	4259.7796
ACAN	71.8976	ACAN	5.8005
ACAP1	49.2449	ACAP1	50.6574
ACAP2	1628.6934	ACAP2	1104.4084
ACAP3	527.9317	ACAP3	450.5259
ACAT1	876.8877	ACAT1	1254.0603
ACAT2	435.8273	ACAT2	512.2699
ACBD3	2037.7544	ACBD3	1254.0603
ACBD4	241.9567	ACBD4	388.6311
ACBD5	1065.3316	ACBD5	909.1261
ACBD6	620.1576	ACBD6	602.0882
ACBD7	25.6074	ACBD7	32.0959
removed	removed	ACCN1	6.1872
ACCN2	113.5916	ACCN2	274.1686
ACCN3	8.2075	ACCN3	6.5739
ACCS	157.2554	ACCS	299.6906
ACD	368.6802	ACD	396.365
removed	removed	ACE2	12.3743
ACER2	127.7085	ACER2	106.7285
ACER3	218.6474	ACER3	247.0998
ACE	352.9219	ACE	433.488
ACHE	6.8943	ACHE	20.495
ACIN1	2324.0315	ACIN1	3115.6226
ACLY	5397.5706	ACLY	3541.7633
ACN9	24.2942	ACN9	124.9033
ACO1	1295.4695	ACO1	1415.3132
ACO2	2481.3263	ACO2	2784.1647
ACOT11	84.7012	ACOT11	87.0495
ACOT13	720.6369	ACOT13	595.0503
ACOT1	756.0735	ACOT1	662.0263
ACOT2	568.6146	ACOT2	549.4973
ACOT4	391.0046	ACOT4	182.5213
ACOT7	743.2699	ACOT7	480.2784
ACOT8	448.9757	ACOT8	241.6203
ACOT9	336.8352	ACOT9	281.9026
ACOX1	1303.3487	ACOX1	1327.266
ACOX2	734.0775	ACOX2	261.7943
ACOX3	1228.8247	ACOX3	890.9513
ACOXL	8.5358	removed	removed
ACP1	1233.4209	ACP1	1486.0789
ACP2	1553.5128	ACP2	1403.3256
ACP5	3195.6664	ACP5	1933.8747
ACP6	180.5647	ACP6	258.7007
ACPL2	436.6382	ACPL2	455.5298
ACPP	79.1202	ACPP	75.0193
ACRBP	13.132	ACRBP	9.2807
removed	removed	ACRC	12.3743
ACR	21.0112	ACR	15.4679
removed	removed	ACSBG1	15.4679
ACSF2	234.7341	ACSF2	871.6164
ACSF3	659.8818	ACSF3	585.8469
ACSL1	2427.1175	ACSL1	5781.1292
ACSL3	1920.8798	ACSL3	3295.437
ACSL4	915.6271	ACSL4	829.4664
ACSL5	162.8365	ACSL5	574.2459
ACSL6	143.4668	ACSL6	6.1872
ACSM1	7.5509	ACSM1	43.6968
ACSM3	25.4366	ACSM3	137.4633
ACSM5	23.6376	ACSM5	84.6868
ACSS1	4070.2561	ACSS1	3349.1879
ACSS2	1160.2101	ACSS2	2158.1593
ACSS3	653.6441	ACSS3	380.1237
ACTA1	91.9238	ACTA1	23.2019
ACTA2	8110.9783	ACTA2	28072.7378
ACTB	120351.2804	ACTB	71150.8121
ACTG1	73732.1077	ACTG1	52143.4648
ACTG2	327.9711	ACTG2	4997.6798
ACTL6A	1494.0906	ACTL6A	1017.4014
ACTN1	6685.1609	ACTN1	7573.0858
ACTN4	15300.9783	ACTN4	14489.5166
ACTR10	997.0453	ACTR10	984.1454
ACTR1A	3314.5108	ACTR1A	2249.8067
ACTR1B	1537.7544	ACTR1B	1604.7951
ACTR2	5519.698	ACTR2	3427.6875
ACTR3B	145.4366	ACTR3B	297.7572
ACTR3C	107.0256	ACTR3C	72.6991
ACTR3	4663.4931	ACTR3	2263.7278
ACTR5	438.2797	ACTR5	279.1957
ACTR6	797.111	ACTR6	598.9946
ACTR8	394.2876	ACTR8	488.0124
ACVR1B	1673.6704	ACVR1B	1538.6698
ACVR1C	8.2075	ACVR1C	290.4099
ACVR1	1000.6566	ACVR1	843.7742
ACVR2A	357.1898	ACVR2A	520.8817
ACVR2B	210.4399	ACVR2B	284.9961
ACVRL1	443.8608	ACVRL1	721.191
ACY1	575.5089	ACY1	717.3241
removed	removed	ACY3	25.1353
ACYP1	39.7242	ACYP1	32.4826
ACYP2	34.4714	ACYP2	152.3589
ADAL	137.8858	ADAL	201.4695
ADAM10	1612.2784	ADAM10	1330.2398
ADAM11	13.4603	ADAM11	9.6674
ADAM12	6264.281	ADAM12	349.1879
ADAM15	3425.476	ADAM15	2960.9513
ADAM17	516.415	ADAM17	519.7216
ADAM19	722.2587	ADAM19	67.2854
ADAM22	40.0525	ADAM22	22.4285
ADAM23	61.0637	ADAM23	30.5491
ADAM28	23.6376	ADAM28	31.3225
ADAM29	79.7768	ADAM29	32.8693
removed	removed	ADAM32	30.5491
ADAM33	126.7236	ADAM33	306.5275
ADAM6	4010.1576	ADAM6	31801.8832
ADAM8	231.1228	ADAM8	65.7386
ADAM9	3316.4806	ADAM9	1466.744
ADAMDEC1	26.5923	ADAMDEC1	6.5739
ADAMTS10	56.1392	ADAMTS10	43.6968
ADAMTS12	854.8917	ADAMTS12	78.8863
ADAMTS13	31.5167	ADAMTS13	46.7904
ADAMTS14	628.0368	ADAMTS14	8.894
ADAMTS15	24.6225	ADAMTS15	187.1616
ADAMTS16	122.1274	ADAMTS16	10.8275
ADAMTS17	59.4222	ADAMTS17	60.7115
ADAMTS18	10.5056	ADAMTS18	37.8964
