gene_id	TCGA-BH-A209-01A-11R-A157-07	gene_id	TCGA-BH-A209-11A-42R-A157-07
removed	removed	?|100134869	7.4856
?|10357	405.5253	?|10357	108.0784
?|10431	1251.5537	?|10431	743.083
?|155060	184.3741	?|155060	139.5561
?|390284	7.3986	?|390284	6.689
?|57714	1447.7656	?|57714	1087.5646
?|645851	7.1027	?|645851	6.689
removed	removed	?|652919	6.2724
?|653553	197.3957	?|653553	165.3998
?|8225	259.8402	?|8225	243.8431
?|90288	16.573	?|90288	16.1143
A1BG	31.3969	A1BG	32.7486
A2LD1	62.7405	A2LD1	107.9599
A2ML1	15.6851	A2ML1	7.9051
A2M	11216.3184	A2M	54850.0395
A4GALT	92.335	A4GALT	278.5041
AAAS	775.9692	AAAS	525.6917
AACS	1131.6958	AACS	784.1289
removed	removed	AADACL3	6.0809
AADAT	37.881	AADAT	70.5382
AAGAB	1572.0627	AAGAB	1093.9495
AAK1	932.8204	AAK1	1410.4591
AAMP	3817.1057	AAMP	1286.4092
AARS2	937.4904	AARS2	285.491
AARSD1	529.1506	AARSD1	378.8386
AARS	2391.24	AARS	2849.1943
AASDHPPT	1171.6484	AASDHPPT	959.5622
AASDH	241.4916	AASDH	391.9124
AASS	108.0201	AASS	638.796
AATF	1062.7405	AATF	749.4679
AATK	9.4703	AATK	25.5397
ABAT	217.8159	ABAT	523.2593
removed	removed	ABCA10	509.8814
ABCA11P	124.2439	ABCA11P	118.3278
ABCA12	46.7594	removed	removed
removed	removed	ABCA13	20.979
ABCA17P	22.7878	removed	removed
ABCA1	828.0408	ABCA1	2695.3025
ABCA2	338.2658	ABCA2	1034.3569
ABCA3	1258.9524	ABCA3	714.8069
ABCA4	35.8094	ABCA4	35.2691
ABCA5	128.1444	ABCA5	916.996
ABCA6	64.5161	ABCA6	906.6586
ABCA7	158.0349	ABCA7	181.2101
ABCA8	90.2634	ABCA8	3290.6659
ABCA9	29.2986	ABCA9	1110.976
ABCB10	771.53	ABCB10	463.6668
removed	removed	ABCB11	9.4254
ABCB1	162.4741	ABCB1	432.6543
ABCB4	44.3918	ABCB4	25.5397
removed	removed	ABCB5	29.7963
ABCB6	555.8538	ABCB6	415.0654
ABCB7	397.1589	ABCB7	420.1885
ABCB8	489.198	ABCB8	236.242
ABCB9	45.2205	ABCB9	110.5108
ABCC10	778.3368	ABCC10	305.868
ABCC11	18.6446	ABCC11	228.945
ABCC1	1006.8067	ABCC1	957.4339
ABCC2	15.6851	ABCC2	37.3974
ABCC3	141.462	ABCC3	388.2639
ABCC4	189.1092	ABCC4	196.1082
ABCC5	890.5001	ABCC5	790.8179
removed	removed	ABCC6P1	14.2901
ABCC6P2	6.8067	ABCC6P2	18.5467
ABCC6	26.931	ABCC6	174.5211
ABCC8	28.4108	ABCC8	88.4767
ABCC9	133.7674	ABCC9	1465.187
ABCD1	398.6387	ABCD1	230.4652
ABCD2	63.6283	ABCD2	257.5251
ABCD3	2712.9328	ABCD3	1483.4296
ABCD4	356.0225	ABCD4	657.3427
ABCE1	2720.3315	ABCE1	1912.7394
ABCF1	1577.3898	ABCF1	1370.6294
ABCF2	1827.1678	ABCF2	1188.2031
ABCF3	1533.8858	ABCF3	721.7999
ABCG1	751.7017	ABCG1	394.9529
ABCG2	26.3392	ABCG2	319.8541
ABCG5	5.623	removed	removed
ABCG8	5.327	removed	removed
ABHD10	616.7505	ABHD10	636.9717
ABHD11	1241.4916	ABHD11	332.0158
ABHD12B	35.2175	removed	removed
ABHD12	1294.7618	ABHD12	629.3706
ABHD13	359.8698	ABHD13	639.4041
ABHD14A	121.6336	ABHD14A	205.5336
ABHD14B	1277.8929	ABHD14B	2114.3205
ABHD15	290.3226	ABHD15	372.1496
ABHD1	36.6972	ABHD1	22.8033
ABHD2	2455.4602	ABHD2	3096.0778
ABHD3	494.2291	ABHD3	330.7996
ABHD4	835.1583	ABHD4	896.3211
ABHD5	905.0015	ABHD5	1557.0082
ABHD6	188.8133	ABHD6	331.4077
ABHD8	154.4836	ABHD8	152.0219
ABI1	2125.842	ABI1	1719.0635
ABI2	1522.6398	ABI2	1910.3071
ABI3BP	886.3569	ABI3BP	2428.7017
ABI3	287.0672	ABI3	232.5935
ABL1	1207.7538	ABL1	2229.249
ABL2	1322.2847	ABL2	1151.7178
ABLIM1	2866.5286	ABLIM1	8075.0988
ABLIM2	63.3323	ABLIM2	72.6665
ABLIM3	131.9917	ABLIM3	2516.2663
ABO	195.62	ABO	49.2551
ABP1	21.9	ABP1	5.1687
ABR	1631.8437	ABR	1910.3071
ABT1	575.0222	ABT1	449.9848
ABTB1	275.8212	ABTB1	417.1481
ABTB2	60.0769	ABTB2	73.2746
ACAA1	914.4717	ACAA1	782.9127
ACAA2	746.3747	ACAA2	2175.1292
ACACA	1753.4774	ACACA	2557.0082
ACACB	329.3874	ACACB	4269.0787
ACAD10	347.4401	ACAD10	406.2025
ACAD11	220.4794	ACAD11	604.4299
ACAD8	594.5546	ACAD8	579.5074
ACAD9	928.0852	ACAD9	778.9571
removed	removed	ACADL	128.3065
ACADM	946.7298	ACADM	1280.3284
ACADSB	1251.5537	ACADSB	2339.0088
ACADS	147.3809	ACADS	422.6209
ACADVL	2249.4791	ACADVL	4581.6266
ACAN	51.4945	ACAN	36.4853
ACAP1	467.298	ACAP1	122.5296
ACAP2	1084.9364	ACAP2	1800.8513
ACAP3	229.3904	ACAP3	271.2344
ACAT1	1911.5123	ACAT1	1706.9018
ACAT2	875.3862	ACAT2	298.5132
ACBD3	1895.2353	ACBD3	1391.3043
ACBD4	106.5404	ACBD4	172.0888
ACBD5	1148.8606	ACBD5	762.8458
ACBD6	590.4114	ACBD6	298.875
ACBD7	150.3403	ACBD7	35.5731
removed	removed	ACCN1	6.689
ACCN2	22.4919	ACCN2	169.3524
ACCN3	25.7473	removed	removed
ACCS	165.1376	ACCS	297.9629
ACD	216.3362	ACD	259.0453
removed	removed	ACE2	26.1478
ACER2	40.8405	ACER2	274.2475
ACER3	288.5469	ACER3	516.8744
ACE	340.0414	ACE	574.0347
ACHE	22.7878	ACHE	19.7628
ACIN1	3356.3184	ACIN1	2458.194
ACLY	3201.5389	ACLY	2951.9611
ACN9	159.5146	ACN9	123.7458
ACO1	494.525	ACO1	3017.6345
ACO2	1873.7023	ACO2	2125.0775
ACOT11	47.0553	ACOT11	24.1472
ACOT13	368.6002	ACOT13	626.4427
ACOT1	420.5386	ACOT1	769.5348
ACOT2	212.193	ACOT2	378.8386
ACOT4	175.1998	ACOT4	110.0638
ACOT6	10.95	removed	removed
ACOT7	763.8355	ACOT7	236.5461
ACOT8	169.7573	ACOT8	180.7692
ACOT9	534.4777	ACOT9	581.6358
ACOX1	1570.2871	ACOX1	2395.865
ACOX2	465.2264	ACOX2	235.6339
ACOX3	322.2847	ACOX3	564.0012
ACOXL	11.5419	removed	removed
ACP1	2867.1204	ACP1	1232.2894
ACP2	1226.9902	ACP2	860.7479
ACP5	2823.6165	ACP5	821.5263
ACP6	198.2835	ACP6	137.4278
ACPL2	608.1681	ACPL2	456.6738
ACPP	40.2486	ACPP	32.5327
ACRBP	38.177	ACRBP	14.5941
ACRC	18.6446	ACRC	36.1812
removed	removed	ACR	9.1213
removed	removed	ACSBG1	16.7224
ACSF2	864.161	ACSF2	507.4491
