gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
CISH	1257.122	CISH	695.9511
CITED1	94.5946	CITED1	305.1948
CITED2	2449.233	CITED2	2676.0886
CITED4	1470.4164	CITED4	1772.7273
CIT	88.3857	CIT	91.673
CIZ1	1515.7049	CIZ1	2329.259
CKAP2L	27.027	CKAP2L	15.2788
CKAP2	395.5442	CKAP2	346.8296
CKAP4	3413.4405	CKAP4	1844.1558
CKAP5	2879.4741	CKAP5	2031.3216
CKB	580.7159	CKB	383.8808
CKLF	143.5354	CKLF	234.9121
CKMT1A	216.5814	CKMT1A	84.0336
CKMT1B	268.8093	CKMT1B	382.3529
CKMT2	46.019	CKMT2	95.8747
CKS1B	608.8386	CKS1B	621.0848
CKS2	240.6866	CKS2	92.437
CLASP1	1188.0935	CLASP1	1849.1215
CLASP2	1279.401	CLASP2	1815.508
CLCA2	1234.1125	CLCA2	891.5202
CLCA4	6.5741	CLCA4	67.2269
CLCC1	1041.9138	CLCC1	894.1711
CLCF1	134.4047	CLCF1	55.0038
CLCN1	7.3046	CLCN1	9.9312
CLCN2	132.5785	CLCN2	71.8105
CLCN3	1943.3893	CLCN3	2220.3972
CLCN4	65.3762	CLCN4	150.8785
CLCN5	75.9679	CLCN5	132.9259
CLCN6	386.4134	CLCN6	765.0879
CLCN7	1827.9766	CLCN7	1125.2865
CLCNKA	13.1483	CLCNKA	8.0214
CLCNKB	5.8437	CLCNKB	12.2231
removed	removed	CLDN10	25.6837
CLDN11	617.9693	CLDN11	1239.8778
CLDN12	1958.3638	CLDN12	1310.1604
CLDN15	105.5515	CLDN15	87.8533
CLDN19	119.4302	CLDN19	338.0443
CLDN1	475.5296	CLDN1	810.1604
CLDN23	82.9072	CLDN23	128.7242
CLDN25	8.7655	removed	removed
CLDN3	505.1132	CLDN3	668.4492
CLDN4	5548.2104	CLDN4	4531.3216
CLDN5	219.1381	CLDN5	693.2773
CLDN7	1803.5062	CLDN7	851.0313
CLDN8	315.1936	CLDN8	1774.6371
CLDN9	5.4785	removed	removed
CLDND1	871.439	CLDND1	1125.2865
removed	removed	CLDND2	5.7296
CLEC10A	29.5836	CLEC10A	36.2872
CLEC11A	178.9627	CLEC11A	116.1192
CLEC14A	496.7129	CLEC14A	578.304
CLEC16A	1018.6267	CLEC16A	822.0015
CLEC17A	14.9744	removed	removed
CLEC1A	45.6538	CLEC1A	88.9992
CLEC2B	101.1687	CLEC2B	193.2773
CLEC2D	379.8393	CLEC2D	525.2101
CLEC3A	27992.6954	CLEC3A	6.8755
CLEC3B	131.1176	CLEC3B	811.6883
CLEC4A	32.1402	CLEC4A	33.9954
CLEC4F	5.1132	CLEC4F	21.0084
removed	removed	CLEC4G	19.0985
CLEC5A	69.3937	CLEC5A	15.2788
CLEC7A	62.8196	CLEC7A	112.2995
CLECL1	10.5917	CLECL1	11.4591
CLGN	739.5909	CLGN	50.4202
CLIC1	4736.6691	CLIC1	3370.5118
CLIC2	236.6691	CLIC2	457.6012
CLIC3	14.244	CLIC3	23.3002
CLIC4	3274.653	CLIC4	5314.3621
CLIC5	143.5354	CLIC5	419.4041
CLIC6	364.4996	CLIC6	465.2406
CLINT1	1917.8232	CLINT1	1690.9855
CLIP1	1523.3747	CLIP1	1979.3736
CLIP2	253.8349	CLIP2	475.1719
CLIP3	443.0241	CLIP3	829.6409
CLIP4	388.6048	CLIP4	1269.2895
CLK1	2174.9452	CLK1	2410.2368
CLK2P	15.3397	CLK2P	13.751
CLK2	1040.5405	CLK2	637.1276
CLK3	781.9576	CLK3	833.8426
CLK4	493.7911	CLK4	758.9763
CLMN	2076.3331	CLMN	2161.5737
CLN3	1824.3243	CLN3	933.919
CLN5	856.8298	CLN5	717.3415
CLN6	686.2673	CLN6	694.8052
CLN8	270.2703	CLN8	457.2193
CLNS1A	1777.5749	CLNS1A	1390.3743
CLOCK	394.0833	CLOCK	413.2926
CLP1	354.6384	CLP1	322.7655
CLPB	290.3579	CLPB	217.7235
CLPP	576.3331	CLPP	413.6746
CLPTM1L	1685.1717	CLPTM1L	1679.9083
CLPTM1	2975.1644	CLPTM1	2194.4232
CLPX	803.141	CLPX	1035.5233
CLSPN	21.9138	CLSPN	7.6394
CLSTN1	5195.0329	CLSTN1	7358.2888
CLSTN2	575.6026	CLSTN2	341.1001
CLSTN3	797.2973	CLSTN3	1419.4041
CLTA	1371.0738	CLTA	1833.4607
CLTB	478.8167	CLTB	612.6814
CLTCL1	45.2885	CLTCL1	126.4324
CLTC	12887.8744	CLTC	8402.9794
CLUAP1	557.9401	CLUAP1	532.8495
CLUL1	110.2995	CLUL1	114.5913
CLU	15134.4047	CLU	18370.8938
CLVS1	5.0183	CLVS1	5.1604
CLYBL	122.7173	CLYBL	121.0848
removed	removed	CMA1	5.3476
CMAH	178.5975	CMAH	193.6593
CMAS	787.0709	CMAS	834.9885
CMBL	1891.5267	CMBL	759.7403
CMC1	119.7955	CMC1	116.8831
CMIP	979.5471	CMIP	1218.4874
CMKLR1	141.344	CMKLR1	201.2987
CMPK1	3719.5033	CMPK1	4794.8816
CMPK2	85.0986	CMPK2	103.5141
CMTM1	62.4543	CMTM1	95.1108
CMTM3	753.8349	CMTM3	1046.9824
CMTM4	1374.7261	CMTM4	2000.7639
CMTM5	7.3046	CMTM5	21.7723
CMTM6	6314.0979	CMTM6	3758.2124
CMTM7	581.4463	CMTM7	1722.6891
CMTM8	284.149	CMTM8	277.6929
CMYA5	1233.7473	CMYA5	1399.5416
CN5H6.4	5.4785	CN5H6.4	8.4034
CNBP	6563.1848	CNBP	9563.7892
CNDP2	3459.4595	CNDP2	2674.9427
CNFN	56.6107	CNFN	50.8021
CNGA1	13.5135	CNGA1	51.1841
removed	removed	CNGA4	6.1115
CNIH2	12.0526	CNIH2	8.4034
CNIH3	91.3075	CNIH3	42.0168
CNIH4	879.1088	CNIH4	610.3896
CNIH	2381.3002	CNIH	1000
CNKSR1	671.6581	CNKSR1	417.4943
removed	removed	CNKSR2	23.3002
CNKSR3	76.6983	CNKSR3	253.2468
CNN1	643.1702	CNN1	3145.5309
CNN2	2356.8298	CNN2	3608.0978
CNN3	3715.1205	CNN3	3932.7731
CNNM1	10.9569	CNNM1	116.5011
CNNM2	172.3886	CNNM2	177.2345
CNNM3	927.6844	CNNM3	996.5623
CNNM4	923.3017	CNNM4	931.6272
CNOT10	742.878	CNOT10	569.5187
CNOT1	3342.6991	CNOT1	5735.0802
CNOT2	1632.5785	CNOT2	1613.8273
CNOT3	1378.7436	CNOT3	906.4171
CNOT4	671.6581	CNOT4	606.5699
CNOT6L	1287.0709	CNOT6L	2049.2743
CNOT6	1622.3521	CNOT6	1157.372
CNOT7	1871.439	CNOT7	2051.5661
CNOT8	1318.4806	CNOT8	1646.6769
CNO	254.9306	CNO	264.7059
CNPY2	975.1644	CNPY2	976.6998
CNPY3	1025.2009	CNPY3	757.8304
CNPY4	242.878	CNPY4	234.1482
CNP	1689.3608	CNP	1774.2017
CNR1	42.0015	CNR1	56.9137
CNR2	13.5135	removed	removed
CNRIP1	157.4142	CNRIP1	297.1734
CNST	1244.7042	CNST	726.1268
CNTD1	70.6611	CNTD1	66.3025
CNTD2	55.1497	CNTD2	8.0214
CNTFR	46.3842	CNTFR	276.165
CNTF	16.4354	CNTF	11.8411
CNTLN	98.9774	CNTLN	239.1138
CNTN1	164.3535	CNTN1	637.5095
CNTN2	21.1833	CNTN2	43.1627
CNTN3	95.3251	CNTN3	111.5355
CNTN4	102.6297	CNTN4	224.5989
removed	removed	CNTN6	8.4034
CNTNAP1	94.5946	CNTNAP1	125.6684
CNTNAP2	288.1665	CNTNAP2	11.0772
CNTNAP3	50.0365	CNTNAP3	224.217
CNTROB	748.7217	CNTROB	750.9549
COASY	1560.9934	COASY	1366.6921
COBLL1	1047.8451	COBLL1	1571.8105
COBL	2817.385	COBL	3546.2185
COBRA1	1266.2527	COBRA1	1237.9679
COCH	13.8897	COCH	8.4989
COG1	774.7626	COG1	1005.0153
COG2	1724.9817	COG2	743.3155
COG3	1016.8006	COG3	1116.5011
COG4	726.8079	COG4	1006.1115
COG5	1530.9313	COG5	1189.9121
COG6	558.4368	COG6	748.6631
COG7	1062.0891	COG7	647.4408
COG8	310.3652	COG8	427.8724
COIL	616.8736	COIL	618.029
COL10A1	1014.244	COL10A1	5.7296
COL11A1	78.1592	COL11A1	79.068
COL11A2	5.8437	COL11A2	22.9183
COL12A1	2934.989	COL12A1	3054.2399
COL13A1	23.3747	COL13A1	16.8067
COL14A1	2963.8422	COL14A1	2305.1948
COL15A1	1951.4244	COL15A1	3590.9091
COL16A1	1357.195	COL16A1	1503.8197
COL17A1	2836.3769	COL17A1	8607.3338
COL18A1	2406.8663	COL18A1	2341.864
COL1A1	61104.0906	COL1A1	4645.9129
COL1A2	41571.5851	COL1A2	8245.9893
COL21A1	74.5069	COL21A1	77.1581
COL23A1	37.2535	COL23A1	132.9259
COL24A1	33.9664	COL24A1	9.1673
COL25A1	8.4003	COL25A1	35.9053
COL27A1	122.3521	COL27A1	490.8327
COL28A1	28.1227	COL28A1	44.6906
COL2A1	11.3221	COL2A1	88.6173
COL3A1	47964.2075	COL3A1	7012.987
COL4A1	4823.9591	COL4A1	2904.5073
COL4A2	5560.9934	COL4A2	4700.5348
COL4A3BP	1331.2637	COL4A3BP	1305.5768
COL4A3	12.7831	COL4A3	42.7807
COL4A4	36.8882	COL4A4	108.4798
COL4A5	1015.3397	COL4A5	917.8762
COL4A6	184.4412	COL4A6	410.2368
COL5A1	4203.4332	COL5A1	903.7433
COL5A2	4611.0299	COL5A2	979.3736
COL5A3	218.0424	COL5A3	355.615
COL6A1	4981.008	COL6A1	4636.3636
COL6A2	5897.7356	COL6A2	5757.4484
COL6A3	10765.5223	COL6A3	5624.9045
removed	removed	COL6A4P2	5.3476
COL6A6	32.8707	COL6A6	426.2796
COL7A1	130.7524	COL7A1	727.2727
COL8A1	501.8262	COL8A1	89.3812
COL8A2	914.5362	COL8A2	1203.5905
removed	removed	COL9A1	6.4935
COL9A2	1116.5084	COL9A2	390.3743
COL9A3	13.1483	COL9A3	30.9396
COLEC11	8.4003	removed	removed
COLEC12	171.2929	COLEC12	777.3109
COLQ	82.3046	COLQ	39.343
COMMD10	552.5931	COMMD10	364.4003
COMMD1	271.7312	COMMD1	293.7357
COMMD2	670.1972	COMMD2	1111.5355
COMMD3	705.252	COMMD3	636.6539
COMMD4	771.0007	COMMD4	501.1459
COMMD5	383.3638	COMMD5	351.356
COMMD6	1368.5172	COMMD6	1912.1467
COMMD7	1060.9934	COMMD7	855.615
COMMD8	170.1972	COMMD8	203.9725
COMMD9	822.4982	COMMD9	795.6455
COMP	571.9503	removed	removed
COMTD1	77.794	COMTD1	42.3988
COMT	1055.1497	COMT	1632.5439
COPA	11220.1534	COPA	5365.3476
COPB1	6370.8218	COPB1	3279.6028
COPB2	4897.3703	COPB2	3080.5959
COPE	2012.1914	COPE	1122.9717
COPG2	1235.9386	COPG2	747.1352
COPG	4983.9299	COPG	2985.4851
COPS2	1902.4836	COPS2	2285.3323
COPS3	899.927	COPS3	931.2452
COPS4	848.7947	COPS4	912.9106
COPS5	854.6384	COPS5	791.4439
COPS6	1576.6983	COPS6	1224.217
COPS7A	1309.7151	COPS7A	1273.8732
COPS7B	678.9627	COPS7B	674.5607
COPS8	850.9679	COPS8	863.22
COPZ1	3871.439	COPZ1	3696.3331
COPZ2	153.7619	COPZ2	221.1612
COQ10A	86.9248	COQ10A	131.398
COQ10B	707.4507	COQ10B	582.8877
COQ2	99.3426	COQ2	139.8014
COQ3	86.1943	COQ3	164.2475
COQ4	865.5953	COQ4	699.3888
COQ5	570.8546	COQ5	556.9137
COQ6	480.2374	COQ6	325.5004
COQ7	612.8561	COQ7	528.2659
COQ9	470.0511	COQ9	654.3163
CORIN	42.3667	CORIN	11.0772
CORO1A	340.3944	CORO1A	475.9358
CORO1B	2404.6749	CORO1B	1136.3636
CORO1C	1065.011	CORO1C	2141.3293
CORO2A	2469.6859	CORO2A	506.1115
CORO2B	81.0811	CORO2B	262.4141
CORO6	21.5486	CORO6	19.4805
CORO7	572.0051	CORO7	377.5286
CORT	7.4288	removed	removed
COTL1	952.1549	COTL1	922.4599
COX10	280.4967	COX10	307.4866
COX11	779.9452	COX11	946.1345
COX15	1038.0972	COX15	1206.9481
COX16	765.8875	COX16	708.1742
COX17	386.0482	COX17	307.8686
COX18	336.0117	COX18	412.9106
COX19	334.9671	COX19	336.6539
COX4I1	2135.1351	COX4I1	4221.9251
COX4I2	19.7224	COX4I2	21.3904
COX4NB	272.0964	COX4NB	333.0787
COX5A	865.5953	COX5A	997.3262
COX5B	935.7195	COX5B	883.8808
COX6A1	1435.7195	COX6A1	1290.2979
COX6B1	2515.7049	COX6B1	1791.0619
COX6B2	8.0351	COX6B2	10.3132
COX6C	1185.9021	COX6C	1582.5057
COX7A1	119.065	COX7A1	275.4011
COX7A2L	1484.6603	COX7A2L	1527.1199
COX7A2	963.477	COX7A2	870.5118
COX7B	966.3988	COX7B	1046.2185
COX7C	2379.8393	COX7C	2670.3591
COX8A	1825.42	COX8A	1171.8869
CP110	851.7166	CP110	794.8816
removed	removed	CPA1	26.738
CPA3	194.6676	CPA3	44.3086
CPA4	28.4879	CPA4	75.6303
CPAMD8	118.6998	CPAMD8	967.5325
CPB1	430.6063	CPB1	4040.8709
CPD	4008.7655	CPD	3549.2743
CPEB1	14.6092	CPEB1	39.725
CPEB2	1067.2023	CPEB2	697.097
CPEB3	281.2272	CPEB3	382.3529
CPEB4	1131.8481	CPEB4	1355.233
CPE	1984.2951	CPE	3533.6134
CPLX1	136.9613	CPLX1	98.9305
CPM	258.5829	CPM	535.5233
CPNE1	1585.5844	CPNE1	1780.4049
CPNE2	276.4792	CPNE2	645.5309
CPNE3	2933.5281	CPNE3	3765.8518
removed	removed	CPNE4	10.3132
CPNE5	127.4653	CPNE5	136.3636
CPNE7	30.3141	CPNE7	38.5791
CPNE8	84.3682	CPNE8	205.8824
CPOX	295.4711	CPOX	339.5722
CPO	5.1132	removed	removed
CPPED1	1357.5603	CPPED1	442.7044
CPS1	95.3251	CPS1	181.8182
CPSF1	1195.0329	CPSF1	1376.2414
CPSF2	1175.6757	CPSF2	971.7341
CPSF3L	1416.3623	CPSF3L	1300.9931
CPSF3	768.0789	CPSF3	653.9343
CPSF4	418.1885	CPSF4	343.0099
CPSF6	1932.7977	CPSF6	2108.4798
CPSF7	2698.6852	CPSF7	2439.2666
CPT1A	4058.4368	CPT1A	2055.7678
CPT1B	414.4595	CPT1B	247.8457
CPT1C	39.0796	CPT1C	24.4461
CPT2	803.8714	CPT2	592.8189
CPVL	222.0599	CPVL	375.4775
CPXM1	474.0687	CPXM1	430.0993
CPXM2	496.7129	CPXM2	643.2391
CPZ	248.7217	CPZ	93.9649
CP	1166.2673	CP	416.207
CR1	32.8707	CR1	24.8281
CR2	331.2637	CR2	56.9137
CRABP1	112.4909	CRABP1	842.628
CRABP2	9580.3506	CRABP2	3142.4752
CRADD	163.9883	CRADD	192.8953
CRAMP1L	1011.0299	CRAMP1L	1131.8487
CRAT	1340.0292	CRAT	797.1734
CRB1	18.6267	CRB1	13.751
CRB2	9.1308	CRB2	74.8663
CRB3	328.7071	CRB3	137.5095
CRBN	829.7005	CRBN	1120.6303
CRCP	1286.3404	CRCP	912.1467
CREB1	1340.0292	CREB1	1592.055
CREB3L1	3062.4543	CREB3L1	141.3293
CREB3L2	5419.6494	CREB3L2	3931.2452
CREB3L4	2363.7692	CREB3L4	1024.2131
CREB3	1094.9562	CREB3	893.5371
CREB5	56.6107	CREB5	180.2903
CREBBP	3290.7232	CREBBP	4006.1115
CREBL2	1660.336	CREBL2	2600.0764
CREBZF	2302.7757	CREBZF	1704.3545
CREG1	2559.8977	CREG1	4367.838
CRELD1	617.6041	CRELD1	627.5783
CRELD2	722.7904	CRELD2	367.838
CREM	239.5909	CREM	288.7701
CRHBP	25.2009	CRHBP	53.094
CRHR1	13.5135	CRHR1	60.4813
CRIM1	6121.6216	CRIM1	7589.7632
CRIP1	3304.2367	CRIP1	635.9817
CRIP2	2702.7027	CRIP2	1655.8442
CRIP3	9.1308	CRIP3	5.3476
CRIPAK	370.7085	CRIPAK	328.877
CRIPT	304.9671	CRIPT	331.9328
CRISP3	12.0526	CRISP3	8.4034
CRISPLD1	716.5814	CRISPLD1	2392.6662
CRISPLD2	1273.1921	CRISPLD2	1362.4905
CRKL	2099.7078	CRKL	2385.0267
CRK	1084.0029	CRK	1061.4973
CRLF1	59.5325	CRLF1	35.5233
CRLF3	284.149	CRLF3	396.8678
CRLS1	707.4507	CRLS1	660.4278
CRMP1	75.2374	CRMP1	136.6043
CRNKL1	1079.2549	CRNKL1	1084.4156
CROCCL1	335.2885	CROCCL1	385.4431
CROCCL2	80.3506	CROCCL2	103.8961
CROCC	451.4244	CROCC	423.2238
CROT	1449.9635	CROT	669.2131
CRTAC1	55.8802	CRTAC1	570.9473
CRTAM	8.4003	CRTAM	17.1887
CRTAP	3488.6779	CRTAP	5954.9274
CRTC1	510.5917	CRTC1	576.0122
CRTC2	1326.1505	CRTC2	1008.7853
CRTC3	1565.011	CRTC3	1451.4897
CRY1	367.0562	CRY1	446.1421
CRY2	2211.103	CRY2	1901.0695
CRYAB	992.3302	CRYAB	4534.3774
removed	removed	CRYBB1	5.7296
CRYBG3	3080.84	CRYBG3	634.5264
CRYGS	11.6874	CRYGS	15.6608
CRYL1	439.3718	CRYL1	423.6058
CRYM	626.0044	CRYM	9.5493
CRYZL1	305.7378	CRYZL1	450.6379
CRYZ	978.3017	CRYZ	970.1031
CSAD	2388.2396	CSAD	654.3163
CSDAP1	40.9058	CSDAP1	57.6776
CSDA	1858.656	CSDA	3360.1986
CSDC2	39.4449	CSDC2	12.605
CSDE1	14484.6603	CSDE1	21541.2529
CSE1L	1998.5391	CSE1L	2378.5332
CSF1R	600.4383	CSF1R	761.6501
CSF1	556.2454	CSF1	1044.3086
CSF2RA	67.9328	CSF2RA	190.6035
CSF2RB	153.7619	CSF2RB	255.5386
CSF3R	503.2871	CSF3R	145.5309
CSGALNACT1	329.8028	CSGALNACT1	482.8113
CSGALNACT2	557.7064	CSGALNACT2	575.2483
CSK	742.878	CSK	864.0183
removed	removed	CSMD1	89.7632
CSMD2	5.8437	CSMD2	5.3476
CSN1S1	520.8181	CSN1S1	554.2399
CSN3	32.1402	CSN3	1029.7937
CSNK1A1	7304.2367	CSNK1A1	6095.1108
CSNK1D	3359.3864	CSNK1D	2849.1215
CSNK1E	2283.5939	CSNK1E	2647.5592
CSNK1G1	956.1724	CSNK1G1	816.272
CSNK1G2	1146.092	CSNK1G2	834.9885
CSNK1G3	840.0292	CSNK1G3	925.8976
CSNK2A1P	476.6253	CSNK2A1P	522.5363
CSNK2A1	1263.3309	CSNK2A1	1347.2116
CSNK2A2	325.0548	CSNK2A2	650.4966
CSNK2B	2171.7641	CSNK2B	2097.6012
CSPG4	353.1775	CSPG4	416.7303
CSPG5	12.0526	CSPG5	9.9312
CSPP1	340.2484	CSPP1	328.686
CSRNP1	911.9795	CSRNP1	2119.5569
CSRNP2	2315.924	CSRNP2	805.1948
CSRNP3	38.3492	CSRNP3	98.9305
CSRP1	7179.6932	CSRP1	22658.8999
CSRP2BP	711.8335	CSRP2BP	784.5684
CSRP2	109.2038	CSRP2	352.9412
CST1	15.7049	removed	removed
CST2	78.1592	removed	removed
CST3	5983.9299	CST3	3386.5546
CST4	6562.0891	removed	removed
CST5	42.3667	removed	removed
CST6	7.3046	CST6	15.6608
CST7	32.8707	CST7	48.1283
CST9	5.8437	CST9	53.8579
CSTA	42.3667	CSTA	141.3293
CSTB	1869.9781	CSTB	1372.0397
CSTF1	688.824	CSTF1	720.0153
CSTF2T	855.0037	CSTF2T	1120.3209
CSTF2	218.4076	CSTF2	227.2727
CSTF3	670.8692	CSTF3	515.6035
CS	3830.5332	CS	4236.44
CT62	67.5676	CT62	72.1925
CTAGE4	132.2133	CTAGE4	79.45
CTAGE5	1088.7582	CTAGE5	775.5271
CTAGE6	17.1658	CTAGE6	14.5149
CTAGE9	349.16	CTAGE9	273.1092
CTBP1	2069.2951	CTBP1	1918.6707
CTBP2	3496.3477	CTBP2	2171.8869
CTBS	598.9299	CTBS	545.4163
CTCFL	5.6136	CTCFL	5.9015
CTCF	1390.0657	CTCF	1718.8694
CTDP1	453.2505	CTDP1	413.2926
CTDSP1	2741.4171	CTDSP1	3496.5623
CTDSP2	4746.5303	CTDSP2	8850.2674
CTDSPL2	795.4711	CTDSPL2	1021.7723
CTDSPL	1336.7421	CTDSPL	2983.9572
CTF1	296.2016	CTF1	208.9381
CTGF	6871.439	CTGF	7501.9099
CTHRC1	587.6552	CTHRC1	123.7586
CTH	56.6107	CTH	72.5745
removed	removed	CTLA4	12.605
CTNNA1	8846.2381	CTNNA1	9310.9244
CTNNAL1	619.4302	CTNNAL1	594.3468
CTNNB1	12910.3433	CTNNB1	19912.6547
CTNNBIP1	967.8598	CTNNBIP1	1255.9206
CTNNBL1	680.0584	CTNNBL1	707.4102
CTNND1	10967.1293	CTNND1	10258.2047
CTNND2	441.9284	CTNND2	170.741
CTNS	285.179	CTNS	299.4843
CTPS2	1030.6793	CTPS2	734.9121
CTPS	400.6574	CTPS	286.4782
CTR9	2256.7568	CTR9	1751.3369
removed	removed	CTRL	9.1673
CTSA	1488.2615	CTSA	1323.029
CTSB	9343.3163	CTSB	10142.4752
CTSC	1040.5405	CTSC	1137.8915
CTSD	18628.9262	CTSD	7118.793
CTSF	2453.2505	CTSF	2162.7196
CTSG	13.8787	CTSG	24.0642
CTSH	1452.8853	CTSH	1877.3873
CTSK	1940.1023	CTSK	2347.9756
CTSL1	799.4887	CTSL1	1134.0718
CTSL2	23.74	CTSL2	60.3514
CTSO	1187.7283	CTSO	1739.1138
CTSS	745.7999	CTSS	1234.5302
CTSW	43.4624	CTSW	141.7112
CTSZ	3119.7955	CTSZ	3077.9221
CTTNBP2NL	879.8393	CTTNBP2NL	943.8503
CTTNBP2	104.821	CTTNBP2	227.2727
CTTN	5297.6625	CTTN	3231.8564
CTU1	32.5055	CTU1	22.1543
CTU2	128.824	CTU2	143.4454
CTXN1	436.45	CTXN1	43.1627
CUBN	23.0095	CUBN	118.411
CUEDC1	283.4186	CUEDC1	362.4905
CUEDC2	666.9102	CUEDC2	613.0634
CUL1	1470.0511	CUL1	1549.2743
CUL2	736.3039	CUL2	715.4316
CUL3	2539.8101	CUL3	2277.6929
CUL4A	2697.5895	CUL4A	1684.492
CUL4B	2009.496	CUL4B	2348.3575
CUL5	1476.26	CUL5	1423.9878
CUL7	1382.6406	CUL7	1341.0466
CUL9	1153.3966	CUL9	995.7983
CUTA	2123.0825	CUTA	1889.9924
CUTC	172.7684	CUTC	352.6929
CUX1	1627.4653	CUX1	930.8633
CUX2	13.1483	CUX2	26.738
CUZD1	28.8714	CUZD1	28.7815
CWC15	829.4375	CWC15	748.6631
CWC22	558.4368	CWC22	881.589
CWC25	356.8298	CWC25	425.8976
CWC27	380.935	CWC27	448.8159
CWF19L1	440.8327	CWF19L1	497.3262
CWF19L2	589.1161	CWF19L2	664.6295
CWH43	144.2659	removed	removed
CX3CL1	2121.2564	CX3CL1	16917.8762
CX3CR1	347.3338	CX3CR1	732.2383
CXADRP3	18.6267	CXADRP3	6.8755
CXADR	132.9438	CXADR	431.6272
CXCL10	61.7239	CXCL10	152.7884
CXCL11	8.7655	CXCL11	29.4118
CXCL12	1647.553	CXCL12	9461.039
CXCL13	190.6501	CXCL13	44.6906
CXCL14	3273.1921	CXCL14	7804.0489
CXCL16	730.4602	CXCL16	1765.8518
CXCL17	34.6969	CXCL17	87.8533
CXCL1	9.8612	CXCL1	84.4156
CXCL2	54.4193	CXCL2	702.4446
removed	removed	CXCL3	122.6127
CXCL5	6.9394	CXCL5	224.217
removed	removed	CXCL6	6.4935
CXCL9	124.9087	CXCL9	297.1734
CXCR1	8.7655	removed	removed
CXCR2	8.4003	CXCR2	19.4805
CXCR3	20.0877	CXCR3	59.2055
CXCR4	2894.4485	CXCR4	1317.7998
CXCR5	40.5625	CXCR5	9.1673
CXCR6	18.2615	CXCR6	109.6257
CXCR7	227.1731	CXCR7	715.8136
CXXC1	587.6552	CXXC1	626.0504
CXXC4	34.6969	CXXC4	26.356
CXXC5	813.7327	CXXC5	422.4599
CXorf21	41.6362	CXorf21	61.1154
CXorf23	440.4675	CXorf23	327.7311
CXorf26	339.664	CXorf26	339.1902
CXorf36	477.3557	CXorf36	937.3568
CXorf38	157.4142	CXorf38	275.0191
CXorf40A	448.1373	CXorf40A	382.3529
CXorf40B	327.2462	CXorf40B	338.4263
CXorf42	13.1483	CXorf42	35.1413
removed	removed	CXorf50B	9.5493
CXorf56	226.0774	CXorf56	322.0015
CXorf57	18.992	CXorf57	110.3896
CYB561D1	317.0197	CYB561D1	509.1673
CYB561D2	666.9102	CYB561D2	248.327
CYB561	2993.7911	CYB561	2079.068
CYB5A	3352.0818	CYB5A	892.2842
CYB5B	895.9094	CYB5B	1297.1734
CYB5D1	870.7085	CYB5D1	796.7914
CYB5D2	630.7524	CYB5D2	584.0336
CYB5R1	1796.5668	CYB5R1	1409.8549
CYB5R2	378.7436	CYB5R2	365.9282
CYB5R3	2985.3908	CYB5R3	4360.9626
CYB5R4	336.7421	CYB5R4	262.796
CYB5RL	80.7159	CYB5RL	114.2093
CYBASC3	1105.9167	CYBASC3	959.893
CYBA	374.7261	CYBA	467.9144
CYBB	473.3382	CYBB	662.7196
CYBRD1	25995.9825	CYBRD1	10814.7441
CYC1	1230.4602	CYC1	1213.5218
CYCS	1743.9737	CYCS	1478.9916
CYFIP1	3476.6253	CYFIP1	4199.3888
CYFIP2	291.4536	CYFIP2	409.8549
CYGB	324.3243	CYGB	539.725
CYHR1	617.6041	CYHR1	549.2743
CYLD	1182.9803	CYLD	1822.0015
CYP11A1	14.6092	CYP11A1	87.4714
CYP19A1	6.2089	removed	removed
CYP1B1	1240.6866	CYP1B1	1667.3033
CYP20A1	914.1709	CYP20A1	768.9076
CYP21A2	249.9196	CYP21A2	75.1872
removed	removed	CYP24A1	30.5577
CYP26A1	50.0365	CYP26A1	56.9137
CYP26B1	62.4543	CYP26B1	266.2338
CYP27A1	2215.4858	CYP27A1	1220.0153
CYP27B1	17.1658	CYP27B1	37.4332
removed	removed	CYP27C1	9.1673
CYP2A13	13.5135	removed	removed
CYP2A6	31422.5712	CYP2A6	69.5187
CYP2A7	189.1892	CYP2A7	5.3476
CYP2B6	66.4719	removed	removed
CYP2B7P1	41502.5566	CYP2B7P1	87.4714
CYP2C8	12.7831	removed	removed
CYP2D6	8.7655	CYP2D6	9.1673
CYP2D7P1	8.4003	CYP2D7P1	14.8969
CYP2E1	55.1497	CYP2E1	53.9076
CYP2J2	411.6143	CYP2J2	199.3888
CYP2R1	350.6209	CYP2R1	282.2765
CYP2S1	14.244	CYP2S1	17.5707
CYP2U1	308.9847	CYP2U1	612.6776
CYP39A1	70.1242	CYP39A1	259.7403
removed	removed	CYP3A5	14.1329
CYP46A1	14.6092	CYP46A1	33.9954
CYP4A22	7.3046	removed	removed
CYP4B1	918.9189	CYP4B1	125.6684
CYP4F11	377.6479	CYP4F11	89.3812
CYP4F12	9.1308	CYP4F12	22.5363
CYP4F22	165.084	CYP4F22	257.8304
CYP4F3	10.9569	removed	removed
CYP4F8	17.8963	CYP4F8	101.6043
CYP4V2	574.8722	CYP4V2	890.3743
CYP4X1	4821.4025	CYP4X1	635.2177
CYP4Z1	5230.8254	CYP4Z1	528.2659
CYP4Z2P	391.1614	CYP4Z2P	119.1749
