gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
ACO2	2453.4551	ACO2	2008.2124
ACOT11	9.3499	ACOT11	41.1192
ACOT13	352.3338	ACOT13	433.2735
ACOT1	438.2761	ACOT1	524.8281
ACOT2	263.6961	ACOT2	309.0145
ACOT4	185.9021	ACOT4	94.7288
ACOT7	948.5026	ACOT7	160.8098
ACOT8	251.1066	ACOT8	201.356
ACOT9	299.1234	ACOT9	322.3835
ACOX1	1200.3068	ACOX1	1666.5393
ACOX2	209.6421	ACOX2	253.6287
ACOX3	689.9196	ACOX3	562.2613
ACP1	1586.1943	ACP1	1581.7418
ACP2	1112.8561	ACP2	712.7578
ACP5	910.8839	ACP5	623.3766
ACP6	348.7947	ACP6	270.0535
ACPL2	484.6603	ACPL2	411.7647
ACPP	80.7159	ACPP	21.3904
ACRBP	7.6698	ACRBP	11.0772
ACRC	12.7831	ACRC	19.4805
removed	removed	ACR	9.9312
removed	removed	ACSBG1	15.2788
removed	removed	ACSBG2	5.7296
ACSF2	892.2571	ACSF2	825.0573
ACSF3	268.4441	ACSF3	339.9542
ACSL1	1625.6392	ACSL1	5380.8251
ACSL3	3251.2783	ACSL3	4400.6875
ACSL4	570.1242	ACSL4	1368.22
ACSL5	439.737	ACSL5	972.1161
removed	removed	ACSL6	13.751
ACSM1	17.1658	ACSM1	29.4118
ACSM3	64.9927	ACSM3	179.2361
ACSM5	21.9138	ACSM5	56.1497
ACSS1	734.1125	ACSS1	1156.6081
ACSS2	750.5478	ACSS2	1359.4347
ACSS3	305.3324	ACSS3	334.9885
ACTA2	11228.7509	ACTA2	31803.3346
removed	removed	ACTBL2	8.0214
ACTB	57216.9467	ACTB	68797.1734
ACTG1	55498.5391	ACTG1	57880.8251
ACTG2	746.5303	ACTG2	4235.2941
ACTL6A	757.8524	ACTL6A	815.1261
ACTN1	4900.2922	ACTN1	7871.6578
ACTN4	9349.0796	ACTN4	11422.1429
ACTR10	948.8678	ACTR10	1113.4454
ACTR1A	2020.0877	ACTR1A	1860.9626
ACTR1B	989.4083	ACTR1B	1480.1375
ACTR2	5312.2717	ACTR2	4980.1375
ACTR3B	224.2513	ACTR3B	352.9412
ACTR3C	29.9489	ACTR3C	46.9824
ACTR3	3168.7363	ACTR3	2608.8617
ACTR5	197.5895	ACTR5	218.8694
ACTR6	634.0394	ACTR6	701.6807
ACTR8	505.4785	ACTR8	538.1971
ACVR1B	1845.8729	ACVR1B	1580.5959
ACVR1C	57.7064	ACVR1C	234.1482
ACVR1	1052.5931	ACVR1	1161.1917
ACVR2A	434.989	ACVR2A	782.6585
ACVR2B	455.8072	ACVR2B	568.3728
ACVRL1	356.8298	ACVRL1	606.5699
ACY1	572.6808	ACY1	590.1566
ACY3	20.4529	ACY3	33.2315
ACYP1	63.55	ACYP1	73.3384
ACYP2	151.9357	ACYP2	159.2819
ADAD2	5.3652	ADAD2	5.8251
ADAL	165.084	ADAL	225.3629
ADAM10	1724.2513	ADAM10	1747.5172
ADAM11	9.496	ADAM11	21.7723
ADAM12	1245.7999	ADAM12	312.8342
ADAM15	4808.3966	ADAM15	2590.5271
ADAM17	722.4251	ADAM17	873.9496
ADAM19	150.84	ADAM19	122.9947
ADAM21	8.4003	removed	removed
ADAM22	137.6917	ADAM22	84.7976
ADAM23	18.6267	ADAM23	30.9396
ADAM28	429.1454	ADAM28	108.8617
ADAM32	35.0621	ADAM32	88.9992
ADAM33	55.8802	ADAM33	390.0382
ADAM6	26990.3725	ADAM6	86243.5676
ADAM8	360.8473	ADAM8	50.8021
ADAM9	2234.843	ADAM9	1441.9404
ADAMDEC1	12.4178	removed	removed
ADAMTS10	111.0299	ADAMTS10	124.9045
ADAMTS12	88.3857	ADAMTS12	97.0206
ADAMTS13	92.038	ADAMTS13	69.5187
ADAMTS14	35.0621	ADAMTS14	9.1673
ADAMTS15	1199.7809	ADAMTS15	141.3293
ADAMTS16	43.8276	ADAMTS16	43.1627
ADAMTS17	46.7495	ADAMTS17	55.3858
ADAMTS18	43.0972	ADAMTS18	136.3636
ADAMTS1	1434.6238	ADAMTS1	2697.861
ADAMTS2	272.8269	ADAMTS2	238.3499
ADAMTS3	27.027	ADAMTS3	76.0122
ADAMTS4	765.157	ADAMTS4	77.1581
ADAMTS5	510.2264	ADAMTS5	2580.2139
ADAMTS6	53.3236	ADAMTS6	17.1887
ADAMTS7	69.3937	ADAMTS7	51.1841
ADAMTS8	9.1308	ADAMTS8	40.107
ADAMTS9	202.3375	ADAMTS9	689.8396
ADAMTSL1	124.9087	ADAMTSL1	121.8487
ADAMTSL2	91.3075	ADAMTSL2	33.2315
ADAMTSL3	48.5756	ADAMTSL3	114.9733
ADAMTSL4	138.4222	ADAMTSL4	387.3186
ADAMTSL5	140.6136	ADAMTSL5	23.3002
ADAP1	203.382	ADAP1	81.9862
ADAP2	137.3265	ADAP2	157.372
ADARB1	445.9459	ADARB1	750.9549
removed	removed	ADARB2	6.8755
ADAR	10433.5281	ADAR	7362.1085
ADAT1	202.7027	ADAT1	332.6967
ADAT2	66.4719	ADAT2	231.8564
ADAT3	54.4193	ADAT3	21.7723
ADA	39.0796	ADA	54.2399
ADCK1	172.7538	ADCK1	164.2475
ADCK2	987.5822	ADCK2	715.0497
ADCK4	808.6194	ADCK4	457.2193
ADCK5	103.3601	ADCK5	68.7548
ADCY1	147.553	ADCY1	1461.039
ADCY2	796.2016	ADCY2	155.8442
ADCY3	739.0833	ADCY3	1197.987
ADCY4	139.1527	ADCY4	284.5684
ADCY5	216.2162	ADCY5	511.0772
ADCY6	1502.1914	ADCY6	2004.2017
ADCY7	175.3104	ADCY7	392.2842
ADCY9	1270.2703	ADCY9	852.1772
removed	removed	ADCYAP1R1	80.9778
ADCYAP1	15.3397	removed	removed
ADC	196.1286	ADC	205.8824
ADD1	5351.3514	ADD1	6287.6241
ADD2	25.2009	ADD2	72.9565
ADD3	2965.6684	ADD3	2809.0145
ADH1A	7.6698	ADH1A	18.3346
ADH1B	1078.5245	ADH1B	4464.0947
ADH1C	21.9138	ADH1C	192.5134
removed	removed	ADH4	13.369
ADH5	1844.412	ADH5	3081.7418
removed	removed	ADH6	6.1115
ADHFE1	108.8386	ADHFE1	138.2735
ADI1	1671.6581	ADI1	1514.8969
ADIPOQ	1115.7779	ADIPOQ	3695.9511
ADIPOR1	4216.5814	ADIPOR1	2337.2804
ADIPOR2	2285.2447	ADIPOR2	2298.3193
ADK	350.9861	ADK	420.932
ADM2	282.3229	ADM2	88.9992
ADM	118.6998	ADM	381.207
ADNP2	916.7275	ADNP2	885.7907
ADNP	3567.9328	ADNP	3427.8075
ADORA1	82.542	ADORA1	810.5424
ADORA2A	75.2374	ADORA2A	75.9931
ADORA2B	39.0796	ADORA2B	69.1367
ADORA3	73.7765	ADORA3	77.5401
ADO	558.802	ADO	784.9503
ADPGK	915.1717	ADPGK	829.4614
ADPRHL1	95.3251	ADPRHL1	125.6684
ADPRHL2	678.2323	ADPRHL2	595.4927
ADPRH	223.5208	ADPRH	393.8121
removed	removed	ADRA1A	18.3346
ADRA1B	5.1132	ADRA1B	9.1673
ADRA2A	893.718	ADRA2A	643.6211
ADRA2B	20.4529	ADRA2B	44.3086
ADRA2C	28.8532	ADRA2C	44.6906
ADRB1	210.7378	ADRB1	19.0985
ADRB2	66.4719	ADRB2	242.5516
ADRBK1	1897.3703	ADRBK1	1535.1413
ADRBK2	1068.6633	ADRBK2	1158.136
ADRM1	928.7801	ADRM1	834.2246
ADSL	546.3842	ADSL	812.0703
ADSSL1	97.8817	ADSSL1	99.6944
ADSS	2443.7546	ADSS	1511.0772
AEBP1	6890.0657	AEBP1	3553.094
AEBP2	639.5179	AEBP2	978.2277
AEN	299.4887	AEN	360.1986
AES	7562.0891	AES	6509.1673
AFAP1L1	191.7458	AFAP1L1	304.4309
AFAP1L2	510.2264	AFAP1L2	923.6058
AFAP1	1249.4412	AFAP1	1422.7884
AFF1	3250.5478	AFF1	2650.8785
AFF2	29.2184	AFF2	59.5875
AFF3	1403.5793	AFF3	1519.4805
AFF4	5142.805	AFF4	4443.4683
AFG3L1	229.3645	AFG3L1	266.6157
AFG3L2	1420.5844	AFG3L2	1595.7983
AFMID	693.2067	AFMID	502.2918
AFP	253.1045	AFP	92.055
AFTPH	3175.3104	AFTPH	1927.4255
AG2	245.0694	AG2	161.1917
AGAP11	74.1454	AGAP11	146.3866
AGAP1	543.0972	AGAP1	799.4652
AGAP2	42.8671	AGAP2	72.3224
AGAP3	1181.8846	AGAP3	1292.5898
AGAP4	245.7999	AGAP4	249.809
AGAP5	61.1468	AGAP5	42.0206
AGAP6	142.4397	AGAP6	96.6387
AGAP7	10.9569	AGAP7	9.5493
AGAP8	36.8882	AGAP8	58.8235
AGA	576.6983	AGA	661.9557
AGBL2	18.2615	AGBL2	14.8969
AGBL3	9.496	AGBL3	13.369
AGBL4	11.3221	AGBL4	11.8411
AGBL5	604.832	AGBL5	930.8938
AGER	16.0701	AGER	32.0856
AGFG1	1898.8313	AGFG1	1782.2765
AGFG2	1070.4894	AGFG2	533.2315
AGGF1	868.8824	AGGF1	963.7128
AGK	719.1381	AGK	635.2177
AGL	2952.1549	AGL	1183.3461
AGMAT	22.6443	AGMAT	14.1329
AGPAT1	1452.2717	AGPAT1	1583.0481
AGPAT2	901.3879	AGPAT2	849.8854
AGPAT3	2425.4931	AGPAT3	1716.9595
AGPAT4	147.9182	AGPAT4	210.466
AGPAT5	846.6034	AGPAT5	621.8487
AGPAT6	1909.0577	AGPAT6	1832.3147
AGPAT9	29.2184	AGPAT9	122.2307
AGPHD1	38.7144	AGPHD1	74.1024
AGPS	979.5471	AGPS	1142.4752
AGR2	35096.786	AGR2	1776.929
AGR3	2886.7787	AGR3	319.7097
AGRN	6358.2907	AGRN	4146.6769
AGTPBP1	198.6852	AGTPBP1	451.4897
AGTR1	37.6187	AGTR1	231.8564
AGTRAP	724.2513	AGTRAP	560.7334
AGT	340.3944	AGT	26.356
AGXT2L2	323.8714	AGXT2L2	394.809
AHCTF1	2085.8291	AHCTF1	1585.9435
AHCYL1	4375.0913	AHCYL1	4097.4026
AHCYL2	834.916	AHCYL2	721.1612
AHCY	2532.8707	AHCY	3313.9801
AHDC1	823.5939	AHDC1	1588.6173
AHI1	344.7772	AHI1	500.7639
AHNAK2	364.1344	AHNAK2	1108.0978
AHNAK	67060.263	AHNAK	78166.5393
AHRR	145.7268	AHRR	61.8793
AHR	4533.6012	AHR	3343.0099
AHSA1	1088.0205	AHSA1	1235.6761
AHSA2	500	AHSA2	605.806
AIDA	991.3221	AIDA	807.8877
AIF1L	482.1037	AIF1L	2954.1635
AIF1	221.3294	AIF1	253.2468
AIFM1	956.1724	AIFM1	609.2437
AIFM2	388.9701	AIFM2	557.2956
AIFM3	24.3097	AIFM3	6.6883
AIG1	983.5646	AIG1	856.7609
AIM1L	10.9569	removed	removed
AIM1	1411.6143	AIM1	3324.6753
AIM2	12.4178	AIM2	6.1115
AIMP1	1139.1527	AIMP1	1318.644
AIMP2	415.0986	AIMP2	239.4691
AIP	607.3776	AIP	586.3254
AJAP1	10.2264	AJAP1	16.4248
AK1	310.8108	AK1	375.0955
AK2	2159.6056	AK2	2032.0856
AK3L1	101.534	AK3L1	560.3514
AK3	1282.6881	AK3	1898.7777
AK5	873.9956	AK5	2329.6409
AK7	20.8181	AK7	40.4889
AKAP10	490.1388	AKAP10	521.7723
AKAP11	1933.5281	AKAP11	2199.7708
AKAP12	609.9343	AKAP12	1352.1772
AKAP13	2523.74	AKAP13	5444.2322
AKAP1	1633.6742	AKAP1	3219.6333
AKAP2	585.6318	AKAP2	1062.2956
AKAP3	21.5486	AKAP3	45.8365
AKAP5	417.0928	AKAP5	147.4408
AKAP6	86.5595	AKAP6	409.8549
AKAP7	227.5383	AKAP7	255.5386
AKAP8L	911.6143	AKAP8L	628.3422
AKAP8	924.3974	AKAP8	781.5126
AKAP9	5344.0467	AKAP9	3150.1146
AKD1	164.7188	AKD1	158.518
AKIRIN1	1304.2367	AKIRIN1	1117.6471
AKIRIN2	543.8276	AKIRIN2	758.5943
AKNA	682.9803	AKNA	799.8472
AKR1A1	1725.7122	AKR1A1	1619.9389
AKR1B10	23.3747	removed	removed
removed	removed	AKR1B15	9.1673
AKR1B1	396.2747	AKR1B1	890.3743
AKR1C1	180.9679	AKR1C1	972.0665
AKR1C2	164.7188	AKR1C2	899.9236
AKR1C3	265.8875	AKR1C3	928.9534
AKR1E2	45.4748	AKR1E2	39.3927
AKR7A2	798.7582	AKR7A2	971.7341
AKR7A3	190.6501	AKR7A3	84.4156
AKR7L	25.2009	AKR7L	16.8067
AKT1S1	1199.0504	AKT1S1	778.8388
AKT1	3830.8985	AKT1	2862.1085
AKT2	2565.011	AKT2	2313.5982
AKT3	422.9364	AKT3	920.1681
AKTIP	429.8795	AKTIP	628.0634
ALAD	1361.2126	ALAD	1470.2063
ALAS1	962.0161	ALAS1	895.34
ALB	1092.038	ALB	225.7448
ALCAM	7646.8225	ALCAM	3222.3071
ALDH16A1	688.824	ALDH16A1	401.4515
ALDH18A1	2564.2805	ALDH18A1	1548.1283
ALDH1A1	383.8568	ALDH1A1	998.4721
ALDH1A2	50.4018	ALDH1A2	239.4958
ALDH1A3	616.2126	ALDH1A3	2773.9114
ALDH1B1	481.008	ALDH1B1	462.1849
ALDH1L1	59.8977	ALDH1L1	183.728
ALDH1L2	229.3645	ALDH1L2	266.9977
ALDH2	1972.2425	ALDH2	2920.932
ALDH3A1	8.4003	ALDH3A1	42.0168
ALDH3A2	1366.691	ALDH3A2	1851.0313
ALDH3B1	149.0139	ALDH3B1	133.3079
ALDH3B2	8883.4916	ALDH3B2	1167.3033
ALDH4A1	481.3733	ALDH4A1	595.4927
ALDH5A1	415.6318	ALDH5A1	813.9801
ALDH6A1	587.9145	ALDH6A1	451.0313
ALDH7A1	1476.9905	ALDH7A1	3238.3499
ALDH8A1	15.7049	ALDH8A1	11.0772
ALDH9A1	4069.3937	ALDH9A1	4084.0336
ALDOA	29023.74	ALDOA	12616.5011
ALDOC	252.374	ALDOC	1089.3812
ALG10B	363.4039	ALG10B	530.9396
ALG10	115.7779	ALG10	149.3506
ALG11	19.7224	ALG11	14.1329
ALG12	563.9153	ALG12	491.2147
ALG13	461.6508	ALG13	526.356
ALG14	214.3901	ALG14	193.6593
ALG1	728.382	ALG1	443.9534
ALG2	826.1505	ALG2	881.971
ALG3	533.2359	ALG3	478.6096
ALG5	567.5676	ALG5	574.8663
ALG6	338.9335	ALG6	303.6669
ALG8	1198.3199	ALG8	613.0634
ALG9	722.0599	ALG9	697.861
ALKBH1	322.8634	ALKBH1	260.8862
ALKBH2	280.8619	ALKBH2	341.482
ALKBH3	462.7465	ALKBH3	511.0772
ALKBH4	292.6041	ALKBH4	271.2643
ALKBH5	2268.4149	ALKBH5	2184.2934
ALKBH6	108.8386	ALKBH6	61.4973
ALKBH7	631.4828	ALKBH7	445.7601
ALKBH8	329.8028	ALKBH8	376.2414
ALMS1P	8.7655	ALMS1P	5.7296
ALMS1	976.9905	ALMS1	904.5073
ALOX12P2	56.6107	ALOX12P2	24.8281
ALOX12	7.363	ALOX12	5.783
ALOX15B	293.645	ALOX15B	290.2979
removed	removed	ALOX15	9.9312
ALOX5AP	195.0329	ALOX5AP	211.6119
ALOX5	544.9233	ALOX5	344.1558
ALOXE3	10.5917	ALOXE3	29.4118
ALPK1	1134.7699	ALPK1	930.4813
ALPK2	17.531	ALPK2	10.3132
ALPK3	154.8576	ALPK3	173.0328
ALPL	361.2126	ALPL	550.0382
ALS2CL	177.8671	ALS2CL	445.3782
ALS2CR11	6.9394	ALS2CR11	7.2574
ALS2CR4	722.4251	ALS2CR4	1888.4645
ALS2CR8	198.3199	ALS2CR8	334.2246
ALS2	509.8612	ALS2	669.2131
ALX3	18.2615	ALX3	27.1199
ALX4	16.0701	ALX4	76.0122
AMACR	360.4821	AMACR	330.7869
removed	removed	AMBP	6.1115
AMBRA1	1401.0226	AMBRA1	1077.1581
AMD1	857.2389	AMD1	2001.5279
AMDHD1	8.4003	AMDHD1	30.9396
AMDHD2	245.6501	AMDHD2	177.5134
AMFR	2363.4039	AMFR	3150.4966
AMH	9.496	removed	removed
AMICA1	62.8196	AMICA1	124.1406
AMIGO1	137.3265	AMIGO1	194.4232
AMIGO2	1231.9211	AMIGO2	4009.5493
AMIGO3	92.4032	AMIGO3	51.1841
AMMECR1L	829.0723	AMMECR1L	854.851
AMMECR1	340.0292	AMMECR1	222.6891
AMN1	219.8685	AMN1	261.2681
AMOTL1	1594.2294	AMOTL1	3356.7609
AMOTL2	1375.0913	AMOTL2	3276.547
AMOT	2247.2608	AMOT	1626.0504
AMPD1	12.7831	AMPD1	105.424
AMPD2	563.9153	AMPD2	670.741
AMPD3	202.7027	AMPD3	258.5943
AMPH	311.176	AMPH	46.2185
AMT	115.2739	AMT	254.1291
removed	removed	AMY1A	60.3514
AMY2B	218.3565	AMY2B	446.3675
AMZ2P1	191.0153	AMZ2P1	220.7792
AMZ2	1194.3024	AMZ2	1119.5569
ANAPC10	127.8305	ANAPC10	153.9343
ANAPC11	580.3506	ANAPC11	443.0863
ANAPC13	1280.2666	ANAPC13	1315.5195
ANAPC16	2094.9598	ANAPC16	2775.4011
ANAPC1	741.0519	ANAPC1	935.8289
ANAPC2	624.5435	ANAPC2	582.5057
ANAPC4	506.5741	ANAPC4	602.3682
ANAPC5	2123.4478	ANAPC5	2658.8999
ANAPC7	863.4039	ANAPC7	720.7792
ANGEL1	446.3112	ANGEL1	841.1001
ANGEL2	1181.8846	ANGEL2	822.0015
ANGPT1	84.7334	ANGPT1	212.3759
ANGPT2	174.58	ANGPT2	182.9641
ANGPTL1	53.6888	ANGPTL1	124.1406
ANGPTL2	1004.748	ANGPTL2	2153.9343
ANGPTL4	306.0628	ANGPTL4	857.9068
ANGPTL7	26.2966	ANGPTL7	17.9526
ANG	597.8853	ANG	374.4347
ANK1	8.7655	ANK1	12.987
ANK2	255.2958	ANK2	519.0985
ANK3	2572.3156	ANK3	1968.6784
ANKAR	43.0972	ANKAR	54.2399
ANKDD1A	54.0541	ANKDD1A	169.9771
ANKFN1	12.7831	removed	removed
ANKFY1	1969.3207	ANKFY1	2191.3675
ANKHD1-EIF4EBP3	939.4302	ANKHD1-EIF4EBP3	1031.5317
ANKHD1	3197.4872	ANKHD1	3257.5974
ANKH	2214.0248	ANKH	2054.2399
ANKIB1	1521.5486	ANKIB1	1419.0222
ANKK1	40.1753	ANKK1	87.4714
ANKLE1	7.3046	ANKLE1	18.7166
ANKLE2	1365.5953	ANKLE2	1693.6593
ANKMY1	468.5902	ANKMY1	323.5294
ANKMY2	821.0373	ANKMY2	794.4996
ANKRA2	425.4931	ANKRA2	381.207
ANKRD10	1861.2089	ANKRD10	1540.2865
ANKRD11	1637.973	ANKRD11	2640.9664
ANKRD12	1705.6245	ANKRD12	2113.0634
ANKRD13A	1108.4733	ANKRD13A	1998.4721
ANKRD13B	81.4463	ANKRD13B	124.1406
ANKRD13C	622.3521	ANKRD13C	667.6853
ANKRD13D	690.2849	ANKRD13D	387.7005
ANKRD16	354.9343	ANKRD16	169.9771
ANKRD17	2780.4967	ANKRD17	3649.7326
ANKRD19	37.9839	ANKRD19	52.33
ANKRD20A3	5.1132	ANKRD20A3	14.8969
removed	removed	ANKRD20B	5.7296
ANKRD22	56.6107	ANKRD22	74.4843
ANKRD23	35.4273	ANKRD23	45.0726
ANKRD24	64.2805	ANKRD24	27.8839
ANKRD26	930.6063	ANKRD26	327.3491
ANKRD27	1087.29	ANKRD27	732.6203
ANKRD28	1547.1147	ANKRD28	1612.6814
ANKRD29	91.6728	ANKRD29	257.4484
ANKRD30A	1075.6026	ANKRD30A	661.9557
ANKRD30B	829.4375	ANKRD30B	60.7334
removed	removed	ANKRD31	9.5493
ANKRD32	118.6998	ANKRD32	168.4492
ANKRD34A	24.1052	ANKRD34A	25.5921
ANKRD35	88.0205	ANKRD35	213.9037
ANKRD36BP1	143.5354	ANKRD36BP1	305.1948
ANKRD36B	25.2009	ANKRD36B	72.1925
ANKRD36	202.3375	ANKRD36	284.9503
ANKRD37	57.9912	ANKRD37	184.8052
ANKRD39	100.8035	ANKRD39	115.3552
ANKRD40	1215.851	ANKRD40	1900.3056
ANKRD42	380.5698	ANKRD42	255.1566
ANKRD43	1047.1147	ANKRD43	48.1283
ANKRD44	56.2454	ANKRD44	88.9992
ANKRD45	12.7831	ANKRD45	21.7723
ANKRD46	372.2425	ANKRD46	586.0428
ANKRD49	510.5917	ANKRD49	372.4217
ANKRD50	2376.5522	ANKRD50	1165.7754
ANKRD52	1316.2893	ANKRD52	1488.9228
ANKRD53	12.7831	ANKRD53	32.0856
ANKRD54	323.9591	ANKRD54	297.9374
ANKRD56	79.9854	ANKRD56	88.9992
ANKRD57	599.3426	ANKRD57	1323.9114
ANKRD58	9.8612	ANKRD58	6.4935
ANKRD5	383.1264	ANKRD5	269.6715
ANKRD6	201.8335	ANKRD6	440.2254
ANKRD9	71.5851	ANKRD9	84.0336
ANKS1A	1028.4879	ANKS1A	1611.1536
ANKS1B	271.7312	ANKS1B	141.7112
ANKS3	309.7151	ANKS3	257.4484
ANKS6	84.0029	ANKS6	274.2552
ANKZF1	464.2075	ANKZF1	545.4545
ANLN	135.1351	ANLN	61.8793
ANO10	561.3587	ANO10	860.9626
