gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
ACOT13	817.6177	ACOT13	798.0979
ACOT1	720.8732	ACOT1	2001.2039
ACOT2	424.9466	ACOT2	1040.1284
ACOT4	160.4216	ACOT4	278.4912
removed	removed	ACOT6	20.0642
ACOT7	430.7491	ACOT7	194.6228
ACOT8	806.3165	ACOT8	204.9438
ACOT9	640.6624	ACOT9	863.5634
ACOX1	2218.5454	ACOX1	4884.0289
ACOX2	275.7886	ACOX2	406.9021
ACOX3	651.9261	ACOX3	323.8363
ACP1	2031.5519	ACP1	1079.053
ACP2	1371.0927	ACP2	896.0674
ACP5	2456.1571	ACP5	946.2279
ACP6	535.5351	ACP6	58.9888
ACPL2	224.9316	ACPL2	341.4928
ACPP	35.4975	ACPP	20.4655
ACRBP	59.3901	ACRBP	26.0835
ACRC	15.7008	ACRC	42.9374
removed	removed	ACR	6.8218
removed	removed	ACSBG1	17.2552
ACSF2	1311.3613	ACSF2	1128.4109
ACSF3	460.4441	ACSF3	141.252
ACSL1	1467.3457	ACSL1	47361.1557
ACSL3	3693.1101	ACSL3	2016.8539
ACSL4	812.3477	ACSL4	3107.9454
ACSL5	302.4118	ACSL5	950.2408
ACSL6	5.4612	removed	removed
ACSM1	10.2397	removed	removed
ACSM3	13.6324	removed	removed
ACSM5	13.9942	ACSM5	874.3981
ACSS1	2585.177	ACSS1	300.5618
ACSS2	845.456	ACSS2	5067.817
ACSS3	57.3422	ACSS3	1223.5152
ACTA1	33.1083	removed	removed
ACTA2	7910.3858	ACTA2	3334.8395
ACTB	184334.6599	ACTB	70568.2183
ACTG1	62165.7599	ACTG1	34762.4398
ACTG2	457.3722	ACTG2	45.7464
ACTL6A	969.3561	ACTL6A	636.0353
ACTN1	8194.4719	ACTN1	3938.6035
ACTN4	38258.5928	ACTN4	5663.6677
ACTR10	1350.9547	ACTR10	1409.7111
ACTR1A	2708.3945	ACTR1A	3194.6228
ACTR1B	1960.8981	ACTR1B	869.5827
ACTR2	6986.5314	ACTR2	7453.8523
ACTR3B	91.1331	ACTR3B	92.2953
ACTR3C	15.0182	ACTR3C	18.8604
ACTR3	4613.9983	ACTR3	3662.5201
ACTR5	432.1144	ACTR5	127.6083
ACTR6	657.3872	ACTR6	524.4783
ACTR8	509.9359	ACTR8	423.756
ACVR1B	731.1129	ACVR1B	1010.4334
ACVR1C	11.9463	ACVR1C	4883.2263
ACVR1	970.0387	ACVR1	1496.3884
ACVR2A	249.8481	ACVR2A	520.8668
ACVR2B	566.9368	ACVR2B	323.0337
ACVRL1	684.0104	ACVRL1	1042.5361
ACY1	737.2567	ACY1	428.9727
ACYP1	132.0918	ACYP1	36.5169
ACYP2	115.7083	ACYP2	210.2729
ADAL	204.7935	ADAL	329.4543
ADAM10	1573.497	ADAM10	1414.9278
ADAM11	5.4612	removed	removed
ADAM12	3043.9146	ADAM12	1947.8331
ADAM15	2160.9131	ADAM15	2604.9157
ADAM17	785.0419	ADAM17	646.0674
ADAM19	902.4568	ADAM19	145.6661
removed	removed	ADAM20	5.618
removed	removed	ADAM21	7.2231
ADAM22	37.8868	ADAM22	202.2472
ADAM23	18.7727	ADAM23	69.0209
ADAM28	98.6422	ADAM28	6.0193
ADAM32	19.7967	ADAM32	34.5104
ADAM33	33.4496	ADAM33	763.6437
ADAM6	10991.8424	ADAM6	2093.6316
ADAM8	724.9691	ADAM8	38.9246
ADAM9	2113.1279	ADAM9	3051.3644
ADAMDEC1	239.2671	ADAMDEC1	61.7978
ADAMTS10	64.8513	ADAMTS10	135.634
ADAMTS12	609.6021	ADAMTS12	481.5409
ADAMTS13	72.3604	ADAMTS13	13.2424
ADAMTS14	185.6795	removed	removed
ADAMTS15	25.5992	ADAMTS15	272.0706
ADAMTS16	101.7141	ADAMTS16	148.8764
ADAMTS17	108.5406	ADAMTS17	28.4912
removed	removed	ADAMTS18	199.4382
ADAMTS1	475.4623	ADAMTS1	5440.61
ADAMTS2	1677.9417	ADAMTS2	1148.8764
removed	removed	ADAMTS3	164.5265
ADAMTS4	660.8005	ADAMTS4	209.4703
ADAMTS5	262.1357	ADAMTS5	3700.2408
ADAMTS6	72.3604	ADAMTS6	59.7913
ADAMTS7	331.4242	ADAMTS7	133.2263
removed	removed	ADAMTS8	5.618
ADAMTS9	160.0803	ADAMTS9	1570.626
ADAMTSL1	104.786	ADAMTSL1	353.13
ADAMTSL2	148.134	ADAMTSL2	31.3002
ADAMTSL3	101.7141	ADAMTSL3	910.5136
ADAMTSL4	312.6515	ADAMTSL4	1848.3146
ADAMTSL5	27.9884	ADAMTSL5	35.313
ADAP1	197.7759	ADAP1	46.4286
ADAP2	338.9333	ADAP2	302.1669
ADARB1	379.2094	ADARB1	847.1108
ADAR	9992.2178	ADAR	6289.7271
ADAT1	297.6333	ADAT1	369.5827
ADAT2	87.7199	ADAT2	197.0305
ADAT3	22.8686	removed	removed
ADA	238.9258	ADA	219.5024
ADCK1	273.058	ADCK1	186.1958
ADCK2	1335.5952	ADCK2	373.1942
ADCK4	983.009	ADCK4	255.2167
ADCK5	83.2827	ADCK5	12.8411
ADCY1	447.8152	ADCY1	65.8106
ADCY2	14.3355	ADCY2	120.3852
ADCY3	508.929	ADCY3	1503.6717
ADCY4	105.1273	ADCY4	761.6372
ADCY5	201.7216	ADCY5	1123.1942
ADCY6	1427.7523	ADCY6	4250
ADCY7	717.1187	ADCY7	1325.8427
removed	removed	ADCY8	6.0193
ADCY9	562.4996	ADCY9	677.3676
removed	removed	ADCYAP1R1	76.6453
ADC	201.7216	ADC	54.1734
ADD1	5116.4251	ADD1	7907.3034
ADD2	17.4075	ADD2	63.4029
ADD3	947.1701	ADD3	5573.8363
removed	removed	ADH1A	747.4799
ADH1B	257.3572	ADH1B	76060.9912
removed	removed	ADH1C	536.9181
removed	removed	ADH4	21.6693
ADH5	2693.7176	ADH5	5945.8266
ADHFE1	47.1025	ADHFE1	413.3226
ADI1	1047.1776	ADI1	2408.9085
ADIPOQ	328.3523	ADIPOQ	167676.565
ADIPOR1	4315.3411	ADIPOR1	2396.87
ADIPOR2	4298.275	ADIPOR2	6256.4205
ADK	307.8729	ADK	418.138
ADM2	120.8282	removed	removed
ADM	91.1331	ADM	1011.236
ADNP2	390.1317	ADNP2	558.5875
ADNP	4757.3538	ADNP	2323.435
ADORA1	131.4092	ADORA1	136.8379
ADORA2A	80.89	ADORA2A	31.2921
ADORA2B	21.162	ADORA2B	36.5169
ADORA3	282.2738	ADORA3	85.4735
ADO	602.093	ADO	697.4318
ADPGK	803.405	ADPGK	810.7905
ADPRHL1	186.3621	ADPRHL1	48.9567
ADPRHL2	804.8386	ADPRHL2	310.9952
ADPRH	281.5911	ADPRH	631.2199
removed	removed	ADRA1A	170.5457
ADRA1B	7.1678	ADRA1B	107.5441
ADRA1D	134.1398	removed	removed
ADRA2A	228.0035	ADRA2A	3607.1429
ADRA2B	14.3355	ADRA2B	40.5297
ADRA2C	171.6852	ADRA2C	50.9631
