gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
DNMT3A	1475.5374	DNMT3A	207.4639
DNMT3B	184.6555	DNMT3B	20.4655
DNPEP	1666.3367	DNPEP	998.3949
DNTTIP1	804.1559	DNTTIP1	175.7624
DNTTIP2	1430.1415	DNTTIP2	1348.7159
DOC2A	39.5968	removed	removed
DOC2B	5.1198	DOC2B	87.8812
DOCK10	439.2821	DOCK10	284.5104
DOCK11	371.7003	DOCK11	8755.618
DOCK1	1323.9902	DOCK1	3392.8571
DOCK2	557.3797	DOCK2	638.8443
DOCK3	92.1571	DOCK3	13.6437
DOCK4	254.2853	DOCK4	1270.8668
DOCK5	254.6266	DOCK5	144.4623
DOCK6	753.6402	DOCK6	1677.3676
DOCK7	907.918	DOCK7	1565.008
DOCK8	678.2079	DOCK8	1141.2159
DOCK9	1735.6252	DOCK9	3656.9021
DOHH	107.8579	DOHH	45.7464
DOK1	293.5374	DOK1	411.3162
DOK2	212.3026	DOK2	289.7271
DOK3	217.7638	DOK3	99.9197
DOK4	311.6275	DOK4	256.8218
DOK5	35.4975	DOK5	141.6533
DOK6	30.0364	DOK6	36.5169
DOK7	43.348	removed	removed
DOLK	518.8103	DOLK	399.2777
DOLPP1	415.7309	DOLPP1	214.687
DOM3Z	295.4454	DOM3Z	125.1926
DONSON	307.1971	DONSON	162.2913
DOPEY1	492.5455	DOPEY1	1092.9133
DOPEY2	1732.212	DOPEY2	696.6292
DOT1L	497.9896	DOT1L	227.5241
DPAGT1	973.841	DPAGT1	843.9165
DPCD	210.0806	DPCD	83.0698
DPEP1	7.1678	removed	removed
DPEP2	80.2108	DPEP2	96.7095
DPF1	48.1265	removed	removed
DPF2	1525.3705	DPF2	904.8957
removed	removed	DPF3	27.2873
DPH1	566.8753	DPH1	353.3547
DPH2	474.7797	DPH2	246.3884
DPH3B	30.0364	DPH3B	27.6886
DPH3	647.8302	DPH3	1168.5393
DPH5	397.9821	DPH5	335.1926
DPM1	999.0511	DPM1	491.9743
DPM2	1228.0786	DPM2	382.825
DPM3	297.9746	DPM3	140.4494
DPP3	1708.8758	DPP3	262.4398
DPP4	479.2169	DPP4	2794.1413
removed	removed	DPP6	38.122
DPP7	1537.6581	DPP7	644.8636
DPP8	317.43	DPP8	1016.0514
DPP9	1304.8761	DPP9	652.8892
DPT	1123.2925	DPT	39659.7111
DPY19L1	510.2772	DPY19L1	810.5939
removed	removed	DPY19L2P2	9.6308
DPY19L2	21.8446	DPY19L2	146.87
DPY19L3	535.1938	DPY19L3	472.7127
DPY19L4	786.0658	DPY19L4	1060.9952
DPY30	935.4047	DPY30	403.2665
DPYD	675.136	DPYD	1457.0626
DPYSL2	1591.5871	DPYSL2	7041.3323
DPYSL3	4950.201	DPYSL3	8428.1701
DPYSL4	37.5455	removed	removed
DQX1	29.6951	removed	removed
DR1	960.823	DR1	1295.3451
DRAM1	1111.6876	DRAM1	842.2953
DRAM2	1051.2735	DRAM2	2077.4478
DRAP1	1194.6289	DRAP1	331.0594
removed	removed	DRD1	27.6886
DRD4	19.4554	removed	removed
DRG1	1734.6012	DRG1	1261.236
DRG2	492.5284	DRG2	434.5907
DRP2	31.0604	removed	removed
DSC2	612.3327	DSC2	390.4494
DSC3	195.9191	removed	removed
removed	removed	DSCAML1	45.3451
DSCC1	121.8522	DSCC1	71.0273
DSCR3	878.5643	DSCR3	1292.1348
DSCR6	26.2818	removed	removed
DSEL	112.9778	DSEL	2122.7929
DSE	754.3775	DSE	3230
DSG2	2243.5098	DSG2	2575.0161
DSG3	150.5232	removed	removed
DSN1	599.7037	DSN1	242.7769
DSP	10724.0134	DSP	280.0963
DSTN	15135.6075	DSTN	7481.1396
DSTYK	1040.3512	DSTYK	1072.2311
DST	1938.0295	DST	9571.4286
DTD1	686.741	DTD1	314.2055
DTHD1	5.4612	removed	removed
DTL	448.1565	DTL	9.6308
DTNA	223.5663	DTNA	573.0337
DTNBP1	436.5515	DTNBP1	246.3884
DTNB	747.4964	DTNB	66.2119
DTWD1	279.5432	DTWD1	733.9486
DTWD2	181.9249	DTWD2	258.0257
DTX1	99.6662	DTX1	960.6742
DTX2	395.2515	DTX2	166.1316
DTX3L	5063.8273	DTX3L	1710.634
DTX3	713.7055	DTX3	111.1557
DTX4	276.4713	DTX4	1042.5361
DTYMK	401.054	DTYMK	158.9085
DULLARD	1685.4508	DULLARD	1882.825
DUOX1	27.6471	DUOX1	43.74
removed	removed	DUOX2	10.8347
DUOXA1	9.557	DUOXA1	8.8283
DUS1L	447.1325	DUS1L	525.6822
DUS2L	251.896	DUS2L	128.0096
DUS3L	221.177	DUS3L	81.0594
DUS4L	130.805	DUS4L	115.9711
DUSP10	990.8594	DUSP10	205.4575
DUSP11	573.0806	DUSP11	432.9856
DUSP12	353.9515	DUSP12	202.6485
DUSP14	264.1837	DUSP14	567.817
DUSP15	87.7199	removed	removed
DUSP16	1101.1066	DUSP16	870.3852
DUSP18	210.579	DUSP18	172.9535
DUSP19	57.6835	DUSP19	120.7865
DUSP1	1904.5799	DUSP1	16871.1878
DUSP22	561.8169	DUSP22	1807.3836
DUSP23	990.1767	DUSP23	270.8668
removed	removed	DUSP27	9.6308
DUSP28	99.6662	DUSP28	64.2055
DUSP2	101.3728	DUSP2	24.4783
DUSP3	1447.8903	DUSP3	3078.2504
DUSP4	888.4626	DUSP4	342.2953
DUSP5	567.9607	DUSP5	289.3258
DUSP6	793.5749	DUSP6	3077.4478
DUSP7	459.0788	DUSP7	526.0835
DUSP8	321.1845	DUSP8	155.297
DUSP9	5.1198	removed	removed
DUT	559.3458	DUT	778.0538
DVL1	931.4693	DVL1	371.9904
DVL2	584.0029	DVL2	337.0787
DVL3	2161.5958	DVL3	1765.2488
DYM	462.4921	DYM	943.0177
DYNC1H1	10034.5418	DYNC1H1	13902.8892
DYNC1I1	18.7727	DYNC1I1	32.504
DYNC1I2	2242.8305	DYNC1I2	2551.3644
DYNC1LI1	890.5106	DYNC1LI1	779.695
DYNC1LI2	2906.7029	DYNC1LI2	6080.2568
DYNC2H1	142.6728	DYNC2H1	931.3804
DYNC2LI1	468.2945	DYNC2LI1	416.5329
DYNLL1	3771.9556	DYNLL1	4060.9952
DYNLL2	2433.6298	DYNLL2	1272.4719
DYNLRB1	4019.4144	DYNLRB1	1992.7769
DYNLRB2	33.1083	removed	removed
DYNLT1	1844.5071	DYNLT1	880.4173
DYNLT3	1152.9876	DYNLT3	928.9727
DYRK1A	1559.1614	DYRK1A	1834.6709
DYRK1B	1054.6867	DYRK1B	261.236
DYRK2	848.5279	DYRK2	823.0337
DYRK3	176.8051	DYRK3	275.6822
DYRK4	190.7993	DYRK4	175.3612
DYSF	639.9798	DYSF	497.191
DYX1C1	66.3429	DYX1C1	20.7504
DZIP1L	33.7909	DZIP1L	110.7544
DZIP1	180.1227	DZIP1	344.7352
DZIP3	681.9625	DZIP3	663.7239
E2F1	286.3696	E2F1	30.8989
E2F2	71.6777	removed	removed
E2F3	473.4144	E2F3	243.9807
E2F4	971.404	E2F4	819.4222
E2F5	117.9952	E2F5	25.1083
E2F6	479.8995	E2F6	360.3531
E2F7	110.5885	removed	removed
E2F8	92.1571	removed	removed
E4F1	347.125	E4F1	99.5185
EAF1	1556.0895	EAF1	876.4045
EAF2	121.1695	EAF2	44.5425
EAPP	1404.201	EAPP	804.1734
EARS2	510.2772	EARS2	422.5522
EBAG9	648.1715	EBAG9	632.0225
EBF1	116.0497	EBF1	4256.4205
EBF2	6.4851	EBF2	489.9679
EBF3	48.1265	EBF3	1626.4045
EBF4	693.2261	EBF4	22.0706
EBI3	24.5752	EBI3	17.2552
EBNA1BP2	1586.1259	EBNA1BP2	458.6677
EBPL	757.7361	EBPL	174.5586
EBP	1002.123	EBP	238.764
ECD	477.8516	ECD	686.5971
ECE1	4660.7595	ECE1	5149.679
ECE2	199.6737	ECE2	32.9053
ECEL1	38.5694	removed	removed
ECH1	11388.5684	ECH1	3700.6421
ECHDC1	324.9391	ECHDC1	2055.3772
ECHDC2	688.7889	ECHDC2	700.6421
ECHDC3	231.0754	ECHDC3	1473.9165
ECHS1	2012.7791	ECHS1	5633.6276
ECM1	11123.0195	ECM1	2232.3435
ECM2	357.3647	ECM2	9506.0193
ECSCR	84.9893	ECSCR	385.634
ECSIT	498.3309	ECSIT	386.4366
removed	removed	ECT2L	7.2231
ECT2	608.9194	ECT2	229.1332
EDA2R	71.3364	EDA2R	89.4864
EDARADD	141.3075	EDARADD	21.6693
EDA	82.9414	EDA	195.8266
EDC3	656.7046	EDC3	593.4992
EDC4	1444.4566	EDC4	611.8178
EDEM1	2416.2224	EDEM1	1343.9005
EDEM2	1241.3901	EDEM2	438.6035
EDEM3	2429.534	EDEM3	1901.2841
EDF1	4182.2253	EDF1	1023.2745
EDIL3	263.501	EDIL3	271.2681
EDN1	182.6076	EDN1	185.3933
EDN2	31.4017	removed	removed
EDNRA	794.5989	EDNRA	403.6918
EDNRB	76.4563	EDNRB	1928.1701
EEA1	612.674	EEA1	2199.4382
EED	340.6399	EED	408.9085
EEF1A1P9	5632.1635	EEF1A1P9	6986.3563
EEF1A1	79011.052	EEF1A1	114162.5201
EEF1A2	6721.6651	removed	removed
EEF1B2	3484.562	EEF1B2	2749.5987
EEF1D	5324.6319	EEF1D	1831.0594
EEF1E1	232.782	EEF1E1	122.3917
EEF1G	21074.2786	EEF1G	10407.7047
EEF2K	812.3477	EEF2K	2301.7657
EEF2	52977.698	EEF2	29247.9936
EEFSEC	1478.5035	EEFSEC	280.8989
EEPD1	152.2299	EEPD1	620.3852
EFCAB10	5.0891	removed	removed
removed	removed	EFCAB1	6.0193
EFCAB2	194.2125	EFCAB2	208.2665
EFCAB4A	960.823	EFCAB4A	50.5618
EFCAB4B	180.5596	EFCAB4B	70.626
EFCAB6	58.3662	EFCAB6	16.8539
EFCAB7	139.2596	EFCAB7	146.87
EFEMP1	991.8833	EFEMP1	18217.496
EFEMP2	1245.1447	EFEMP2	1410.9149
EFHA1	993.59	EFHA1	756.0193
EFHA2	16.0422	EFHA2	179.7753
EFHB	8.5331	EFHB	27.6886
EFHC1	470.3425	EFHC1	302.5682
EFHC2	11.9463	removed	removed
EFHD1	6027.0737	EFHD1	1245.9872
EFHD2	1204.8686	EFHD2	489.1653
EFNA1	1984.7907	EFNA1	378.4109
EFNA3	223.225	EFNA3	28.8925
EFNA4	266.5729	EFNA4	31.7014
EFNA5	54.2703	EFNA5	702.6485
EFNB1	340.2986	EFNB1	1151.6854
EFNB2	457.0309	EFNB2	796.549
EFNB3	67.9232	EFNB3	40.5297
EFR3A	1573.1557	EFR3A	2237.9615
EFR3B	523.2475	EFR3B	45.7464
EFS	1168.0058	EFS	516.8539
EFTUD1	1152.9876	EFTUD1	679.7753
EFTUD2	2181.3925	EFTUD2	1394.1613
EGFL6	93.8637	EGFL6	957.4639
EGFL7	204.1109	EGFL7	522.4719
EGFL8	52.9698	EGFL8	59.0048
EGFLAM	155.9844	EGFLAM	1105.5377
EGFR	102.7347	EGFR	3366.3604
EGF	15.3595	removed	removed
EGLN1	1085.7471	EGLN1	2058.9888
EGLN2	2656.2131	EGLN2	755.2167
EGLN3	345.7597	EGLN3	81.862
EGOT	8.8744	removed	removed
EGR1	1136.9454	EGR1	27045.3451
EGR2	277.8366	EGR2	384.8315
EGR3	43.348	EGR3	518.4591
EHBP1L1	582.9789	EHBP1L1	304.5746
EHBP1	839.3122	EHBP1	4603.5273
EHD1	1244.8034	EHD1	1271.6693
EHD2	1794.3327	EHD2	16271.2681
EHD3	294.9027	EHD3	78.6517
EHD4	1209.3058	EHD4	1392.4559
EHF	572.7393	removed	removed
EHHADH	205.1349	EHHADH	1071.8299
EHMT1	1356.7572	EHMT1	791.3323
EHMT2	1494.6515	EHMT2	551.7657
EI24	1104.1785	EI24	2908.5072
EID1	2045.5461	EID1	3902.488
EID2B	32.4256	EID2B	39.3258
EID2	251.5547	EID2	239.9679
EID3	27.9884	EID3	46.9502
EIF1AD	731.1129	EIF1AD	536.5169
EIF1AX	1642.4441	EIF1AX	2719.5024
EIF1B	793.9163	EIF1B	1059.7913
EIF1	13759.0536	EIF1	17567.0144
EIF2AK1	6702.3599	EIF2AK1	2957.9775
EIF2AK2	509.9359	EIF2AK2	583.8684
EIF2AK3	986.7635	EIF2AK3	840.6902
EIF2AK4	1058.7826	EIF2AK4	1904.4944
EIF2A	1420.9258	EIF2A	2241.1717
EIF2B1	1488.1663	EIF2B1	1253.2103
EIF2B2	837.6056	EIF2B2	553.7721
EIF2B3	546.7987	EIF2B3	1205.8587
EIF2B4	1636.3003	EIF2B4	733.9486
EIF2B5	1013.728	EIF2B5	756.8218
EIF2C1	1052.6388	EIF2C1	1086.6774
EIF2C2	120.4869	EIF2C2	305.3772
EIF2C3	142.3315	EIF2C3	298.9567
EIF2C4	344.0531	EIF2C4	599.5185
EIF2S1	1835.2914	EIF2S1	2159.7111
EIF2S2	2956.536	EIF2S2	1423.3547
EIF2S3	5503.1436	EIF2S3	5062.6003
EIF3A	4321.4849	EIF3A	6449.4382
EIF3B	5699.0627	EIF3B	2568.6196
EIF3CL	10685.8467	EIF3CL	5907.2311
EIF3C	206.0974	EIF3C	55.8507
EIF3D	7042.167	EIF3D	3283.3066
EIF3E	6342.4557	EIF3E	7493.1782
EIF3F	2508.7208	EIF3F	2681.3804
EIF3G	2169.3916	EIF3G	1236.7376
EIF3H	7606.7145	EIF3H	3796.9502
EIF3I	5258.8795	EIF3I	2694.2376
EIF3J	1116.8074	EIF3J	1589.8876
EIF3K	10498.3992	EIF3K	2798.9567
EIF3L	8892.1352	EIF3L	8756.0193
EIF3M	3217.5727	EIF3M	2275.9791
EIF4A1	15599.813	EIF4A1	6465.8026
EIF4A2	5796.681	EIF4A2	10791.3323
EIF4A3	3428.2438	EIF4A3	836.6774
EIF4B	8481.9782	EIF4B	10901.4888
EIF4E2	1631.5218	EIF4E2	1602.3274
EIF4E3	726.3344	EIF4E3	2967.8973
EIF4EBP1	438.2582	EIF4EBP1	428.1701
EIF4EBP2	2552.4101	EIF4EBP2	17563.8042
EIF4EBP3	672.0846	EIF4EBP3	351.3644
EIF4ENIF1	932.1519	EIF4ENIF1	668.5393
EIF4E	623.255	EIF4E	524.4783
EIF4G1	6801.8759	EIF4G1	5217.8973
EIF4G2	15802.2104	EIF4G2	27805.3772
EIF4G3	2330.8917	EIF4G3	2286.1156
EIF4H	4032.3847	EIF4H	3324.6388
EIF5A2	200.015	EIF5A2	331.0594
EIF5AL1	2541.4878	EIF5AL1	837.8812
EIF5A	8532.7226	EIF5A	2910.5136
EIF5B	5324.2906	EIF5B	3898.0738
EIF5	5558.4378	EIF5	6381.6212
EIF6	4136.4881	EIF6	961.4767
ELAC1	55.953	ELAC1	146.5931
ELAC2	1296.0017	ELAC2	1365.9711
removed	removed	ELANE	10.8347
ELAVL1	2225.4231	ELAVL1	1234.7512
ELF1	3062.346	ELF1	1638.443
ELF2	683.6691	ELF2	1154.8957
ELF3	6733.2701	removed	removed
ELF4	527.3434	ELF4	707.0626
ELF5	352.2449	removed	removed
ELFN1	28.3298	ELFN1	20.4655
ELFN2	20.4794	removed	removed
ELK1	827.7072	ELK1	480.7384
ELK3	417.4375	ELK3	763.2424
ELK4	170.32	ELK4	362.3596
ELL2	735.5501	ELL2	1760.0321
ELL3	137.8499	ELL3	88.8764
ELL	394.2276	ELL	233.5474
ELMO1	329.7176	ELMO1	1022.8732
ELMO2	2423.7315	ELMO2	1217.0947
ELMO3	1013.3867	removed	removed
ELMOD2	289.4415	ELMOD2	266.0514
ELMOD3	373.7482	ELMOD3	1833.0658
ELN	425.2879	ELN	1713.0819
ELOF1	1022.6024	ELOF1	414.9278
ELOVL1	2162.2784	ELOVL1	2119.1814
ELOVL2	74.067	ELOVL2	123.9968
removed	removed	ELOVL3	79.4543
ELOVL4	18.7727	ELOVL4	71.0273
removed	removed	ELOVL5	10414.1252
ELOVL6	343.7118	ELOVL6	200.6421
ELOVL7	86.3546	ELOVL7	528.8925
ELP2	1483.7292	ELP2	1438.6035
ELP3	519.1516	ELP3	939.8074
ELP4	246.0936	ELP4	253.6116
ELTD1	613.698	ELTD1	3791.3323
EMB	424.2639	EMB	1475.923
EMCN	186.0208	EMCN	1934.992
EMD	1884.7832	EMD	666.1316
EME1	143.8845	EME1	5.7745
EME2	7.8504	removed	removed
EMG1	579.2244	EMG1	469.5024
EMID1	44.3719	EMID1	10.0321
EMILIN1	1121.2446	EMILIN1	213.0819
EMILIN2	318.1126	EMILIN2	1550.1605
EML1	495.259	EML1	1184.5907
EML2	737.5878	EML2	146.0674
EML3	545.4334	EML3	597.1108
EML4	1576.2276	EML4	1508.8283
EML5	34.4736	EML5	32.9053
EML6	11.605	EML6	15.2488
EMP1	2853.4566	EMP1	22097.1108
EMP2	3954.2218	EMP2	3110.3531
EMP3	828.3898	EMP3	1851.9262
EMR1	18.0901	removed	removed
EMR2	121.5108	EMR2	71.8299
EMR4P	5.1198	EMR4P	6.4205
EMX2OS	37.8868	EMX2OS	643.6597
EMX2	21.5033	EMX2	140.4494
EN1	54.9529	EN1	115.1685
removed	removed	EN2	18.0578
ENAH	5110.2813	ENAH	2656.0995
ENC1	2140.0583	ENC1	636.7897
ENDOD1	721.8972	ENDOD1	1589.4864
ENDOG	193.2227	ENDOG	86.0514
removed	removed	ENDOU	13.2424
ENGASE	593.5599	ENGASE	205.4575
ENG	2301.1967	ENG	3581.862
ENHO	35.4975	ENHO	16.0514
ENKUR	5.1198	removed	removed
ENO1	30605.0284	ENO1	10610.7544
ENO2	2244.8785	ENO2	234.7512
ENO3	55.2943	ENO3	12.8411
ENOPH1	1166.2992	ENOPH1	518.8604
ENOSF1	642.2632	ENOSF1	335.008
ENOX1	111.9538	ENOX1	148.0738
ENOX2	368.6284	ENOX2	540.1284
ENPEP	147.4513	ENPEP	660.9149
ENPP1	2130.5354	ENPP1	2295.7464
ENPP2	352.5862	ENPP2	7563.0016
removed	removed	ENPP3	56.1798
ENPP4	389.449	ENPP4	1440.61
ENPP5	587.0748	ENPP5	29.2937
removed	removed	ENPP6	22.0706
ENSA	4886.3737	ENSA	3237.1589
ENTHD1	9.2157	ENTHD1	5.618
ENTPD1	1299.415	ENTPD1	1385.2327
ENTPD2	211.9613	ENTPD2	5.2167
ENTPD3	283.1646	ENTPD3	105.1364
ENTPD4	231.0754	ENTPD4	354.3339
ENTPD5	180.0681	ENTPD5	280.7464
ENTPD6	2678.3581	ENTPD6	786.1156
ENTPD7	525.2408	ENTPD7	152.9535
ENTPD8	11.605	removed	removed
ENY2	825.6593	ENY2	473.9165
EOMES	101.7141	EOMES	18.4591
EP300	2925.817	EP300	3206.26
EP400NL	202.063	EP400NL	111.557
EP400	1758.4938	EP400	1326.6453
EPAS1	1827.441	EPAS1	19788.122
EPB41L1	2602.9258	EPB41L1	3074.2376
EPB41L2	756.7121	EPB41L2	9323.8363
EPB41L3	365.5565	EPB41L3	2731.5409
EPB41L4A	922.9362	EPB41L4A	809.7913
EPB41L4B	82.2587	EPB41L4B	2471.9101
EPB41L5	485.702	EPB41L5	990.3692
EPB41	1222.8973	EPB41	1468.4992
removed	removed	EPB42	93.4992
EPB49	116.7323	EPB49	1991.573
EPC1	440.6474	EPC1	674.5586
EPC2	407.8805	EPC2	875.2006
EPCAM	5359.4468	EPCAM	17.2552
EPDR1	202.4043	EPDR1	2440.2087
EPHA10	170.32	removed	removed
EPHA1	744.7658	removed	removed
EPHA2	195.9191	EPHA2	395.6661
EPHA3	27.3058	EPHA3	416.1316
EPHA4	142.3315	EPHA4	517.2552
removed	removed	EPHA5	8.0257
removed	removed	EPHA6	10.4334
EPHA7	221.177	EPHA7	35.7143
EPHB1	38.5694	EPHB1	18.8604
EPHB2	223.5663	EPHB2	238.3628
EPHB3	347.8077	EPHB3	36.5169
EPHB4	1691.5946	EPHB4	754.4141
EPHB6	29.0124	EPHB6	229.5345
EPHX1	3229.9354	EPHX1	10945.4254
EPHX2	217.7638	EPHX2	510.0321
EPHX3	5.1198	EPHX3	14.4462
EPHX4	6.8265	EPHX4	5.618
EPM2AIP1	1183.024	EPM2AIP1	1005.2167
EPM2A	109.2232	EPM2A	584.6709
EPN1	2119.6131	EPN1	773.6758
EPN2	1012.0214	EPN2	900.8828
EPN3	2195.728	removed	removed
EPOR	68.4181	EPOR	75.0401
EPPK1	880.9535	removed	removed
EPR1	328.4922	removed	removed
EPRS	5507.9221	EPRS	3570.2247
EPS15L1	1059.1239	EPS15L1	551.7657
EPS15	1832.9021	EPS15	3828.2504
EPS8L1	437.9168	removed	removed
EPS8L2	767.2931	EPS8L2	81.862
EPS8	1385.7696	EPS8	4768.0578
EPSTI1	629.7401	EPSTI1	192.2151
EPT1	2324.4066	EPT1	504.8114
EPYC	74.7496	removed	removed
ERAL1	2132.9247	ERAL1	727.5281
ERAP1	1227.9625	ERAP1	6250.7063
ERAP2	1185.7546	ERAP2	1783.3066
ERBB2IP	2216.5487	ERBB2IP	1896.87
ERBB2	11120.6302	ERBB2	553.3708
ERBB3	7304.9854	ERBB3	16.0514
ERBB4	2404.6174	ERBB4	243.9807
ERC1	1162.2033	ERC1	2616.3724
ERC2	9.8984	removed	removed
ERCC1	1139.8364	ERCC1	525.6822
ERCC2	487.0673	ERCC2	188.2022
ERCC3	1140.3587	ERCC3	934.992
ERCC4	222.201	ERCC4	422.1509
ERCC5	2034.6238	ERCC5	1808.1862
ERCC6L	150.5232	ERCC6L	8.427
ERCC6	143.963	ERCC6	339.5947
ERCC8	116.7323	ERCC8	286.1156
EREG	17.4075	removed	removed
ERF	710.6336	ERF	268.8604
ERGIC1	16333.6496	ERGIC1	4839.4864
ERGIC2	625.3029	ERGIC2	1026.0835
ERGIC3	7540.8392	ERGIC3	2143.6597
ERG	265.5489	ERG	1441.4125
ERH	2735.7003	ERH	1295.7464
ERI1	208.2068	ERI1	568.2183
ERI2	345.0976	ERI2	343.8122
ERI3	920.8883	ERI3	716.2921
ERICH1	108.1993	ERICH1	268.4591
ERLEC1	2222.0098	ERLEC1	1727.5281
ERLIN1	746.8138	ERLIN1	1672.1509
ERLIN2	1270.7439	ERLIN2	1774.4783
ERMAP	399.6887	ERMAP	601.5249
ERMN	55.2943	removed	removed
ERMP1	1288.9432	ERMP1	1041.6613
ERN1	214.3506	ERN1	95.9069
ERO1LB	220.4944	ERO1LB	388.0417
ERO1L	841.3601	ERO1L	684.1894
ERP27	80.2108	ERP27	7.6244
ERP29	3678.0919	ERP29	744.382
ERP44	1866.0104	ERP44	1866.7737
ERRFI1	1796.3806	ERRFI1	2900.0803
removed	removed	ERVFRDE1	19.6629
ESAM	586.0508	ESAM	2133.2263
ESCO1	444.7433	ESCO1	404.0931
ESCO2	71.3364	ESCO2	5.2167
ESD	1978.9882	ESD	3144.8636
ESF1	694.9327	ESF1	578.2504
ESM1	261.1118	ESM1	8.427
ESPL1	288.4176	removed	removed
ESPNP	5.4612	removed	removed
ESPN	107.8579	removed	removed
ESR1	9033.1015	ESR1	824.2376
removed	removed	ESR2	105.1364
ESRP1	2541.1464	removed	removed
ESRP2	1912.089	ESRP2	153.6918
ESRRA	392.8623	ESRRA	226.3242
ESRRG	37.8868	ESRRG	48.1541
ESYT1	2931.6194	ESYT1	13525.2809
ESYT2	1950.9997	ESYT2	6973.5152
ETAA1	491.8458	ETAA1	314.2055
ETF1	2873.5946	ETF1	4154.8957
ETFA	847.8452	ETFA	2798.5554
ETFB	1803.5484	ETFB	808.1862
ETFDH	231.0754	ETFDH	1524.077
ETHE1	752.6162	ETHE1	290.5297
ETNK1	1019.8718	ETNK1	959.8716
ETNK2	766.9518	ETNK2	76.6453
ETS1	2064.3188	ETS1	7087.0787
ETS2	810.9824	ETS2	2549.7592
ETV1	388.0837	ETV1	192.2151
ETV2	13.3116	ETV2	10.0321
removed	removed	ETV3L	8.0257
ETV3	152.2299	ETV3	424.1573
ETV4	87.3786	removed	removed
ETV5	320.8432	ETV5	481.9422
ETV6	1119.538	ETV6	604.7352
ETV7	105.4687	ETV7	11.236
EVC2	87.3786	EVC2	238.764
EVC	813.6925	EVC	1072.1589
EVI2A	243.7043	EVI2A	282.9053
EVI2B	518.469	EVI2B	562.6003
EVI5L	375.4548	EVI5L	160.9149
EVI5	413.6829	EVI5	860.3531
EVL	17803.7259	EVL	634.0289
EVPL	995.9792	removed	removed
EWSR1	3684.2357	EWSR1	2818.6196
EXD2	973.4519	EXD2	838.6838
EXD3	111.2712	EXD3	70.626
EXO1	164.5175	EXO1	6.0193
EXOC1	999.7338	EXOC1	1532.504
EXOC2	938.2957	EXOC2	942.6164
EXOC3L2	38.2281	EXOC3L2	34.9117
EXOC3L	79.7705	EXOC3L	17.0586
EXOC3	1028.4049	EXOC3	1002.0064
EXOC4	2448.648	EXOC4	2105.5377
EXOC5	1325.0142	EXOC5	2724.7191
EXOC6B	138.9183	EXOC6B	567.817
EXOC6	596.2905	EXOC6	421.7496
EXOC7	3312.7675	EXOC7	2186.9984
EXOC8	657.0459	EXOC8	633.6276
EXOG	140.9662	EXOG	150.8828
EXOSC10	1724.3616	EXOSC10	1318.6196
EXOSC1	358.3887	EXOSC1	283.3066
EXOSC2	394.9102	EXOSC2	260.8347
EXOSC3	252.2374	EXOSC3	245.9872
EXOSC4	209.572	EXOSC4	61.7978
EXOSC5	663.1897	EXOSC5	99.1172
EXOSC6	358.0474	EXOSC6	227.1268
EXOSC7	774.1196	EXOSC7	277.6886
EXOSC8	274.9251	EXOSC8	271.87
EXOSC9	482.7973	EXOSC9	345.7063
EXPH5	130.7265	EXPH5	62.199
EXT1	942.3916	EXT1	1555.7785
EXT2	1632.8871	EXT2	2273.2745
EXTL1	45.0546	removed	removed
EXTL2	252.2374	EXTL2	573.0337
EXTL3	650.2195	EXTL3	975.923
EYA1	6.8265	EYA1	123.1942
EYA2	667.6269	EYA2	352.7287
EYA3	127.6546	EYA3	153.6918
EYA4	5.8025	EYA4	200.2408
EYS	9.557	EYS	134.8315
EZH1	641.0038	EZH1	3005.618
EZH2	251.5547	EZH2	27.2873
EZR	7509.0962	EZR	888.0417
F10	21.162	F10	611.1557
F11R	7660.9848	F11R	3619.9839
F12	67.5819	removed	removed
F13A1	2027.7973	F13A1	8032.9053
F2RL1	250.5308	F2RL1	10.8347
F2RL2	805.1799	removed	removed
F2RL3	109.5645	F2RL3	52.1669
F2R	2750.0358	F2R	507.2231
F3	176.1224	F3	1977.1268
F5	83.2827	F5	70.2247
F7	18.0901	removed	removed
F8A1	164.1761	F8A1	155.297
removed	removed	F8	2498.7961
FA2H	41.6414	removed	removed
FAAH2	338.2507	FAAH2	8.8283
FAAH	975.4999	FAAH	121.5891
FABP3	434.1623	FABP3	378.0096
FABP4	544.4095	FABP4	132063.0016
FABP5	56.3182	FABP5	443.0177
FADD	857.0609	FADD	323.0337
FADS1	1444.8935	FADS1	313.4029
FADS2	5273.6997	FADS2	223.5152
FADS3	359.754	FADS3	2262.0385
FAF1	837.6056	FAF1	897.2713
FAF2	2955.1707	FAF2	1697.4318
FAHD1	732.1369	FAHD1	415.313
FAHD2A	339.6159	FAHD2A	340.2889
FAHD2B	233.4646	FAHD2B	85.8748
FAH	1187.8025	FAH	4335.8748
FAIM2	10.2397	FAIM2	42.1348
FAIM3	254.4628	FAIM3	102.1027
FAIM	223.9076	FAIM	389.2456
FAM100A	435.8689	FAM100A	140.4494
FAM100B	719.1666	FAM100B	299.7592
FAM101A	173.7332	removed	removed
FAM101B	397.9821	FAM101B	626.0032
FAM102A	7128.5216	FAM102A	517.6565
FAM102B	752.6162	FAM102B	1081.4607
FAM103A1	618.1352	FAM103A1	230.7183
