gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
removed	removed	DKK1	72.0635
DKK2	28.477	DKK2	55.2381
DKK3	607.8481	DKK3	4963.4921
DKKL1	7.1192	DKKL1	6.0317
DLAT	1560.4712	DLAT	739.4984
DLC1	287.143	DLC1	1056.1905
DLD	5110.6026	DLD	1665.7143
DLEC1	5.4242	DLEC1	23.8095
DLEU1	52.5468	DLEU1	67.3302
DLEU2	23.0664	DLEU2	20.9651
DLG1	1474.6945	DLG1	1135.2381
DLG2	15.2555	DLG2	122.5397
DLG3	1991.3552	DLG3	1415.873
DLG4	159.0304	DLG4	425.1524
DLG5	6907.026	DLG5	10991.746
DLGAP1	58.988	DLGAP1	34.9206
removed	removed	DLGAP2	17.4603
DLGAP3	10.1704	DLGAP3	10.1587
DLGAP4	1544.5377	DLGAP4	1425.0794
DLGAP5	602.7629	DLGAP5	53.0159
removed	removed	DLK1	348.5714
DLK2	7.7973	DLK2	206.9841
DLL1	339.0118	DLL1	347.619
DLL3	40.6814	removed	removed
DLL4	195.2708	DLL4	187.9365
DLST	2473.0909	DLST	2553.0159
removed	removed	DLX1	69.2063
removed	removed	DLX2	94.2857
DLX3	23.3918	DLX3	61.9048
DLX4	49.4957	DLX4	14.9206
DLX5	12.2044	DLX5	14.9206
DMAP1	552.2502	DMAP1	779.3651
DMBT1	24.7479	DMBT1	280.9524
DMBX1	5.0852	removed	removed
DMC1	8.4753	DMC1	20
DMD	326.1293	DMD	1161.2698
DMGDH	21.6968	DMGDH	18.0952
DMKN	758.3694	DMKN	816.8254
DMPK	466.8192	DMPK	743.8095
removed	removed	DMRT2	23.8095
DMRT3	8.1363	DMRT3	40
DMRTA1	5.0852	DMRTA1	23.1746
DMRTC1B	5.4242	DMRTC1B	33.6508
DMTF1	700.3983	DMTF1	926.7714
DMWD	425.1208	DMWD	466.0317
DMXL1	730.2314	DMXL1	775.5556
DMXL2	614.6284	DMXL2	352.6984
DNA2	419.3576	DNA2	39.0476
DNAH10	49.8347	DNAH10	13.6508
DNAH11	53.2418	removed	removed
removed	removed	DNAH12	7.9365
DNAH14	173.574	DNAH14	87.3016
DNAH17	29.155	DNAH17	41.5968
DNAH1	84.0749	DNAH1	176.1905
DNAH2	293.9232	DNAH2	127.9365
DNAH5	14.9165	DNAH5	292.6984
DNAH6	9.4923	DNAH6	59.3651
DNAH7	9.4923	DNAH7	100
removed	removed	DNAH9	26.6667
removed	removed	DNAI1	13.6508
DNAJA1	4514.9589	DNAJA1	2816.8254
DNAJA2	1288.2448	DNAJA2	1780.6349
DNAJA3	1115.6878	DNAJA3	1016.8254
DNAJA4	1046.5294	DNAJA4	915.5556
DNAJB11	2052.3773	DNAJB11	1276.8254
DNAJB12	1201.1187	DNAJB12	1704.7619
DNAJB14	383.7613	DNAJB14	205.7143
DNAJB1	5047.8854	DNAJB1	3385.7143
DNAJB2	812.2722	DNAJB2	2464.127
DNAJB4	651.5806	DNAJB4	428.5714
DNAJB5	110.8569	DNAJB5	347.619
DNAJB6	2086.6175	DNAJB6	2019.0476
DNAJB9	551.2332	DNAJB9	692.0635
DNAJC10	2688.7024	DNAJC10	2411.1111
DNAJC11	1966.7599	DNAJC11	928.7048
DNAJC12	81.7018	DNAJC12	504.7619
DNAJC13	1384.8631	DNAJC13	961.5873
DNAJC14	1452.8757	DNAJC14	1272.0794
DNAJC15	1071.9553	DNAJC15	827.619
DNAJC16	888.8889	DNAJC16	593.3333
DNAJC17	94.2453	DNAJC17	341.2698
DNAJC18	115.603	DNAJC18	237.1429
DNAJC19	681.4137	DNAJC19	513.6508
DNAJC1	986.5243	DNAJC1	868.254
DNAJC21	1451.9875	DNAJC21	1163.4921
DNAJC22	172.218	DNAJC22	85.0794
DNAJC24	218.2761	DNAJC24	354.6794
DNAJC25	150.1822	DNAJC25	235.2381
DNAJC27	170.1839	DNAJC27	200.3175
DNAJC28	33.2232	DNAJC28	46.3492
DNAJC2	1213.991	DNAJC2	661.8984
DNAJC30	282.3968	DNAJC30	509.5238
DNAJC3	2895.1606	DNAJC3	2301.9048
DNAJC4	471.0738	DNAJC4	772.8063
DNAJC5	1897.7879	DNAJC5	2090.7937
DNAJC6	142.3849	DNAJC6	46.3492
DNAJC7	1902.8291	DNAJC7	1839.7429
DNAJC8	2468.3448	DNAJC8	2180.6349
DNAJC9	1529.6212	DNAJC9	634.073
DNAL1	243.0714	DNAL1	445.0794
DNAL4	521.4001	DNAL4	698.0952
DNALI1	173.574	DNALI1	650.7937
DNASE1L1	658.127	DNASE1L1	526.673
removed	removed	DNASE1L2	10.4762
DNASE1L3	5.0852	DNASE1L3	82.2222
DNASE1	79.3288	DNASE1	50.1587
DNASE2	2268.3278	DNASE2	1622.5397
DND1	66.7514	DND1	67.1556
DNER	41.3594	DNER	14.6032
DNHD1	122.0442	DNHD1	132.381
DNLZ	84.7529	DNLZ	117.1429
DNM1L	3355.1996	DNM1L	1370.4762
DNM1P35	28.816	DNM1P35	27.9365
DNM1	66.4463	DNM1	366.9841
DNM2	3089.177	DNM2	2061.4222
DNM3	114.925	DNM3	66.3492
DNMBP	212.8113	DNMBP	670.0413
DNMT1	5306.2124	DNMT1	1421.5873
DNMT3A	728.8753	DNMT3A	435.2381
DNMT3B	58.31	DNMT3B	65.7143
DNPEP	468.8533	DNPEP	1313.6508
DNTTIP1	373.93	DNTTIP1	655.873
DNTTIP2	2030.0025	DNTTIP2	1608.254
DOC2A	75.5454	DOC2A	42.2476
removed	removed	DOC2B	40.6349
DOCK10	111.8739	DOCK10	454.9206
DOCK11	231.8841	DOCK11	516.1905
DOCK1	1617.4252	DOCK1	1923.1746
DOCK2	152.8943	DOCK2	423.4921
DOCK3	26.4429	DOCK3	21.9048
DOCK4	151.5383	DOCK4	426.9841
DOCK5	958.3863	DOCK5	308.254
DOCK6	789.2194	DOCK6	676.8254
DOCK7	2078.4812	DOCK7	893.0159
DOCK8	655.3098	DOCK8	1309.9968
DOCK9	1550.6399	DOCK9	1424.127
DOHH	165.4377	DOHH	266.0317
DOK1	144.08	DOK1	337.1429
DOK2	42.0375	DOK2	206.3492
DOK3	67.8024	DOK3	147.9365
DOK4	294.6012	DOK4	511.4286
DOK5	265.4462	DOK5	110.1587
DOK6	73.5656	DOK6	13.0159
DOK7	29.833	DOK7	44.7619
DOLK	357.9964	DOLK	436.1905
DOLPP1	366.1327	DOLPP1	359.0476
DOM3Z	275.6776	DOM3Z	334.0952
DONSON	679.1728	DONSON	139.8794
DOPEY1	663.2291	DOPEY1	736.9905
DOPEY2	1002.4578	DOPEY2	776.8254
DOT1L	432.918	DOT1L	458.4095
DPAGT1	1145.2089	DPAGT1	892.4889
DPCD	332.7638	DPCD	324.127
DPEP1	6.4412	removed	removed
DPEP2	11.1874	DPEP2	46.9841
DPF2	686.8379	DPF2	1018.0952
removed	removed	DPF3	23.4921
DPH1	718.8067	DPH1	698.7968
DPH2	802.4409	DPH2	426.0317
DPH3B	30.172	DPH3B	20.3175
DPH3	526.8243	DPH3	683.8095
DPH5	596.9591	DPH5	548.2921
DPM1	637.6812	DPM1	611.1111
DPM2	566.4887	DPM2	776.5079
DPM3	508.8567	DPM3	377.7778
DPP3	968.7126	DPP3	796.8254
DPP4	70.1754	DPP4	668.254
removed	removed	DPP6	76.1905
DPP7	1649.9703	DPP7	2180.9524
DPP8	366.1327	DPP8	279.6825
DPP9	1007.543	DPP9	1207.3016
DPT	156.9625	DPT	1536.1905
DPY19L1	653.2757	DPY19L1	541.5873
DPY19L2P2	23.0528	DPY19L2P2	13.0159
DPY19L2	48.8177	DPY19L2	89.2063
DPY19L3	515.6369	DPY19L3	274.6032
DPY19L4	885.8378	DPY19L4	665.0794
DPY30	1029.1652	DPY30	602.7016
DPYD	293.9232	DPYD	754.6032
DPYSL2	5535.7234	DPYSL2	4990.1587
DPYSL3	4098.6524	DPYSL3	4437.1429
DPYSL4	24.7479	DPYSL4	22.8571
DPYSL5	7.7973	removed	removed
removed	removed	DPYS	45.7143
DR1	1037.7151	DR1	772.0635
removed	removed	DRAM1	989.8413
DRAM2	1050.2585	DRAM2	1233.3333
DRAP1	697.0082	DRAP1	1236.1905
DRD2	13.8995	DRD2	204.7619
DRG1	1056.3607	DRG1	1206.6667
DRG2	557.6744	DRG2	783.8095
DRP2	31.1891	removed	removed
removed	removed	DSC1	26.2349
DSC2	3642.3426	DSC2	1267.3016
DSC3	355.9624	DSC3	1044.127
removed	removed	DSCAML1	20.3175
DSCC1	316.637	DSCC1	45.3968
DSCR3	827.5278	DSCR3	769.5238
DSCR6	19.3237	DSCR6	21.5873
DSEL	925.8412	DSEL	342.8571
DSE	935.7573	DSE	687.127
DSG1	36.9523	DSG1	133.9683
DSG2	10587.582	DSG2	3369.7048
DSG3	76.6167	DSG3	642.8571
DSN1	562.0815	DSN1	326.6667
DSP	25864.5648	DSP	15697.7778
DSTN	4599.3728	DSTN	12327.3016
DSTYK	1530.6382	DSTYK	717.1429
DST	4807.8651	DST	24404.7619
DTD1	631.5789	DTD1	460.3175
DTL	1225.5276	DTL	94.2857
DTNA	169.1669	DTNA	309.8413
DTNBP1	419.0186	DTNBP1	491.746
DTNB	571.9129	DTNB	729.8413
DTWD1	336.2997	DTWD1	467.3016
DTWD2	153.9113	DTWD2	148.5714
DTX1	41.3594	DTX1	162.5397
DTX2	487.1599	DTX2	381.5873
DTX3L	3250.5839	DTX3L	1425.4857
DTX3	697.0082	DTX3	839.6825
DTX4	763.7935	DTX4	391.4286
DTYMK	382.4053	DTYMK	383.1746
DULLARD	2407.6617	DULLARD	2035.2381
DUOX1	738.3677	DUOX1	309.2063
DUOX2	131.8756	DUOX2	39.3651
DUOXA1	292.7062	DUOXA1	52.8889
DUOXA2	28.677	removed	removed
DUS1L	1661.8357	DUS1L	1499.6825
DUS2L	265.4462	DUS2L	204.7619
DUS3L	570.5568	DUS3L	317.4603
DUS4L	294.7131	DUS4L	141.2889
DUSP10	37.6303	DUSP10	409.5238
DUSP11	485.8039	DUSP11	436.5079
DUSP12	343.4189	DUSP12	208.254
DUSP14	384.4394	DUSP14	478.7302
DUSP15	15.2555	DUSP15	57.4603
DUSP16	4547.843	DUSP16	3428.254
DUSP18	127.0548	DUSP18	121.2381
DUSP19	38.6473	DUSP19	82.8571
DUSP1	1060.0898	DUSP1	7709.5238
DUSP22	1331.2993	DUSP22	1039.6825
DUSP23	1505.8903	DUSP23	866.9841
removed	removed	DUSP26	10.1587
removed	removed	DUSP27	22.2222
DUSP28	67.1243	DUSP28	98.7302
DUSP2	175.6081	DUSP2	115.5556
DUSP3	1583.524	DUSP3	1939.0476
DUSP4	5059.0728	DUSP4	1204.127
DUSP5P	43.7325	removed	removed
DUSP5	546.826	DUSP5	742.5397
DUSP6	492.5841	DUSP6	3016.8254
removed	removed	DUSP7	616.1905
DUSP8	519.027	DUSP8	393.9683
DUSP9	207.4752	DUSP9	7.9365
DUT	1372.6621	DUT	1121.8952
DVL1	1038.0541	DVL1	905.0794
DVL2	779.7271	DVL2	753.3333
DVL3	3172.8113	DVL3	1626.6667
DYDC2	22.3748	DYDC2	5.7143
DYM	975.6759	DYM	711.746
DYNC1H1	13101.7883	DYNC1H1	8011.746
DYNC1I1	51.8688	DYNC1I1	47.3016
DYNC1I2	1427.2396	DYNC1I2	2329.8413
DYNC1LI1	706.8396	DYNC1LI1	872.381
DYNC1LI2	3232.8163	DYNC1LI2	3225.3968
DYNC2H1	250.5297	DYNC2H1	541.5873
DYNC2LI1	283.0748	DYNC2LI1	546.0317
DYNLL1	3561.9968	DYNLL1	3641.9048
DYNLL2	2096.7879	DYNLL2	1916.1905
DYNLRB1	1140.4356	DYNLRB1	1945.7143
removed	removed	DYNLRB2	50.7937
DYNLT1	1346.2158	DYNLT1	1471.1111
DYNLT3	493.9402	DYNLT3	855.2381
DYRK1A	1909.9924	DYRK1A	1544.127
DYRK1B	312.5689	DYRK1B	402.2222
DYRK2	429.1889	DYRK2	325.3968
DYRK3	200.356	DYRK3	260.9524
DYRK4	534.9606	DYRK4	407.619
removed	removed	DYSF	500.6349
DYX1C1	131.5366	DYX1C1	116.5079
DZIP1L	207.1362	DZIP1L	178.0952
DZIP1	452.4587	DZIP1	410.4635
DZIP3	323.0782	DZIP3	493.3333
E2F1	455.9708	E2F1	120.6349
E2F2	526.1463	E2F2	44.7619
E2F3	1204.5089	E2F3	295.873
E2F4	1142.4697	E2F4	879.6825
E2F5	156.2946	E2F5	127.9397
E2F6	498.6863	E2F6	364.7619
E2F7	212.2214	E2F7	12.381
E2F8	140.0119	E2F8	12.0635
E4F1	258.327	E4F1	432.381
EAF1	687.1769	EAF1	614.2857
EAF2	32.8841	EAF2	58.4127
EAPP	458.0049	EAPP	909.8413
EARS2	952.9621	EARS2	662.5397
EBAG9	470.5484	EBAG9	587.9365
EBF1	113.5689	EBF1	538.7302
EBF2	6.4412	EBF2	22.8571
EBF3	172.218	EBF3	124.7619
EBF4	261.3781	EBF4	664.4444
EBI3	5.7632	EBI3	78.0952
EBNA1BP2	1320.4509	EBNA1BP2	1378.0952
EBPL	244.4275	EBPL	720.3175
EBP	1701.8391	EBP	557.4603
ECD	656.3268	ECD	774.6032
ECE1	5855.7505	ECE1	14445.0794
ECE2	250.1907	ECE2	89.2063
ECEL1	29461.4798	ECEL1	201.2698
ECH1	3446.7328	ECH1	3737.4603
ECHDC1	1269.2601	ECHDC1	1141.5873
ECHDC2	519.366	ECHDC2	1606.3492
ECHDC3	494.6182	ECHDC3	521.9048
ECHS1	3668.7855	ECHS1	2454.9206
ECM1	316.298	ECM1	934.2857
ECM2	108.8228	ECM2	430.7937
ECSCR	64.4122	ECSCR	311.4286
ECSIT	861.7679	ECSIT	790.4762
ECT2L	13.8995	ECT2L	13.6508
ECT2	1987.6261	ECT2	351.4286
EDA2R	18.9847	EDA2R	140.9524
EDARADD	104.4156	EDARADD	642.8571
EDAR	6.7802	EDAR	12.381
EDA	37.2913	EDA	97.7778
EDC3	1025.8496	EDC3	740.6349
EDC4	1982.3782	EDC4	1100.5492
EDEM1	908.5516	EDEM1	1707.619
EDEM2	792.2705	EDEM2	707.9365
EDEM3	1830.6636	EDEM3	970.7937
EDF1	2264.2597	EDF1	4329.8413
EDIL3	141.7069	EDIL3	200.6349
EDN1	425.4598	EDN1	766.3492
EDN2	380.3712	EDN2	27.619
EDN3	16.6116	EDN3	576.1905
EDNRA	293.9232	EDNRA	425.7143
EDNRB	372.2349	EDNRB	1044.4444
EEA1	520.7221	EEA1	481.9048
EED	516.3149	EED	405.7143
EEF1A1P9	5146.1988	EEF1A1P9	9097.7778
EEF1A1	80037.6303	EEF1A1	159401.5873
EEF1A2	567.5057	EEF1A2	368.8889
EEF1B2	2318.8406	EEF1B2	5454.2857
EEF1D	4588.8635	EEF1D	9960.3175
EEF1E1	412.9163	EEF1E1	306.9841
EEF1G	13694.3809	EEF1G	29764.127
EEF2K	1639.122	EEF2K	1644.127
EEF2	31864.3953	EEF2	68923.1746
EEFSEC	377.2557	EEFSEC	456.4571
EEPD1	52.8858	EEPD1	482.5397
EFCAB1	8.8143	EFCAB1	239.3651
EFCAB2	127.4684	EFCAB2	158.0952
EFCAB4A	500.7204	EFCAB4A	1806.0317
EFCAB4B	15.5945	EFCAB4B	230.4762
EFCAB6	18.6456	EFCAB6	71.4286
EFCAB7	171.2009	EFCAB7	154.6032
EFEMP1	1248.5804	EFEMP1	6944.127
EFEMP2	308.1617	EFEMP2	1617.4603
EFHA1	525.1292	EFHA1	1084.7619
EFHA2	24.4088	EFHA2	62.2222
EFHC1	194.5928	EFHC1	470.4762
EFHC2	7.7973	EFHC2	23.1746
EFHD1	1223.8325	EFHD1	8862.2222
EFHD2	997.0336	EFHD2	1141.9048
EFNA1	7642.6816	EFNA1	1613.3333
EFNA3	586.0056	EFNA3	204.7619
EFNA4	768.6855	EFNA4	388.5714
EFNA5	1031.2738	EFNA5	613.6508
EFNB1	439.3593	EFNB1	810.4762
EFNB2	1912.0264	EFNB2	813.9683
EFNB3	532.9265	EFNB3	474.2857
EFR3A	1051.6145	EFR3A	1454.6032
EFR3B	1779.1338	EFR3B	87.3016
EFS	1016.6963	EFS	1349.5238
EFTUD1	1652.3434	EFTUD1	792.6984
EFTUD2	3316.2132	EFTUD2	1684.9968
EGFL6	73.5656	EGFL6	66.3492
EGFL7	135.2657	EGFL7	759.3651
EGFL8	75.0199	EGFL8	198.8
EGFLAM	473.5995	EGFLAM	898.7302
EGFR	1036.3556	EGFR	610.1556
EGF	16.2726	EGF	302.5397
EGLN1	1595.7285	EGLN1	867.619
EGLN2	950.5111	EGLN2	2001.2698
EGLN3	1301.1272	EGLN3	222.2222
EGOT	7.7973	EGOT	42.2222
EGR1	1537.7574	EGR1	6507.9365
EGR2	85.431	EGR2	522.2222
EGR3	52.2078	EGR3	815.873
EHBP1L1	713.6198	EHBP1L1	1629.2063
EHBP1	759.6203	EHBP1	959.6444
EHD1	1164.1665	EHD1	975.5556
EHD2	673.9554	EHD2	3964.7619
EHD3	186.4565	EHD3	794.9206
EHD4	646.8345	EHD4	1469.8413
EHF	1306.2124	EHF	2896.1905
EHHADH	530.5534	EHHADH	262.5397
EHMT1	943.4698	EHMT1	1295.2381
EHMT2	2030.3416	EHMT2	1339.6825
EI24	2340.8763	EI24	2780
EID1	2447.326	EID1	3665.0794
EID2B	26.1039	EID2B	54.9206
EID2	246.8006	EID2	336.5079
EID3	30.8501	EID3	89.8413
EIF1AD	462.7511	EIF1AD	480
EIF1AX	1275.0233	EIF1AX	2173.6508
EIF1B	579.0321	EIF1B	984.4444
EIF1	13158.0642	EIF1	13494.6032
EIF2AK1	8795.4132	EIF2AK1	3372.3683
EIF2AK2	1015.6793	EIF2AK2	314.9206
EIF2AK3	1262.1409	EIF2AK3	842.5397
EIF2AK4	881.0916	EIF2AK4	1758.4127
EIF2A	1735.7403	EIF2A	2014.2857
EIF2B1	1127.2142	EIF2B1	1272.0635
EIF2B2	393.9317	EIF2B2	567.9365
EIF2B3	775.998	EIF2B3	748.254
EIF2B4	567.5057	EIF2B4	967.619
EIF2B5	1331.6383	EIF2B5	1554.9206
EIF2C1	929.5703	EIF2C1	845.0794
EIF2C2	278.3287	EIF2C2	88.254
EIF2C3	176.6251	EIF2C3	98.7302
EIF2C4	608.1871	EIF2C4	309.2063
EIF2S1	1575.0487	EIF2S1	1636.1905
EIF2S2	1345.5378	EIF2S2	1602.2222
EIF2S3	3540.639	EIF2S3	4979.3651
EIF3A	8200.017	EIF3A	6329.2063
EIF3B	10261.2086	EIF3B	4071.4286
EIF3CL	9963.3596	EIF3CL	7771.327
EIF3C	752.1248	EIF3C	177.5619
EIF3D	3437.5795	EIF3D	6693.9683
EIF3E	4806.509	EIF3E	8330.1587
EIF3F	1545.5547	EIF3F	3862.8571
EIF3G	2404.5834	EIF3G	3849.0095
EIF3H	3013.1367	EIF3H	5178.0952
EIF3I	3877.0065	EIF3I	4550.8508
EIF3J	2072.379	EIF3J	1740.6349
EIF3K	2957.8778	EIF3K	3721.5873
EIF3L	3668.1075	EIF3L	11839.0476
EIF3M	2246.8446	EIF3M	3124.4794
EIF4A1	14837.8032	EIF4A1	12478.5016
EIF4A2	6437.8337	EIF4A2	8407.3016
EIF4A3	2704.636	EIF4A3	2237.1429
EIF4B	5626.948	EIF4B	10220.2667
EIF4E2	983.4732	EIF4E2	1245.7143
EIF4E3	618.3575	EIF4E3	984.127
EIF4EBP1	833.291	EIF4EBP1	462.8571
EIF4EBP2	6263.5817	EIF4EBP2	3656.1905
EIF4EBP3	245.0208	EIF4EBP3	381.6476
EIF4ENIF1	549.8771	EIF4ENIF1	736.5079
EIF4E	462.4121	EIF4E	463.1746
EIF4G1	15806.4243	EIF4G1	7933.9683
EIF4G2	20154.9284	EIF4G2	16578.0952
EIF4G3	1702.1782	EIF4G3	1859.3651
EIF4H	6310.7043	EIF4H	5676.5079
EIF5A2	114.586	EIF5A2	111.4286
EIF5AL1	2302.229	EIF5AL1	1118.7302
EIF5A	6989.4059	EIF5A	4146.9841
EIF5B	3918.6372	EIF5B	3983.1746
EIF5	4282.0578	EIF5	3902.8571
EIF6	1681.8374	EIF6	2208.8889
ELAC1	168.4583	ELAC1	158.3302
ELAC2	2150.0127	ELAC2	1856.5079
removed	removed	ELANE	9.2063
ELAVL1	3374.5233	ELAVL1	1508.5714
ELAVL2	90.5161	ELAVL2	6.6667
ELF1	1475.0403	ELF1	1472.381
ELF2	1180.778	ELF2	733.6508
ELF3	3870.1585	ELF3	2809.8413
ELF4	1534.7063	ELF4	331.1111
ELF5	1908.9753	ELF5	1239.6825
ELFN1	37.2913	ELFN1	43.4921
ELK1	1189.9314	ELK1	643.8095
ELK3	303.7546	ELK3	320
ELK4	265.7852	ELK4	70.4762
ELL2	2346.9786	ELL2	1728.8889
ELL3	247.5769	ELL3	204.8794
ELL	443.4274	ELL	599.0476
ELMO1	374.608	ELMO1	514.9206
ELMO2	604.119	ELMO2	1143.4921
ELMO3	545.809	ELMO3	655.873
ELMOD2	296.9743	ELMOD2	190.7937
ELMOD3	157.9795	ELMOD3	620.3175
ELN	2223.9173	ELN	1843.1746
ELOF1	922.4511	ELOF1	883.4921
ELOVL1	2137.1303	ELOVL1	1519.0476
ELOVL2	43.7325	ELOVL2	372.381
ELOVL3	145.4361	ELOVL3	7.3016
ELOVL4	371.8959	ELOVL4	30.4762
ELOVL5	2435.4606	ELOVL5	11307.619
ELOVL6	1153.9961	ELOVL6	207.619
ELOVL7	839.0542	ELOVL7	302.8571
ELP2P	42.0375	ELP2P	13.6508
ELP2	1718.4507	ELP2	4161.5873
ELP3	834.647	ELP3	882.5397
ELP4	183.4054	ELP4	203.1746
ELTD1	440.0373	ELTD1	1185.3968
EMB	538.0117	EMB	906.9841
EMCN	204.7631	EMCN	1046.6667
EMD	1538.7745	EMD	1218.0952
EME1	162.5934	EME1	26.2571
EME2	8.1363	EME2	15.2381
EMG1	816.6794	EMG1	553.6508
EMID1	238.3253	EMID1	484.4444
removed	removed	EMID2	21.5873
EMILIN1	599.0338	EMILIN1	2604.7619
EMILIN2	216.9675	EMILIN2	821.9048
removed	removed	EMILIN3	158.7587
EML1	96.2793	EML1	294.6032
EML2	1148.9347	EML2	1154.2667
EML3	522.4172	EML3	1209.8413
EML4	1650.6484	EML4	1095.873
EML5	59.6661	EML5	46.0317
EML6	32.8841	EML6	43.1746
EMP1	1788.6262	EMP1	6309.5238
EMP2	5936.4353	EMP2	5774.2857
EMP3	224.0868	EMP3	602.5397
removed	removed	EMR1	43.8095
EMR2	88.1431	EMR2	143.8095
EMX2OS	20.3407	EMX2OS	97.1429
EMX2	6.7802	EMX2	38.4127
EN1	9.4923	EN1	27.9365
removed	removed	EN2	11.4286
ENAH	5956.098	ENAH	2337.7778
ENC1	1152.6604	ENC1	507.3016
ENDOD1	1717.4337	ENDOD1	1927.3016
ENDOG	320.8984	ENDOG	241.7016
ENDOU	6.1022	ENDOU	19.0476
ENGASE	354.2673	ENGASE	524.7619
ENG	1886.9396	ENG	4860.6349
ENHO	86.448	ENHO	50.4762
ENKUR	6.4412	removed	removed
ENO1	69874.0571	ENO1	16480
ENO2	710.2297	ENO2	475.873
ENO3	41.6984	ENO3	60.6349
ENOPH1	1200.7797	ENOPH1	774.2857
ENOSF1	283.1765	ENOSF1	730.1397
ENOX1	64.0732	ENOX1	42.2222
ENOX2	582.0832	ENOX2	284.127
ENPEP	212.5604	ENPEP	269.8413
ENPP1	433.5961	ENPP1	1760.6349
ENPP2	297.3133	ENPP2	2297.4603
removed	removed	ENPP3	25.0794
ENPP4	303.7546	ENPP4	352.0635
ENPP5	293.2452	ENPP5	612.0635
ENPP6	42.7155	ENPP6	46.6667
ENSA	4622.4256	ENSA	4748.5714
ENTPD1	987.5413	ENTPD1	1473.0159
ENTPD2	858.0388	ENTPD2	321.9048
ENTPD3	12.2044	ENTPD3	100.6349
ENTPD4	519.366	ENTPD4	475.5556
ENTPD5	220.8391	ENTPD5	255.981
ENTPD6	2150.6907	ENTPD6	1661.5873
ENTPD7	388.955	ENTPD7	236.2413
ENTPD8	16.2726	ENTPD8	13.9683
ENY2	670.2263	ENY2	546.3492
EOMES	7.7973	EOMES	16.8254
EP300	1551.6569	EP300	1789.8413
EP400NL	105.7717	EP400NL	93.6508
EP400	1522.5019	EP400	1400
EPAS1	7686.4141	EPAS1	6715.2381
EPB41L1	2138.1473	EPB41L1	1803.4921
EPB41L2	4901.0933	EPB41L2	2083.1746
EPB41L3	206.4582	EPB41L3	877.1429
EPB41L4A	727.8583	EPB41L4A	654.6032
EPB41L4B	525.1292	EPB41L4B	562.5397
EPB41L5	270.5314	EPB41L5	630.4762
EPB41	1356.1556	EPB41	1074.9683
removed	removed	EPB42	8.8889
EPB49	752.9452	EPB49	685.0794
EPC1	494.9572	EPC1	405.3968
EPC2	473.5995	EPC2	620.3175
EPCAM	9132.9774	EPCAM	3667.9365
EPDR1	217.3066	EPDR1	461.2698
EPGN	55.5979	removed	removed
EPHA10	25.4259	EPHA10	118.7302
EPHA1	590.8975	EPHA1	449.5238
EPHA2	476.3116	EPHA2	552.0635
EPHA3	11.8654	EPHA3	42.5397
EPHA4	54.9199	EPHA4	359.6825
removed	removed	EPHA6	5.7143
EPHA7	65.0903	EPHA7	26.9841
EPHB1	15.5945	EPHB1	397.7778
EPHB2	114.925	EPHB2	114.9206
EPHB3	2036.7828	EPHB3	896.1905
EPHB4	4272.9045	EPHB4	2706.3492
EPHB6	1076.3624	EPHB6	332.381
EPHX1	976.6929	EPHX1	3369.8413
EPHX2	221.3747	EPHX2	1136.8254
removed	removed	EPHX3	20
EPHX4	68.8194	EPHX4	25.7143
EPM2AIP1	568.1837	EPM2AIP1	1190.1587
EPM2A	227.1379	EPM2A	184.7619
EPN1	2576.1505	EPN1	1953.9683
EPN2	880.4136	EPN2	1050.7937
EPN3	455.6318	EPN3	291.1111
EPOR	46.7735	EPOR	97.0984
EPPK1	1811.0009	EPPK1	549.2063
EPR1	474.9148	EPR1	51.1619
EPRS	7727.0955	EPRS	2791.4286
EPS15L1	1106.8735	EPS15L1	707.619
EPS15	1453.0045	EPS15	1580
EPS8L1	412.2383	EPS8L1	780.9524
EPS8L2	2580.5577	EPS8L2	2192.381
EPS8	964.1495	EPS8	1471.746
EPSTI1	156.6234	EPSTI1	201.2698
EPT1	2253.7503	EPT1	683.8095
EPX	5.4242	removed	removed
ERAL1	1612.679	ERAL1	889.8413
ERAP1	2583.8461	ERAP1	1485.5619
ERAP2	831.9349	ERAP2	1001.2698
ERBB2IP	4646.1565	ERBB2IP	1660.3175
ERBB2	7516.2302	ERBB2	6752.0635
ERBB3	4233.9181	ERBB3	4038.7302
ERBB4	75.5996	ERBB4	978.4127
ERC1	2680.5661	ERC1	1233.3333
ERC2	15.2555	ERC2	53.0159
ERCC1	813.0486	ERCC1	1132.7492
ERCC2	288.9262	ERCC2	468.254
ERCC3	1015.3403	ERCC3	1161.9048
ERCC4	401.0509	ERCC4	219.3651
ERCC5	1378.6456	ERCC5	1609.5238
ERCC6L	344.775	ERCC6L	36.5079
ERCC6	243.7902	ERCC6	224.8667
ERCC8	180.3543	ERCC8	133.3333
EREG	293.2452	EREG	33.9683
ERF	773.2859	ERF	1140.9524
ERGIC1	1833.0367	ERGIC1	4053.9683
ERGIC2	956.0132	ERGIC2	685.3968
ERGIC3	6855.8352	ERGIC3	5513.9683
ERG	268.1583	ERG	745.0794
ERH	1669.972	ERH	1745.3968
ERI1	224.4258	ERI1	275.2381
ERI2	515.7657	ERI2	387.0127
ERI3	1275.3623	ERI3	920
ERICH1	141.7069	ERICH1	262.2222
