gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
ACO2	3147.7841	ACO2	2075.0928
ACOT11	49.6891	ACOT11	24.3116
ACOT13	733.1201	ACOT13	462.9694
ACOT1	493.2094	ACOT1	492.4471
ACOT2	407.4339	ACOT2	293.9145
ACOT4	103.6455	ACOT4	139.836
ACOT7	783.7741	ACOT7	189.0375
ACOT8	330.2966	ACOT8	202.6672
ACOT9	571.4796	ACOT9	361.6746
ACOX1	2309.3245	ACOX1	1516.1847
ACOX2	489.6355	ACOX2	197.6694
ACOX3	537.8842	ACOX3	655.5891
ACP1	1704.4317	ACP1	1464.8252
ACP2	675.1251	ACP2	753.129
ACP5	1740.1716	ACP5	466.9832
ACP6	209.7927	ACP6	371.6012
ACPL2	486.4189	ACPL2	615.451
ACPP	131.5225	ACPP	33.2326
ACRBP	23.5883	ACRBP	15.9689
ACRC	30.7362	ACRC	37.5486
ACSBG1	6.0758	ACSBG1	11.2214
ACSF2	330.2359	ACSF2	910.2719
ACSF3	276.9836	ACSF3	419.0764
ACSL1	6256.2545	ACSL1	2943.893
ACSL3	13155.4682	ACSL3	3984.4627
ACSL4	940.3145	ACSL4	1211.912
ACSL5	602.5733	ACSL5	835.5632
ACSL6	23.2309	ACSL6	10.3582
ACSM1	6.4332	ACSM1	195.0798
ACSM3	22.1301	ACSM3	261.735
ACSM5	42.8878	ACSM5	86.3185
ACSS1	1603.6455	ACSS1	924.4713
ACSS2	686.9192	ACSS2	1429.003
ACSS3	268.0486	ACSS3	283.5563
ACTA1	20.7291	removed	removed
ACTA2	3933.7848	ACTA2	20196.858
ACTBL2	6.7906	ACTBL2	5.1791
ACTB	141621.5154	ACTB	52215.7963
ACTG1	70814.8678	ACTG1	42594.303
ACTG2	998.5704	ACTG2	2975.3992
ACTL6A	875.268	ACTL6A	920.1554
ACTN1	5942.4589	ACTN1	7439.7928
ACTN2	58.9707	removed	removed
ACTN4	9000.4467	ACTN4	8741.1912
ACTR10	871.3367	ACTR10	1072.9391
ACTR1A	4244.8177	ACTR1A	1816.1416
ACTR1B	1115.797	ACTR1B	1291.325
ACTR2	11693.7098	ACTR2	4955.9776
ACTR3B	189.421	ACTR3B	339.6634
ACTR3C	18.2273	ACTR3C	34.959
ACTR3	6723.0164	ACTR3	2902.0285
ACTR5	131.5225	ACTR5	242.555
ACTR6	581.1294	ACTR6	734.5706
ACTR8	471.4081	ACTR8	582.65
ACVR1B	1561.8299	ACVR1B	1287.4407
ACVR1C	172.9807	ACVR1C	266.7242
ACVR1	1253.0379	ACVR1	1171.3423
ACVR2A	555.7541	ACVR2A	852.3953
ACVR2B	403.1451	ACVR2B	486.4048
ACVRL1	751.9657	ACVRL1	344.8425
