gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
CENPK	60.0429	CENPK	49.2016
CENPL	271.98	CENPL	96.2451
CENPM	39.6712	CENPM	33.2326
CENPN	411.9907	CENPN	152.4946
CENPO	165.7505	CENPO	85.8869
CENPP	64.4568	CENPP	56.0768
CENPQ	88.6347	CENPQ	127.7514
CENPT	192.995	CENPT	618.4722
CENPV	83.6312	CENPV	175.6582
CENPW	183.3452	CENPW	96.6767
CEP110	587.2051	CEP110	966.7674
CEP120	417.7984	CEP120	885.1964
CEP135	234.0958	CEP135	359.085
CEP152	74.3388	CEP152	152.7838
CEP164	497.4982	CEP164	868.3643
CEP170	1280.9149	CEP170	1152.3522
CEP192	574.6962	CEP192	981.0099
CEP250	840.6004	CEP250	851.5322
CEP290	296.5046	CEP290	874.3807
CEP350	1972.4803	CEP350	1923.1765
CEP55	455.6826	CEP55	47.9068
CEP57	622.5876	CEP57	1213.6383
CEP63	508.2952	CEP63	759.1152
CEP68	741.2437	CEP68	1460.5093
CEP70	344.8892	CEP70	337.0738
CEP72	28.5919	CEP72	112.6457
CEP76	133.3095	CEP76	182.9953
CEP78	195.4968	CEP78	318.9469
CEP97	231.594	CEP97	212.7751
CEPT1	736.955	CEPT1	848.9426
CERCAM	1345.9614	CERCAM	522.227
CERKL	91.9407	CERKL	49.5857
CERK	613.2952	CERK	746.6552
CES1	575.0536	CES1	460.0777
CES2	747.6769	CES2	1238.6707
CES3	178.6991	CES3	113.9404
CES8	18.9421	CES8	140.6992
CETN2	2152.2516	CETN2	974.1044
CETN3	213.7241	CETN3	347.432
CETP	55.3967	removed	removed
CFB	9195.6576	CFB	1053.9491
CFDP1	863.8313	CFDP1	889.5123
CFD	1129.0207	CFD	710.4014
CFH	2715.1537	CFH	520.0691
CFI	610.0786	CFI	557.186
CFL1	18290.5647	CFL1	6642.2098
CFL2	235.5254	CFL2	564.9547
CFLAR	1181.9157	CFLAR	1109.1929
removed	removed	CFLP1	6.4739
CFP	93.9957	CFP	18.1269
CFTR	15.0107	CFTR	88.4765
CG030	12.1515	CG030	96.6767
removed	removed	CGB7	13.4139
CGGBP1	2528.6312	CGGBP1	2920.1683
CGNL1	2055.7541	CGNL1	2894.6914
CGN	278.7706	CGN	1337.937
CGREF1	115.2966	CGREF1	280.2072
CGRRF1	161.544	CGRRF1	248.5973
CH25H	165.1179	CH25H	15.5373
CHAC1	26.0901	CHAC1	18.1269
CHAC2	41.8156	CHAC2	22.0112
CHADL	46.4618	CHADL	81.571
CHAD	31.0936	CHAD	1005.9991
CHAF1A	374.9107	CHAF1A	372.896
CHAF1B	349.178	CHAF1B	202.8485
CHCHD10	413.5096	CHCHD10	195.943
CHCHD1	487.4911	CHCHD1	322.8312
CHCHD2	4526.8049	CHCHD2	2397.4968
CHCHD3	756.9693	CHCHD3	529.1325
CHCHD4	233.381	CHCHD4	242.9866
CHCHD5	216.9407	CHCHD5	154.0785
CHCHD6	126.8763	CHCHD6	113.0773
CHCHD7	192.2802	CHCHD7	430.7294
CHCHD8	696.9264	CHCHD8	466.9832
CHD1L	757.6841	CHD1L	980.1467
CHD1	855.9685	CHD1	1492.4471
CHD2	2087.2051	CHD2	4072.076
CHD3	4490.3503	CHD3	4950.3669
CHD4	8752.5768	CHD4	6169.7626
CHD5	12.1515	removed	removed
CHD6	1586.4904	CHD6	3145.4467
CHD7	635.0965	CHD7	1074.6655
CHD8	1734.8106	CHD8	2681.0531
CHD9	960.6862	CHD9	2641.7782
CHDH	353.4668	CHDH	1328.0104
CHEK1	299.4996	CHEK1	116.9616
CHEK2	140.1001	CHEK2	202.8485
CHERP	845.1966	CHERP	1283.5132
CHFR	538.599	CHFR	370.3064
CHGB	6.7906	removed	removed
CHI3L1	1213.0093	CHI3L1	1180.8373
CHI3L2	191.5654	CHI3L2	749.2447
CHIC1	150.4646	CHIC1	437.2033
CHIC2	190.8506	CHIC2	231.3336
CHID1	1704.0743	CHID1	1296.9357
CHIT1	833.4525	CHIT1	97.1083
CHKA	350.6076	CHKA	1410.4445
CHKB-CPT1B	66.5404	CHKB-CPT1B	570.4057
CHKB	132.4017	CHKB	275.9948
CHL1	350.6076	CHL1	681.9163
CHML	1969.9786	CHML	744.0656
CHMP1A	2007.8628	CHMP1A	1394.4756
CHMP1B	1701.5726	CHMP1B	1569.2706
CHMP2A	1752.3231	CHMP2A	1167.8895
CHMP2B	1272.3374	CHMP2B	1097.9715
CHMP4A	825.143	CHMP4A	825.7229
CHMP4B	2691.5654	CHMP4B	2411.3077
CHMP4C	111.5082	CHMP4C	757.445
CHMP5	1247.6519	CHMP5	1193.3535
CHMP6	403.8599	CHMP6	384.1174
CHMP7	1209.0779	CHMP7	1128.183
CHM	637.9557	CHM	769.5296
CHN1	549.6783	CHN1	182.1321
CHN2	138.6705	CHN2	57.8334
CHODL	16.4403	CHODL	25.0324
CHORDC1	408.5061	CHORDC1	502.3738
CHPF2	1755.8971	CHPF2	873.1118
CHPF	3802.3588	CHPF	1103.5822
CHPT1	668.3345	CHPT1	2536.8494
CHP	5182.6305	CHP	2484.2469
CHRAC1	300.2144	CHRAC1	497.6262
CHRDL1	1260.5432	CHRDL1	1336.6422
CHRDL2	8.935	CHRDL2	6.9055
CHRD	77.198	CHRD	75.5287
CHRFAM7A	10.7219	CHRFAM7A	22.5809
CHRM1	82.559	CHRM1	318.5153
removed	removed	CHRM3	37.9801
CHRM4	6.4332	removed	removed
CHRM5	8.2202	removed	removed
CHRNA10	9.2924	CHRNA10	9.9266
CHRNA1	32.5232	CHRNA1	5.6107
removed	removed	CHRNA2	6.9055
CHRNA3	11.0793	removed	removed
CHRNA5	332.3803	CHRNA5	50.0647
CHRNB1	161.1472	CHRNB1	159.6893
removed	removed	CHRNB2	64.7389
CHRNE	15.7934	CHRNE	24.2426
CHST10	237.6698	CHST10	251.6185
CHST11	213.3667	CHST11	54.3807
CHST12	348.4632	CHST12	170.4791
CHST13	8.5776	removed	removed
CHST14	646.8906	CHST14	418.6448
CHST15	1657.6126	CHST15	941.3034
CHST1	1949.9643	CHST1	29.7799
CHST2	166.5475	CHST2	293.9145
CHST3	525.3753	CHST3	1528.2693
removed	removed	CHST4	58.265
removed	removed	CHST5	11.6573
CHST6	52.5375	CHST6	19.8533
CHST7	103.6455	CHST7	74.6655
CHST8	39.3138	CHST8	135.9517
CHST9	9.6497	CHST9	562.7967
CHSY1	2007.8628	CHSY1	2866.2063
CHSY3	141.8871	CHSY3	39.7065
CHTF18	147.9628	CHTF18	247.3025
CHTF8	2328.624	CHTF8	2502.8054
CHUK	727.3052	CHUK	572.2918
CHURC1	1329.2244	CHURC1	1716.8753
CIAO1	1776.2688	CIAO1	1844.6267
CIAPIN1	893.4954	CIAPIN1	681.0531
CIB1	2865.2609	CIB1	1018.1269
CIB2	95.0679	CIB2	39.2749
CIC	1380.2716	CIC	1926.1977
CIDEA	56.4689	CIDEA	63.4441
CIDEB	187.8985	CIDEB	409.4864
CIDECP	110.436	CIDECP	84.1606
CIDEC	456.7548	CIDEC	395.7704
CIITA	428.5204	CIITA	236.0811
CILP2	191.5654	CILP2	15.5373
CILP	11295.9257	CILP	304.2728
CINP	353.8242	CINP	313.7678
CIR1	908.8635	CIR1	1052.6543
CIRBP	2194.4246	CIRBP	7346.1372
CIRH1A	622.945	CIRH1A	1009.495
CISD1	424.2316	CISD1	258.524
CISD2	634.0207	CISD2	388.8649
CISD3	1255.8792	CISD3	415.1101
CISH	823.8027	CISH	965.041
CITED1	46.1044	CITED1	1412.1709
CITED2	1623.6598	CITED2	3326.284
CITED4	91.8513	CITED4	1073.3707
CIT	418.5132	CIT	173.0686
CIZ1	1392.7806	CIZ1	1957.2723
CKAP2L	234.4532	CKAP2L	23.7376
CKAP2	466.762	CKAP2	439.3612
CKAP4	5116.1544	CKAP4	1723.7808
CKAP5	3645.8184	CKAP5	2407.4234
CKB	2308.792	CKB	201.5537
CKLF	513.9385	CKLF	216.2279
CKMT1A	1107.5768	CKMT1A	157.9629
CKMT1B	1319.1565	CKMT1B	368.1485
CKMT2	27.5197	CKMT2	67.76
CKM	6.7906	removed	removed
CKS1B	983.5597	CKS1B	462.2356
CKS2	377.055	CKS2	124.2987
CLASP1	1647.6054	CLASP1	1795.4251
CLASP2	941.7441	CLASP2	1589.1239
CLCA2	7025.3753	CLCA2	45.3172
removed	removed	CLCA4	138.1096
CLCC1	1293.1916	CLCC1	1026.4264
CLCF1	104.3603	CLCF1	56.5386
CLCN1	8.5776	CLCN1	5.6107
CLCN2	74.3388	CLCN2	77.2551
CLCN3	2761.258	CLCN3	2047.4752
CLCN4	127.9485	CLCN4	135.0885
CLCN5	269.4782	CLCN5	130.341
CLCN6	238.3846	CLCN6	676.3056
CLCN7	2198.356	CLCN7	1161.4156
CLCNKA	5.361	CLCNKA	10.7898
removed	removed	CLDN10	46.4048
CLDN11	246.6047	CLDN11	1090.2028
CLDN12	1196.569	CLDN12	1435.0453
CLDN14	10.0071	removed	removed
CLDN15	151.1794	CLDN15	134.2253
removed	removed	CLDN19	265.861
CLDN1	2443.5311	CLDN1	406.9918
CLDN23	196.9264	CLDN23	137.678
CLDN25	7.8628	removed	removed
CLDN2	10.3645	CLDN2	8.2003
CLDN3	1686.9192	CLDN3	706.0855
CLDN4	4461.0436	CLDN4	4935.6927
CLDN5	397.0693	CLDN5	320.6733
CLDN7	3391.7084	CLDN7	1280.5352
CLDN8	218.0129	CLDN8	1342.2529
CLDN9	18.2273	removed	removed
CLDND1	973.1951	CLDND1	1208.0276
CLEC10A	273.4096	CLEC10A	54.8123
CLEC11A	292.7091	CLEC11A	106.1718
CLEC12A	30.3788	CLEC12A	19.4217
CLEC14A	666.5475	CLEC14A	378.5067
CLEC16A	817.0122	CLEC16A	875.7013
CLEC17A	18.5847	removed	removed
removed	removed	CLEC18A	6.4264
CLEC1A	96.8549	CLEC1A	93.224
CLEC2B	277.341	CLEC2B	167.4579
CLEC2D	542.5304	CLEC2D	472.5939
CLEC3A	211.5797	CLEC3A	9.0634
CLEC3B	332.0229	CLEC3B	315.4942
CLEC4A	59.3281	CLEC4A	40.5697
CLEC4C	10.0071	removed	removed
CLEC4E	33.238	CLEC4E	8.2003
CLEC4F	8.935	CLEC4F	53.0859
CLEC5A	44.6748	CLEC5A	13.3794
CLEC7A	162.2588	CLEC7A	153.2154
CLEC9A	15.0107	CLEC9A	15.9689
CLECL1	25.0179	CLECL1	6.0423
CLGN	238.742	CLGN	100.5611
CLIC1	7147.248	CLIC1	3089.3397
CLIC2	498.213	CLIC2	293.9145
CLIC3	28.5919	CLIC3	6.0423
CLIC4	7039.6712	CLIC4	5511.0056
CLIC5	202.6447	CLIC5	235.218
CLIC6	906.0043	CLIC6	784.2037
CLINT1	3261.6154	CLINT1	1866.6379
CLIP1	2853.1094	CLIP1	2236.0811
CLIP2	383.1308	CLIP2	453.6038
CLIP3	380.629	CLIP3	563.2283
CLIP4	196.569	CLIP4	894.6914
CLK1	846.3188	CLK1	3557.186
CLK2P	11.4367	CLK2P	14.6741
CLK2	714.7963	CLK2	838.5844
CLK3	685.1322	CLK3	844.6267
CLK4	235.8828	CLK4	994.8209
CLLU1OS	6.4332	removed	removed
CLLU1	5.8327	removed	removed
CLMN	1976.0543	CLMN	2413.8973
CLN3	1836.669	CLN3	972.6931
CLN5	546.1044	CLN5	702.2011
CLN6	898.1415	CLN6	606.3876
CLN8	406.0043	CLN8	390.5913
CLNS1A	1503.9314	CLNS1A	1408.2866
CLOCK	654.0386	CLOCK	510.574
CLP1	235.168	CLP1	224.8597
CLPB	311.6512	CLPB	252.0501
CLPP	661.544	CLPP	435.9085
CLPTM1L	4139.7427	CLPTM1L	1368.1485
CLPTM1	3879.1994	CLPTM1	1989.2102
CLPX	711.9371	CLPX	1081.1394
CLSPN	220.1573	CLSPN	23.7376
CLSTN1	7609.0064	CLSTN1	5953.8196
CLSTN2	154.0386	CLSTN2	328.8735
CLSTN3	2461.0436	CLSTN3	1060.423
CLTA	1197.9986	CLTA	1467.8464
CLTB	1432.0944	CLTB	612.8615
CLTCL1	105.4325	CLTCL1	98.8347
CLTC	18778.0558	CLTC	8919.2922
CLUAP1	196.569	CLUAP1	546.284
CLUL1	49.6783	CLUL1	101.4243
CLU	6049.3209	CLU	14981.0099
CLVS1	7.2838	removed	removed
CLYBL	40.0286	CLYBL	126.4566
CMA1	11.4367	removed	removed
CMAH	146.8906	CMAH	256.7976
CMAS	584.7034	CMAS	765.2136
CMBL	1807.3624	CMBL	740.6129
CMC1	162.9736	CMC1	81.571
CMIP	1471.4081	CMIP	1213.2067
CMKLR1	486.0615	CMKLR1	186.0164
CMPK1	4181.9157	CMPK1	4207.596
CMPK2	256.9693	CMPK2	64.7389
CMTM1	278.7706	CMTM1	117.8248
CMTM3	1838.456	CMTM3	826.9314
CMTM4	2315.5826	CMTM4	1550.2805
removed	removed	CMTM5	20.2849
CMTM6	4314.8678	CMTM6	3276.2192
CMTM7	289.1351	CMTM7	1205.8697
CMTM8	327.0193	CMTM8	207.1644
CMYA5	225.1608	CMYA5	2065.1705
CN5H6.4	5.0036	CN5H6.4	7.3371
CNBP	6244.4603	CNBP	8069.918
CNDP2	4432.8091	CNDP2	3301.6832
CNFN	38.2416	CNFN	31.5063
CNGA1	46.4618	CNGA1	39.2749
removed	removed	CNGA4	6.9055
CNGB1	6.7906	removed	removed
removed	removed	CNGB3	6.4739
CNIH2	141.5297	CNIH2	9.495
CNIH3	106.1472	CNIH3	54.8123
CNIH4	1871.6941	CNIH4	492.8787
CNIH	1774.8392	CNIH	1054.8123
CNKSR1	465.6898	CNKSR1	548.9858
CNKSR2	5.0036	CNKSR2	14.2426
CNKSR3	294.1387	CNKSR3	324.9892
CNN1	167.2623	CNN1	2632.2831
CNN2	3348.1058	CNN2	2793.2672
CNN3	3521.0865	CNN3	5107.8981
CNNM1	35.3824	CNNM1	66.4653
CNNM2	117.9414	CNNM2	162.2788
CNNM3	753.0379	CNNM3	1059.1282
CNNM4	959.9714	CNNM4	857.5744
CNOT10	509.2924	CNOT10	750.5395
CNOT1	6540.7756	CNOT1	5748.8865
CNOT2	1294.1387	CNOT2	1657.3155
CNOT3	817.7269	CNOT3	913.2499
CNOT4	461.7584	CNOT4	626.6724
CNOT6L	1207.6483	CNOT6L	2133.7937
CNOT6	2124.0172	CNOT6	1469.5727
CNOT7	1065.4039	CNOT7	2013.3794
CNOT8	2837.0264	CNOT8	1834.7
CNO	335.9543	CNO	211.0488
CNPY2	1190.4932	CNPY2	1073.3707
CNPY3	1197.9986	CNPY3	976.2624
CNPY4	343.4596	CNPY4	299.9568
CNP	3707.9736	CNP	1748.9124
CNR1	755.1823	CNR1	72.9391
CNR2	20.7291	removed	removed
CNRIP1	242.6733	CNRIP1	146.7415
CNST	1037.1694	CNST	786.7933
CNTD1	11.2938	CNTD1	71.6918
CNTD2	42.5304	CNTD2	26.3271
CNTFR	63.9743	CNTFR	106.6034
CNTF	11.8549	CNTF	15.1057
CNTLN	127.5911	CNTLN	277.9456
CNTN1	166.9049	CNTN1	211.4804
CNTN2	6.4332	CNTN2	45.3172
CNTN3	49.6783	CNTN3	77.6867
CNTN4	41.4582	CNTN4	201.1221
removed	removed	CNTN6	12.5162
CNTNAP1	175.8399	CNTNAP1	104.4454
CNTNAP2	948.8921	CNTNAP2	9.9266
CNTNAP3	25.0179	CNTNAP3	315.4942
CNTNAP4	6.4332	removed	removed
CNTROB	442.4589	CNTROB	891.2387
COASY	603.2881	COASY	1464.3936
COBLL1	2171.5511	COBLL1	1228.7441
COBL	926.7334	COBL	2565.8179
COBRA1	1219.4425	COBRA1	1164.0052
COCH	36.0972	COCH	10.8071
COG1	738.3881	COG1	808.5283
COG2	866.3331	COG2	755.287
COG3	582.2016	COG3	1408.7182
COG4	972.8377	COG4	1271.9033
COG5	991.2652	COG5	1125.7574
COG6	424.589	COG6	851.1006
COG7	718.3703	COG7	736.7285
COG8	382.6662	COG8	458.6836
COIL	506.4332	COIL	692.7061
COL10A1	1543.2452	COL10A1	7.7687
COL11A1	971.0508	COL11A1	110.0561
COL11A2	5.361	COL11A2	45.7488
COL12A1	9541.8156	COL12A1	2258.9555
COL13A1	79.3424	COL13A1	48.3384
COL14A1	4709.0779	COL14A1	4678.0319
COL15A1	5397.7841	COL15A1	1948.6405
COL16A1	1750.5361	COL16A1	2291.325
removed	removed	COL17A1	8365.1273
COL18A1	6336.3117	COL18A1	2448.4247
COL1A1	110344.8892	COL1A1	13771.6875
COL1A2	88227.3052	COL1A2	15378.5067
COL21A1	141.1723	COL21A1	96.6767
COL22A1	46.1044	COL22A1	32.801
COL23A1	15.7255	COL23A1	86.7501
COL24A1	37.5268	COL24A1	7.7687
COL25A1	8.5776	COL25A1	43.1593
COL27A1	56.1115	COL27A1	889.5123
COL28A1	5.361	COL28A1	79.8446
removed	removed	COL2A1	162.7104
COL3A1	108000.7148	COL3A1	23760.8977
COL4A1	13171.5511	COL4A1	3223.565
COL4A2	11283.0593	COL4A2	5440.656
COL4A3BP	994.2816	COL4A3BP	1416.9184
COL4A3	15.7255	COL4A3	58.6966
COL4A4	158.3274	COL4A4	126.4566
COL4A5	1112.5804	COL4A5	1553.3017
COL4A6	56.1115	COL4A6	619.3353
COL5A1	9701.5726	COL5A1	1420.3712
COL5A2	11996.426	COL5A2	1891.2387
COL5A3	1020.3717	COL5A3	316.789
COL6A1	16721.2294	COL6A1	5016.4005
COL6A2	17572.5518	COL6A2	5450.5826
COL6A3	36180.4861	COL6A3	7413.4657
COL6A6	137.5983	COL6A6	626.2408
COL7A1	210.1501	COL7A1	911.5235
COL8A1	589.3495	COL8A1	78.1183
COL8A2	903.1451	COL8A2	1054.3807
COL9A2	425.6612	COL9A2	420.3712
COL9A3	40.386	COL9A3	73.8023
COLEC11	16.0829	removed	removed
COLEC12	518.9421	COLEC12	424.6871
COLQ	33.817	COLQ	70.7035
COMMD10	421.7298	COMMD10	418.2132
COMMD1	311.2938	COMMD1	195.0798
COMMD2	617.584	COMMD2	1207.1644
COMMD3	905.2144	COMMD3	716.9443
COMMD4	725.5182	COMMD4	446.6983
COMMD5	388.0236	COMMD5	338.6534
COMMD6	1086.4904	COMMD6	1468.2779
COMMD7	1278.4132	COMMD7	827.363
COMMD8	221.5868	COMMD8	208.8908
COMMD9	759.8284	COMMD9	583.9448
COMP	1352.3946	COMP	14.6741
COMTD1	172.9807	COMTD1	34.0958
COMT	2110.7934	COMT	1567.5442
COPA	8519.2888	COPA	5548.1226
COPB1	3974.2673	COPB1	3627.9672
COPB2	5918.5132	COPB2	3508.4161
COPE	2062.1873	COPE	1146.3099
COPG2	288.0629	COPG2	402.6759
COPG	5528.9492	COPG	3408.7182
COPS2	2097.9271	COPS2	2391.8861
COPS3	971.4081	COPS3	959.8619
COPS4	791.6369	COPS4	884.7648
COPS5	818.4417	COPS5	1077.6867
COPS6	1292.3517	COPS6	1130.7726
COPS7A	1063.6169	COPS7A	1123.4355
COPS7B	791.9943	COPS7B	738.0233
COPS8	2062.1444	COPS8	875.1532
COPZ1	4640.1001	COPZ1	3366.4221
COPZ2	216.5833	COPZ2	104.0138
COQ10A	61.1151	COQ10A	138.5412
COQ10B	945.3181	COQ10B	575.7445
COQ2	242.3159	COQ2	126.4566
COQ3	92.5661	COQ3	148.4678
COQ4	931.3796	COQ4	690.5481
COQ5	368.4775	COQ5	531.2905
COQ6	354.3531	COQ6	359.4389
COQ7	456.7548	COQ7	496.7631
COQ9	870.9793	COQ9	724.2123
CORIN	45.747	CORIN	119.1196
CORO1A	1761.258	CORO1A	410.4445
CORO1B	2377.055	CORO1B	1320.2417
CORO1C	2684.06	CORO1C	2200.259
CORO2A	2096.4975	CORO2A	749.2447
CORO2B	118.2988	CORO2B	179.5425
removed	removed	CORO6	18.9901
CORO7	603.5633	CORO7	362.1925
COTL1	2682.6305	COTL1	792.404
COX10	503.2166	COX10	326.7156
COX11	296.1437	COX11	807.7039
COX15	906.1866	COX15	1311.6962
COX16	805.5754	COX16	663.3578
COX17	766.619	COX17	218.3858
COX18	4295.9257	COX18	454.8986
COX19	231.0365	COX19	326.435
COX4I1	4340.243	COX4I1	2930.082
COX4I2	45.3896	COX4I2	13.811
COX4NB	412.0801	COX4NB	339.2318
COX5A	1906.3617	COX5A	787.2249
COX5B	2581.1294	COX5B	814.8468
COX6A1	1954.253	COX6A1	946.9141
COX6B1	3527.5197	COX6B1	1366.4221
removed	removed	COX6B2	19.4217
COX6C	1414.5818	COX6C	1393.6124
COX7A1	104.3603	COX7A1	96.6767
COX7A2L	2321.3009	COX7A2L	1523.5218
COX7A2	2495.3538	COX7A2	711.2646
COX7B	2474.9821	COX7B	880.0173
COX7C	2545.747	COX7C	1807.9413
COX8A	2583.2738	COX8A	842.0371
CP110	651.5368	CP110	977.1256
removed	removed	CPA1	5.6107
CPA3	258.0415	CPA3	8.2003
CPA4	747.6769	CPA4	58.265
CPA5	13.7134	removed	removed
CPA6	10.0071	removed	removed
CPAMD8	127.5911	CPAMD8	1162.2788
CPB1	5.361	CPB1	187.3112
CPD	11086.133	CPD	3812.6888
CPEB1	39.3138	CPEB1	25.0324
CPEB2	555.0393	CPEB2	746.6552
CPEB3	155.8256	CPEB3	418.6448
CPEB4	1527.5197	CPEB4	1483.3837
CPE	3236.2402	CPE	3802.7622
CPLX1	64.6891	CPLX1	122.1407
CPLX3	5.7184	removed	removed
CPM	603.6455	CPM	500.2158
CPNE1	1705.9971	CPNE1	1926.6638
CPNE2	622.2302	CPNE2	472.1623
CPNE3	2659.757	CPNE3	3593.4398
CPNE4	5.0036	removed	removed
CPNE5	164.7605	CPNE5	23.7376
CPNE7	52.1801	CPNE7	83.729
CPNE8	186.2044	CPNE8	207.1644
CPOX	220.5147	CPOX	319.3785
CPPED1	846.3188	CPPED1	350.8848
CPS1	48.2487	CPS1	239.9655
CPSF1	802.7162	CPSF1	1744.4972
CPSF2	1448.1773	CPSF2	1249.4605
CPSF3L	1294.8535	CPSF3L	1414.3289
CPSF3	912.4375	CPSF3	719.4648
CPSF4	314.153	CPSF4	345.7057
CPSF6	1439.9571	CPSF6	2526.9745
CPSF7	1520.3717	CPSF7	2776.0035
CPT1A	3115.797	CPT1A	1455.7618
CPT1B	65.0643	CPT1B	403.2326
CPT1C	61.4725	CPT1C	49.2016
CPT2	671.9085	CPT2	700.4748
CPVL	544.3174	CPVL	206.3013
CPXM1	1302.0014	CPXM1	688.3902
CPXM2	1062.9021	CPXM2	860.5956
CPZ	200.5004	CPZ	77.2551
CP	4001.6333	CP	2462.3306
CR1	93.6383	CR1	19.8533
CR2	201.9299	CR2	10.7898
CRABP1	46.8192	CRABP1	938.7139
CRABP2	1043.96	CRABP2	1891.2387
CRADD	116.5118	CRADD	124.7303
CRAMP1L	614.3853	CRAMP1L	1265.9171
CRAT	1871.3367	CRAT	483.3837
removed	removed	CRB1	7.3371
CRB2	37.1694	CRB2	108.3297
CRB3	258.3989	CRB3	123.4355
CRBN	535.1537	CRBN	1107.9111
CRCP	861.6869	CRCP	968.9253
CREB1	1414.9392	CREB1	1844.6267
CREB3L1	2000.3574	CREB3L1	199.8274
CREB3L2	2647.6054	CREB3L2	3747.9499
CREB3L4	2838.0986	CREB3L4	1706.517
CREB3	547.7305	CREB3	827.9413
CREB5	318.4417	CREB5	395.7704
CREBBP	2231.9514	CREBBP	3718.17
CREBL2	1563.2595	CREBL2	2136.8148
CREBZF	1215.5111	CREBZF	2085.0237
CREG1	1624.732	CREG1	2972.3781
CRELD1	504.2888	CRELD1	532.5852
CRELD2	466.0472	CRELD2	394.4756
CREM	278.4132	CREM	251.1869
CRHBP	7.148	CRHBP	11.653
CRHR1	7.5054	CRHR1	25.8956
CRIM1	2595.0679	CRIM1	7817.4363
CRIP1	1527.5197	CRIP1	312.473
CRIP2	3234.0958	CRIP2	1302.978
CRIPAK	130.8077	CRIPAK	276.6508
CRIPT	359.1851	CRIPT	406.9918
CRISP3	140.8149	CRISP3	22.8744
CRISPLD1	218.0129	CRISPLD1	3620.6301
CRISPLD2	2191.208	CRISPLD2	987.0522
CRKL	1381.7012	CRKL	2105.7402
CRK	1442.8163	CRK	1170.0475
CRLF1	88.9921	CRLF1	71.2128
CRLF3	383.4882	CRLF3	440.2244
CRLS1	730.5218	CRLS1	660.7682
CRMP1	156.7584	CRMP1	133.7937
CRNKL1	1139.3853	CRNKL1	1195.943
CROCCL1	158.6347	CROCCL1	489.7454
CROCCL2	36.0972	CROCCL2	122.1407
CROCC	380.2716	CROCC	504.9633
CROT	491.4224	CROT	735.8653
CRTAC1	37.1694	CRTAC1	108.7613
CRTAM	80.0572	CRTAM	15.5373
CRTAP	3275.1966	CRTAP	3384.9806
CRTC1	231.594	CRTC1	422.0975
CRTC2	815.2252	CRTC2	829.9525
CRTC3	1175.4825	CRTC3	1166.5947
CRY1	453.5382	CRY1	522.227
CRY2	887.0622	CRY2	1700.0432
CRYAB	1177.2695	CRYAB	3157.9629
CRYBB1	7.8628	removed	removed
CRYBG3	509.0779	CRYBG3	594.2987
CRYGS	5.6433	CRYGS	19.8533
CRYL1	286.6333	CRYL1	288.3038
CRYM	186.5618	CRYM	67.76
CRYZL1	332.3195	CRYZL1	382.404
CRYZ	972.9664	CRYZ	1270.6258
CSAD	98.9993	CSAD	870.5222
CSAG1	355.6112	removed	removed
CSAG2	61.4868	removed	removed
CSAG3	335.2252	removed	removed
CSDAP1	32.5232	CSDAP1	33.2326
CSDA	1692.995	CSDA	3290.8934
CSDC2	27.5197	CSDC2	21.148
CSDE1	21971.0508	CSDE1	18316.789
CSE1L	2901.3581	CSE1L	2334.0527
CSF1R	1052.8949	CSF1R	859.3008
CSF1	677.9843	CSF1	1021.148
CSF2RA	167.6197	CSF2RA	116.53
CSF2RB	860.9721	CSF2RB	179.5425
CSF3R	203.3595	CSF3R	160.984
CSF3	10.3645	CSF3	12.0846
CSGALNACT1	587.5625	CSGALNACT1	425.9819
CSGALNACT2	829.8785	CSGALNACT2	631.8515
CSK	1789.8499	CSK	902.4601
CSMD1	9.6497	CSMD1	64.7389
CSMD2	24.6605	CSMD2	7.7687
removed	removed	CSN1S1	122.1407
removed	removed	CSN2	43.1593
removed	removed	CSN3	28.0535
CSNK1A1	9312.0086	CSNK1A1	7996.9789
CSNK1D	3904.2173	CSNK1D	2842.4687
CSNK1E	1854.6962	CSNK1E	2771.8558
CSNK1G1	1263.4024	CSNK1G1	845.4899
CSNK1G2	1158.3274	CSNK1G2	843.3319
CSNK1G3	489.6355	CSNK1G3	1042.7277
CSNK2A1P	314.8678	CSNK2A1P	514.8899
CSNK2A1	803.0736	CSNK2A1	1255.9344
CSNK2A2	592.5661	CSNK2A2	561.5019
CSNK2B	2543.1737	CSNK2B	1637.4407
CSPG4	914.9392	CSPG4	292.1882
CSPG5	138.6705	CSPG5	13.811
CSPP1	162.7269	CSPP1	652.814
CSRNP1	1413.867	CSRNP1	3160.1208
CSRNP2	1989.6355	CSRNP2	856.7113
CSRNP3	16.4403	CSRNP3	159.6893
CSRP1	6383.4882	CSRP1	16863.1852
CSRP2BP	485.3467	CSRP2BP	810.5309
CSRP2	234.8106	CSRP2	240.3971
CST1	715.1537	removed	removed
CST2	12.5089	removed	removed
CST3	3675.8399	CST3	2330.5999
CST4	10.7219	removed	removed
CST6	10.7219	CST6	10.7898
CST7	172.2659	CST7	34.5274
removed	removed	CST9	20.7164
CSTA	601.1437	CSTA	217.0911
CSTB	6246.2473	CSTB	1059.9914
CSTF1	1404.2173	CSTF1	643.0729
CSTF2T	1312.7234	CSTF2T	1079.8446
CSTF2	262.6876	CSTF2	251.1869
CSTF3	748.0343	CSTF3	652.5248
