gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
C14orf1	889.1369	C14orf1	444.2891
C14orf21	494.5437	C14orf21	346.7622
C14orf28	80.6052	C14orf28	207.9874
C14orf2	937.004	C14orf2	811.3257
C14orf33	107.1429	C14orf33	45.7922
C14orf34	12.4008	removed	removed
C14orf37	181.5476	C14orf37	207.9874
removed	removed	C14orf39	12.5841
C14orf43	1652.2817	C14orf43	1507.9962
C14orf45	934.7842	C14orf45	185.6331
C14orf49	36.9544	C14orf49	1018.614
C14orf4	2102.9266	C14orf4	1536.66
C14orf50	8.1845	C14orf50	162.1952
C14orf53	17.3611	removed	removed
removed	removed	C14orf64	170.9342
C14orf72	9.4246	removed	removed
C14orf73	6.6964	C14orf73	6.2921
C14orf79	639.1369	C14orf79	105.5667
C14orf80	92.2619	C14orf80	31.4603
C14orf93	237.5992	C14orf93	210.4343
C15orf17	389.881	C15orf17	2173.5559
C15orf21	33.4821	C15orf21	34.9559
C15orf23	208.0853	C15orf23	142.6199
C15orf24	655.0099	C15orf24	1325.177
removed	removed	C15orf27	7.6903
C15orf28	30.506	C15orf28	16.7788
C15orf29	216.7659	C15orf29	351.656
C15orf33	32.6141	C15orf33	5.6104
C15orf34	15.625	C15orf34	6.6416
C15orf37	29.8611	C15orf37	39.0387
C15orf38	2029.3304	C15orf38	538.642
C15orf39	305.5556	C15orf39	781.6132
C15orf40	272.0734	C15orf40	362.8769
C15orf41	65.7242	C15orf41	87.7392
C15orf42	42.629	C15orf42	22.3228
C15orf44	1721.7262	C15orf44	539.0195
C15orf48	72.9167	C15orf48	5.5929
removed	removed	C15orf51	8.3894
C15orf52	144.3452	C15orf52	145.4164
C15orf56	11.1607	C15orf56	6.6416
C15orf57	376.0119	C15orf57	491.7766
C15orf58	89.0377	C15orf58	30.4116
C15orf59	13.1448	C15orf59	88.0888
C15orf61	77.1329	C15orf61	88.7879
C15orf62	19.3452	C15orf62	31.1107
C15orf63	232.4727	C15orf63	694.7619
C16orf13	776.0417	C16orf13	279.9965
C16orf3	6.2004	removed	removed
C16orf42	1065.3968	C16orf42	768.5642
C16orf45	1458.3333	C16orf45	946.6049
C16orf46	91.7659	C16orf46	41.947
C16orf48	295.3869	C16orf48	131.4341
C16orf52	713.0456	C16orf52	338.0232
C16orf53	1803.1696	C16orf53	418.7398
removed	removed	C16orf54	84.5932
C16orf55	250.9921	C16orf55	55.9294
C16orf57	513.6409	C16orf57	731.2768
C16orf58	4916.0813	C16orf58	1394.9978
C16orf59	81.1012	C16orf59	5.5929
C16orf5	899.3056	C16orf5	649.8296
C16orf61	251.7857	C16orf61	226.8112
C16orf62	2609.127	C16orf62	1467.4473
C16orf63	1978.4226	C16orf63	782.3123
C16orf68	310.5159	C16orf68	216.0273
C16orf70	833.8715	C16orf70	375.8805
C16orf71	155.506	C16orf71	16.4293
C16orf72	4014.3849	C16orf72	1176.265
C16orf74	243.7996	C16orf74	47.54
C16orf75	493.0556	C16orf75	24.8187
C16orf79	8.7351	removed	removed
C16orf7	241.7684	C16orf7	227.9088
C16orf80	576.1409	C16orf80	537.6213
C16orf86	33.2341	C16orf86	75.8542
C16orf87	125.248	C16orf87	102.4207
C16orf88	1483.3829	C16orf88	190.5095
C16orf89	62.004	C16orf89	297.824
C16orf91	489.8313	C16orf91	119.1995
C16orf93	218.502	C16orf93	5.2434
C17orf100	28.7698	C17orf100	17.4779
C17orf101	183.2837	C17orf101	319.4966
C17orf103	346.9742	C17orf103	2578.6944
removed	removed	C17orf104	8.0398
C17orf106	116.8006	C17orf106	184.8082
C17orf107	68.9955	C17orf107	28.087
C17orf108	184.5238	C17orf108	540.0682
C17orf28	3162.4504	C17orf28	455.475
C17orf37	481.1508	C17orf37	454.0767
C17orf39	362.1032	C17orf39	921.0871
C17orf42	179.3155	C17orf42	126.1907
C17orf44	22.3214	C17orf44	46.4913
C17orf48	75.6448	C17orf48	144.3677
C17orf49	585.4836	C17orf49	759.4687
C17orf51	81.1012	C17orf51	478.1963
C17orf53	55.0595	C17orf53	115.3544
C17orf55	27.2817	C17orf55	37.4028
C17orf56	167.5521	C17orf56	207.4037
C17orf57	15.625	C17orf57	25.8673
C17orf58	299.6032	C17orf58	435.5501
C17orf59	130.9524	C17orf59	185.6157
C17orf60	6.6964	C17orf60	24.4691
C17orf61	506.5675	C17orf61	720.3391
C17orf62	1358.631	C17orf62	814.8213
C17orf63	759.4246	C17orf63	544.6124
removed	removed	C17orf64	6.6416
C17orf65	173.7475	C17orf65	99.9738
C17orf67	46.379	C17orf67	17.8275
C17orf68	1063.244	C17orf68	585.1612
C17orf69	40.9226	C17orf69	25.8673
C17orf70	723.4623	C17orf70	448.8333
C17orf71	584.5734	C17orf71	444.2891
C17orf72	411.4906	C17orf72	53.5384
C17orf75	304.5635	C17orf75	113.257
C17orf76	31.994	C17orf76	99.9738
C17orf79	747.5198	C17orf79	1269.9467
C17orf80	649.0575	C17orf80	586.5839
C17orf81	415.9226	C17orf81	496.0238
C17orf85	742.0635	C17orf85	598.4445
C17orf86	66.2202	C17orf86	51.3851
C17orf87	8.2068	C17orf87	28.6638
C17orf89	140.377	C17orf89	326.8374
C17orf90	206.1012	C17orf90	212.1821
C17orf91	167.6587	C17orf91	633.0508
C17orf93	13.1448	removed	removed
C17orf95	430.5556	C17orf95	255.5274
C17orf96	131.6964	C17orf96	28.6638
C17orf97	292.9067	C17orf97	34.9559
C18orf10	1664.1865	C18orf10	2069.0378
C18orf18	9.1766	C18orf18	117.1022
C18orf19	416.6667	C18orf19	245.3902
C18orf1	2792.4107	C18orf1	1304.9026
C18orf21	208.8294	C18orf21	197.5007
C18orf22	370.5357	C18orf22	442.1917
C18orf25	896.3294	C18orf25	492.1786
C18orf32	1255.2406	C18orf32	1006.0124
removed	removed	C18orf34	120.5977
C18orf45	1512.8968	C18orf45	168.1377
C18orf54	28.2738	C18orf54	83.5445
C18orf55	394.0972	C18orf55	483.0901
C18orf56	15.377	removed	removed
C18orf8	374.814	C18orf8	405.5021
C19orf10	801.5873	C19orf10	825.308
C19orf12	238.5913	C19orf12	3415.5379
C19orf18	23.5615	C19orf18	12.2346
C19orf20	23.5615	C19orf20	33.5576
C19orf21	597.9663	removed	removed
C19orf22	581.5972	C19orf22	549.5062
C19orf23	7.4405	C19orf23	7.3407
C19orf24	175.3472	C19orf24	263.9168
C19orf25	164.1865	C19orf25	182.1201
C19orf26	6.9444	removed	removed
C19orf28	406.994	C19orf28	370.5322
C19orf29	183.5317	C19orf29	296.4258
C19orf2	1454.1171	C19orf2	1823.2981
C19orf33	411.6146	C19orf33	31.3449
removed	removed	C19orf35	5.5929
C19orf36	10.1687	C19orf36	36.0045
removed	removed	C19orf38	24.8187
C19orf39	53.5714	C19orf39	33.5576
C19orf40	50.0992	C19orf40	34.9559
C19orf42	1453.869	C19orf42	1671.5896
C19orf43	963.2937	C19orf43	1505.8988
C19orf44	99.1195	C19orf44	151.4218
C19orf45	7.4405	removed	removed
C19orf46	198.6607	removed	removed
C19orf47	297.8671	C19orf47	158.6996
C19orf48	903.7698	C19orf48	213.9299
C19orf50	835.5655	C19orf50	1348.2478
C19orf51	190.7242	removed	removed
C19orf52	133.1845	C19orf52	156.2527
C19orf53	757.6885	C19orf53	933.3217
C19orf54	236.6071	C19orf54	217.7751
C19orf55	154.0179	C19orf55	44.394
C19orf56	1042.9067	C19orf56	1518.1229
C19orf57	32.4901	C19orf57	17.8275
C19orf59	7.4405	removed	removed
C19orf60	109.871	C19orf60	197.8502
C19orf61	421.627	C19orf61	343.9657
C19orf62	801.3393	C19orf62	1122.0834
C19orf63	1982.9142	C19orf63	1197.2035
C19orf66	242.0412	C19orf66	388.9854
removed	removed	C19orf69	6.2921
C19orf6	748.7599	C19orf6	1605.523
C19orf70	293.4028	C19orf70	641.4402
C19orf73	10.9127	C19orf73	9.0885
C19orf76	12.1528	C19orf76	29.0134
C1D	125.248	C1D	103.1198
C1GALT1C1	600.4464	C1GALT1C1	622.2145
C1GALT1	151.7857	C1GALT1	399.8951
C1QA	205.1091	C1QA	3824.5215
C1QBP	1349.0873	C1QBP	923.7333
C1QB	230.9028	C1QB	2887.3547
C1QC	377.4802	C1QC	2854.8458
C1QL1	52.8274	removed	removed
C1QTNF1	156.498	C1QTNF1	6363.3663
C1QTNF2	13.8889	C1QTNF2	90.5357
C1QTNF3	693.4524	C1QTNF3	587.6081
C1QTNF6	769.5933	C1QTNF6	226.8636
C1QTNF7	55.5556	C1QTNF7	1527.2219
removed	removed	C1QTNF9B	40.402
C1QTNF9	7.4231	C1QTNF9	200.9962
C1RL	807.9092	C1RL	1358.9548
C1R	2041.6667	C1R	8428.9085
C1S	2911.7063	C1S	18371.7836
C1orf101	10.9127	C1orf101	7.3407
C1orf103	651.5377	C1orf103	234.9034
C1orf104	119.5536	C1orf104	42.8978
C1orf106	105.1587	removed	removed
C1orf107	1750	C1orf107	524.338
C1orf109	243.0556	C1orf109	356.2003
C1orf111	6.2004	removed	removed
C1orf112	353.6409	C1orf112	95.5169
C1orf113	350.129	C1orf113	16.1811
C1orf115	882.4405	C1orf115	4117.1022
C1orf116	73.9087	removed	removed
C1orf122	276.5402	C1orf122	486.2396
C1orf123	326.8849	C1orf123	1179.411
C1orf124	537.9464	C1orf124	186.6643
C1orf126	13.5441	C1orf126	15.6183
C1orf127	5.2083	removed	removed
C1orf128	728.6706	C1orf128	1113.3444
C1orf130	24.3056	C1orf130	27.2656
C1orf131	497.0238	C1orf131	180.0227
C1orf133	23.5615	C1orf133	34.2568
C1orf135	24.0575	C1orf135	11.1859
C1orf144	2364.0873	C1orf144	3248.4488
removed	removed	C1orf150	10.1372
C1orf151	593.998	C1orf151	1108.4506
C1orf152	7.6885	C1orf152	17.1284
C1orf156	364.0873	C1orf156	136.3279
C1orf158	82.5893	removed	removed
C1orf159	95.4861	C1orf159	61.8719
removed	removed	C1orf161	14.6815
C1orf162	71.9246	C1orf162	193.306
C1orf163	188.4921	C1orf163	196.1024
C1orf170	22.5694	removed	removed
C1orf172	343.502	removed	removed
C1orf173	57.7877	removed	removed
C1orf174	284.7222	C1orf174	327.1869
removed	removed	C1orf175	6.9912
C1orf182	7.1925	removed	removed
C1orf183	13.6409	C1orf183	263.9168
removed	removed	C1orf186	17.4779
C1orf189	20.3373	removed	removed
C1orf190	6.5823	C1orf190	19.8479
C1orf192	811.5079	C1orf192	38.801
C1orf194	54.8115	removed	removed
C1orf198	2719.494	C1orf198	3874.5084
C1orf201	291.9147	C1orf201	212.5317
C1orf203	55.816	C1orf203	54.9087
C1orf204	77.5694	C1orf204	54.8982
C1orf210	242.3115	removed	removed
C1orf212	360.119	C1orf212	778.4672
C1orf213	30.6845	C1orf213	171.1684
C1orf216	336.3095	C1orf216	597.0462
C1orf21	3475.4464	C1orf21	1503.4519
C1orf220	42.9067	removed	removed
C1orf226	780.754	C1orf226	207.9874
C1orf228	7.1925	removed	removed
C1orf229	9.6726	C1orf229	10.8363
C1orf25	917.9067	C1orf25	608.5817
C1orf26	128.2242	C1orf26	177.5758
C1orf27	2336.5575	C1orf27	783.0114
C1orf31	325.1488	C1orf31	176.5271
C1orf35	414.9306	C1orf35	112.5579
C1orf38	124.504	C1orf38	548.8071
C1orf43	11847.4702	C1orf43	4779.1663
C1orf50	108.879	C1orf50	176.1776
C1orf51	265.625	C1orf51	96.8278
C1orf52	166.9147	C1orf52	285.2399
C1orf53	16.8651	C1orf53	27.2656
C1orf54	81.8452	C1orf54	283.1425
C1orf55	1347.4702	C1orf55	526.4354
C1orf56	374.7024	C1orf56	128.8403
C1orf57	1121.5278	C1orf57	547.4089
C1orf58	1360.3001	C1orf58	447.6868
C1orf59	106.1508	C1orf59	207.2883
C1orf61	22.3214	removed	removed
C1orf63	219.7421	C1orf63	200.9962
C1orf64	470.2381	removed	removed
C1orf66	1348.4623	C1orf66	336.625
C1orf69	316.7163	C1orf69	267.0628
removed	removed	C1orf70	7.3407
C1orf74	285.7143	C1orf74	48.9382
C1orf77	3452.629	C1orf77	1139.5613
C1orf83	218.254	C1orf83	365.9879
C1orf84	16.0392	C1orf84	11.913
C1orf85	1723.9583	C1orf85	725.3343
C1orf86	162.1776	C1orf86	228.143
C1orf88	937.996	C1orf88	31.4603
C1orf89	56.5476	C1orf89	17.8275
C1orf91	150.1314	C1orf91	116.3401
C1orf92	42.6587	removed	removed
C1orf93	528.8021	C1orf93	360.5663
removed	removed	C1orf95	64.3188
C1orf96	688.7401	C1orf96	145.4164
C1orf97	301.0913	C1orf97	154.5049
C1orf9	4367.3115	C1orf9	817.6178
C20orf103	184.7718	C20orf103	6.9912
C20orf108	3865.3274	C20orf108	3481.954
C20orf111	1624.256	C20orf111	668.0066
C20orf112	732.1429	C20orf112	684.0863
C20orf114	20.5853	removed	removed
C20orf117	909.2262	C20orf117	392.2048
C20orf118	6.6915	C20orf118	23.7525
C20orf11	3379.7123	C20orf11	1103.2072
C20orf12	315.7242	C20orf12	93.3322
C20orf132	25.3026	C20orf132	120.2727
C20orf134	16.6171	C20orf134	5.9425
C20orf135	73.1647	C20orf135	45.7922
C20orf141	8.1845	removed	removed
C20orf151	104.6627	removed	removed
C20orf160	55.8036	C20orf160	379.9703
C20orf177	278.192	C20orf177	366.355
C20orf194	469.7421	C20orf194	1535.9608
C20orf195	8.4325	removed	removed
C20orf196	43.8988	C20orf196	54.1816
removed	removed	C20orf197	10.1372
C20orf199	1989.8313	C20orf199	1000.0874
C20orf201	5.9524	removed	removed
removed	removed	C20orf202	26.2169
C20orf20	438.4921	C20orf20	147.8633
C20orf24	1740.4489	C20orf24	956.3786
C20orf26	89.7817	C20orf26	10.4868
C20orf27	447.9167	C20orf27	999.3883
C20orf29	318.2044	C20orf29	233.1556
C20orf30	2741.0714	C20orf30	4852.2241
C20orf3	4710.5655	C20orf3	6623.0884
C20orf43	3084.5734	C20orf43	2559.8182
C20orf46	13.6409	C20orf46	27.9647
C20orf4	1737.3512	C20orf4	1191.6455
C20orf54	367.5595	C20orf54	39.1506
C20orf72	791.1706	C20orf72	226.8636
C20orf7	146.3294	C20orf7	159.3988
C20orf85	361.3591	removed	removed
C20orf94	86.8056	C20orf94	29.3629
C20orf96	322.4206	C20orf96	163.2439
C21orf119	51.0913	C21orf119	94.0313
C21orf121	5.7044	removed	removed
C21orf122	22.0734	C21orf122	46.1417
C21orf128	5.2083	removed	removed
C21orf130	9.4246	removed	removed
C21orf2	361.8552	C21orf2	526.0858
C21orf33	1303.3234	C21orf33	2621.3406
C21orf34	9.6726	C21orf34	205.1909
C21orf45	243.5516	C21orf45	94.0313
C21orf49	6.4484	C21orf49	24.8187
C21orf56	21.0813	C21orf56	55.9294
C21orf57	227.1825	C21orf57	198.5493
C21orf58	192.4603	C21orf58	22.3718
C21orf59	936.8502	C21orf59	468.9959
C21orf63	138.8889	C21orf63	315.3019
C21orf67	102.9266	C21orf67	27.9647
C21orf70	121.0317	C21orf70	89.8366
C21orf7	16.6171	C21orf7	85.2923
C21orf82	5.4563	C21orf82	176.5271
C21orf91	368.5516	C21orf91	420.5191
C22orf13	2886.5972	C22orf13	2974.3634
C22orf23	30.0099	C22orf23	36.3541
C22orf25	332.8373	C22orf25	753.9981
C22orf26	7.4405	C22orf26	18.1771
C22orf27	64.4841	C22orf27	71.6595
C22orf28	1411.2103	C22orf28	1849.1654
C22orf29	607.8026	C22orf29	342.5011
C22orf30	1206.5972	C22orf30	972.4723
C22orf32	373.0159	C22orf32	575.7231
C22orf36	157.4901	C22orf36	69.5622
C22orf39	287.6984	C22orf39	1528.6131
C22orf40	85.3175	C22orf40	144.3677
C22orf41	31.25	removed	removed
C22orf46	443.4524	C22orf46	964.0828
C22orf9	1091.5179	C22orf9	1670.5409
C2CD2L	1003.4871	C2CD2L	211.1334
C2CD2	690.4762	C2CD2	5291.2698
C2CD3	953.125	C2CD3	505.1123
C2CD4A	7.4405	removed	removed
removed	removed	C2CD4B	16.4293
C2CD4C	33.9782	C2CD4C	14.3319
C2CD4D	13.8889	removed	removed
C2orf15	110.6151	C2orf15	17.034
C2orf16	143.6012	C2orf16	47.1904
C2orf18	1929.5635	C2orf18	1246.1767
C2orf24	1650.0496	C2orf24	1973.2588
C2orf27A	42.4107	C2orf27A	12.2346
C2orf28	2086.0541	C2orf28	2531.7207
C2orf29	1183.2837	C2orf29	617.6702
C2orf34	50.8433	C2orf34	99.2747
C2orf39	118.7996	removed	removed
C2orf3	440.7242	C2orf3	546.7098
removed	removed	C2orf40	211.8326
C2orf42	187.252	C2orf42	174.4298
C2orf43	273.8095	C2orf43	391.5057
C2orf44	217.5099	C2orf44	217.0759
C2orf47	341.7659	C2orf47	283.0936
C2orf49	173.8591	C2orf49	156.6023
C2orf50	75.6448	removed	removed
C2orf52	5.4563	C2orf52	9.0885
C2orf54	15.873	removed	removed
C2orf55	356.1508	C2orf55	109.4119
C2orf56	199.6528	C2orf56	223.368
C2orf58	5.7044	C2orf58	8.3894
C2orf60	216.7659	C2orf60	163.992
C2orf62	51.0913	removed	removed
C2orf63	48.6111	C2orf63	53.1329
C2orf64	381.4484	C2orf64	572.9267
removed	removed	C2orf65	69.9117
C2orf67	468.7624	C2orf67	569.078
C2orf68	789.9306	C2orf68	763.0866
C2orf69	386.6567	C2orf69	469.1078
C2orf70	13.3929	removed	removed
removed	removed	C2orf71	11.5354
C2orf72	636.6567	removed	removed
C2orf73	17.1131	removed	removed
C2orf74	22.0734	C2orf74	390.8066
C2orf76	85.5655	C2orf76	121.6464
C2orf77	336.0615	C2orf77	27.9647
C2orf79	185.5159	C2orf79	176.5271
C2orf7	195.4365	C2orf7	562.7895
C2orf81	148.3805	C2orf81	26.6224
removed	removed	C2orf84	29.3629
C2orf86	132.6885	C2orf86	253.7796
C2orf88	15.873	C2orf88	218.4742
C2orf89	6.2004	C2orf89	59.0754
C2	1248.3284	C2	944.5949
C3AR1	125.744	C3AR1	510.0061
C3orf10	4216.2698	C3orf10	4000
C3orf14	985.6151	C3orf14	30.062
C3orf15	689.4841	C3orf15	31.8098
C3orf17	913.6905	C3orf17	892.4233
C3orf18	247.5198	C3orf18	329.9834
C3orf19	502.9762	C3orf19	452.6785
C3orf1	1446.6766	C3orf1	1243.3802
C3orf21	288.9385	C3orf21	310.7577
C3orf23	542.1627	C3orf23	747.706
C3orf24	5.4563	removed	removed
C3orf26	287.2024	C3orf26	480.9927
C3orf31	132.6885	C3orf31	123.7438
C3orf32	17.8571	C3orf32	29.0134
C3orf33	171.875	C3orf33	82.4958
C3orf34	139.881	C3orf34	67.1153
C3orf35	9.4246	C3orf35	5.2434
C3orf37	1675.3472	C3orf37	1406.9737
C3orf38	581.3442	C3orf38	330.6825
C3orf39	908.4821	C3orf39	424.3642
removed	removed	C3orf42	17.1284
C3orf47	39.1865	C3orf47	85.2923
removed	removed	C3orf50	11.885
C3orf52	70.4365	C3orf52	11.885
C3orf54	11.9048	C3orf54	52.7834
C3orf55	13.3929	C3orf55	344.6649
C3orf57	72.9167	removed	removed
C3orf58	275.5456	C3orf58	443.9395
C3orf59	56.7956	C3orf59	202.3945
C3orf62	133.6806	C3orf62	163.2439
C3orf63	3399.3527	C3orf63	2008.4943
C3orf64	257.9365	C3orf64	980.8617
C3orf67	265.873	C3orf67	11.885
C3orf70	269.5933	C3orf70	159.3988
C3orf71	24.3279	C3orf71	39.3009
C3orf75	429.3155	C3orf75	364.5897
C3	1153.2738	C3	29228.3492
C4A	43187.3041	C4A	1091.9269
C4BPA	65.2282	removed	removed
C4BPB	54.5635	removed	removed
C4orf10	428.5293	C4orf10	283.167
C4orf12	17.6091	C4orf12	67.8144
C4orf14	755.9524	C4orf14	458.621
C4orf19	365.6176	C4orf19	352.065
C4orf21	134.4246	C4orf21	61.1728
C4orf22	6.2004	removed	removed
C4orf23	118.7996	C4orf23	227.9123
C4orf27	447.4206	C4orf27	435.2006
C4orf29	223.9583	C4orf29	93.3322
C4orf31	139.3849	C4orf31	483.7892
C4orf32	674.1071	C4orf32	1728.9172
C4orf33	199.4048	C4orf33	252.3814
C4orf34	1263.8889	C4orf34	812.7239
C4orf36	24.5536	C4orf36	6.6416
C4orf38	23.3135	C4orf38	40.1992
C4orf39	58.7798	C4orf39	17.1284
C4orf3	3987.3512	C4orf3	5476.1863
C4orf41	1670.1389	C4orf41	1102.5081
C4orf42	899.5536	C4orf42	324.3905
C4orf43	414.4345	C4orf43	324.0409
C4orf46	136.4187	C4orf46	135.9783
C4orf47	39.9306	removed	removed
C4orf48	25.7937	C4orf48	19.2257
removed	removed	C4orf49	8.739
C4orf52	465.5258	C4orf52	559.6435
C5AR1	162.2024	C5AR1	327.886
C5orf13	1310.5159	C5orf13	892.4233
C5orf15	2491.5675	C5orf15	1286.7255
removed	removed	C5orf20	10.8363
C5orf22	940.4762	C5orf22	433.8023
C5orf23	187.004	C5orf23	5115.7913
C5orf24	1059.7718	C5orf24	1188.4995
C5orf25	253.8765	C5orf25	195.4033
C5orf27	8.1845	C5orf27	10.4868
C5orf28	189.7321	C5orf28	158.0005
C5orf30	1091.5179	C5orf30	574.3249
C5orf32	1181.2996	C5orf32	1742.55
C5orf33	1207.0933	C5orf33	777.7681
C5orf34	48.3631	C5orf34	16.7788
C5orf35	81.1012	C5orf35	162.8943
C5orf36	219.9901	C5orf36	41.2479
C5orf38	93.75	C5orf38	38.4515
C5orf39	17.3611	C5orf39	61.1728
C5orf41	713.7897	C5orf41	933.6712
C5orf42	1011.4087	C5orf42	551.9532
C5orf43	1989.0873	C5orf43	793.4982
C5orf44	751.7312	C5orf44	464.5635
C5orf45	269.2361	C5orf45	148.8071
C5orf46	56.2996	removed	removed
C5orf49	423.1151	removed	removed
C5orf4	55.0595	C5orf4	4450.9307
C5orf51	1331.5972	C5orf51	947.304
C5orf53	584.3254	C5orf53	818.3169
C5orf54	179.5635	C5orf54	113.257
C5orf55	61.5079	C5orf55	97.8764
C5orf56	51.627	C5orf56	204.9707
C5orf62	462.3016	C5orf62	2361.968
C5	288.4425	C5	239.7973
C6orf103	40.2753	removed	removed
removed	removed	C6orf105	8.739
C6orf106	3682.2917	C6orf106	6074.9803
C6orf108	182.2917	C6orf108	221.9698
C6orf114	10.6647	C6orf114	34.6063
C6orf115	284.2262	C6orf115	128.6376
C6orf118	27.2817	removed	removed
C6orf120	796.6915	C6orf120	1474.886
C6orf122	5.1811	C6orf122	15.1953
removed	removed	C6orf123	9.0885
C6orf124	16.6171	C6orf124	5.5929
C6orf125	532.3934	C6orf125	327.0611
C6orf129	227.4306	C6orf129	74.8056
C6orf130	510.3522	C6orf130	463.1303
C6orf132	239.0873	C6orf132	29.0134
C6orf134	220.2381	C6orf134	95.08
C6orf136	156.25	C6orf136	163.2439
C6orf138	26.2897	C6orf138	63.9692
C6orf141	39.1865	C6orf141	58.0267
removed	removed	C6orf142	53.4825
C6orf145	243.3036	C6orf145	1799.8777
C6orf147	8.7872	removed	removed
C6orf150	157.7381	C6orf150	40.8984
C6orf153	693.4524	C6orf153	562.7895
C6orf154	82.3413	removed	removed
C6orf155	197.9167	C6orf155	39.8497
C6orf162	50.8234	C6orf162	116.3261
C6orf163	5.2083	C6orf163	7.3407
removed	removed	C6orf164	12.661
C6orf165	317.3562	removed	removed
C6orf167	238.0952	C6orf167	128.288
C6orf168	261.4087	removed	removed
C6orf170	215.7738	C6orf170	44.7435
C6orf174	18.6012	C6orf174	111.7015
C6orf182	114.3353	C6orf182	156.9518
removed	removed	C6orf186	8.739
C6orf192	70.1885	C6orf192	325.4391
C6orf1	251.7361	C6orf1	188.4121
C6orf201	5.9573	C6orf201	14.3354
C6orf203	206.8452	C6orf203	334.1781
C6orf204	24.3056	C6orf204	88.7879
C6orf211	2941.4683	C6orf211	751.2016
C6orf217	8.9286	C6orf217	5.5929
C6orf225	234.623	C6orf225	277.5496
C6orf226	25.5456	C6orf226	81.4472
C6orf26	14.1543	C6orf26	17.2577
C6orf27	55.3075	C6orf27	7.3407
C6orf35	226.6865	C6orf35	559.993
C6orf41	9.1766	removed	removed
C6orf47	490.3274	C6orf47	473.652
C6orf48	696.6766	C6orf48	1337.7611
removed	removed	C6orf52	9.4381
C6orf57	69.9405	C6orf57	179.3236
C6orf59	5.4563	C6orf59	11.5354
C6orf62	3280.1562	C6orf62	3099.0405
C6orf64	1231.8948	C6orf64	471.2051
C6orf70	344.494	C6orf70	377.1738
C6orf72	888.8889	C6orf72	1421.6552
C6orf89	2931.5476	C6orf89	4532.3779
C6orf97	1659.7222	C6orf97	804.6841
C6	9.1766	C6	747.706
C7orf10	64.4841	C7orf10	41.947
C7orf11	281.25	C7orf11	263.5672
C7orf13	219.9901	C7orf13	106.2658
C7orf23	266.6171	C7orf23	289.7841
C7orf25	397.2966	C7orf25	386.2623
C7orf26	452.381	C7orf26	486.9352
C7orf27	836.3095	C7orf27	658.219
C7orf28A	480.6548	C7orf28A	1062.3088
C7orf28B	838.2937	C7orf28B	490.7804
C7orf29	92.7579	C7orf29	151.0094
C7orf30	291.6667	C7orf30	321.2444
C7orf31	51.3393	C7orf31	121.996
C7orf36	224.4544	C7orf36	144.7173
C7orf40	206.3492	C7orf40	132.4827
C7orf41	916.4187	C7orf41	20939.9633
C7orf42	3752.9762	C7orf42	2818.1421
C7orf43	265.377	C7orf43	102.4207
C7orf44	550.3472	C7orf44	584.8117
C7orf46	79.6131	C7orf46	51.3851
C7orf47	149.8016	C7orf47	60.1241
C7orf49	427.8051	C7orf49	615.8805
C7orf50	941.4683	C7orf50	521.192
removed	removed	C7orf51	27.6151
C7orf53	12.1528	C7orf53	23.4204
C7orf54	6.4484	removed	removed
C7orf55	33.807	C7orf55	287.0191
C7orf57	131.2004	removed	removed
C7orf58	51.0913	C7orf58	5932.3604
C7orf59	812.748	C7orf59	928.0783
C7orf60	214.0377	C7orf60	237.3503
C7orf63	291.4187	C7orf63	229.3105
C7orf64	278.2738	C7orf64	310.7577
C7orf68	1415.4266	C7orf68	1184.3048
C7orf70	573.9087	C7orf70	361.7932
C7	13.8889	C7	1620.5541
C8ORFK29	7.7257	removed	removed
C8orf30A	946.6766	C8orf30A	302.3683
removed	removed	C8orf31	12.9337
C8orf33	2785.9623	C8orf33	1585.5982
C8orf34	22.3214	C8orf34	213.2308
C8orf37	233.631	C8orf37	87.3897
C8orf38	513.1448	C8orf38	153.1067
C8orf39	21.0813	C8orf39	5.2434
C8orf40	1045.8829	C8orf40	879.1401
C8orf41	636.1062	C8orf41	228.2164
C8orf42	1437.996	C8orf42	180.3723
C8orf44	48.6632	C8orf44	47.0541
C8orf45	5.7044	C8orf45	34.9559
C8orf46	13.3929	C8orf46	33.9072
C8orf48	248.7599	C8orf48	48.2391
C8orf4	205.6052	C8orf4	386.9615
C8orf51	111.3591	C8orf51	7.6903
C8orf55	1678.5714	C8orf55	535.8735
C8orf58	303.3234	C8orf58	155.9032
C8orf59	673.9236	C8orf59	448.0433
C8orf73	61.0119	C8orf73	40.8984
C8orf76	518.1424	C8orf76	294.4053
C8orf77	21.8254	removed	removed
C8orf79	175.0992	C8orf79	74.456
removed	removed	C8orf80	16.4293
C8orf83	949.1567	C8orf83	564.1877
C8orf84	29.2659	C8orf84	116.403
C8orf85	316.7163	removed	removed
C8orf86	17.3611	removed	removed
C9orf100	78.6186	C9orf100	38.1508
C9orf102	167.3413	C9orf102	214.9436
C9orf103	36.9544	C9orf103	247.4875
C9orf106	19.0972	removed	removed
C9orf109	24.8016	C9orf109	20.2744
C9orf110	218.998	C9orf110	166.0404
C9orf114	357.9613	C9orf114	325.9635
C9orf116	553.8194	C9orf116	26.5665
C9orf117	119.0476	removed	removed
C9orf119	363.5913	C9orf119	252.7309
C9orf122	35.7143	removed	removed
