gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
ACOT13	502.4513	ACOT13	434.5097
ACOT1	459.9394	ACOT1	614.5779
ACOT2	264.6167	ACOT2	365.4955
ACOT4	154.1793	ACOT4	122.7058
ACOT6	6.4963	ACOT6	6.817
ACOT7	659.5929	ACOT7	271.6308
ACOT8	208.7917	ACOT8	188.8464
ACOT9	856.2148	ACOT9	395.9098
ACOX1	2040.065	ACOX1	2023.5973
ACOX2	54.5691	ACOX2	252.2286
ACOX3	711.1304	ACOX3	664.3943
ACP1	1233.0013	ACP1	1020.9754
ACP2	786.0546	ACP2	634.5045
ACP5	1067.5617	ACP5	522.8107
ACP6	135.1234	ACP6	239.119
ACPL2	364.2269	ACPL2	469.8479
ACPP	40.7103	ACPP	28.8411
ACRBP	12.1265	ACRBP	27.7923
ACRC	15.5912	ACRC	39.3288
removed	removed	ACR	5.7682
ACSBG1	6.4963	ACSBG1	15.2071
ACSF2	270.2469	ACSF2	830.0996
ACSF3	302.2954	ACSF3	366.5443
ACSL1	3908.1854	ACSL1	8673.8332
ACSL3	3252.0572	ACSL3	2676.9795
ACSL4	1038.9779	ACSL4	1293.655
ACSL5	1151.1477	ACSL5	814.3681
ACSL6	7.3625	ACSL6	13.634
ACSM1	9.5279	ACSM1	78.1332
ACSM3	20.4851	ACSM3	110.5139
ACSM5	6.0632	ACSM5	151.5469
ACSS1	660.026	ACSS1	736.2349
ACSS2	637.9385	ACSS2	2062.4017
ACSS3	501.9489	ACSS3	507.0792
ACTA1	387.1806	removed	removed
ACTA2	16885.5132	ACTA2	20469.1977
removed	removed	ACTBL2	7.3414
ACTB	129474.6644	ACTB	60653.9067
ACTG1	80523.1702	ACTG1	52018.8778
ACTG2	366.3924	ACTG2	3853.1725
ACTL6A	1103.9411	ACTL6A	850.0262
ACTL8	30.3162	removed	removed
ACTN1	12727.1546	ACTN1	9680.6502
ACTN2	5.6301	removed	removed
ACTN4	8908.8783	ACTN4	11886.5863
ACTR10	1197.4881	ACTR10	940.2202
ACTR1A	3316.1542	ACTR1A	2092.2916
ACTR1B	1075.7904	ACTR1B	1411.1169
ACTR2	8934.6037	ACTR2	4504.9816
ACTR3B	134.6903	ACTR3B	198.2171
ACTR3C	66.2625	ACTR3C	41.4263
ACTR3	6189.6925	ACTR3	2717.3571
ACTR5	192.7241	ACTR5	239.6434
ACTR6	842.356	ACTR6	525.957
ACTR8	520.5717	ACTR8	562.6639
ACVR1B	951.9272	ACVR1B	1224.9607
ACVR1C	8.2287	ACVR1C	703.7231
ACVR1	1458.207	ACVR1	1263.2407
ACVR2A	493.7202	ACVR2A	708.967
ACVR2B	285.838	ACVR2B	679.6015
ACVRL1	849.2854	ACVRL1	876.7698
ACY1	704.9892	ACY1	533.2984
removed	removed	ACY3	9.4389
ACYP1	51.5375	ACYP1	44.0482
ACYP2	106.5396	ACYP2	119.0351
ADAL	153.7462	ADAL	190.8757
ADAM10	2982.2434	ADAM10	2063.4504
ADAM11	6.0632	ADAM11	27.7923
ADAM12	4472.0658	ADAM12	1246.9848
ADAM15	7395.4569	ADAM15	2643.5553
ADAM17	1030.7492	ADAM17	995.2805
ADAM19	1473.7982	ADAM19	137.913
removed	removed	ADAM20	5.7682
removed	removed	ADAM21P1	6.2926
removed	removed	ADAM21	9.4389
ADAM22	177.133	ADAM22	113.7913
ADAM23	75.3573	ADAM23	25.1704
ADAM28	93.547	ADAM28	90.194
removed	removed	ADAM32	29.3655
ADAM33	93.2308	ADAM33	572.2653
ADAM6	22595.2923	ADAM6	33723.3561
ADAM8	194.0234	ADAM8	84.9502
ADAM9	2103.508	ADAM9	1692.7111
ADAMDEC1	90.0823	ADAMDEC1	6.817
ADAMTS10	203.9844	ADAMTS10	172.5223
ADAMTS12	1070.1602	ADAMTS12	201.3634
ADAMTS13	35.0801	ADAMTS13	105.9255
ADAMTS14	181.0307	ADAMTS14	19.9266
ADAMTS15	64.9632	ADAMTS15	590.9806
ADAMTS16	263.3175	ADAMTS16	37.2313
ADAMTS17	52.4036	ADAMTS17	40.9019
ADAMTS18	10.3941	ADAMTS18	75.5113
