gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
C1orf123	507.579	C1orf123	592.5537
C1orf124	346.0372	C1orf124	270.5821
C1orf126	52.3214	C1orf126	87.6298
C1orf128	1098.744	C1orf128	883.5868
C1orf130	66.6955	C1orf130	316.7278
C1orf131	272.4123	C1orf131	195.0708
C1orf133	22.0875	C1orf133	44.5726
C1orf135	123.4301	C1orf135	24.1217
C1orf144	3847.5531	C1orf144	2909.591
C1orf150	10.8272	C1orf150	13.1096
C1orf151	1038.9779	C1orf151	715.784
C1orf152	10.3941	C1orf152	21.4997
C1orf156	146.3837	C1orf156	133.1935
C1orf159	139.0212	C1orf159	161.5102
C1orf162	145.0845	C1orf162	77.0844
C1orf163	547.8562	C1orf163	295.2281
removed	removed	C1orf168	59.2554
C1orf170	49.8051	C1orf170	30.4143
C1orf172	387.6137	C1orf172	305.1914
removed	removed	C1orf173	101.7305
C1orf174	483.7592	C1orf174	377.5564
C1orf175	9.0948	C1orf175	89.2868
C1orf183	205.7168	C1orf183	167.2784
C1orf186	12.5595	C1orf186	26.2192
C1orf187	23.3867	removed	removed
C1orf190	32.421	C1orf190	60.2727
C1orf192	16.4573	C1orf192	46.1458
C1orf198	4548.2893	C1orf198	1782.3807
C1orf201	163.2741	C1orf201	238.5947
C1orf203	44.1793	C1orf203	81.2952
C1orf204	21.126	C1orf204	49.8374
C1orf210	110.4374	C1orf210	212.8998
C1orf212	633.6076	C1orf212	482.9575
C1orf213	38.9173	C1orf213	69.3235
C1orf216	558.2503	C1orf216	421.6046
C1orf21	1190.9918	C1orf21	2915.0498
C1orf220	6.0632	C1orf220	15.7315
C1orf226	349.5019	C1orf226	1438.3849
removed	removed	C1orf228	12.5852
C1orf229	16.0243	C1orf229	18.3534
C1orf25	488.9563	C1orf25	543.2617
C1orf26	164.5734	C1orf26	233.3508
C1orf27	644.8679	C1orf27	755.1127
C1orf31	250.3248	C1orf31	157.3152
C1orf35	223.0403	C1orf35	184.5831
C1orf38	452.1438	C1orf38	199.7902
C1orf43	5348.2027	C1orf43	3041.9507
C1orf50	161.5418	C1orf50	128.474
C1orf51	73.6249	C1orf51	131.6203
C1orf52	281.5071	C1orf52	363.9224
C1orf53	9.5279	C1orf53	10.4877
C1orf54	194.0234	C1orf54	139.4861
C1orf55	859.2464	C1orf55	759.3078
C1orf56	109.1122	C1orf56	102.8526
C1orf57	486.7908	C1orf57	392.2391
C1orf58	632.6332	C1orf58	531.1012
C1orf59	420.5284	C1orf59	205.5585
removed	removed	C1orf61	33.5606
C1orf63	193.5903	C1orf63	574.2003
C1orf64	65.8294	C1orf64	220.7656
C1orf66	490.2555	C1orf66	567.9077
C1orf69	316.1542	C1orf69	388.044
C1orf70	9.5279	C1orf70	12.0608
C1orf74	142.0528	C1orf74	115.8888
C1orf77	1656.1282	C1orf77	1896.6964
C1orf83	195.7557	C1orf83	224.9607
C1orf84	25.8467	C1orf84	15.742
C1orf85	965.353	C1orf85	657.053
C1orf86	314.3395	C1orf86	274.5307
C1orf88	40.7103	C1orf88	111.6938
C1orf89	80.9874	C1orf89	97.011
C1orf91	113.443	C1orf91	157.6822
C1orf93	1293.599	C1orf93	746.1091
C1orf95	34.647	C1orf95	106.9743
C1orf96	535.2967	C1orf96	371.2638
C1orf97	92.6808	C1orf97	63.9748
C1orf9	2238.6314	C1orf9	1710.5401
C20orf103	539.1945	C20orf103	119.0351
C20orf108	3862.278	C20orf108	4055.5847
C20orf111	490.2555	C20orf111	804.9292
C20orf112	763.1009	C20orf112	952.2811
removed	removed	C20orf114	24.646
C20orf117	683.8458	C20orf117	886.7331
C20orf118	15.1451	C20orf118	24.2475
C20orf11	1962.7544	C20orf11	1893.0257
C20orf12	46.3404	C20orf12	159.9371
C20orf132	6.0632	C20orf132	26.7646
C20orf134	18.6228	C20orf134	38.28
C20orf135	84.8852	C20orf135	66.0724
C20orf151	100.4764	C20orf151	80.2307
C20orf160	88.783	C20orf160	227.5826
removed	removed	C20orf165	13.634
C20orf177	423.1702	C20orf177	345.0446
C20orf194	642.2694	C20orf194	1226.5338
C20orf196	44.175	C20orf196	68.6943
C20orf199	1560.4158	C20orf199	1304.1426
removed	removed	C20orf202	7.3414
removed	removed	C20orf203	23.0729
C20orf20	292.3343	C20orf20	221.8144
C20orf24	840.8359	C20orf24	615.0708
C20orf27	551.754	C20orf27	482.4331
C20orf29	237.7653	C20orf29	177.2417
C20orf30	1957.5574	C20orf30	1966.9638
C20orf3	3237.3322	C20orf3	3077.6088
C20orf43	1602.4253	C20orf43	1780.2832
C20orf46	16.8904	C20orf46	22.0241
C20orf4	864.4435	C20orf4	1083.377
C20orf54	340.8402	C20orf54	330.8862
C20orf72	654.8289	C20orf72	542.7373
C20orf7	126.4617	C20orf7	121.1327
C20orf94	47.2066	C20orf94	40.9019
C20orf96	151.1477	C20orf96	314.1059
C21orf119	89.6492	C21orf119	59.7798
C21orf122	42.0095	C21orf122	48.2433
removed	removed	C21orf125	9.4389
C21orf130	6.0632	C21orf130	9.4389
removed	removed	C21orf15	24.1217
C21orf2	299.2638	C21orf2	521.7619
C21orf33	1455.1754	C21orf33	1462.5066
C21orf34	55.4353	C21orf34	164.1321
C21orf45	420.0953	C21orf45	139.4861
removed	removed	C21orf49	17.8291
C21orf56	104.3742	C21orf56	126.9009
C21orf57	108.272	C21orf57	177.7661
C21orf58	96.1455	C21orf58	63.4504
C21orf59	978.5275	C21orf59	609.1557
C21orf63	489.3893	C21orf63	539.591
C21orf67	85.7514	C21orf67	48.2433
C21orf70	146.8168	C21orf70	119.5595
C21orf7	135.5565	C21orf7	32.5118
C21orf82	9.961	C21orf82	6.817
C21orf88	9.5279	C21orf88	44.5726
C21orf91	766.9987	C21orf91	691.6623
C22orf13	3165.9203	C22orf13	1945.5218
C22orf23	34.2139	C22orf23	90.194
C22orf25	355.9983	C22orf25	392.2391
C22orf26	6.4963	C22orf26	12.5852
C22orf27	208.7484	C22orf27	102.7792
C22orf28	2042.4426	C22orf28	1585.7368
C22orf29	1111.8276	C22orf29	808.8411
C22orf30	2346.0372	C22orf30	1448.3482
C22orf32	685.5782	C22orf32	596.2244
removed	removed	C22orf34	8.3901
C22orf36	394.5431	C22orf36	244.3629
C22orf39	477.2282	C22orf39	608.2853
C22orf40	125.1624	C22orf40	128.474
removed	removed	C22orf43	5.2438
removed	removed	C22orf45	5.2438
C22orf46	761.3686	C22orf46	766.6492
C22orf9	2904.2876	C22orf9	1912.4279
C2CD2L	382.6029	C2CD2L	312.6167
C2CD2	1131.6587	C2CD2	1487.1526
C2CD3	922.0442	C2CD3	938.1227
C2CD4A	11.6934	C2CD4A	42.4751
C2CD4B	21.6544	C2CD4B	18.3534
C2CD4C	8.2287	C2CD4C	29.8899
C2CD4D	15.7731	C2CD4D	18.4793
removed	removed	C2orf14	5.7682
C2orf15	46.1802	C2orf15	72.6167
C2orf16	16.4573	C2orf16	67.6455
C2orf18	1165.4396	C2orf18	1190.3513
C2orf24	1535.7298	C2orf24	1297.85
C2orf27A	15.1581	C2orf27A	30.4143
C2orf28	1151.5808	C2orf28	1441.3844
C2orf29	1164.5734	C2orf29	810.6974
C2orf34	103.0749	C2orf34	61.8773
C2orf3	382.8497	C2orf3	495.0184
C2orf40	179.2984	C2orf40	1219.1924
C2orf42	186.2278	C2orf42	262.7163
C2orf43	360.7622	C2orf43	281.5941
C2orf44	220.8748	C2orf44	281.5941
C2orf47	310.4591	C2orf47	237.2994
C2orf49	159.3764	C2orf49	164.6565
removed	removed	C2orf50	8.3901
removed	removed	C2orf52	5.7682
C2orf54	2313.5557	C2orf54	10.4877
C2orf55	262.8844	C2orf55	237.5459
C2orf56	202.6851	C2orf56	219.7168
C2orf58	6.4963	C2orf58	13.634
C2orf60	203.6163	C2orf60	320.1206
C2orf63	32.4816	C2orf63	84.9502
C2orf64	355.9983	C2orf64	474.043
C2orf65	7.3625	C2orf65	18.3534
C2orf67	419.1728	C2orf67	522.1028
C2orf68	629.2767	C2orf68	959.0981
C2orf69	575.1408	C2orf69	422.129
C2orf72	1006.0632	C2orf72	338.2276
C2orf74	184.0624	C2orf74	245.4116
C2orf76	52.8367	C2orf76	54.0115
C2orf77	30.7492	C2orf77	151.0225
C2orf79	261.152	C2orf79	162.0346
C2orf7	153.7462	C2orf7	203.4609
C2orf81	35.9073	C2orf81	85.3015
removed	removed	C2orf82	59.7798
removed	removed	C2orf84	8.3901
C2orf86	58.9	C2orf86	115.3644
C2orf88	86.6176	C2orf88	286.3136
C2orf89	23.3867	C2orf89	28.8411
C2	401.9706	C2	422.5957
C3AR1	212.6462	C3AR1	216.5705
C3orf10	2922.4773	C3orf10	2385.9465
C3orf14	474.2313	C3orf14	305.7158
C3orf15	24.686	C3orf15	258.5212
C3orf17	888.6964	C3orf17	1039.3288
C3orf18	92.6808	C3orf18	230.2045
C3orf19	341.2733	C3orf19	597.2732
C3orf1	980.511	C3orf1	754.5884
C3orf21	416.1975	C3orf21	224.4363
C3orf23	521.8709	C3orf23	383.849
C3orf26	330.8792	C3orf26	318.8254
C3orf31	136.4227	C3orf31	194.5464
C3orf32	9.961	C3orf32	6.817
C3orf33	76.6566	C3orf33	105.9255
C3orf34	52.8367	C3orf34	79.182
removed	removed	C3orf35	13.1096
C3orf36	18.6228	removed	removed
C3orf37	676.4833	C3orf37	757.2103
C3orf38	373.7462	C3orf38	357.053
C3orf39	300.9961	C3orf39	530.6765
C3orf42	7.7956	C3orf42	26.2192
C3orf47	9.0948	C3orf47	46.6702
C3orf52	114.3352	C3orf52	140.0105
C3orf54	42.4426	C3orf54	88.0965
C3orf55	15.1581	C3orf55	67.6455
C3orf57	247.7263	C3orf57	266.9114
C3orf58	774.3612	C3orf58	783.4295
C3orf59	233.4344	C3orf59	249.6067
C3orf62	87.9168	C3orf62	151.0225
C3orf63	1776.3317	C3orf63	2388.9407
C3orf64	675.1841	C3orf64	942.3178
C3orf67	9.5279	C3orf67	7.8658
C3orf70	113.9021	C3orf70	123.7546
C3orf71	26.9337	C3orf71	28.925
C3orf75	276.7432	C3orf75	354.4835
C3	21267.2152	C3	18475.0918
C4A	5121.5331	C4A	9263.0781
C4BPA	10.3941	C4BPA	41.9507
removed	removed	C4BPB	6.2926
C4orf10	243.3434	C4orf10	356.2716
C4orf12	20.3551	C4orf12	45.097
C4orf14	1226.0719	C4orf14	641.3214
C4orf19	20.3551	C4orf19	125.3277
C4orf21	118.233	C4orf21	141.0593
C4orf23	155.9117	C4orf23	337.7032
C4orf27	411.8666	C4orf27	324.5936
C4orf29	147.683	C4orf29	149.9738
C4orf31	75.7904	C4orf31	173.5711
C4orf32	329.5799	C4orf32	994.2318
C4orf33	104.8073	C4orf33	143.6812
C4orf34	826.3317	C4orf34	1220.7656
C4orf36	19.489	C4orf36	26.7436
C4orf38	16.4573	C4orf38	19.9266
C4orf39	22.9537	C4orf39	36.1825
C4orf3	3844.5214	C4orf3	2960.6712
C4orf41	1152.0139	C4orf41	1162.0346
C4orf42	424.4262	C4orf42	389.0928
C4orf43	424.8592	C4orf43	292.6062
C4orf46	320.4851	C4orf46	174.6198
C4orf48	25.1191	C4orf48	6.817
removed	removed	C4orf49	23.5973
C4orf52	200.0866	C4orf52	288.4111
C4orf7	109.1382	C4orf7	79.182
C5AR1	113.0359	C5AR1	88.0965
C5orf13	2204.4175	C5orf13	680.6502
C5orf15	1130.3595	C5orf15	1340.8495
C5orf20	49.372	C5orf20	9.4389
C5orf22	1791.2516	C5orf22	519.6644
C5orf23	406.6696	C5orf23	209.7535
C5orf24	1473.3651	C5orf24	1450.4457
C5orf25	217.4101	C5orf25	213.9486
removed	removed	C5orf27	5.7682
C5orf28	425.2923	C5orf28	226.0094
C5orf30	300.563	C5orf30	577.871
C5orf32	366.3924	C5orf32	565.8102
C5orf33	748.809	C5orf33	834.2947
C5orf34	111.7367	C5orf34	42.9995
C5orf35	75.3573	C5orf35	150.4982
C5orf36	58.9	C5orf36	84.9502
C5orf38	35.5132	C5orf38	60.3041
C5orf39	49.8051	C5orf39	55.5847
C5orf41	534.8636	C5orf41	1171.4735
C5orf42	1446.9467	C5orf42	837.9654
C5orf43	766.1325	C5orf43	1036.7069
C5orf44	289.2031	C5orf44	458.3115
C5orf45	243.1312	C5orf45	257.0687
C5orf46	87.9168	removed	removed
C5orf49	15.5912	C5orf49	18.8778
C5orf4	286.7042	C5orf4	1570.0052
C5orf51	2314.8549	C5orf51	1051.914
C5orf53	241.6631	C5orf53	459.3603
C5orf54	111.7367	C5orf54	146.8275
C5orf55	44.175	C5orf55	76.56
C5orf56	35.1278	C5orf56	95.6633
C5orf62	429.1901	C5orf62	726.2716
C5	55.8683	C5	302.0451
C6orf105	97.4448	C6orf105	165.1809
C6orf106	3823.7332	C6orf106	2804.9292
C6orf108	509.3114	C6orf108	194.022
C6orf114	22.5206	C6orf114	14.6827
C6orf115	834.5604	C6orf115	231.2533
C6orf120	1026.1888	C6orf120	1077.9444
C6orf122	11.6934	C6orf122	12.2653
removed	removed	C6orf123	12.5852
C6orf124	11.6934	C6orf124	28.8411
C6orf125	582.1611	C6orf125	482.0346
C6orf126	11.2603	removed	removed
C6orf127	20.3551	removed	removed
C6orf129	316.1542	C6orf129	62.9261
C6orf130	416.6306	C6orf130	387.9916
C6orf132	241.23	C6orf132	239.6434
C6orf134	219.1425	C6orf134	316.7278
C6orf136	215.6778	C6orf136	156.7908
C6orf138	44.175	C6orf138	11.0121
C6orf141	16.8904	C6orf141	94.3891
C6orf142	6.4963	C6orf142	5.2438
C6orf145	851.4508	C6orf145	710.0157
removed	removed	C6orf147	10.1101
C6orf150	58.4669	C6orf150	63.4504
C6orf153	1416.1975	C6orf153	463.5553
C6orf154	6.0632	C6orf154	10.4877
C6orf155	13.4257	C6orf155	120.6083
C6orf15	19.489	C6orf15	7.3414
C6orf162	66.6955	C6orf162	125.0446
removed	removed	C6orf163	12.0608
C6orf164	5.6301	C6orf164	19.6854
C6orf165	12.7111	C6orf165	13.4819
C6orf167	300.9961	C6orf167	286.3136
C6orf168	88.783	C6orf168	142.6324
C6orf170	88.783	C6orf170	181.4368
C6orf174	54.2183	C6orf174	121.5522
C6orf176	11.5158	removed	removed
C6orf182	155.4786	C6orf182	120.0839
C6orf186	10.3941	C6orf186	9.9633
C6orf192	321.7843	C6orf192	303.6182
C6orf1	220.0087	C6orf1	173.0467
removed	removed	C6orf201	37.3361
C6orf203	258.9866	C6orf203	186.1563
C6orf204	55.0022	C6orf204	97.011
removed	removed	C6orf208	9.2344
C6orf211	470.7666	C6orf211	961.72
removed	removed	C6orf217	9.9633
C6orf223	6.1109	removed	removed
C6orf225	86.1845	C6orf225	194.5464
C6orf226	46.7735	C6orf226	46.6702
removed	removed	C6orf25	5.2438
C6orf26	5.1971	C6orf26	23.0729
C6orf27	10.8272	C6orf27	56.1091
C6orf35	295.799	C6orf35	396.9586
removed	removed	C6orf41	9.9633
C6orf47	624.9459	C6orf47	682.7478
C6orf48	1320.4851	C6orf48	1247.5092
removed	removed	C6orf52	5.2438
C6orf57	75.7904	C6orf57	83.9014
removed	removed	C6orf59	14.6827
C6orf62	5892.958	C6orf62	2749.0246
C6orf64	753.1399	C6orf64	642.8946
C6orf70	216.1109	C6orf70	342.947
C6orf72	603.7246	C6orf72	824.3314
C6orf89	2659.5929	C6orf89	3541.1641
C6orf97	74.9242	C6orf97	605.139
C6	9.961	C6	96.4866
C7orf10	126.0286	C7orf10	57.1578
C7orf11	259.8528	C7orf11	252.753
C7orf13	64.5301	C7orf13	92.2916
C7orf23	186.2278	C7orf23	246.8222
C7orf25	294.7207	C7orf25	304.1426
C7orf26	512.7761	C7orf26	572.1028
C7orf27	585.1018	C7orf27	881.4893
C7orf28A	880.9008	C7orf28A	930.7813
C7orf28B	845.3876	C7orf28B	76.56
C7orf29	81.8536	C7orf29	128.9984
C7orf30	252.0572	C7orf30	259.0456
C7orf31	63.6639	C7orf31	142.108
C7orf36	159.8094	C7orf36	197.6927
C7orf40	190.1256	C7orf40	268.4845
C7orf41	482.0269	C7orf41	2884.1112
C7orf42	2583.8025	C7orf42	3080.7551
C7orf43	286.7042	C7orf43	260.0944
C7orf44	706.7995	C7orf44	659.1505
C7orf46	38.9779	C7orf46	123.7546
C7orf47	132.0918	C7orf47	126.9009
C7orf49	625.4916	C7orf49	490.4248
C7orf50	540.4937	C7orf50	613.0047
C7orf51	10.3941	C7orf51	69.2187
C7orf53	16.4573	C7orf53	29.3655
C7orf55	139.0212	C7orf55	172.2706
C7orf58	239.9307	C7orf58	876.2454
C7orf59	490.2555	C7orf59	668.5894
C7orf60	276.3101	C7orf60	308.8621
removed	removed	C7orf61	10.4877
C7orf63	43.3088	C7orf63	210.8023
C7orf64	178.4322	C7orf64	315.6791
C7orf68	927.2412	C7orf68	335.6057
C7orf70	572.1091	C7orf70	381.7514
C7	1721.0914	C7	1435.763
C8orf30A	794.7163	C8orf30A	389.0928
removed	removed	C8orf31	8.9145
C8orf33	1341.2733	C8orf33	1157.8395
removed	removed	C8orf34	29.8899
C8orf37	91.8146	C8orf37	109.5962
C8orf38	377.2196	C8orf38	162.559
C8orf39	10.8272	C8orf39	12.0608
C8orf40	277.6094	C8orf40	543.7861
C8orf41	182.5942	C8orf41	253.5501
C8orf42	156.7778	C8orf42	391.7147
C8orf44	38.6271	C8orf44	51.3319
C8orf45	18.1897	C8orf45	46.1458
C8orf46	7.3625	C8orf46	32.5118
C8orf47	9.961	C8orf47	15.7315
C8orf48	13.8588	C8orf48	28.8411
C8orf4	700.7362	C8orf4	1594.1269
C8orf51	104.3742	C8orf51	41.9507
C8orf55	1183.6293	C8orf55	651.8091
C8orf58	157.644	C8orf58	253.8018
C8orf59	731.2819	C8orf59	382.9208
C8orf73	96.1455	C8orf73	66.5967
C8orf76	647.0333	C8orf76	212.4174
removed	removed	C8orf77	5.7682
C8orf79	117.3668	C8orf79	636.0776
C8orf80	10.8272	C8orf80	10.4877
C8orf83	677.7826	C8orf83	668.5894
C8orf84	385.4482	C8orf84	472.4698
C8orf85	3064.9632	C8orf85	176.7174
C9orf100	76.7085	C9orf100	38.1647
C9orf102	149.9394	C9orf102	297.9969
C9orf103	27.2845	C9orf103	71.8406
C9orf109	23.3867	C9orf109	15.7315
C9orf110	195.3227	C9orf110	177.2417
C9orf114	419.4586	C9orf114	524.1898
C9orf116	16.4573	C9orf116	42.4751
C9orf117	9.5279	C9orf117	9.4389
C9orf119	275.4439	C9orf119	221.29
removed	removed	C9orf122	37.7556
C9orf123	441.7497	C9orf123	571.054
C9orf125	56.7345	C9orf125	132.6691
removed	removed	C9orf128	6.817
C9orf129	85.275	C9orf129	122.517
C9orf130	148.0554	C9orf130	287.8028
C9orf140	937.6353	C9orf140	148.4006
C9orf142	355.1321	C9orf142	160.9858
C9orf150	221.741	C9orf150	404.2999
C9orf152	575.1408	C9orf152	641.8458
C9orf156	209.1815	C9orf156	350.2884
C9orf163	13.4257	C9orf163	13.634
C9orf167	174.5344	C9orf167	95.4379
C9orf16	578.1724	C9orf16	408.495
C9orf172	18.6228	C9orf172	5.7682
C9orf21	195.7557	C9orf21	175.1442
C9orf23	266.7822	C9orf23	336.13
C9orf25	433.0879	C9orf25	558.4688
C9orf30	251.6674	C9orf30	181.0225
C9orf37	108.272	C9orf37	123.2302
C9orf3	286.7432	C9orf3	482.6481
C9orf40	147.683	C9orf40	114.8401
C9orf41	197.9168	C9orf41	227.5773
removed	removed	C9orf43	6.817
C9orf45	72.7588	C9orf45	310.9596
C9orf46	191.4249	C9orf46	264.8138
C9orf47	14.8246	C9orf47	28.6156
C9orf5	1681.2473	C9orf5	3228.6314
C9orf64	304.4608	C9orf64	423.7021
C9orf66	12.5595	C9orf66	36.1825
C9orf68	10.3941	C9orf68	101.2061
C9orf69	1247.7263	C9orf69	832.7216
C9orf6	302.7285	C9orf6	456.2139
C9orf72	130.7926	C9orf72	312.0084
C9orf78	1250.3248	C9orf78	1210.2779
C9orf7	764.4002	C9orf7	532.2496
C9orf80	271.5461	C9orf80	295.7525
C9orf82	311.3902	C9orf82	329.3131
C9orf85	148.1161	C9orf85	151.5469
C9orf86	2484.1923	C9orf86	1417.9339
C9orf89	160.6756	C9orf89	227.5826
C9orf91	1005.1971	C9orf91	705.2963
C9orf93	42.4426	C9orf93	166.2297
C9orf95	287.5704	C9orf95	388.044
removed	removed	C9orf96	16.2559
C9orf98	16.8904	C9orf98	36.7069
C9orf9	68.861	C9orf9	164.1321
CA11	61.4985	CA11	305.1914
CA12	479.4283	CA12	3513.8962
CA13	43.0056	CA13	127.8291
removed	removed	CA14	9.4389
CA2	223.9065	CA2	825.9046
CA3	7.2326	CA3	412.8107
removed	removed	CA4	196.1196
CA5BP	462.971	CA5BP	217.6193
CA5B	1273.7202	CA5B	431.075
removed	removed	CA6	9.4389
CA8	255.955	CA8	334.0325
CA9	73.2178	removed	removed
CAB39L	644.0017	CAB39L	1668.065
CAB39	2535.2967	CAB39	1996.8537
CABC1	731.0741	CABC1	1602.968
CABIN1	2176.6999	CABIN1	1847.4043
CABLES1	748.809	CABLES1	765.076
CABLES2	250.7579	CABLES2	182.4856
removed	removed	CABP1	19.4022
removed	removed	CABP4	39.7431
CABYR	77.9558	CABYR	126.9009
CACHD1	457.3408	CACHD1	1248.0336
CACNA1A	22.9537	CACNA1A	22.0241
removed	removed	CACNA1B	5.2438
CACNA1C	521.4379	CACNA1C	779.2344
CACNA1D	258.9866	CACNA1D	195.0708
CACNA1E	18.6228	removed	removed
removed	removed	CACNA1F	31.463
CACNA1G	36.3794	CACNA1G	100.1573
CACNA1H	809.4413	CACNA1H	181.9612
CACNA1I	18.6228	CACNA1I	22.5485
CACNA2D1	131.6587	CACNA2D1	274.2528
CACNA2D2	48.9389	CACNA2D2	319.3498
CACNA2D3	9.5279	CACNA2D3	11.5364
CACNA2D4	32.4816	CACNA2D4	67.6455
CACNB1	200.9528	CACNB1	129.5228
CACNB2	28.5838	CACNB2	48.7677
CACNB3	757.9039	CACNB3	384.3734
CACNB4	40.7103	CACNB4	254.3262
CACNG4	1343.0056	CACNG4	520.1888
CACYBP	1617.5834	CACYBP	918.7205
CADM1	676.4833	CADM1	846.3555
removed	removed	CADM2	31.463
CADM3	310.3898	CADM3	628.0283
CADM4	874.8376	CADM4	780.8076
CADPS2	1562.1481	CADPS2	1328.2643
CADPS	8.6618	removed	removed
CAD	1636.6392	CAD	1792.344
CALB2	919.0126	CALB2	413.7389
CALCOCO1	1013.8588	CALCOCO1	2955.4274
CALCOCO2	1077.9558	CALCOCO2	2373.3613
CALCRL	1591.165	CALCRL	725.7472
removed	removed	CALCR	39.3288
CALD1	14203.5513	CALD1	9880.9649
CALHM2	609.7878	CALHM2	778.71
CALM1	10098.744	CALM1	5751.9664
CALM2	9471.1997	CALM2	6657.053
CALM3	4163.7072	CALM3	3934.9764
CALML3	296.2321	CALML3	512.8474
CALML4	213.9454	CALML4	299.4232
CALML5	3272.8454	CALML5	231.7777
CALN1	12.1265	CALN1	42.4751
CALR	11660.026	CALR	9584.1636
CALU	7581.204	CALU	2851.075
CAMK1D	213.5123	CAMK1D	114.8401
CAMK1G	6.0632	CAMK1G	5.2438
CAMK1	141.5938	CAMK1	381.7567
CAMK2A	16.4573	removed	removed
CAMK2B	19.922	CAMK2B	258.5212
CAMK2D	1572.1091	CAMK2D	975.354
CAMK2G	965.353	CAMK2G	697.9549
CAMK2N1	840.6236	CAMK2N1	1227.0582
CAMK2N2	6.4963	removed	removed
CAMK4	38.1117	CAMK4	11.5364
CAMKK1	401.0394	CAMKK1	264.8138
CAMKK2	1262.0182	CAMKK2	1714.2108
CAMLG	697.2715	CAMLG	937.5983
CAMSAP1L1	2223.4734	CAMSAP1L1	1512.8474
CAMSAP1	1438.285	CAMSAP1	1215.5218
CAMTA1	585.968	CAMTA1	517.0425
CAMTA2	989.1728	CAMTA2	1373.8857
CAND1	4278.0424	CAND1	3284.216
CAND2	36.8125	CAND2	93.3403
CANT1	2282.3733	CANT1	1726.796
CANX	81987.8735	CANX	14212.8998
CAP1	11389.346	CAP1	5702.15
CAP2	459.5063	CAP2	485.0551
CAPG	1084.0191	CAPG	1470.3723
CAPN10	152.88	CAPN10	294.4258
CAPN11	13.4257	CAPN11	154.1689
CAPN12	35.2534	CAPN12	58.8778
CAPN13	381.1174	CAPN13	280.021
CAPN14	5.1971	CAPN14	6.2926
CAPN1	5427.8909	CAPN1	3160.4615
CAPN2	10517.9731	CAPN2	4993.7074
CAPN3	20.3551	CAPN3	226.3031
CAPN5	249.8917	CAPN5	459.8846
CAPN6	216.1109	CAPN6	914.5254
CAPN7	633.1745	CAPN7	1115.8888
CAPN8	29.8831	CAPN8	618.7729
CAPN9	34.2139	CAPN9	20.9754
CAPNS1	5192.291	CAPNS1	4502.3597
CAPRIN1	8327.8476	CAPRIN1	6026.2192
CAPRIN2	197.4881	CAPRIN2	448.3482
CAPS2	11.2603	CAPS2	81.2795
CAPS	74.058	CAPS	145.2543
CAPZA1	4484.1923	CAPZA1	1789.7221
CAPZA2	1952.3603	CAPZA2	1727.8448
removed	removed	CAPZA3	7.3414
CAPZB	5692.5076	CAPZB	3272.6796
CARD10	301.4292	CARD10	830.624
CARD11	203.5513	CARD11	114.8401
CARD14	255.0888	CARD14	213.9486
CARD16	91.3816	CARD16	79.7063
CARD6	345.6042	CARD6	320.9229
CARD8	614.5518	CARD8	917.1474
CARD9	77.0896	CARD9	50.8652
CARHSP1	1244.5777	CARHSP1	1088.6209
CARKD	658.2936	CARKD	1177.7661
CARM1	911.6501	CARM1	772.4174
CARNS1	13.8588	CARNS1	49.8165
CARS2	373.2135	CARS2	511.0278
CARS	1112.6029	CARS	700.0472
removed	removed	CASC1	49.8165
CASC2	19.489	CASC2	39.8532
CASC3	2492.854	CASC3	3435.763
CASC4	2844.5214	CASC4	2674.3576
CASC5	558.2503	CASC5	14.6827
CASD1	471.1997	CASD1	878.8673
CASKIN1	48.4885	CASKIN1	27.0215
CASKIN2	914.1533	CASKIN2	1505.3644
CASK	1912.5162	CASK	1372.3125
CASP10	268.9476	CASP10	427.3728
removed	removed	CASP12	7.3414
CASP14	114.7683	removed	removed
CASP1	277.1763	CASP1	548.5055
CASP2	1345.1711	CASP2	1102.2549
CASP3	1155.9117	CASP3	515.4693
CASP4	655.6951	CASP4	756.6859
CASP6	406.6696	CASP6	307.8133
CASP7	572.5422	CASP7	833.2459
CASP8AP2	689.9091	CASP8AP2	861.0383
CASP8	458.207	CASP8	449.397
CASP9	234.7337	CASP9	326.1668
CASQ2	63.6639	CASQ2	116.4132
CASS4	24.2529	CASS4	19.9266
CAST	5411.165	CAST	4150.2832
CASZ1	1275.877	CASZ1	1211.8511
CATSPER2P1	17.055	CATSPER2P1	30.7027
CATSPER2	12.1265	CATSPER2	74.9607
CATSPERB	33.3478	CATSPERB	29.3655
removed	removed	CATSPERG	48.2433
CAT	1291.9013	CAT	3918.7205
CAV1	1834.5604	CAV1	8561.0907
CAV2	740.1472	CAV2	2316.2035
CBARA1	1168.4712	CBARA1	983.7441
CBFA2T2	639.2378	CBFA2T2	1257.4725
CBFA2T3	249.4586	CBFA2T3	245.936
CBFB	1400.1732	CBFB	850.5506
CBLB	840.1906	CBLB	622.4436
CBLC	392.8107	CBLC	202.4122
CBLL1	657.4275	CBLL1	795.4903
CBLN1	26.8515	CBLN1	21.4997
CBLN2	11.6934	removed	removed
CBLN3	48.9389	CBLN3	94.9135
CBLN4	33.7809	CBLN4	31.463
CBL	1485.4916	CBL	1482.4331
CBR1	417.042	CBR1	641.7147
CBR3	317.8865	CBR3	194.9764
CBR4	623.6466	CBR4	605.6633
