gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
ACOT1	457.2083	ACOT1	1417.564
ACOT2	337.0409	ACOT2	870.7825
ACOT4	224.3124	ACOT4	217.5162
ACOT6	5.15	ACOT6	9.0931
ACOT7	345.6243	ACOT7	314.6686
ACOT8	247.8023	ACOT8	238.301
ACOT9	475.5195	ACOT9	882.7471
ACOX1	1915.2391	ACOX1	2865.5181
ACOX2	48.067	ACOX2	424.7428
ACOX3	626.0148	ACOX3	292.4145
ACP1	1169.6291	ACP1	1192.6298
ACP2	1031.1505	ACP2	1373.7736
ACP5	1005.4004	ACP5	1924.1445
ACP6	175.101	ACP6	84.2307
ACPL2	515.5753	ACPL2	371.8593
ACPP	32.6169	ACPP	30.6293
ACRBP	13.1612	ACRBP	35.8938
ACRC	14.3056	ACRC	28.715
removed	removed	ACR	5.9823
removed	removed	ACSBG1	12.9218
ACSF2	789.0991	ACSF2	859.0572
ACSF3	144.7731	ACSF3	315.6257
ACSL1	2172.7406	ACSL1	15313.7114
ACSL3	5098.5301	ACSL3	1810.481
ACSL4	1545.0091	ACSL4	2954.5346
ACSL5	254.6404	ACSL5	1137.3534
ACSL6	8.0112	ACSL6	6.9395
ACSM1	6.2945	removed	removed
ACSM3	34.8714	ACSM3	19.2797
ACSM5	36.0502	ACSM5	520.2201
ACSS1	421.158	ACSS1	381.1917
ACSS2	706.1264	ACSS2	3361.3305
ACSS3	119.0229	ACSS3	831.0601
ACTA1	72.6727	removed	removed
ACTA2	6804.1229	ACTA2	6599.5166
ACTBL2	8.0112	removed	removed
ACTB	133786.9175	ACTB	93221.3448
ACTC1	69.2393	ACTC1	46.1833
ACTG1	69084.2245	ACTG1	59096.1953
ACTG2	216.3013	ACTG2	367.552
ACTL6A	1064.9118	ACTL6A	721.2252
ACTN1	7394.2992	ACTN1	3793.9698
ACTN4	8118.8799	ACTN4	6919.3372
ACTR10	1231.4295	ACTR10	1622.637
ACTR1A	2134.4015	ACTR1A	3737.7363
ACTR1B	1032.295	ACTR1B	1287.15
ACTR2	9402.8111	ACTR2	6644.1732
ACTR3B	217.4457	ACTR3B	93.0845
ACTR3C	26.8946	ACTR3C	14.8361
ACTR3	5772.6119	ACTR3	4486.7193
ACTR5	203.7123	ACTR5	197.1764
ACTR6	393.119	ACTR6	517.8272
ACTR8	472.6583	ACTR8	384.5418
ACVR1B	674.654	ACVR1B	586.7432
ACVR1C	20.6001	ACVR1C	1735.3434
ACVR1	1400.8083	ACVR1	1641.3017
ACVR2A	476.0917	ACVR2A	499.6411
ACVR2B	379.9578	ACVR2B	202.6801
ACVRL1	580.809	ACVRL1	2633.8837
ACY1	540.7532	ACY1	466.8413
ACYP1	27.4668	ACYP1	28.4757
ACYP2	78.3949	ACYP2	297.4396
removed	removed	ADAD2	14.0943
ADAL	111.0118	ADAL	199.33
ADAM10	2467.4368	ADAM10	1112.7064
ADAM11	5.15	removed	removed
ADAM12	9207.1099	ADAM12	1142.6179
ADAM15	1707.5212	ADAM15	4541.5626
ADAM17	1264.6186	ADAM17	694.6638
ADAM19	973.928	ADAM19	300.0718
ADAM22	90.9839	ADAM22	80.6413
ADAM23	112.1562	ADAM23	94.7595
ADAM28	131.6119	ADAM28	54.5585
removed	removed	ADAM32	48.5762
ADAM33	89.2672	ADAM33	823.4673
ADAM6	661.756	ADAM6	2579.4616
ADAM8	432.6026	ADAM8	93.0845
ADAM9	9681.4849	ADAM9	2953.8167
ADAMDEC1	92.7005	ADAMDEC1	5.9823
ADAMTS10	113.3007	ADAMTS10	180.4259
ADAMTS12	1147.3123	ADAMTS12	265.8531
ADAMTS13	29.1835	ADAMTS13	15.7933
ADAMTS14	183.1122	ADAMTS14	52.8835
ADAMTS15	152.212	ADAMTS15	223.0199
ADAMTS16	810.2714	ADAMTS16	545.3458
ADAMTS17	149.3509	ADAMTS17	48.0976
ADAMTS18	44.6336	ADAMTS18	386.2168
removed	removed	ADAMTS19	12.6825
ADAMTS1	845.7494	ADAMTS1	10277.5784
ADAMTS2	1956.4393	ADAMTS2	1324.001
ADAMTS3	66.9504	ADAMTS3	125.3888
ADAMTS4	1055.7562	ADAMTS4	1182.5796
ADAMTS5	698.6875	ADAMTS5	2282.8428
ADAMTS6	210.579	ADAMTS6	39.2438
ADAMTS7	336.4687	ADAMTS7	193.587
ADAMTS8	10.3001	ADAMTS8	25.8435
ADAMTS9	493.2585	ADAMTS9	2103.374
ADAMTSL1	149.3509	ADAMTSL1	374.9701
ADAMTSL2	318.1574	ADAMTSL2	78.727
ADAMTSL3	178.5344	ADAMTSL3	363.0055
ADAMTSL4	190.5511	ADAMTSL4	1900.9332
ADAMTSL5	81.256	ADAMTSL5	31.1079
ADAP1	36.3535	ADAP1	128.4614
ADAP2	500.1252	ADAP2	710.2178
ADARB1	497.8363	ADARB1	876.7648
ADAR	12702.8361	ADAR	4483.3692
ADAT1	374.8078	ADAT1	136.6356
ADAT2	49.2114	ADAT2	76.8126
ADAT3	32.6169	ADAT3	12.4432
ADA	150.4953	ADA	439.8181
ADCK1	140.7675	ADCK1	189.0404
ADCK2	1014.556	ADCK2	629.5765
ADCK4	448.0526	ADCK4	321.8473
ADCK5	152.7842	ADCK5	50.9691
ADCY1	121.8841	ADCY1	148.6001
ADCY2	81.8283	ADCY2	86.145
ADCY3	693.2055	ADCY3	1941.9095
ADCY4	105.2895	ADCY4	806.413
ADCY5	259.7904	ADCY5	260.5887
ADCY6	972.2113	ADCY6	2225.1735
ADCY7	1800.794	ADCY7	826.7528
removed	removed	ADCY8	6.7002
ADCY9	837.7383	ADCY9	564.7284
removed	removed	ADCYAP1R1	42.3546
ADCYAP1	6.2945	ADCYAP1	55.2764
ADC	345.6243	ADC	137.3534
ADD1	4891.9567	ADD1	7204.3551
ADD2	37.7669	ADD2	83.0342
ADD3	3562.6766	ADD3	4199.0907
ADH1A	13.1612	ADH1A	455.1328
ADH1B	670.0762	ADH1B	56512.3187
removed	removed	ADH1C	672.649
ADH5	2107.5069	ADH5	5003.1108
ADHFE1	44.6336	ADHFE1	233.3094
ADI1	727.871	ADI1	2949.7487
ADIPOQ	624.2981	ADIPOQ	38642.4982
ADIPOR1	3087.7293	ADIPOR1	2357.9804
ADIPOR2	4049.0683	ADIPOR2	3072.984
ADK	440.6137	ADK	481.2156
ADM2	19.4557	removed	removed
ADM	78.9671	ADM	1638.9088
ADNP2	624.8704	ADNP2	417.0854
ADNP	3207.8967	ADNP	1617.1333
ADORA1	121.3118	ADORA1	118.4494
ADORA2A	266.0849	ADORA2A	90.2082
ADORA2B	18.3112	ADORA2B	54.3192
ADORA3	295.8406	ADORA3	147.8823
ADO	634.026	ADO	905.4798
ADPGK	666.6428	ADPGK	963.0079
ADPRHL1	93.2728	ADPRHL1	82.3163
ADPRHL2	504.1308	ADPRHL2	657.3343
ADPRH	407.4246	ADPRH	865.7574
removed	removed	ADRA1A	33.5008
ADRA1B	44.0614	ADRA1B	91.1701
removed	removed	ADRA1D	18.1862
ADRA2A	290.6906	ADRA2A	1130.8926
ADRA2B	5.15	ADRA2B	60.7801
ADRA2C	90.4116	ADRA2C	207.7052
ADRB1	6.2945	ADRB1	127.7818
ADRB2	52.6448	ADRB2	522.1345
ADRBK1	1311.5411	ADRBK1	1484.0871
ADRBK2	602.5536	ADRBK2	2271.3568
ADRM1	656.915	ADRM1	1243.1204
ADSL	696.3986	ADSL	992.8212
ADSSL1	76.6782	ADSSL1	149.5573
ADSS	2752.9774	ADSS	1032.783
AEBP1	27380.4227	AEBP1	11747.7866
AEBP2	931.0111	AEBP2	701.364
AEN	365.6522	AEN	334.2905
AES	4220.736	AES	7553.721
AFAP1L1	330.7464	AFAP1L1	1097.3917
AFAP1L2	811.4159	AFAP1L2	631.4908
AFAP1	2427.9361	AFAP1	1013.3955
AFF1	2415.9365	AFF1	2143.575
AFF2	53.7892	AFF2	70.3518
AFF3	2962.4119	AFF3	187.1261
AFF4	5647.8667	AFF4	1797.3199
AFG3L1	88.695	AFG3L1	110.7921
AFG3L2	1072.5453	AFG3L2	1128.4111
AFMID	287.2573	AFMID	277.8177
removed	removed	AFP	8.6145
AFTPH	2109.7958	AFTPH	1027.04
AG2	196.8456	AG2	2237.8559
AGAP11	25.1779	AGAP11	115.8172
AGAP1	497.8363	AGAP1	296.2431
AGAP2	67.145	AGAP2	62.558
AGAP3	843.4605	AGAP3	1166.7863
AGAP4	67.5226	AGAP4	81.1199
AGAP5	12.589	AGAP5	13.0653
AGAP6	20.0279	AGAP6	45.7047
AGAP8	5.7223	AGAP8	14.1182
AGA	632.3093	AGA	453.6971
removed	removed	AGBL3	6.9395
AGBL4	18.3112	removed	removed
AGBL5	597.415	AGBL5	500.3685
AGER	5.15	AGER	32.0651
AGFG1	2025.6786	AGFG1	2419.9569
AGFG2	235.1847	AGFG2	433.118
AGGF1	1384.786	AGGF1	887.5329
AGK	489.8251	AGK	380.2345
AGL	1957.0116	AGL	1083.2735
AGMAT	22.889	AGMAT	5.0251
AGPAT1	2705.66	AGPAT1	2092.0292
AGPAT2	381.1022	AGPAT2	5906.1977
AGPAT3	2109.2236	AGPAT3	1568.3178
AGPAT4	361.6466	AGPAT4	378.3202
AGPAT5	695.8263	AGPAT5	582.436
AGPAT6	4169.8079	AGPAT6	1741.0864
AGPAT9	88.1227	AGPAT9	200.5264
AGPHD1	31.4724	AGPHD1	57.6693
AGPS	967.6335	AGPS	1886.0972
AGR2	4442.1873	AGR2	9.3324
AGR3	2098.3513	removed	removed
AGRN	4426.7372	AGRN	882.0292
AGTPBP1	476.6639	AGTPBP1	482.4121
AGTR1	128.7508	AGTR1	1270.1603
AGTRAP	682.0929	AGTRAP	767.4085
AGT	204.8568	AGT	84.2307
AGXT2L2	223.9233	AGXT2L2	683.6301
removed	removed	AGXT	5.2644
AHCTF1	1875.1833	AHCTF1	1070.1125
AHCYL1	6127.3917	AHCYL1	4689.6387
AHCYL2	969.9224	AHCYL2	525.006
AHCY	3391.0089	AHCY	1705.4319
AHDC1	652.3372	AHDC1	483.8478
AHI1	278.6739	AHI1	290.5001
AHNAK2	2125.2459	AHNAK2	1871.0218
AHNAK	52859.912	AHNAK	75764.7763
AHRR	33.1891	AHRR	34.2187
AHR	11321.4835	AHR	3572.1464
AHSA1	1664.032	AHSA1	1833.2137
AHSA2	106.434	AHSA2	138.7892
AIDA	1549.0319	AIDA	2789.6674
AIF1L	142.4842	AIF1L	3277.8177
AIF1	406.8524	AIF1	1759.2726
AIFM1	813.7048	AIFM1	904.044
AIFM2	127.0341	AIFM2	2535.0562
removed	removed	AIFM3	14.0105
AIG1	1003.1115	AIG1	1064.848
AIM1L	5.15	removed	removed
AIM1	2975.0009	AIM1	1398.1814
AIM2	14.8779	AIM2	17.7076
AIMP1	904.1164	AIMP1	972.8787
AIMP2	346.5341	AIMP2	390.4666
AIP	426.3081	AIP	1204.3551
AJAP1	12.0167	AJAP1	25.8435
AK1	274.0961	AK1	1144.5322
AK2	2294.0524	AK2	2093.3238
AK3L1	198.5623	AK3L1	426.6571
AK3	1535.2813	AK3	3381.1917
AK5	116.1618	AK5	12.2039
AK7	12.589	AK7	20.5791
AKAP10	500.1252	AKAP10	465.4223
AKAP11	1977.0394	AKAP11	1521.1773
AKAP12	1705.2323	AKAP12	6269.6817
AKAP13	4232.7528	AKAP13	3180.6652
AKAP1	901.2553	AKAP1	1570.95
AKAP2	849.6692	AKAP2	1646.1067
AKAP3	8.0112	AKAP3	13.161
AKAP5	134.473	AKAP5	13.4003
AKAP6	107.5784	AKAP6	63.6516
AKAP7	167.0899	AKAP7	295.7645
AKAP8L	533.8865	AKAP8L	481.2156
AKAP8	438.3248	AKAP8	424.5035
AKAP9	3928.3287	AKAP9	824.8385
AKD1	203.7123	AKD1	91.4094
AKIRIN1	1277.2075	AKIRIN1	1592.4862
AKIRIN2	698.1152	AKIRIN2	1116.5351
AKNA	519.5808	AKNA	728.4039
AKR1A1	1789.3495	AKR1A1	2101.9383
AKR1B10	5.7223	removed	removed
AKR1B15	19.4557	AKR1B15	41.1582
AKR1B1	853.1884	AKR1B1	2049.2941
AKR1C1	96.1339	AKR1C1	12765.9727
AKR1C2	60.6559	AKR1C2	8114.3814
AKR1C3	234.6125	AKR1C3	5782.9624
AKR1E2	12.589	AKR1E2	42.1153
AKR7A2	1050.6062	AKR7A2	1295.286
AKR7A3	477.8084	AKR7A3	9.0931
AKR7L	10.8723	removed	removed
AKT1S1	821.716	AKT1S1	849.4855
AKT1	2114.9458	AKT1	3209.1409
AKT2	2441.1144	AKT2	2716.2
removed	removed	AKT3	1223.0199
AKTIP	729.2901	AKTIP	883.6683
ALAD	1963.8783	ALAD	3068.1981
ALAS1	910.9832	ALAS1	1284.0392
removed	removed	ALAS2	35.4152
ALCAM	7289.5819	ALCAM	1040.6796
ALDH16A1	391.9745	ALDH16A1	510.4092
ALDH18A1	2333.536	ALDH18A1	1167.2649
