gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
DPEP2	20.6001	DPEP2	176.5973
DPF2	1069.4896	DPF2	854.0321
DPF3	5.15	DPF3	17.9469
DPH1	405.8567	DPH1	381.3711
DPH2	432.0303	DPH2	313.2328
DPH3B	28.6113	DPH3B	22.7327
DPH3	776.5101	DPH3	1169.6578
DPH5	425.2151	DPH5	464.604
DPM1	564.7867	DPM1	720.5073
DPM2	633.4537	DPM2	566.4034
DPM3	143.6286	DPM3	282.1249
DPP10	9.1556	removed	removed
DPP3	736.4543	DPP3	467.8153
DPP4	549.9088	DPP4	1785.3553
removed	removed	DPP6	73.7018
DPP7	1052.8951	DPP7	1687.2458
DPP8	588.8201	DPP8	335.0084
DPP9	1153.6068	DPP9	704.714
DPT	1714.3879	DPT	32426.8964
DPY19L1	1078.6453	DPY19L1	814.0704
DPY19L2P2	13.1612	removed	removed
DPY19L2P4	18.3112	removed	removed
DPY19L2	9.7278	DPY19L2	100.0239
DPY19L3	808.5548	DPY19L3	251.4956
DPY19L4	3196.4522	DPY19L4	932.759
DPY30	442.6909	DPY30	554.1134
DPYD	2160.7239	DPYD	1230.6772
DPYSL2	2069.74	DPYSL2	6443.6468
DPYSL3	9075.498	DPYSL3	8890.4044
DPYSL4	62.3726	DPYSL4	24.647
DR1	2014.2341	DR1	1187.3654
DRAM1	1093.5231	DRAM1	1226.1307
DRAM2	1044.3117	DRAM2	2053.362
DRAP1	537.3198	DRAP1	1069.6339
removed	removed	DRD1	16.9897
DRD2	5.7223	removed	removed
DRD4	10.3001	removed	removed
DRG1	803.4047	DRG1	1480.4977
DRG2	428.0247	DRG2	650.8734
DRP2	93.845	DRP2	7.8966
DSC2	762.7767	DSC2	428.3321
DSC3	38.3391	removed	removed
removed	removed	DSCAML1	18.904
DSCC1	220.3069	DSCC1	100.7418
DSCR3	953.9001	DSCR3	1268.7246
DSCR6	17.1668	removed	removed
DSEL	762.2045	DSEL	776.9801
DSE	1700.7747	DSE	1893.3477
DSG2	3218.769	DSG2	1759.7296
DSG3	33.7613	removed	removed
DSN1	544.7588	DSN1	298.636
DSP	21571.1884	DSP	163.4362
DSTN	17921.5336	DSTN	9632.2087
DSTYK	1055.7562	DSTYK	797.7985
DST	3099.1738	DST	3436.2288
DTD1	286.685	DTD1	551.8067
DTL	533.8865	DTL	78.0091
DTNA	376.5244	DTNA	336.9227
DTNBP1	361.0744	DTNBP1	493.8981
DTNB	517.8642	DTNB	122.2781
DTWD1	314.7241	DTWD1	703.2783
DTWD2	378.2411	DTWD2	150.9931
DTX1	58.9392	DTX1	810.0024
DTX2	296.9851	DTX2	288.1072
DTX3L	3329.0254	DTX3L	1200.4882
DTX3	266.0849	DTX3	237.8559
DTX4	1371.0525	DTX4	965.3027
DTYMK	240.3348	DTYMK	368.5092
DULLARD	1352.7413	DULLARD	2351.9981
DUOX1	61.2281	DUOX1	46.6619
DUOX2	11.4445	removed	removed
DUOXA1	26.8946	DUOXA1	9.9186
DUS1L	500.1252	DUS1L	824.1206
DUS2L	126.4619	DUS2L	162.0005
DUS3L	155.6454	DUS3L	173.4865
DUS4L	224.919	DUS4L	102.2039
DUSP10	611.7092	DUSP10	224.4556
DUSP11	482.3862	DUSP11	601.1007
DUSP12	169.951	DUSP12	261.7851
DUSP14	398.8412	DUSP14	946.638
DUSP15	52.0725	DUSP15	11.2467
DUSP16	2671.1491	DUSP16	604.9294
DUSP18	158.4893	DUSP18	130.1531
DUSP19	133.9008	DUSP19	126.5853
DUSP1	2870.2836	DUSP1	20493.8981
DUSP22	928.1499	DUSP22	1934.9127
DUSP23	313.5796	DUSP23	830.8208
DUSP27	9.7278	DUSP27	18.1862
DUSP28	61.8004	DUSP28	53.362
DUSP2	72.6727	DUSP2	144.0536
DUSP3	2542.9706	DUSP3	2776.7408
DUSP4	881.2274	DUSP4	98.1096
DUSP5	414.8636	DUSP5	605.6473
DUSP6	1185.6514	DUSP6	4235.7023
DUSP7	482.3862	DUSP7	789.184
DUSP8	239.1903	DUSP8	146.4465
DUT	673.5095	DUT	1265.0323
removed	removed	DUXA	6.9395
DVL1	389.6856	DVL1	709.2606
DVL2	451.486	DVL2	544.1493
DVL3	2126.3903	DVL3	1329.744
DYM	822.2882	DYM	725.0538
DYNC1H1	9714.674	DYNC1H1	6984.6853
DYNC1I1	18.3112	DYNC1I1	70.5911
DYNC1I2	2455.9923	DYNC1I2	2203.1587
DYNC1LI1	436.6081	DYNC1LI1	970.0885
DYNC1LI2	3266.836	DYNC1LI2	4232.5915
DYNC2H1	1031.1505	DYNC2H1	388.1311
DYNC2LI1	347.9132	DYNC2LI1	479.5406
DYNLL1	3013.9122	DYNLL1	5919.8373
DYNLL2	1813.9552	DYNLL2	1333.094
DYNLRB1	1437.4307	DYNLRB1	2231.8737
DYNLRB2	8.5834	DYNLRB2	6.4609
DYNLT1	995.1003	DYNLT1	1346.4944
DYNLT3	1429.9918	DYNLT3	1002.6322
DYRK1A	1713.8157	DYRK1A	1343.1443
DYRK1B	413.7191	DYRK1B	277.5784
DYRK2	1310.3966	DYRK2	841.5889
DYRK3	192.84	DYRK3	295.7645
DYRK4	240.3348	DYRK4	240.4882
DYSF	626.587	DYSF	1283.8
DYX1C1	65.8059	DYX1C1	25.609
DZIP1L	48.067	DZIP1L	131.8497
DZIP1	319.6509	DZIP1	439.2438
DZIP3	498.254	DZIP3	326.8725
E2F1	126.4619	E2F1	74.8983
E2F2	116.734	E2F2	18.904
E2F3	519.5808	E2F3	336.6834
E2F4	638.6038	E2F4	1114.6207
E2F5	332.6004	E2F5	38.703
E2F6	223.7402	E2F6	390.524
E2F7	40.628	E2F7	5.9823
E2F8	70.956	E2F8	21.0577
E4F1	358.7855	E4F1	223.0199
EAF1	947.6056	EAF1	687.7243
EAF2	41.7725	EAF2	66.2838
EAPP	735.3099	EAPP	876.5255
EARS2	1167.3402	EARS2	338.1192
EBAG9	1269.1964	EBAG9	614.0225
EBF1	385.1078	EBF1	3206.0302
EBF2	53.217	EBF2	189.0404
EBF3	188.8344	EBF3	1130.1747
EBF4	416.5802	EBF4	101.2204
EBI3	32.0446	EBI3	40.6796
EBNA1BP2	744.1794	EBNA1BP2	763.1012
EBPL	493.2585	EBPL	511.8449
EBP	341.0465	EBP	387.4133
ECD	619.7203	ECD	602.0579
ECE1	2628.8044	ECE1	6408.2316
ECE2	96.7061	ECE2	60.0622
removed	removed	ECEL1	6.2216
ECH1	1252.0296	ECH1	4015.0754
ECHDC1	1266.9075	ECHDC1	1980.3781
ECHDC2	135.0452	ECHDC2	447.2362
ECHDC3	42.3447	ECHDC3	802.8236
ECHS1	1170.2014	ECHS1	4617.6119
ECM1	1432.2807	ECM1	2369.7057
ECM2	1423.1251	ECM2	6427.8536
ECSCR	91.5561	ECSCR	741.565
ECSIT	431.4581	ECSIT	667.1453
ECT2L	6.8667	ECT2L	8.6145
ECT2	880.083	ECT2	297.4396
EDA2R	207.7179	EDA2R	117.4922
EDARADD	110.4395	EDARADD	30.39
EDA	69.2393	EDA	217.5162
EDC3	548.1921	EDC3	575.2572
EDC4	737.9192	EDC4	746.0254
EDEM1	1914.6669	EDEM1	1046.6619
EDEM2	626.587	EDEM2	603.733
EDEM3	2768.4275	EDEM3	1305.3362
EDF1	1202.8182	EDF1	3219.9091
EDIL3	1060.334	EDIL3	150.7538
EDN1	175.6733	EDN1	486.9586
EDN2	94.4172	removed	removed
EDNRA	1554.1647	EDNRA	571.9072
EDNRB	209.4346	EDNRB	1109.117
EEA1	1330.4245	EEA1	1315.3865
EED	334.752	EED	411.5817
EEF1A1P9	5535.1382	EEF1A1P9	8905.9584
EEF1A1	92387.5398	EEF1A1	139282.8428
EEF1A2	41.7725	EEF1A2	11.2467
EEF1B2	2338.686	EEF1B2	5602.5365
EEF1D	3750.9388	EEF1D	6338.1192
EEF1E1	275.8127	EEF1E1	242.6418
EEF1G	13544.0077	EEF1G	18206.0302
EEF2K	1572.4759	EEF2K	1519.9809
EEF2	41100.6759	EEF2	40699.6889
EEFSEC	280.917	EEFSEC	387.0328
EEPD1	311.2907	EEPD1	1110.7921
EFCAB2	52.0725	EFCAB2	136.8749
EFCAB4A	103.0006	EFCAB4A	88.0593
EFCAB4B	469.7972	EFCAB4B	22.2541
EFCAB6	20.0279	EFCAB6	9.3324
EFCAB7	168.2343	EFCAB7	138.3106
EFEMP1	3012.7678	EFEMP1	14033.9794
EFEMP2	1232.5739	EFEMP2	2921.7516
EFHA1	909.8387	EFHA1	892.7973
EFHA2	49.2114	EFHA2	176.1187
removed	removed	EFHB	29.1936
EFHC1	271.2349	EFHC1	189.7583
EFHC2	29.1835	EFHC2	7.1788
EFHD1	4228.175	EFHD1	841.3496
EFHD2	656.915	EFHD2	1665.2309
EFNA1	1416.8306	EFNA1	875.329
EFNA3	74.9616	EFNA3	55.5468
EFNA4	219.7346	EFNA4	100.7107
EFNA5	125.3174	EFNA5	357.2625
EFNB1	429.7414	EFNB1	1550.1316
EFNB2	1492.3644	EFNB2	1621.2012
EFNB3	100.1395	EFNB3	77.5305
EFR3A	5709.667	EFR3A	1818.1383
EFR3B	82.4005	EFR3B	74.8983
EFS	805.6936	EFS	550.6102
EFTUD1	644.8983	EFTUD1	527.1596
EFTUD2	1981.3826	EFTUD2	1638.2603
EGFL6	135.0452	EGFL6	2085.6664
EGFL7	203.7123	EGFL7	2235.7023
EGFL8	36.342	EGFL8	163.9316
EGFLAM	192.2678	EGFLAM	655.42
EGFR	247.2015	EGFR	666.6619
EGF	40.0558	removed	removed
EGLN1	1650.8709	EGLN1	1816.4633
EGLN2	1169.6291	EGLN2	1864.7978
EGLN3	879.5107	EGLN3	136.157
EGR1	2988.7343	EGR1	37831.7779
EGR2	420.5858	EGR2	2937.0663
EGR3	168.8066	EGR3	2395.7885
EHBP1L1	407.4246	EHBP1L1	1085.9057
EHBP1	896.0996	EHBP1	2593.6827
EHD1	1348.1635	EHD1	1530.9883
EHD2	3456.8148	EHD2	11380.9524
EHD3	327.313	EHD3	138.7892
EHD4	1376.7748	EHD4	2452.5006
EHF	1165.0513	removed	removed
EHHADH	192.84	EHHADH	537.4492
EHMT1	1068.9174	EHMT1	826.9921
EHMT2	1304.6744	EHMT2	853.7928
EI24	3070.5626	EI24	2572.625
EID1	3316.0474	EID1	6444.3647
EID2B	34.3335	EID2B	60.5408
EID2	281.535	EID2	335.0084
EID3	18.8834	EID3	83.7521
EIF1AD	688.9596	EIF1AD	448.1933
EIF1AX	2588.7486	EIF1AX	2372.0986
EIF1B	628.8759	EIF1B	1302.704
EIF1	7998.5694	EIF1	21768.1263
EIF2AK1	5370.5719	EIF2AK1	1989.2893
EIF2AK2	620.8648	EIF2AK2	247.9062
EIF2AK3	1175.9236	EIF2AK3	703.9962
EIF2AK4	1301.8132	EIF2AK4	1498.4446
EIF2A	1667.4654	EIF2A	2064.848
EIF2B1	753.0489	EIF2B1	1355.1089
EIF2B2	439.4693	EIF2B2	621.6798
EIF2B3	462.3583	EIF2B3	962.9098
EIF2B4	516.7197	EIF2B4	854.0321
EIF2B5	872.0718	EIF2B5	853.0749
EIF2C1	1283.502	EIF2C1	777.2194
EIF2C2	351.9187	EIF2C2	103.1347
EIF2C3	166.5176	EIF2C3	122.0388
EIF2C4	508.7086	EIF2C4	346.0158
EIF2S1	1884.3389	EIF2S1	2035.6545
EIF2S2	1506.67	EIF2S2	1977.7459
EIF2S3	6084.4748	EIF2S3	4232.8308
EIF3A	3958.6567	EIF3A	5209.3802
EIF3B	3155.252	EIF3B	3211.0553
EIF3CL	5601.0472	EIF3CL	4731.1989
EIF3C	178.4314	EIF3C	65.1639
EIF3D	3333.7863	EIF3D	4485.2836
EIF3E	3642.2159	EIF3E	8499.1625
EIF3F	2045.7065	EIF3F	3491.0266
EIF3G	1265.1908	EIF3G	2510.1436
EIF3H	9843.997	EIF3H	4578.6073
EIF3I	2834.8056	EIF3I	3998.0905
EIF3J	1450.5919	EIF3J	1854.0321
EIF3K	2054.2899	EIF3K	3967.217
EIF3L	5768.034	EIF3L	9465.6616
EIF3M	2705.3625	EIF3M	3062.5197
EIF4A1	6449.5318	EIF4A1	11629.9976
EIF4A2	7969.3859	EIF4A2	8445.3218
EIF4A3	1940.417	EIF4A3	1487.4372
EIF4B	7021.128	EIF4B	10508.7892
EIF4E2	1245.1629	EIF4E2	1746.8294
EIF4E3	1079.2175	EIF4E3	1806.413
EIF4EBP1	1078.073	EIF4EBP1	551.0888
EIF4EBP2	4154.3579	EIF4EBP2	9627.9014
EIF4EBP3	397.0273	EIF4EBP3	431.9622
EIF4ENIF1	798.2547	EIF4ENIF1	586.0254
EIF4E	568.7922	EIF4E	583.3932
EIF4G1	7310.7543	EIF4G1	5401.2922
EIF4G2	26960.9814	EIF4G2	20502.2733
EIF4G3	2406.2086	EIF4G3	1576.693
EIF4H	3732.6276	EIF4H	4717.8751
EIF5A2	243.7681	EIF5A2	356.7839
EIF5AL1	736.4543	EIF5AL1	1232.8308
EIF5A	3334.3586	EIF5A	4751.3759
EIF5B	3174.1354	EIF5B	3909.0692
EIF5	6682.4506	EIF5	4940.895
EIF6	1502.0922	EIF6	1735.1041
ELAC1	97.8792	ELAC1	159.2032
ELAC2	951.6112	ELAC2	1440.536
removed	removed	ELANE	17.229
ELAVL1	1957.5838	ELAVL1	1311.7971
ELAVL2	18.3112	ELAVL2	6.9395
ELF1	2084.0456	ELF1	1555.8746
ELF2	874.9329	ELF2	1003.5894
ELF3	1401.3805	removed	removed
ELF4	714.7098	ELF4	821.4884
ELFN1	57.2226	ELFN1	117.4922
ELFN2	12.0167	removed	removed
ELK1	809.127	ELK1	541.9957
ELK3	921.8554	ELK3	862.6466
ELK4	267.2294	ELK4	78.9663
ELL2	983.6558	ELL2	935.8698
ELL3	184.1308	ELL3	136.9012
ELL	327.8853	ELL	408.4709
ELMO1	552.7699	ELMO1	1075.1376
ELMO2	1676.621	ELMO2	1083.5128
ELMO3	137.9064	ELMO3	10.5288
ELMOD2	314.1519	ELMOD2	179.2295
ELMOD3	254.0682	ELMOD3	1387.8918
ELN	3459.676	ELN	15664.2737
ELOF1	498.9807	ELOF1	699.4496
ELOVL1	1416.8306	ELOVL1	2298.8753
ELOVL2	1929.5447	ELOVL2	47.3798
removed	removed	ELOVL3	75.6162
ELOVL4	72.6727	ELOVL4	104.5705
ELOVL5	6324.2373	ELOVL5	5742.7614
ELOVL6	139.0508	ELOVL6	158.1718
ELOVL7	75.5338	ELOVL7	346.0158
removed	removed	ELP2P	7.6573
ELP2	1234.2906	ELP2	1156.2575
ELP3	749.6155	ELP3	844.4604
ELP4	319.3019	ELP4	285.9536
ELTD1	1156.4679	ELTD1	5970.5671
EMB	679.2318	EMB	1281.8856
EMCN	545.9032	EMCN	2845.6569
EMD	850.3272	EMD	929.1697
EME1	21.201	EME1	10.6676
EMG1	465.2194	EMG1	645.3697
EMID1	40.628	EMID1	72.7447
EMILIN1	1292.0854	EMILIN1	1222.0627
EMILIN2	555.6311	EMILIN2	2917.6837
EMILIN3	13.001	EMILIN3	15.4343
EML1	438.897	EML1	1116.5351
EML2	415.4358	EML2	269.9139
EML3	523.5864	EML3	1224.9342
EML4	1622.2596	EML4	868.8682
EML5	30.9002	EML5	21.5363
EML6	8.5834	EML6	13.6396
EMP1	5985.4798	EMP1	26550.3709
EMP2	6521.6552	EMP2	3669.7775
EMP3	585.959	EMP3	2524.2881
EMR1	24.6057	EMR1	19.8612
EMR2	259.2182	EMR2	142.1393
removed	removed	EMR3	17.9469
EMX1	11.4445	removed	removed
EMX2OS	141.3397	EMX2OS	464.9438
EMX2	59.5115	EMX2	200.5264
EN1	74.9616	EN1	156.4968
EN2	21.1723	EN2	5.2644
ENAH	8751.0461	ENAH	2779.6123
ENC1	2409.4188	ENC1	694.1685
ENDOD1	1250.3129	ENDOD1	1482.6514
ENDOG	89.931	ENDOG	168.112
removed	removed	ENDOU	30.8686
ENGASE	143.6286	ENGASE	173.0079
ENG	2700.3326	ENG	9726.9682
ENHO	31.4724	ENHO	33.7401
ENKUR	8.0112	removed	removed
ENO1	10788.7415	ENO1	16494.8552
ENO2	811.4159	ENO2	346.7337
ENO3	10.3001	ENO3	20.8184
ENOPH1	934.4444	ENOPH1	710.457
ENOSF1	160.8469	ENOSF1	305.7693
ENOX1	163.0843	ENOX1	113.185
ENOX2	519.0086	ENOX2	453.4578
ENPEP	315.2963	ENPEP	653.7449
ENPP1	7345.66	ENPP1	1622.1584
ENPP2	605.9869	ENPP2	9432.1608
ENPP3	31.4724	ENPP3	59.8229
ENPP4	216.3013	ENPP4	983.4889
ENPP5	48.6392	ENPP5	40.9189
ENPP6	28.6113	ENPP6	17.7076
ENSA	4186.9747	ENSA	3893.2759
ENTHD1	22.889	removed	removed
ENTPD1	2220.2353	ENTPD1	1575.9751
ENTPD2	31.4724	ENTPD2	22.972
ENTPD3	155.6454	ENTPD3	137.5927
ENTPD4	473.2306	ENTPD4	230.6772
ENTPD5	201.1201	ENTPD5	113.5989
ENTPD6	884.0886	ENTPD6	855.9464
ENTPD7	739.2125	ENTPD7	162.2733
ENTPD8	8.0112	removed	removed
ENY2	1026.0005	ENY2	757.1189
EOMES	17.739	EOMES	19.1433
EP300	3250.2414	EP300	1292.1752
EP400NL	81.256	EP400NL	41.6368
EP400	1258.3241	EP400	787.0304
EPAS1	5804.0843	EPAS1	17345.2979
EPB41L1	2810.1999	EPB41L1	2118.2101
EPB41L2	2451.9867	EPB41L2	5765.4941
EPB41L3	968.7779	EPB41L3	2935.6305
EPB41L4A	196.2734	EPB41L4A	564.2498
EPB41L4B	411.4302	EPB41L4B	1081.8378
EPB41L5	799.3992	EPB41L5	496.5303
EPB41	1128.0741	EPB41	1029.8421
removed	removed	EPB42	98.5882
EPB49	183.1122	EPB49	1424.2642
EPC1	553.3422	EPC1	388.849
EPC2	850.8995	EPC2	620.0048
EPCAM	1461.4642	EPCAM	5.0251
EPDR1	397.1246	EPDR1	1374.4915
EPHA10	58.9392	removed	removed
EPHA1	204.2845	EPHA1	5.0251
EPHA2	176.8177	EPHA2	713.0893
EPHA3	258.0737	EPHA3	330.7011
EPHA4	190.5511	EPHA4	486.0014
EPHA7	1707.5212	EPHA7	11.7253
EPHB1	58.367	EPHB1	48.3369
EPHB2	663.2095	EPHB2	308.9256
EPHB3	754.1933	EPHB3	195.0227
EPHB4	1623.404	EPHB4	2567.3606
EPHB6	37.7669	EPHB6	215.1232
EPHX1	4216.7304	EPHX1	8505.1448
EPHX2	111.0118	EPHX2	412.2996
removed	removed	EPHX3	10.0503
EPHX4	28.0391	EPHX4	27.2793
EPM2AIP1	703.2653	EPM2AIP1	525.006
EPM2A	133.9008	EPM2A	411.5817
EPN1	1348.7357	EPN1	1780.5695
EPN2	636.3149	EPN2	756.4011
EPN3	564.2144	removed	removed
EPOR	114.9716	EPOR	112.2206
EPPK1	3275.4193	removed	removed
EPR1	192.8515	EPR1	36.9179
EPRS	6035.2634	EPRS	2678.6313
EPS15L1	917.8499	EPS15L1	598.4685
EPS15	2581.3097	EPS15	2611.3903
EPS8L1	334.1798	EPS8L1	11.7253
EPS8L2	630.5926	EPS8L2	188.0833
EPS8	1602.8039	EPS8	3283.0821
EPSTI1	398.269	EPSTI1	247.4276
EPT1	1200.5236	EPT1	288.5858
EPYC	351.9187	removed	removed
ERAL1	763.9212	ERAL1	767.1692
ERAP1	2529.2772	ERAP1	3110.9667
ERAP2	72.1004	ERAP2	99.7846
ERBB2IP	3920.3176	ERBB2IP	1518.0665
ERBB2	4373.5203	ERBB2	835.128
ERBB3	4452.4874	ERBB3	44.9868
ERBB4	1621.1151	ERBB4	48.8155
ERC1	1986.7673	ERC1	1204.8337
ERC2	6.8667	removed	removed
ERCC1	733.021	ERCC1	933.2376
ERCC2	315.8685	ERCC2	240.2489
ERCC3	776.5101	ERCC3	868.1503
ERCC4	539.0365	ERCC4	251.017
ERCC5	894.9608	ERCC5	1111.9885
ERCC6L	84.1172	ERCC6L	10.2895
ERCC6	308.4639	ERCC6	151.6487
ERCC8	223.7402	ERCC8	228.7629
removed	removed	EREG	12.6825
ERF	677.5151	ERF	837.0424
ERGIC1	8215.4429	ERGIC1	4311.0792
ERGIC2	2975.0009	ERGIC2	877.9612
ERGIC3	3527.7708	ERGIC3	3587.7004
ERG	426.8803	ERG	1806.1737
ERH	2084.6179	ERH	1830.8208
ERI1	409.7135	ERI1	504.1876
ERI2	554.5209	ERI2	222.1656
ERI3	894.9608	ERI3	868.6289
ERICH1	117.3062	ERICH1	304.1397
ERLEC1	1728.6935	ERLEC1	2052.6442
ERLIN1	885.233	ERLIN1	1446.279
ERLIN2	8323.0214	ERLIN2	1237.6167
ERMAP	316.4408	ERMAP	389.8062
ERMN	262.6516	removed	removed
ERMP1	6811.8651	ERMP1	630.8208
ERN1	187.1178	ERN1	35.4152
removed	removed	ERN2	5.2644
ERO1LB	369.0855	ERO1LB	363.4841
ERO1L	959.6223	ERO1L	601.8186
ERP27	565.9311	ERP27	11.0074
ERP29	901.8275	ERP29	2260.8279
ERP44	1298.9521	ERP44	1944.9629
ERRFI1	842.3161	ERRFI1	2000.7179
ERVFRDE1	9.1556	ERVFRDE1	25.3649
ESAM	793.1047	ESAM	4015.554
ESCO1	488.6807	ESCO1	329.9832
ESCO2	120.1674	ESCO2	13.8789
ESD	1816.8163	ESD	3496.0517
ESF1	581.3812	ESF1	484.805
ESM1	181.9677	ESM1	32.5437
ESPL1	96.7061	ESPL1	12.2039
ESPN	85.8338	removed	removed
ESR1	11553.2349	ESR1	284.9964
removed	removed	ESR2	48.8155
ESRP1	5345.1593	removed	removed
ESRP2	473.2306	ESRP2	189.2797
ESRRA	234.6125	ESRRA	565.207
ESRRG	250.6348	ESRRG	5.743
ESYT1	2509.2093	ESYT1	7898.301
ESYT2	5571.7607	ESYT2	4362.5269
ESYT3	13.1612	removed	removed
ETAA1	372.5189	ETAA1	309.6435
ETF1	4070.8129	ETF1	3937.3056
ETFA	737.5988	ETFA	2534.8169
ETFB	230.0347	ETFB	2030.39
ETFDH	329.0297	ETFDH	875.329
ETHE1	599.1202	ETHE1	386.9347
ETNK1	2193.913	ETNK1	969.1314
ETNK2	890.383	ETNK2	155.061
ETS1	3073.4237	ETS1	5626.2264
ETS2	977.9336	ETS2	3406.7959
ETV1	491.5418	ETV1	208.6624
ETV2	5.7223	ETV2	14.8361
ETV3L	9.7278	removed	removed
ETV3	383.9634	ETV3	174.2044
ETV4	18.3112	ETV4	5.743
ETV5	573.3701	ETV5	418.2819
ETV6	1569.0426	ETV6	761.1869
ETV7	27.4668	ETV7	10.7681
EVC2	116.1618	EVC2	232.5915
EVC	1272.3722	EVC	512.2302
EVI2A	697.543	EVI2A	761.6655
EVI2B	712.4209	EVI2B	745.1543
EVI5L	255.2126	EVI5L	258.435
EVI5	690.1041	EVI5	636.2766
EVL	2251.1355	EVL	1108.1598
EVPL	298.7018	EVPL	13.4003
EWSR1	2401.0586	EWSR1	3123.2352
EXD2	832.5882	EXD2	655.1807
EXD3	98.995	EXD3	110.3135
EXO1	172.2399	EXO1	13.4003
EXOC1	1047.1728	EXOC1	1097.1524
EXOC2	2498.337	EXOC2	869.3467
EXOC3L2	60.0837	EXOC3L2	173.4865
EXOC3L	46.0012	EXOC3L	104.3886
EXOC3	931.0111	EXOC3	1436.2288
EXOC4	2279.7468	EXOC4	1720.7466
EXOC5	2081.7567	EXOC5	1864.0823
EXOC6B	298.1295	EXOC6B	191.6726
EXOC6	597.4035	EXOC6	649.4377
EXOC7	2077.1789	EXOC7	2767.1692
EXOC8	569.3645	EXOC8	517.3486
EXOG	114.4451	EXOG	168.7006
EXOSC10	1360.1803	EXOSC10	1159.129
EXOSC1	177.9622	EXOSC1	408.2316
EXOSC2	334.1798	EXOSC2	316.8222
EXOSC3	308.4296	EXOSC3	263.6994
EXOSC4	329.0297	EXOSC4	203.8765
EXOSC5	272.3794	EXOSC5	179.4688
EXOSC6	183.1122	EXOSC6	324.4795
EXOSC7	289.5462	EXOSC7	486.0014
EXOSC8	208.0784	EXOSC8	353.7042
EXOSC9	272.923	EXOSC9	450.6868
EXPH5	571.0811	EXPH5	33.5008
EXT1	1504.3811	EXT1	1653.027
EXT2	2658.5601	EXT2	2747.308
EXTL1	38.3391	removed	removed
EXTL2	441.1859	EXTL2	557.3104
EXTL3	862.344	EXTL3	1011.7253
EYA1	10.3001	EYA1	52.4049
EYA2	146.4898	EYA2	241.9239
EYA3	243.1959	EYA3	79.9234
EYA4	121.8841	EYA4	43.5511
EYS	22.3168	EYS	38.526
EZH1	776.5101	EZH1	1576.4537
EZH2	202.5679	EZH2	55.5157
EZR	3567.2544	EZR	1422.8284
F10	26.3224	F10	638.6695
F11R	4083.9741	F11R	2497.966
F12	25.1779	removed	removed
F13A1	3223.919	F13A1	10622.637
F2RL1	489.8251	F2RL1	34.2187
F2RL2	1515.8256	F2RL2	20.3398
F2RL3	41.2002	F2RL3	12.4432
F2R	5122.5636	F2R	1080.1627
F3	115.5896	F3	921.7516
F5	58.9392	F5	55.2764
F7	30.328	F7	5.9823
F8A1	100.7117	F8A1	122.7566
F8	616.8706	F8	1936.5877
FA2H	7.4389	removed	removed
FAAH2	242.6237	FAAH2	6.4609
FAAH	238.6181	FAAH	152.1895
FABP3	125.3174	FABP3	507.2984
FABP4	826.2938	FABP4	107535.2955
FABP5	119.0229	FABP5	758.0761
FADD	482.3862	FADD	588.8969
FADS1	680.3762	FADS1	522.3738
FADS2	377.6689	FADS2	546.7815
FADS3	211.7235	FADS3	1499.1625
FAF1	764.4934	FAF1	808.3274
FAF2	1978.1839	FAF2	1322.5652
FAHD1	613.9981	FAHD1	523.0749
FAHD2A	177.3899	FAHD2A	524.7667
FAHD2B	239.7625	FAHD2B	169.6578
FAH	473.2306	FAH	2975.1137
FAIM2	14.8779	FAIM2	65.5659
FAIM3	221.2854	FAIM3	254.7834
FAIM	179.1066	FAIM	463.7473
FAM100A	234.0403	FAM100A	205.073
FAM100B	346.1965	FAM100B	531.4669
FAM101A	72.1004	removed	removed
FAM101B	951.6112	FAM101B	1714.2857
FAM102A	2178.4629	FAM102A	848.0498
FAM102B	2031.9731	FAM102B	1012.6825
FAM103A1	234.5496	FAM103A1	351.4405
FAM104A	731.4474	FAM104A	891.7516
FAM104B	199.1345	FAM104B	257.7172
FAM105A	432.0303	FAM105A	549.8923
FAM105B	682.0929	FAM105B	436.4681
FAM107A	85.8338	FAM107A	1817.4204
FAM107B	2497.7647	FAM107B	3081.5985
FAM108A1	260.3626	FAM108A1	486.0014
FAM108B1	498.9807	FAM108B1	297.6789
FAM108C1	773.0768	FAM108C1	120.603
FAM109A	234.6125	FAM109A	350.323
FAM109B	362.2188	FAM109B	557.5497
FAM10A4	314.7241	FAM10A4	403.6851
FAM110A	451.486	FAM110A	135.1998
FAM110B	640.3204	FAM110B	312.515
FAM110C	14.8779	removed	removed
FAM111A	1233.1462	FAM111A	481.4549
FAM111B	474.9472	FAM111B	21.0577
FAM113A	498.4085	FAM113A	344.58
FAM113B	140.7732	FAM113B	90.9308
FAM114A1	1021.4227	FAM114A1	730.5575
FAM114A2	1017.4171	FAM114A2	621.2012
FAM115A	612.2814	FAM115A	288.3465
FAM115C	782.8676	FAM115C	140.4977
FAM116A	892.6719	FAM116A	660.4451
FAM116B	123.6007	FAM116B	75.8555
FAM117A	226.0291	FAM117A	416.8461
FAM117B	428.597	FAM117B	276.3819
FAM118A	421.7303	FAM118A	166.7863
FAM118B	272.3794	FAM118B	452.9792
FAM119A	171.0955	FAM119A	248.8634
FAM119B	165.3732	FAM119B	239.7703
FAM120AOS	1783.6215	FAM120AOS	1526.6045
