gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
C16orf86	22.9469	C16orf86	44.6876
C16orf87	164.5536	C16orf87	94.8472
C16orf88	362.3199	C16orf88	345.6452
C16orf89	137.9835	C16orf89	575.0114
C16orf91	217.6939	C16orf91	143.6389
C16orf93	38.3455	C16orf93	25.5358
C17orf100	34.7223	C17orf100	46.0556
C17orf101	340.8585	C17orf101	361.1491
C17orf103	240.3389	C17orf103	716.8263
removed	removed	C17orf104	16.8719
C17orf106	234.3395	C17orf106	237.4692
C17orf107	124.3965	C17orf107	196.4569
C17orf108	188.4064	C17orf108	419.5166
C17orf28	1404.5936	C17orf28	969.9042
C17orf37	703.8065	C17orf37	517.0999
C17orf39	203.805	C17orf39	447.7884
C17orf42	82.7297	C17orf42	153.6708
C17orf44	74.8795	C17orf44	91.6553
C17orf47	5.7367	removed	removed
C17orf48	86.9568	C17orf48	204.2864
C17orf49	1049.7012	C17orf49	911.8559
C17orf51	85.1452	C17orf51	332.8773
C17orf53	76.6911	C17orf53	40.1277
removed	removed	C17orf55	20.9758
C17orf56	110.6525	C17orf56	211.2722
C17orf57	10.2657	C17orf57	27.8158
C17orf58	317.9357	C17orf58	667.1227
C17orf59	232.7906	C17orf59	198.3584
C17orf60	41.0629	C17orf60	16.8719
C17orf61	333.0898	C17orf61	474.5144
C17orf62	997.2856	C17orf62	737.3461
C17orf63	570.05	C17orf63	723.6662
C17orf65	156.0844	C17orf65	114.3639
C17orf67	11.7754	C17orf67	21.4318
C17orf68	493.6609	C17orf68	689.0105
C17orf69	26.5701	C17orf69	116.7351
C17orf70	576.9945	C17orf70	502.508
C17orf71	708.0335	C17orf71	606.4751
C17orf72	53.104	C17orf72	36.4934
C17orf75	105.9786	C17orf75	167.3507
C17orf76	65.2176	C17orf76	44.2316
C17orf79	558.2746	C17orf79	701.7784
C17orf80	262.0781	C17orf80	473.7802
C17orf81	391.0036	C17orf81	517.5559
C17orf82	108.394	removed	removed
C17orf85	356.5832	C17orf85	603.7392
C17orf86	50.4229	C17orf86	92.5673
C17orf87	35.3262	C17orf87	13.6799
C17orf89	170.5923	C17orf89	216.5983
C17orf90	158.213	C17orf90	183.3105
C17orf91	77.8988	C17orf91	336.0693
C17orf95	219.2036	C17orf95	373.005
C17orf96	41.0629	C17orf96	139.0789
C17orf97	81.522	C17orf97	102.5992
C18orf10	1652.4808	C18orf10	1367.5331
C18orf18	25.9663	C18orf18	56.0876
C18orf19	338.7691	C18orf19	222.9822
C18orf1	2337.5674	C18orf1	1564.9795
C18orf21	266.909	C18orf21	275.8778
C18orf22	554.3495	C18orf22	412.6767
C18orf25	812.8044	C18orf25	707.7063
C18orf32	1745.6574	C18orf32	933.2786
C18orf34	13.8889	C18orf34	52.4396
C18orf45	1098.1313	C18orf45	414.0447
C18orf54	105.9786	C18orf54	47.8796
C18orf55	333.6363	C18orf55	316.9175
C18orf56	58.877	C18orf56	6.8399
C18orf8	345.303	C18orf8	426.9494
C19orf10	2091.4918	C19orf10	1078.8874
C19orf12	402.779	C19orf12	962.6083
C19orf18	6.6425	C19orf18	19.6078
C19orf20	197.7663	C19orf20	31.4637
C19orf21	496.9822	C19orf21	72.9594
C19orf22	1868.3631	C19orf22	1098.9512
C19orf23	22.0411	C19orf23	10.0319
C19orf24	920.5946	C19orf24	274.5098
C19orf25	475.243	C19orf25	259.9179
C19orf26	26.5701	removed	removed
C19orf28	1286.2358	C19orf28	511.6188
C19orf29	395.8345	C19orf29	350.6612
C19orf2	1372.5887	C19orf2	1538.9877
C19orf33	525.6296	C19orf33	72.5901
C19orf35	23.5508	C19orf35	9.5759
C19orf36	74.8795	C19orf36	11.3999
C19orf38	35.9301	C19orf38	13.2239
C19orf39	68.2369	C19orf39	58.3675
C19orf40	68.2369	C19orf40	32.8317
C19orf42	1955.6218	C19orf42	1321.4774
C19orf43	1771.7445	C19orf43	1571.3634
C19orf44	88.0317	C19orf44	93.6753
C19orf45	13.2851	removed	removed
C19orf46	129.5294	C19orf46	149.1108
C19orf47	352.96	C19orf47	287.2777
C19orf48	1293.7841	C19orf48	614.2271
C19orf50	1122.286	C19orf50	1225.2622
C19orf51	47.4035	removed	removed
C19orf52	254.2278	C19orf52	157.3187
C19orf53	1305.8614	C19orf53	808.9375
C19orf54	268.4187	C19orf54	184.2225
C19orf55	81.8239	C19orf55	78.8874
C19orf56	2404.5966	C19orf56	1566.8035
C19orf57	44.9881	C19orf57	108.5271
C19orf60	381.0398	C19orf60	212.0383
C19orf61	458.3347	C19orf61	514.8199
C19orf62	1244.267	C19orf62	932.5125
C19orf63	3802.436	C19orf63	1629.9818
C19orf66	561.0041	C19orf66	453.2604
C19orf6	1419.9922	C19orf6	1134.0629
C19orf70	900.0631	C19orf70	529.4118
C19orf73	17.8141	C19orf73	10.4879
C19orf76	11.1715	C19orf76	68.8554
removed	removed	C19orf77	9.1199
C1D	215.8823	C1D	140.4469
C1GALT1C1	589.0718	C1GALT1C1	621.523
C1GALT1	281.4018	C1GALT1	198.3584
C1QA	3587.2693	C1QA	2107.1591
C1QBP	1307.4587	C1QBP	1845.7638
C1QB	4280.81	C1QB	2148.6548
C1QC	4464.6874	C1QC	1743.2741
C1QL1	15.7005	C1QL1	14.1359
removed	removed	C1QL2	20.0638
C1QL3	25.6643	C1QL3	44.2316
C1QTNF1	609.9052	C1QTNF1	1233.9261
C1QTNF2	28.0798	C1QTNF2	89.8313
C1QTNF3	79.4085	C1QTNF3	377.109
C1QTNF4	16.0025	C1QTNF4	5.016
C1QTNF6	1143.7233	C1QTNF6	175.5586
C1QTNF7	15.0967	C1QTNF7	98.9512
removed	removed	C1QTNF9B	27.0907
removed	removed	C1QTNF9	49.2476
C1RL	617.0912	C1RL	1774.6922
C1R	5006.0538	C1R	15409.9407
C1S	7203.2222	C1S	15626.083
removed	removed	C1orf101	15.0479
C1orf103	614.7362	C1orf103	435.4765
C1orf104	23.11	C1orf104	43.6024
C1orf106	68.8408	C1orf106	214.3183
C1orf107	461.656	C1orf107	916.5527
C1orf109	273.5516	C1orf109	415.8687
removed	removed	C1orf110	9.1199
C1orf111	6.0387	C1orf111	5.016
C1orf112	304.8983	C1orf112	91.8787
C1orf113	150.7885	C1orf113	142.052
removed	removed	C1orf114	7.2959
C1orf115	1006.0417	C1orf115	1498.86
C1orf116	1067.3341	C1orf116	1296.8536
C1orf122	598.2174	C1orf122	263.5659
C1orf123	626.2096	C1orf123	774.2818
C1orf124	282.6095	C1orf124	209.3023
C1orf125	6.3406	removed	removed
C1orf126	45.4168	C1orf126	115.8322
C1orf127	5.4348	removed	removed
C1orf128	953.8072	C1orf128	1179.2066
C1orf130	27.174	C1orf130	158.2307
C1orf131	240.037	C1orf131	181.4865
C1orf133	39.5533	C1orf133	71.1354
C1orf135	111.1114	C1orf135	27.8158
C1orf144	3544.0928	C1orf144	3532.6037
removed	removed	C1orf150	21.8878
C1orf151	2386.1787	C1orf151	891.71
C1orf152	6.6425	removed	removed
C1orf156	289.8559	C1orf156	183.3105
C1orf159	128.9255	C1orf159	91.1993
C1orf162	509.9653	C1orf162	323.7574
C1orf163	247.2834	C1orf163	316.0055
C1orf168	91.7877	C1orf168	10.9439
C1orf170	44.3842	C1orf170	17.3279
C1orf172	381.0398	C1orf172	304.1496
C1orf173	530.4968	C1orf173	95.7592
C1orf174	377.1147	C1orf174	476.9722
C1orf175	10.8122	C1orf175	41.4957
C1orf182	5.1329	removed	removed
C1orf183	34.4204	C1orf183	96.6712
removed	removed	C1orf186	16.8719
C1orf190	11.7573	C1orf190	57.9617
C1orf192	23.2489	C1orf192	19.1518
C1orf198	1827.9041	C1orf198	3057.9115
C1orf200	5.1329	removed	removed
C1orf201	134.9642	C1orf201	208.8463
C1orf203	36.851	C1orf203	72.9822
C1orf204	20.7187	C1orf204	52.2161
C1orf210	368.0567	C1orf210	264.9339
C1orf212	742.152	C1orf212	633.8349
C1orf213	23.6685	C1orf213	60.2599
C1orf216	629.229	C1orf216	431.8285
C1orf21	3901.8838	C1orf21	3746.01
C1orf220	19.3237	removed	removed
C1orf226	2166.0693	C1orf226	978.1122
C1orf228	6.0387	C1orf228	7.2959
C1orf229	13.587	C1orf229	14.1359
C1orf25	339.0711	C1orf25	379.845
C1orf26	109.9037	C1orf26	124.943
C1orf27	682.9731	C1orf27	664.8427
C1orf31	310.0855	C1orf31	168.7187
C1orf35	315.5203	C1orf35	156.4067
C1orf38	747.8887	C1orf38	352.4852
C1orf43	7429.6722	C1orf43	3794.8016
C1orf50	147.0415	C1orf50	138.6229
C1orf51	211.3533	C1orf51	54.7196
C1orf52	182.6696	C1orf52	272.6858
C1orf53	73.6717	C1orf53	15.5039
C1orf54	245.4718	C1orf54	93.4793
C1orf55	821.2585	C1orf55	626.083
C1orf56	187.4975	C1orf56	110.1778
C1orf57	452.2961	C1orf57	352.4852
C1orf58	464.9229	C1orf58	411.2585
C1orf59	372.2837	C1orf59	236.6621
removed	removed	C1orf61	5.016
C1orf63	80.0123	C1orf63	341.9973
C1orf64	83.9375	C1orf64	140.4469
C1orf66	462.2598	C1orf66	480.6202
C1orf69	152.1744	C1orf69	231.6461
C1orf70	8.4541	removed	removed
C1orf74	121.981	C1orf74	119.471
C1orf77	1569.1472	C1orf77	1406.7487
C1orf83	164.8556	C1orf83	184.2225
C1orf84	13.4994	C1orf84	11.6644
C1orf85	1101.7545	C1orf85	683.0825
C1orf86	628.2356	C1orf86	227.7793
C1orf88	166.9691	C1orf88	220.2462
C1orf89	35.3262	C1orf89	29.6398
C1orf91	172.3979	C1orf91	127.6425
C1orf93	2414.02	C1orf93	723.0187
C1orf95	7.8503	C1orf95	42.8637
C1orf96	500.6054	C1orf96	385.7729
C1orf97	120.7733	C1orf97	87.0953
C1orf9	3758.7674	C1orf9	1121.295
C20orf103	521.4388	C20orf103	5.928
C20orf108	2769.0301	C20orf108	4298.6776
C20orf111	896.7418	C20orf111	918.8326
C20orf112	1060.9935	C20orf112	761.9699
C20orf114	149.7589	C20orf114	20.0638
C20orf117	452.2961	C20orf117	312.3575
C20orf118	10.4982	C20orf118	24.8336
C20orf11	1655.8021	C20orf11	1963.0643
C20orf12	49.5171	C20orf12	98.0392
C20orf132	15.3986	C20orf132	33.2923
C20orf134	91.4858	C20orf134	37.8477
C20orf135	91.1839	C20orf135	50.6156
C20orf151	102.3554	C20orf151	40.1277
C20orf160	169.3846	C20orf160	170.0866
removed	removed	C20orf165	13.2239
C20orf177	216.2054	C20orf177	297.7656
C20orf194	229.7712	C20orf194	727.7702
C20orf195	9.058	removed	removed
C20orf196	66.1234	C20orf196	77.9754
C20orf197	9.3599	C20orf197	6.3839
C20orf199	1962.5663	C20orf199	2829.4574
C20orf201	7.2464	removed	removed
removed	removed	C20orf202	14.5919
removed	removed	C20orf203	8.2079
C20orf20	378.0205	C20orf20	278.6138
C20orf24	1607.7615	C20orf24	915.0388
C20orf26	26.5701	C20orf26	20.0638
C20orf27	620.7748	C20orf27	453.7164
C20orf29	307.67	C20orf29	213.8623
C20orf30	2942.0379	C20orf30	2304.1496
C20orf3	4580.9317	C20orf3	3184.2225
C20orf43	2653.9935	C20orf43	2475.1482
C20orf46	9.3599	C20orf46	25.0798
C20orf4	1354.1708	C20orf4	1162.3347
C20orf54	474.0352	C20orf54	271.3178
C20orf72	325.4841	C20orf72	535.7957
C20orf7	85.4471	C20orf7	100.3192
C20orf94	32.9107	C20orf94	17.7839
C20orf96	409.4215	C20orf96	269.9498
C21orf119	123.4907	C21orf119	93.9352
C21orf122	45.8939	C21orf122	32.3757
removed	removed	C21orf125	5.472
removed	removed	C21orf130	8.2079
C21orf15	20.8334	C21orf15	23.7118
C21orf2	358.3948	C21orf2	368.901
C21orf33	1649.7634	C21orf33	1684.9065
C21orf34	28.6837	C21orf34	88.9193
C21orf45	408.2138	C21orf45	177.3826
removed	removed	C21orf49	7.2959
C21orf56	257.851	C21orf56	158.2307
C21orf57	180.858	C21orf57	187.4145
C21orf58	47.7055	C21orf58	26.4478
C21orf59	794.3865	C21orf59	686.2016
removed	removed	C21orf62	6.3839
C21orf63	295.2907	C21orf63	1027.3598
C21orf67	62.1983	C21orf67	66.1195
C21orf70	169.6865	C21orf70	131.7829
C21orf7	156.0995	C21orf7	89.8313
C21orf82	6.0387	removed	removed
C21orf88	49.2151	C21orf88	26.9038
C21orf91	242.7544	C21orf91	747.378
C22orf13	2898.5383	C22orf13	1739.7766
C22orf23	19.0218	C22orf23	84.8153
C22orf25	507.8518	C22orf25	425.4446
C22orf26	17.2102	C22orf26	20.0638
C22orf27	128.3216	C22orf27	167.3507
C22orf28	2832.1342	C22orf28	2131.7829
C22orf29	594.1383	C22orf29	813.8167
C22orf30	1006.0417	C22orf30	1132.2389
C22orf32	732.1882	C22orf32	485.6361
C22orf34	16.9083	C22orf34	10.4879
C22orf36	132.2468	C22orf36	202.9184
C22orf39	469.2043	C22orf39	657.0907
C22orf40	130.7371	C22orf40	114.4551
C22orf41	11.1715	C22orf41	6.8399
C22orf46	330.315	C22orf46	717.2823
C22orf9	2948.3785	C22orf9	2043.7756
C2CD2L	198.2735	C2CD2L	256.6758
C2CD2	602.6588	C2CD2	1297.3096
C2CD3	1023.2519	C2CD3	641.5869
removed	removed	C2CD4A	11.3999
C2CD4B	8.7561	C2CD4B	22.7998
C2CD4C	5.1329	C2CD4C	17.7839
C2CD4D	13.8195	C2CD4D	17.3279
C2orf14	16.0025	removed	removed
C2orf15	99.8705	C2orf15	93.0233
C2orf16	69.7466	C2orf16	55.6316
C2orf18	2491.2515	C2orf18	1288.6457
C2orf24	1943.8464	C2orf24	1305.5176
C2orf27A	40.1571	C2orf27A	23.2558
C2orf28	2147.9292	C2orf28	2150.1778
C2orf29	1030.8002	C2orf29	831.7373
C2orf34	126.51	C2orf34	80.2554
removed	removed	C2orf39	5.928
C2orf3	539.8567	C2orf3	489.2841
C2orf40	25.3624	C2orf40	315.5495
C2orf42	168.7807	C2orf42	215.2303
C2orf43	383.4553	C2orf43	248.974
C2orf44	150.9666	C2orf44	258.5499
C2orf47	349.0137	C2orf47	291.8377
C2orf49	107.7902	C2orf49	131.3269
C2orf50	9.6619	C2orf50	6.3839
C2orf52	5.4348	removed	removed
C2orf54	10.2657	C2orf54	9.5759
C2orf55	447.4651	C2orf55	337.8933
C2orf56	133.1526	C2orf56	163.7027
removed	removed	C2orf58	11.8559
C2orf60	127.7389	C2orf60	172.8226
C2orf63	11.4735	C2orf63	47.8796
C2orf64	529.289	C2orf64	500.684
C2orf65	9.058	C2orf65	41.4957
C2orf67	191.1087	C2orf67	293.119
C2orf68	825.4856	C2orf68	801.1856
C2orf69	853.5654	C2orf69	344.7332
removed	removed	C2orf71	6.3839
C2orf72	130.7371	C2orf72	92.5673
C2orf74	73.0679	C2orf74	175.1026
C2orf76	74.2756	C2orf76	80.7114
C2orf77	145.8338	C2orf77	90.7433
C2orf79	479.772	C2orf79	373.005
C2orf7	414.2525	C2orf7	271.7738
C2orf81	129.7528	C2orf81	63.648
C2orf82	7.8503	C2orf82	49.7036
removed	removed	C2orf84	26.9038
C2orf86	75.4833	C2orf86	145.4628
C2orf88	30.1933	C2orf88	357.9571
C2orf89	18.116	C2orf89	34.6557
C2	1355.8888	C2	1130.9211
C3AR1	490.0377	C3AR1	356.1332
C3orf10	4089.6863	C3orf10	3394.8928
C3orf14	501.8131	C3orf14	294.1176
C3orf15	58.5751	C3orf15	88.0073
C3orf17	902.7805	C3orf17	1176.4706
C3orf18	133.4545	C3orf18	195.6224
C3orf19	369.2644	C3orf19	509.8039
C3orf1	755.1351	C3orf1	934.3365
C3orf21	463.4676	C3orf21	292.2937
C3orf23	254.5298	C3orf23	366.6211
C3orf26	584.2409	C3orf26	416.7807
C3orf31	146.7396	C3orf31	97.1272
C3orf32	10.8696	C3orf32	28.2718
C3orf33	159.4208	C3orf33	88.9193
C3orf34	48.6113	C3orf34	54.7196
removed	removed	C3orf35	10.0319
C3orf37	1216.4892	C3orf37	1142.7269
C3orf38	509.6634	C3orf38	419.0606
C3orf39	457.127	C3orf39	533.0597
C3orf42	6.9445	C3orf42	24.1678
removed	removed	C3orf45	9.731
C3orf47	42.5726	C3orf47	43.3197
C3orf52	320.3512	C3orf52	88.9193
C3orf54	70.0485	C3orf54	60.1915
C3orf55	7.2464	C3orf55	81.1674
removed	removed	C3orf57	53.3516
C3orf58	241.8486	C3orf58	459.1883
C3orf59	111.7153	C3orf59	179.6626
C3orf62	68.2369	C3orf62	155.0388
C3orf63	1023.3606	C3orf63	1464.56
C3orf64	457.7309	C3orf64	1212.9503
C3orf67	59.7828	C3orf67	13.6799
C3orf70	86.6549	C3orf70	105.3352
C3orf71	19.994	C3orf71	19.6078
C3orf75	287.4405	C3orf75	330.1414
C3	10394.657	C3	31467.8523
C4A	57014.4777	C4A	12026.352
removed	removed	C4BPA	180.5746
removed	removed	C4BPB	17.3279
C4orf10	363.1955	C4orf10	343.0187
C4orf12	20.8334	C4orf12	40.5837
C4orf14	738.5288	C4orf14	818.5135
C4orf19	19.3479	C4orf19	214.3183
C4orf21	29.8914	C4orf21	52.4396
C4orf23	163.6478	C4orf23	218.8782
C4orf27	422.1027	C4orf27	417.2367
C4orf29	50.1209	C4orf29	83.4473
C4orf31	25.9663	C4orf31	120.383
C4orf32	1142.5155	C4orf32	551.7556
C4orf33	123.1888	C4orf33	191.5185
C4orf34	1365.3423	C4orf34	752.394
C4orf36	13.2851	C4orf36	14.1359
C4orf38	6.0387	C4orf38	16.4159
C4orf39	5.4348	C4orf39	29.6398
C4orf3	2373.7994	C4orf3	3639.7629
C4orf41	611.113	C4orf41	959.8723
C4orf42	517.8156	C4orf42	386.6849
C4orf43	401.2693	C4orf43	383.4929
C4orf46	345.1097	C4orf46	147.2868
removed	removed	C4orf47	24.1678
C4orf48	37.7417	C4orf48	14.1359
removed	removed	C4orf49	66.1195
C4orf52	360.2064	C4orf52	469.6762
C4orf7	41.6668	C4orf7	338.8053
C5AR1	419.6873	C5AR1	218.4223
C5orf13	3528.0904	C5orf13	387.1409
C5orf15	2278.6905	C5orf15	1306.8855
C5orf20	13.8889	C5orf20	5.928
C5orf22	689.9175	C5orf22	480.6202
C5orf23	148.2492	C5orf23	1059.7355
C5orf24	1481.8885	C5orf24	962.6083
C5orf25	178.4335	C5orf25	208.8463
C5orf27	5.1329	C5orf27	42.4077
C5orf28	326.3899	C5orf28	229.3662
C5orf30	1687.5051	C5orf30	612.8591
C5orf32	634.6638	C5orf32	956.6803
C5orf33	861.4156	C5orf33	627.451
C5orf34	67.6331	C5orf34	41.0397
C5orf35	189.6141	C5orf35	198.8144
C5orf36	52.5364	C5orf36	50.6156
C5orf38	157.0053	C5orf38	51.0716
C5orf39	38.3455	C5orf39	46.9676
C5orf41	362.6219	C5orf41	657.5467
C5orf42	471.3178	C5orf42	474.2362
C5orf43	1446.5623	C5orf43	923.8486
C5orf44	410.1552	C5orf44	426.8126
C5orf45	90.6343	C5orf45	164.8792
C5orf46	30.1933	C5orf46	21.4318
C5orf49	34.4204	C5orf49	19.1518
C5orf4	327.5976	C5orf4	1682.6265
C5orf51	752.1158	C5orf51	778.3858
C5orf53	102.9592	C5orf53	358.8691
C5orf54	77.2949	C5orf54	147.7428
C5orf55	167.8749	C5orf55	88.9193
C5orf56	63.1826	C5orf56	86.7077
C5orf62	669.9899	C5orf62	765.6179
C5	71.8601	C5	137.7109
C6orf105	22.3431	C6orf105	43.7756
C6orf106	2709.5492	C6orf106	3228.9102
C6orf108	534.12	C6orf108	220.2462
C6orf114	13.587	C6orf114	5.472
C6orf115	667.2725	C6orf115	385.3169
C6orf120	1020.8364	C6orf120	867.4647
C6orf122	24.674	C6orf122	30.529
removed	removed	C6orf123	14.1359
C6orf124	6.3406	C6orf124	29.1838
C6orf125	869.7098	C6orf125	423.5796
C6orf126	8.4541	removed	removed
C6orf129	395.2307	C6orf129	98.9512
C6orf130	490.0377	C6orf130	533.917
C6orf132	330.0131	C6orf132	278.6138
C6orf134	149.7589	C6orf134	199.2704
C6orf136	156.4014	C6orf136	128.591
C6orf138	9.3599	C6orf138	13.2239
C6orf141	96.9206	C6orf141	20.5198
C6orf145	510.8711	C6orf145	1247.15
C6orf147	6.0387	removed	removed
C6orf150	56.7635	C6orf150	42.8637
C6orf153	831.2223	C6orf153	666.6667
C6orf154	36.5339	removed	removed
C6orf155	97.5244	C6orf155	90.2873
removed	removed	C6orf15	26.4478
C6orf162	122.9684	C6orf162	114.2772
removed	removed	C6orf163	12.3119
C6orf164	5.3533	C6orf164	11.5777
C6orf165	14.8068	C6orf165	12.8865
C6orf167	136.1719	C6orf167	161.8787
C6orf168	147.6454	C6orf168	202.0064
C6orf170	58.877	C6orf170	71.5914
C6orf174	24.3509	C6orf174	101.3269
removed	removed	C6orf176	8.2079
C6orf182	88.4665	C6orf182	108.5271
C6orf192	615.9439	C6orf192	550.3876
C6orf1	907.9134	C6orf1	170.0866
removed	removed	C6orf201	9.1564
C6orf203	195.9547	C6orf203	225.2622
C6orf204	6.9445	C6orf204	35.5677
C6orf211	3580.6268	C6orf211	597.3552
removed	removed	C6orf217	12.3119
C6orf225	255.1336	C6orf225	214.3183
C6orf226	108.9979	C6orf226	77.9754
removed	removed	C6orf26	28.7278
C6orf27	19.3237	C6orf27	70.6794
C6orf35	391.3055	C6orf35	461.4683
removed	removed	C6orf41	10.4879
C6orf47	919.0849	C6orf47	729.5942
C6orf48	1286.5377	C6orf48	1893.2969
C6orf52	8.1522	C6orf52	5.016
C6orf57	43.1765	C6orf57	101.6872
C6orf59	5.4348	C6orf59	5.928
C6orf62	3677.1126	C6orf62	2777.5239
C6orf64	836.3552	C6orf64	667.1227
C6orf70	390.3997	C6orf70	357.0451
C6orf72	869.5678	C6orf72	958.0483
removed	removed	C6orf81	5.472
C6orf89	2715.8898	C6orf89	3440.9485
C6orf97	698.6736	C6orf97	406.2927
C6	16.3044	C6	41.4957
C7orf10	54.6499	C7orf10	34.1997
C7orf11	382.8514	C7orf11	244.414
C7orf13	229.1674	C7orf13	97.5832
C7orf23	240.9307	C7orf23	309.6215
C7orf25	358.0929	C7orf25	335.6088
C7orf26	558.8785	C7orf26	477.8842
C7orf27	972.2252	C7orf27	537.1637
C7orf28A	1183.5785	C7orf28A	614.6831
C7orf28B	504.5305	C7orf28B	993.1601
C7orf29	167.573	C7orf29	122.663
C7orf30	280.496	C7orf30	284.9977
C7orf31	60.0847	C7orf31	157.3187
C7orf36	145.8338	C7orf36	213.4063
C7orf40	246.6795	C7orf40	336.0693
C7orf41	509.6634	C7orf41	3148.6548
C7orf42	3089.6832	C7orf42	3545.3716
C7orf43	232.7906	C7orf43	195.6224
C7orf44	873.493	C7orf44	481.9881
C7orf46	53.1403	C7orf46	97.1272
C7orf47	177.2348	C7orf47	98.0392
C7orf49	538.4497	C7orf49	596.3794
C7orf50	1362.323	C7orf50	773.3698
removed	removed	C7orf51	19.1518
removed	removed	C7orf53	19.1518
C7orf55	165.1575	C7orf55	164.56
C7orf58	278.0805	C7orf58	819.4254
C7orf59	1389.7989	C7orf59	808.0255
C7orf60	218.2978	C7orf60	281.8057
removed	removed	C7orf61	8.6639
C7orf63	58.877	C7orf63	176.0146
C7orf64	172.4039	C7orf64	304.6056
C7orf68	390.0978	C7orf68	275.4218
C7orf70	630.4367	C7orf70	492.4761
C7	251.8124	C7	955.7684
C8ORFK29	7.2464	removed	removed
C8orf30A	586.3544	C8orf30A	318.7415
C8orf31	6.0387	removed	removed
C8orf33	967.9981	C8orf33	1200.1824
removed	removed	C8orf34	31.4637
C8orf37	35.0243	C8orf37	56.5435
C8orf38	534.12	C8orf38	176.0146
C8orf40	658.5165	C8orf40	720.4742
C8orf41	304.8107	C8orf41	275.0661
C8orf42	93.9012	C8orf42	380.757
C8orf44	17.7416	C8orf44	28.7278
C8orf45	24.7585	C8orf45	21.8878
removed	removed	C8orf46	20.9758
removed	removed	C8orf47	53.3516
C8orf48	28.9856	C8orf48	48.3356
C8orf4	577.2964	C8orf4	671.6826
C8orf51	68.5389	C8orf51	26.4478
C8orf55	1109.6048	C8orf55	614.6831
C8orf58	224.6384	C8orf58	276.3338
C8orf59	480.6144	C8orf59	728.7551
C8orf73	95.109	C8orf73	49.2476
C8orf76	264.4936	C8orf76	275.2029
C8orf79	50.1209	C8orf79	568.6275
C8orf80	6.6425	C8orf80	10.0319
C8orf83	416.366	C8orf83	470.5882
C8orf84	3045.299	C8orf84	410.8527
C8orf85	1000.305	C8orf85	337.8933
C9orf100	98.1434	C9orf100	46.6211
C9orf102	102.8989	C9orf102	164.2271
C9orf103	60.9905	C9orf103	134.9749
C9orf106	6.3406	removed	removed
C9orf109	7.8503	C9orf109	43.7756
C9orf110	63.1041	C9orf110	154.5828
C9orf114	464.5274	C9orf114	347.3598
C9orf116	157.6092	C9orf116	47.4236
C9orf117	5.4348	C9orf117	5.472
C9orf119	510.5692	C9orf119	235.7501
removed	removed	C9orf122	30.5518
C9orf123	666.9706	C9orf123	666.2107
C9orf125	75.1814	C9orf125	151.3908
C9orf129	94.3632	C9orf129	72.5581
C9orf130	81.8269	C9orf130	349.3981
removed	removed	C9orf135	5.928
C9orf139	5.5375	removed	removed
C9orf140	599.3376	C9orf140	146.3748
C9orf142	501.8131	C9orf142	207.0223
C9orf150	278.9863	C9orf150	427.2686
C9orf152	530.7987	C9orf152	296.8536
C9orf156	256.6433	C9orf156	341.0853
C9orf163	12.9831	removed	removed
C9orf167	230.0732	C9orf167	87.5513
C9orf169	40.7761	C9orf169	6.1058
C9orf16	1281.7068	C9orf16	539.8997
C9orf172	28.6837	removed	removed
C9orf21	153.0802	C9orf21	274.0538
C9orf23	348.431	C9orf23	258.0939
C9orf25	437.5013	C9orf25	450.5244
C9orf30	225.8491	C9orf30	257.337
C9orf37	99.9399	C9orf37	108.9831
C9orf3	145.5318	C9orf3	479.3525
C9orf40	71.5582	C9orf40	82.9913
C9orf41	143.7172	C9orf41	121.295
removed	removed	C9orf44	9.5759
C9orf45	62.5002	C9orf45	212.0383
C9orf46	508.4556	C9orf46	303.6936
C9orf47	14.2422	C9orf47	16.9676
C9orf5	1427.8425	C9orf5	2116.2791
C9orf64	503.0208	C9orf64	389.4209
C9orf66	5.7367	C9orf66	46.5116
C9orf68	7.5483	C9orf68	56.9995
C9orf69	896.4399	C9orf69	814.8655
C9orf6	509.6634	C9orf6	450.9804
C9orf72	193.8412	C9orf72	295.0296
C9orf78	1526.2727	C9orf78	1450.0684
C9orf7	1264.1946	C9orf7	430.0046
C9orf80	323.3705	C9orf80	267.2139
C9orf82	381.0398	C9orf82	233.0141
C9orf85	99.0341	C9orf85	156.8627
C9orf86	1982.7958	C9orf86	1465.5723
C9orf89	624.0961	C9orf89	214.3183
C9orf91	833.6378	C9orf91	604.6512
C9orf93	65.8215	C9orf93	86.1833
C9orf95	429.0472	C9orf95	443.2285
C9orf96	5.7367	C9orf96	10.4879
C9orf98	57.9712	C9orf98	25.9918
C9orf9	102.3554	C9orf9	139.9909
CA11	51.9325	CA11	357.0451
CA12	9928.7739	CA12	3522.5718
CA13	92.6935	CA13	127.3917
removed	removed	CA14	7.7519
CA2	206.8243	CA2	1272.2298
CA3	16.3044	CA3	224.6375
removed	removed	CA4	264.0219
CA5BP	130.1332	CA5BP	202.9184
CA5B	126.7546	CA5B	491.0397
removed	removed	CA6	5.928
CA8	45.5919	CA8	258.5499
CAB39L	1051.6336	CAB39L	1748.746
CAB39	1818.5441	CAB39	1979.9362
CABC1	842.5025	CABC1	1384.7424
CABIN1	1437.5043	CABIN1	1228.9102
CABLES1	760.8719	CABLES1	724.5782
CABLES2	281.0999	CABLES2	179.2066
