gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
CLEC4E	18.6381	CLEC4E	5.3409
CLEC4F	396.4842	CLEC4F	34.5586
removed	removed	CLEC4GP1	9.1109
removed	removed	CLEC4G	6.2834
CLEC5A	134.703	CLEC5A	25.4477
CLEC7A	1640.5803	CLEC7A	118.1276
CLECL1	5.0831	CLECL1	13.8234
CLGN	10.5899	CLGN	62.8338
CLIC1	4754.8449	CLIC1	3227.1442
CLIC2	231.706	CLIC2	535.344
CLIC3	13.1314	CLIC3	15.7085
CLIC4	12461.2941	CLIC4	6328.3066
CLIC5	130.8906	CLIC5	400.5655
CLIC6	50.8313	CLIC6	398.9947
CLINT1	1715.5565	CLINT1	1640.9048
CLIP1	2289.9502	CLIP1	2450.2042
CLIP2	371.4921	CLIP2	498.5862
CLIP3	168.1669	CLIP3	880.9299
CLIP4	261.7812	CLIP4	1144.8319
CLK1	1293.6567	CLK1	3278.0396
CLK2P	22.8741	CLK2P	12.8809
CLK2	911.9983	CLK2	717.562
CLK3	649.7935	CLK3	862.7081
CLK4	256.2745	CLK4	970.7823
CLLU1	6.3539	removed	removed
CLMN	1479.1909	CLMN	3139.491
CLN3	1537.6469	CLN3	1061.5771
CLN5	835.3278	CLN5	842.9155
CLN6	795.5099	CLN6	536.2865
CLN8	285.9261	CLN8	407.7914
CLNS1A	1678.2802	CLNS1A	1115.6142
CLOCK	311.7653	CLOCK	597.5495
CLP1	181.7219	CLP1	234.6843
CLPB	361.3258	CLPB	266.4153
CLPP	520.1737	CLPP	366.0069
CLPTM1L	2250.556	CLPTM1L	1380.4587
CLPTM1	2587.3134	CLPTM1	1812.4411
CLPX	754.4213	CLPX	943.4496
CLSPN	217.7274	CLSPN	15.0801
CLSTN1	6115.4294	CLSTN1	5886.8992
CLSTN2	77.0941	CLSTN2	516.4939
CLSTN3	2064.1745	CLSTN3	1262.9595
CLTA	2379.3286	CLTA	1329.5633
CLTB	933.6016	CLTB	555.765
CLTCL1	52.9493	CLTCL1	101.4766
CLTC	11435.3489	CLTC	8860.1948
CLUAP1	865.1742	CLUAP1	593.5784
CLUL1	115.2176	CLUL1	109.3308
CLU	5207.6671	CLU	19434.4958
CLVS1	5.2907	CLVS1	12.2903
CLYBL	103.357	CLYBL	142.0044
CMA1	8.8955	CMA1	24.8194
CMAH	700.6248	CMAH	427.2699
CMAS	1835.8572	CMAS	616.3996
CMBL	188.0758	CMBL	1085.454
CMC1	118.6064	CMC1	90.7948
CMIP	1594.8322	CMIP	1258.2469
CMKLR1	391.8246	CMKLR1	237.5118
CMPK1	4432.4897	CMPK1	3325.7933
CMPK2	490.0985	CMPK2	123.4684
CMTM1	244.4139	CMTM1	111.8442
CMTM3	594.7263	CMTM3	1085.1398
CMTM4	3174.8385	CMTM4	1481.9353
CMTM5	6.7775	CMTM5	25.7619
CMTM6	3573.8642	CMTM6	2514.923
CMTM7	1693.106	CMTM7	730.7571
CMTM8	211.7971	CMTM8	85.454
CMYA5	942.9207	CMYA5	2617.3421
CN5H6.4	15.2494	CN5H6.4	5.9692
CNBP	10279.784	CNBP	8707.8228
CNDP2	2148.0462	CNDP2	2456.8018
CNFN	58.0324	CNFN	32.9877
CNGA1	89.3784	CNGA1	41.4703
removed	removed	CNGA4	7.2259
CNIH2	250.7678	CNIH2	8.4826
CNIH3	26.2628	CNIH3	44.9262
CNIH4	678.5979	CNIH4	489.4753
CNIH	751.4561	CNIH	862.0798
CNKSR1	554.0612	CNKSR1	498.9004
CNKSR2	37.6999	CNKSR2	74.7722
CNKSR3	1471.9898	CNKSR3	298.1464
CNN1	1491.4752	CNN1	4642.1615
CNN2	6503.0181	CNN2	3806.1577
CNN3	5128.4549	CNN3	5928.0553
CNNM1	80.9065	CNNM1	85.1398
CNNM2	101.239	CNNM2	200.1257
CNNM3	1290.6915	CNNM3	936.852
CNNM4	876.4164	CNNM4	1079.4848
CNOT10	961.5588	CNOT10	656.9274
CNOT1	8872.7269	CNOT1	5534.5963
CNOT2	1590.5962	CNOT2	1606.9746
CNOT3	1202.5839	CNOT3	892.8684
CNOT4	419.7818	CNOT4	657.2416
CNOT6L	1221.6457	CNOT6L	2074.4581
CNOT6	1109.8168	CNOT6	1015.0801
CNOT7	1762.5755	CNOT7	1831.2912
CNOT8	1196.6536	CNOT8	1427.584
CNO	119.4536	CNO	207.0374
CNPY2	1239.013	CNPY2	744.2664
CNPY3	1270.359	CNPY3	671.065
CNPY4	217.3038	CNPY4	212.5008
CNP	1688.0568	CNP	1680.0063
CNR1	7.6247	CNR1	118.1276
removed	removed	CNR2	6.2834
CNRIP1	83.8717	CNRIP1	388.9413
CNST	1251.2973	CNST	995.2875
CNTD1	36.4037	CNTD1	87.8731
CNTD2	21.1797	removed	removed
CNTFR	908.186	CNTFR	437.0091
CNTF	23.2977	CNTF	11.263
CNTLN	424.0178	CNTLN	296.8897
CNTN1	96.1559	CNTN1	825.0079
removed	removed	CNTN2	39.2711
CNTN3	5.9303	CNTN3	127.2385
CNTN4	141.9041	CNTN4	260.132
CNTN5	287.1969	removed	removed
CNTN6	7.2011	CNTN6	6.9117
CNTNAP1	47.019	CNTNAP1	190.3864
removed	removed	CNTNAP2	46.8112
CNTNAP3	276.1834	CNTNAP3	355.6393
CNTROB	670.9732	CNTROB	802.0735
COASY	1149.6347	COASY	1102.7333
COBLL1	650.6407	COBLL1	1706.5661
COBL	5579.1592	COBL	1425.3849
COBRA1	1340.252	COBRA1	1100.8483
COCH	325.4347	COCH	41.0053
COG1	763.8759	COG1	1092.4757
COG2	573.5465	COG2	726.673
COG3	676.4799	COG3	1207.3516
COG4	1862.9673	COG4	1020.421
COG5	804.13	COG5	1080.465
COG6	460.0233	COG6	729.1863
COG7	692.1529	COG7	666.0383
COG8	412.1106	COG8	445.8561
COIL	907.3388	COIL	583.726
removed	removed	COL10A1	7.8542
COL11A1	433.3369	COL11A1	52.1521
COL11A2	1209.3614	COL11A2	65.033
COL12A1	2301.8109	COL12A1	5505.1838
COL13A1	37.2763	COL13A1	21.0493
COL14A1	1162.7661	COL14A1	4986.4907
COL15A1	1588.0546	COL15A1	2060.0063
COL16A1	629.0374	COL16A1	2432.9249
COL17A1	1695.224	COL17A1	8497.9579
COL18A1	1578.312	COL18A1	2709.3937
COL19A1	108.4401	removed	removed
COL1A1	18665.2547	COL1A1	7889.4125
COL1A2	15480.2499	COL1A2	13684.2601
COL21A1	36.4291	COL21A1	77.5997
COL22A1	25.4157	COL22A1	20.1068
COL23A1	26.2628	COL23A1	249.7644
COL24A1	13.9786	COL24A1	18.2218
removed	removed	COL25A1	59.3779
COL27A1	1037.3822	COL27A1	644.3607
COL28A1	230.8588	COL28A1	107.4458
COL2A1	3116.3825	COL2A1	217.0908
COL3A1	14171.7674	COL3A1	10244.4235
COL4A1	6963.0414	COL4A1	3505.8121
COL4A2	12709.9439	COL4A2	5217.405
COL4A3BP	887.4298	COL4A3BP	1814.0119
COL4A3	14.4022	COL4A3	125.9818
COL4A4	51.6785	COL4A4	159.5979
COL4A5	752.7269	COL4A5	1611.6871
COL4A6	74.5526	COL4A6	608.2312
COL5A1	1680.3982	COL5A1	1582.4694
COL5A2	1716.4037	COL5A2	1431.9824
COL5A3	252.0385	COL5A3	548.2249
COL6A1	4265.17	COL6A1	7617.3421
COL6A2	6267.9233	COL6A2	9077.9139
COL6A3	5880.7582	COL6A3	9423.1857
COL6A6	31.7696	COL6A6	568.6459
COL7A1	282.1137	COL7A1	1473.7669
COL8A1	307.953	COL8A1	348.0993
COL8A2	1277.1365	COL8A2	915.4885
COL9A1	13.1314	COL9A1	5.3409
COL9A2	312.6125	COL9A2	493.2454
COL9A3	135.9737	COL9A3	98.9632
COLEC11	19.4853	removed	removed
COLEC12	1146.2459	COLEC12	1349.6701
COLQ	42.0926	COLQ	63.6035
COMMD10	291.8564	COMMD10	340.8734
COMMD1	153.3411	COMMD1	295.6331
COMMD2	1400.826	COMMD2	1121.2692
COMMD3	658.5915	COMMD3	604.9544
COMMD4	1006.0362	COMMD4	543.8266
COMMD5	344.7887	COMMD5	383.77
COMMD6	1682.9397	COMMD6	1582.4694
COMMD7	1317.378	COMMD7	818.7245
COMMD8	158.4242	COMMD8	209.8649
COMMD9	530.7635	COMMD9	549.4816
COMP	410.8864	COMP	5.3409
COMTD1	75.8234	COMTD1	42.727
COMT	2111.1935	COMT	1675.4634
COPA	10321.4148	COPA	4962.2997
COPB1	2358.1489	COPB1	2969.9152
COPB2	5704.1195	COPB2	3061.5771
COPE	2029.4229	COPE	872.4474
COPG2	362.173	COPG2	502.6704
COPG	6270.8885	COPG	2731.6997
COPS2	1455.4697	COPS2	2081.9981
COPS3	1011.5429	COPS3	867.7348
COPS4	615.4824	COPS4	921.4577
COPS5	904.3736	COPS5	940.9362
COPS6	817.1132	COPS6	1223.6883
COPS7A	1709.6262	COPS7A	1207.9799
COPS7B	637.5093	COPS7B	634.6214
COPS8	606.9766	COPS8	921.6965
COPZ1	3762.7872	COPZ1	2663.2108
COPZ2	66.9279	COPZ2	248.8219
COQ10A	132.1614	COQ10A	171.5363
COQ10B	373.6101	COQ10B	650.9582
COQ2	196.1241	COQ2	109.3308
COQ3	233.4004	COQ3	149.2303
COQ4	390.9774	COQ4	666.6667
COQ5	296.0923	COQ5	380.1445
COQ6	231.9941	COQ6	425.1649
COQ7	480.3558	COQ7	525.9189
COQ9	900.1377	COQ9	584.0402
CORIN	34.3111	CORIN	16.651
CORO1A	841.6817	CORO1A	471.5677
CORO1B	1559.2502	CORO1B	1033.3019
CORO1C	3107.487	CORO1C	2257.6186
CORO2A	310.9181	CORO2A	508.0113
CORO2B	43.2066	CORO2B	285.2655
CORO6	9.7427	CORO6	38.3286
CORO7	403.8208	CORO7	344.7534
COTL1	2535.2113	COTL1	814.9544
COX10	230.0116	COX10	273.9554
COX11	760.5676	COX11	880.2105
COX15	654.2201	COX15	1160.8074
COX16	551.5196	COX16	611.6871
COX17	499.4176	COX17	285.5796
COX18	221.9634	COX18	387.3704
COX19	205.2441	COX19	276.4907
COX4I1	4466.8008	COX4I1	2964.1847
COX4I2	11.8606	COX4I2	26.3902
COX4NB	537.1174	COX4NB	320.1382
COX5A	1250.8737	COX5A	680.8043
COX5B	883.1939	COX5B	749.9215
COX6A1	1582.9715	COX6A1	1058.7496
COX6B1	2320.0254	COX6B1	1434.4958
COX6B2	8.0483	COX6B2	38.0145
COX6C	2634.7559	COX6C	1098.9632
COX7A1	56.7616	COX7A1	251.9636
COX7A2L	1271.2062	COX7A2L	1564.2476
COX7A2	1264.8523	COX7A2	776.3117
COX7B	890.8186	COX7B	847.3139
COX7C	2412.369	COX7C	2084.1973
COX8A	870.4861	COX8A	869.934
CP110	1203.8547	CP110	1046.497
removed	removed	CPA1	30.1602
CPA3	47.4426	CPA3	172.1646
CPA4	37.6999	CPA4	40.2136
removed	removed	CPA6	28.2752
CPAMD8	110.1345	CPAMD8	420.9865
CPB1	613.3644	CPB1	182.5322
CPD	1627.0253	CPD	3454.6026
CPEB1	10.5899	CPEB1	114.6717
CPEB2	277.4542	CPEB2	1153.3145
CPEB3	266.8643	CPEB3	292.1772
CPEB4	506.1951	CPEB4	1199.1832
CPE	861.5906	CPE	4388.9413
CPLX1	19.9089	CPLX1	98.6491
CPLX3	56.8252	removed	removed
CPM	900.5613	CPM	795.476
removed	removed	CPN2	8.4826
CPNE1	2410.6195	CPNE1	1777.782
CPNE2	1050.5136	CPNE2	601.3195
CPNE3	2574.6055	CPNE3	3506.7546
CPNE4	11.0134	CPNE4	7.2259
CPNE5	59.3032	CPNE5	107.76
CPNE7	80.4829	CPNE7	8.7967
CPNE8	126.2311	CPNE8	308.514
CPOX	389.2831	CPOX	424.7565
removed	removed	CPO	6.2834
CPPED1	750.6089	CPPED1	511.153
CPS1	273.6419	CPS1	260.7603
CPSF1	2083.6599	CPSF1	1262.3311
CPSF2	1020.862	CPSF2	1178.7622
CPSF3L	1085.2483	CPSF3L	1323.9083
CPSF3	733.2416	CPSF3	639.6481
CPSF4	238.9071	CPSF4	353.4402
CPSF6	2392.8836	CPSF6	2126.6101
CPSF7	2029.4398	CPSF7	2684.5743
CPT1A	1118.2887	CPT1A	2118.7559
CPT1B	543.2892	CPT1B	464.7785
CPT1C	13.9786	CPT1C	36.4436
CPT2	571.8522	CPT2	583.0977
CPVL	255.8509	CPVL	456.4876
CPXM1	186.3814	CPXM1	423.4998
CPXM2	315.1541	CPXM2	918.0019
CPZ	72.8582	CPZ	272.6987
CP	23022.2853	CP	277.4741
CR1	16.9438	CR1	44.2978
CR2	26.2628	CR2	87.6532
CRABP1	1147.5167	CRABP1	261.7028
CRABP2	1200.466	CRABP2	3025.7619
CRADD	135.1265	CRADD	158.9695
CRAMP1L	1518.5937	CRAMP1L	1272.7615
CRAT	191.4646	CRAT	838.8313
CRB1	5.5067	CRB1	14.1376
CRB2	23.7213	CRB2	49.9529
CRB3	166.4725	CRB3	123.4684
CRBN	787.9615	CRBN	1126.8772
CRCP	930.6365	CRCP	838.203
CREB1	1156.4122	CREB1	1773.17
CREB3L1	80.9065	CREB3L1	182.8464
CREB3L2	3009.6368	CREB3L2	3684.2601
CREB3L4	1211.0558	CREB3L4	972.6673
CREB3	1014.6945	CREB3	896.7735
CREB5	132.585	CREB5	621.1122
CREBBP	4386.3179	CREBBP	4437.0091
CREBL2	1167.8492	CREBL2	2459.0009
CREBZF	1612.1995	CREBZF	2091.109
CREG1	4395.637	CREG1	3347.4709
CRELD1	723.4989	CRELD1	483.8203
CRELD2	866.6737	CRELD2	280.8671
CREM	455.3638	CREM	320.4524
removed	removed	CRHBP	39.5853
CRHR1	64.9073	CRHR1	55.1147
removed	removed	CRHR2	10.0534
CRIM1	2718.204	CRIM1	8317.9391
CRIP1	578.2061	CRIP1	596.9211
CRIP2	2611.4582	CRIP2	1653.4716
removed	removed	CRIP3	8.1684
CRIPAK	106.3221	CRIPAK	326.7358
CRIPT	465.53	CRIPT	365.3786
CRISP2	6.3539	CRISP2	5.655
CRISP3	9.3191	CRISP3	5.0267
CRISPLD1	3605.6338	CRISPLD1	1777.5683
CRISPLD2	836.1749	CRISPLD2	1041.4703
CRKL	2681.7749	CRKL	2258.2469
CRK	1025.5216	CRK	1277.0971
CRLF1	213.9151	CRLF1	17.2793
CRLF3	590.0667	CRLF3	390.5121
CRLS1	789.156	CRLS1	724.7879
CRMP1	40.665	CRMP1	175.6362
CRNKL1	1308.9061	CRNKL1	1003.1417
CROCCL1	237.6999	CROCCL1	490.2168
CROCCL2	38.9707	CROCCL2	147.0311
CROCC	243.9903	CROCC	405.9064
CROT	182.9927	CROT	780.71
CRTAC1	249.0734	CRTAC1	200.4398
CRTAM	16.5202	CRTAM	12.5668
CRTAP	3116.8061	CRTAP	6241.2818
CRTC1	422.747	CRTC1	506.4405
CRTC2	1209.785	CRTC2	899.7801
CRTC3	1247.0613	CRTC3	1695.5702
CRY1	470.1896	CRY1	515.5514
CRY2	729.4292	CRY2	2581.2127
CRYAB	4100.8154	CRYAB	3288.093
CRYBB2	22.4505	removed	removed
CRYBB3	12.7078	removed	removed
CRYBG3	177.0751	CRYBG3	902.7019
CRYGS	15.673	CRYGS	19.7926
CRYL1	199.9365	CRYL1	426.0132
CRYM	206.2904	CRYM	13.8234
CRYZL1	387.3896	CRYZL1	443.5847
CRYZ	591.4858	CRYZ	992.328
CSAD	617.6003	CSAD	788.8784
CSDAP1	83.4481	CSDAP1	40.842
CSDA	6217.092	CSDA	3107.1316
CSDC2	17.3674	CSDC2	30.4744
CSDE1	19925.871	CSDE1	17610.1162
CSE1L	4041.9358	CSE1L	2066.2897
CSF1R	1259.3455	CSF1R	905.7493
CSF1	1107.6988	CSF1	1059.3779
CSF2RA	143.5984	CSF2RA	126.9243
CSF2RB	215.6094	CSF2RB	413.4464
CSF3R	95.7323	CSF3R	120.3267
CSF3	12.7078	CSF3	23.5627
CSGALNACT1	137.6681	CSGALNACT1	462.771
CSGALNACT2	881.9231	CSGALNACT2	759.3465
CSK	1507.5717	CSK	704.6811
removed	removed	CSMD1	99.9057
CSMD2	12.2842	removed	removed
removed	removed	CSN1S1	27.0185
removed	removed	CSN2	32.0452
CSN3	10.1663	CSN3	63.148
CSNK1A1	4792.9683	CSNK1A1	6693.9994
CSNK1D	3549.7194	CSNK1D	2817.1536
CSNK1E	1789.8422	CSNK1E	1354.4643
CSNK1G1	549.4017	CSNK1G1	849.8272
CSNK1G2	1059.8327	CSNK1G2	688.0302
CSNK1G3	887.0062	CSNK1G3	946.5913
CSNK2A1P	805.6762	CSNK2A1P	482.8778
CSNK2A1	2190.8292	CSNK2A1	1150.8011
CSNK2A2	856.5075	CSNK2A2	568.6459
CSNK2B	2834.0019	CSNK2B	1774.9984
CSPG4	399.4493	CSPG4	633.0506
CSPG5	48.7133	CSPG5	13.1951
CSPP1	359.6315	CSPP1	540.1948
CSRNP1	744.6786	CSRNP1	2895.6959
CSRNP2	635.3913	CSRNP2	914.546
CSRNP3	16.9438	CSRNP3	87.339
CSRP1	24443.0795	CSRP1	20104.6183
CSRP2BP	820.502	CSRP2BP	719.7612
CSRP2	644.7104	CSRP2	786.6792
CST1	113.9468	removed	removed
CST3	3139.6802	CST3	3945.9629
CST6	16.5202	CST6	20.421
CST7	88.5312	CST7	56.2363
CST9	43.2066	CST9	9.1109
CSTA	323.626	CSTA	167.7663
CSTB	1909.9862	CSTB	1027.0185
CSTF1	759.5044	CSTF1	636.5064
CSTF2T	939.9555	CSTF2T	994.6591
CSTF2	252.0385	CSTF2	277.0971
CSTF3	744.9412	CSTF3	527.1536
CS	4266.0172	CS	3417.2165
CT62	11.0134	CT62	36.1294
CTAGE4	80.4829	CTAGE4	109.3308
CTAGE5	684.6087	CTAGE5	831.2912
CTAGE6	13.1314	CTAGE6	16.3368
CTAGE9	190.1938	CTAGE9	276.7829
CTBP1	1676.391	CTBP1	1710.6063
CTBP2	1870.592	CTBP2	1791.7059
CTBS	410.4543	CTBS	591.8379
CTCFL	18.8626	removed	removed
CTCF	1963.7827	CTCF	1805.8435
CTDP1	352.854	CTDP1	344.9576
CTDSP1	1971.4074	CTDSP1	3266.1012
CTDSP2	7825.4792	CTDSP2	8191.6431
CTDSPL2	817.5368	CTDSPL2	1033.3019
CTDSPL	1225.8816	CTDSPL	2039.8995
CTF1	317.2721	CTF1	218.6616
CTGF	13746.0553	CTGF	9148.6019
CTHRC1	926.8241	CTHRC1	124.7251
CTH	66.0807	CTH	101.1624
CTLA4	43.6302	CTLA4	5.655
CTNNA1	13081.0124	CTNNA1	8120.9551
CTNNA3	5.0831	CTNNA3	5.0267
CTNNAL1	644.2868	CTNNAL1	788.5642
CTNNB1	14992.5702	CTNNB1	15015.699
CTNNBIP1	976.3846	CTNNBIP1	996.23
CTNNBL1	911.1511	CTNNBL1	737.0405
CTNND1	8617.6003	CTNND1	11129.1235
CTNND2	422.3234	CTNND2	278.0396
CTNS	330.7423	CTNS	355.9032
CTPS2	436.302	CTPS2	656.9274
CTPS	1232.2355	CTPS	248.1935
CTR9	967.0656	CTR9	1816.8395
CTRL	11.8606	CTRL	6.5975
CTSA	2297.2022	CTSA	1220.9959
CTSB	11312.5066	CTSB	6754.634
CTSC	1839.246	CTSC	1077.2856
CTSD	10837.2339	CTSD	5464.3418
CTSF	3712.3795	CTSF	2045.2403
CTSG	20.3325	CTSG	36.4436
CTSH	1186.0638	CTSH	1638.3915
CTSK	1242.4018	CTSK	3510.5247
CTSL1	610.8228	CTSL1	1137.9202
CTSL2	203.7488	CTSL2	42.4128
CTSO	886.1591	CTSO	1554.5083
CTSS	2732.1826	CTSS	976.4373
CTSW	206.2904	CTSW	100.2199
CTSZ	3162.1307	CTSZ	2930.5686
CTTNBP2NL	1196.6536	CTTNBP2NL	1044.2978
CTTNBP2	20.7561	CTTNBP2	418.4731
CTTN	4154.1883	CTTN	3297.8322
CTU1	72.4346	CTU1	24.8194
CTU2	258.3035	CTU2	136.3839
CTXN1	382.5056	CTXN1	38.3286
CUBN	34.7347	CUBN	129.1235
CUEDC1	396.9078	CUEDC1	306.9431
CUEDC2	527.7984	CUEDC2	513.3522
CUL1	782.3785	CUL1	1728.869
CUL2	841.2581	CUL2	735.1555
CUL3	1558.403	CUL3	2267.9862
CUL4A	2437.361	CUL4A	1822.8087
CUL4B	2073.07	CUL4B	2278.6679
CUL5	1237.7422	CUL5	1359.0952
CUL7	1751.9263	CUL7	1400.1697
CUL9	818.8076	CUL9	1030.4744
CUTA	2755.0567	CUTA	1364.1219
CUTC	181.239	CUTC	321.8787
CUX1	582.8656	CUX1	1054.9796
CUX2	9.7427	CUX2	38.957
CUZD1	22.4971	CUZD1	12.4819
CWC15	689.1878	CWC15	724.4738
CWC22	593.4555	CWC22	956.0163
CWC25	366.8326	CWC25	497.6437
CWC27	546.4365	CWC27	497.0154
CWF19L1	354.9719	CWF19L1	536.6007
CWF19L2	424.4414	CWF19L2	729.1863
CWH43	6.7775	CWH43	5.9692
CX3CL1	10539.8708	CX3CL1	6054.6654
CX3CR1	313.8833	CX3CR1	501.4138
removed	removed	CXADRP3	9.7392
CXADR	457.0581	CXADR	403.7072
CXCL10	1656.6769	CXCL10	54.0371
CXCL11	425.7122	CXCL11	18.2218
CXCL12	1673.6207	CXCL12	8468.426
CXCL13	222.8105	CXCL13	50.267
CXCL14	2746.5848	CXCL14	5677.9768
CXCL16	2173.0382	CXCL16	1174.3638
CXCL17	39.8179	CXCL17	64.0905
CXCL1	5.9303	CXCL1	47.1254
CXCL2	44.0538	CXCL2	153.0003
removed	removed	CXCL3	14.4518
removed	removed	CXCL5	47.7537
removed	removed	CXCL6	7.5401
CXCL9	3602.6686	CXCL9	169.9654
CXCR2P1	143.5984	removed	removed
CXCR2	15.2494	CXCR2	13.1951
CXCR3	60.9976	CXCR3	38.3286
CXCR4	319.39	CXCR4	771.5991
CXCR5	8.4719	CXCR5	18.8564
CXCR6	112.6761	CXCR6	67.5463
CXCR7	256.2745	CXCR7	1227.4584
CXXC1	1196.6536	CXXC1	775.6833
CXXC4	48.7133	CXXC4	18.8501
CXXC5	180.0275	CXXC5	475.9661
CXorf21	55.0672	CXorf21	48.382
CXorf23	187.6522	CXorf23	360.666
CXorf26	227.0465	CXorf26	367.8919
CXorf36	308.8002	CXorf36	1359.0952
CXorf38	195.7005	CXorf38	258.5611
CXorf40A	301.1755	CXorf40A	333.0192
CXorf40B	393.9426	CXorf40B	356.5818
CXorf42	26.2628	CXorf42	40.2136
removed	removed	CXorf49B	5.3409
removed	removed	CXorf50B	5.9692
CXorf56	153.3411	CXorf56	206.0949
CXorf57	81.7537	CXorf57	153.3145
CXorf61	115.6412	removed	removed
CYB561D1	268.9823	CYB561D1	419.1015
CYB561D2	113.9468	CYB561D2	218.7842
CYB561	3144.3397	CYB561	1795.1618
CYB5A	493.9108	CYB5A	1197.2981
CYB5B	1954.8872	CYB5B	1391.4546
CYB5D1	426.983	CYB5D1	903.2359
CYB5D2	271.1003	CYB5D2	512.0955
CYB5R1	1258.0748	CYB5R1	1669.18
CYB5R2	302.8699	CYB5R2	288.7213
CYB5R3	7470.9308	CYB5R3	4720.3896
CYB5R4	321.508	CYB5R4	284.323
CYB5RL	113.5232	CYB5RL	149.5445
CYBASC3	835.3278	CYBASC3	904.1784
CYBA	731.1236	CYBA	422.8715
CYBB	1264.4287	CYBB	723.5313
CYBRD1	3790.7445	CYBRD1	13674.5209
CYC1	1623.213	CYC1	972.3531
CYCS	1447.845	CYCS	1453.9742
CYFIP1	2346.7119	CYFIP1	3902.2934
CYFIP2	271.5239	CYFIP2	462.771
CYGB	149.067	CYGB	530.3173
CYHR1	532.4579	CYHR1	530.3173
CYLD	2101.4508	CYLD	1765.0016
CYP11A1	11.0134	CYP11A1	53.0946
CYP1A1	8.4719	CYP1A1	346.2143
CYP1B1	655.3002	CYP1B1	1964.1847
CYP20A1	426.1358	CYP20A1	903.2359
CYP21A2	24.327	CYP21A2	76.673
CYP24A1	5.5067	CYP24A1	24.8194
CYP26A1	25.8392	CYP26A1	62.8338
CYP26B1	113.9468	CYP26B1	206.409
CYP27A1	1256.804	CYP27A1	1350.9268
CYP27B1	140.6333	CYP27B1	21.3635
CYP27C1	36.8527	CYP27C1	13.1951
CYP2A6	5.9303	CYP2A6	6.2834
CYP2B7P1	7.6247	CYP2B7P1	16.9651
CYP2C8	6.7775	CYP2C8	13.1951
CYP2D6	11.0134	CYP2D6	8.4826
CYP2D7P1	36.4291	CYP2D7P1	20.7352
CYP2E1	19.0617	CYP2E1	53.2579
CYP2J2	93.6143	CYP2J2	178.1338
CYP2R1	196.9713	CYP2R1	276.4687
CYP2S1	55.0672	CYP2S1	44.2978
CYP2U1	238.4835	CYP2U1	666.6667
CYP39A1	541.3534	CYP39A1	200.1257
removed	removed	CYP3A4	9.4251
removed	removed	CYP3A5	27.4615
removed	removed	CYP3A7	27.8322
CYP46A1	7.2011	CYP46A1	36.1294
removed	removed	CYP4A11	5.0267
CYP4B1	41.5122	CYP4B1	545.7116
CYP4F11	19.0617	CYP4F11	62.8338
removed	removed	CYP4F12	130.3801
CYP4F22	38.9707	CYP4F22	1263.5878
CYP4F8	8.4719	CYP4F8	21.0493
CYP4V2	1067.0338	CYP4V2	957.5872
CYP4X1	511.7018	CYP4X1	562.3626
CYP4Z1	131.3142	CYP4Z1	256.9903
CYP4Z2P	9.7427	CYP4Z2P	67.2322
CYP51A1	751.8797	CYP51A1	1477.8511
CYP7B1	111.4053	CYP7B1	226.83
removed	removed	CYP8B1	12.8809
CYR61	5854.0718	CYR61	24757.4615
CYS1	43.6302	CYS1	162.7396
CYSLTR1	35.1583	CYSLTR1	57.8071
CYSLTR2	19.0617	CYSLTR2	56.5504
CYTH1	800.593	CYTH1	848.5705
CYTH2	2281.0547	CYTH2	1415.0173
CYTH3	1376.6811	CYTH3	1416.274
CYTH4	271.9475	CYTH4	176.2488
CYTIP	138.0917	CYTIP	270.4995
CYTL1	14.8258	CYTL1	64.0905
CYTSA	3443.8208	CYTSA	2310.0848
CYTSB	280.843	CYTSB	313.8549
CYYR1	1255.9568	CYYR1	830.6629
D2HGDH	309.2238	D2HGDH	442.35
D4S234E	51.6785	D4S234E	414.3889
DAAM1	903.5264	DAAM1	1306.0006
removed	removed	DAAM2	1146.9211
DAB2IP	1873.5571	DAB2IP	3573.3585
DAB2	1001.8003	DAB2	2001.2567
DACH1	45.3246	DACH1	668.2375
DACH2	15.2494	removed	removed
DACT1	90.2256	DACT1	336.475
DACT2	11.0134	DACT2	109.645
DACT3	49.1369	DACT3	104.3041
DAD1	1526.2099	DAD1	1693.0569
DAG1	4445.6211	DAG1	5003.1417
DAGLA	227.8937	DAGLA	306.3148
DAGLB	302.8699	DAGLB	358.781
DAK	443.5031	DAK	665.7242
DALRD3	215.656	DALRD3	569.4942
DAND5	20.7561	removed	removed
DAP3	2631.7907	DAP3	1566.1326
DAPK1	1190.7233	DAPK1	705.9378
DAPK2	909.4567	DAPK2	332.3908
DAPK3	900.9849	DAPK3	617.3421
removed	removed	DAPL1	35.1869
DAPP1	590.9139	DAPP1	174.9921
DAP	4814.148	DAP	2538.1715
DARC	371.9157	DARC	1742.6956
DARS2	711.6383	DARS2	424.1282
DARS	948.0038	DARS	1772.5416
DAXX	2377.6342	DAXX	1229.9717
DAZAP1	1774.0125	DAZAP1	908.5768
DAZAP2	5336.0161	DAZAP2	6045.5545
DBC1	163.5074	DBC1	73.5156
DBF4B	130.467	DBF4B	158.9695
DBF4	256.2745	DBF4	164.6843
DBI	7204.4901	DBI	2139.8052
DBN1	1306.7881	DBN1	1000
DBNDD1	1033.1462	DBNDD1	223.3742
