gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ACO2	3745.8901	ACO2	1801.1122
ACOT11	58.0324	ACOT11	30
ACOT13	511.7865	ACOT13	520.6158
ACOT1	327.8619	ACOT1	376.0603
ACOT2	202.0544	ACOT2	172.1646
ACOT4	71.1638	ACOT4	94.2507
ACOT7	355.3955	ACOT7	238.4543
ACOT8	326.8114	ACOT8	197.4081
ACOT9	468.4952	ACOT9	493.5595
ACOX1	1308.4825	ACOX1	1727.9548
ACOX2	31.7696	ACOX2	305.3723
ACOX3	384.1999	ACOX3	763.7449
ACP1	1032.2991	ACP1	1128.4951
ACP2	575.2409	ACP2	613.569
ACP5	413.0043	ACP5	459.9434
ACP6	210.9499	ACP6	323.5941
ACPL2	463.8356	ACPL2	465.2843
ACPP	7.6247	ACPP	53.7229
ACRBP	58.456	ACRBP	19.7926
ACRC	10.5899	ACRC	28.2752
ACRV1	5.0831	removed	removed
ACR	36.8527	ACR	6.9117
ACSBG1	8.4719	ACSBG1	29.2177
removed	removed	ACSBG2	8.1684
ACSF2	381.2348	ACSF2	699.0261
ACSF3	575.2409	ACSF3	319.5099
ACSL1	2438.6318	ACSL1	6240.9676
ACSL3	4427.4065	ACSL3	3852.0264
ACSL4	1415.2282	ACSL4	1510.5247
ACSL5	855.2367	ACSL5	1019.4785
ACSL6	72.8582	ACSL6	18.2218
ACSM1	9.7427	ACSM1	77.5997
ACSM3	158.5428	ACSM3	275.5859
ACSM5	13.9786	ACSM5	158.027
ACSS1	1036.535	ACSS1	1117.185
ACSS2	1471.5662	ACSS2	2140.7477
ACSS3	452.8222	ACSS3	646.2457
ACTA1	163.0838	removed	removed
ACTA2	14343.5179	ACTA2	29967.0688
ACTBL2	33.8875	ACTBL2	6.2834
ACTB	87720.8514	ACTB	67883.7575
ACTG1	104046.1718	ACTG1	47820.2953
ACTG2	11778.0366	ACTG2	5677.3484
ACTL6A	2300.5401	ACTL6A	767.2008
ACTN1	11106.2162	ACTN1	8157.7128
ACTN2	167.3197	removed	removed
ACTN4	19728.5015	ACTN4	10506.0603
ACTR10	789.5796	ACTR10	1150.8011
ACTR1A	1663.4544	ACTR1A	1950.9896
ACTR1B	1404.6384	ACTR1B	1378.8878
ACTR2	5925.6592	ACTR2	4533.7732
ACTR3B	539.659	ACTR3B	204.8382
ACTR3C	21.6033	ACTR3C	54.6654
ACTR3	4025.8392	ACTR3	2613.8863
ACTR5	210.1027	ACTR5	226.2017
ACTR6	1011.5429	ACTR6	627.7097
ACTR8	350.3124	ACTR8	562.0484
ACVR1B	831.5154	ACVR1B	1305.6865
ACVR1C	36.8527	ACVR1C	837.2604
ACVR1	498.5704	ACVR1	1330.82
ACVR2A	304.1406	ACVR2A	763.4307
ACVR2B	326.5911	ACVR2B	573.3585
ACVRL1	322.7788	ACVRL1	683.3176
ACY1	312.1889	ACY1	446.8238
removed	removed	ACY3	21.0493
ACYP1	119.4536	ACYP1	73.8297
ACYP2	191.041	ACYP2	124.7251
ADAL	171.1321	ADAL	224.6309
ADAM10	1158.1065	ADAM10	2349.0418
ADAM11	9.3191	ADAM11	36.4436
ADAM12	474.8491	ADAM12	378.2595
ADAM15	6558.6064	ADAM15	2070.688
ADAM17	817.5368	ADAM17	810.8702
ADAM19	175.368	ADAM19	180.9614
removed	removed	ADAM21	6.9117
ADAM22	91.4963	ADAM22	138.2344
removed	removed	ADAM23	17.2793
ADAM28	223.6577	ADAM28	114.0434
ADAM32	141.9041	ADAM32	34.8728
ADAM33	72.4346	ADAM33	910.5906
ADAM6	18107.1693	ADAM6	60290.3801
ADAM8	158.0006	ADAM8	131.951
ADAM9	1734.1946	ADAM9	1733.5847
ADAMDEC1	56.338	removed	removed
ADAMTS10	141.4805	ADAMTS10	114.3575
ADAMTS12	70.7402	ADAMTS12	138.8627
ADAMTS13	17.3674	ADAMTS13	104.3041
ADAMTS14	29.6516	ADAMTS14	5.3409
ADAMTS15	41.5122	ADAMTS15	220.5467
ADAMTS16	30.9224	ADAMTS16	86.7107
ADAMTS17	169.0141	ADAMTS17	64.4046
ADAMTS18	114.3704	ADAMTS18	124.0968
ADAMTS19	47.8661	ADAMTS19	6.5975
ADAMTS1	1595.6793	ADAMTS1	4869.6199
ADAMTS2	155.0355	ADAMTS2	299.7172
ADAMTS3	38.1235	ADAMTS3	147.0311
ADAMTS4	1708.779	ADAMTS4	168.7088
ADAMTS5	343.9585	ADAMTS5	3600.6912
ADAMTS6	39.8179	ADAMTS6	21.9918
ADAMTS7	63.1155	ADAMTS7	51.8379
ADAMTS8	9.7427	ADAMTS8	30.4744
ADAMTS9	155.0355	ADAMTS9	923.9711
ADAMTSL1	78.3649	ADAMTSL1	545.3974
ADAMTSL2	65.2335	ADAMTSL2	29.2177
ADAMTSL3	340.9933	ADAMTSL3	270.4995
ADAMTSL4	221.1162	ADAMTSL4	704.6811
ADAMTSL5	5.9303	ADAMTSL5	16.3368
ADAP1	64.5854	ADAP1	83.2328
ADAP2	234.6712	ADAP2	156.142
ADARB1	746.373	ADARB1	762.174
ADARB2	8.0483	removed	removed
ADAR	12348.618	ADAR	7403.393
ADAT1	502.8063	ADAT1	390.8263
ADAT2	249.497	ADAT2	238.1401
ADAT3	26.2628	ADAT3	18.2218
ADA	60.9976	ADA	38.0145
ADCK1	114.794	ADCK1	118.4417
ADCK2	329.5563	ADCK2	583.726
ADCK4	680.2923	ADCK4	447.0625
ADCK5	158.4242	ADCK5	71.0022
ADCY10	5.5067	removed	removed
ADCY1	309.2238	ADCY1	368.8344
ADCY2	413.8515	ADCY2	209.8649
ADCY3	1234.1586	ADCY3	1232.9689
ADCY4	123.6895	ADCY4	524.6623
ADCY5	52.5257	ADCY5	450.5184
ADCY6	1131.8437	ADCY6	2781.3384
ADCY7	457.0581	ADCY7	418.7873
ADCY9	812.8773	ADCY9	889.7267
removed	removed	ADCYAP1R1	56.5504
ADCYAP1	27.9572	removed	removed
ADC	174.0972	ADC	196.6698
ADD1	3833.5275	ADD1	6847.9422
ADD2	279.5722	ADD2	58.7496
ADD3	1690.988	ADD3	3536.9149
ADH1A	7.6247	ADH1A	197.8071
ADH1B	898.0197	ADH1B	18424.7565
ADH1C	33.4639	ADH1C	418.4731
ADH4	22.4505	ADH4	95.8216
ADH5	1846.8707	ADH5	3011.3101
ADHFE1	83.4481	ADHFE1	285.5796
ADI1	1513.9257	ADI1	1286.5221
ADIPOQ	600.6566	ADIPOQ	10056.8646
ADIPOR1	3906.8093	ADIPOR1	1875.2749
ADIPOR2	3497.6173	ADIPOR2	2322.6516
ADK	318.9664	ADK	374.4895
ADM2	528.6456	ADM2	114.9859
ADM	63.5391	ADM	422.8715
ADNP2	685.3754	ADNP2	930.5686
ADNP	4909.0331	ADNP	3409.0481
ADORA1	640.898	ADORA1	224.6309
ADORA2A	114.3704	ADORA2A	60.7571
ADORA2B	40.2414	ADORA2B	86.0823
ADORA3	109.7109	ADORA3	45.5545
ADO	603.6217	ADO	622.0547
ADPGK	896.2618	ADPGK	894.9136
ADPRHL1	64.3863	ADPRHL1	84.5115
ADPRHL2	778.5661	ADPRHL2	489.1612
ADPRH	478.6614	ADPRH	412.1898
ADRA1A	7.2011	ADRA1A	19.7926
ADRA1B	7.6247	ADRA1B	20.1068
ADRA2A	74.5526	ADRA2A	728.8721
ADRA2B	16.5202	ADRA2B	24.191
ADRA2C	13.1314	ADRA2C	44.612
removed	removed	ADRB1	38.0145
ADRB2	47.8661	ADRB2	291.863
removed	removed	ADRB3	5.3409
ADRBK1	1951.9221	ADRBK1	1396.4813
ADRBK2	654.453	ADRBK2	1405.5922
ADRM1	1497.4055	ADRM1	736.7264
ADSL	1024.6744	ADSL	708.7653
ADSSL1	26.6864	ADSSL1	129.7518
ADSS	2413.6397	ADSS	1224.945
AEBP1	2542.836	AEBP1	5262.017
AEBP2	807.7941	AEBP2	1138.8627
AEN	409.6156	AEN	543.8266
AES	7671.7145	AES	5214.5774
AFAP1L1	169.0141	AFAP1L1	522.7773
AFAP1L2	271.9475	AFAP1L2	1466.541
AFAP1	1726.1252	AFAP1	1652.4694
AFF1	1245.3669	AFF1	3537.5432
AFF2	36.0055	AFF2	76.0289
AFF3	427.4065	AFF3	2916.431
AFF4	4175.7916	AFF4	4953.503
AFG3L1	390.9774	AFG3L1	323.2799
AFG3L2	1914.5441	AFG3L2	1280.267
AFMID	528.222	AFMID	628.338
removed	removed	AFP	59.3779
AFTPH	1768.9294	AFTPH	1890.355
AG2	80.0593	AG2	228.0867
AGAP11	38.9707	AGAP11	358.8344
AGAP1	361.3258	AGAP1	595.3503
AGAP2	130.6746	AGAP2	79.4596
AGAP3	570.1578	AGAP3	1447.6909
AGAP4	235.0948	AGAP4	301.2881
AGAP5	83.5624	AGAP5	117.2887
AGAP6	120.7243	AGAP6	152.0578
AGAP7	5.9303	AGAP7	7.2259
AGAP8	32.1932	AGAP8	36.4436
AGA	626.9194	AGA	428.5265
removed	removed	AGBL2	34.2444
AGBL3	8.0483	AGBL3	9.1109
AGBL4	6.3539	AGBL4	15.3943
AGBL5	1042.0502	AGBL5	739.89
AGER	50.4077	AGER	53.7229
AGFG1	2088.3194	AGFG1	1939.9937
AGFG2	307.953	AGFG2	535.0298
AGGF1	961.1352	AGGF1	937.4804
AGK	355.8191	AGK	575.2435
AGL	1335.5925	AGL	1377.6312
AGMAT	19.4853	AGMAT	12.5668
AGPAT1	2334.3641	AGPAT1	1497.9014
AGPAT2	491.3693	AGPAT2	1437.0091
AGPAT3	2056.9734	AGPAT3	1501.7279
AGPAT4	186.3814	AGPAT4	357.8385
AGPAT5	1001.8003	AGPAT5	571.4735
AGPAT6	1588.9018	AGPAT6	1427.584
AGPAT9	157.577	AGPAT9	251.9636
AGPHD1	52.9493	AGPHD1	83.8831
AGPS	779.8369	AGPS	1019.1643
AGR2	279.1486	AGR2	1704.6811
AGR3	160.9658	AGR3	173.4213
AGRN	4379.964	AGRN	4345.5859
AGTPBP1	485.0154	AGTPBP1	407.4772
AGTR1	21.1797	AGTR1	290.6063
AGTRAP	546.0129	AGTRAP	421.929
AGT	63.1155	AGT	38.6428
removed	removed	AGXT2L1	7.8542
AGXT2L2	159.4705	AGXT2L2	424.0559
AHCTF1	2899.9259	AHCTF1	1842.9155
AHCYL1	4171.1321	AHCYL1	3618.913
AHCYL2	392.6718	AHCYL2	745.5231
AHCY	4413.0043	AHCY	2069.4314
AHDC1	1740.9721	AHDC1	1317.9391
AHI1	712.4854	AHI1	582.4694
AHNAK2	271.9475	AHNAK2	1388.6271
AHNAK	27817.0073	AHNAK	107961.3572
AHRR	146.5636	AHRR	50.8954
AHR	1852.3774	AHR	4281.1813
AHSA1	1222.4929	AHSA1	1103.3616
AHSA2	545.1657	AHSA2	925.2278
AIDA	1036.9628	AIDA	967.6846
AIF1L	4191.4646	AIF1L	1395.2246
AIF1	349.0416	AIF1	213.6349
AIFM1	893.7838	AIFM1	538.7999
AIFM2	249.0734	AIFM2	806.7861
AIFM3	8.4719	AIFM3	10.0534
AIG1	515.0905	AIG1	778.1967
AIM1L	10.5899	removed	removed
AIM1	4865.8265	AIM1	2939.0512
AIM2	26.2628	AIM2	13.8234
AIMP1	1023.4036	AIMP1	1130.8011
AIMP2	247.6162	AIMP2	206.5159
AIP	765.8583	AIP	583.0977
AJAP1	9.3191	AJAP1	16.3368
AK1	249.0734	AK1	357.5243
AK2	4735.3595	AK2	1797.9893
AK3L1	265.17	AK3L1	556.7075
AK3	1371.598	AK3	2210.8074
AK5	295.6687	AK5	1026.076
AK7	6.3539	AK7	65.3472
AKAP10	344.3821	AKAP10	686.4593
AKAP11	1308.9061	AKAP11	2779.7675
removed	removed	AKAP12	4656.9274
AKAP13	3644.1809	AKAP13	4545.3974
AKAP1	5537.6469	AKAP1	3131.3227
AKAP2	778.7906	AKAP2	1427.1505
AKAP3	35.1583	AKAP3	56.2363
AKAP5	99.5446	AKAP5	176.563
AKAP6	140.2097	AKAP6	311.9698
AKAP7	397.755	AKAP7	247.8794
AKAP8L	979.7734	AKAP8L	776.3117
AKAP8	881.9231	AKAP8	868.049
AKAP9	2165.4135	AKAP9	3958.8439
AKD1	226.1993	AKD1	186.6164
AKIRIN1	1050.5136	AKIRIN1	1387.0562
AKIRIN2	806.5234	AKIRIN2	704.6811
removed	removed	AKNAD1	11.9416
AKNA	641.7452	AKNA	799.5602
AKR1A1	1491.8988	AKR1A1	1321.3949
removed	removed	AKR1B15	34.5586
AKR1B1	815.8424	AKR1B1	820.2953
AKR1C1	170.2849	AKR1C1	949.733
AKR1C2	132.585	AKR1C2	796.4185
AKR1C3	200.7836	AKR1C3	797.6751
removed	removed	AKR1D1	9.1109
AKR1E2	94.8851	AKR1E2	53.0946
AKR7A2	812.8773	AKR7A2	870.8765
AKR7A3	16.0966	AKR7A3	207.0374
AKR7L	9.7427	AKR7L	38.3286
AKT1S1	1052.6316	AKT1S1	648.759
AKT1	2865.1911	AKT1	2698.0836
AKT2	3270.1472	AKT2	2419.1015
AKT3	284.2317	AKT3	1489.1612
AKTIP	555.4887	AKTIP	648.5611
ALAD	1218.6805	ALAD	2036.4436
ALAS1	1014.0845	ALAS1	773.17
ALB	138.0917	ALB	1635.2498
ALCAM	953.5105	ALCAM	5422.2432
ALDH16A1	602.7745	ALDH16A1	326.1074
ALDH18A1	2310.2827	ALDH18A1	1366.3211
ALDH1A1	354.1247	ALDH1A1	2912.9752
ALDH1A2	30.4988	ALDH1A2	238.1401
ALDH1A3	1264.2931	ALDH1A3	1560.0094
ALDH1B1	689.6114	ALDH1B1	486.962
ALDH1L1	36.4291	ALDH1L1	422.2432
ALDH1L2	360.0551	ALDH1L2	309.4565
ALDH2	880.6523	ALDH2	5074.4581
ALDH3A1	17.3674	ALDH3A1	83.2548
ALDH3A2	1085.6719	ALDH3A2	2805.5294
ALDH3B1	129.6198	ALDH3B1	144.5178
removed	removed	ALDH3B2	2026.7044
ALDH4A1	516.7849	ALDH4A1	1252.5919
ALDH5A1	442.6559	ALDH5A1	575.2435
ALDH6A1	450.0688	ALDH6A1	770.3456
ALDH7A1	3486.1802	ALDH7A1	2826.8929
ALDH8A1	45.7482	ALDH8A1	24.191
ALDH9A1	5483.0033	ALDH9A1	2978.6365
ALDOA	12669.2788	ALDOA	11034.8728
ALDOB	6.3539	removed	removed
ALDOC	657.8418	ALDOC	998.4292
ALG10B	307.1058	ALG10B	502.6704
ALG10	135.1265	ALG10	145.7744
ALG11	31.7696	ALG11	14.1376
ALG12	526.9512	ALG12	400.8797
ALG13	257.1217	ALG13	573.0443
ALG14	121.5715	ALG14	145.7744
ALG1L	12.9323	removed	removed
ALG1	611.5006	ALG1	394.9387
ALG2	516.7849	ALG2	720.7037
ALG3	1152.5998	ALG3	369.7769
ALG5	469.3424	ALG5	512.0955
ALG6	373.6101	ALG6	298.4606
ALG8	730.2764	ALG8	518.6931
ALG9	549.4017	ALG9	580.5844
ALKBH1	156.7299	ALKBH1	256.0478
ALKBH2	394.7898	ALKBH2	199.4973
ALKBH3	241.8723	ALKBH3	361.2944
ALKBH4	153.0997	ALKBH4	189.5225
ALKBH5	1247.4383	ALKBH5	1993.6601
ALKBH6	108.4401	ALKBH6	81.3698
ALKBH7	278.725	ALKBH7	325.7933
ALKBH8	218.9982	ALKBH8	341.1876
ALK	152.9175	removed	removed
ALMS1P	5.0831	ALMS1P	10.0534
ALMS1	1218.6805	ALMS1	1126.9243
ALOX12P2	51.6785	ALOX12P2	63.7763
removed	removed	ALOX12	8.5265
ALOX15B	40.2414	ALOX15B	733.8988
ALOX15	10.1663	ALOX15	26.076
ALOX5AP	493.4872	ALOX5AP	189.7581
ALOX5	295.2452	ALOX5	395.853
removed	removed	ALOXE3	11.6243
ALPK1	786.1908	ALPK1	956.0163
ALPK2	11.437	ALPK2	10.9959
ALPK3	96.5795	ALPK3	341.1876
ALPL	554.4848	ALPL	427.8982
ALS2CL	191.4646	ALS2CL	421.929
removed	removed	ALS2CR11	14.4518
removed	removed	ALS2CR12	7.8542
ALS2CR4	1064.0686	ALS2CR4	2214.2633
ALS2CR8	140.6333	ALS2CR8	404.3355
ALS2	451.5514	ALS2	906.6918
ALX1	42.783	removed	removed
ALX3	41.9358	ALX3	41.7845
ALX4	157.1534	ALX4	55.9221
AMACR	139.3625	AMACR	223.06
removed	removed	AMBP	29.8461
AMBRA1	800.593	AMBRA1	1170.9079
AMD1	7870.5835	AMD1	1850.4555
removed	removed	AMDHD1	36.1294
AMDHD2	233.9299	AMDHD2	139.1392
AMFR	3784.8141	AMFR	2729.8146
AMH	27.9572	removed	removed
AMICA1	154.6119	AMICA1	136.9777
AMIGO1	146.5636	AMIGO1	177.8197
AMIGO2	822.6199	AMIGO2	5793.2705
AMIGO3	58.456	AMIGO3	61.5771
AMMECR1L	690.0349	AMMECR1L	965.1272
AMMECR1	152.9175	AMMECR1	226.5159
AMN1	263.052	AMN1	222.4317
AMOTL1	2095.5205	AMOTL1	3955.7022
AMOTL2	2589.0077	AMOTL2	4743.3239
AMOT	1113.2055	AMOT	1577.4427
AMPD1	5.5067	AMPD1	101.7908
AMPD2	681.5631	AMPD2	693.0569
AMPD3	150.7995	AMPD3	223.3742
AMPH	9.3191	AMPH	87.6532
removed	removed	AMTN	5.9692
AMT	88.6413	AMT	219.7235
AMY1A	7.6247	AMY1A	18.536
AMY2B	212.0004	AMY2B	425.4854
AMZ2P1	171.1321	AMZ2P1	234.0559
AMZ2	1312.2948	AMZ2	1005.3409
ANAPC10	95.7323	ANAPC10	154.8853
ANAPC11	969.1835	ANAPC11	410.6189
ANAPC13	1342.9546	ANAPC13	974.6277
ANAPC16	2347.1354	ANAPC16	2562.9909
ANAPC1	679.8687	ANAPC1	1009.7392
ANAPC2	525.6804	ANAPC2	703.7386
ANAPC4	434.6076	ANAPC4	684.2601
ANAPC5	2994.811	ANAPC5	2355.9535
ANAPC7	1250.0265	ANAPC7	803.3302
ANGEL1	468.4952	ANGEL1	681.1184
ANGEL2	648.5227	ANGEL2	846.3713
ANGPT1	110.9817	ANGPT1	344.3292
ANGPT2	67.7751	ANGPT2	316.9965
removed	removed	ANGPT4	18.2218
ANGPTL1	53.7965	ANGPTL1	846.9997
ANGPTL2	749.3381	ANGPTL2	3622.9972
ANGPTL4	128.349	ANGPTL4	459.3151
ANGPTL5	5.9303	removed	removed
ANGPTL7	72.8582	ANGPTL7	144.5178
ANG	161.5334	ANG	468.2375
ANK1	5.5067	ANK1	15.0801
ANK2	308.8002	ANK2	898.8376
ANK3	1238.1658	ANK3	1621.7405
ANKAR	30.9224	ANKAR	102.4191
ANKDD1A	47.8661	ANKDD1A	180.6472
removed	removed	ANKFN1	43.0412
