gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ACOT1	652.8567	ACOT1	923.3279
ACOT2	594.0528	ACOT2	529.7716
ACOT4	360.1737	ACOT4	165.1713
ACOT7	448.0454	ACOT7	605.6281
ACOT8	361.8443	ACOT8	401.0726
ACOT9	241.8978	ACOT9	539.5595
ACOX1	1838.9576	ACOX1	1301.9984
ACOX2	254.2599	ACOX2	341.354
ACOX3	501.8376	ACOX3	572.186
ACP1	1141.6639	ACP1	1378.8744
ACP2	876.0441	ACP2	1125.2039
ACP5	728.7003	ACP5	1373.1648
ACP6	200.4678	ACP6	358.4829
ACPL2	328.7671	ACPL2	306.2806
ACPP	27.3973	ACPP	38.3361
ACRBP	18.7103	ACRBP	28.1403
ACRC	9.3552	ACRC	20.7993
removed	removed	ACR	6.5253
ACSBG1	6.3481	ACSBG1	13.8662
ACSBG2	6.014	removed	removed
ACSF2	347.1433	ACSF2	1566.0685
ACSF3	318.4096	ACSF3	695.7586
ACSL1	1040.4277	ACSL1	3948.6134
ACSL3	5027.7314	ACSL3	1822.5938
ACSL4	212.1617	ACSL4	702.6917
ACSL5	120.2807	ACSL5	503.2626
ACSM1	5.3458	ACSM1	44.4535
ACSM3	8.7838	ACSM3	158.2055
ACSM5	15.7033	ACSM5	131.3214
ACSS1	2845.9739	ACSS1	960.0326
ACSS2	453.0571	ACSS2	1699.0212
ACSS3	144.3368	ACSS3	184.7471
removed	removed	ACTA1	14.2741
ACTA2	3757.2035	ACTA2	44420.7993
removed	removed	ACTBL2	13.0506
ACTB	53991.9813	ACTB	144433.9315
ACTG1	122652.8567	ACTG1	111342.9853
ACTG2	236.552	ACTG2	11745.9217
ACTL6A	1889.4086	ACTL6A	716.5579
ACTL8	16.0374	removed	removed
ACTN1	4360.842	ACTN1	12399.2659
ACTN4	9593.849	ACTN4	14035.2569
ACTR10	1608.0855	ACTR10	1232.4633
ACTR1A	3038.0889	ACTR1A	2934.7471
ACTR1B	1231.5403	ACTR1B	2504.4861
ACTR2	4042.4323	ACTR2	2531.4029
ACTR3B	168.727	ACTR3B	243.0669
ACTR3C	14.3669	ACTR3C	50.1631
