gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
C6orf145	327.0966	C6orf145	1996.7374
removed	removed	C6orf147	6.46
C6orf150	48.7805	C6orf150	18.3524
C6orf153	609.7561	C6orf153	769.5759
C6orf154	269.9632	C6orf154	70.9625
C6orf155	100.568	C6orf155	55.0571
removed	removed	C6orf15	81.9739
C6orf162	78.4531	C6orf162	111.4927
removed	removed	C6orf163	11.4192
C6orf164	5.0752	C6orf164	11.6721
C6orf165	7.0164	C6orf165	23.9356
C6orf167	156.3649	C6orf167	92.9853
C6orf168	144.6709	C6orf168	215.3344
C6orf170	118.9442	C6orf170	67.6998
C6orf174	16.9095	C6orf174	53.6827
removed	removed	C6orf176	6.1175
C6orf182	119.6124	C6orf182	99.1028
C6orf192	85.5329	C6orf192	433.5237
C6orf1	677.9151	C6orf1	726.7537
C6orf201	7.3572	removed	removed
C6orf203	158.0354	C6orf203	275.6933
C6orf204	18.0421	removed	removed
removed	removed	C6orf208	5.9421
C6orf211	12208.8206	C6orf211	639.478
C6orf217	6.6823	C6orf217	17.1289
C6orf218	6.3481	removed	removed
C6orf225	74.1731	C6orf225	294.4535
C6orf226	79.853	C6orf226	198.2055
C6orf26	25.6098	C6orf26	47.2553
C6orf27	36.7524	C6orf27	81.9739
C6orf35	323.4213	C6orf35	541.1909
removed	removed	C6orf41	12.6427
C6orf47	853.9926	C6orf47	1038.7439
C6orf48	1266.6221	C6orf48	2905.3834
C6orf52	60.1403	C6orf52	14.6819
C6orf57	115.9372	C6orf57	99.9184
C6orf62	3230.2172	C6orf62	3760.9013
C6orf64	1012.6963	C6orf64	666.3948
C6orf70	500.1671	C6orf70	442.0881
C6orf72	843.6351	C6orf72	652.1207
removed	removed	C6orf81	7.3409
C6orf89	3521.8844	C6orf89	2405.3834
C6orf97	1072.5025	C6orf97	232.8711
C6	14.0327	C6	21.615
C7orf10	6.3481	C7orf10	71.7781
C7orf11	436.0174	C7orf11	458.8091
C7orf13	59.138	C7orf13	141.1093
C7orf23	114.5439	C7orf23	431.407
C7orf25	243.5683	C7orf25	265.4445
C7orf26	599.7327	C7orf26	867.4551
C7orf27	2725.3592	C7orf27	1924.9592
C7orf28A	971.2663	C7orf28A	847.8793
C7orf28B	963.2476	C7orf28B	548.5318
C7orf29	122.2853	C7orf29	282.2186
C7orf30	266.288	C7orf30	534.6656
C7orf31	70.1637	C7orf31	118.6786
C7orf36	126.6288	C7orf36	202.2838
C7orf40	480.1203	C7orf40	689.6411
C7orf41	470.7651	C7orf41	1941.2724
C7orf42	2774.8079	C7orf42	3121.1256
C7orf43	397.2603	C7orf43	439.6411
C7orf44	608.4196	C7orf44	652.9364
C7orf46	165.72	C7orf46	85.2365
C7orf47	443.0337	C7orf47	431.4845
C7orf49	483.7387	C7orf49	571.3662
C7orf50	2451.0525	C7orf50	2638.2545
C7orf51	24.0561	C7orf51	68.9233
C7orf53	8.6869	C7orf53	18.7602
C7orf55	242.566	C7orf55	457.1452
C7orf58	216.8393	C7orf58	201.876
C7orf59	1244.9048	C7orf59	2502.8548
C7orf60	190.1103	C7orf60	189.2333
C7orf61	6.6823	C7orf61	30.9951
C7orf63	143.0003	C7orf63	123.9804
C7orf64	268.9609	C7orf64	257.3409
C7orf68	297.0264	C7orf68	295.677
C7orf70	569.6625	C7orf70	393.9641
C7	212.4958	C7	1252.447
removed	removed	C8G	10.1958
C8ORFK29	5.4126	removed	removed
C8orf30A	1614.4337	C8orf30A	564.4372
C8orf31	8.6869	C8orf31	7.7488
C8orf33	3212.4958	C8orf33	1384.1762
removed	removed	C8orf34	13.8662
C8orf37	137.6545	C8orf37	24.062
C8orf38	469.4287	C8orf38	205.1387
C8orf40	1049.7828	C8orf40	971.8597
C8orf41	646.9262	C8orf41	312.2308
C8orf42	803.2075	C8orf42	472.6754
C8orf44	51.6605	C8orf44	31.4927
C8orf45	206.8159	C8orf45	22.4307
C8orf46	37.4206	C8orf46	16.721
removed	removed	C8orf47	17.5367
C8orf48	93.2175	C8orf48	31.4029
C8orf4	288.6736	C8orf4	1971.4519
C8orf51	164.3836	C8orf51	34.6656
C8orf55	2651.1861	C8orf55	1227.5693
C8orf58	290.01	C8orf58	353.5889
C8orf59	637.6078	C8orf59	625.5465
C8orf73	50.7852	C8orf73	90.1305
C8orf75	9.3552	removed	removed
C8orf76	588.3729	C8orf76	323.438
C8orf77	16.3715	removed	removed
C8orf79	50.7852	C8orf79	358.8907
removed	removed	C8orf80	9.7879
C8orf83	1851.6539	C8orf83	453.9152
C8orf84	49.1146	C8orf84	631.3214
C8orf85	51.7875	C8orf85	519.9837
C8orf86	16.3715	removed	removed
C9orf100	130.862	C9orf100	60.4486
C9orf102	182.7264	C9orf102	23.6542
C9orf103	86.2011	C9orf103	169.2496
C9orf109	57.8015	C9orf109	39.1517
C9orf110	419.98	C9orf110	100.3263
C9orf114	773.3211	C9orf114	891.9372
C9orf116	263.9492	C9orf116	146.8189
C9orf117	11.3598	C9orf117	9.7879
C9orf119	479.7862	C9orf119	521.615
C9orf122	21.0491	C9orf122	34.2577
C9orf123	684.5974	C9orf123	1052.6101
C9orf125	20.0468	C9orf125	107.6672
C9orf128	7.0164	removed	removed
C9orf129	135.2322	C9orf129	32.3777
C9orf130	178.1089	C9orf130	253.2423
C9orf140	972.9369	C9orf140	236.9494
C9orf142	613.4313	C9orf142	814.4372
C9orf150	432.6762	C9orf150	333.1974
C9orf152	973.9392	C9orf152	445.3507
C9orf156	457.7347	C9orf156	451.4682
C9orf163	38.423	C9orf163	13.8662
C9orf167	139.9933	C9orf167	188.8254
C9orf169	19.3986	C9orf169	9.69
C9orf16	717.3405	C9orf16	1716.9657
removed	removed	C9orf171	6.9331
C9orf172	37.4206	C9orf172	5.3018
C9orf21	83.5282	C9orf21	203.9152
C9orf23	657.8684	C9orf23	784.6656
removed	removed	C9orf24	10.6036
C9orf25	705.9806	C9orf25	430.261
C9orf30	101.4701	C9orf30	196.4437
C9orf37	166.7224	C9orf37	272.8385
C9orf3	309.8998	C9orf3	600.3548
C9orf40	86.5352	C9orf40	119.4943
C9orf41	126.9629	C9orf41	28.5481
C9orf43	22.0515	C9orf43	7.7488
removed	removed	C9orf44	8.1566
C9orf45	410.2907	C9orf45	203.0995
C9orf46	665.553	C9orf46	586.0522
C9orf47	45.4527	C9orf47	8.9723
removed	removed	C9orf50	6.1175
C9orf5	1650.852	C9orf5	1155.3834
C9orf64	803.5416	C9orf64	343.3931
C9orf66	24.7244	C9orf66	64.4372
C9orf68	27.0631	C9orf68	75.0408
C9orf69	1163.7153	C9orf69	1240.2121
C9orf6	386.2345	C9orf6	386.6232
C9orf72	272.6362	C9orf72	181.0767
C9orf78	1738.7237	C9orf78	1802.6101
C9orf7	1628.4664	C9orf7	1392.7406
C9orf80	396.592	C9orf80	163.9478
C9orf82	476.445	C9orf82	346.248
C9orf85	117.9419	C9orf85	161.093
C9orf86	3668.8941	C9orf86	3251.6313
C9orf89	1281.6572	C9orf89	915.1713
C9orf91	1032.409	C9orf91	508.5644
C9orf93	41.7641	C9orf93	31.4029
C9orf95	220.8486	C9orf95	461.2561
C9orf96	18.0421	C9orf96	6.9331
C9orf98	146.3415	C9orf98	90.1305
C9orf9	208.1524	C9orf9	369.0865
CA11	39.0912	CA11	686.3785
CA12	4928.1657	CA12	3413.54
CA13	96.6522	CA13	125.6648
CA14	6.014	CA14	11.8271
CA2	13386.5687	CA2	492.6591
CA3	23.6285	CA3	1026.456
CA4	35.0819	CA4	207.5856
CA5BP	139.3251	CA5BP	293.23
CA5B	396.1978	CA5B	263.5889
removed	removed	CA6	77.0799
CA8	1289.3418	CA8	254.4861
CAB39L	555.6298	CAB39L	1630.0979
CAB39	1294.6876	CAB39	1363.7847
CABC1	1242.4323	CABC1	2078.075
CABIN1	1491.8142	CABIN1	2051.3866
CABLES1	551.6204	CABLES1	956.77
CABLES2	491.8142	CABLES2	195.7586
CABP1	15.0351	CABP1	35.0734
CABP4	31.1861	CABP4	46.0522
CABP7	7.4541	CABP7	7.0432
CABYR	180.0869	CABYR	155.3834
CACHD1	118.276	CACHD1	674.9592
CACNA1A	7.0164	CACNA1A	19.9837
CACNA1B	10.3575	removed	removed
CACNA1C	119.9465	CACNA1C	382.9527
CACNA1D	184.7645	CACNA1D	122.7569
CACNA1F	133.3111	CACNA1F	26.9168
CACNA1G	5.0117	CACNA1G	67.292
CACNA1H	10056.131	CACNA1H	142.7406
removed	removed	CACNA1I	33.8499
CACNA2D1	27.3973	CACNA2D1	6.1175
CACNA2D2	1717.0063	CACNA2D2	313.2137
removed	removed	CACNA2D3	11.0114
CACNA2D4	1144.3368	CACNA2D4	71.7781
CACNB1	163.3812	CACNB1	238.9886
CACNB2	32.0748	CACNB2	38.7439
CACNB3	1298.697	CACNB3	765.0897
CACNB4	18.0421	CACNB4	62.398
CACNG1	7.3505	CACNG1	33.8499
CACNG4	637.8216	CACNG4	1838.0914
CACNG6	4071.5002	removed	removed
CACYBP	1618.7771	CACYBP	1070.5546
CADM1	414.3	CADM1	486.9494
CADM2	111.2596	CADM2	13.4584
CADM3	14.4938	CADM3	875.5465
CADM4	208.8206	CADM4	1638.2545
CADPS2	532.576	CADPS2	972.6754
CAD	755.7634	CAD	1139.8858
CALB2	61.4768	CALB2	695.3507
CALCB	31.0725	removed	removed
CALCOCO1	2697.9619	CALCOCO1	2882.137
CALCOCO2	3292.3488	CALCOCO2	2041.1909
CALCRL	904.1096	CALCRL	262.2349
CALCR	6.3481	CALCR	45.2692
CALD1	2444.0361	CALD1	6562.398
CALHM2	393.585	CALHM2	1037.5204
CALM1	11867.6913	CALM1	5850.3263
CALM2	6047.444	CALM2	11803.4258
CALM3	6404.6108	CALM3	5936.3785
CALML3	49.1146	CALML3	1446.9821
CALML4	167.7247	CALML4	259.3801
CALML5	23.0538	CALML5	517.1289
CALN1	10.6916	removed	removed
CALR	13790.8453	CALR	16831.9739
CALU	2711.3264	CALU	1849.1028
CAMK1D	41.0959	CAMK1D	33.4421
CAMK1	140.0802	CAMK1	603.0343
CAMK2B	36.4183	CAMK2B	1037.5204
CAMK2D	214.1664	CAMK2D	568.1077
CAMK2G	738.0555	CAMK2G	710.8483
CAMK2N1	1283.6619	CAMK2N1	2478.7928
CAMK2N2	21.7173	CAMK2N2	22.8385
CAMKK1	102.5727	CAMKK1	377.6509
CAMKK2	2471.4333	CAMKK2	1570.9625
CAMLG	755.7634	CAMLG	1179.8532
CAMP	45.7735	CAMP	6.5253
CAMSAP1L1	799.1981	CAMSAP1L1	492.6591
CAMSAP1	1369.863	CAMSAP1	581.5661
CAMTA1	245.2389	CAMTA1	693.7194
CAMTA2	2572.3354	CAMTA2	1464.9266
CAND1	2905.7802	CAND1	1400.8972
CAND2	29.4019	CAND2	132.5449
CANT1	7596.7257	CANT1	2143.9641
CANX	16295.6899	CANX	9247.9608
CAP1	4439.6926	CAP1	6493.4747
CAP2	373.2041	CAP2	345.0245
CAPG	937.855	CAPG	7028.5481
CAPN10	381.5503	CAPN10	522.1085
CAPN11	21.0491	CAPN11	194.5351
CAPN12	89.7461	CAPN12	159.686
CAPN13	82.5259	CAPN13	284.2577
CAPN14	5.6799	CAPN14	5.7096
CAPN1	3856.6656	CAPN1	5998.3687
CAPN2	1009.3552	CAPN2	4244.2904
CAPN3	53.7922	CAPN3	125.6281
CAPN5	126.6288	CAPN5	362.5612
CAPN6	74.8413	CAPN6	338.0914
CAPN7	699.2984	CAPN7	466.9657
CAPN8	201.136	CAPN8	821.7781
CAPN9	140.6615	CAPN9	26.1011
CAPNS1	7674.2399	CAPNS1	10847.0636
CAPRIN1	8151.3532	CAPRIN1	3787.5204
CAPRIN2	336.1176	CAPRIN2	196.5742
CAPS2	76.1777	CAPS2	14.2741
CAPS	1245.9071	CAPS	1015.9054
CAPZA1	1740.0601	CAPZA1	1610.522
CAPZA2	1936.8527	CAPZA2	2044.4535
removed	removed	CAPZA3	14.6819
CAPZB	3025.7267	CAPZB	5802.6101
CARD10	296.3582	CARD10	976.3458
CARD11	38.7571	CARD11	186.3785
CARD14	293.3512	CARD14	278.1403
CARD16	20.0468	CARD16	191.6803
CARD6	79.5189	CARD6	151.7129
CARD8	294.3535	CARD8	388.6623
CARD9	11.0257	CARD9	187.1941
CARHSP1	958.8874	CARHSP1	1847.3532
CARKD	2199.4654	CARKD	1422.5122
CARM1	834.28	CARM1	1130.5057
CARNS1	8.6869	CARNS1	50.1631
CARS2	617.3204	CARS2	1151.5457
CARS	1580.3542	CARS	993.8825
CASC1	44.7711	CASC1	25.6933
CASC2	54.1263	CASC2	56.6884
CASC3	3084.1965	CASC3	2292.8222
CASC4	2152.3555	CASC4	1988.9886
CASC5	123.9559	removed	removed
CASD1	704.6442	CASD1	633.3605
CASKIN1	109.3652	CASKIN1	15.3467
CASKIN2	1869.7193	CASKIN2	1388.7561
CASK	1928.1657	CASK	981.6476
CASP10	73.839	CASP10	178.6297
CASP1	70.4978	CASP1	581.5661
CASP2	978.2827	CASP2	581.5661
CASP3	739.3919	CASP3	410.6852
CASP4	194.1196	CASP4	1044.8613
CASP6	380.5546	CASP6	442.0881
CASP7	252.2553	CASP7	576.6721
CASP8AP2	403.2743	CASP8AP2	136.2153
CASP8	234.5473	CASP8	377.2431
CASP9	233.2108	CASP9	425.367
CASQ1	45.4394	CASQ1	20.3915
CASQ2	51.4534	CASQ2	58.3197
CASS4	14.701	CASS4	15.9054
CAST	2821.4033	CAST	4137.292
CASZ1	2777.4808	CASZ1	922.1044
CATSPER2P1	22.6362	CATSPER2P1	9.0375
CATSPER2	20.3809	CATSPER2	46.4927
CATSPER3	8.4932	CATSPER3	8.9723
CATSPERB	24.0561	CATSPERB	24.062
CATSPERG	532.576	CATSPERG	50.1631
CAT	2663.2142	CAT	3766.721
CAV1	1580.02	CAV1	6227.1615
CAV2	371.8677	CAV2	2134.584
CBARA1	1250.9188	CBARA1	1061.9902
CBFA2T2	1474.4404	CBFA2T2	542.4144
CBFA2T3	823.9225	CBFA2T3	151.7129
CBFB	632.4758	CBFB	645.1876
CBLB	322.0849	CBLB	287.9282
CBLC	202.8065	CBLC	479.2007
CBLL1	641.8309	CBLL1	430.6688
CBLN1	79.853	CBLN1	21.2072
CBLN2	358.8373	removed	removed
CBLN3	113.5984	CBLN3	75.8564
CBLN4	8.3528	CBLN4	103.5889
CBL	461.41	CBL	433.1158
CBR1	513.3044	CBR1	862.6998
CBR3	158.7036	CBR3	464.9266
CBR4	497.4942	CBR4	423.7357
CBS	263.6151	CBS	320.9625
CBWD1	656.1978	CBWD1	1089.3148
CBWD2	331.1059	CBWD2	524.062
CBWD3	509.4521	CBWD3	290.3752
CBWD5	6.0842	removed	removed
CBWD6	181.0892	CBWD6	143.9641
CBX1	2063.4815	CBX1	1481.6476
CBX2	1004.0094	CBX2	53.4258
CBX3	4871.0324	CBX3	2721.044
CBX4	6344.8045	CBX4	768.7602
CBX5	2877.3806	CBX5	1838.4992
CBX6	653.5249	CBX6	399.2659
CBX7	895.7568	CBX7	2858.4829
CBX8	653.5249	CBX8	188.0098
CBY1	521.2797	CBY1	1079.3923
CC2D1A	1994.6542	CC2D1A	2166.3948
CC2D1B	597.0598	CC2D1B	765.4976
CC2D2A	115.269	CC2D2A	319.739
CCAR1	1172.4023	CCAR1	604.8124
CCBE1	5.6799	CCBE1	14.6819
CCBL1	121.283	CCBL1	139.0701
CCBL2	308.4865	CCBL2	674.894
CCBP2	55.1286	CCBP2	83.1974
CCDC101	222.8533	CCDC101	620.31
CCDC102A	89.8764	CCDC102A	418.8418
CCDC102B	98.5633	CCDC102B	64.4372
CCDC103	381.2229	CCDC103	325.0408
CCDC104	599.0645	CCDC104	1236.5416
CCDC106	2660.5413	CCDC106	565.2529
CCDC107	308.4965	CCDC107	1036.1664
removed	removed	CCDC108	5.3018
CCDC109A	294.6876	CCDC109A	308.7276
CCDC109B	177.7481	CCDC109B	254.0783
CCDC110	48.7805	CCDC110	39.1517
CCDC111	196.3515	CCDC111	192.5816
CCDC112	151.6873	CCDC112	151.7129
CCDC113	215.1687	CCDC113	267.5367
CCDC114	8.3528	CCDC114	40.783
CCDC115	790.5112	CCDC115	1305.8728
removed	removed	CCDC116	7.7488
CCDC117	948.5466	CCDC117	501.6313
CCDC11	58.4698	CCDC11	42.0065
CCDC120	521.5503	CCDC120	529.3638
CCDC121	160.3742	CCDC121	81.9739
CCDC122	112.9302	CCDC122	74.633
CCDC123	467.7581	CCDC123	573.0016
CCDC124	810.2239	CCDC124	1957.5856
CCDC125	801.2028	CCDC125	323.4095
CCDC126	350.8186	CCDC126	230.4241
CCDC127	389.2416	CCDC127	454.323
removed	removed	CCDC129	52.6101
CCDC12	751.0859	CCDC12	1068.1077
CCDC130	794.1864	CCDC130	743.4747
CCDC132	678.2492	CCDC132	401.7129
CCDC134	37.7548	CCDC134	39.5595
CCDC136	21.3832	CCDC136	97.4715
CCDC137	926.8293	CCDC137	655.7912
CCDC138	32.409	CCDC138	22.8385
CCDC13	11.0257	CCDC13	14.6819
removed	removed	CCDC141	7.7488
CCDC142	177.7715	CCDC142	161.0726
CCDC146	89.8764	CCDC146	88.0914
removed	removed	CCDC147	11.8271
CCDC148	6.3481	CCDC148	36.7047
CCDC149	591.3799	CCDC149	592.5775
CCDC14	746.7424	CCDC14	459.217
CCDC150	11.694	removed	removed
CCDC151	197.4607	CCDC151	19.9837
CCDC152	45.847	CCDC152	200.5465
removed	removed	CCDC153	18.7602
CCDC154	6.3481	CCDC154	11.4192
CCDC157	62.2553	CCDC157	113.8377
removed	removed	CCDC158	11.0114
CCDC159	131.3064	CCDC159	446.5742
CCDC15	53.124	CCDC15	48.9396
removed	removed	CCDC160	27.7325
CCDC163P	28.3996	CCDC163P	15.9054
removed	removed	CCDC17	16.3132
CCDC18	34.0795	CCDC18	14.2781
CCDC19	35.7501	CCDC19	45.2692
CCDC21	402.272	CCDC21	188.0098
CCDC22	724.1764	CCDC22	857.0147
CCDC23	200.1336	CCDC23	526.509
CCDC24	282.2653	CCDC24	513.8662
CCDC25	2791.5135	CCDC25	971.044
CCDC28A	191.7808	CCDC28A	656.6069
CCDC28B	62.4791	CCDC28B	118.2708
CCDC30	88.5399	CCDC30	53.8336
CCDC34	888.4063	CCDC34	636.2153
removed	removed	CCDC36	13.0506
CCDC39	46.4417	removed	removed
CCDC3	293.3512	CCDC3	1453.0995
CCDC40	421.3164	CCDC40	174.1436
CCDC41	200.1336	CCDC41	106.8515
CCDC42B	6.0174	CCDC42B	7.4633
CCDC43	969.2616	CCDC43	327.8956
CCDC45	567.6579	CCDC45	496.3295
CCDC46	40.4277	CCDC46	193.3116
CCDC47	2693.9526	CCDC47	1978.385
CCDC48	260.274	CCDC48	170.4731
CCDC50	979.6191	CCDC50	1417.6183
CCDC51	430.0033	CCDC51	278.1403
CCDC52	434.3468	CCDC52	201.876
CCDC53	353.1574	CCDC53	573.8173
CCDC55	1150.3508	CCDC55	588.0914
CCDC56	1533.6351	CCDC56	1595.9869
CCDC57	1066.8226	CCDC57	711.2561
CCDC58	125.6265	CCDC58	213.2953
CCDC59	456.3983	CCDC59	519.5759
CCDC61	173.7387	CCDC61	398.0424
CCDC62	7.0164	removed	removed
CCDC64B	1382.8934	CCDC64B	991.4356
CCDC64	1455.0618	CCDC64	157.8303
removed	removed	CCDC65	28.5481
CCDC66	246.0474	CCDC66	230.1346
removed	removed	CCDC68	20.7993
CCDC69	363.5149	CCDC69	1418.0261
CCDC6	1097.8951	CCDC6	1792.4144
CCDC71	769.4621	CCDC71	905.3834
CCDC72	1511.861	CCDC72	1650.0816
CCDC73	65.9606	CCDC73	45.0204
CCDC74A	150.3508	CCDC74A	818.5155
CCDC74B	62.145	CCDC74B	188.0098
CCDC75	51.1193	CCDC75	24.062
CCDC76	156.4484	CCDC76	163.0506
CCDC77	178.7504	CCDC77	166.8026
CCDC78	189.442	CCDC78	24.4698
CCDC7	41.7641	CCDC7	20.7993
CCDC80	988.6402	CCDC80	3331.9739
CCDC81	5.0117	CCDC81	7.3409
CCDC82	98.5633	CCDC82	294.4535
CCDC84	75.5095	CCDC84	163.9478
CCDC85A	51.7875	CCDC85A	54.6493
CCDC85B	646.5085	CCDC85B	745.5139
CCDC85C	2047.16	CCDC85C	794.9511
CCDC86	510.852	CCDC86	889.8573
CCDC87	108.2526	CCDC87	26.1011
CCDC88A	365.1854	CCDC88A	211.6639
CCDC88B	55.4627	CCDC88B	407.4225
CCDC88C	1603.0738	CCDC88C	759.3801
CCDC89	60.4744	CCDC89	53.0179
CCDC8	156.0307	CCDC8	2310.3589
CCDC90A	296.3582	CCDC90A	348.2871
CCDC90B	388.5667	CCDC90B	747.9608
CCDC91	982.292	CCDC91	435.9706
CCDC92	498.4965	CCDC92	1397.6346
CCDC93	780.8219	CCDC93	561.1746
CCDC94	735.7167	CCDC94	1038.7439
CCDC96	375.2088	CCDC96	213.7031
CCDC97	674.9081	CCDC97	1240.6199
CCDC99	192.7832	CCDC99	111.7455
CCDC9	515.2021	CCDC9	721.4519
CCHCR1	402.6061	CCHCR1	664.7635
CCIN	6.6823	removed	removed
CCL11	13.6986	removed	removed
removed	removed	CCL13	61.1746
CCL14	219.0778	CCL14	2203.4992
CCL17	7.0164	removed	removed
CCL18	19.0444	CCL18	134.1762
CCL19	46.7758	CCL19	132.9527
CCL21	91.2128	CCL21	2493.8825
CCL22	11.3598	CCL22	83.6052
removed	removed	CCL23	6.1175
CCL28	16.7056	CCL28	864.6003
CCL2	282.9937	CCL2	2797.3083
CCL3L1	30.1971	CCL3L1	126.4967
CCL3L3	10.8988	CCL3L3	12.5734
CCL3	172.7364	CCL3	841.7618
CCL4L2	46.7758	CCL4L2	156.6069
CCL4	90.2105	CCL4	426.1827
CCL5	184.0962	CCL5	696.9821
CCL8	32.409	CCL8	355.2202
CCM2	773.1373	CCM2	1636.6232
removed	removed	CCNA1	28.1403
CCNA2	371.9779	CCNA2	22.6998
CCNB1IP1	671.9011	CCNB1IP1	1075.0408
CCNB1	900.4343	CCNB1	193.7194
CCNB2	402.272	CCNB2	26.9168
CCNB3	37.0865	CCNB3	10.1958
CCNC	822.2519	CCNC	1040.783
CCND1	19106.4784	CCND1	3997.4103
CCND2	298.0287	CCND2	1094.6166
CCND3	1070.4978	CCND3	3834.8287
CCNDBP1	1098.8974	CCNDBP1	1412.3165
CCNE1	113.5984	CCNE1	23.2463
CCNE2	329.1981	CCNE2	8.5971
CCNF	745.4059	CCNF	196.5742
CCNG1	1619.4454	CCNG1	1831.1582
CCNG2	3822.586	CCNG2	1637.031
CCNH	463.9325	CCNH	626.1664
CCNI2	7.2536	CCNI2	13.4013
CCNI	4520.8821	CCNI	3921.2887
CCNJL	16.7056	CCNJL	211.2561
CCNJ	198.129	CCNJ	109.2985
CCNK	1468.7103	CCNK	703.0098
CCNL1	1166.3882	CCNL1	1606.0359
CCNL2	1546.9429	CCNL2	2197.3899
CCNO	38.423	CCNO	98.6949
CCNT1	231.2061	CCNT1	12.6427
CCNT2	412.2954	CCNT2	264.2741
CCNYL1	205.1453	CCNYL1	245.9217
CCNY	1329.7695	CCNY	1535.0734
CCPG1	1444.4938	CCPG1	1487.8834
CCR10	17.3739	CCR10	42.0065
CCR1	76.5119	CCR1	140.2936
CCR2	16.3715	CCR2	52.6101
CCR4	11.0257	removed	removed
CCR5	49.1146	CCR5	97.0636
CCR6	89.4487	CCR6	33.0016
CCR7	81.1894	CCR7	33.0343
CCRL1	12.3622	CCRL1	86.46
CCRL2	55.1286	CCRL2	54.6493
CCRN4L	494.153	CCRN4L	84.4209
CCS	632.1417	CCS	951.4682
CCT2	4434.6809	CCT2	2781.8108
CCT3	6895.7568	CCT3	5480.0163
CCT4	2062.145	CCT4	4468.5971
CCT5	4973.6051	CCT5	3457.1778
CCT6A	3419.6458	CCT6A	2942.4959
CCT6B	115.269	CCT6B	146.4111
CCT6P1	100.568	CCT6P1	79.9347
CCT7	4044.7711	CCT7	5904.5677
CCT8	3327.0966	CCT8	2677.814
CD101	23.3879	CD101	17.9445
CD109	183.0939	CD109	331.9739
CD14	613.0972	CD14	4198.2055
CD151	7084.8647	CD151	14480.4241
CD160	8.0187	CD160	8.5644
CD163L1	301.3699	CD163L1	121.1256
CD163	451.0525	CD163	570.1468
removed	removed	CD164L2	179.8532
CD164	7937.5209	CD164	6516.3132
CD177	14.0327	CD177	53.0179
CD180	26.729	CD180	115.416
removed	removed	CD1C	60.7667
CD1D	31.4066	CD1D	46.0848
removed	removed	CD1E	9.7879
CD200R1	12.3622	CD200R1	16.721
CD200	187.4374	CD200	633.3605
removed	removed	CD207	8.1566
CD209	35.416	CD209	151.3051
removed	removed	CD226	5.3018
CD22	901.7708	CD22	365.8238
removed	removed	CD244	18.7602
CD247	26.729	CD247	78.3034
CD248	645.8403	CD248	1713.7031
CD24	20263.281	CD24	13194.9429
CD276	2512.5292	CD276	1775.2855
CD27	22.9034	CD27	131.0767
CD28	27.0631	CD28	33.0343
CD2AP	1178.4163	CD2AP	668.0261
CD2BP2	2894.0862	CD2BP2	2671.6966
CD2	89.2082	CD2	201.4682
CD300A	64.1497	CD300A	300.1631
CD300C	9.6893	CD300C	62.8059
CD300LB	6.014	CD300LB	25.2855
CD300LF	20.715	CD300LF	40.783
CD300LG	189.1079	CD300LG	536.7047
CD302	554.9616	CD302	1055.0571
CD320	571.6672	CD320	1127.2431
CD33	26.3949	CD33	106.0359
CD34	1667.2235	CD34	2589.7227
CD36	2147.3438	CD36	5921.2887
CD37	91.2128	CD37	321.7781
removed	removed	CD38	19.168
CD3D	24.7244	CD3D	75.0408
CD3EAP	349.148	CD3EAP	567.292
CD3E	82.5259	CD3E	209.6248
CD3G	10.6916	CD3G	13.4584
CD40LG	7.6846	CD40LG	16.3132
CD40	140.9957	CD40	511.0114
CD44	1194.1196	CD44	6857.6672
CD46	7820.9155	CD46	3526.509
CD47	1218.1757	CD47	2021.615
CD48	61.4768	CD48	212.8874
CD4	417.307	CD4	1432.3002
CD52	105.9138	CD52	263.0506
CD53	212.4958	CD53	501.2235
CD55	176.7457	CD55	2270.3915
CD58	79.1848	CD58	211.2561
CD59	6017.708	CD59	21239.3964
CD5	54.4604	CD5	70.9625
CD63	13355.8303	CD63	17877.2431
CD68	901.7708	CD68	2095.0245
CD69	39.0912	CD69	182.708
CD6	72.1684	CD6	146.8189
removed	removed	CD70	6.9331
CD72	19.3785	CD72	45.2692
CD74	9390.2439	CD74	35251.6313
CD79A	11.694	CD79A	206.77
CD79B	26.729	CD79B	235.3181
CD7	18.0421	CD7	124.3883
CD81	13245.2389	CD81	26714.1109
CD82	118.9442	CD82	2181.8923
CD83	212.1617	CD83	568.5155
CD84	41.43	CD84	23.2463
CD86	57.4674	CD86	155.3834
CD8A	67.4908	CD8A	138.6623
CD8B	9.021	CD8B	46.4927
CD93	1444.0361	CD93	921.6966
CD96	40.0936	CD96	69.3312
CD97	310.0568	CD97	979.2007
CD99L2	675.9105	CD99L2	1613.3768
CD99	2407.9519	CD99	4473.491
CD9	3536.5854	CD9	8889.478
CDADC1	150.0167	CDADC1	188.0098
CDAN1	610.7584	CDAN1	419.6574
CDA	49.1146	CDA	42.0065
CDC123	888.3194	CDC123	984.5677
CDC14A	180.421	CDC14A	218.1892
CDC14B	140.3274	CDC14B	366.2316
CDC16	1708.9876	CDC16	1550.9788
CDC20	357.5008	CDC20	52.2023
CDC23	805.2122	CDC23	566.4763
CDC25A	91.2128	CDC25A	21.615
CDC25B	1108.2526	CDC25B	643.1485
CDC25C	93.8857	removed	removed
CDC26	138.3228	CDC26	168.7847
CDC27	1645.5062	CDC27	719.0049
CDC34	425.994	CDC34	1331.5661
