gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
ACO2	1938.3081	ACO2	2265.9462
ACOT11	36.7797	ACOT11	28.1018
ACOT13	750.1226	ACOT13	548.1279
ACOT1	1052.7176	ACOT1	561.9787
ACOT2	807.1107	ACOT2	454.0509
ACOT4	559.0519	ACOT4	218.1765
ACOT6	8.1733	removed	removed
ACOT7	543.5227	ACOT7	184.5217
ACOT8	365.6477	ACOT8	191.0408
ACOT9	471.5979	ACOT9	391.9634
ACOX1	1238.2509	ACOX1	1839.4517
ACOX2	141.3976	ACOX2	241.0967
ACOX3	391.0911	ACOX3	710.8145
ACP1	1170.0041	ACP1	1277.4353
ACP2	1189.2113	ACP2	1015.7395
ACP5	1214.1398	ACP5	651.0481
ACP6	118.9211	ACP6	295.0606
ACPL2	342.0515	ACPL2	761.0067
ACPP	28.1978	ACPP	48.1613
ACRBP	15.5292	ACRBP	18.8583
ACRC	11.8512	ACRC	24.951
removed	removed	ACR	5.2223
ACSBG1	5.3126	ACSBG1	10.7348
ACSF2	629.7507	ACSF2	1132.403
ACSF3	281.1606	ACSF3	324.9438
ACSL1	3800.1635	ACSL1	1442.2282
ACSL3	3123.0078	ACSL3	3861.8989
ACSL4	963.6289	ACSL4	990.4983
removed	removed	ACSL5	711.1047
removed	removed	ACSL6	12.7656
ACSM1	10.6253	ACSM1	70.5012
ACSM3	36.0033	ACSM3	303.2596
ACSM5	35.9624	ACSM5	47.5811
ACSS1	651.4099	ACSS1	870.6753
ACSS2	1224.3564	ACSS2	1414.3759
ACSS3	627.2987	ACSS3	447.9582
ACTA1	26.5631	removed	removed
ACTA2	18240.6171	ACTA2	14669.7469
ACTB	97733.96	ACTB	40298.5421
ACTC1	62.1169	removed	removed
ACTG1	76385.3698	ACTG1	39998.2592
ACTG2	646.5059	ACTG2	1987.3794
ACTL6A	1953.821	ACTL6A	932.1825
ACTN1	8254.1888	ACTN1	5995.7931
removed	removed	ACTN2	7.5433
ACTN4	9718.0752	ACTN4	8043.1421
ACTR10	1124.2338	ACTR10	1050.5549
ACTR1A	3739.6812	ACTR1A	2075.8686
ACTR1B	1319.1663	ACTR1B	1276.5649
ACTR2	7714.7528	ACTR2	5773.8449
ACTR3B	119.3298	ACTR3B	215.2753
ACTR3C	24.1112	ACTR3C	35.3957
ACTR3	4384.9612	ACTR3	2859.5053
ACTR5	254.5975	ACTR5	206.8615
ACTR6	798.5288	ACTR6	679.1905
ACTR8	477.7278	ACTR8	568.9418
ACVR1B	1092.358	ACVR1B	1346.4858
ACVR1C	132.407	ACVR1C	39.4575
ACVR1	1221.087	ACVR1	1066.8021
ACVR2A	495.3004	ACVR2A	819.0324
ACVR2B	448.304	ACVR2B	818.162
ACVRL1	978.7495	ACVRL1	598.2447
ACY1	556.0727	ACY1	553.8899
removed	removed	ACY3	13.9262
ACYP1	69.4728	ACYP1	61.5072
ACYP2	111.1565	ACYP2	144.4839
removed	removed	ADAD2	5.2223
ADAL	161.0135	ADAL	178.1388
ADAM10	1215.3658	ADAM10	2227.0255
ADAM11	15.1206	ADAM11	17.988
ADAM12	4949.7344	ADAM12	2151.0118
ADAM15	2751.5325	ADAM15	2215.3913
ADAM17	651.8186	ADAM17	893.8855
ADAM19	964.0376	ADAM19	164.5028
ADAM21	5.3126	ADAM21	6.673
ADAM22	46.179	ADAM22	98.9338
ADAM23	81.3241	ADAM23	45.8403
ADAM28	140.5803	ADAM28	142.453
ADAM29	25.3371	ADAM29	84.7175
ADAM32	11.8512	ADAM32	19.7287
ADAM33	123.7066	ADAM33	524.6304
ADAM6	18837.1884	ADAM6	39328.7532
ADAM8	186.7593	ADAM8	59.7664
ADAM9	1577.0331	ADAM9	2740.2626
ADAMDEC1	31.0584	ADAMDEC1	8.1236
ADAMTS10	186.3506	ADAMTS10	124.4651
ADAMTS12	778.5043	ADAMTS12	220.7877
ADAMTS13	41.275	ADAMTS13	78.3347
ADAMTS14	241.1116	ADAMTS14	22.9201
ADAMTS15	66.2035	ADAMTS15	562.2688
ADAMTS16	270.1267	ADAMTS16	111.1192
ADAMTS17	42.0924	ADAMTS17	56.575
ADAMTS18	28.1978	ADAMTS18	46.7107
ADAMTS19	29.0151	ADAMTS19	14.7965
ADAMTS1	1297.0985	ADAMTS1	1368.5356
ADAMTS2	1395.9951	ADAMTS2	536.1572
ADAMTS3	31.4671	ADAMTS3	66.7295
ADAMTS4	774.009	ADAMTS4	68.1802
ADAMTS5	438.0875	ADAMTS5	1692.609
ADAMTS6	116.8778	ADAMTS6	19.7287
ADAMTS7	478.1365	ADAMTS7	73.1124
ADAMTS8	22.4765	ADAMTS8	544.571
ADAMTS9	457.2946	ADAMTS9	687.6043
ADAMTSL1	192.8893	ADAMTSL1	266.9181
ADAMTSL2	372.7013	ADAMTSL2	20.0189
ADAMTSL3	131.5897	ADAMTSL3	165.6633
ADAMTSL4	176.5427	ADAMTSL4	271.27
ADAMTSL5	166.7348	ADAMTSL5	91.3904
ADAP1	205.5374	ADAP1	100.8747
ADAP2	346.5468	ADAP2	147.6753
ADARB1	512.8729	ADARB1	708.7836
removed	removed	ADARB2	6.9631
ADAR	8194.5239	ADAR	7498.0779
ADAT1	351.8594	ADAT1	387.6115
ADAT2	58.4389	ADAT2	154.6384
ADAT3	58.8476	ADAT3	48.1613
ADA	163.0568	ADA	45.8403
ADCK1	177.7687	ADCK1	132.0084
ADCK2	758.8884	ADCK2	751.1424
ADCK4	425.4189	ADCK4	423.8776
ADCK5	205.9665	ADCK5	80.6557
ADCY1	4717.2047	ADCY1	3798.0706
ADCY2	27.7891	ADCY2	121.5638
ADCY3	801.0217	ADCY3	1195.0823
ADCY4	303.6371	ADCY4	280.264
ADCY5	84.5934	ADCY5	220.2074
ADCY6	2251.7368	ADCY6	2444.9119
ADCY7	577.8504	ADCY7	366.7223
removed	removed	ADCY8	8.1236
ADCY9	1480.5885	ADCY9	1060.9995
removed	removed	ADCYAP1R1	18.8583
ADCYAP1	14.7119	ADCYAP1	12.7656
ADC	261.5447	ADC	123.8848
ADD1	5873.3143	ADD1	6046.5656
ADD2	46.9963	ADD2	37.7167
ADD3	1798.9375	ADD3	6476.2457
ADH1A	9.3993	ADH1A	10.4446
ADH1B	1885.5742	ADH1B	1112.0621
ADH1C	55.5783	ADH1C	144.1938
ADH5	2744.1765	ADH5	2934.9387
removed	removed	ADH7	16.2472
ADHFE1	65.3862	ADHFE1	173.7869
ADI1	1557.8259	ADI1	1638.355
ADIPOQ	3459.7466	ADIPOQ	813.2299
ADIPOR1	3604.0049	ADIPOR1	2290.5636
ADIPOR2	1591.3363	ADIPOR2	2819.1775
ADK	323.253	ADK	378.9077
ADM2	49.0396	ADM2	212.0838
ADM	145.8929	ADM	158.7002
ADNP2	550.0613	ADNP2	765.6488
ADNP	3263.1794	ADNP	3459.781
ADORA1	1060.8909	ADORA1	293.9001
ADORA2A	125.0511	ADORA2A	74.1655
ADORA2B	21.6592	ADORA2B	52.2231
ADORA3	294.2378	ADORA3	74.8531
ADO	644.8713	ADO	805.6865
ADPGK	945.3739	ADPGK	909.5322
ADPRHL1	47.8136	ADPRHL1	83.2668
ADPRHL2	742.5419	ADPRHL2	500.4715
ADPRH	328.5656	ADPRH	327.5549
ADRA1A	7.7646	ADRA1A	5.2223
ADRA1B	26.1545	ADRA1B	8.4137
ADRA1D	13.0772	ADRA1D	7.2532
ADRA2A	390.6825	ADRA2A	1252.1941
ADRA2B	16.7552	ADRA2B	30.1734
ADRA2C	59.2562	ADRA2C	43.2291
ADRB1	7.7646	ADRB1	30.7536
ADRB2	52.3089	ADRB2	94.5819
ADRBK1	2007.7646	ADRBK1	1724.8132
ADRBK2	487.5358	ADRBK2	1140.2045
ADRM1	2123.8251	ADRM1	757.5252
ADSL	655.4965	ADSL	824.835
ADSSL1	155.2922	ADSSL1	126.2058
ADSS	1718.8394	ADSS	1428.302
AEBP1	39602.7789	AEBP1	3928.3383
AEBP2	385.3698	AEBP2	818.162
AEN	431.9575	AEN	413.4329
AES	7227.217	AES	5502.2848
AFAP1L1	506.3343	AFAP1L1	315.3696
AFAP1L2	619.1255	AFAP1L2	1414.3759
AFAP1	1565.1819	AFAP1	1696.9232
AFF1	1769.105	AFF1	3272.9383
AFF2	34.7364	AFF2	41.1982
AFF3	4092.7667	AFF3	3432.5089
AFF4	2945.2391	AFF4	4539.3487
AFG3L1	273.396	AFG3L1	248.0598
AFG3L2	1286.7634	AFG3L2	1284.8016
AFMID	305.2718	AFMID	533.8362
AFP	6.13	AFP	44.6798
AFTPH	1602.3702	AFTPH	2172.7715
AG2	353.9027	AG2	58.0257
AGAP11	40.5149	AGAP11	159.5938
AGAP1	278.7086	AGAP1	499.3109
AGAP2	73.7434	AGAP2	122.9419
AGAP3	1237.4336	AGAP3	1216.2182
AGAP4	99.7139	AGAP4	206.8615
AGAP5	16.7552	AGAP5	80.0667
AGAP6	76.4201	AGAP6	122.7243
AGAP7	7.3559	AGAP7	16.5373
AGAP8	17.9812	AGAP8	31.624
AGA	559.4606	AGA	655.6901
AGBL2	36.7797	AGBL2	19.7287
AGBL3	13.0772	AGBL3	5.5124
AGBL4	10.6253	AGBL4	9.2841
AGBL5	434.009	AGBL5	843.4757
AGER	49.4483	AGER	31.3339
AGFG1	1519.0029	AGFG1	1551.3165
AGFG2	320.801	AGFG2	458.693
AGGF1	849.6118	AGGF1	1016.0296
AGK	512.0556	AGK	541.9598
AGL	1138.1283	AGL	1262.0585
AGMAT	15.1206	AGMAT	18.5682
AGPAT1	3268.5206	AGPAT1	1560.5977
AGPAT2	1443.8087	AGPAT2	521.0706
AGPAT3	1540.2534	AGPAT3	2040.4729
AGPAT4	252.9628	AGPAT4	257.0537
AGPAT5	574.5811	AGPAT5	720.0986
AGPAT6	2040.8664	AGPAT6	2073.8377
AGPAT9	54.3523	AGPAT9	91.3904
AGPHD1	47.405	AGPHD1	58.8961
AGPS	1280.3433	AGPS	1445.4196
AGR2	9996.322	AGR2	9903.5323
AGR3	1944.0131	AGR3	1200.5512
AGRN	6217.0004	AGRN	5305.8678
AGTPBP1	239.8856	AGTPBP1	365.2716
AGTR1	857.785	AGTR1	156.9595
removed	removed	AGTR2	27.5622
AGTRAP	1590.1103	AGTRAP	1023.8631
AGT	354.7201	AGT	223.689
AGXT2L2	292.17	AGXT2L2	441.0677
AGXT	8.5819	removed	removed
AHCTF1	1447.0781	AHCTF1	1541.162
AHCYL1	3622.8034	AHCYL1	5819.6852
AHCYL2	469.1459	AHCYL2	774.6428
AHCY	3492.4397	AHCY	3422.3544
AHDC1	870.045	AHDC1	1234.2061
AHI1	221.4957	AHI1	465.9462
AHNAK2	1073.9681	AHNAK2	841.3723
AHNAK	34615.0388	AHNAK	99915.2825
AHRR	85.8194	AHRR	32.2043
AHR	1616.2648	AHR	2279.2486
AHSA1	2109.1132	AHSA1	1349.097
AHSA2	241.9289	AHSA2	746.2102
AIDA	1413.5758	AIDA	930.1951
AIF1L	1290.9685	AIF1L	1265.54
AIF1	414.385	AIF1	286.0666
AIFM1	2142.215	AIFM1	756.6548
AIFM2	621.9861	AIFM2	340.6107
AIFM3	8.2264	AIFM3	15.3884
AIG1	598.6923	AIG1	993.6897
AIM1L	6.9473	removed	removed
AIM1	1674.7037	AIM1	2931.7473
AIM2	11.0339	AIM2	14.2163
AIMP1	1142.877	AIMP1	1070.7478
AIMP2	412.6236	AIMP2	202.9071
AIP	993.4614	AIP	729.963
AJAP1	21.6592	AJAP1	24.0807
AK1	868.819	AK1	330.1661
AK2	2042.501	AK2	1851.3092
AK3L1	107.0699	AK3L1	481.6131
AK3	1002.452	AK3	1958.6567
AK5	174.9081	AK5	1563.2117
AK7	27.3805	AK7	56.2849
AKAP10	450.3474	AKAP10	639.443
AKAP11	1395.1778	AKAP11	2543.8457
AKAP12	2213.7311	AKAP12	1947.3417
AKAP13	3464.6506	AKAP13	4489.7367
AKAP1	1062.9342	AKAP1	2591.1366
AKAP2	752.6359	AKAP2	910.1124
AKAP3	5.7213	AKAP3	48.4514
AKAP5	221.4957	AKAP5	152.0273
AKAP6	48.631	AKAP6	181.3302
AKAP7	76.0114	AKAP7	177.5586
AKAP8L	509.6036	AKAP8L	718.3579
AKAP8	538.6187	AKAP8	671.3571
AKAP9	2498.5697	AKAP9	4402.1179
AKD1	136.085	AKD1	213.5345
AKIRIN1	1371.0666	AKIRIN1	1018.3506
AKIRIN2	638.3327	AKIRIN2	662.3631
AKNA	767.0617	AKNA	761.587
AKR1A1	2359.2154	AKR1A1	1859.4328
removed	removed	AKR1B10	103.2857
AKR1B1	893.7474	AKR1B1	618.2636
AKR1C1	780.9563	AKR1C1	471.4586
AKR1C2	485.9011	AKR1C2	166.5337
AKR1C3	522.6808	AKR1C3	393.4141
removed	removed	AKR1D1	8.7039
AKR1E2	22.0678	AKR1E2	18.8583
AKR7A2	2068.2468	AKR7A2	1028.7952
AKR7A3	1456.0687	AKR7A3	192.3551
AKR7L	72.7421	AKR7L	29.5931
AKT1S1	879.8529	AKT1S1	729.963
AKT1	4651.0012	AKT1	3279.6112
AKT2	1724.152	AKT2	2210.7783
AKT3	841.0298	AKT3	973.6708
AKTIP	589.4606	AKTIP	668.1337
ALAD	1883.1222	ALAD	1449.7715
ALAS1	993.0527	ALAS1	682.382
ALB	34.7364	ALB	346.7034
ALCAM	2182.6727	ALCAM	6825.2702
ALDH16A1	845.9338	ALDH16A1	452.6003
ALDH18A1	2046.179	ALDH18A1	2260.3902
ALDH1A1	538.6187	ALDH1A1	1248.4224
ALDH1A2	124.6424	ALDH1A2	300.2829
ALDH1A3	475.423	ALDH1A3	1243.6933
ALDH1B1	1163.4655	ALDH1B1	400.6673
ALDH1L1	83.7761	ALDH1L1	55.4145
ALDH1L2	580.3024	ALDH1L2	361.5
ALDH2	3361.2587	ALDH2	2454.196
removed	removed	ALDH3A1	118.0823
ALDH3A2	1667.7564	ALDH3A2	2445.202
ALDH3B1	222.7217	ALDH3B1	125.6256
ALDH3B2	2800.5721	ALDH3B2	1876.2602
ALDH4A1	1540.2534	ALDH4A1	705.3021
ALDH5A1	598.2836	ALDH5A1	697.1785
ALDH6A1	400.9522	ALDH6A1	942.9085
ALDH7A1	1469.9632	ALDH7A1	2931.4572
ALDH8A1	20.8418	ALDH8A1	32.4944
ALDH9A1	2163.4655	ALDH9A1	3443.5338
ALDOA	25517.3682	ALDOA	16930.4417
ALDOC	436.4528	ALDOC	492.638
ALG10B	471.5979	ALG10B	445.9273
ALG10	161.8308	ALG10	162.4719
ALG11	15.1206	ALG11	12.7656
ALG12	382.9179	ALG12	519.0397
ALG13	383.3265	ALG13	584.8988
ALG14	198.6105	ALG14	168.5646
ALG1L	30.7152	removed	removed
ALG1	916.4978	ALG1	489.4756
ALG2	1049.0396	ALG2	1094.3643
ALG3	988.1488	ALG3	447.9582
ALG5	727.4213	ALG5	646.9863
ALG6	410.2983	ALG6	311.3078
ALG8	1020.0245	ALG8	859.6504
ALG9	402.9424	ALG9	687.024
ALKBH1	317.5317	ALKBH1	255.0228
ALKBH2	285.6559	ALKBH2	289.5481
ALKBH3	235.7989	ALKBH3	315.9498
ALKBH4	279.7058	ALKBH4	264.8031
ALKBH5	2153.6575	ALKBH5	2130.4939
ALKBH6	106.2526	ALKBH6	60.3467
ALKBH7	658.3572	ALKBH7	536.4474
ALKBH8	194.9326	ALKBH8	380.3583
removed	removed	ALK	23.5004
ALMS1	1145.8929	ALMS1	967.5782
ALOX12P2	24.1112	ALOX12P2	46.1304
ALOX12	5.7213	ALOX12	9.0114
ALOX15B	1641.602	ALOX15B	2804.0908
ALOX15	70.2902	ALOX15	92.8411
ALOX5AP	420.9236	ALOX5AP	222.5285
ALOX5	273.396	ALOX5	253.8623
ALOXE3	33.1018	ALOXE3	6.9631
ALPK1	571.3118	ALPK1	908.1018
ALPK2	57.2129	ALPK2	30.1734
ALPK3	258.2754	ALPK3	143.0333
ALPL	230.895	ALPL	838.7612
ALS2CL	90.7233	ALS2CL	221.368
removed	removed	ALS2CR11	10.7348
ALS2CR4	609.3175	ALS2CR4	1288.17
ALS2CR8	102.1659	ALS2CR8	311.5979
ALS2	579.8937	ALS2	735.7656
ALX3	23.7025	ALX3	40.3278
removed	removed	ALX4	107.9278
AMACR	577.8504	AMACR	453.7608
AMBP	55.9869	AMBP	42.939
AMBRA1	969.7589	AMBRA1	1141.3651
AMD1	1160.0654	AMD1	2347.8262
AMDHD1	64.5689	AMDHD1	20.0189
AMDHD2	465.0674	AMDHD2	133.99
AMFR	5422.1496	AMFR	4945.2383
removed	removed	AMH	17.6978
AMICA1	70.6988	AMICA1	129.6874
AMIGO1	73.1508	AMIGO1	200.1886
AMIGO2	647.7319	AMIGO2	1286.4263
AMIGO3	80.5067	AMIGO3	96.0325
AMMECR1L	850.4291	AMMECR1L	895.6263
AMMECR1	412.7503	AMMECR1	416.3342
AMN1	188.394	AMN1	254.7327
AMOTL1	1588.8843	AMOTL1	2746.0651
AMOTL2	1725.378	AMOTL2	1796.1848
AMOT	629.3421	AMOT	1387.1038
AMPD1	5.3126	AMPD1	93.1312
AMPD2	541.4794	AMPD2	596.504
AMPD3	165.1001	AMPD3	213.5345
AMPH	1225.5823	AMPH	105.6067
AMT	49.15	AMT	131.2048
removed	removed	AMY1A	12.7656
AMY2B	185.4597	AMY2B	235.532
AMZ1	75.1941	AMZ1	43.2291
AMZ2P1	125.4597	AMZ2P1	186.2624
AMZ2	1294.6465	AMZ2	1057.8081
ANAPC10	123.8251	ANAPC10	105.8969
ANAPC11	1027.7891	ANAPC11	519.6199
ANAPC13	1416.8982	ANAPC13	1204.7552
ANAPC16	1755.2105	ANAPC16	2376.4416
ANAPC1	461.7899	ANAPC1	751.4325
ANAPC2	844.7078	ANAPC2	651.3382
ANAPC4	381.6919	ANAPC4	598.2447
ANAPC5	2668.1651	ANAPC5	2310.5824
ANAPC7	1055.5783	ANAPC7	949.0099
ANGEL1	241.1116	ANGEL1	631.0292
ANGEL2	780.9563	ANGEL2	839.6315
ANGPT1	157.3355	ANGPT1	157.2496
ANGPT2	466.6939	ANGPT2	320.5919
removed	removed	ANGPT4	6.0927
ANGPTL1	187.9853	ANGPTL1	444.1866
ANGPTL2	4840.2125	ANGPTL2	2321.0271
removed	removed	ANGPTL3	20.309
ANGPTL4	443.4001	ANGPTL4	175.2375
ANGPTL5	5.3126	removed	removed
removed	removed	ANGPTL7	83.557
ANG	205.0347	ANG	431.1134
ANK1	22.0678	ANK1	14.7965
ANK2	395.5864	ANK2	893.0152
ANK3	517.3682	ANK3	1434.6848
ANKAR	16.7552	ANKAR	59.7664
ANKDD1A	69.8815	ANKDD1A	106.4771
ANKFN1	6.9473	ANKFN1	38.5871
ANKFY1	1948.0997	ANKFY1	2523.5367
ANKHD1-EIF4EBP3	1137.5807	ANKHD1-EIF4EBP3	1218.5392
ANKHD1	1710.2493	ANKHD1	3131.1351
ANKH	2930.5272	ANKH	2212.519
ANKIB1	1363.302	ANKIB1	1700.1523
ANKK1	5.7213	ANKK1	45.5502
ANKLE1	6.3547	ANKLE1	7.2532
ANKLE2	1456.0687	ANKLE2	1598.0271
ANKMY1	143.8496	ANKMY1	179.2993
ANKMY2	380.8745	ANKMY2	686.7339
ANKRA2	348.9988	ANKRA2	381.5188
