gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
removed	removed	CHRFAM7A	24.5333
CHRM1	21.6592	CHRM1	129.1071
CHRM3	8.5819	CHRM3	22.0498
CHRM4	11.0339	removed	removed
CHRNA10	16.3465	CHRNA10	11.315
CHRNA1	62.5255	CHRNA1	5.5124
removed	removed	CHRNA2	33.0746
removed	removed	CHRNA3	5.8026
CHRNA5	38.4144	CHRNA5	40.618
CHRNA6	11.0339	removed	removed
removed	removed	CHRNA7	8.5733
CHRNB1	193.2979	CHRNB1	211.5036
removed	removed	CHRNB2	47.5811
CHRNE	14.8754	CHRNE	21.9018
CHST10	397.6298	CHST10	271.8503
CHST11	197.7932	CHST11	56.8652
CHST12	342.8688	CHST12	232.3928
CHST13	18.3899	CHST13	5.2223
CHST14	795.2595	CHST14	609.8499
CHST15	2032.2844	CHST15	1320.0841
CHST1	345.7295	CHST1	90.5201
CHST2	117.6951	CHST2	251.5413
CHST3	577.0331	CHST3	1279.4662
removed	removed	CHST4	50.1922
removed	removed	CHST5	7.613
CHST6	65.3862	removed	removed
CHST7	91.132	CHST7	77.4643
CHST8	388.2305	CHST8	358.8888
CHST9	20.8418	CHST9	291.2889
CHSY1	2063.3429	CHSY1	1746.2827
CHSY3	225.5823	CHSY3	57.4454
CHTF18	303.2284	CHTF18	144.7741
CHTF8	2353.9027	CHTF8	2744.9917
CHUK	637.5153	CHUK	599.1151
CHURC1	1625.5456	CHURC1	1811.0336
CIAO1	1602.7789	CIAO1	1964.7494
CIAPIN1	1161.4221	CIAPIN1	747.951
CIB1	2151.2056	CIB1	1549.8658
CIB2	63.7515	CIB2	84.1372
CIB3	5.7213	removed	removed
CIC	1337.1475	CIC	1635.4537
CIDEA	69.4728	CIDEA	16.2472
CIDEB	424.8345	CIDEB	459.6301
CIDECP	123.4164	CIDECP	94.5267
CIDEC	950.5517	CIDEC	158.4652
CIITA	113.1998	CIITA	156.0891
CILP2	303.6371	CILP2	45.5502
CILP	11319.575	CILP	1663.8863
CINP	433.5922	CINP	333.3575
CIR1	1187.5766	CIR1	1041.851
CIRBP	4197.3846	CIRBP	6997.8966
CIRH1A	792.3989	CIRH1A	781.3157
CISD1	325.2963	CISD1	207.1517
CISD2	737.2293	CISD2	490.6013
CISD3	917.3355	CISD3	550.6114
CISH	1036.7797	CISH	521.3607
CITED1	111.5652	CITED1	1998.4043
CITED2	1270.5353	CITED2	2717.3424
CITED4	290.1512	CITED4	539.9289
CIT	411.1157	CIT	208.8924
CIZ1	1854.1071	CIZ1	1583.2306
CKAP2L	134.4503	CKAP2L	23.7905
CKAP2	730.6906	CKAP2	455.2114
CKAP4	3070.2902	CKAP4	2264.1619
CKAP5	2792.3989	CKAP5	2472.4741
CKB	1119.3298	CKB	233.8435
CKLF	516.9595	CKLF	207.4418
CKMT1A	276.6653	CKMT1A	82.9767
CKMT1B	338.7822	CKMT1B	105.8969
CKMT2	48.631	CKMT2	41.1982
CKS1B	799.7548	CKS1B	430.5505
CKS2	704.5362	CKS2	176.9783
CLASP1	1202.6972	CLASP1	1802.5676
CLASP2	1360.85	CLASP2	1895.6988
CLCA2	188.8026	CLCA2	96.3226
removed	removed	CLCA4	77.7544
CLCC1	734.2828	CLCC1	1067.3968
CLCF1	49.0396	CLCF1	60.927
CLCN1	11.8512	removed	removed
CLCN2	71.5161	CLCN2	68.1802
CLCN3	1322.4356	CLCN3	2220.6426
CLCN4	69.0642	CLCN4	176.9783
CLCN5	143.0323	CLCN5	115.4711
CLCN6	322.8443	CLCN6	593.8928
CLCN7	2858.1937	CLCN7	1195.3289
CLCNKA	9.3993	removed	removed
removed	removed	CLCNKB	9.2841
CLDN10	9.9591	CLDN10	15.6292
CLDN11	257.4581	CLDN11	954.5224
CLDN12	981.2015	CLDN12	1601.5087
CLDN14	15.1206	removed	removed
CLDN15	79.2808	CLDN15	110.2488
removed	removed	CLDN19	257.9241
CLDN1	329.7916	CLDN1	230.0718
CLDN23	200.6539	CLDN23	95.1621
CLDN2	5.0797	removed	removed
CLDN3	1827.5439	CLDN3	677.1596
CLDN4	2916.6326	CLDN4	2481.1779
CLDN5	716.7961	CLDN5	616.8129
CLDN7	3128.3204	CLDN7	1271.6327
CLDN8	61.7082	CLDN8	746.2102
CLDN9	17.5725	removed	removed
CLDND1	1163.8741	CLDND1	1255.3855
CLEC10A	116.0605	CLEC10A	162.762
CLEC11A	628.5247	CLEC11A	266.9181
removed	removed	CLEC12A	6.0927
CLEC14A	941.1524	CLEC14A	584.6087
CLEC16A	764.6097	CLEC16A	692.2463
CLEC18A	7.7646	removed	removed
CLEC1A	71.5161	CLEC1A	84.4274
CLEC2B	317.9403	CLEC2B	173.4968
CLEC2D	335.1042	CLEC2D	564.5898
removed	removed	CLEC3A	920.8675
CLEC3B	648.1406	CLEC3B	569.522
CLEC4A	30.2411	CLEC4A	36.5562
removed	removed	CLEC4F	41.4884
CLEC4G	5.3126	CLEC4G	10.7348
CLEC5A	87.0454	CLEC5A	5.2223
CLEC7A	96.036	CLEC7A	84.1372
removed	removed	CLEC9A	11.6051
CLECL1	13.8946	CLECL1	12.1854
CLGN	149.9796	CLGN	259.6649
CLIC1	9235.7989	CLIC1	3979.4009
CLIC2	406.6204	CLIC2	389.9325
CLIC3	118.1038	CLIC3	26.9819
CLIC4	7031.4671	CLIC4	5127.1488
CLIC5	149.1622	CLIC5	274.7516
CLIC6	6700.8582	CLIC6	3228.5486
CLINT1	1427.8709	CLINT1	2244.4332
CLIP1	2218.6351	CLIP1	2070.3561
CLIP2	616.2648	CLIP2	415.754
CLIP3	587.6584	CLIP3	759.2631
CLIP4	198.2019	CLIP4	633.9305
CLK1	1266.04	CLK1	3465.8736
CLK2P	13.4859	CLK2P	11.8953
CLK2	651.4099	CLK2	648.1468
CLK3	643.6453	CLK3	703.5613
CLK4	284.0213	CLK4	867.1937
CLMN	1209.2358	CLMN	3201.2766
CLN3	1054.7609	CLN3	1107.42
CLN5	575.8071	CLN5	963.8065
CLN6	820.188	CLN6	562.5589
CLN8	456.4773	CLN8	465.6561
CLNS1A	1197.7932	CLNS1A	1444.8393
CLOCK	295.8725	CLOCK	638.5726
CLP1	313.0364	CLP1	308.6966
CLPB	237.4336	CLPB	197.8676
CLPP	596.649	CLPP	449.4089
CLPTM1L	1664.8958	CLPTM1L	1683.0347
CLPTM1	2467.9199	CLPTM1	2428.0844
CLPX	672.2517	CLPX	909.2623
CLSPN	124.2338	CLSPN	17.988
CLSTN1	4913.772	CLSTN1	5964.7349
CLSTN2	1718.0221	CLSTN2	315.3696
CLSTN3	885.1655	CLSTN3	1184.8843
CLTA	2303.6371	CLTA	2039.8927
CLTB	1120.9644	CLTB	650.1777
CLTCL1	42.501	CLTCL1	37.1364
CLTC	12868.4103	CLTC	11337.927
CLUAP1	539.1418	CLUAP1	540.1581
CLUL1	26.5631	CLUL1	119.823
CLU	22978.7495	CLU	13910.4954
CLVS1	6.9636	CLVS1	6.0028
CLYBL	56.8043	CLYBL	129.9775
CMA1	9.8079	CMA1	24.6609
CMAH	181.038	CMAH	528.6139
CMAS	538.2101	CMAS	723.5802
CMBL	1552.9219	CMBL	1206.3538
CMC1	141.8063	CMC1	118.6625
CMIP	970.9849	CMIP	1112.6423
CMKLR1	470.7805	CMKLR1	231.8126
CMPK1	2755.2105	CMPK1	3907.7392
CMPK2	375.1532	CMPK2	67.5999
CMTM1	206.3752	CMTM1	153.1878
CMTM3	2747.8545	CMTM3	951.331
CMTM4	1296.6898	CMTM4	2815.6959
removed	removed	CMTM5	16.8274
CMTM6	4747.0372	CMTM6	3826.5032
CMTM7	720.474	CMTM7	745.3398
CMTM8	213.3224	CMTM8	149.4161
CMYA5	506.743	CMYA5	2408.6458
removed	removed	CN5H6.4	15.3768
CNBP	6012.2599	CNBP	8286.0666
CNDP2	2225.5823	CNDP2	4423.8776
CNFN	54.7609	CNFN	44.6798
CNGA1	7.3559	CNGA1	34.8154
removed	removed	CNGA3	6.9631
CNGA4	10.2166	CNGA4	27.5622
CNGB3	9.3993	removed	removed
CNIH2	38.0057	CNIH2	6.9631
CNIH3	287.2906	CNIH3	61.7973
CNIH4	1036.7797	CNIH4	637.4121
CNIH	1407.029	CNIH	1019.5111
CNKSR1	612.1782	CNKSR1	458.4028
removed	removed	CNKSR2	10.7348
CNKSR3	205.5578	CNKSR3	217.8864
CNN1	778.913	CNN1	1468.6299
CNN2	4523.0895	CNN2	2824.1097
CNN3	5374.3359	CNN3	5268.4413
CNNM1	5.3126	CNNM1	26.6918
CNNM2	221.9044	CNNM2	187.1328
CNNM3	1029.0151	CNNM3	1167.4766
CNNM4	1020.4332	CNNM4	864.0023
CNOT10	627.7074	CNOT10	633.0601
CNOT1	3741.4875	CNOT1	5904.0458
CNOT2	1938.2918	CNOT2	1636.9043
CNOT3	1080.5067	CNOT3	862.5517
CNOT4	484.2664	CNOT4	686.4438
CNOT6L	1099.7139	CNOT6L	1911.6559
CNOT6	1129.1377	CNOT6	1458.1852
CNOT7	1568.0425	CNOT7	1920.0696
CNOT8	1814.4667	CNOT8	1813.3024
CNO	294.6465	CNO	239.646
CNPY2	1946.4651	CNPY2	1163.4148
CNPY3	1501.0217	CNPY3	1226.3727
CNPY4	643.2366	CNPY4	392.007
CNP	2146.3629	CNP	2021.5362
CNR1	29.0151	CNR1	42.6489
CNRIP1	360.0327	CNRIP1	269.5293
CNST	745.4025	CNST	785.0874
CNTD1	43.3878	CNTD1	87.4621
CNTD2	29.4238	CNTD2	78.6248
CNTFR	66.6122	CNTFR	137.2307
CNTF	14.4953	CNTF	7.7551
CNTLN	213.3224	CNTLN	243.4177
CNTN1	69.8815	CNTN1	798.4333
removed	removed	CNTN2	31.3339
CNTN3	37.1884	CNTN3	123.5947
CNTN4	201.8799	CNTN4	192.6452
removed	removed	CNTN6	6.673
CNTNAP1	145.8929	CNTNAP1	93.4213
CNTNAP2	53.9436	CNTNAP2	281.4245
CNTNAP3	13.8946	CNTNAP3	290.1284
CNTROB	899.8774	CNTROB	935.9542
COASY	1727.83	COASY	1503.1551
COBLL1	559.8692	COBLL1	933.6331
COBL	528.4021	COBL	1755.5668
COBRA1	1827.9526	COBRA1	1238.5581
COCH	13.6616	COCH	20.7471
COG1	878.2346	COG1	921.9003
COG2	1031.4671	COG2	870.9654
COG3	646.9146	COG3	1130.9204
COG4	1220.6784	COG4	1097.2655
COG5	874.4626	COG5	1120.4584
COG6	512.4642	COG6	778.7046
COG7	712.7094	COG7	713.7158
COG8	498.8721	COG8	446.6352
COIL	579.8937	COIL	523.9719
COL10A1	7287.6992	COL10A1	12.1854
COL11A1	6577.4418	COL11A1	101.5449
removed	removed	COL11A2	20.8892
COL12A1	16794.4422	COL12A1	3286.8644
COL13A1	55.9869	COL13A1	24.6609
COL14A1	3048.2223	COL14A1	10578.6611
COL15A1	4040.8664	COL15A1	3888.0104
COL16A1	2720.8827	COL16A1	1955.1752
COL17A1	248.4675	COL17A1	5404.2214
COL18A1	11269.3094	COL18A1	3422.9346
COL1A1	276683.2857	COL1A1	70966.2726
COL1A2	231617.0821	COL1A2	58950.6056
COL21A1	74.7855	COL21A1	354.827
COL22A1	156.5182	COL22A1	8.7039
COL23A1	9.8079	COL23A1	42.3587
COL24A1	53.5349	COL24A1	17.6978
COL25A1	19.6159	COL25A1	46.4205
COL27A1	142.6236	COL27A1	469.1376
removed	removed	COL28A1	35.9759
COL2A1	22.4765	COL2A1	124.7552
COL3A1	225599.8284	COL3A1	114843.2581
COL4A1	17514.5076	COL4A1	4745.3398
COL4A2	14734.7773	COL4A2	6841.8075
COL4A3BP	935.8398	COL4A3BP	1425.981
removed	removed	COL4A3	36.8463
COL4A4	40.4577	COL4A4	133.7492
COL4A5	906.416	COL4A5	1717.8501
COL4A6	53.1263	COL4A6	456.0818
COL5A1	22984.8794	COL5A1	6111.2642
COL5A2	25043.727	COL5A2	6316.0949
COL5A3	2093.9926	COL5A3	494.6689
COL6A1	27751.1238	COL6A1	9179.9521
COL6A2	39348.5901	COL6A2	13156.4517
COL6A3	61041.275	COL6A3	17660.6949
removed	removed	COL6A4P2	5.8026
COL6A6	24.1112	COL6A6	516.7186
COL7A1	287.2906	COL7A1	695.7279
COL8A1	1197.7932	COL8A1	66.1493
COL8A2	3080.9154	COL8A2	791.1801
COL9A2	171.2301	COL9A2	555.3057
COL9A3	24.5198	COL9A3	80.9458
COLEC11	6.9473	removed	removed
COLEC12	655.4965	COLEC12	792.9209
COLQ	49.857	COLQ	32.4944
COMMD10	384.1438	COMMD10	417.4947
COMMD1	239.4769	COMMD1	301.4434
COMMD2	821.0053	COMMD2	956.2631
COMMD3	1437.6624	COMMD3	652.11
COMMD4	834.0826	COMMD4	588.0902
COMMD5	642.8933	COMMD5	372.0635
COMMD6	952.1864	COMMD6	1497.0625
COMMD7	2133.633	COMMD7	961.4855
COMMD8	208.0098	COMMD8	207.1517
COMMD9	778.0956	COMMD9	612.7511
COMP	4964.0376	COMP	29.303
COMTD1	104.2092	COMTD1	51.3527
COMT	1235.3903	COMT	1466.599
COPA	6270.1267	COPA	6616.2443
COPB1	4025.3453	COPB1	4253.697
COPB2	5143.8496	COPB2	4702.9811
COPE	2271.7613	COPE	1350.4142
COPG2	709.4401	COPG2	680.9313
COPG	5000.8173	COPG	4358.8888
COPS2	1463.8333	COPS2	2015.2317
COPS3	1023.7025	COPS3	934.2134
COPS4	986.1054	COPS4	950.4606
COPS5	1143.8496	COPS5	990.7884
COPS6	2033.9191	COPS6	1359.5416
COPS7A	1205.1492	COPS7A	1197.3598
COPS7B	572.5378	COPS7B	608.9795
COPS8	1501.4181	COPS8	1025.8272
COPZ1	5640.7846	COPZ1	3864.2199
COPZ2	579.0764	COPZ2	212.6641
COQ10A	111.9738	COQ10A	106.187
COQ10B	791.9902	COQ10B	513.2371
COQ2	136.4937	COQ2	97.7733
COQ3	88.2714	COQ3	111.4093
COQ4	829.5872	COQ4	716.6171
COQ5	818.962	COQ5	597.9546
COQ6	417.7237	COQ6	376.7114
COQ7	565.1819	COQ7	494.959
COQ9	874.1316	COQ9	585.1889
CORIN	182.264	CORIN	862.2616
CORO1A	562.7299	CORO1A	423.8776
CORO1B	1996.7307	CORO1B	1678.9729
CORO1C	2998.3653	CORO1C	1699.2819
CORO2A	1295.8725	CORO2A	919.4168
CORO2B	129.955	CORO2B	218.1765
CORO6	171.6387	CORO6	17.4077
CORO7	739.5832	CORO7	322.2833
CORT	8.4512	removed	removed
COTL1	2058.8476	COTL1	825.9955
COX10	317.5317	COX10	271.8503
COX11	653.253	COX11	695.8932
COX15	1271.4385	COX15	1271.8126
COX16	722.926	COX16	711.975
COX17	620.3515	COX17	339.1601
COX18	332.2436	COX18	417.7849
COX19	206.3956	COX19	269.0389
COX4I1	4146.7103	COX4I1	3581.925
COX4I2	70.6988	COX4I2	35.1055
COX4NB	525.9501	COX4NB	398.9265
COX5A	1391.4998	COX5A	862.8418
COX5B	2045.3617	COX5B	1311.3803
COX6A1	2875.3576	COX6A1	1096.6853
COX6B1	2643.2366	COX6B1	1595.416
COX6B2	5.7213	COX6B2	13.3459
COX6C	15729.8733	COX6C	1661.5652
COX7A1	232.121	COX7A1	189.4538
COX7A2L	1758.8884	COX7A2L	1777.9067
COX7A2	1027.7891	COX7A2	957.7138
COX7B	1366.5713	COX7B	875.8976
COX7C	2844.2991	COX7C	2363.9661
COX8A	1862.689	COX8A	1061.8699
CP110	703.7188	CP110	813.2299
removed	removed	CPA1	6.3828
CPA3	1087.0454	CPA3	291.8692
CPA4	5.3126	CPA4	17.988
CPA6	158.1528	CPA6	6.673
CPAMD8	118.5125	CPAMD8	665.2644
CPB1	3816.9187	CPB1	1642.997
CPD	3293.4205	CPD	5285.849
CPEB1	8.5819	CPEB1	30.1734
CPEB2	847.5685	CPEB2	790.0196
CPEB3	178.586	CPEB3	351.3455
CPEB4	716.7961	CPEB4	1384.7828
CPE	2941.1524	CPE	6857.4744
CPLX1	74.3768	CPLX1	129.1071
CPM	733.1426	CPM	259.0846
CPN2	24.9285	removed	removed
CPNE1	2941.7695	CPNE1	1910.4664
CPNE2	740.4986	CPNE2	517.0088
CPNE3	2940.7438	CPNE3	3558.7147
CPNE5	84.5934	CPNE5	81.8162
CPNE7	46.9963	CPNE7	21.1794
CPNE8	175.3167	CPNE8	166.2436
CPOX	315.0797	CPOX	390.5128
CPPED1	777.2783	CPPED1	374.2656
CPS1	102.1659	CPS1	413.7231
CPSF1	1415.2023	CPSF1	1176.1805
CPSF2	1408.6637	CPSF2	1257.1263
CPSF3L	1282.7953	CPSF3L	1246.6817
CPSF3	881.8962	CPSF3	743.3089
CPSF4	337.5562	CPSF4	402.1179
CPSF6	1895.3821	CPSF6	1882.6431
CPSF7	1552.1046	CPSF7	1951.9838
CPT1A	1142.215	CPT1A	1505.7663
CPT1B	144.2051	CPT1B	364.1285
CPT1C	61.2996	CPT1C	40.3278
CPT2	814.4667	CPT2	626.3872
CPVL	273.8047	CPVL	290.1284
CPXM1	1221.4957	CPXM1	1453.2531
CPXM2	1220.6784	CPXM2	1104.2286
CPZ	379.6485	CPZ	510.0457
CP	21.7654	CP	15229.1231
CR1	13.8946	CR1	50.1922
removed	removed	CR2	20.5991
CRABP1	17.9812	CRABP1	587.51
CRABP2	10357.9894	CRABP2	2280.6992
CRADD	174.0907	CRADD	153.4779
CRAMP1L	792.8198	CRAMP1L	1315.8628
CRAT	2626.0727	CRAT	564.5898
CRB1	8.1733	removed	removed
CRB2	8.5819	CRB2	31.624
CRB3	259.5014	CRB3	209.1826
CRBN	679.1091	CRBN	973.1892
CRCP	928.4839	CRCP	922.3181
CREB1	1291.3772	CREB1	1725.1034
CREB3L1	1647.7319	CREB3L1	417.2046
CREB3L2	2037.1884	CREB3L2	4140.4221
CREB3L4	2158.5615	CREB3L4	1919.7795
CREB3	988.9661	CREB3	1245.115
CREB5	108.2959	CREB5	286.937
CREBBP	2520.2289	CREBBP	3856.0963
CREBL2	1268.0834	CREBL2	2611.7357
CREBZF	846.3425	CREBZF	1809.8208
CREG1	2322.027	CREG1	2653.5142
CRELD1	579.4851	CRELD1	557.9169
CRELD2	405.3944	CRELD2	478.7118
CREM	391.9085	CREM	284.0357
CRHBP	11.0339	CRHBP	6.0927
CRHR1	8.1488	CRHR1	37.8937
CRIM1	2247.2415	CRIM1	7673.0253
CRIP1	5943.6044	CRIP1	461.5943
CRIP2	4869.2276	CRIP2	1347.3562
CRIPAK	174.9081	CRIPAK	261.9859
CRIPT	414.7936	CRIPT	411.402
removed	removed	CRISP2	73.4025
CRISP3	18.3899	CRISP3	4697.7588
CRISPLD1	127.0944	CRISPLD1	2357.2931
CRISPLD2	2366.1626	CRISPLD2	1078.6973
CRKL	1581.1197	CRKL	2440.5599
CRK	1166.7348	CRK	1264.6696
CRLF1	144.2583	CRLF1	143.9037
CRLF3	299.5505	CRLF3	330.1661
CRLS1	491.6224	CRLS1	640.8936
CRMP1	244.4422	CRMP1	317.4875
CRNKL1	1362.8933	CRNKL1	1418.7278
CROCCL1	182.501	CROCCL1	301.4115
CROCCL2	53.5349	CROCCL2	118.6625
CROCC	522.2722	CROCC	480.7427
CROT	423.3756	CROT	1054.0364
CRTAC1	24.9285	CRTAC1	68.1802
CRTAM	14.3032	CRTAM	20.8892
CRTAP	5487.5358	CRTAP	3955.0301
CRTC1	393.9518	CRTC1	450.8595
CRTC2	843.4818	CRTC2	735.1853
CRTC3	1043.727	CRTC3	1352.8686
CRY1	421.7409	CRY1	446.5076
CRY2	1250.9195	CRY2	1789.2217
CRYAB	1451.982	CRYAB	2388.627
CRYBB1	9.8079	removed	removed
CRYBG3	378.2754	CRYBG3	657.2017
CRYGS	15.5292	CRYGS	18.8583
CRYL1	489.9877	CRYL1	564.0096
CRYM	13.4859	CRYM	33.0746
CRYZL1	380.1839	CRYZL1	388.1483
CRYZ	1868.6718	CRYZ	1386.4336
CSAD	437.2701	CSAD	524.8422
CSDAP1	18.7985	CSDAP1	61.5072
CSDA	1429.9142	CSDA	3072.4596
CSDC2	75.1941	CSDC2	20.8892
CSDE1	12373.9273	CSDE1	18560.383
CSE1L	3389.4565	CSE1L	2059.3313
CSF1R	818.5533	CSF1R	991.0786
CSF1	473.2325	CSF1	799.3037
CSF2RA	109.5219	CSF2RA	85.878
CSF2RB	270.5353	CSF2RB	248.64
CSF3R	256.2321	CSF3R	373.1051
CSGALNACT1	409.8897	CSGALNACT1	760.4265
CSGALNACT2	805.0674	CSGALNACT2	574.4542
CSK	1296.2812	CSK	920.2872
CSMD1	12.2599	CSMD1	118.9526
CSMD2	19.2072	removed	removed
removed	removed	CSN3	7.8335
CSNK1A1	6236.6163	CSNK1A1	5967.0704
CSNK1D	3128.3204	CSNK1D	2972.9455
CSNK1E	1197.1434	CSNK1E	1788.6879
CSNK1G1	896.1994	CSNK1G1	936.5344
CSNK1G2	932.1618	CSNK1G2	966.9979
CSNK1G3	972.6195	CSNK1G3	933.6331
CSNK2A1P	498.9783	CSNK2A1P	544.571
CSNK2A1	1672.6604	CSNK2A1	1269.0215
CSNK2A2	487.9444	CSNK2A2	618.5537
CSNK2B	3286.13	CSNK2B	1772.432
CSPG4	994.6874	CSPG4	401.2476
CSPG5	25.3371	CSPG5	16.5373
CSPP1	211.5284	CSPP1	438.0648
CSRNP1	715.5701	CSRNP1	777.5441
CSRNP2	1477.3192	CSRNP2	915.355
removed	removed	CSRNP3	106.187
CSRP1	10327.7483	CSRP1	13401.03
CSRP2BP	439.3134	CSRP2BP	768.5501
CSRP2	446.2607	CSRP2	314.209
CST1	601.9616	removed	removed
CST2	89.4973	CST2	6.9631
CST3	7478.9538	CST3	6146.3698
CST4	25.3371	removed	removed
CST5	29.0151	CST5	7.5433
CST6	21.2505	CST6	6.673
CST7	63.7515	CST7	55.9948
CST9L	8.1733	CST9L	5.5124
CST9	52.7176	CST9	116.9217
CSTA	255.0061	CSTA	164.5028
CSTB	2125.0511	CSTB	1317.7631
CSTF1	886.8002	CSTF1	623.776
CSTF2T	1211.6878	CSTF2T	1188.0757
CSTF2	497.3437	CSTF2	316.5301
CSTF3	723.584	CSTF3	577.605
CS	3990.6007	CS	3216.6534
CT62	86.228	CT62	125.0453
removed	removed	CTAGE1	5.8026
CTAGE4	47.8136	CTAGE4	109.3784
CTAGE5	850.4495	CTAGE5	1342.9985
CTAGE6	8.9906	CTAGE6	21.1794
CTAGE9	136.085	CTAGE9	268.949
CTBP1	2277.3273	CTBP1	2000.7282
CTBP2	1856.9677	CTBP2	2204.6856
CTBS	508.3367	CTBS	729.9195
CTCFL	14.2542	CTCFL	14.3846
CTCF	2155.2922	CTCF	1926.1623
CTDP1	454.8427	CTDP1	448.2483
CTDSP1	3847.1598	CTDSP1	3091.608
CTDSP2	5936.6571	CTDSP2	8603.1769
CTDSPL2	666.9391	CTDSPL2	983.2451
CTDSPL	1226.3997	CTDSPL	2329.4408
CTF1	57.2129	CTF1	187.4229
CTGF	11561.9125	CTGF	3362.5879
CTHRC1	4498.161	CTHRC1	197.5774
CTH	78.4634	CTH	81.2359
CTLA4	11.4426	CTLA4	9.8644
CTNNA1	9280.3433	CTNNA1	9033.7274
CTNNAL1	254.5975	CTNNAL1	548.3426
CTNNB1	12268.0629	CTNNB1	14735.2143
CTNNBIP1	987.7401	CTNNBIP1	1353.1588
CTNNBL1	1147.9362	CTNNBL1	821.3534
CTNND1	8140.5803	CTNND1	11400.8849
CTNND2	289.7425	CTNND2	285.7765
CTNS	478.0384	CTNS	323.1711
CTPS2	818.5533	CTPS2	902.8795
CTPS	354.3114	CTPS	230.0718
CTR9	2410.707	CTR9	2196.8521
removed	removed	CTRL	6.3828
CTSA	4699.5709	CTSA	1182.2732
CTSB	28882.3049	CTSB	11354.1742
CTSC	1413.5676	CTSC	1084.2098
CTSD	19999.1827	CTSD	7688.4021
CTSF	1521.0462	CTSF	1891.3469
CTSG	59.2562	CTSG	82.9767
CTSH	1314.2624	CTSH	1607.0211
CTSK	9255.0061	CTSK	2950.3155
CTSL1	1829.9959	CTSL1	926.0898
CTSL2	36.3711	CTSL2	37.7167
CTSO	1087.8627	CTSO	1782.8389
CTSS	1209.6445	CTSS	963.2262
CTSW	46.5877	CTSW	68.4703
CTSZ	5350.2248	CTSZ	3245.6662
CTTNBP2NL	942.7871	CTTNBP2NL	869.2246
CTTNBP2	154.4749	CTTNBP2	156.6693
CTTN	4019.2072	CTTN	3601.3636
CTU1	50.2656	CTU1	50.4823
CTU2	171.9493	CTU2	112.3058
CTXN1	460.564	CTXN1	90.8102
CUBN	43.3183	CUBN	57.1553
CUEDC1	459.338	CUEDC1	400.087
CUEDC2	869.6363	CUEDC2	694.5673
CUL1	1001.6347	CUL1	1414.5412
CUL2	777.687	CUL2	795.8222
CUL3	2015.9379	CUL3	2535.1418
CUL4A	1474.0499	CUL4A	2358.4536
CUL4B	1482.2231	CUL4B	2595.1984
CUL5	630.9767	CUL5	1411.4746
CUL7	1452.7054	CUL7	1548.6676
CUL9	610.9522	CUL9	955.1026
CUTA	2637.5153	CUTA	1804.3084
CUTC	242.6767	CUTC	239.8433
CUX1	1404.1684	CUX1	1176.4706
removed	removed	CUX2	115.181
CUZD1	5.4434	CUZD1	28.3223
CWC15	601.1443	CWC15	722.9999
CWC22	613.4042	CWC22	767.3896
CWC25	424.1929	CWC25	509.7556
CWC27	435.6355	CWC27	431.1308
CWF19L1	536.9841	CWF19L1	446.2175
CWF19L2	564.3645	CWF19L2	565.4602
CWH43	35.1451	removed	removed
CX3CL1	755.2105	CX3CL1	3418.5827
CX3CR1	114.8345	CX3CR1	615.0722
CXADRP3	6.5386	CXADRP3	7.8335
CXADR	249.6935	CXADR	445.6372
CXCL10	231.3036	CXCL10	79.7853
CXCL11	99.7139	CXCL11	20.5991
CXCL12	4129.1377	CXCL12	6862.6967
CXCL13	37.1884	CXCL13	1111.772
CXCL14	1163.8741	CXCL14	4358.5987
CXCL16	902.738	CXCL16	1110.0312
CXCL17	76.8288	CXCL17	84.1372
removed	removed	CXCL1	54.5441
CXCL2	24.1112	CXCL2	247.4795
removed	removed	CXCL3	20.8892
removed	removed	CXCL5	17.4077
removed	removed	CXCL6	25.2412
CXCL9	546.792	CXCL9	217.8864
CXCR1	49.4483	removed	removed
CXCR2	11.0339	CXCR2	13.3459
CXCR3	46.9963	CXCR3	37.4266
CXCR4	1356.7634	CXCR4	825.4152
CXCR5	5.7213	CXCR5	21.4927
CXCR6	41.275	CXCR6	70.2111
CXCR7	824.2746	CXCR7	474.0698
CXXC1	417.2456	CXXC1	756.3647
CXXC4	12.6686	CXXC4	29.0128
CXXC5	1471.1892	CXXC5	519.0397
CXorf21	42.9097	CXorf21	25.5313
CXorf23	225.5823	CXorf23	342.0614
CXorf26	732.3253	CXorf26	465.6561
CXorf36	807.5194	CXorf36	1028.5051
CXorf38	179.812	CXorf38	249.2203
CXorf40A	1134.859	CXorf40A	612.1709
CXorf40B	1094.81	CXorf40B	610.14
CXorf42	16.7552	CXorf42	29.8832
removed	removed	CXorf50B	6.673
CXorf56	229.669	CXorf56	220.7877
CXorf57	14.7119	CXorf57	42.0686
CYB561D1	366.98	CYB561D1	619.4241
CYB561D2	615.0388	CYB561D2	314.9257
CYB561	2536.5754	CYB561	3090.7377
CYB5A	1047.8136	CYB5A	1696.0905
CYB5B	1525.5415	CYB5B	1380.721
CYB5D1	997.9567	CYB5D1	1022.7025
CYB5D2	347.7728	CYB5D2	682.382
CYB5R1	1903.1467	CYB5R1	1344.4549
CYB5R2	174.4994	CYB5R2	228.6212
CYB5R3	4610.9522	CYB5R3	2923.3336
CYB5R4	208.4185	CYB5R4	247.7696
