gene_id	TCGA-BH-A208-01A-11R-A157-07	gene_id	TCGA-BH-A208-11A-51R-A157-07
removed	removed	?|100133144	5.9342
removed	removed	?|100134869	6.8413
?|10357	153.0319	?|10357	92.5812
?|10431	765.6607	?|10431	650.5945
?|155060	47.064	?|155060	307.2518
?|390284	6.1009	?|390284	6.3878
?|57714	442.314	?|57714	683.8109
removed	removed	?|645851	14.6919
?|653553	455.3873	?|653553	57.8093
removed	removed	?|728603	6.3878
?|729884	117.2241	?|729884	15.3307
?|8225	203.9438	?|8225	355.7989
removed	removed	?|90288	14.3725
A1BG	85.9614	A1BG	70.6807
A2LD1	64.7216	A2LD1	87.7201
A2ML1	2151.4326	A2ML1	9.5817
A2M	45900.8345	A2M	21036.7672
A4GALT	288.4846	A4GALT	153.6259
AAAS	532.0841	AAAS	618.6556
AACS	1403.203	AACS	1254.2389
AADAC	71.0317	AADAC	7.6653
AADAT	80.183	AADAT	127.436
AAGAB	917.3113	AAGAB	921.1166
AAK1	1203.1812	AAK1	889.1778
AAMP	1730.4717	AAMP	2049.8358
AARS2	405.2511	AARS2	434.0331
AARSD1	453.6442	AARSD1	564.3596
AARS	2416.821	AARS	2537.2227
AASDHPPT	1201.4381	AASDHPPT	884.0675
AASDH	255.3655	AASDH	534.3371
AASS	339.9063	AASS	747.3692
AATF	842.7933	AATF	1134.1488
AATK	18.3026	AATK	54.3184
ABAT	264.9526	ABAT	686.6854
ABCA10	43.142	ABCA10	362.1866
ABCA11P	134.3458	ABCA11P	148.8766
ABCA12	59.2657	ABCA12	29.7031
removed	removed	ABCA13	151.3902
ABCA17P	13.0733	ABCA17P	10.5398
ABCA1	1428.892	ABCA1	1269.2278
ABCA2	637.1064	ABCA2	1161.9356
ABCA3	485.4559	ABCA3	1456.7312
ABCA4	19.1742	ABCA4	138.6146
ABCA5	165.5954	ABCA5	1171.8366
ABCA6	380.4336	ABCA6	586.7168
ABCA7	138.5772	ABCA7	237.9445
ABCA8	338.1632	ABCA8	972.2188
ABCA9	257.9802	ABCA9	749.605
ABCB10	243.1637	ABCB10	388.0571
ABCB1	161.2376	ABCB1	509.7441
ABCB4	91.949	ABCB4	10.8592
ABCB5	26.5824	ABCB5	289.366
ABCB6	393.1844	ABCB6	438.38
ABCB7	402.6582	ABCB7	659.5374
ABCB8	534.6988	ABCB8	229.9598
ABCB9	79.0849	ABCB9	117.0495
ABCC10	674.5833	ABCC10	388.0571
ABCC11	210.9162	ABCC11	108.2727
ABCC1	1199.2592	ABCC1	1236.0337
ABCC2	6.9724	ABCC2	18.5245
ABCC3	413.9885	ABCC3	443.3113
ABCC4	416.6031	ABCC4	88.1512
ABCC5	565.2032	ABCC5	984.0362
ABCC6P2	6.1009	ABCC6P2	20.4409
ABCC6	11.766	ABCC6	61.642
removed	removed	ABCC8	127.7554
ABCC9	1088.136	ABCC9	373.3652
ABCD1	304.1726	ABCD1	146.9187
ABCD2	11.766	ABCD2	111.4666
ABCD3	1121.255	ABCD3	1876.0884
ABCD4	517.7035	ABCD4	606.8383
ABCE1	1344.373	ABCE1	2363.4754
ABCF1	1890.8378	ABCF1	1428.9444
ABCF2	1257.2176	ABCF2	1090.0732
ABCF3	832.3347	ABCF3	786.654
ABCG1	830.5916	ABCG1	444.5889
ABCG2	162.5449	ABCG2	220.6975
ABCG4	7.844	removed	removed
ABHD10	387.8418	ABHD10	682.5334
ABHD11	751.2801	ABHD11	672.3129
ABHD12	2858.2634	ABHD12	680.617
ABHD13	576.9692	ABHD13	665.6058
ABHD14A	144.6781	ABHD14A	177.58
ABHD14B	1096.4157	ABHD14B	2575.5494
ABHD15	236.1913	ABHD15	374.3234
removed	removed	ABHD1	28.4256
ABHD2	3840.0697	ABHD2	3913.4681
ABHD3	319.8606	ABHD3	203.1311
ABHD4	2195.8819	ABHD4	681.8946
ABHD5	792.2432	ABHD5	973.8157
ABHD6	151.6505	ABHD6	126.4779
ABHD8	165.1596	ABHD8	158.7361
ABI1	1607.1467	ABI1	1859.1608
ABI2	1435.0147	ABI2	2424.1592
ABI3BP	1117.333	ABI3BP	1167.3652
ABI3	230.0904	ABI3	70.5849
ABL1	2716.2	ABL1	3176.958
ABL2	1563.1332	ABL2	1190.3612
ABLIM1	6250.7898	ABLIM1	5970.3304
ABLIM2	17.4311	ABLIM2	44.395
ABLIM3	159.9303	ABLIM3	841.5889
removed	removed	ABO	23.3154
ABR	1554.8535	ABR	1819.2373
ABT1	748.6654	ABT1	583.5229
ABTB1	240.9849	ABTB1	521.5615
ABTB2	139.4487	ABTB2	170.2341
ACAA1	1167.8832	ACAA1	1006.3934
ACAA2	1697.7884	ACAA2	1713.839
