gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
CLCC1	1338.8745	CLCC1	945.7178
CLCF1	566.7904	CLCF1	80.5601
removed	removed	CLCN1	8.8232
CLCN2	185.2195	CLCN2	65.2153
CLCN3	2687.384	CLCN3	1590.1026
CLCN4	45.1453	CLCN4	198.7149
CLCN5	256.6481	CLCN5	243.5984
CLCN6	247.0625	CLCN6	753.045
CLCN7	2256.6481	CLCN7	1599.3095
CLCNKA	8.658	CLCNKA	22.2499
removed	removed	CLCNKB	13.0431
removed	removed	CLDN10	53.3078
CLDN11	16.0792	CLDN11	619.5454
CLDN12	479.9011	CLDN12	786.8035
CLDN14	6.4935	removed	removed
CLDN15	95.8565	CLDN15	209.0726
removed	removed	CLDN18	5.3707
removed	removed	CLDN19	100.5083
CLDN1	405.0711	CLDN1	505.9941
CLDN23	141.0019	CLDN23	151.1461
removed	removed	CLDN2	16.7373
CLDN3	1690.7854	CLDN3	665.5797
CLDN4	3996.5986	CLDN4	3590.678
CLDN5	52.2573	CLDN5	1559.0294
CLDN7	1752.6283	CLDN7	671.7177
CLDN8	58.7508	CLDN8	657.1401
CLDN9	6.4935	removed	removed
CLDND1	1077.9221	CLDND1	1094.4663
removed	removed	CLDND2	10.7413
removed	removed	CLEC10A	199.4821
CLEC11A	506.4935	CLEC11A	112.7841
removed	removed	CLEC12A	5.3707
CLEC14A	176.2523	CLEC14A	975.1606
CLEC16A	464.4403	CLEC16A	829.0016
CLEC18A	10.0216	CLEC18A	8.8232
CLEC1A	13.6054	CLEC1A	160.3529
CLEC2B	244.2795	CLEC2B	257.7923
CLEC2D	350.0309	CLEC2D	214.8269
removed	removed	CLEC2L	8.4396
CLEC3B	92.1459	CLEC3B	3085.4512
CLEC4A	60.6061	CLEC4A	34.1421
removed	removed	CLEC4E	14.5775
removed	removed	CLEC4F	16.8793
removed	removed	CLEC4GP1	14.9612
removed	removed	CLEC4G	47.1852
CLEC5A	144.094	CLEC5A	9.9741
CLEC7A	348.4848	CLEC7A	113.5514
CLGN	179.3445	CLGN	24.9353
CLIC1	5437.2294	CLIC1	5837.1535
CLIC2	150.8967	CLIC2	579.2654
CLIC3	19.4805	CLIC3	16.112
CLIC4	5190.167	CLIC4	7217.7999
CLIC5	34.3228	CLIC5	487.1967
CLIC6	55.0402	CLIC6	430.421
CLINT1	1942.4861	CLINT1	2039.321
CLIP1	2033.3952	CLIP1	3215.4982
CLIP2	836.7347	CLIP2	675.5539
CLIP3	236.24	CLIP3	720.8209
CLIP4	134.8176	CLIP4	1056.488
CLK1	1080.3958	CLK1	1846.744
CLK2P	15.1515	CLK2P	12.2758
CLK2	1089.0538	CLK2	599.9808
CLK3	604.2053	CLK3	669.4159
CLK4	169.7588	CLK4	477.9898
CLMN	1053.4941	CLMN	1681.7877
CLN3	1424.765	CLN3	845.8003
CLN5	547.9283	CLN5	811.3551
CLN6	1137.6005	CLN6	715.0667
CLN8	816.0173	CLN8	546.2741
CLNS1A	2650.5875	CLNS1A	1063.0095
CLOCK	641.9295	CLOCK	573.1275
CLP1	312.3067	CLP1	274.2879
CLPB	491.6512	CLPB	326.4602
CLPP	1220.7792	CLPP	543.9724
CLPTM1L	2374.7681	CLPTM1L	2028.9633
CLPTM1	1692.6407	CLPTM1	2619.7372
CLPX	721.3976	CLPX	709.696
CLRN3	11.7502	removed	removed
CLSPN	156.1534	CLSPN	15.3448
CLSTN1	6154.2981	CLSTN1	4512.5156
CLSTN2	538.0334	CLSTN2	1984.4634
CLSTN3	2533.7044	CLSTN3	1309.2932
CLTA	1598.021	CLTA	1883.9551
CLTB	1272.7273	CLTB	1340.3664
CLTCL1	80.3958	CLTCL1	120.0729
CLTC	50497.8355	CLTC	10880.9821
CLUAP1	437.5387	CLUAP1	431.1883
CLUL1	20.0989	CLUL1	32.224
CLU	23669.1404	CLU	26707.2025
removed	removed	CLVS1	7.9409
CLYBL	49.1651	CLYBL	88.6161
removed	removed	CMA1	84.7799
CMAH	90.2907	CMAH	200.2494
CMAS	802.1027	CMAS	520.9552
CMBL	2015.7699	CMBL	571.9766
CMC1	277.3655	CMC1	99.7411
CMIP	987.6314	CMIP	1484.2237
CMKLR1	491.0328	CMKLR1	914.1651
CMPK1	2400.4329	CMPK1	4074.4222
CMPK2	657.6994	CMPK2	106.6462
CMTM1	162.9561	CMTM1	120.8401
CMTM3	2195.4236	CMTM3	1215.3064
CMTM4	1661.41	CMTM4	1358.7801
removed	removed	CMTM5	5.7543
CMTM6	2582.8695	CMTM6	2287.9064
CMTM7	416.2028	CMTM7	1004.3157
CMTM8	106.679	CMTM8	133.1159
CMYA5	1538.3426	CMYA5	1028.4837
CN5H6.4	9.8949	CN5H6.4	6.9052
CNBP	4197.2789	CNBP	6118.3466
CNDP2	2628.6333	CNDP2	3226.6232
CNFN	103.8961	CNFN	30.6896
removed	removed	CNGA1	92.8359
removed	removed	CNGA3	5.7543
CNGA4	6.8027	removed	removed
removed	removed	CNGB1	9.5905
CNIH2	59.06	removed	removed
CNIH3	63.389	CNIH3	36.4438
CNIH4	1705.9369	CNIH4	711.9977
CNIH	1849.7217	CNIH	997.0269
CNKSR1	559.3692	CNKSR1	297.3051
removed	removed	CNKSR2	65.9825
CNKSR3	36.7965	CNKSR3	320.3222
CNN1	217.9963	CNN1	3784.0222
CNN2	2227.8912	CNN2	3528.1481
CNN3	2508.9672	CNN3	5963.3643
CNNM1	71.1194	CNNM1	34.1421
CNNM2	186.4564	CNNM2	117.3876
CNNM3	1050.402	CNNM3	682.8426
CNNM4	3794.6815	CNNM4	718.9028
CNOT10	754.7928	CNOT10	443.0805
CNOT1	5128.2004	CNOT1	4537.0634
CNOT2	1145.6401	CNOT2	1215.69
CNOT3	1416.2028	CNOT3	828.618
CNOT4	635.7452	CNOT4	527.4767
CNOT6L	1259.1218	CNOT6L	1225.2805
CNOT6	835.1886	CNOT6	810.2043
CNOT7	1529.3754	CNOT7	1319.2673
CNOT8	2208.4106	CNOT8	1583.5811
CNO	711.5028	CNO	213.2924
CNPY2	1854.3599	CNPY2	1008.1519
CNPY3	1101.1132	CNPY3	985.1347
CNPY4	392.0841	CNPY4	323.3912
CNP	1803.9054	CNP	2340.048
removed	removed	CNR1	186.8227
CNRIP1	158.6271	CNRIP1	568.524
CNST	1087.5077	CNST	614.5584
CNTD1	6.6759	CNTD1	17.6772
CNTD2	604.5145	CNTD2	8.056
removed	removed	CNTFR	1333.4612
CNTF	15.7699	CNTF	16.0813
CNTLN	174.397	CNTLN	233.6242
CNTN1	425.7885	CNTN1	328.7619
removed	removed	CNTN2	6.5215
CNTN3	68.9549	CNTN3	112.7841
CNTN4	79.4682	CNTN4	234.7751
removed	removed	CNTN6	16.4956
CNTNAP1	112.8633	CNTNAP1	260.4776
CNTNAP3	23.5003	CNTNAP3	441.9296
CNTROB	490.4143	CNTROB	677.8556
COASY	743.9703	COASY	1292.7975
COBLL1	1007.1119	COBLL1	1832.5501
COBL	503.0921	COBL	743.4545
COBRA1	1390.538	COBRA1	1451.9996
COCH	264.1837	COCH	67.5707
COG1	1462.6964	COG1	791.2573
COG2	1314.4712	COG2	590.3903
COG3	348.7941	COG3	721.2046
COG4	1492.8881	COG4	1058.0224
COG5	787.3531	COG5	960.8171
COG6	360.5442	COG6	532.4638
COG7	1014.8423	COG7	537.8345
COG8	931.8027	COG8	405.4205
COIL	1238.7137	COIL	382.8522
COL10A1	11856.2152	COL10A1	5.7543
COL11A1	21345.3927	COL11A1	50.2541
COL11A2	5.5659	COL11A2	9.5905
COL12A1	33700.9895	COL12A1	8046.0343
COL13A1	25.974	COL13A1	10.3577
COL14A1	1662.9561	COL14A1	5059.1733
COL15A1	1610.0804	COL15A1	5682.5549
COL16A1	3157.6994	COL16A1	1742.3995
COL17A1	9.5857	COL17A1	4464.9468
COL18A1	4053.4941	COL18A1	4551.2611
COL1A1	282584.1126	COL1A1	33497.2667
COL1A2	257924.8609	COL1A2	40157.6676
COL21A1	1623.0674	COL21A1	82.0946
COL22A1	24.428	COL22A1	8.8232
removed	removed	COL23A1	29.9223
COL24A1	117.1923	COL24A1	9.5905
removed	removed	COL25A1	49.1033
COL27A1	85.9617	COL27A1	412.0073
COL28A1	5.5659	COL28A1	7.2888
COL29A1	8.0396	removed	removed
removed	removed	COL2A1	8.8232
COL3A1	217812.3067	COL3A1	37758.1279
COL4A1	4886.8275	COL4A1	18918.9604
COL4A2	4715.8318	COL4A2	21478.853
COL4A3BP	939.3939	COL4A3BP	1598.1586
COL4A3	5.5659	COL4A3	13.0431
COL4A4	50.0928	COL4A4	70.2024
COL4A5	6795.9184	COL4A5	563.537
COL4A6	1659.5547	COL4A6	220.5812
COL5A1	19498.1447	COL5A1	3310.6358
COL5A2	29486.3946	COL5A2	4245.9001
COL5A3	1991.9604	COL5A3	977.4624
COL6A1	23050.402	COL6A1	14883.2838
COL6A2	26423.3148	COL6A2	21864.3905
COL6A3	27429.1899	COL6A3	18672.2931
COL6A6	47.3098	COL6A6	356.7661
COL7A1	392.0841	COL7A1	595.3774
COL8A1	1682.1274	COL8A1	1106.3585
COL8A2	3631.7254	COL8A2	927.9754
COL9A2	89.363	COL9A2	356.3825
COL9A3	6.8027	COL9A3	29.1551
COLEC11	8.9672	COLEC11	32.224
COLEC12	426.4069	COLEC12	1654.9343
COLQ	41.4348	COLQ	35.6766
COMMD10	384.663	COMMD10	341.8049
COMMD1	457.0192	COMMD1	246.6673
COMMD2	556.5863	COMMD2	692.8167
COMMD3	754.1558	COMMD3	523.771
COMMD4	743.0427	COMMD4	638.7264
COMMD5	597.4583	COMMD5	417.4432
COMMD6	743.6611	COMMD6	1195.3582
COMMD7	1180.2721	COMMD7	928.7427
COMMD8	198.825	COMMD8	209.0726
COMMD9	515.1515	COMMD9	735.7821
COMP	6247.9901	COMP	101.6592
COMTD1	136.6729	COMTD1	68.2843
COMT	1358.9981	COMT	1669.1282
COPA	9033.2344	COPA	5781.0339
COPB1	2983.3024	COPB1	2939.1848
COPB2	4841.6821	COPB2	3270.7394
COPE	5634.8701	COPE	1645.1865
COPG2	1413.1107	COPG2	486.4295
COPG	5952.381	COPG	3593.3634
COPS2	1334.261	COPS2	1616.1887
COPS3	696.6605	COPS3	864.6782
COPS4	1273.6549	COPS4	787.1871
COPS5	1161.41	COPS5	898.4368
COPS6	2081.3234	COPS6	1491.1288
COPS7A	1931.6636	COPS7A	1455.4522
COPS7B	549.7835	COPS7B	613.4075
COPS8	924.8547	COPS8	888.8309
COPZ1	3254.1744	COPZ1	2559.1253
COPZ2	547.0006	COPZ2	640.2609
COQ10A	139.765	COQ10A	100.5083
COQ10B	684.6011	COQ10B	492.951
COQ2	417.4397	COQ2	141.9392
COQ3	92.7644	COQ3	120.4565
COQ4	387.7551	COQ4	625.2997
COQ5	426.7161	COQ5	453.4382
COQ6	261.5028	COQ6	286.322
COQ7	303.0303	COQ7	360.9859
COQ9	865.8009	COQ9	653.3039
CORIN	256.6481	CORIN	17.2629
CORO1A	855.906	CORO1A	1187.3022
CORO1B	2384.0445	CORO1B	1634.6025
CORO1C	2436.3018	CORO1C	3197.8517
CORO2A	957.9468	CORO2A	335.667
CORO2B	28.757	CORO2B	366.7402
CORO6	28.757	CORO6	46.0343
CORO7	619.9505	CORO7	510.5438
removed	removed	CORT	6.1379
COTL1	1959.8021	COTL1	3537.7386
COX10	214.2857	COX10	308.0464
COX11	673.2746	COX11	546.5656
COX15	922.3036	COX15	979.2347
COX16	761.5955	COX16	547.425
COX17	770.872	COX17	317.6369
COX18	341.0637	COX18	318.0205
COX19	481.5028	COX19	269.8379
COX4I1	5641.6203	COX4I1	3651.2899
COX4I2	10.5133	COX4I2	30.6896
COX4NB	622.449	COX4NB	374.4126
COX5A	2751.7007	COX5A	930.2772
COX5B	1690.7854	COX5B	1105.9749
COX6A1	2104.2053	COX6A1	1307.7587
COX6B1	2219.2331	COX6B1	1744.7013
removed	removed	COX6B2	30.3059
COX6C	9222.9437	COX6C	1183.8496
COX7A1	102.0408	COX7A1	634.8902
COX7A2L	2675.9431	COX7A2L	1469.6461
COX7A2	935.3741	COX7A2	982.833
COX7B	1611.6265	COX7B	1046.1302
COX7C	3902.9066	COX7C	2005.1789
COX8A	2786.6419	COX8A	1341.5172
CP110	451.4533	CP110	545.8905
removed	removed	CPA1	62.53
CPA3	106.3698	CPA3	306.1283
CPA4	217.0686	CPA4	47.1852
CPA5	7.4552	removed	removed
CPA6	74.2115	removed	removed
CPAMD8	60.6061	CPAMD8	990.1218
CPB1	715.2134	CPB1	672.8685
CPD	4174.0878	CPD	3278.7954
CPEB1	62.7706	CPEB1	62.1464
CPEB2	593.0736	CPEB2	573.1275
CPEB3	69.8825	CPEB3	136.1849
CPEB4	631.107	CPEB4	1254.4356
CPE	1053.8033	CPE	4403.9513
CPLX1	696.6605	CPLX1	133.4996
CPLX3	38.2127	removed	removed
CPM	1509.5857	CPM	3001.055
CPN2	12.987	CPN2	5.7543
CPNE1	872.8139	CPNE1	1133.4727
CPNE2	594.3105	CPNE2	1234.4874
CPNE3	2925.7885	CPNE3	2575.621
CPNE5	22.8819	CPNE5	83.629
removed	removed	CPNE7	11.125
CPNE8	77.6129	CPNE8	296.1542
CPOX	386.209	CPOX	293.8525
CPPED1	800.5566	CPPED1	684.7607
CPS1	51.0204	CPS1	270.4517
CPSF1	1290.6617	CPSF1	1471.5642
CPSF2	1268.0891	CPSF2	928.3591
CPSF3L	1067.718	CPSF3L	1219.1426
CPSF3	826.5306	CPSF3	609.1877
CPSF4	361.4719	CPSF4	478.7571
CPSF6	1675.9431	CPSF6	1359.5473
CPSF7	1815.7081	CPSF7	1878.2008
CPT1A	5468.4601	CPT1A	2528.4358
CPT1B	123.2035	CPT1B	238.4885
CPT1C	15.4607	CPT1C	62.53
CPT2	478.6642	CPT2	462.6451
CPVL	646.2585	CPVL	664.8125
CPXM1	695.7328	CPXM1	991.2727
CPXM2	571.7378	CPXM2	2162.0792
CPZ	472.4799	CPZ	354.4644
removed	removed	CP	4102.3305
CR1	12.3686	CR1	497.1708
CR2	7.4212	CR2	18.0301
removed	removed	CRABP1	99.3574
CRABP2	30407.8541	CRABP2	2696.8447
CRADD	142.5479	CRADD	137.7194
CRAMP1L	873.8806	CRAMP1L	1049.6135
CRAT	295.9184	CRAT	1206.0995
removed	removed	CRB2	138.103
CRB3	804.8856	CRB3	102.81
CRBN	568.0489	CRBN	780.1861
CRCP	1162.9561	CRCP	951.3762
CREB1	1128.3241	CREB1	1242.927
CREB3L1	705.0093	CREB3L1	253.1888
CREB3L2	2763.4508	CREB3L2	4309.1973
CREB3L4	1159.2455	CREB3L4	528.6276
CREB3	786.2863	CREB3	1010.3539
CREB5	141.0019	CREB5	334.1325
CREBBP	2790.9709	CREBBP	3316.0065
CREBL2	1584.4156	CREBL2	2432.5309
CREBZF	487.9406	CREBZF	853.5533
CREG1	4308.287	CREG1	3174.4509
CREG2	14.8423	removed	removed
CRELD1	739.9505	CRELD1	1015.0571
CRELD2	1072.6654	CRELD2	700.1055
CREM	435.9926	CREM	306.1283
removed	removed	CRHBP	27.237
removed	removed	CRHR1	59.883
CRIM1	1591.5275	CRIM1	8888.079
CRIP1	16764.6877	CRIP1	1164.285
CRIP2	4041.744	CRIP2	2966.9128
CRIPAK	300.8658	CRIPAK	220.9648
CRIPT	439.7032	CRIPT	312.6499
CRISP3	5.8751	removed	removed
CRISPLD1	148.1138	CRISPLD1	580.0326
CRISPLD2	1783.2406	CRISPLD2	1766.5676
CRKL	1359.6166	CRKL	1979.86
CRK	807.3593	CRK	1605.831
CRLF1	41.1255	CRLF1	113.5514
CRLF3	522.8819	CRLF3	380.1669
CRLS1	644.094	CRLS1	924.9065
CRMP1	45.3649	CRMP1	136.1427
CRNKL1	1362.0903	CRNKL1	751.5105
CROCCL1	250.5102	CROCCL1	478.032
CROCCL2	35.8689	CROCCL2	64.0644
CROCC	585.6524	CROCC	511.3647
CROT	753.556	CROT	370.96
removed	removed	CRTAC1	139.2539
CRTAM	25.6648	CRTAM	7.2888
CRTAP	5407.5448	CRTAP	10296.7296
CRTC1	696.0421	CRTC1	452.671
CRTC2	1305.8132	CRTC2	865.8291
CRTC3	1613.791	CRTC3	1963.748
CRY1	659.2455	CRY1	566.9895
CRY2	610.0804	CRY2	2633.5475
CRYAB	72.6654	CRYAB	18679.1982
CRYBA2	162.0284	removed	removed
CRYBB1	24.428	CRYBB1	28.3878
CRYBG3	111.6852	CRYBG3	924.9755
removed	removed	CRYGN	7.6724
CRYL1	407.8541	CRYL1	582.7179
CRYM	49.4743	removed	removed
CRYZL1	258.6054	CRYZL1	330.7835
CRYZ	232.5912	CRYZ	451.5431
CSAD	105.133	CSAD	643.7134
CSAG3	8.7044	removed	removed
CSDAP1	37.415	CSDAP1	55.6248
CSDA	2235.9307	CSDA	4167.2581
CSDC2	50.402	CSDC2	24.168
CSDE1	13388.0643	CSDE1	21904.2869
CSE1L	2581.6327	CSE1L	1918.0972
CSF1R	1049.1651	CSF1R	3238.899
CSF1	580.0866	CSF1	2196.9886
CSF2RA	129.8701	CSF2RA	253.5725
CSF2RB	166.9759	CSF2RB	544.7396
CSF3R	406.308	CSF3R	411.24
CSGALNACT1	123.0674	CSGALNACT1	511.7483
CSGALNACT2	922.0779	CSGALNACT2	596.1446
CSK	1703.4632	CSK	1081.8068
removed	removed	CSMD2	23.7844
removed	removed	CSN1S1	14.1939
CSNK1A1	5965.9864	CSNK1A1	4968.2555
CSNK1D	3664.1929	CSNK1D	3097.3434
CSNK1E	1111.1472	CSNK1E	2073.2636
CSNK1G1	997.5263	CSNK1G1	632.5885
CSNK1G2	1125.8503	CSNK1G2	1194.591
CSNK1G3	939.0847	CSNK1G3	641.7953
CSNK2A1P	646.2585	CSNK2A1P	395.8953
CSNK2A1	1617.1923	CSNK2A1	1039.6087
CSNK2A2	1019.4805	CSNK2A2	560.8516
CSNK2B	1210.2659	CSNK2B	1803.7902
CSPG4	270.5628	CSPG4	2630.0949
CSPG5	39.8887	CSPG5	13.8103
CSPP1	242.9963	CSPP1	283.8784
CSRNP1	282.6221	CSRNP1	783.3509
CSRNP2	900.1237	CSRNP2	872.3506
removed	removed	CSRNP3	17.2629
CSRP1	3667.2851	CSRP1	11335.1875
CSRP2BP	722.0161	CSRP2BP	707.7779
CSRP2	227.2727	CSRP2	419.6797
CST1	5.5659	removed	removed
CST2	8.0396	removed	removed
CST3	3960.7297	CST3	6591.3494
CST6	930.4267	removed	removed
CST7	84.4156	CST7	69.8187
CSTA	312.3067	CSTA	194.1114
CSTB	4410.637	CSTB	1999.041
CSTF1	571.7378	CSTF1	520.5716
CSTF2T	1082.2511	CSTF2T	1149.3239
CSTF2	432.5912	CSTF2	277.3569
CSTF3	723.2529	CSTF3	372.295
CS	5696.3513	CS	4650.235
CT62	8.0396	CT62	11.125
CTAGE1	6.1843	removed	removed
CTAGE4	51.9481	CTAGE4	38.3619
CTAGE5	973.8683	CTAGE5	631.6946
CTAGE6	8.0396	CTAGE6	6.1379
CTAGE9	196.3513	CTAGE9	140.0211
CTBP1	2678.2468	CTBP1	2128.8616
CTBP2	3392.7025	CTBP2	1703.654
CTBS	541.744	CTBS	362.1368
CTCFL	5.7978	CTCFL	6.9972
CTCF	2444.9598	CTCF	1304.6897
CTDP1	460.7297	CTDP1	569.6749
CTDSP1	2744.5887	CTDSP1	3576.4841
CTDSP2	5867.3469	CTDSP2	9046.1302
CTDSPL2	480.2103	CTDSPL2	574.6619
CTDSPL	863.3271	CTDSPL	1365.3016
CTF1	38.3426	CTF1	270.0681
CTGF	4053.4941	CTGF	2800.422
CTHRC1	3964.4403	CTHRC1	375.1798
CTH	34.9412	CTH	63.2972
CTLA4	61.2245	CTLA4	32.224
CTNNA1	19950.8349	CTNNA1	10871.7752
CTNNAL1	102.0408	CTNNAL1	788.7216
CTNNB1	6474.0043	CTNNB1	9358.2967
CTNNBIP1	642.2387	CTNNBIP1	888.8463
CTNNBL1	1086.2709	CTNNBL1	876.9541
CTNND1	8105.7514	CTNND1	7978.0263
CTNND2	28.4477	CTNND2	70.9696
CTNS	321.5213	CTNS	412.8282
CTPS2	1320.9647	CTPS2	415.8435
CTPS	799.0105	CTPS	374.4126
CTR9	1352.1954	CTR9	1496.8831
CTRL	15.1515	removed	removed
CTSA	3045.6122	CTSA	2670.5093
CTSB	40351.577	CTSB	25690.2273
CTSC	1485.7761	CTSC	2813.465
CTSD	32547.9283	CTSD	12761.4846
CTSE	14.5331	removed	removed
CTSF	1198.825	CTSF	2172.4369
removed	removed	CTSG	346.4084
CTSH	2745.8256	CTSH	1802.2442
CTSK	7884.3537	CTSK	3420.7346
CTSL1	3859.9258	CTSL1	3747.5784
CTSL2	82.5603	CTSL2	59.0774
CTSO	1409.0909	CTSO	1374.1249
CTSS	2665.739	CTSS	1761.5805
CTSW	39.2703	CTSW	116.2367
CTSZ	6482.684	CTSZ	5135.8972
CTTNBP2NL	1287.8788	CTTNBP2NL	986.2856
CTTNBP2	19.7897	CTTNBP2	225.5682
CTTN	4055.0402	CTTN	4549.3431
CTU1	58.7508	CTU1	33.7585
CTU2	195.8689	CTU2	222.1962
CTXN1	483.6116	CTXN1	86.3144
CUBN	12.3686	CUBN	169.1762
CUEDC1	1550.7112	CUEDC1	497.938
CUEDC2	897.0315	CUEDC2	736.1657
CUL1	1070.5009	CUL1	1435.504
CUL2	1309.833	CUL2	769.157
CUL3	1836.4255	CUL3	1676.0334
CUL4A	2215.2134	CUL4A	1768.102
CUL4B	2078.5405	CUL4B	1741.6323
CUL5	595.5473	CUL5	931.0444
CUL7	1083.154	CUL7	1229.8763
CUL9	482.3748	CUL9	868.1308
CUTA	1705.3185	CUTA	1430.1333
CUTC	330.1206	CUTC	571.2017
CUX1	1738.4045	CUX1	1258.6554
removed	removed	CUX2	14.9612
removed	removed	CUZD1	15.0993
CWC15	509.5857	CWC15	700.1055
CWC22	639.765	CWC22	667.1142
CWC25	264.6877	CWC25	490.6493
CWC27	484.5393	CWC27	389.3737
CWF19L1	511.4409	CWF19L1	355.2316
CWF19L2	200.9895	CWF19L2	397.4297
CWH43	90.5999	removed	removed
CX3CL1	86.5801	CX3CL1	6490.8411
CX3CR1	78.2313	CX3CR1	1140.8842
removed	removed	CXADRP3	6.1379
CXADR	37.7242	CXADR	357.5333
CXCL10	527.2109	CXCL10	31.8404
CXCL11	128.9425	CXCL11	11.8922
CXCL12	2023.8095	CXCL12	11003.3567
CXCL13	15.4607	CXCL13	65.9825
CXCL14	917.1305	CXCL14	6571.4012
CXCL16	1992.2696	CXCL16	1672.5808
removed	removed	CXCL17	177.6158
CXCL1	6.4935	CXCL1	30.6896
CXCL2	14.2239	CXCL2	306.5119
removed	removed	CXCL3	21.4827
removed	removed	CXCL5	8.4396
CXCL9	305.1948	CXCL9	55.6248
CXCR1	104.8237	CXCR1	29.1551
CXCR2P1	44.2177	CXCR2P1	6.1379
CXCR2	19.7897	CXCR2	63.6808
CXCR3	42.9808	CXCR3	35.293
CXCR4	944.9598	CXCR4	431.1883
CXCR5	11.1379	removed	removed
CXCR6	52.8757	CXCR6	75.1894
CXCR7	2983.6116	CXCR7	1459.672
CXXC1	450.2165	CXXC1	737.7002
CXXC4	22.8819	CXXC4	11.8922
CXXC5	1581.3234	CXXC5	571.593
CXorf21	61.8429	CXorf21	61.3791
CXorf23	206.2461	CXorf23	234.7751
CXorf26	351.8862	CXorf26	404.3349
CXorf36	146.2585	CXorf36	2081.5191
CXorf38	188.6209	CXorf38	222.8829
CXorf40A	335.4978	CXorf40A	339.8868
CXorf40B	435.3741	CXorf40B	432.7227
CXorf42	8.3488	CXorf42	20.3318
CXorf56	236.24	CXorf56	277.7405
CXorf57	19.7897	CXorf57	44.8835
CYB561D1	447.4335	CYB561D1	573.5111
CYB561D2	195.7699	CYB561D2	273.7547
CYB561	15102.0408	CYB561	1697.8997
CYB5A	273.6549	CYB5A	2027.8124
CYB5B	2008.658	CYB5B	1385.2498
CYB5D1	468.4601	CYB5D1	716.6011
CYB5D2	411.5646	CYB5D2	550.8775
CYB5R1	1637.9097	CYB5R1	1271.3149
CYB5R2	102.9685	CYB5R2	155.3659
CYB5R3	3208.4106	CYB5R3	10430.2292
CYB5R4	310.7607	CYB5R4	277.3569
CYB5RL	149.3506	CYB5RL	105.879
CYBASC3	1442.1769	CYBASC3	1225.2805
CYBA	999.6908	CYBA	1053.419
CYBB	1654.9165	CYBB	2661.9354
CYBRD1	2207.483	CYBRD1	15578.0186
CYC1	1388.0643	CYC1	1331.5431
CYCS	2836.1163	CYCS	1426.6807
CYFIP1	2307.9777	CYFIP1	4471.4683
CYFIP2	61.5337	CYFIP2	344.4903
CYGB	143.7848	CYGB	853.9369
CYHR1	742.7335	CYHR1	580.0326
CYLD	944.9598	CYLD	1201.1125
CYP11A1	14.5331	CYP11A1	50.6378
CYP19A1	13.2962	CYP19A1	46.418
CYP1B1	909.4001	CYP1B1	2094.1786
CYP20A1	528.1385	CYP20A1	718.1356
CYP21A2	45.3649	CYP21A2	240.4987
CYP24A1	21.3358	removed	removed
CYP26A1	101.4224	removed	removed
CYP26B1	103.8961	CYP26B1	1609.6672
CYP27A1	1738.4045	CYP27A1	836.674
CYP27B1	1158.9363	CYP27B1	23.4008
CYP27C1	141.0019	CYP27C1	15.3448
removed	removed	CYP2A6	54.0903
CYP2B6	68.3364	removed	removed
CYP2B7P1	1253.8652	CYP2B7P1	95.5212
removed	removed	CYP2C8	8.8232
removed	removed	CYP2D6	13.4267
removed	removed	CYP2D7P1	11.8922
CYP2E1	8.7446	CYP2E1	15.1031
CYP2J2	61.8429	CYP2J2	65.5989
CYP2R1	138.2189	CYP2R1	157.284
CYP2S1	173.1602	CYP2S1	80.1765
CYP2U1	291.2801	CYP2U1	507.9122
removed	removed	CYP39A1	75.573
removed	removed	CYP3A5	8.4396
CYP46A1	6.8027	CYP46A1	58.6938
removed	removed	CYP4A11	5.3707
CYP4B1	55.6586	CYP4B1	665.1961
CYP4F11	547.0006	CYP4F11	92.4523
CYP4F12	17.6252	CYP4F12	32.224
CYP4F22	13.2962	CYP4F22	14.1939
CYP4F3	9.5857	removed	removed
removed	removed	CYP4F8	29.9223
CYP4V2	302.4119	CYP4V2	441.546
CYP4X1	323.7477	CYP4X1	2625.8751
CYP4Z1	273.6549	CYP4Z1	4210.6071
CYP4Z2P	210.5751	CYP4Z2P	427.3521
CYP51A1	2134.8176	CYP51A1	818.2603
CYP7B1	42.6716	CYP7B1	338.3524
removed	removed	CYP8B1	23.4008
CYR61	1429.4991	CYR61	2534.5737
CYS1	347.248	CYS1	140.7883
CYSLTR1	19.4805	CYSLTR1	70.586
CYSLTR2	6.8027	CYSLTR2	12.6594
CYTH1	917.7489	CYTH1	862.7601
CYTH2	1684.6011	CYTH2	1220.6771
CYTH3	852.5046	CYTH3	1545.9864
CYTH4	447.4335	CYTH4	890.3807
CYTIP	116.5739	CYTIP	131.9651
CYTL1	8.658	CYTL1	40.6637
CYTSA	1573.9023	CYTSA	2330.8718
CYTSB	1338.2808	CYTSB	474.9209
CYYR1	102.9685	CYYR1	1308.1423
D2HGDH	111.9357	D2HGDH	339.5032
removed	removed	D4S234E	221.3484
DAAM1	464.7495	DAAM1	1143.9532
DAAM2	443.9363	DAAM2	2010.5342
DAB2IP	703.4632	DAB2IP	3172.5328
DAB2	2252.0099	DAB2	4556.2482
DACH1	395.7947	DACH1	258.9431
DACT1	636.9821	DACT1	314.5679
removed	removed	DACT2	67.517
DACT3	98.3302	DACT3	74.4222
DAD1	3050.0928	DAD1	1939.1963
DAG1	2957.9468	DAG1	4094.3704
DAGLA	477.4273	DAGLA	309.1973
