gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ACOT11	91.4811	ACOT11	30.1832
ACOT13	529.9011	ACOT13	497.9611
ACOT1	433.5189	ACOT1	729.2606
ACOT2	345.7019	ACOT2	496.7872
ACOT4	415.2752	ACOT4	140.4047
ACOT6	7.1119	removed	removed
ACOT7	800.5566	ACOT7	286.9473
ACOT8	137.718	ACOT8	223.8995
ACOT9	610.0804	ACOT9	598.0627
ACOX1	2761.9109	ACOX1	4105.3611
ACOX2	549.1651	ACOX2	332.2144
ACOX3	213.3581	ACOX3	545.5069
ACP1	2185.838	ACP1	986.6692
ACP2	1269.0167	ACP2	931.0444
ACP5	2643.7848	ACP5	487.9639
ACP6	539.8887	ACP6	150.7624
ACPL2	282.9314	ACPL2	284.262
ACPP	23.8095	ACPP	42.9654
ACRBP	36.4873	ACRBP	19.9482
ACRC	15.4607	ACRC	36.0602
removed	removed	ACR	5.3707
removed	removed	ACSBG1	12.2758
ACSF2	1330.5504	ACSF2	764.1699
ACSF3	380.6432	ACSF3	385.5375
ACSL1	1764.3785	ACSL1	12003.8362
ACSL3	1956.71	ACSL3	1767.3348
ACSL4	614.4094	ACSL4	2962.3094
ACSL5	149.0414	ACSL5	1076.4362
ACSL6	14.5331	ACSL6	12.6594
ACSM1	6.1843	ACSM1	18.7974
removed	removed	ACSM2A	5.3707
ACSM3	21.8831	ACSM3	45.9269
ACSM5	52.2573	ACSM5	366.7402
ACSS1	843.8466	ACSS1	876.5704
ACSS2	511.7502	ACSS2	2746.7153
ACSS3	214.5949	ACSS3	716.6011
ACTA1	10.2041	removed	removed
ACTA2	6541.6976	ACTA2	14856.4304
ACTBL2	12.3686	removed	removed
ACTB	99000.9276	ACTB	83401.17
removed	removed	ACTC1	14.9612
ACTG1	126830.8596	ACTG1	46952.3353
ACTG2	27.8293	ACTG2	3612.928
ACTL6A	1179.9629	ACTL6A	708.1615
ACTN1	8688.6209	ACTN1	11165.6277
ACTN2	8.658	removed	removed
ACTN4	8193.2622	ACTN4	12599.4629
ACTR10	1135.1268	ACTR10	987.8201
ACTR1A	2246.1348	ACTR1A	3050.1582
ACTR1B	1239.6413	ACTR1B	1427.0644
ACTR2	5709.3383	ACTR2	5392.9222
ACTR3B	155.8442	ACTR3B	124.2927
ACTR3C	10.8225	ACTR3C	17.6465
ACTR3	3807.0501	ACTR3	3172.1492
