gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
ACOT1	435.0167	ACOT1	4509.4151
ACOT2	328.1588	ACOT2	2640.4983
ACOT4	211.4743	ACOT4	388.6482
removed	removed	ACOT6	34.2288
ACOT7	244.1628	ACOT7	229.636
ACOT8	264.4663	ACOT8	200.6153
ACOT9	336.8913	ACOT9	730.5026
ACOX1	1005.2769	ACOX1	5311.9584
ACOX2	247.8319	ACOX2	564.5581
ACOX3	577.3849	ACOX3	440.208
ACP1	1368.5791	ACP1	1162.4783
ACP2	1283.1888	ACP2	1010.8319
ACP5	932.9553	ACP5	143.4142
ACP6	234.1561	ACP6	137.7816
ACPL2	557.7051	ACPL2	194.1075
ACPP	49.6998	removed	removed
ACRBP	30.02	ACRBP	11.6984
ACRC	11.3409	ACRC	36.3951
removed	removed	ACR	5.6326
removed	removed	ACSBG1	12.565
ACSF2	542.3616	ACSF2	1448.4402
ACSF3	269.513	ACSF3	268.1976
ACSL1	1679.1194	ACSL1	95654.2461
ACSL3	2934.6231	ACSL3	2401.6464
ACSL4	596.064	ACSL4	3079.7227
ACSL5	665.4436	ACSL5	775.9965
ACSL6	8.0053	removed	removed
ACSM1	13.3422	removed	removed
removed	removed	ACSM2A	16.0312
ACSM3	30.1935	removed	removed
ACSM5	31.6878	ACSM5	1248.7002
ACSS1	1995.3302	ACSS1	348.3536
ACSS2	551.3676	ACSS2	13339.2548
ACSS3	170.447	ACSS3	1956.2392
ACTA1	10.0067	removed	removed
ACTA2	8156.0207	ACTA2	7713.2149
ACTB	87707.1381	ACTB	80753.0329
removed	removed	ACTC1	8.6655
ACTG1	65965.9773	ACTG1	25467.0711
ACTG2	242.1614	ACTG2	217.0711
removed	removed	ACTL6A	448.4402
ACTN1	5802.535	ACTN1	9551.5598
ACTN4	11581.6544	ACTN4	7646.3821
ACTR10	824.5497	ACTR10	1465.338
ACTR1A	2584.7231	ACTR1A	4142.1144
ACTR1B	1565.0434	ACTR1B	1221.4038
ACTR2	6226.4843	ACTR2	5809.3588
ACTR3B	146.0974	ACTR3B	97.0537
ACTR3C	18.3456	ACTR3C	22.5303
ACTR3	3310.5404	ACTR3	2804.5927
ACTR5	209.8065	ACTR5	118.7175
ACTR6	768.8459	ACTR6	531.1958
ACTR8	598.0654	ACTR8	512.9983
ACVR1B	2136.7578	ACVR1B	964.9047
ACVR1C	25.3502	ACVR1C	7402.0797
ACVR1	1166.4443	ACVR1	1066.2912
ACVR2A	234.1561	ACVR2A	466.2045
ACVR2B	428.6191	ACVR2B	206.2392
ACVRL1	418.6124	ACVRL1	1601.8198
ACY1	824.3329	ACY1	1031.3951
ACYP1	72.048	ACYP1	36.3951
ACYP2	43.6958	ACYP2	328.8562
ADAL	228.1521	ADAL	332.7556
ADAM10	2189.7932	ADAM10	860.052
ADAM11	29.3529	removed	removed
ADAM12	4664.7765	ADAM12	2236.5685
ADAM15	4380.8272	ADAM15	2866.5511
ADAM17	743.8292	ADAM17	434.5754
ADAM19	568.7125	ADAM19	113.5182
ADAM21	7.3382	removed	removed
ADAM22	77.3849	ADAM22	199.74
ADAM23	45.6971	ADAM23	40.2946
ADAM28	80.0534	ADAM28	11.2652
ADAM32	24.6831	ADAM32	43.3276
ADAM33	173.4323	ADAM33	563.4315
ADAM6	9114.463	ADAM6	348.1542
ADAM8	578.3856	ADAM8	18.6308
ADAM9	1293.1955	ADAM9	1891.6811
ADAMDEC1	85.0567	removed	removed
ADAMTS10	188.459	ADAMTS10	162.4783
ADAMTS12	605.07	ADAMTS12	564.1248
ADAMTS13	89.0594	ADAMTS13	29.896
ADAMTS14	154.1027	ADAMTS14	10.3986
ADAMTS15	332.8886	ADAMTS15	404.6794
ADAMTS16	255.1701	ADAMTS16	187.6083
ADAMTS17	92.3949	ADAMTS17	14.2981
ADAMTS18	25.6838	ADAMTS18	314.1248
ADAMTS19	163.7759	removed	removed
ADAMTS1	937.9586	ADAMTS1	6483.1023
ADAMTS2	886.5911	ADAMTS2	1043.3276
ADAMTS3	22.0147	ADAMTS3	29.4627
ADAMTS4	335.8906	ADAMTS4	201.0399
ADAMTS5	289.1928	ADAMTS5	2006.0659
ADAMTS6	128.4189	ADAMTS6	24.2634
ADAMTS7	173.1154	ADAMTS7	136.4818
ADAMTS8	11.6744	ADAMTS8	7.3657
ADAMTS9	220.1468	ADAMTS9	1099.2201
ADAMTSL1	54.3696	ADAMTSL1	207.539
ADAMTSL2	194.463	ADAMTSL2	34.2288
ADAMTSL3	69.046	ADAMTSL3	464.4714
ADAMTSL4	202.4683	ADAMTSL4	1175.4766
ADAMTSL5	73.3823	ADAMTSL5	12.9983
ADAP1	168.946	ADAP1	100.0823
ADAP2	267.5117	ADAP2	198.8735
ADARB1	393.5957	ADARB1	690.6412
ADAR	16129.4196	ADAR	4280.3293
ADAT1	279.5197	ADAT1	287.2617
ADAT2	58.3722	ADAT2	95.3206
ADAT3	13.6758	ADAT3	9.0988
ADA	127.4183	ADA	236.1352
ADCK1	146.431	ADCK1	232.669
ADCK2	853.5924	ADCK2	568.4575
ADCK4	772.515	ADCK4	303.7262
ADCK5	150.4336	ADCK5	40.7279
ADCY1	679.7865	ADCY1	131.7158
ADCY2	445.964	ADCY2	48.5269
ADCY3	1009.5364	ADCY3	1247.6516
ADCY4	146.7645	ADCY4	697.1404
ADCY5	259.8399	ADCY5	922.0104
ADCY6	3036.6911	ADCY6	6441.5078
ADCY7	511.6744	ADCY7	656.4125
ADCY9	2394.5964	ADCY9	501.7331
removed	removed	ADCYAP1R1	45.0607
ADCYAP1	441.2942	ADCYAP1	168.5442
ADC	304.2028	ADC	26.8631
ADD1	4646.0974	ADD1	8380.8492
ADD2	27.6851	ADD2	22.5303
ADD3	969.6464	ADD3	2924.6101
removed	removed	ADH1A	983.0849
ADH1B	735.4903	ADH1B	118616.1179
ADH1C	11.0073	ADH1C	1008.2322
removed	removed	ADH4	35.0953
ADH5	1436.2909	ADH5	6690.6412
ADHFE1	94.7298	ADHFE1	904.6794
ADI1	1808.539	ADI1	2841.4211
ADIPOQ	828.8859	ADIPOQ	125298.0936
ADIPOR1	3850.9006	ADIPOR1	2300.26
ADIPOR2	4456.3042	ADIPOR2	9971.4038
ADK	278.519	ADK	532.4957
ADM2	170.7805	removed	removed
ADM	103.4023	ADM	771.6638
ADNP2	853.2355	ADNP2	610.4853
ADNP	4858.5724	ADNP	1928.9428
ADORA1	149.0994	ADORA1	834.0555
ADORA2A	552.3616	ADORA2A	34.2288
ADORA2B	36.6911	ADORA2B	20.364
ADORA3	319.8799	ADORA3	52.4263
ADO	632.0881	ADO	456.2392
ADPGK	920.4003	ADPGK	618.1239
ADPRHL1	110.4069	ADPRHL1	74.9567
ADPRHL2	599.7332	ADPRHL2	419.844
ADPRH	171.7812	ADPRH	516.8977
removed	removed	ADRA1A	142.5477
removed	removed	ADRA1B	44.1941
removed	removed	ADRA1D	8.6655
ADRA2A	231.1541	ADRA2A	2941.9411
ADRA2B	31.0207	ADRA2B	41.5945
ADRA2C	19.6798	ADRA2C	126.0832
ADRB1	67.0447	ADRB1	312.825
ADRB2	82.0547	ADRB2	811.5251
removed	removed	ADRB3	110.4853
ADRBK1	1675.4503	ADRBK1	920.7106
ADRBK2	590.7272	ADRBK2	8125.6499
ADRM1	1093.7292	ADRM1	1578.4229
ADSL	523.6825	ADSL	770.7972
ADSSL1	100.0667	ADSSL1	364.818
ADSS	2263.509	ADSS	590.1213
AEBP1	15694.7965	AEBP1	5488.7348
AEBP2	711.1408	AEBP2	605.286
AEN	421.6144	AEN	101.8198
AES	7134.7565	AES	7082.3224
AFAP1L1	228.4857	AFAP1L1	1893.4142
AFAP1L2	3151.7678	AFAP1L2	321.4905
AFAP1	1801.1841	AFAP1	1315.4246
AFF1	2513.3422	AFF1	2642.9809
AFF2	38.0254	AFF2	601.3865
AFF3	1568.0454	AFF3	454.5061
AFF4	4606.4043	AFF4	2204.5061
AFG3L1	231.1541	AFG3L1	149.4801
AFG3L2	1604.0127	AFG3L2	1684.1638
AFMID	344.8966	AFMID	194.1075
AFP	30.6871	removed	removed
AFTPH	2159.4396	AFTPH	857.4523
AG2	152.1014	AG2	369.1508
AGAP11	23.6858	AGAP11	357.8856
AGAP1	831.5544	AGAP1	330.5893
AGAP2	96.3442	AGAP2	38.2322
AGAP3	1095.7305	AGAP3	1000
AGAP4	293.8626	AGAP4	145.5806
AGAP5	80.3869	AGAP5	19.4194
AGAP6	155.1034	AGAP6	73.2236
AGAP7	14.6765	removed	removed
AGAP8	62.0414	AGAP8	32.0624
AGA	327.2181	AGA	401.2132
AGBL2	38.6925	removed	removed
AGBL3	5.3369	AGBL3	6.0659
AGBL4	9.6731	removed	removed
AGBL5	829.5697	AGBL5	625.221
AGER	79.0527	AGER	23.3969
AGFG1	1979.9867	AGFG1	2626.0832
AGFG2	506.3376	AGFG2	302.4263
AGGF1	1151.7678	AGGF1	991.3345
AGK	537.3582	AGK	453.6395
AGL	1103.4023	AGL	1665.078
AGMAT	18.3456	AGMAT	9.0988
AGPAT1	1440.5203	AGPAT1	1722.474
AGPAT2	1081.7211	AGPAT2	17116.1179
AGPAT3	2003.002	AGPAT3	2812.825
AGPAT4	216.1441	AGPAT4	147.747
AGPAT5	583.0554	AGPAT5	246.9671
AGPAT6	1320.8806	AGPAT6	1727.0364
AGPAT9	62.7085	AGPAT9	490.0347
AGPHD1	38.0254	AGPHD1	71.0572
