gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
ERI2	663.936	ERI2	305.8059
ERI3	864.9099	ERI3	720.5373
ERICH1	254.1694	ERICH1	354.8527
ERLEC1	1706.471	ERLEC1	1660.7452
ERLIN1	1209.473	ERLIN1	1242.201
ERLIN2	1637.0914	ERLIN2	1650.3466
ERMAP	484.3229	ERMAP	522.9636
ERMN	16.3442	removed	removed
ERMP1	1743.3689	ERMP1	887.9289
ERN1	114.0761	ERN1	42.8943
ERO1LB	686.7912	ERO1LB	310.2253
ERO1L	573.7158	ERO1L	466.6378
ERP27	831.8879	ERP27	9.5321
ERP29	3103.4023	ERP29	1602.6863
ERP44	1056.7045	ERP44	1806.7591
ERRFI1	1521.6811	ERRFI1	3619.1508
ERVFRDE1	6.004	ERVFRDE1	7.799
ESAM	458.6391	ESAM	1781.1958
ESCO1	727.1514	ESCO1	328.8562
ESCO2	381.2542	removed	removed
ESD	1375.9173	ESD	3017.331
ESF1	414.9433	ESF1	606.1525
ESM1	118.4123	removed	removed
ESPL1	892.5951	ESPL1	6.9324
ESPNL	7.3382	removed	removed
ESPNP	7.0047	removed	removed
ESPN	294.1961	removed	removed
ESR1	3590.3936	ESR1	609.6187
ESR2	6.3376	ESR2	195.4073
ESRP1	2499.6664	removed	removed
ESRP2	1576.3843	ESRP2	168.9775
ESRRA	416.6111	ESRRA	683.2756
ESRRB	5.6704	removed	removed
ESRRG	315.5437	ESRRG	53.7262
ESYT1	2893.9293	ESYT1	18191.0745
ESYT2	3612.4083	ESYT2	4908.1456
ESYT3	32.0213	removed	removed
ETAA1	293.529	ETAA1	188.9081
ETF1	2777.5183	ETF1	5417.2444
ETFA	1068.3789	ETFA	3444.5407
ETFB	565.3769	ETFB	2705.3726
ETFDH	353.9026	ETFDH	1899.9133
ETHE1	478.986	ETHE1	293.3276
ETNK1	1296.8646	ETNK1	578.4229
ETNK2	1755.5037	ETNK2	55.026
ETS1	2107.0714	ETS1	4290.7279
ETS2	986.9913	ETS2	1792.0277
ETV1	293.1955	ETV1	172.8769
ETV2	13.3422	ETV2	17.7643
ETV3L	11.3409	removed	removed
ETV3	590.7272	ETV3	202.773
ETV4	74.0494	removed	removed
ETV5	272.515	ETV5	249.5667
ETV6	2277.8519	ETV6	386.9151
ETV7	184.7899	ETV7	7.3657
EVC2	101.7345	EVC2	147.747
EVC	1167.1114	EVC	727.5347
EVI2A	230.487	EVI2A	85.7886
EVI2B	389.9266	EVI2B	127.383
EVI5L	481.988	EVI5L	351.8198
EVI5	354.2362	EVI5	704.0728
EVL	5105.07	EVL	957.1057
removed	removed	EVPLL	6.4991
EVPL	1075.3836	EVPL	12.9983
EWSR1	4069.3796	EWSR1	3643.8475
EXD2	619.4129	EXD2	1004.3328
EXD3	210.8072	EXD3	113.9515
EXO1	374.5831	removed	removed
EXOC1	899.9333	EXOC1	1208.8388
EXOC2	1316.2108	EXOC2	717.5043
EXOC3L2	30.02	EXOC3L2	32.0624
EXOC3L	51.2308	EXOC3L	90.6759
EXOC3	1392.2615	EXOC3	1491.3345
EXOC4	2249.1661	EXOC4	1498.7002
EXOC5	1074.7165	EXOC5	2117.4177
EXOC6B	236.1574	EXOC6B	285.5286
EXOC6	1152.1014	EXOC6	308.4922
EXOC7	2936.6211	EXOC7	3115.6846
EXOC8	561.7078	EXOC8	456.2392
EXOG	101.0674	EXOG	110.052
EXOSC10	1873.9159	EXOSC10	1324.9567
EXOSC1	396.2642	EXOSC1	266.8977
EXOSC2	408.6057	EXOSC2	321.9237
EXOSC3	395.5971	EXOSC3	228.7695
EXOSC4	208.4723	EXOSC4	151.6464
EXOSC5	345.2302	EXOSC5	162.4783
EXOSC6	150.7672	EXOSC6	357.4523
EXOSC7	445.6304	EXOSC7	388.6482
EXOSC8	331.441	EXOSC8	273.9775
EXOSC9	414.0794	EXOSC9	373.0416
EXPH5	350.9006	EXPH5	44.6274
EXT1	1408.6057	EXT1	1341.8544
EXT2	1465.6438	EXT2	2126.0832
EXTL1	10.3402	removed	removed
EXTL2	273.1821	EXTL2	502.5997
EXTL3	1047.0314	EXTL3	1031.6291
EYA1	276.1841	EYA1	40.7279
EYA2	134.7565	EYA2	461.0052
EYA3	204.1361	EYA3	89.2548
removed	removed	EYA4	175.0433
EYS	7.6718	EYS	180.2426
EZH1	803.8692	EZH1	2768.1976
EZH2	801.8679	EZH2	15.5979
EZR	4729.8199	EZR	662.9116
F10	24.3496	F10	350.0867
F11R	6408.2722	F11R	2901.2132
F12	118.7458	removed	removed
F13A1	865.5771	F13A1	2080.5893
F2RL1	176.451	removed	removed
F2RL2	1685.457	removed	removed
F2RL3	138.0921	F2RL3	98.3536
F2R	2759.1728	F2R	273.3969
F3	472.982	F3	3980.9359
F5	86.7245	F5	17.7643
F7	1168.7792	removed	removed
F8A1	80.7205	F8A1	152.513
F8	556.3709	F8	1551.9931
FA2H	80.7205	removed	removed
FAAH2	313.2088	removed	removed
FAAH	869.2462	FAAH	217.9376
FABP3	89.0594	FABP3	110.052
FABP4	902.9353	FABP4	138702.773
FABP5	68.0454	FABP5	947.5737
FABP6	6.004	removed	removed
FADD	417.9453	FADD	288.9948
FADS1	178.1187	FADS1	7603.9861
FADS2	392.2615	FADS2	4805.026
FADS3	268.1788	FADS3	4120.0173
FAF1	842.8953	FAF1	1123.4835
FAF2	2337.8919	FAF2	1220.9705
FAHD1	414.2428	FAHD1	565.8579
FAHD2A	203.1354	FAHD2A	519.9307
FAHD2B	282.8552	FAHD2B	185.8752
FAH	1323.549	FAH	6256.0659
FAIM2	42.3616	FAIM2	71.9237
FAIM3	211.7645	FAIM3	45.9272
FAIM	218.479	FAIM	614.818
FAM100A	472.982	FAM100A	159.4454
FAM100B	434.2895	FAM100B	731.8024
FAM101A	28.6858	removed	removed
FAM101B	438.6258	FAM101B	1347.9203
FAM102A	3313.2088	FAM102A	461.8718
FAM102B	842.8953	FAM102B	474.4367
FAM103A1	281.1875	FAM103A1	181.1092
FAM104A	664.8899	FAM104A	705.0433
FAM104B	137.4249	FAM104B	194.974
FAM105A	722.8152	FAM105A	135.182
FAM105B	635.0901	FAM105B	431.1092
removed	removed	FAM106C	7.3657
FAM107A	102.7352	FAM107A	1871.7504
FAM107B	1800.2001	FAM107B	3462.305
FAM108A1	237.4917	FAM108A1	281.6291
FAM108B1	173.1154	FAM108B1	287.2617
FAM108C1	270.8472	FAM108C1	62.825
FAM109A	378.9193	FAM109A	191.0745
FAM109B	431.9546	FAM109B	267.331
FAM10A4	181.7879	FAM10A4	516.8977
FAM110A	502.3349	FAM110A	56.3258
FAM110B	593.062	FAM110B	226.6031
FAM110C	21.014	removed	removed
FAM111A	1603.7358	FAM111A	386.9151
FAM111B	447.9653	removed	removed
FAM113A	654.7698	FAM113A	341.8544
FAM113B	205.4736	FAM113B	136.4818
FAM114A1	881.5877	FAM114A1	1032.9289
FAM114A2	585.7238	FAM114A2	539.4281
FAM115A	671.7812	FAM115A	781.1958
FAM115C	502.3649	FAM115C	128.3709
FAM116A	1104.4029	FAM116A	612.6516
FAM116B	278.519	FAM116B	55.026
FAM117A	358.5724	FAM117A	340.1213
FAM117B	623.7492	FAM117B	275.9965
FAM118A	337.5584	FAM118A	195.4073
FAM118B	234.8232	FAM118B	388.6482
FAM119A	166.1107	FAM119A	187.6083
FAM119B	275.1835	FAM119B	265.1646
FAM120AOS	1075.2468	FAM120AOS	1580.2556
FAM120A	5169.9166	FAM120A	4570.091
FAM120B	607.4049	FAM120B	759.9653
FAM120C	305.537	FAM120C	465.338
FAM122A	435.6237	FAM122A	683.7088
FAM122B	1042.028	FAM122B	432.8423
FAM122C	31.3542	FAM122C	19.9307
FAM123B	240.8272	FAM123B	176.7764
FAM124A	33.3556	FAM124A	61.5251
FAM124B	28.3522	FAM124B	99.2201
FAM125A	609.4063	FAM125A	393.4142
FAM125B	404.9366	FAM125B	445.4073
FAM126A	253.8359	FAM126A	820.6239
FAM126B	480.3202	FAM126B	638.2149
FAM127A	847.8986	FAM127A	2909.8787
FAM127B	568.3789	FAM127B	767.331
FAM127C	173.7825	FAM127C	361.3518
FAM128A	425.2835	FAM128A	97.0537
FAM128B	1189.7932	FAM128B	447.1404
FAM129A	2641.7612	FAM129A	1372.617
FAM129B	3243.8292	FAM129B	894.2808
FAM131A	166.7779	FAM131A	252.1664
FAM131B	62.3749	FAM131B	9.5321
FAM131C	5.3369	removed	removed
removed	removed	FAM133A	6.4991
FAM133B	108.7392	FAM133B	83.6222
FAM134A	2914.2762	FAM134A	2192.3744
FAM134B	1049.0327	FAM134B	1606.5858
FAM134C	1531.6878	FAM134C	1973.5702
FAM135A	101.7345	FAM135A	223.1369
FAM135B	7.6718	FAM135B	5.1993
FAM136A	703.1354	FAM136A	515.5979
FAM13AOS	55.6171	FAM13AOS	51.5555
FAM13A	533.7759	FAM13A	4604.857
FAM13B	1157.485	FAM13B	892.9809
FAM13C	43.5524	FAM13C	304.6057
FAM149A	72.048	FAM149A	820.6239
FAM149B1	505.6704	FAM149B1	564.5581
removed	removed	FAM151A	16.4558
FAM151B	17.0113	FAM151B	23.8302
removed	removed	FAM153A	6.0659
FAM154B	242.8286	removed	removed
FAM155A	532.6885	FAM155A	49.8267
FAM155B	10.3402	removed	removed
FAM156A	601.4009	FAM156A	946.2738
FAM157A	16.0107	FAM157A	22.5303
FAM158A	86.0574	FAM158A	61.9584
FAM159A	8.0053	removed	removed
FAM160A1	159.4396	removed	removed
FAM160A2	786.8579	FAM160A2	501.2998
FAM160B1	889.9266	FAM160B1	1374.7834
FAM160B2	1323.549	FAM160B2	1146.8804
FAM161A	146.431	FAM161A	80.5893
FAM161B	283.8459	FAM161B	61.0919
FAM162A	784.523	FAM162A	816.7244
removed	removed	FAM162B	71.4905
FAM163A	5.0033	removed	removed
FAM164A	152.1014	FAM164A	192.8076
FAM164C	52.0347	FAM164C	21.2305
FAM165B	221.1474	FAM165B	248.2669
FAM166B	55.0367	FAM166B	317.591
FAM167A	134.0894	removed	removed
FAM167B	35.3569	FAM167B	61.5251
FAM168A	597.0647	FAM168A	148.6135
FAM168B	2559.3729	FAM168B	4459.7054
FAM169A	145.0967	FAM169A	19.0641
FAM171A1	230.1534	FAM171A1	1218.8042
FAM171A2	33.3556	FAM171A2	81.4558
FAM171B	626.0841	FAM171B	100.5199
FAM172A	511.0073	FAM172A	895.1473
FAM173A	137.0914	FAM173A	60.2253
FAM173B	266.8446	FAM173B	454.5061
FAM174A	457.3049	FAM174A	320.1906
FAM174B	1216.4777	FAM174B	93.1542
FAM175A	261.7812	FAM175A	231.4991
FAM175B	548.6991	FAM175B	584.4887
FAM176A	146.0974	FAM176A	13.4315
FAM176B	188.9026	FAM176B	67.9289
FAM177A1	657.1047	FAM177A1	868.7175
FAM178A	1261.8412	FAM178A	763.4315
removed	removed	FAM178B	60.2253
FAM179A	48.3656	FAM179A	6.4991
FAM179B	893.9293	FAM179B	537.2617
FAM180A	35.0233	FAM180A	58.0589
removed	removed	FAM180B	228.7695
FAM182B	52.7018	FAM182B	14.2981
FAM183A	108.072	removed	removed
FAM184A	18.6791	FAM184A	157.279
FAM184B	22.2849	removed	removed
FAM185A	116.0774	FAM185A	117.851
FAM186B	8.0053	FAM186B	6.4991
FAM188A	441.9613	FAM188A	714.4714
FAM188B	251.8346	FAM188B	124.3501
FAM189A1	14.0093	removed	removed
FAM189A2	222.1481	FAM189A2	117.851
FAM189B	744.8299	FAM189B	460.5719
FAM18A	13.4223	FAM18A	10.6282
FAM18B2	179.1194	FAM18B2	175.4766
FAM18B	493.996	FAM18B	672.8769
FAM190A	58.3722	FAM190A	18.1976
FAM190B	1020.3469	FAM190B	2153.3795
FAM192A	1005.6704	FAM192A	1136.9151
FAM193A	1048.3656	FAM193A	652.9463
FAM193B	1383.5891	FAM193B	500
FAM195A	308.2055	FAM195A	149.9133
FAM195B	741.8279	FAM195B	1219.6707
FAM196A	32.6885	removed	removed
removed	removed	FAM196B	14.2981
FAM198A	255.1701	FAM198A	101.3865
FAM198B	4231.8212	FAM198B	5539.4281
FAM199X	762.1748	FAM199X	477.0364
FAM19A2	13.6758	FAM19A2	16.0312
FAM19A5	37.0247	FAM19A5	30.3293
FAM200A	182.1214	FAM200A	149.9133
FAM200B	243.1621	FAM200B	569.3241
FAM20A	184.4563	FAM20A	200.6066
FAM20B	2758.8392	FAM20B	3303.7262
FAM20C	928.2855	FAM20C	871.3172
FAM21A	800.8672	FAM21A	856.1525
FAM21B	527.6851	FAM21B	582.7556
FAM21C	1624.4163	FAM21C	1500
FAM22A	22.6818	FAM22A	14.2981
FAM22D	58.7058	FAM22D	44.1941
FAM23A	6.004	FAM23A	12.565
FAM24B	25.2535	FAM24B	5.0347
FAM26E	124.4163	FAM26E	483.9688
FAM26F	59.0394	FAM26F	34.662
FAM27A	5.0033	removed	removed
FAM32A	1570.7138	FAM32A	1892.1144
FAM35A	693.7959	FAM35A	1421.5771
FAM35B2	76.7178	FAM35B2	107.4523
FAM35B	235.8239	FAM35B	448.8735
FAM36A	628.1221	FAM36A	672.3007
FAM38A	3213.8259	FAM38A	5125.8492
FAM38B	409.94	FAM38B	68.8908
FAM3A	401.6011	FAM3A	559.792
FAM3B	52.7018	FAM3B	15.5979
FAM3C	629.7532	FAM3C	774.6967
FAM40A	633.7558	FAM40A	670.2773
FAM40B	153.4356	FAM40B	10.8319
FAM41C	12.6751	FAM41C	22.9636
FAM43A	109.4063	FAM43A	202.773
FAM43B	13.3422	FAM43B	12.565
FAM45A	363.2422	FAM45A	687.175
FAM45B	171.4476	FAM45B	315.8579
FAM46A	343.8959	FAM46A	511.6984
FAM46B	302.2015	FAM46B	55.4593
FAM46C	470.9807	FAM46C	48.5269
FAM47E	189.2495	FAM47E	293.1239
FAM48A	1214.5897	FAM48A	608.6049
FAM49A	72.7151	FAM49A	301.1265
FAM49B	1634.4229	FAM49B	1614.3847
FAM50A	721.8145	FAM50A	1288.9948
FAM50B	89.0594	FAM50B	174.1768
FAM53A	24.6831	FAM53A	9.9653
FAM53B	1347.5584	FAM53B	999.2504
FAM53C	1169.7765	FAM53C	1012.1317
FAM54A	64.0427	FAM54A	7.799
FAM54B	587.5817	FAM54B	1504.7877
FAM55C	870.2468	FAM55C	438.4749
FAM57A	210.1401	FAM57A	136.4818
FAM57B	38.6925	removed	removed
FAM58A	198.7992	FAM58A	246.1005
FAM59A	743.1621	FAM59A	159.8787
FAM5B	23.3489	FAM5B	7.3657
FAM60A	1430.2869	FAM60A	155.1127
FAM63A	1314.2095	FAM63A	979.636
FAM63B	316.5444	FAM63B	277.7296
FAM64A	136.0907	removed	removed
FAM65A	1274.8499	FAM65A	1526.4298
FAM65B	106.7378	FAM65B	110.052
FAM65C	77.3849	FAM65C	102.253
FAM66C	20.0133	FAM66C	8.6655
FAM66D	5.3369	removed	removed
FAM69A	266.1775	FAM69A	1215.7712
FAM69B	184.95	FAM69B	254.2938
removed	removed	FAM69C	11.2652
FAM70A	62.7085	FAM70A	105.286
FAM70B	31.0207	FAM70B	28.5962
removed	removed	FAM71A	7.3657
FAM71D	29.0193	FAM71D	14.7314
FAM71E1	61.1574	FAM71E1	6.4991
FAM71F2	12.3416	FAM71F2	16.4645
FAM72A	30.3536	removed	removed
FAM72B	92.3949	FAM72B	19.9307
FAM72D	74.0494	FAM72D	6.0659
FAM73A	581.7211	FAM73A	674.1768
FAM73B	524.6831	FAM73B	475.7366
FAM76A	274.5163	FAM76A	464.4714
FAM76B	299.1995	FAM76B	219.6707
FAM78A	166.7779	FAM78A	123.0503
FAM78B	24.016	FAM78B	24.6967
removed	removed	FAM7A2	10.8319
FAM7A3	7.0047	FAM7A3	48.9601
FAM81A	72.3816	FAM81A	5.1993
FAM81B	198.7992	removed	removed
FAM82A1	60.3736	FAM82A1	175.9099
FAM82A2	1074.3829	FAM82A2	2474.87
FAM82B	515.01	FAM82B	1891.6811
FAM83A	6.3376	removed	removed
FAM83B	618.4123	removed	removed
FAM83D	487.6584	FAM83D	7.799
FAM83E	53.7025	removed	removed
FAM83F	107.4049	FAM83F	58.0589
FAM83G	119.9867	FAM83G	19.9307
FAM83H	2328.2188	FAM83H	86.2218
FAM84A	216.8112	removed	removed
FAM84B	1860.9073	FAM84B	405.1127
FAM86A	356.8746	FAM86A	250.1733
FAM86B1	84.056	FAM86B1	25.5633
FAM86C	125.4169	FAM86C	98.7868
FAM86D	139.0927	FAM86D	220.104
FAM89A	51.3676	FAM89A	2967.9376
FAM89B	751.501	FAM89B	781.6291
FAM8A1	716.8112	FAM8A1	1559.3588
FAM90A1	6.004	FAM90A1	12.9983
FAM91A1	1109.7398	FAM91A1	759.0988
FAM92A1	70.0467	FAM92A1	479.636
FAM92B	43.6958	removed	removed
FAM95B1	14.6765	FAM95B1	9.9653
FAM96A	655.1034	FAM96A	381.2825
FAM96B	339.8933	FAM96B	471.8371
FAM98A	750.5003	FAM98A	1798.0936
FAM98B	356.571	FAM98B	400.7799
FAM98C	238.4923	FAM98C	114.818
FANCA	274.7965	FANCA	14.2201
FANCB	56.7045	removed	removed
FANCC	405.9373	FANCC	139.0815
FANCD2	1067.0447	FANCD2	17.331
FANCE	132.0881	FANCE	201.9064
FANCF	421.948	FANCF	126.0832
FANCG	440.6271	FANCG	96.6205
FANCI	1674.1828	FANCI	82.617
FANCL	528.6791	FANCL	149.4584
FANCM	247.8319	FANCM	150.7799
FANK1	473.6491	FANK1	10.8319
FAP	1416.6111	FAP	328.4229
FAR1	1285.1901	FAR1	1299.3934
FAR2	233.6524	FAR2	98.7218
FARP1	3410.6071	FARP1	695.4073
FARP2	591.0607	FARP2	318.8908
FARS2	184.4563	FARS2	197.1404
FARSA	1066.3776	FARSA	598.7868
FARSB	883.2555	FARSB	1119.5841
FASLG	10.6738	removed	removed
FASN	8727.1514	FASN	131086.6551
FASTKD1	324.8833	FASTKD1	279.0295
FASTKD2	969.3129	FASTKD2	1040.7279
FASTKD3	240.4937	FASTKD3	129.5494
FASTKD5	414.6097	FASTKD5	352.6863
FASTK	993.6624	FASTK	1014.2981
FAS	323.8826	FAS	232.2357
FAT1	2044.0294	FAT1	5104.8527
FAT2	235.8239	FAT2	204.0728
FAT3	78.3856	FAT3	137.3484
FAT4	324.2161	FAT4	668.1109
FAU	3690.7939	FAU	3891.6811
FBF1	165.7071	FBF1	107.0191
FBLIM1	829.8866	FBLIM1	337.0884
FBLL1	50.7005	removed	removed
FBLN1	4313.8759	FBLN1	8374.7834
FBLN2	2754.1694	FBLN2	14544.1941
FBLN5	888.926	FBLN5	3941.9411
FBLN7	272.515	FBLN7	142.9809
FBL	2414.6097	FBL	1114.3847
FBN1	8046.6978	FBN1	16370.0173
FBN2	1022.0147	removed	removed
FBN3	13.0087	removed	removed
FBP1	1721.1474	FBP1	256.0659
FBRSL1	601.0674	FBRSL1	287.695
FBRS	2016.6778	FBRS	915.9445
FBXL12	366.2442	FBXL12	302.8596
FBXL13	29.0193	FBXL13	6.9324
FBXL14	937.6251	FBXL14	461.8718
FBXL15	93.3956	FBXL15	64.1248
FBXL16	273.1821	removed	removed
FBXL17	856.9046	FBXL17	1214.0381
FBXL18	357.9053	FBXL18	373.4835
FBXL19	671.4476	FBXL19	91.4211
FBXL20	159.1061	FBXL20	231.8024
FBXL22	41.4877	FBXL22	19.3501
FBXL2	392.5951	FBXL2	116.9844
FBXL3	1872.9153	FBXL3	1724.0035
FBXL4	207.8052	FBXL4	432.8423
FBXL5	1854.5697	FBXL5	8280.3293
FBXL6	423.6758	FBXL6	116.6075
FBXL7	1328.2188	FBXL7	769.9307
FBXL8	39.1394	FBXL8	30.2036
FBXO10	186.8045	FBXO10	303.7478
FBXO11	2051.7011	FBXO11	2549.3934
FBXO15	24.016	FBXO15	5.6326
FBXO16	103.0687	removed	removed
FBXO17	100.0667	FBXO17	458.4055
FBXO18	1636.7845	FBXO18	1947.2357
FBXO21	1845.8973	FBXO21	653.3795
FBXO22OS	41.8012	FBXO22OS	38.8562
FBXO22	417.505	FBXO22	330.7279
FBXO24	8.8893	removed	removed
FBXO25	477.9853	FBXO25	742.6343
FBXO27	42.6951	FBXO27	1036.3951
FBXO28	1727.8185	FBXO28	1042.0277
FBXO2	34.3562	FBXO2	6.0659
FBXO30	261.8412	FBXO30	450.6066
FBXO31	467.6451	FBXO31	949.3068
FBXO32	727.1514	FBXO32	340.9879
FBXO33	148.7658	FBXO33	519.0641
FBXO34	766.8446	FBXO34	460.5719
FBXO36	209.473	FBXO36	107.0191
FBXO38	1210.4736	FBXO38	831.4558
FBXO39	7.6718	removed	removed
FBXO3	630.0867	FBXO3	739.6014
removed	removed	FBXO40	11.6984
FBXO41	526.0173	FBXO41	18.1976
FBXO42	501.6678	FBXO42	643.4142
FBXO43	25.6838	removed	removed
FBXO44	220.4803	FBXO44	214.9047
FBXO45	657.1047	FBXO45	351.8198
FBXO46	663.4423	FBXO46	145.1473
FBXO48	29.0193	FBXO48	57.6256
FBXO4	204.8032	FBXO4	220.104
FBXO5	196.4643	FBXO5	56.7591
FBXO6	199.7999	FBXO6	275.13
FBXO7	1294.8632	FBXO7	2488.7348
FBXO8	286.4476	FBXO8	858.2452
FBXO9	640.7605	FBXO9	1533.3622
FBXW11	1512.008	FBXW11	1490.9012
FBXW12	5.6704	removed	removed
FBXW2	2300.8672	FBXW2	2602.6863
FBXW4	1374.9166	FBXW4	1665.9445
FBXW5	1149.433	FBXW5	2154.2461
FBXW7	346.8979	FBXW7	946.7071
FBXW8	718.479	FBXW8	325.8232
FBXW9	408.569	FBXW9	79.3631
FCER1A	55.0367	FCER1A	65.4246
FCER1G	444.6298	FCER1G	304.5927
removed	removed	FCER2	52.8596
FCF1	661.441	FCF1	963.6049
FCGBP	121.0807	FCGBP	41.5945
FCGR1A	92.7218	removed	removed
FCGR1B	92.0614	removed	removed
FCGR1C	38.0254	removed	removed
FCGR2A	751.1674	FCGR2A	391.6811
FCGR2B	378.2522	FCGR2B	411.6118
FCGR2C	124.4163	FCGR2C	86.2218
FCGR3A	1681.4543	FCGR3A	145.5806
FCGR3B	10.3402	FCGR3B	42.461
FCGRT	1593.062	FCGRT	3390.3813
FCHO1	87.058	FCHO1	7.3657
FCHO2	1075.05	FCHO2	803.7262
FCHSD1	445.8205	FCHSD1	83.0373
FCHSD2	916.6511	FCHSD2	949.1248
FCN1	39.6931	FCN1	65.4246
removed	removed	FCN2	36.8284
removed	removed	FCN3	145.5806
FCRL2	6.6711	removed	removed
FCRL3	17.6785	removed	removed
FCRL5	34.3562	removed	removed
FCRL6	15.01	removed	removed
FCRLA	8.6724	removed	removed
FCRLB	8.6724	FCRLB	11.2652
FDFT1	2093.7292	FDFT1	3768.1976
FDPS	1972.2148	FDPS	2064.87
FDX1L	164.4797	FDX1L	156.1308
FDX1	164.443	FDX1	535.0953
FDXACB1	125.4703	FDXACB1	55.9575
FDXR	216.4777	FDXR	61.0919
FECH	819.8799	FECH	765.1646
FEM1A	769.1795	FEM1A	715.7712
FEM1B	1752.8352	FEM1B	1705.8059
FEM1C	1234.8232	FEM1C	882.5823
FEN1	786.1908	FEN1	288.9948
FER1L4	24.6831	removed	removed
FERMT1	20.0133	FERMT1	14.2981
FERMT2	838.559	FERMT2	12559.792
FERMT3	421.6144	FERMT3	164.6447
FER	116.7445	FER	117.851
FES	153.4356	FES	431.1092
FEZ1	84.056	FEZ1	357.4523
FEZ2	819.5464	FEZ2	3168.1109
FFAR2	19.0127	FFAR2	71.9237
removed	removed	FFAR3	25.5633
FGD1	427.952	FGD1	155.5459
FGD2	131.7545	FGD2	121.3172
FGD3	459.3062	FGD3	38.1282
FGD4	439.96	FGD4	808.0589
FGD5	2881.9213	FGD5	1571.9237
FGD6	1816.8779	FGD6	147.747
FGF10	5.0033	FGF10	48.0936
FGF11	72.7151	FGF11	89.688
FGF12	12.008	FGF12	58.9255
FGF13	261.5077	FGF13	768.6308
FGF14	104.4029	FGF14	100.0867
FGF18	20.6805	FGF18	24.2634
FGF1	273.5157	FGF1	868.2842
FGF2	105.934	FGF2	4508.6525
FGF7	132.4216	FGF7	543.3276
removed	removed	FGF9	5.6326
removed	removed	FGFBP2	287.695
FGFBP3	14.6765	FGFBP3	27.2964
FGFR1OP2	513.0087	FGFR1OP2	525.5633
FGFR1OP	187.2215	FGFR1OP	117.4177
FGFR1	1805.8706	FGFR1	8307.1924
FGFR2	698.4656	FGFR2	228.7695
FGFR3	546.6978	FGFR3	64.5581
FGFR4	35.6905	removed	removed
FGFRL1	721.8145	FGFRL1	2267.331
FGGY	127.0847	FGGY	146.8804
FGL2	424.2829	FGL2	2157.279
FGR	215.8105	FGR	211.8718
FHAD1	153.5757	removed	removed
FHDC1	343.5624	FHDC1	43.7608
FHIT	57.7051	FHIT	48.9601
FHL1	610.7405	FHL1	53780.7626
FHL2	723.8159	FHL2	175.4766
FHL3	379.5864	FHL3	121.3172
FHL5	23.6825	FHL5	218.8042
FHOD1	456.9713	FHOD1	931.1092
FHOD3	361.2408	FHOD3	401.6464
FH	1539.026	FH	2252.1664
FIBCD1	16.3442	removed	removed
FIBIN	425.2835	FIBIN	375.2166
FIBP	1013.6758	FIBP	609.1854
FICD	45.3636	FICD	100.0867
FIG4	676.7845	FIG4	469.6707
FIGF	7.3382	FIGF	626.0832
FIGNL1	415.6104	FIGNL1	122.617
FIGNL2	11.6744	FIGNL2	32.4957
FIGN	9.6731	FIGN	165.5113
FILIP1L	1078.7191	FILIP1L	2264.2981
FILIP1	68.7125	FILIP1	143.8475
FIP1L1	745.3302	FIP1L1	538.1153
FIS1	1198.976	FIS1	1803.0069
FITM2	38.0254	FITM2	203.6395
FIZ1	512.008	FIZ1	227.4697
FJX1	103.4023	FJX1	9.0988
FKBP10	2100.0667	FKBP10	721.8371
FKBP11	247.8319	FKBP11	124.7834
FKBP14	251.501	FKBP14	283.7955
FKBP15	1095.1968	FKBP15	1140.3813
FKBP1AP1	13.3422	FKBP1AP1	15.1646
FKBP1A	3929.0494	FKBP1A	4895.2816
FKBP1B	20.3469	FKBP1B	25.9965
FKBP2	432.9553	FKBP2	545.9272
FKBP3	1084.056	FKBP3	1190.208
FKBP4	3763.8426	FKBP4	1214.9047
FKBP5	2389.9266	FKBP5	6975.7366
FKBP7	283.8559	FKBP7	269.9307
FKBP8	3220.4803	FKBP8	3886.9151
FKBP9L	49.6998	FKBP9L	110.9185
FKBP9	2798.1988	FKBP9	4919.844
FKBPL	123.4156	FKBPL	74.9567
FKRP	248.8326	FKRP	194.974
FKTN	859.573	FKTN	378.2496
FLAD1	1259.8399	FLAD1	838.8215
FLCN	555.0367	FLCN	663.7782
FLG	27.5484	FLG	46.2912
FLI1	345.2302	FLI1	1113.5182
FLII	2712.475	FLII	4143.8475
FLJ10038	240.0067	FLJ10038	337.2877
FLJ10213	51.034	FLJ10213	10.8319
FLJ10357	1473.9827	FLJ10357	4914.2114
FLJ10661	27.3516	removed	removed
FLJ11235	21.3476	FLJ11235	29.4627
FLJ12825	35.3569	removed	removed
FLJ13197	30.3903	FLJ13197	22.0971
FLJ16779	15.6771	removed	removed
FLJ22536	29.3529	FLJ22536	7.3657
FLJ23867	1228.8192	FLJ23867	106.5858
FLJ33630	684.7899	FLJ33630	462.305
removed	removed	FLJ35024	102.7123
FLJ35220	237.4917	FLJ35220	84.0555
FLJ35390	63.1688	FLJ35390	46.3865
FLJ35776	119.0794	FLJ35776	73.2236
FLJ36031	248.1654	FLJ36031	311.5251
removed	removed	FLJ36777	17.7643
FLJ37201	12.3416	removed	removed
FLJ37307	24.016	removed	removed
FLJ37453	50.7005	FLJ37453	61.5251
removed	removed	FLJ37543	22.0971
FLJ39582	25.2068	FLJ39582	90.195
