gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
ACOT13	635.5287	ACOT13	584.3311
ACOT1	703.1847	ACOT1	340.6466
ACOT2	429.2994	ACOT2	253.377
ACOT4	524.2038	ACOT4	77.1514
ACOT7	210.828	ACOT7	422.857
ACOT8	361.6051	ACOT8	241.9054
ACOT9	289.172	ACOT9	352.0295
ACOX1	1596.8153	ACOX1	1361.0095
ACOX2	242.0382	ACOX2	260.9656
ACOX3	1128.0255	ACOX3	494.9493
ACP1	1925.4777	ACP1	1198.5868
ACP2	1383.4395	ACP2	629.4373
ACP5	886.6242	ACP5	519.8233
ACP6	317.1975	ACP6	254.6417
ACPL2	740.7643	ACPL2	468.389
ACPP	15.9236	ACPP	36.2569
ACRBP	8.9172	ACRBP	10.9614
ACRC	28.6624	ACRC	34.5706
ACSBG1	5.7325	ACSBG1	21.9228
removed	removed	ACSBG2	10.9614
ACSF2	1198.7261	ACSF2	912.7473
ACSF3	210.828	ACSF3	409.3661
ACSL1	5776.4331	ACSL1	2317.0711
ACSL3	4407.6433	ACSL3	2435.9601
ACSL4	771.3376	ACSL4	1497.9173
ACSL5	737.5796	ACSL5	638.2907
ACSM1	124.2038	ACSM1	37.9433
ACSM3	37.8153	ACSM3	145.1837
ACSM5	88.535	ACSM5	61.5525
ACSS1	1576.4331	ACSS1	1033.3227
ACSS2	1296.1783	ACSS2	1484.0048
ACSS3	189.8089	ACSS3	175.804
ACTA1	65.6051	removed	removed
ACTA2	15353.8344	ACTA2	57810.1654
removed	removed	ACTBL2	11.8046
ACTB	105068.1529	ACTB	106142.1778
ACTG1	71900.6369	ACTG1	76989.9155
ACTG2	2155.414	ACTG2	16617.9025
ACTL6A	1230.5732	ACTL6A	983.1532
ACTN1	6451.5924	ACTN1	17408.388
ACTN2	17.8344	removed	removed
ACTN4	9265.3185	ACTN4	17188.7342
ACTR10	1024.8408	ACTR10	1088.9728
ACTR1A	2489.8089	ACTR1A	2214.6242
ACTR1B	1227.3885	ACTR1B	1381.1363
ACTR2	6582.8025	ACTR2	3906.0524
ACTR3B	371.9745	ACTR3B	178.7551
ACTR3C	36.3057	ACTR3C	23.1876
ACTR3	4413.3758	ACTR3	3123.9987
ACTR5	192.9936	ACTR5	225.9735
ACTR6	612.1019	ACTR6	602.4554
ACTR8	392.3567	ACTR8	407.2581
ACVR1B	1429.2994	ACVR1B	1043.4409
ACVR1C	304.4586	ACVR1C	192.6677
ACVR1	838.8535	ACVR1	1207.4403
ACVR2A	419.1083	ACVR2A	715.8637
ACVR2B	466.879	ACVR2B	676.6556
ACVRL1	478.9809	ACVRL1	283.31
ACY1	785.3503	ACY1	458.6924
ACY3	26.7516	ACY3	39.2081
ACYP1	122.9299	ACYP1	93.1719
ACYP2	239.4904	ACYP2	185.9222
removed	removed	ADAD2	8.7565
ADAL	147.7707	ADAL	175.3824
ADAM10	1148.4076	ADAM10	1645.053
removed	removed	ADAM11	17.2853
ADAM12	1589.8089	ADAM12	63.2388
ADAM15	4397.1592	ADAM15	1993.7098
ADAM17	523.5669	ADAM17	819.5754
ADAM19	156.6879	ADAM19	69.9843
ADAM21	24.8408	removed	removed
ADAM22	29.9363	ADAM22	30.7762
ADAM23	7.0064	ADAM23	29.0899
ADAM28	35.0318	ADAM28	43.0024
ADAM32	15.2866	ADAM32	13.9125
ADAM33	82.1656	ADAM33	68.7195
ADAM6	52890.1847	ADAM6	8944.3583
ADAM8	192.9936	ADAM8	70.4059
ADAM9	411.465	ADAM9	1130.2889
ADAMDEC1	8.2803	removed	removed
ADAMTS10	115.2866	ADAMTS10	63.2388
ADAMTS12	63.6943	ADAMTS12	25.2955
ADAMTS13	34.3949	ADAMTS13	65.7684
ADAMTS14	42.6752	removed	removed
ADAMTS15	75.7962	ADAMTS15	191.4029
ADAMTS16	323.5669	ADAMTS16	32.8842
ADAMTS17	78.3439	ADAMTS17	32.041
ADAMTS18	71.9745	ADAMTS18	16.8637
ADAMTS1	1170.0637	ADAMTS1	3248.3684
ADAMTS2	207.6433	ADAMTS2	302.7032
ADAMTS3	29.2994	ADAMTS3	68.7195
ADAMTS4	438.8535	ADAMTS4	68.2979
ADAMTS5	805.7325	ADAMTS5	2381.9963
ADAMTS6	65.6051	ADAMTS6	6.3239
ADAMTS7	64.3312	ADAMTS7	23.1876
ADAMTS8	12.7389	ADAMTS8	47.6399
removed	removed	ADAMTS9	474.7129
ADAMTSL1	74.5223	ADAMTSL1	130.272
ADAMTSL2	249.0446	ADAMTSL2	34.149
ADAMTSL3	85.9873	ADAMTSL3	44.6888
ADAMTSL4	125.4777	ADAMTSL4	200.6779
ADAMTSL5	85.9873	ADAMTSL5	25.2955
ADAP1	149.6051	ADAP1	142.9198
ADAP2	117.1975	ADAP2	120.997
ADARB1	615.9236	ADARB1	903.4722
ADAR	6149.0446	ADAR	6317.9818
ADAT1	101.9108	ADAT1	154.7244
ADAT2	75.7962	ADAT2	174.9608
ADAT3	84.7134	ADAT3	41.316
ADA	88.535	ADA	55.2286
ADCK1	115.2866	ADCK1	147.1357
ADCK2	859.2357	ADCK2	821.6833
ADCK4	561.1465	ADCK4	545.5404
ADCK5	112.7389	ADCK5	81.7889
removed	removed	ADCY10	6.7455
ADCY1	180.2548	ADCY1	285.418
ADCY2	359.8726	ADCY2	46.3751
ADCY3	442.0637	ADCY3	1118.9143
ADCY4	143.3121	ADCY4	172.0096
ADCY5	114.0127	ADCY5	382.8058
ADCY6	1332.4841	ADCY6	1664.4463
ADCY7	264.3312	ADCY7	270.6622
ADCY9	556.051	ADCY9	1047.2352
ADCYAP1	5.0955	removed	removed
ADC	212.7389	ADC	143.763
ADD1	3984.0764	ADD1	6054.9082
ADD2	24.2038	ADD2	39.2081
ADD3	1169.4268	ADD3	1522.3697
ADH1A	112.1019	ADH1A	50.1695
ADH1B	7784.7134	ADH1B	5005.1434
ADH1C	50.9554	ADH1C	131.1152
ADH5	2201.9108	ADH5	3220.9649
removed	removed	ADH7	98.6526
ADHFE1	102.5478	ADHFE1	201.9427
ADI1	1108.2803	ADI1	1700.7032
ADIPOQ	8485.3503	ADIPOQ	3155.1965
ADIPOR1	4942.0382	ADIPOR1	2126.933
ADIPOR2	2133.758	ADIPOR2	1777.8546
ADK	442.0382	ADK	394.6104
ADM2	242.6752	ADM2	86.848
ADM	173.2484	ADM	132.38
ADNP2	610.828	ADNP2	711.6478
ADNP	2667.5159	ADNP	2949.0379
ADORA1	207.0064	ADORA1	435.5048
ADORA2A	347.7452	ADORA2A	55.6502
ADORA2B	35.0318	ADORA2B	155.9891
ADORA3	112.1019	ADORA3	92.3287
ADO	787.8981	ADO	928.3462
ADPGK	1048.4076	ADPGK	710.8046
ADPRHL1	136.3057	ADPRHL1	30.3546
ADPRHL2	840.1274	ADPRHL2	640.3987
ADPRH	220.3822	ADPRH	461.2219
ADRA1A	6.3694	ADRA1A	5.4807
ADRA1B	14.6497	removed	removed
removed	removed	ADRA1D	10.1182
ADRA2A	390.4459	ADRA2A	695.2057
ADRA2B	14.6497	ADRA2B	39.2081
ADRA2C	15.9236	ADRA2C	39.6297
ADRB1	31.8471	ADRB1	34.5706
ADRB2	75.1592	ADRB2	170.3233
ADRB3	11.465	removed	removed
ADRBK1	1514.6497	ADRBK1	1500.8685
ADRBK2	725.4777	ADRBK2	1083.9137
ADRM1	1412.1019	ADRM1	1204.4891
ADSL	755.414	ADSL	961.652
ADSSL1	166.879	ADSSL1	124.3697
ADSS	1889.8089	ADSS	1225.5687
AEBP1	14505.7325	AEBP1	2804.0102
AEBP2	728.6624	AEBP2	916.12
AEN	432.4841	AEN	477.664
AES	11283.4395	AES	7189.8346
AFAP1L1	228.6624	AFAP1L1	182.1279
AFAP1L2	477.0701	AFAP1L2	1830.5536
AFAP1	1245.2038	AFAP1	1248.3221
AFF1	1969.4268	AFF1	1730.2147
AFF2	47.1338	AFF2	24.4524
AFF3	526.7516	AFF3	1212.4994
AFF4	2733.758	AFF4	2895.4957
AFG3L1	154.7771	AFG3L1	254.6417
AFG3L2	951.6561	AFG3L2	1199.8727
AFMID	1021.0191	AFMID	560.2961
removed	removed	AFP	199.8347
AFTPH	2404.4586	AFTPH	1648.4258
AG2	488.535	AG2	113.4083
AGAP11	13.3758	AGAP11	68.7238
AGAP1	476.4331	AGAP1	403.4638
AGAP2	57.5732	AGAP2	59.9378
AGAP3	1233.758	AGAP3	2024.9077
AGAP4	201.2739	AGAP4	227.6598
AGAP5	43.3121	AGAP5	41.1643
AGAP6	133.121	AGAP6	108.3492
AGAP7	22.9299	AGAP7	13.491
AGAP8	45.8599	AGAP8	33.3058
AGA	485.9873	AGA	392.0808
AGBL2	36.9427	AGBL2	13.491
AGBL4	12.1019	AGBL4	16.0205
AGBL5	512.1529	AGBL5	850.8069
AGER	25.4777	AGER	32.8842
AGFG1	1503.8217	AGFG1	1287.1212
AGFG2	485.3503	AGFG2	538.7949
AGGF1	771.9745	AGGF1	827.5856
AGK	657.9618	AGK	608.3576
AGL	984.0764	AGL	781.6321
AGMAT	15.9236	AGMAT	6.3239
AGPAT1	1527.8217	AGPAT1	1992.8119
AGPAT2	2603.8217	AGPAT2	978.0941
AGPAT3	2006.3694	AGPAT3	1703.2328
AGPAT4	156.051	AGPAT4	406.4149
AGPAT5	583.4395	AGPAT5	683.4011
AGPAT6	1533.758	AGPAT6	1614.6984
AGPAT9	91.7197	AGPAT9	116.7811
AGPHD1	65.6051	AGPHD1	56.915
AGPS	569.4268	AGPS	1034.1658
AGR2	7988.535	AGR2	1981.9053
AGR3	3509.5541	AGR3	318.7238
AGRN	3952.8662	AGRN	6453.3129
AGTPBP1	156.6879	AGTPBP1	253.377
AGTR1	137.5796	AGTR1	117.2027
AGTRAP	1443.3121	AGTRAP	666.5374
AGT	115.9236	AGT	8.4318
removed	removed	AGXT2L1	6.3239
AGXT2L2	513.3121	AGXT2L2	369.9346
AHCTF1	1562.4204	AHCTF1	1252.129
AHCYL1	3241.4013	AHCYL1	3329.3142
AHCYL2	785.9873	AHCYL2	442.2503
AHCY	5414.6497	AHCY	3259.3298
AHDC1	849.6815	AHDC1	1993.2883
AHI1	173.2484	AHI1	311.1351
AHNAK2	524.8408	AHNAK2	461.6435
AHNAK	30665.6051	AHNAK	69510.8686
AHRR	15.9236	AHRR	18.1285
AHR	2356.6879	AHR	2830.9921
AHSA1	2150.3185	AHSA1	2113.442
AHSA2	377.0701	AHSA2	360.883
AIDA	1729.9363	AIDA	1172.0265
AIF1L	937.5796	AIF1L	2371.0349
AIF1	352.8662	AIF1	365.0989
AIFM1	882.8025	AIFM1	617.6327
AIFM2	515.9236	AIFM2	414.4252
AIFM3	38.7197	AIFM3	10.1182
AIG1	677.0701	AIG1	929.611
AIM1L	17.1975	removed	removed
AIM1	810.828	AIM1	4165.7532
AIM2	10.1911	AIM2	5.4807
AIMP1	1364.3567	AIMP1	1129.4457
AIMP2	357.2038	AIMP2	291.2486
AIP	1108.2803	AIP	955.3281
AJAP1	7.0064	AJAP1	31.1978
AK1	617.1975	AK1	602.8769
AK2	3065.6051	AK2	2227.6936
AK3L1	363.6943	AK3L1	404.307
AK3	1375.1592	AK3	1645.053
AK5	965.6051	AK5	2573.8208
AK7	8.9172	AK7	28.2467
AKAP10	212.7389	AKAP10	332.6363
AKAP11	1224.2038	AKAP11	1559.4698
AKAP12	826.7516	AKAP12	732.7274
AKAP13	2041.4013	AKAP13	3257.2219
AKAP1	1529.2994	AKAP1	3236.5639
AKAP2	585.0637	AKAP2	1716.1714
AKAP3	16.5605	AKAP3	58.1797
AKAP5	746.4968	AKAP5	94.0151
AKAP6	59.2357	AKAP6	386.6001
AKAP7	80.2548	AKAP7	207.845
AKAP8L	880.8917	AKAP8L	847.8221
AKAP8	607.0064	AKAP8	693.5193
AKAP9	1634.3949	AKAP9	2047.6737
AKD1	110.828	AKD1	90.6423
AKIRIN1	833.758	AKIRIN1	1039.6465
AKIRIN2	593.6306	AKIRIN2	894.6188
AKNA	672.6115	AKNA	726.8251
AKR1A1	2795.5414	AKR1A1	1825.9161
AKR1B10	36.3057	AKR1B10	729.7762
AKR1B15	8.2803	removed	removed
AKR1B1	623.5669	AKR1B1	1116.7979
AKR1C1	554.1401	AKR1C1	2030.3884
AKR1C2	738.8535	AKR1C2	620.5838
AKR1C3	651.5924	AKR1C3	911.4825
AKR1E2	20.3822	AKR1E2	19.8148
AKR7A2	1008.9172	AKR7A2	1153.898
AKR7A3	263.0573	AKR7A3	167.7937
AKR7L	22.293	AKR7L	13.0694
AKT1S1	1033.758	AKT1S1	809.4572
AKT1	4250.3185	AKT1	3281.6742
AKT2	1840.1274	AKT2	1935.9517
AKT3	424.2038	AKT3	979.7804
AKTIP	557.8025	AKTIP	614.437
ALAD	2614.0127	ALAD	1663.6031
ALAS1	826.7516	ALAS1	1004.6544
ALB	63.6943	ALB	1452.3854
ALCAM	6445.2229	ALCAM	4033.7948
ALDH16A1	450.9554	ALDH16A1	581.7973
ALDH18A1	2357.3248	ALDH18A1	1733.5874
ALDH1A1	1386.6242	ALDH1A1	951.1122
ALDH1A2	98.0892	ALDH1A2	191.4029
ALDH1A3	494.8153	ALDH1A3	2285.2114
ALDH1B1	758.5987	ALDH1B1	496.2141
removed	removed	ALDH1L1	279.0941
ALDH1L2	311.465	ALDH1L2	122.2618
ALDH2	8488.535	ALDH2	2604.1754
ALDH3A1	13.3758	ALDH3A1	827.164
ALDH3A2	1081.5287	ALDH3A2	3084.369
ALDH3B1	99.3631	ALDH3B1	202.3643
ALDH3B2	2193.6306	ALDH3B2	1825.9161
