gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
COPZ1	5489.172	COPZ1	3746.6905
COPZ2	438.8535	COPZ2	245.3667
COQ10A	124.8408	COQ10A	159.3619
COQ10B	729.2994	COQ10B	397.1399
COQ2	173.2484	COQ2	166.1074
COQ3	138.2166	COQ3	134.9095
COQ4	1147.1338	COQ4	773.6218
COQ5	719.1083	COQ5	642.085
COQ6	471.9936	COQ6	323.5889
COQ7	456.6879	COQ7	410.2093
COQ9	543.3121	COQ9	745.3751
CORIN	71.9745	CORIN	11.383
CORO1A	466.879	CORO1A	536.2654
CORO1B	2038.2166	CORO1B	1473.465
CORO1C	1558.5987	CORO1C	2433.4306
CORO2A	1339.4904	CORO2A	444.3583
CORO2B	147.1338	CORO2B	263.9168
CORO6	199.3631	CORO6	10.1182
CORO7	261.2357	CORO7	253.8786
CORT	7.4968	CORT	8.8534
COTL1	1360.5096	COTL1	908.1097
COX10	215.9236	COX10	295.1146
COX11	838.2102	COX11	647.3802
COX15	1325.0955	COX15	1180.4668
COX16	1478.9809	COX16	731.8842
COX17	1097.4522	COX17	396.2967
COX18	472.6115	COX18	259.2792
COX19	200.7134	COX19	319.5669
COX4I1	5406.3694	COX4I1	5557.0077
COX4I2	59.8726	COX4I2	51.4343
COX4NB	331.2102	COX4NB	394.6104
COX5A	1721.6561	COX5A	1025.3124
COX5B	3473.8854	COX5B	1802.7285
COX6A1	3750.9554	COX6A1	1610.4825
COX6B1	3915.2866	COX6B1	2265.6369
removed	removed	COX6B2	54.3854
COX6C	9558.5987	COX6C	1439.316
COX7A1	524.2038	COX7A1	406.8365
COX7A2L	2450.9554	COX7A2L	2290.9324
COX7A2	1380.2548	COX7A2	1006.3407
COX7B	2097.4522	COX7B	1074.2171
COX7C	5826.7516	COX7C	3267.3401
COX8A	2408.2803	COX8A	1471.7786
CP110	491.0828	CP110	646.7225
CPA1	10.828	CPA1	11.383
CPA3	155.414	CPA3	8.4318
CPA4	86.6242	CPA4	75.8866
CPA6	5.0955	removed	removed
CPAMD8	157.3248	CPAMD8	680.8715
CPB1	1608.9172	CPB1	109.614
CPD	5025.4777	CPD	2489.9239
removed	removed	CPEB1	32.8842
CPEB2	1214.6497	CPEB2	502.1164
CPEB3	273.8854	CPEB3	177.9119
CPEB4	922.9299	CPEB4	670.7533
CPE	2673.2484	CPE	1452.807
CPLX1	174.5223	CPLX1	144.6061
removed	removed	CPLX3	13.9125
CPM	642.0382	CPM	431.7105
CPNE1	1158.3758	CPNE1	1287.3278
CPNE2	412.7389	CPNE2	597.3962
CPNE3	3259.2357	CPNE3	2871.8865
CPNE5	45.8599	CPNE5	62.3957
CPNE7	60.5096	CPNE7	16.0205
CPNE8	163.0573	CPNE8	226.8166
CPOX	223.5669	CPOX	295.1146
CPPED1	356.6879	CPPED1	376.9035
CPS1	97.4522	CPS1	339.3818
CPSF1	896.8153	CPSF1	1331.3884
CPSF2	1026.7516	CPSF2	910.2177
CPSF3L	1316.5605	CPSF3L	1377.3419
CPSF3	712.1019	CPSF3	667.3806
CPSF4	414.0127	CPSF4	486.5175
CPSF6	1580.2548	CPSF6	1662.3383
CPSF7	2071.3376	CPSF7	2181.74
CPT1A	1898.7261	CPT1A	1648.0042
CPT1B	349.8726	CPT1B	212.571
CPT1C	26.1146	CPT1C	37.5217
CPT2	514.6497	CPT2	521.9312
CPVL	196.1783	CPVL	221.3359
CPXM1	508.9172	CPXM1	164.8426
CPXM2	585.3503	CPXM2	500.0084
CPZ	259.8726	CPZ	22.3444
CP	49.7452	CP	384.3825
CR1	15.9236	CR1	55.2286
CR2	37.5796	CR2	8.0103
CRABP1	228.0255	CRABP1	1005.4976
CRABP2	20177.0701	CRABP2	6484.9323
CRADD	100	CRADD	181.7063
CRAMP1L	489.8153	CRAMP1L	898.5059
CRAT	1325.4777	CRAT	634.918
CRB1	5.0955	removed	removed
CRB2	13.3758	CRB2	186.7654
CRB3	304.4586	CRB3	141.655
CRBN	915.8025	CRBN	845.7141
CRCP	773.2484	CRCP	702.3727
CREB1	1373.8854	CREB1	1362.5862
CREB3L1	6547.1338	CREB3L1	115.9379
CREB3L2	3096.8153	CREB3L2	2959.5777
CREB3L4	2843.3121	CREB3L4	977.6725
CREB3	1349.7325	CREB3	1175.3992
CREB5	143.949	CREB5	411.4741
CREBBP	2263.6943	CREBBP	3470.9692
CREBL2	2519.1083	CREBL2	2448.1863
CREBZF	1217.8344	CREBZF	1126.073
CREG1	4036.9427	CREG1	3121.4692
CRELD1	752.2293	CRELD1	528.6767
CRELD2	633.758	CRELD2	400.0911
CREM	385.3503	CREM	294.693
CRHBP	13.3758	CRHBP	20.658
CRHR1	26.5924	CRHR1	103.0034
CRIM1	4362.4204	CRIM1	8743.8237
CRIP1	7405.0955	CRIP1	589.386
CRIP2	4168.7898	CRIP2	3818.7828
removed	removed	CRIP3	13.491
CRIPAK	190.4459	CRIPAK	254.6417
CRIPT	518.4713	CRIPT	570.8359
CRISP3	78.3439	CRISP3	86.848
CRISPLD1	915.9236	CRISPLD1	2161.5036
CRISPLD2	3384.7134	CRISPLD2	478.9288
CRKL	2242.6752	CRKL	2527.4457
CRK	835.6688	CRK	1091.924
CRLF1	35.0318	CRLF1	17.7069
CRLF3	386.6242	CRLF3	386.6001
CRLS1	1192.3567	CRLS1	784.5832
CRMP1	146.8599	CRMP1	137.2957
CRNKL1	1292.3567	CRNKL1	1042.1761
CROCCL1	191.9299	CROCCL1	260.2489
CROCCL2	68.1529	CROCCL2	81.3673
CROCC	519.7452	CROCC	581.7973
CROT	631.8471	CROT	588.9644
CRTAC1	94.2675	CRTAC1	227.6598
CRTAM	17.1975	CRTAM	7.5887
CRTAP	4592.9936	CRTAP	4933.8943
CRTC1	318.4713	CRTC1	496.6357
CRTC2	1110.828	CRTC2	909.3745
CRTC3	1404.4586	CRTC3	1199.0084
CRY1	475.1592	CRY1	641.2418
CRY2	1242.6752	CRY2	1348.2521
CRYAB	3264.3312	CRYAB	9204.624
CRYBG3	441.0828	CRYBG3	511.2734
CRYGS	17.6178	CRYGS	19.8148
CRYL1	266.242	CRYL1	358.775
CRYM	56.6879	removed	removed
CRYZL1	435.0955	CRYZL1	390.0614
CRYZ	817.5605	CRYZ	734.5908
CSAD	871.3376	CSAD	534.1574
CSDAP1	36.3057	CSDAP1	110.0356
CSDA	2536.9427	CSDA	5381.2037
CSDC2	84.0764	CSDC2	32.041
CSDE1	13865.6051	CSDE1	17258.7227
CSE1L	2291.0828	CSE1L	2321.7086
CSF1R	410.828	CSF1R	658.5271
CSF1	408.2803	CSF1	847.8221
CSF2RA	74.5223	CSF2RA	77.573
CSF2RB	136.9427	CSF2RB	101.1821
CSF3R	189.172	CSF3R	100.339
CSGALNACT1	342.0382	CSGALNACT1	368.4716
CSGALNACT2	562.4204	CSGALNACT2	467.1242
CSK	939.4904	CSK	1067.4716
removed	removed	CSMD1	31.1978
CSMD2	5.0955	CSMD2	15.5989
removed	removed	CSN2	7.5887
removed	removed	CSN3	35.4138
removed	removed	CSNK1A1L	5.9023
CSNK1A1	7600.6369	CSNK1A1	6438.1356
CSNK1D	2431.8471	CSNK1D	3158.9909
CSNK1E	1511.9936	CSNK1E	2070.018
CSNK1G1	639.4904	CSNK1G1	606.6713
CSNK1G2	805.7325	CSNK1G2	1018.1453
CSNK1G3	749.6815	CSNK1G3	791.3287
CSNK2A1P	234.3949	CSNK2A1P	336.4306
CSNK2A1	1136.9427	CSNK2A1	1159.8003
CSNK2A2	438.2166	CSNK2A2	767.2979
CSNK2B	3165.6051	CSNK2B	2438.0681
CSPG4	528.0255	CSPG4	449.4174
CSPG5	9.5541	CSPG5	9.275
CSPP1	159.8726	CSPP1	240.4509
CSRNP1	1087.8981	CSRNP1	1403.0591
CSRNP2	1276.4331	CSRNP2	788.7991
CSRNP3	19.7452	CSRNP3	40.8945
CSRP1	8512.1019	CSRP1	40812.2397
CSRP2BP	679.6178	CSRP2BP	720.5012
CSRP2	373.2484	CSRP2	693.9409
CSRP3	5.0955	removed	removed
CST1	5214.6497	removed	removed
CST2	136.3057	removed	removed
CST3	5878.9809	CST3	4489.5361
CST4	364.9682	removed	removed
CST6	28.6624	CST6	45.9536
CST7	68.1529	CST7	58.6013
CST9	13.3758	CST9	34.9922
CSTA	123.5669	CSTA	221.3359
CSTB	2915.2866	CSTB	2289.6676
CSTF1	581.5287	CSTF1	615.5247
CSTF2T	1368.1529	CSTF2T	1293.0235
CSTF2	218.4713	CSTF2	279.0941
CSTF3	626.7516	CSTF3	513.0778
CS	2940.7643	CS	3417.0053
CT62	26.7516	CT62	31.6194
CTAGE4	73.8854	CTAGE4	65.3468
CTAGE5	851.6943	CTAGE5	815.3763
removed	removed	CTAGE6	13.491
CTAGE9	157.9618	CTAGE9	162.313
CTBP1	2575.9745	CTBP1	2159.5642
CTBP2	2639.4904	CTBP2	2148.0126
CTBS	957.8981	CTBS	420.9177
CTCFL	5.8662	CTCFL	8.4909
CTCF	1484.7134	CTCF	1882.4095
CTDP1	331.2102	CTDP1	471.3402
CTDSP1	4586.6242	CTDSP1	4140.0361
CTDSP2	4639.4904	CTDSP2	8640.112
CTDSPL2	540.1274	CTDSPL2	670.3317
CTDSPL	1647.1338	CTDSPL	2532.0832
CTF1	171.9745	CTF1	375.2171
CTGF	5016.5605	CTGF	3949.4764
CTHRC1	1477.707	CTHRC1	25.2955
CTH	68.1529	CTH	56.4934
CTLA4	7.6433	removed	removed
CTNNA1	10184.0764	CTNNA1	9995.5311
removed	removed	CTNNA3	5.4807
CTNNAL1	504.4586	CTNNAL1	931.7189
CTNNB1	12211.758	CTNNB1	16130.213
CTNNBIP1	987.2611	CTNNBIP1	904.737
CTNNBL1	721.6561	CTNNBL1	1176.664
CTNND1	8849.0446	CTNND1	9948.7344
CTNND2	150.3185	CTNND2	126.8993
CTNS	206.3439	CTNS	459.9445
CTPS2	657.9618	CTPS2	701.9511
CTPS	203.8217	CTPS	365.0989
CTR9	1574.5223	CTR9	1685.5259
CTSA	1829.1847	CTSA	1231.2265
CTSB	13900.6369	CTSB	9353.8677
CTSC	724.2038	CTSC	1062.8341
CTSD	16391.7197	CTSD	9392.6542
CTSF	1615.2866	CTSF	2130.3057
CTSG	7.6433	CTSG	11.383
CTSH	3150.3185	CTSH	1418.658
CTSK	3124.2038	CTSK	581.7973
CTSL1	1093.6306	CTSL1	1033.7442
CTSL2	14.6497	CTSL2	185.5006
CTSO	1324.8408	CTSO	1194.7925
CTSS	1200	CTSS	1061.9909
CTSW	23.5669	CTSW	10.1182
CTSZ	3382.8025	CTSZ	4189.784
CTTNBP2NL	730.5732	CTTNBP2NL	879.0199
CTTNBP2	68.7898	CTTNBP2	178.7551
CTTN	2800.6369	CTTN	3292.6356
CTU1	78.3439	CTU1	61.5525
CTU2	161.9045	CTU2	257.673
CTXN1	263.6943	CTXN1	94.8583
CTXN3	5.7325	CTXN3	5.9023
CUBN	45.2229	CUBN	45.9536
CUEDC1	132.4841	CUEDC1	266.8679
CUEDC2	863.6943	CUEDC2	873.9608
CUL1	1333.121	CUL1	1656.0144
CUL2	700.6369	CUL2	643.3498
CUL3	2167.5159	CUL3	1972.6302
CUL4A	1929.9363	CUL4A	1474.3082
CUL4B	1905.0955	CUL4B	2504.6797
CUL5	842.0382	CUL5	901.7859
CUL7	742.6242	CUL7	1261.8046
CUL9	430.5732	CUL9	757.6013
CUTA	2951.5924	CUTA	2353.328
CUTC	247.3822	CUTC	292.2604
CUX1	707.0064	CUX1	987.3691
removed	removed	CUX2	59.0229
CUZD1	13.5541	CUZD1	34.9584
CWC15	1175.1592	CWC15	787.1128
CWC22	619.7452	CWC22	742.424
CWC25	345.2229	CWC25	502.9596
CWC27	384.7134	CWC27	495.3709
CWF19L1	402.5478	CWF19L1	484.4095
CWF19L2	601.9108	CWF19L2	825.8993
CX3CL1	3185.9873	CX3CL1	12444.9822
CX3CR1	423.5669	CX3CR1	705.3239
CXADRP3	38.2166	removed	removed
CXADR	71.9745	CXADR	170.3233
CXCL10	58.5987	CXCL10	29.9331
CXCL11	25.4777	CXCL11	10.9614
CXCL12	3092.9936	CXCL12	2107.9613
CXCL13	96.1783	CXCL13	7.1671
CXCL14	32231.2102	CXCL14	13084.1161
CXCL16	1299.3631	CXCL16	2717.5838
CXCL17	62.4204	CXCL17	251.269
CXCL1	5.7325	CXCL1	17.2853
CXCL2	131.8471	CXCL2	250.8474
CXCL3	18.4713	CXCL3	24.4524
CXCL5	38.2166	CXCL5	18.5501
removed	removed	CXCL6	7.1671
CXCL9	381.5287	CXCL9	199.4131
CXCR2	10.828	CXCR2	20.2364
CXCR3	44.586	CXCR3	64.5036
CXCR4	1185.9873	CXCR4	698.5784
CXCR5	24.8662	removed	removed
CXCR6	31.2102	CXCR6	88.956
CXCR7	322.9299	CXCR7	277.4077
CXXC1	578.3439	CXXC1	858.7835
CXXC4	17.8344	CXXC4	7.1671
CXXC5	627.3885	CXXC5	637.8691
CXorf21	35.0318	CXorf21	20.2364
CXorf23	192.9936	CXorf23	242.4156
CXorf26	641.4013	CXorf26	522.7744
CXorf36	618.4713	CXorf36	694.3625
CXorf38	128.0255	CXorf38	134.4879
CXorf40A	862.4204	CXorf40A	419.0627
CXorf40B	459.8726	CXorf40B	438.456
CXorf42	33.758	CXorf42	32.8842
removed	removed	CXorf50B	7.5887
CXorf56	140.7643	CXorf56	258.0145
CXorf57	14.6497	CXorf57	86.848
CYB561D1	296.1783	CYB561D1	482.3016
CYB561D2	839.8408	CYB561D2	212.5162
CYB561	3661.7834	CYB561	2216.3106
CYB5A	4229.9363	CYB5A	1345.3009
CYB5B	1456.6879	CYB5B	1480.6321
CYB5D1	886.6242	CYB5D1	834.3311
CYB5D2	798.0892	CYB5D2	600.769
CYB5R1	2291.7197	CYB5R1	1492.8582
CYB5R2	229.2994	CYB5R2	322.9397
CYB5R3	3766.879	CYB5R3	4110.5246
CYB5R4	203.8217	CYB5R4	182.1279
CYB5RL	33.758	CYB5RL	51.4343
CYBASC3	753.5032	CYBASC3	915.2768
CYBA	908.9172	CYBA	646.7225
CYBB	326.1146	CYBB	375.2171
CYBRD1	44163.6943	CYBRD1	9873.2694
CYC1	1922.9299	CYC1	1315.7895
CYCS	2582.1656	CYCS	1397.5784
CYFIP1	2682.8025	CYFIP1	4174.1851
CYFIP2	226.1146	CYFIP2	354.5591
CYGB	493.6306	CYGB	358.3534
CYHR1	1031.2102	CYHR1	725.1387
CYLD	989.8089	CYLD	1258.4529
CYP11A1	15.9236	CYP11A1	37.9433
CYP19A1	7.6433	removed	removed
CYP1B1	1798.0892	CYP1B1	750.4342
CYP20A1	819.7452	CYP20A1	552.7075
CYP21A2	270.0701	CYP21A2	43.2722
removed	removed	CYP24A1	17.2853
CYP26A1	42.6752	CYP26A1	25.2955
CYP26B1	150.9554	CYP26B1	107.506
CYP27A1	1600	CYP27A1	1095.7183
CYP27B1	31.2102	CYP27B1	36.2569
removed	removed	CYP27C1	10.1182
CYP2A6	8.2803	CYP2A6	22.766
CYP2B7P1	15.9236	CYP2B7P1	27.4035
CYP2C8	10.1911	CYP2C8	13.9125
CYP2D6	6.3694	CYP2D6	11.8046
CYP2D7P1	7.0064	CYP2D7P1	8.8534
CYP2E1	10.828	CYP2E1	8.786
CYP2J2	669.4268	CYP2J2	287.1043
CYP2R1	181.5287	CYP2R1	251.6906
CYP2S1	43.3121	CYP2S1	115.9379
CYP2U1	344.586	CYP2U1	584.7485
CYP39A1	77.0701	CYP39A1	287.9475
CYP3A5	5.0955	removed	removed
CYP46A1	16.5605	CYP46A1	18.5501
CYP4A11	10.828	removed	removed
CYP4A22	15.2866	removed	removed
CYP4B1	1075.1592	CYP4B1	271.0838
CYP4F11	101.9108	CYP4F11	322.0965
CYP4F12	262.4204	CYP4F12	21.5012
CYP4F22	196.1783	CYP4F22	222.6007
removed	removed	CYP4F3	53.9638
CYP4F8	1698.7261	CYP4F8	17.2853
CYP4V2	1214.0127	CYP4V2	945.2099
CYP4X1	7410.828	CYP4X1	1000.86
CYP4Z1	51212.1019	CYP4Z1	225.5519
CYP4Z2P	4275.1592	CYP4Z2P	41.7376
CYP51A1	1608.2803	CYP51A1	1389.5681
CYP7B1	95.5414	CYP7B1	130.6936
CYR61	7592.9936	CYR61	9541.8978
CYS1	151.5924	CYS1	171.5881
CYSLTR1	33.121	CYSLTR1	56.4934
CYSLTR2	10.1911	CYSLTR2	16.4421
CYTH1	542.6752	CYTH1	782.4753
CYTH2	1684.0764	CYTH2	1677.094
CYTH3	841.4013	CYTH3	891.6677
CYTH4	121.6561	CYTH4	131.9584
CYTIP	108.9172	CYTIP	143.3414
CYTL1	20.3822	CYTL1	38.3649
CYTSA	1698.7261	CYTSA	1821.2786
CYTSB	204.4586	CYTSB	213.7473
CYYR1	629.2994	CYYR1	1153.4764
D2HGDH	517.8344	D2HGDH	338.117
D4S234E	89.8089	D4S234E	642.5066
DAAM1	346.4968	DAAM1	541.3245
DAAM2	372.8471	DAAM2	429.2147
DAB2IP	1077.0701	DAB2IP	4166.5964
DAB2	1476.4331	DAB2	1597.8347
DACH1	1234.3949	DACH1	219.6496
DACT1	426.1146	DACT1	485.2527
DACT2	40.7643	DACT2	212.9041
DACT3	215.9236	DACT3	65.7684
DAD1	3033.758	DAD1	2664.4631
DAG1	3129.2994	DAG1	4949.0717
DAGLA	142.6752	DAGLA	249.5826
DAGLB	361.1465	DAGLB	431.2889
DAK	1094.9045	DAK	754.2286
DALRD3	870.3376	DALRD3	800.2243
DAP3	3054.1401	DAP3	1779.1194
DAPK1	149.0446	DAPK1	228.9246
DAPK2	266.242	DAPK2	701.9511
DAPK3	725.4777	DAPK3	797.6526
DAPL1	6.3694	DAPL1	146.2925
DAPP1	203.8217	DAPP1	161.4698
DAP	2701.2739	DAP	2943.5572
DARC	698.7261	DARC	1000.0169
DARS2	572.6115	DARS2	284.1532
DARS	1736.3057	DARS	2102.4806
DAXX	1424.2038	DAXX	1430.4626
DAZAP1	1260.5096	DAZAP1	1309.8872
DAZAP2	7643.3121	DAZAP2	6688.983
DBC1	38.8535	DBC1	418.6411
DBF4B	85.9873	DBF4B	107.0844
DBF4	127.3885	DBF4	165.2642
DBI	11068.1529	DBI	3315.4016
DBN1	822.293	DBN1	1193.9493
DBNDD1	133.121	DBNDD1	233.9837
DBNDD2	2463.0573	DBNDD2	1356.0347
DBNL	1659.2357	DBNL	1668.2406
DBP	341.3758	DBP	301.8137
DBR1	346.4968	DBR1	435.5048
DBT	645.2229	DBT	771.0923
DBX2	29.2994	DBX2	5.0591
DCAF10	3528.6624	DCAF10	1106.2581
DCAF11	1802.465	DCAF11	2162.5955
DCAF12	1313.3758	DCAF12	1342.7714
DCAF13	852.1975	DCAF13	641.9754
DCAF15	357.3248	DCAF15	494.9493
DCAF16	714.0127	DCAF16	1074.2171
DCAF17	575.7962	DCAF17	491.155
DCAF4L1	10.828	DCAF4L1	5.9023
DCAF4	398.7261	DCAF4	384.9137
DCAF5	1644.586	DCAF5	1532.0663
DCAF6	1524.8408	DCAF6	1710.3998
DCAF7	2060.5096	DCAF7	2459.9909
DCAF8	2865.6051	DCAF8	2342.9105
DCAKD	1095.5414	DCAKD	1271.9439
DCBLD1	210.828	DCBLD1	130.272
DCBLD2	550.9554	DCBLD2	1160.2219
removed	removed	DCDC1	5.4807
DCDC2	65.1465	DCDC2	572.4886
DCD	10.828	removed	removed
DCHS1	642.0382	DCHS1	682.5579
DCHS2	28.6624	DCHS2	177.0688
DCI	1301.2739	DCI	876.0687
DCK	416.5605	DCK	411.0525
DCLK1	300.6369	DCLK1	257.1713
DCLK2	80.2548	DCLK2	32.4626
DCLK3	22.293	DCLK3	7.1671
DCLRE1A	427.3885	DCLRE1A	323.7829
DCLRE1B	145.8599	DCLRE1B	197.7268
DCLRE1C	301.2739	DCLRE1C	271.0838
DCN	16010.828	DCN	6192.3473
DCP1A	653.5032	DCP1A	1007.6055
DCP1B	388.535	DCP1B	436.7696
DCP2	1036.9427	DCP2	1182.5663
DCPS	408.2803	DCPS	319.1453
DCST2	12.7389	DCST2	34.9922
DCTD	1921.0191	DCTD	1651.3769
DCTN1	3177.9427	DCTN1	4212.1284
DCTN2	2069.4268	DCTN2	2855.0229
DCTN3	936.9427	DCTN3	985.6827
DCTN4	2547.7707	DCTN4	1895.4788
DCTN5	1051.5924	DCTN5	1241.1676
DCTN6	550.3185	DCTN6	537.5301
DCTPP1	492.3567	DCTPP1	811.1393
removed	removed	DCT	15.5989
DCUN1D1	468.1529	DCUN1D1	465.4379
DCUN1D2	240.1274	DCUN1D2	190.9813
DCUN1D3	176.4331	DCUN1D3	116.7811
DCUN1D4	823.5669	DCUN1D4	922.8655
DCUN1D5	390.4459	DCUN1D5	260.1224
DCXR	2856.6879	DCXR	979.3588
DCX	21.6561	DCX	41.7376
DDA1	692.3567	DDA1	637.8691
DDAH1	2512.1019	DDAH1	1258.0313
DDAH2	3068.7898	DDAH2	2066.2237
DDB1	4570.7006	DDB1	4742.4914
DDB2	722.293	DDB2	868.9017
DDHD1	232.4841	DDHD1	280.3589
DDHD2	875.1592	DDHD2	961.652
DDI2	45.3822	DDI2	49.0776
DDIT3	238.1401	DDIT3	186.993
DDIT4L	33.758	DDIT4L	77.573
DDIT4	1191.0828	DDIT4	987.3691
DDOST	4550.9554	DDOST	4067.5222
DDO	87.8981	DDO	130.6936
DDR1	6546.4968	DDR1	7994.6542
DDR2	173.8854	DDR2	220.4928
DDRGK1	1249.0446	DDRGK1	897.9915
DDTL	321.0382	DDTL	165.6141
DDT	1037.4395	DDT	568.2811
DDX10	520.3822	DDX10	725.5603
DDX11L2	7.6433	DDX11L2	5.0591
DDX11	163.0573	DDX11	365.0989
DDX12	30.5732	DDX12	37.9433
DDX17	14808.9172	DDX17	12417.5787
DDX18	1782.8025	DDX18	2101.6375
DDX19A	510.1911	DDX19A	961.2304
DDX19B	494.9045	DDX19B	762.2135
DDX1	2240.7643	DDX1	2273.6471
DDX20	490.4459	DDX20	538.3733
DDX21	1176.4331	DDX21	1656.436
DDX23	2154.1401	DDX23	2465.8932
DDX24	2587.8981	DDX24	3484.8817
DDX26B	160.5096	DDX26B	491.5766
DDX27	994.2675	DDX27	1409.383
DDX28	206.3694	DDX28	341.0681
DDX31	272.6115	DDX31	399.2479
DDX39	491.0828	DDX39	529.0983
DDX3X	6429.9363	DDX3X	8675.1041
removed	removed	DDX3Y	8.0103
DDX41	1050.3185	DDX41	1113.8468
DDX42	3042.0382	DDX42	4074.6893
DDX46	890.4459	DDX46	1378.6067
DDX47	1084.7134	DDX47	1190.5766
DDX49	803.8217	DDX49	742.0024
DDX50	964.9682	DDX50	1225.5687
DDX51	485.3503	DDX51	680.8715
DDX52	427.3885	DDX52	438.8776
DDX54	1118.2357	DDX54	1684.8598
DDX55	372.6115	DDX55	299.7521
DDX56	1319.1083	DDX56	1319.1622
DDX58	710.1911	DDX58	591.9155
DDX59	492.9936	DDX59	417.3763
removed	removed	DDX5	11437.7983
DDX60L	353.5032	DDX60L	275.2998
DDX60	540.7643	DDX60	563.2473
DDX6	5400.6369	DDX6	4400.5801
removed	removed	DEAF1	714.1773
DECR1	1602.5478	DECR1	1058.1966
DECR2	325.4777	DECR2	304.8112
DEDD2	566.242	DEDD2	694.7841
DEDD	1164.0318	DEDD	838.5512
DEF6	367.5159	DEF6	476.8209
DEF8	410.1911	DEF8	728.933
DEFB132	56.051	DEFB132	29.9331
DEFB1	21.0191	DEFB1	114.2515
DEGS1	2839.4904	DEGS1	1691.8498
DEGS2	1680.8917	DEGS2	336.009
DEK	2054.1401	DEK	3035.8859
DEM1	159.2357	DEM1	165.2642
DENND1A	518.4713	DENND1A	627.7509
DENND1B	85.9873	DENND1B	50.5911
DENND1C	131.2102	DENND1C	143.763
DENND2A	66.879	DENND2A	80.9457
DENND2C	29.8344	DENND2C	74.1623
DENND2D	1562.4204	DENND2D	658.5271
DENND3	221.0191	DENND3	241.994
DENND4A	314.5732	DENND4A	472.1833
DENND4B	650.9554	DENND4B	654.3112
DENND4C	1150.3185	DENND4C	1660.652
DENND5A	1034.3949	DENND5A	1647.161
DENND5B	157.3248	DENND5B	228.503
DENR	1214.6497	DENR	1508.0355
DEPDC1B	10.828	DEPDC1B	26.5603
DEPDC1	26.1146	DEPDC1	42.1592
DEPDC4	8.9172	DEPDC4	7.1671
DEPDC5	205.7325	DEPDC5	256.7497
DEPDC6	702.5478	DEPDC6	1280.7973
DEPDC7	15.2866	DEPDC7	5.9023
DERA	630.5732	DERA	453.6333
DERL1	2264.3312	DERL1	1607.9529
DERL2	665.6051	DERL2	438.456
DERL3	256.6879	DERL3	50.1695
DES	60.5096	DES	56.4934
DET1	182.1656	DET1	200.6779
DEXI	763.6943	DEXI	661.0567
DFFA	368.7898	DFFA	442.6719
DFFB	83.4395	DFFB	113.8299
DFNA5	117.1975	DFNA5	180.8631
DFNB31	298.7261	DFNB31	462.0651
DFNB59	24.8408	DFNB59	56.0718
DGAT1	735.7325	DGAT1	466.69
DGAT2	1719.7452	DGAT2	1135.348
DGCR11	31.2102	DGCR11	16.0205
DGCR14	449.0446	DGCR14	470.0754
DGCR2	3091.7197	DGCR2	3774.094
DGCR5	10.828	DGCR5	20.658
DGCR6L	907.6433	DGCR6L	647.9873
DGCR6	550.3185	DGCR6	462.0651
DGCR8	617.1975	DGCR8	952.7985
removed	removed	DGCR9	20.658
DGKA	324.8408	DGKA	711.2262
DGKD	1024.2038	DGKD	599.9258
DGKE	150.3185	DGKE	193.5109
DGKG	6.3694	DGKG	33.7274
DGKH	40.7643	DGKH	12.2262
DGKI	13.3758	DGKI	12.2262
DGKQ	340.1274	DGKQ	255.4849
DGKZ	477.707	DGKZ	699.8432
DGUOK	863.6943	DGUOK	797.231
DHCR24	17643.949	DHCR24	11639.3194
DHCR7	805.0955	DHCR7	999.1737
DHDDS	757.9618	DHDDS	641.2418
DHDH	17.1975	removed	removed
DHDPSL	24.2038	DHDPSL	27.8251
DHFRL1	280.2548	DHFRL1	236.0917
DHFR	157.8662	DHFR	205.9436
DHODH	87.8981	DHODH	153.4596
DHPS	957.414	DHPS	922.2036
DHRS11	205.0955	DHRS11	207.845
DHRS12	346.4968	DHRS12	339.3818
DHRS13	290.3694	DHRS13	240.4762
DHRS1	494.9045	DHRS1	707.0102
DHRS2	128.6624	DHRS2	31.1978
DHRS3	1796.1783	DHRS3	1004.2328
DHRS4L1	16.5605	DHRS4L1	22.3444
DHRS4L2	525.8344	DHRS4L2	570.524
DHRS4	966.1083	DHRS4	748.7942
DHRS7B	552.2293	DHRS7B	503.8028
DHRS7	2913.3758	DHRS7	1215.8721
DHRS9	5.0955	removed	removed
DHRSX	364.3312	DHRSX	288.7907
DHTKD1	572.6115	DHTKD1	516.4505
DHX15	2170.7006	DHX15	2448.1863
DHX16	592.3567	DHX16	883.6574
DHX29	1156.051	DHX29	922.4439
DHX30	1170.7006	DHX30	1628.1893
DHX32	1304.586	DHX32	851.0852
DHX33	138.2166	DHX33	317.0374
DHX34	451.5924	DHX34	500.0084
DHX35	168.7898	DHX35	261.3872
DHX36	731.2102	DHX36	794.2798
DHX37	310.1911	DHX37	478.5072
DHX38	588.535	DHX38	1427.5114
DHX40	1300.6369	DHX40	1708.2919
DHX57	412.1019	DHX57	603.7201
DHX58	430.5732	DHX58	311.5567
DHX8	796.1783	DHX8	1252.5506
DHX9	3453.5032	DHX9	4504.2918
DIABLO	1061.2484	DIABLO	812.9437
DIAPH1	2175.1592	DIAPH1	3448.2032
DIAPH2	135.0318	DIAPH2	165.6858
DIAPH3	6.3694	DIAPH3	27.4035
DICER1	1590.4459	DICER1	1633.67
