gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
ACO2	2267.2275	ACO2	1093.5757
ACOT11	35.4489	ACOT11	14.1969
ACOT13	482.3096	ACOT13	508.2856
ACOT1	930.6701	ACOT1	446.6793
ACOT2	496.2847	ACOT2	305.6366
ACOT4	586.8157	ACOT4	98.968
ACOT7	668.8936	ACOT7	119.3438
ACOT8	194.2764	ACOT8	128.0101
ACOT9	350.3988	ACOT9	730.617
ACOX1	1470.9987	ACOX1	2786.4533
ACOX2	1253.2552	ACOX2	216.4595
ACOX3	714.4318	ACOX3	324.4247
ACOXL	6.8171	removed	removed
ACP1	1980.2304	ACP1	1663.4041
ACP2	730.7928	ACP2	581.9004
ACP5	1092.099	ACP5	629.0028
ACP6	1353.6028	ACP6	217.2534
ACPL2	937.2145	ACPL2	490.3417
ACPP	34.6309	ACPP	60.3335
ACRBP	48.5377	ACRBP	7.4094
ACRC	10.362	ACRC	18.7881
removed	removed	ACSBG1	12.4372
ACSF2	953.3847	ACSF2	401.1646
ACSF3	322.8577	ACSF3	113.5222
ACSL1	1619.1969	ACSL1	6056.6327
ACSL3	3592.883	ACSL3	3081.5051
ACSL4	234.5081	ACSL4	2770.3114
ACSL5	82.0779	ACSL5	968.7754
ACSL6	8.1805	removed	removed
ACSM1	11.18	ACSM1	11.3787
ACSM3	5.6227	ACSM3	102.8183
ACSM5	7.0898	ACSM5	115.6391
ACSS1	552.7302	ACSS1	409.3678
ACSS2	452.1099	ACSS2	1101.0857
removed	removed	ACSS3	477.6399
ACTA1	737.0646	ACTA1	35.7238
ACTA2	3108.3509	ACTA2	17888.395
ACTBL2	8.4532	ACTBL2	49.7486
ACTB	67780.7622	ACTB	84882.0355
ACTC1	38.9938	ACTC1	6.0863
ACTG1	75643.0568	ACTG1	53424.4863
ACTG2	113.9819	ACTG2	3681.6643
ACTL6A	1195.9915	ACTL6A	981.4772
ACTN1	3960.7335	ACTN1	4456.4729
ACTN4	5633.7283	ACTN4	4784.0492
ACTR10	1380.0532	ACTR10	1856.3124
ACTR1A	2226.464	ACTR1A	1942.5787
ACTR1B	892.4944	ACTR1B	538.238
ACTR2	5901.4248	ACTR2	8344.2765
ACTR3B	103.3472	ACTR3B	113.5222
ACTR3C	32.9948	ACTR3C	40.2223
ACTR3	4643.2613	ACTR3	4887.275
ACTR5	237.7804	ACTR5	134.9564
ACTR6	824.0507	ACTR6	1000.7945
ACTR8	663.9853	ACTR8	485.0493
ACVR1B	1019.5651	ACVR1B	972.4801
removed	removed	ACVR1C	620.7996
ACVR1	939.9414	ACVR1	1252.9778
ACVR2A	109.3462	ACVR2A	588.2512
ACVR2B	293.4079	ACVR2B	223.8689
ACVRL1	185.1524	ACVRL1	598.3068
ACY1	978.9297	ACY1	232.4902
removed	removed	ACY3	9.2617
ACYP1	121.617	ACYP1	69.3306
ACYP2	224.1462	ACYP2	235.2476
ADAL	432.204	ADAL	301.4027
ADAM10	1349.2399	ADAM10	2577.1385
ADAM11	8.4532	removed	removed
ADAM12	585.725	ADAM12	423.3927
ADAM15	4571.1146	ADAM15	1444.0338
ADAM17	693.1625	ADAM17	1164.33
ADAM19	176.1538	ADAM19	125.4301
ADAM21	6.8171	removed	removed
ADAM22	64.8988	ADAM22	120.6669
ADAM23	5.181	ADAM23	40.7515
ADAM28	151.3396	ADAM28	146.3351
removed	removed	ADAM32	71.9768
ADAM33	10.6347	ADAM33	507.624
ADAM6	2164.3984	ADAM6	28166.8485
ADAM8	269.6844	ADAM8	29.3729
ADAM9	3459.5405	ADAM9	3458.8538
ADAMDEC1	36.267	ADAMDEC1	42.3393
ADAMTS10	24.5416	ADAMTS10	39.4284
ADAMTS12	201.5134	ADAMTS12	90.5002
ADAMTS13	58.627	ADAMTS13	10.8494
ADAMTS14	64.3534	removed	removed
ADAMTS15	458.3816	ADAMTS15	73.0352
ADAMTS16	75.2608	ADAMTS16	503.0435
ADAMTS17	40.6299	ADAMTS17	31.4898
removed	removed	ADAMTS18	21.6989
removed	removed	ADAMTS19	7.1448
ADAMTS1	269.4117	ADAMTS1	6559.147
ADAMTS2	203.9676	ADAMTS2	367.8224
ADAMTS3	16.0883	ADAMTS3	269.3836
ADAMTS4	448.2923	ADAMTS4	384.2289
