gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
C19orf24	496.012	C19orf24	136.0149
C19orf25	253.0507	C19orf25	84.9432
C19orf26	10.362	removed	removed
C19orf28	574.545	C19orf28	240.0107
C19orf29	244.3248	C19orf29	103.7312
C19orf2	939.6687	C19orf2	1820.0594
C19orf33	13.0588	C19orf33	16.6949
C19orf36	40.6299	removed	removed
C19orf38	15.8157	C19orf38	10.5848
C19orf39	98.7116	C19orf39	30.1667
C19orf40	95.9847	C19orf40	19.8465
C19orf42	1469.4935	C19orf42	1300.8741
C19orf43	987.1157	C19orf43	1089.4424
C19orf44	233.821	C19orf44	131.0162
C19orf45	14.9976	removed	removed
C19orf46	202.8768	C19orf46	44.4562
C19orf47	215.4203	C19orf47	159.0369
C19orf48	873.1338	C19orf48	220.1642
C19orf50	846.1381	C19orf50	705.2135
C19orf51	88.0769	C19orf51	19.5819
C19orf52	216.2383	C19orf52	112.1991
C19orf53	864.6806	C19orf53	497.7511
C19orf54	598.2685	C19orf54	154.2737
C19orf55	178.6079	C19orf55	77.5338
C19orf56	1474.9472	C19orf56	1396.9313
C19orf57	215.693	C19orf57	47.8963
C19orf60	166.0645	C19orf60	38.8992
C19orf61	909.4008	C19orf61	306.9597
C19orf62	1227.3502	C19orf62	505.3589
C19orf63	1642.5741	C19orf63	1114.2611
C19orf66	525.3964	C19orf66	328.1029
C19orf6	1125.9118	C19orf6	540.3549
C19orf70	518.6448	C19orf70	136.5441
C19orf73	20.724	C19orf73	10.0556
removed	removed	C19orf76	65.6259
C1D	224.1462	C1D	398.2538
C1GALT1C1	1006.7489	C1GALT1C1	944.695
C1GALT1	393.4829	C1GALT1	424.1866
C1QA	332.6743	C1QA	1281.8214
C1QBP	1398.3966	C1QBP	1165.1741
C1QB	509.3735	C1QB	1630.8558
C1QC	563.3649	C1QC	1074.6236
C1QL1	67.3529	removed	removed
C1QL3	35.4489	C1QL3	52.1302
C1QTNF1	134.7058	C1QTNF1	557.8199
C1QTNF2	130.0702	C1QTNF2	66.4197
C1QTNF3	337.0373	C1QTNF3	617.3595
C1QTNF6	519.7355	C1QTNF6	93.9403
C1QTNF7	14.1796	C1QTNF7	145.5412
removed	removed	C1QTNF9B	10.3546
removed	removed	C1QTNF9	49.7486
C1RL	653.6533	C1RL	1400.5116
C1R	1455.5866	C1R	11137.3453
C1S	1912.6921	C1S	16730.6276
C1orf101	62.4446	C1orf101	50.5425
C1orf103	474.47	C1orf103	760.2545
C1orf104	160.8262	C1orf104	38.4282
C1orf106	106.3467	C1orf106	78.3277
C1orf107	1626.5594	C1orf107	842.2869
C1orf109	430.2952	C1orf109	362.53
C1orf111	6.5444	removed	removed
C1orf112	660.3968	C1orf112	226.1367
C1orf113	440.5781	C1orf113	110.9474
removed	removed	C1orf114	15.6126
C1orf115	2561.3198	C1orf115	1131.7816
C1orf116	1332.0608	C1orf116	436.3591
C1orf122	412.0826	C1orf122	217.518
C1orf123	498.4662	C1orf123	541.9427
C1orf124	557.9112	C1orf124	341.8896
C1orf126	16.3065	C1orf126	70.7542
C1orf127	15.8157	removed	removed
C1orf128	840.4118	C1orf128	1120.1383
C1orf130	27.8138	C1orf130	363.5885
C1orf131	609.1758	C1orf131	170.9448
C1orf133	8.9986	C1orf133	37.5761
C1orf135	91.0764	C1orf135	17.2003
C1orf144	2395.8007	C1orf144	2254.037
removed	removed	C1orf150	26.1974
C1orf151	809.2576	C1orf151	828.7912
C1orf152	11.7254	C1orf152	5.0278
C1orf156	521.917	C1orf156	173.8556
C1orf159	118.6175	C1orf159	50.0133
C1orf161	19.9059	removed	removed
C1orf162	46.6289	C1orf162	337.9203
C1orf163	324.4938	C1orf163	217.2534
C1orf168	325.8572	C1orf168	43.3978
C1orf170	52.628	C1orf170	12.1725
C1orf172	449.9284	C1orf172	185.2343
C1orf173	321.4943	C1orf173	118.55
C1orf174	431.9313	C1orf174	357.2376
removed	removed	C1orf175	42.6039
C1orf182	20.724	removed	removed
C1orf183	44.4475	C1orf183	45.7793
removed	removed	C1orf186	21.6989
C1orf190	5.3446	C1orf190	37.7587
C1orf192	35.1762	C1orf192	36.5176
C1orf198	4667.2575	C1orf198	4152.6886
C1orf201	230.6906	C1orf201	197.6715
C1orf203	157.6167	C1orf203	78.0763
C1orf204	61.2775	C1orf204	56.8034
C1orf210	525.1892	C1orf210	152.686
C1orf212	685.8	C1orf212	569.4632
C1orf213	47.1252	C1orf213	40.7833
C1orf216	726.1572	C1orf216	272.8237
C1orf21	5536.5737	C1orf21	4991.5355
C1orf220	43.0841	C1orf220	7.4094
C1orf226	1605.5628	C1orf226	450.6486
C1orf228	45.8109	C1orf228	10.0556
C1orf229	9.8166	removed	removed
C1orf230	15.2703	removed	removed
C1orf25	1341.6047	C1orf25	679.2807
C1orf26	444.2021	C1orf26	268.0605
C1orf27	3758.6748	C1orf27	1249.8024
C1orf31	800.0545	C1orf31	194.7606
C1orf35	377.1218	C1orf35	61.3919
C1orf38	123.7985	C1orf38	410.6909
C1orf43	12229.0545	C1orf43	4103.4692
C1orf50	150.5215	C1orf50	140.2488
C1orf51	182.9709	C1orf51	152.686
C1orf52	207.2398	C1orf52	414.3956
C1orf53	101.9838	C1orf53	10.0556
C1orf54	67.6256	C1orf54	220.1642
C1orf55	1751.994	C1orf55	1078.0637
C1orf56	523.5885	C1orf56	128.9072
C1orf57	1721.9988	C1orf57	341.0958
C1orf58	2266.0795	C1orf58	611.7945
C1orf59	484.832	C1orf59	211.6964
C1orf61	61.3539	C1orf61	5.0278
C1orf63	565.8191	C1orf63	346.9174
C1orf64	284.4093	C1orf64	113.7868
C1orf66	1153.4529	C1orf66	305.372
C1orf69	150.2488	C1orf69	215.401
C1orf74	397.3004	C1orf74	94.2049
C1orf77	3266.2076	C1orf77	1904.4733
C1orf83	240.2345	C1orf83	206.9332
C1orf84	21.343	C1orf84	21.7386
C1orf85	2433.1584	C1orf85	699.3918
C1orf86	331.5536	C1orf86	80.2938
C1orf88	244.0521	C1orf88	284.9962
C1orf89	53.446	C1orf89	5.557
C1orf91	129.1949	C1orf91	124.8029
C1orf93	576.8628	C1orf93	337.4466
C1orf95	245.1428	C1orf95	34.9299
C1orf96	1154.5436	C1orf96	545.912
C1orf97	552.7302	C1orf97	101.3496
C1orf9	7881.9279	C1orf9	2421.8063
C20orf103	208.3305	C20orf103	15.8772
C20orf108	3179.7669	C20orf108	3683.252
C20orf111	935.8511	C20orf111	1033.8721
C20orf112	749.8807	C20orf112	792.009
C20orf114	3399.8228	C20orf114	81.2385
C20orf117	401.118	C20orf117	196.613
removed	removed	C20orf118	48.28
C20orf11	1042.1978	C20orf11	1571.0516
C20orf12	124.8892	C20orf12	96.3218
C20orf132	21.5475	C20orf132	62.4504
C20orf134	69.8071	C20orf134	9.2617
C20orf135	35.7216	C20orf135	19.0527
C20orf151	120.2536	C20orf151	8.9971
C20orf160	36.267	C20orf160	130.1933
C20orf177	370.4901	C20orf177	175.4434
C20orf194	304.0425	C20orf194	955.2798
C20orf195	7.9078	removed	removed
C20orf196	75.2608	C20orf196	56.8934
removed	removed	C20orf197	8.9971
C20orf199	1210.7165	C20orf199	2655.4662
removed	removed	C20orf202	7.4094
C20orf20	342.2183	C20orf20	158.5076
C20orf24	935.0331	C20orf24	1013.7239
C20orf26	13.3615	C20orf26	15.348
C20orf27	395.119	C20orf27	156.1261
C20orf29	192.5148	C20orf29	108.759
C20orf30	2570.591	C20orf30	3384.4955
C20orf3	4072.8066	C20orf3	1910.0304
C20orf43	1709.4553	C20orf43	1441.3876
C20orf46	5.4537	C20orf46	7.674
C20orf4	990.6606	C20orf4	964.8061
C20orf54	200.15	C20orf54	143.4243
C20orf72	750.4261	C20orf72	515.216
C20orf7	94.894	C20orf7	156.3907
C20orf94	101.1657	C20orf94	16.1418
C20orf96	247.3243	C20orf96	165.6524
C21orf119	52.3553	C21orf119	56.8934
C21orf122	32.7221	C21orf122	24.3451
C21orf130	13.6342	C21orf130	10.0556
removed	removed	C21orf15	12.4372
C21orf2	169.8821	C21orf2	112.9929
C21orf33	1416.0474	C21orf33	980.1541
removed	removed	C21orf34	198.4653
C21orf45	427.2957	C21orf45	190.2621
removed	removed	C21orf49	12.4372
C21orf56	178.8806	C21orf56	78.5923
C21orf57	272.9566	C21orf57	170.1509
C21orf58	163.3377	C21orf58	17.2003
C21orf59	888.4041	C21orf59	289.1587
removed	removed	C21orf62	7.674
C21orf63	210.512	C21orf63	919.0268
C21orf67	86.1681	C21orf67	38.8992
C21orf70	82.8959	C21orf70	11.6433
removed	removed	C21orf71	5.8216
C21orf7	83.4413	C21orf7	128.8702
removed	removed	C21orf82	7.1448
C21orf88	116.9814	C21orf88	16.4065
C21orf91	289.3176	C21orf91	940.1964
C22orf13	2487.0598	C22orf13	1228.7095
C22orf23	25.905	C22orf23	83.3554
C22orf25	462.7446	C22orf25	320.4554
C22orf26	10.362	C22orf26	7.9386
C22orf27	144.2498	C22orf27	126.4886
C22orf28	2047.856	C22orf28	1348.5058
C22orf29	497.7299	C22orf29	365.5467
C22orf30	1575.0222	C22orf30	1051.337
C22orf32	562.8196	C22orf32	812.914
C22orf36	111.255	C22orf36	107.4359
C22orf39	281.6661	C22orf39	480.8153
C22orf40	162.7923	C22orf40	91.2941
C22orf41	11.4527	removed	removed
C22orf46	814.2341	C22orf46	214.3426
C22orf9	1361.7834	C22orf9	1099.7626
C2CD2L	509.8289	C2CD2L	162.7283
C2CD2	445.8382	C2CD2	1565.7592
C2CD3	1080.9189	C2CD3	726.1185
removed	removed	C2CD4A	17.7296
removed	removed	C2CD4B	174.9141
C2CD4C	5.181	C2CD4C	8.9971
C2CD4D	14.5504	removed	removed
C2orf14	15.2703	removed	removed
C2orf15	76.2097	C2orf15	59.7301
C2orf16	50.7192	C2orf16	62.715
C2orf18	1413.866	C2orf18	1237.8944
C2orf24	1885.6091	C2orf24	715.2691
C2orf27A	24.2689	C2orf27A	19.5819
C2orf28	2285.1183	C2orf28	2457.4242
C2orf29	1051.1964	C2orf29	1246.3623
C2orf34	28.3591	C2orf34	87.854
C2orf3	531.4609	C2orf3	853.4009
removed	removed	C2orf40	282.0854
C2orf42	250.5965	C2orf42	308.0182
C2orf43	396.7551	C2orf43	456.7349
C2orf44	291.7718	C2orf44	263.8266
C2orf47	355.4489	C2orf47	360.9423
C2orf48	5.999	removed	removed
C2orf49	176.9718	C2orf49	144.4828
C2orf50	14.1796	C2orf50	6.8801
C2orf52	5.7264	removed	removed
C2orf54	78.2603	C2orf54	6.8801
C2orf55	80.1691	C2orf55	223.8689
C2orf56	194.969	C2orf56	286.5839
removed	removed	C2orf58	12.4372
C2orf60	245.2737	C2orf60	299.5503
C2orf63	95.4394	C2orf63	210.3733
C2orf64	718.2494	C2orf64	530.8286
C2orf65	206.6944	C2orf65	25.6682
C2orf67	146.0413	C2orf67	710.0851
C2orf68	735.9738	C2orf68	730.8817
C2orf69	738.1553	C2orf69	942.3134
removed	removed	C2orf72	170.6802
C2orf73	6.8171	removed	removed
C2orf74	295.044	C2orf74	283.1439
C2orf76	77.4422	C2orf76	101.3496
C2orf77	142.0683	C2orf77	423.3927
C2orf79	416.661	C2orf79	243.9801
C2orf7	232.054	C2orf7	160.8892
C2orf81	132.6743	C2orf81	25.9963
removed	removed	C2orf82	22.2281
removed	removed	C2orf84	8.2032
C2orf86	104.1652	C2orf86	184.7051
C2orf88	11.4527	C2orf88	367.2932
removed	removed	C2orf89	33.0776
C2	362.8577	C2	713.1442
C3AR1	181.6075	C3AR1	736.9679
C3orf10	3293.2034	C3orf10	3782.7493
C3orf14	804.9628	C3orf14	443.5039
C3orf15	90.8037	C3orf15	174.3849
C3orf17	794.6009	C3orf17	1494.8409
C3orf18	324.4938	C3orf18	85.737
C3orf19	445.0201	C3orf19	377.878
C3orf1	1082.555	C3orf1	838.3176
C3orf21	302.9518	C3orf21	213.0195
C3orf23	762.4242	C3orf23	651.2309
C3orf24	16.6555	removed	removed
C3orf26	506.1013	C3orf26	341.625
C3orf31	224.4188	C3orf31	237.3645
C3orf32	13.3615	removed	removed
C3orf33	95.712	C3orf33	213.2841
C3orf34	109.8916	C3orf34	51.3364
removed	removed	C3orf35	8.2032
C3orf37	826.7776	C3orf37	733.7925
C3orf38	526.1627	C3orf38	569.7278
C3orf39	615.1749	C3orf39	366.4993
removed	removed	C3orf42	28.8436
C3orf47	52.9007	C3orf47	24.3451
C3orf52	295.3167	C3orf52	168.2986
C3orf54	11.9981	C3orf54	9.5263
C3orf55	79.0783	C3orf55	158.5076
C3orf57	636.4442	C3orf57	93.1464
C3orf58	160.0654	C3orf58	846.5208
C3orf59	55.0821	C3orf59	391.3736
C3orf62	140.1595	C3orf62	106.9067
C3orf63	2853.8878	C3orf63	3107.983
C3orf64	347.9446	C3orf64	1781.4248
C3orf67	158.9747	C3orf67	10.0556
C3orf70	33.2674	C3orf70	241.8631
C3orf71	45.8109	C3orf71	19.1109
C3orf75	344.3998	C3orf75	185.2343
C3	2313.7228	C3	22919.8352
C4A	18530.2366	C4A	11587.507
removed	removed	C4BPA	984.6527
removed	removed	C4BPB	57.4226
C4orf10	315.4734	C4orf10	269.6853
C4orf12	8.9986	C4orf12	74.3583
C4orf14	630.4452	C4orf14	618.9472
C4orf19	33.4665	C4orf19	146.5997
C4orf21	204.7856	C4orf21	135.221
C4orf23	263.4126	C4orf23	202.4346
C4orf27	591.9967	C4orf27	592.4852
C4orf29	143.4317	C4orf29	163.0062
C4orf31	47.1743	C4orf31	419.4234
C4orf32	4065.9895	C4orf32	2086.7968
C4orf33	708.1601	C4orf33	432.6544
C4orf34	2863.7262	C4orf34	1596.4551
C4orf36	27.5411	C4orf36	21.4343
removed	removed	C4orf38	7.1448
removed	removed	C4orf39	21.1696
C4orf3	2415.7066	C4orf3	5865.5768
C4orf41	1479.0374	C4orf41	1670.8135
C4orf42	512.6457	C4orf42	215.6657
C4orf43	761.8788	C4orf43	489.2832
C4orf46	416.3883	C4orf46	223.6043
removed	removed	C4orf47	21.6989
C4orf48	26.1777	removed	removed
removed	removed	C4orf49	56.0995
C4orf52	218.4198	C4orf52	422.0696
removed	removed	C4orf7	407.7801
C5AR1	113.7092	C5AR1	217.518
C5orf13	1329.0613	C5orf13	775.8671
C5orf15	2144.6588	C5orf15	2824.5586
removed	removed	C5orf20	7.9386
C5orf22	1012.2026	C5orf22	922.7315
C5orf23	22.9054	C5orf23	1118.286
C5orf24	1977.5036	C5orf24	2142.6317
C5orf25	84.5238	C5orf25	232.8237
removed	removed	C5orf27	16.9357
C5orf28	330.7656	C5orf28	576.8726
C5orf30	1250.5283	C5orf30	433.7129
C5orf32	295.3167	C5orf32	1062.9803
C5orf33	1246.7108	C5orf33	1118.5506
C5orf34	58.627	C5orf34	56.3642
C5orf35	231.2359	C5orf35	221.7519
C5orf36	161.7015	C5orf36	169.3571
C5orf38	52.628	C5orf38	13.231
C5orf39	15.543	C5orf39	29.6375
C5orf41	654.9867	C5orf41	1028.5797
C5orf42	744.427	C5orf42	848.3731
C5orf43	1715.1817	C5orf43	1719.7683
C5orf44	668.7954	C5orf44	739.5162
C5orf45	197.6167	C5orf45	211.1089
C5orf46	23.7235	C5orf46	54.2472
removed	removed	C5orf49	26.9913
C5orf4	1317.3359	C5orf4	2145.0133
C5orf51	1461.8583	C5orf51	1446.4154
C5orf53	51.2646	C5orf53	590.3682
C5orf54	203.9676	C5orf54	93.9403
C5orf55	120.799	C5orf55	34.6653
C5orf56	44.1993	C5orf56	92.6727
removed	removed	C5orf58	5.8216
C5orf62	158.702	C5orf62	664.4619
C5	475.8334	C5	264.6204
removed	removed	C6orf105	107.9651
C6orf106	2517.9631	C6orf106	2911.0895
C6orf108	240.7799	C6orf108	61.9212
removed	removed	C6orf114	17.2003
C6orf115	348.2173	C6orf115	652.2894
C6orf120	1355.4816	C6orf120	1620.9193
C6orf122	33.022	C6orf122	9.9047
removed	removed	C6orf123	19.0527
C6orf124	5.181	C6orf124	26.462
C6orf125	924.1257	C6orf125	315.3641
C6orf126	82.6232	removed	removed
C6orf127	32.4494	removed	removed
C6orf129	290.681	C6orf129	68.5367
C6orf130	821.7438	C6orf130	521.2652
C6orf132	332.129	C6orf132	84.1493
C6orf134	418.5698	C6orf134	241.0692
C6orf136	188.9699	C6orf136	162.477
C6orf138	11.18	C6orf138	30.696
C6orf141	108.8009	C6orf141	60.3335
removed	removed	C6orf142	7.1448
C6orf145	516.1906	C6orf145	1399.3129
C6orf147	25.0542	removed	removed
C6orf150	95.9847	C6orf150	96.3218
C6orf153	859.7723	C6orf153	478.4338
C6orf154	11.9981	removed	removed
C6orf155	56.7182	C6orf155	130.1933
removed	removed	C6orf15	14.2895
C6orf162	78.2903	C6orf162	200.2436
removed	removed	C6orf163	12.4372
removed	removed	C6orf164	7.7481
removed	removed	C6orf165	32.9638
C6orf167	319.0402	C6orf167	410.6909
C6orf168	83.9866	C6orf168	176.2372
C6orf170	145.8859	C6orf170	200.3177
C6orf174	10.0893	C6orf174	164.6442
removed	removed	C6orf176	25.6682
C6orf182	122.9804	C6orf182	206.4039
removed	removed	C6orf186	12.4372
C6orf192	170.1547	C6orf192	851.5486
C6orf1	656.0774	C6orf1	163.5354
C6orf201	6.2772	C6orf201	9.005
C6orf203	94.0759	C6orf203	194.496
C6orf204	7.6351	C6orf204	72.506
C6orf208	15.243	C6orf208	5.4432
C6orf211	1416.0474	C6orf211	1291.877
C6orf217	5.181	C6orf217	25.1389
C6orf222	8.1805	removed	removed
C6orf223	7.9133	removed	removed
C6orf225	149.9761	C6orf225	262.2389
C6orf226	102.8018	C6orf226	31.4898
C6orf26	19.8187	C6orf26	28.108
C6orf27	45.8109	C6orf27	37.3115
C6orf35	274.0473	C6orf35	527.6532
C6orf41	6.5444	C6orf41	8.2032
C6orf47	576.7264	C6orf47	231.5429
C6orf48	574.8176	C6orf48	1762.6368
C6orf52	14.1796	C6orf52	14.5541
C6orf57	105.5287	C6orf57	145.8059
removed	removed	C6orf59	6.0863
C6orf62	3619.4015	C6orf62	4766.3937
C6orf64	882.1324	C6orf64	811.0617
C6orf70	468.1982	C6orf70	462.5565
C6orf72	434.3854	C6orf72	1492.1947
C6orf81	6.2717	removed	removed
C6orf89	2993.2511	C6orf89	3642.765
C6orf97	874.2246	C6orf97	469.172
removed	removed	C6	67.7428
C7orf10	32.9948	C7orf10	29.9021
C7orf11	299.4069	C7orf11	351.9452
C7orf13	11.18	C7orf13	39.1638
C7orf23	266.933	C7orf23	503.9352
C7orf25	338.3707	C7orf25	298.042
C7orf26	341.1275	C7orf26	379.4657
C7orf27	855.9547	C7orf27	198.4653
C7orf28A	987.3884	C7orf28A	1065.6265
C7orf28B	431.6586	C7orf28B	650.7017
C7orf29	191.6968	C7orf29	103.4666
C7orf30	252.2326	C7orf30	305.372
C7orf31	33.8128	C7orf31	202.6993
C7orf36	215.4203	C7orf36	242.3923
C7orf40	146.7039	C7orf40	273.8822
C7orf41	974.5722	C7orf41	3975.3929
C7orf42	2534.8695	C7orf42	4571.8474
C7orf43	394.5736	C7orf43	113.2576
C7orf44	586.2704	C7orf44	656.7879
C7orf46	185.9704	C7orf46	190.2621
C7orf47	223.3281	C7orf47	49.2194
C7orf49	423.8244	C7orf49	351.2995
C7orf50	506.374	C7orf50	253.5064
removed	removed	C7orf51	7.1448
C7orf53	7.3625	C7orf53	20.3758
C7orf55	161.4261	C7orf55	99.7884
C7orf58	58.3544	C7orf58	1646.4684
C7orf59	650.8964	C7orf59	257.4757
C7orf60	215.693	C7orf60	603.8639
C7orf63	74.17	C7orf63	309.6059
C7orf64	268.5936	C7orf64	299.5503
C7orf68	1036.1988	C7orf68	202.9639
C7orf70	548.0946	C7orf70	478.4338
C7	11.18	C7	792.8029
C8ORFK29	18.3053	removed	removed
C8orf30A	264.5034	C8orf30A	196.0837
C8orf33	1002.9314	C8orf33	1117.4921
removed	removed	C8orf34	31.2252
C8orf37	183.5163	C8orf37	99.4973
C8orf38	251.4145	C8orf38	234.1891
C8orf39	5.999	removed	removed
C8orf40	683.6185	C8orf40	984.6527
C8orf41	481.1153	C8orf41	228.6082
C8orf42	19.6332	C8orf42	666.8435
C8orf44	33.6819	C8orf44	32.7547
C8orf45	116.7087	C8orf45	62.9797
C8orf46	5.7264	C8orf46	58.2165
removed	removed	C8orf47	9.5263
C8orf48	21.8147	C8orf48	41.5454
C8orf4	208.3305	C8orf4	1792.0097
C8orf51	50.7192	C8orf51	21.6989
C8orf55	510.7369	C8orf55	173.591
C8orf58	182.6982	C8orf58	230.4844
C8orf59	485.59	C8orf59	888.2673
C8orf73	336.7646	C8orf73	43.3978
C8orf76	238.053	C8orf76	360.9582
C8orf79	200.6953	C8orf79	434.5068
removed	removed	C8orf80	7.4094
C8orf83	1922.6941	C8orf83	1092.0886
C8orf84	16.6337	C8orf84	492.9879
C8orf85	111.5277	C8orf85	235.2476
C9orf100	267.1048	C9orf100	24.2392
C9orf102	189.1717	C9orf102	294.9962
C9orf103	175.6084	C9orf103	125.4301
C9orf109	5.999	C9orf109	14.0249
C9orf110	37.6304	C9orf110	83.3554
C9orf114	404.9601	C9orf114	172.9374
C9orf116	110.437	C9orf116	43.927
C9orf117	13.0888	C9orf117	6.0863
C9orf119	471.7431	C9orf119	140.5135
removed	removed	C9orf122	12.9664
C9orf123	722.0669	C9orf123	596.4545
C9orf125	19.0879	C9orf125	124.3716
C9orf128	12.5435	removed	removed
C9orf129	168.3169	C9orf129	59.3279
C9orf130	70.9387	C9orf130	223.7816
C9orf140	273.2293	C9orf140	27.2559
C9orf142	300.4976	C9orf142	33.0776
C9orf150	1378.1444	C9orf150	627.6797
C9orf152	2060.6722	C9orf152	238.1584
C9orf156	282.2278	C9orf156	362.0008
C9orf163	18.5425	removed	removed
C9orf167	36.5396	C9orf167	55.5703
C9orf169	25.8886	removed	removed
C9orf16	446.6562	C9orf16	253.771
C9orf172	9.2713	removed	removed
C9orf21	184.607	C9orf21	528.7116
C9orf23	444.4747	C9orf23	170.4156
removed	removed	C9orf24	7.4094
C9orf25	273.7746	C9orf25	322.5723
C9orf30	211.8645	C9orf30	218.8411
C9orf37	145.6132	C9orf37	54.2472
C9orf3	162.146	C9orf3	362.3712
C9orf40	129.2522	C9orf40	198.9946
C9orf41	172.6089	C9orf41	239.2169
C9orf43	41.448	C9orf43	7.9386
removed	removed	C9orf44	8.2032
C9orf45	27.5411	C9orf45	107.4359
C9orf46	893.3124	C9orf46	455.1472
C9orf47	45.6718	C9orf47	12.1884
C9orf5	2328.7204	C9orf5	4041.8127
C9orf64	1032.9266	C9orf64	362.0008
C9orf66	7.6351	C9orf66	24.0805
C9orf68	127.8887	C9orf68	150.569
C9orf69	385.575	C9orf69	172.0033
C9orf6	532.5516	C9orf6	681.3976
C9orf72	211.6027	C9orf72	591.4267
C9orf78	1166.8144	C9orf78	803.3877
C9orf7	867.4075	C9orf7	135.4857
C9orf80	320.1309	C9orf80	431.0667
C9orf82	630.4452	C9orf82	602.2761
C9orf85	139.3415	C9orf85	186.5574
C9orf86	937.4872	C9orf86	310.1352
C9orf89	275.9561	C9orf89	119.3438
C9orf91	961.7561	C9orf91	635.8829
C9orf93	134.4332	C9orf93	100.5558
C9orf95	616.2656	C9orf95	563.9062
C9orf96	22.6328	C9orf96	10.0556
C9orf98	104.4379	C9orf98	32.0191
C9orf9	282.7732	C9orf9	131.2517
CA11	45.2655	CA11	216.4595
CA12	12702.161	CA12	4168.0366
CA13	72.2612	CA13	476.1025
CA14	13.0888	CA14	10.3202
CA2	6735.8375	CA2	1966.9238
CA3	6.5444	CA3	1119.5588
removed	removed	CA4	86.0016
CA5BP	218.1471	CA5BP	235.2476
CA5B	174.035	CA5B	936.2271
removed	removed	CA8	321.7785
CA9	7.147	removed	removed
CAB39L	1028.291	CAB39L	3273.0903
CAB39	2221.283	CAB39	3212.2276
CABC1	2146.314	CABC1	866.6267
CABIN1	1233.3492	CABIN1	648.5847
CABLES1	1011.1119	CABLES1	641.1753
CABLES2	218.1471	CABLES2	156.9199
CABP4	25.755	CABP4	9.5263
CABYR	298.3162	CABYR	130.9871
CACHD1	99.2569	CACHD1	1759.1967
CACNA1A	28.3591	CACNA1A	24.0805
CACNA1C	449.3803	CACNA1C	290.7358
CACNA1D	755.0617	CACNA1D	184.7051
CACNA1F	41.1753	CACNA1F	7.9386
removed	removed	CACNA1G	17.9942
CACNA1H	45.5382	CACNA1H	42.8685
CACNA1I	251.4145	CACNA1I	15.0834
CACNA2D1	18.5425	CACNA2D1	385.2874
CACNA2D2	942.9409	CACNA2D2	79.9154
CACNA2D3	190.606	CACNA2D3	22.7574
CACNA2D4	183.7889	CACNA2D4	80.7092
CACNB1	129.7975	CACNB1	108.2298
CACNB2	19.3606	CACNB2	116.433
CACNB3	861.4084	CACNB3	131.2517
CACNB4	9.8166	CACNB4	181.7942
CACNG1	42.266	removed	removed
CACNG4	6459.0633	CACNG4	408.8386
CACYBP	2751.6531	CACYBP	1136.0156
CADM1	815.3248	CADM1	882.5092
removed	removed	CADM2	32.5483
CADM3	10.8228	CADM3	264.6919
CADM4	513.4638	CADM4	150.8337
CADPS2	2810.8256	CADPS2	1794.6559
removed	removed	CADPS	6.6155
CAD	1314.3364	CAD	479.4922
removed	removed	CALB2	452.501
CALCOCO1	2080.0327	CALCOCO1	2061.9225
CALCOCO2	2250.4602	CALCOCO2	3664.7285
CALCRL	722.6123	CALCRL	1286.0554
removed	removed	CALCR	33.8714
CALD1	2875.7243	CALD1	14336.0772
CALHM2	734.065	CALHM2	540.6196
CALHM3	5.7264	removed	removed
CALM1	4677.3468	CALM1	10016.6777
CALM2	17001.2952	CALM2	16917.9789
CALM3	4246.5062	CALM3	2191.8511
removed	removed	CALML3	118.55
CALML4	166.3372	CALML4	458.058
CALML5	175.8811	CALML5	5.8216
CALML6	6.2717	removed	removed
removed	removed	CALN1	17.2003
CALR	14772.3771	CALR	6271.2399
CALU	5656.8273	CALU	5268.8577
CAMK1D	23.4508	CAMK1D	85.2078
CAMK1G	5.181	removed	removed
CAMK1	161.0689	CAMK1	231.5429
CAMK2B	14.7249	CAMK2B	10.8494
CAMK2D	199.3319	CAMK2D	1522.3614
CAMK2G	697.5254	CAMK2G	587.4574
CAMK2N1	621.4466	CAMK2N1	1965.8653
CAMK2N2	16.361	removed	removed
removed	removed	CAMK4	5.2924
CAMKK1	186.2431	CAMKK1	161.9477
CAMKK2	1112.5503	CAMKK2	1582.9595
CAMLG	853.2279	CAMLG	1263.0334
CAMP	9.5439	removed	removed
CAMSAP1L1	1514.4863	CAMSAP1L1	2545.6487
CAMSAP1	688.5268	CAMSAP1	686.6901
CAMTA1	902.0383	CAMTA1	1054.5125
CAMTA2	912.9457	CAMTA2	728.7647
CAND1	4448.0196	CAND1	4163.5381
CAND2	44.7202	CAND2	71.9768
CANT1	3675.5062	CANT1	1023.5519
CANX	14029.8589	CANX	23130.2085
CAP1	7163.6785	CAP1	7112.9976
CAP2	3147.8628	CAP2	788.0397
CAPG	4043.0841	CAPG	608.0978
CAPN10	94.6213	CAPN10	38.9283
CAPN11	11.9981	CAPN11	21.9635
CAPN12	31.5523	CAPN12	110.8998
CAPN13	2759.2883	CAPN13	168.5632
CAPN14	25.0869	CAPN14	5.0278
CAPN1	3273.5701	CAPN1	1809.7392
CAPN2	7627.7865	CAPN2	5903.1529
CAPN3	40.3572	CAPN3	156.1763
CAPN5	119.7082	CAPN5	289.2301
removed	removed	CAPN6	276.2637
CAPN7	1051.4691	CAPN7	1717.9159
CAPN8	3043.1522	CAPN8	167.7694
CAPN9	1191.9013	CAPN9	26.7267
