gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
ACOT13	573.6858	ACOT13	636.5387
ACOT1	464.513	ACOT1	469.9343
ACOT2	375.4283	ACOT2	318.3426
ACOT4	208.5169	ACOT4	115.2097
ACOT7	940.7734	ACOT7	239.0096
ACOT8	321.9873	ACOT8	241.2784
ACOT9	148.8008	ACOT9	490.1465
ACOX1	2056.7792	ACOX1	1965.6392
ACOX2	159.5693	ACOX2	283.4765
ACOX3	363.6809	ACOX3	499.7473
ACP1	1396.9652	ACP1	1197.0692
ACP2	993.6368	ACP2	1052.0465
ACP5	3411.1601	ACP5	4618.4942
ACP6	186.4905	ACP6	438.1001
ACPL2	754.7724	ACPL2	478.5245
ACPP	27.4107	ACPP	72.764
ACRBP	22.5159	ACRBP	31.8343
ACRC	11.258	ACRC	30.8236
ACR	8.3211	removed	removed
removed	removed	ACSBG1	28.2971
ACSF2	64.6109	ACSF2	949.9747
ACSF3	453.255	ACSF3	333.5018
ACSL1	1965.2472	ACSL1	8217.7868
ACSL3	4701.4195	ACSL3	7344.6185
ACSL4	397.9442	ACSL4	1826.6801
ACSL5	194.3221	ACSL5	1100.5558
ACSL6	13.7053	ACSL6	8.0849
ACSM1	5.3842	ACSM1	918.6458
removed	removed	ACSM2A	6.0637
ACSM3	6.5394	ACSM3	1271.3946
ACSM5	30.837	ACSM5	139.4644
ACSS1	366.6177	ACSS1	977.7665
ACSS2	662.2614	ACSS2	1455.7858
ACSS3	47.4792	ACSS3	550.2779
removed	removed	ACTA1	6.0637
ACTA2	5008.6001	ACTA2	18396.8671
removed	removed	ACTBL2	13.6433
ACTB	47725.4038	ACTB	74531.5816
ACTC1	33.2844	ACTC1	7.0743
ACTG1	49860.0098	ACTG1	53249.1157
ACTG2	212.4327	ACTG2	4046.4881
ACTL6A	1142.4376	ACTL6A	738.7569
ACTL6B	542.3397	ACTL6B	10.6114
ACTN1	4189.9168	ACTN1	6509.3482
ACTN4	9407.8708	ACTN4	7651.7635
ACTR10	1219.2854	ACTR10	1136.9378
ACTR1A	3019.5791	ACTR1A	2403.7393
ACTR1B	2054.8213	ACTR1B	1320.8691
ACTR2	6033.7739	ACTR2	6195.048
ACTR3B	192.3642	ACTR3B	152.6023
ACTR3C	42.095	ACTR3C	37.8979
ACTR3	3641.7034	ACTR3	3855.4826
