gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
CA5BP	195.7905	CA5BP	194.0374
CA5B	333.0837	CA5B	366.3416
CA8	759.6672	CA8	396.665
CAB39L	855.115	CAB39L	1537.6453
CAB39	1914.8311	CAB39	2535.6241
CABC1	375.2717	CABC1	861.7585
CABIN1	2040.6265	CABIN1	1429.5099
CABLES1	973.5683	CABLES1	806.9732
CABLES2	193.8326	CABLES2	177.3623
removed	removed	CABP1	8.0849
removed	removed	CABP4	23.1935
CABYR	446.8918	CABYR	117.2309
CACHD1	176.2115	CACHD1	1175.3411
CACNA1A	22.0264	CACNA1A	33.3502
CACNA1C	1042.5306	CACNA1C	475.4522
CACNA1D	1071.953	CACNA1D	300.6569
removed	removed	CACNA1E	5.5584
removed	removed	CACNA1F	21.7281
CACNA1G	6.8527	CACNA1G	41.9404
CACNA1H	152.7166	CACNA1H	125.8211
CACNA1I	7.8316	CACNA1I	14.1486
CACNA2D1	71.953	CACNA2D1	144.0121
CACNA2D2	4075.8688	CACNA2D2	267.812
removed	removed	CACNA2D3	12.6326
CACNA2D4	75.8688	CACNA2D4	70.2375
CACNB1	91.5321	CACNB1	171.2986
CACNB2	520.3133	CACNB2	82.8701
CACNB3	1200.6853	CACNB3	376.9581
CACNB4	25.4528	CACNB4	157.1501
CACNG1	9.7895	removed	removed
CACNG4	1200.1958	CACNG4	294.0879
removed	removed	CACNG6	6.0637
CACYBP	1310.8174	CACYBP	1124.3052
CADM1	591.2873	CADM1	925.7201
CADM2	5.8737	CADM2	62.6579
CADM3	29.7161	CADM3	319.1764
CADM4	988.2526	CADM4	439.1107
CADPS2	702.3984	CADPS2	1431.5311
CADPS	52.374	CADPS	5.5584
CAD	793.9305	CAD	1004.5478
CALB2	7.8316	CALB2	108.6407
CALCOCO1	1683.3089	CALCOCO1	2323.3957
CALCOCO2	1247.675	CALCOCO2	2335.0177
CALCRL	812.5306	CALCRL	994.4416
CALCR	5.8737	CALCR	27.2865
CALD1	3316.6911	CALD1	11177.8676
CALHM2	878.1204	CALHM2	1130.3689
CALM1	9690.651	CALM1	6878.7266
CALM2	14365.1493	CALM2	9667.5088
CALM3	12521.7817	CALM3	4867.6099
CALML3	13.2159	CALML3	397.6756
CALML4	310.3279	CALML4	405.2552
removed	removed	CALML5	152.6023
removed	removed	CALN1	33.8555
CALR	19525.208	CALR	11659.424
CALU	2466.4709	CALU	3976.2506
CAMK1D	43.0739	CAMK1D	62.1526
removed	removed	CAMK1G	6.569
CAMK1	327.3372	CAMK1	327.049
removed	removed	CAMK2A	6.569
CAMK2B	778.2673	CAMK2B	101.5664
CAMK2D	1876.652	CAMK2D	1429.0045
CAMK2G	796.8674	CAMK2G	879.2319
CAMK2N1	2231.5223	CAMK2N1	1213.7443
CAMK2N2	367.5967	CAMK2N2	10.1061
CAMK4	8.3211	CAMK4	10.1061
CAMKK1	277.533	CAMKK1	199.5958
CAMKK2	1551.6397	CAMKK2	1676.099
CAMLG	1190.8957	CAMLG	884.7903
CAMSAP1L1	976.0157	CAMSAP1L1	1531.0763
CAMSAP1	1097.4058	CAMSAP1	787.7716
CAMTA1	615.2717	CAMTA1	509.3482
CAMTA2	2829.6623	CAMTA2	1394.1385
CAND1	3757.7093	CAND1	2819.1006
CAND2	95.9373	CAND2	136.9378
CANT1	2079.2952	CANT1	1721.0712
CANX	20265.2961	CANX	15129.3583
CAP1	6030.837	CAP1	6706.4174
CAP2	438.0813	CAP2	430.0152
CAPG	1668.1351	CAPG	3364.3254
CAPN10	326.603	CAPN10	168.2719
CAPN11	14.1948	CAPN11	104.5983
CAPN12	49.7895	CAPN12	87.4987
CAPN13	291.2384	CAPN13	249.1157
CAPN14	21.537	removed	removed
CAPN1	4646.1087	CAPN1	2968.1657
CAPN2	3528.6344	CAPN2	4862.5568
CAPN3	40.3818	CAPN3	217.337
CAPN5	79.2952	CAPN5	355.7352
CAPN6	26.9212	CAPN6	314.3002
CAPN7	1039.6476	CAPN7	1049.0147
CAPN8	310.3279	CAPN8	244.0627
CAPN9	7.3421	CAPN9	12.1273
CAPNS1	6984.8262	CAPNS1	5717.0288
CAPRIN1	12455.2129	CAPRIN1	6046.4881
CAPRIN2	168.3798	CAPRIN2	358.7671
CAPS2	30.837	CAPS2	79.8383
CAPSL	46.0108	removed	removed
CAPS	106.2163	CAPS	149.5705
CAPZA1	3362.2124	CAPZA1	2879.2319
CAPZA2	2702.8879	CAPZA2	2731.6827
removed	removed	CAPZA3	16.1698
CAPZB	10155.6535	CAPZB	4032.8449
CARD10	606.4611	CARD10	541.1824
CARD11	155.6535	CARD11	79.8383
CARD14	53.3529	CARD14	192.5215
CARD16	61.1845	CARD16	219.3027
CARD6	152.7166	CARD6	460.8388
CARD8	492.4131	CARD8	1243.5574
CARD9	55.8003	CARD9	62.1526
CARHSP1	1387.117	CARHSP1	973.2036
CARKD	1904.5521	CARKD	1083.3754
CARM1	850.7097	CARM1	847.3977
CARNS1	15.1738	CARNS1	34.3608
CARS2	628.2428	CARS2	513.1228
CARS	1071.953	CARS	628.095
CARTPT	82854.1361	CARTPT	2645.2754
CASC1	116.9848	CASC1	31.8343
CASC2	44.5423	CASC2	52.0465
CASC3	2516.8869	CASC3	2800.4042
CASC4	4161.5272	CASC4	3325.4169
CASC5	165.443	CASC5	26.7812
CASD1	1901.1258	CASD1	1432.5417
CASKIN1	89.7063	CASKIN1	6.5235
CASKIN2	1024.5032	CASKIN2	938.378
CASK	1027.9001	CASK	1354.7246
CASP10	152.7166	CASP10	496.7155
removed	removed	CASP12	12.1273
CASP1	203.6221	CASP1	670.0354
CASP2	1092.0215	CASP2	942.9005
CASP3	666.6667	CASP3	681.1521
CASP4	316.6911	CASP4	916.6246
CASP6	415.5653	CASP6	400.7074
CASP7	265.2961	CASP7	818.5953
CASP8AP2	477.7288	CASP8AP2	585.6493
CASP8	391.0915	CASP8	569.9848
CASP9	284.8752	CASP9	354.2193
removed	removed	CASQ1	8.0849
CASQ2	66.0793	CASQ2	165.235
CASS4	20.558	CASS4	39.4138
CAST	3080.6167	CAST	4703.5624
CASZ1	2881.5467	CASZ1	864.5781
removed	removed	CATSPER1	8.0849
CATSPER2P1	55.7709	CATSPER2P1	30.0354
CATSPER2	73.8277	CATSPER2	58.1001
CATSPER3	14.3955	CATSPER3	5.0531
CATSPERB	76.8478	CATSPERB	26.2759
CATSPERG	32.3054	CATSPERG	19.2016
CAT	1862.4572	CAT	3240.0202
CAV1	812.5306	CAV1	7585.144
CAV2	326.4807	CAV2	2341.0814
CBARA1	1324.0333	CBARA1	1093.4816
CBFA2T2	1594.7137	CBFA2T2	959.0702
CBFA2T3	1457.1708	CBFA2T3	178.8782
CBFB	745.4723	CBFB	989.8939
CBLB	329.4175	CBLB	530.0657
CBLC	209.0064	CBLC	120.7681
CBLL1	951.0524	CBLL1	736.2304
CBLN1	12.7264	CBLN1	20.2122
CBLN2	115.0269	removed	removed
CBLN3	135.5849	CBLN3	89.4391
CBLN4	38.1791	CBLN4	406.7711
CBL	976.9946	CBL	1434.5629
CBR1	159.0798	CBR1	725.8767
CBR3	85.1689	CBR3	362.3042
CBR4	883.5047	CBR4	684.194
CBS	364.6598	CBS	67.2057
CBWD1	647.5771	CBWD1	766.0435
CBWD2	885.4626	CBWD2	551.7938
CBWD3	301.9922	CBWD3	215.5331
removed	removed	CBWD5	17.4128
CBWD6	71.4635	CBWD6	77.8171
CBX1	2377.8757	CBX1	1672.0566
CBX2	34.2633	CBX2	89.4391
CBX3	3407.2442	CBX3	2623.0419
CBX4	1290.2594	CBX4	310.2577
CBX5	3386.1968	CBX5	3729.6614
CBX6	1072.4425	CBX6	778.1708
CBX7	1246.696	CBX7	1974.7347
CBX8	106.7058	CBX8	71.2481
CBY1	741.0279	CBY1	612.193
CC2D1A	858.0519	CC2D1A	712.9864
CC2D1B	674.9878	CC2D1B	702.3749
CC2D2A	282.4278	CC2D2A	493.1784
CC2D2B	5.8737	CC2D2B	12.6326
CCAR1	1448.3603	CCAR1	1325.9222
removed	removed	CCBE1	35.3714
CCBL1	213.4116	CCBL1	231.43
CCBL2	542.3201	CCBL2	518.0091
CCBP2	68.5267	CCBP2	99.5452
CCDC101	285.3647	CCDC101	238.5043
CCDC102A	44.5423	CCDC102A	161.1925
CCDC102B	56.2898	CCDC102B	133.906
CCDC103	332.3544	CCDC103	147.5493
CCDC104	1175.2325	CCDC104	780.192
CCDC106	377.8757	CCDC106	137.9485
CCDC107	184.6696	CCDC107	305.2501
CCDC108	212.4327	CCDC108	8.5902
CCDC109A	411.1601	CCDC109A	559.8787
CCDC109B	150.7587	CCDC109B	292.572
CCDC110	135.0954	CCDC110	78.8277
CCDC111	210.8664	CCDC111	295.619
CCDC112	374.4493	CCDC112	211.7231
CCDC113	581.4978	CCDC113	256.19
CCDC114	70.9741	CCDC114	16.1698
CCDC115	1008.8106	CCDC115	900.4548
CCDC116	5.8737	CCDC116	6.0637
CCDC117	968.6735	CCDC117	1120.7681
CCDC11	89.5742	CCDC11	26.7812
CCDC120	517.3764	CCDC120	367.8626
CCDC121	160.0587	CCDC121	191.0056
CCDC122	62.1635	CCDC122	63.6685
CCDC123	593.2452	CCDC123	348.1556
CCDC124	501.2237	CCDC124	327.9434
CCDC125	925.1101	CCDC125	576.0485
CCDC126	166.4219	CCDC126	265.2855
CCDC127	619.6769	CCDC127	366.3466
removed	removed	CCDC129	25.7706
CCDC12	431.7181	CCDC12	324.9116
CCDC130	343.6123	CCDC130	351.6928
CCDC132	694.0773	CCDC132	735.7251
CCDC134	45.5213	CCDC134	46.9934
CCDC136	30.3475	CCDC136	68.2163
CCDC137	298.091	CCDC137	247.0945
CCDC138	52.8634	CCDC138	41.9404
CCDC13	34.2633	CCDC13	9.0955
CCDC141	9.7895	CCDC141	125.3158
CCDC142	134.7969	CCDC142	156.4123
CCDC144A	13.6809	CCDC144A	46.3365
CCDC144B	41.7279	CCDC144B	38.4032
CCDC146	182.5746	CCDC146	195.048
removed	removed	CCDC147	14.1486
CCDC148	31.816	CCDC148	26.2759
CCDC149	372.002	CCDC149	675.0884
CCDC14	496.3289	CCDC14	1061.142
CCDC150	6.3632	CCDC150	13.6433
CCDC151	12.2369	CCDC151	11.1167
CCDC152	27.2687	CCDC152	174.4265
CCDC153	7.8316	CCDC153	8.0849
removed	removed	CCDC154	8.0849
CCDC157	90.9447	CCDC157	24.7954
CCDC158	33.2844	CCDC158	43.4563
CCDC159	251.1013	CCDC159	176.3517
CCDC15	66.5688	CCDC15	270.3386
CCDC160	25.4528	CCDC160	56.0889
CCDC163P	30.837	CCDC163P	34.3608
removed	removed	CCDC17	21.7281
CCDC18	69.0162	CCDC18	53.5624
CCDC19	43.5634	CCDC19	7.0743
CCDC21	639.256	CCDC21	322.385
CCDC22	557.9834	CCDC22	379.5604
CCDC23	225.6486	CCDC23	321.3744
CCDC24	401.6936	CCDC24	181.3744
CCDC25	1525.208	CCDC25	1137.4432
CCDC28A	530.5923	CCDC28A	491.6574
CCDC28B	166.9114	CCDC28B	68.7216
CCDC30	263.8277	CCDC30	123.2946
CCDC34	207.0485	CCDC34	260.7377
removed	removed	CCDC36	54.573
CCDC39	31.3265	CCDC39	46.8216
CCDC3	412.139	CCDC3	1002.8954
CCDC40	281.4488	CCDC40	83.8807
CCDC41	148.3113	CCDC41	194.5427
CCDC43	616.7401	CCDC43	398.1809
CCDC45	365.1493	CCDC45	483.0723
CCDC46	41.6055	CCDC46	337.0389
CCDC47	3311.7964	CCDC47	3312.7842
CCDC48	82.232	CCDC48	99.5452
CCDC50	1279.9804	CCDC50	2677.1097
CCDC51	308.37	CCDC51	194.5427
CCDC52	527.6554	CCDC52	427.4886
CCDC53	399.9021	CCDC53	534.6134
CCDC55	728.8302	CCDC55	750.8843
CCDC56	997.9344	CCDC56	679.8282
CCDC57	474.792	CCDC57	676.099
CCDC58	114.048	CCDC58	130.8742
CCDC59	373.9599	CCDC59	427.4886
CCDC61	144.885	CCDC61	112.1779
removed	removed	CCDC62	9.6008
CCDC64B	335.7807	CCDC64B	240.5255
CCDC64	1079.2952	CCDC64	112.6832
CCDC65	120.4112	CCDC65	17.6857
CCDC66	274.0284	CCDC66	365.8717
removed	removed	CCDC67	8.5902
CCDC68	13.7053	CCDC68	87.9232
CCDC69	294.6647	CCDC69	1216.2708
CCDC6	2124.8164	CCDC6	2672.0566
CCDC71	564.3661	CCDC71	442.1425
CCDC72	992.1684	CCDC72	1053.5624
CCDC73	29.4567	CCDC73	34.5983
CCDC74A	3540.8713	CCDC74A	252.6529
CCDC74B	1095.9373	CCDC74B	58.1102
CCDC75	77.3372	CCDC75	82.3648
CCDC76	232.9124	CCDC76	332.3497
CCDC77	150.7587	CCDC77	141.9909
CCDC78	82.7215	CCDC78	9.0955
CCDC7	35.7318	CCDC7	40.9298
CCDC80	1464.0235	CCDC80	11144.5174
CCDC81	5.3842	CCDC81	16.6751
CCDC82	167.4009	CCDC82	622.5366
CCDC84	82.7215	CCDC84	141.4856
CCDC85A	44.5423	CCDC85A	172.3598
CCDC85B	153.6955	CCDC85B	122.7893
CCDC85C	1159.4714	CCDC85C	583.0925
CCDC86	409.6867	CCDC86	333.3653
CCDC87	62.653	CCDC87	18.6963
CCDC88A	500.2447	CCDC88A	1303.6887
CCDC88B	168.8693	CCDC88B	210.2072
CCDC88C	880.5678	CCDC88C	645.2754
CCDC89	67.5477	CCDC89	54.573
CCDC8	93.0005	CCDC8	1150.5811
CCDC90A	406.7548	CCDC90A	297.6251
CCDC90B	640.2154	CCDC90B	738.7468
CCDC91	898.6784	CCDC91	506.3163
CCDC92	705.3353	CCDC92	737.241
CCDC93	765.0514	CCDC93	1147.5493
CCDC94	325.0122	CCDC94	295.0985
CCDC96	151.7376	CCDC96	48.5093
CCDC97	1196.7695	CCDC97	803.4361
CCDC99	252.0803	CCDC99	191.5109
CCDC9	223.2012	CCDC9	206.67
CCHCR1	237.396	CCHCR1	309.7524
CCIN	5.3842	CCIN	7.0743
CCL11	10.279	CCL11	8.5902
removed	removed	CCL13	82.8701
CCL14	184.0382	CCL14	3338.8833
removed	removed	CCL17	17.1804
removed	removed	CCL18	337.5442
CCL19	302.9858	CCL19	368.3679
CCL21	176.7009	CCL21	1262.2537
CCL22	22.5159	CCL22	181.4047
removed	removed	CCL23	15.1592
removed	removed	CCL24	7.0743
CCL28	59.7161	CCL28	1690.7529
CCL2	316.6911	CCL2	677.615
removed	removed	CCL3L1	34.4618
CCL3L3	12.0411	CCL3L3	12.0263
CCL3	151.7376	CCL3	189.4896
CCL4L2	95.9373	CCL4L2	67.2057
CCL4	124.8164	CCL4	91.9656
CCL5	570.2398	CCL5	515.9171
removed	removed	CCL7	9.0955
CCL8	49.9266	CCL8	66.195
CCM2	647.0876	CCM2	716.5235
removed	removed	CCNA1	10.6114
CCNA2	277.6407	CCNA2	105.2501
CCNB1IP1	464.513	CCNB1IP1	638.7064
CCNB1	765.5409	CCNB1	207.6806
CCNB2	282.9173	CCNB2	49.0147
CCNB3	17.6211	CCNB3	9.0955
CCNC	1634.8507	CCNC	1354.7246
CCND1	9713.1669	CCND1	3590.8641
CCND2	465.4919	CCND2	1260.7377
CCND3	1414.5864	CCND3	1377.9687
CCNDBP1	1745.4723	CCNDBP1	1218.2921
CCNE1	38.6686	CCNE1	16.1698
CCNE2	207.3568	CCNE2	50.667
CCNF	485.5605	CCNF	321.8797
CCNG1	3047.9687	CCNG1	3140.9803
CCNG2	2758.6882	CCNG2	2558.3628
CCNH	922.9564	CCNH	550.1617
CCNI2	6.5394	CCNI2	7.3471
CCNI	6741.5565	CCNI	6474.9874
CCNJL	22.5159	CCNJL	109.146
CCNJ	165.443	CCNJ	252.1475
CCNK	930.5923	CCNK	802.9611
CCNL1	915.3206	CCNL1	1605.8615
CCNL2	1927.068	CCNL2	2587.1652
CCNO	503.1816	CCNO	75.7959
CCNT1	171.8062	CCNT1	256.19
CCNT2	1057.7582	CCNT2	1026.2759
CCNYL1	307.8806	CCNYL1	664.477
CCNY	1632.4033	CCNY	1964.1233
CCPG1	2414.4004	CCPG1	2744.3962
CCR10	14.1948	CCR10	10.6114
CCR1	295.1542	CCR1	813.0369
CCR2	72.4425	CCR2	176.857
CCR4	25.9422	CCR4	44.9722
CCR5	203.1326	CCR5	388.0748
CCR6	45.0563	CCR6	35.0733
CCR7	58.2477	CCR7	76.8065
CCRL1	14.1948	CCRL1	264.7802
CCRL2	38.6686	CCRL2	220.8186
CCRN4L	397.4547	CCRN4L	116.7256
CCS	294.6647	CCS	280.4447
CCT2	3691.63	CCT2	2333.5018
CCT3	5752.325	CCT3	3558.8681
CCT4	4632.8928	CCT4	3564.9318
CCT5	4885.952	CCT5	2832.7438
CCT6A	3189.9168	CCT6A	2630.6215
CCT6B	114.5374	CCT6B	84.8914
CCT6P1	58.2477	CCT6P1	81.8595
CCT7	6326.9701	CCT7	3313.2895
CCT8	4434.6549	CCT8	2687.7211
CD101	36.7107	CD101	49.52
CD109	239.3539	CD109	1399.6968
CD14	2025.9422	CD14	1815.5634
CD151	5972.5893	CD151	5199.5958
CD160	7.3421	CD160	20.2122
CD163L1	52.374	CD163L1	135.4219
CD163	389.1336	CD163	2176.857
CD164L2	18.6001	CD164L2	67.2057
CD164	14873.7151	CD164	13472.4608
CD180	108.6637	CD180	288.0243
CD19	21.0475	removed	removed
removed	removed	CD1A	11.622
removed	removed	CD1B	15.1592
CD1C	29.3686	CD1C	131.8848
CD1D	76.8478	CD1D	88.9338
CD1E	16.6422	CD1E	40.9298
CD200R1	12.7264	CD200R1	55.0783
CD200	166.4219	CD200	653.8656
CD207	9.7895	CD207	15.6645
CD209	36.7107	CD209	366.3466
CD226	17.6211	CD226	38.9085
CD22	115.0269	CD22	178.8782
CD244	10.279	CD244	19.2016
CD247	49.4371	CD247	96.5134
CD248	639.256	CD248	2296.1091
CD24	51009.3	CD24	13608.3881
CD274	11.258	CD274	50.0253
CD276	2331.3754	CD276	1905.5078
CD27	93.6221	CD27	129.5452
CD28	40.1371	CD28	82.8701
CD2AP	2255.5066	CD2AP	1680.1415
CD2BP2	1131.6691	CD2BP2	1075.7959
CD2	198.7274	CD2	202.6276
CD300A	222.7117	CD300A	479.0298
CD300C	50.4161	CD300C	90.4497
CD300LB	15.6632	CD300LB	285.4977
CD300LF	30.3475	CD300LF	106.1142
CD300LG	8.3211	CD300LG	1051.0359
CD302	2150.7587	CD302	2262.4103
CD320	731.767	CD320	494.189
CD33	100.3426	CD33	170.288
CD34	1696.5247	CD34	4748.8631
CD36	227.117	CD36	19188.479
CD37	448.3603	CD37	524.5073
CD38	11.258	CD38	42.951
CD3D	61.674	CD3D	89.4391
CD3EAP	396.9652	CD3EAP	407.9232
CD3E	212.9222	CD3E	270.8439
CD3G	26.9212	CD3G	41.4351
CD40LG	24.9633	CD40LG	51.0359
CD40	224.1801	CD40	510.3588
CD44	22135.5849	CD44	9256.6953
CD46	8903.5732	CD46	6795.8565
CD47	1378.8546	CD47	3126.3264
CD48	276.5541	CD48	434.0576
CD4	1247.1855	CD4	2187.9737
CD52	192.8536	CD52	1739.7676
CD53	929.5154	CD53	1638.7064
CD55	296.1331	CD55	1777.6655
CD58	174.743	CD58	271.8545
CD59	9177.6799	CD59	20248.1051
CD5	64.6109	CD5	95.5028
CD63	9106.2163	CD63	11050.5306
CD68	1933.9207	CD68	8144.5174
CD69	137.5428	CD69	172.3092
CD6	126.2849	CD6	137.4432
CD70	7.8316	CD70	17.6857
CD72	35.2423	CD72	113.1885
CD74	36226.6275	CD74	42187.9737
CD79A	123.8375	CD79A	231.43
CD79B	77.3372	CD79B	137.9485
CD7	46.0108	CD7	52.0465
CD80	20.0685	CD80	17.6857
CD81	9135.5849	CD81	12090.4497
CD82	217.8169	CD82	1429.5099
CD83	300.5384	CD83	692.2688
CD84	100.3426	CD84	289.0349
CD86	200.6853	CD86	362.8095
CD8A	168.8693	CD8A	179.3835
CD8B	43.0739	CD8B	56.5942
CD93	2176.2115	CD93	4118.7468
CD96	80.2741	CD96	130.8742
CD97	514.4395	CD97	1120.2628
CD99L2	3371.5125	CD99L2	1381.0005
CD99	1073.4214	CD99	2175.3411
CD9	4402.3495	CD9	6454.2698
CDADC1	147.3324	CDADC1	236.4831
CDAN1	470.3867	CDAN1	401.718
CDA	59.2266	CDA	55.0783
CDC123	1045.6486	CDC123	776.953
CDC14A	241.3118	CDC14A	457.807
CDC14B	84.1899	CDC14B	629.6109
removed	removed	CDC14C	10.6114
CDC16	1479.6867	CDC16	1407.2764
CDC20B	122.3691	removed	removed
CDC20	409.2022	CDC20	75.2906
CDC23	656.3877	CDC23	815.0581
CDC25A	139.9902	CDC25A	25.7706
CDC25B	502.6921	CDC25B	683.6786
CDC25C	49.9266	CDC25C	6.0637
CDC26	131.1796	CDC26	122.6882
CDC27	1691.63	CDC27	1496.2102
CDC34	441.0181	CDC34	351.6928
CDC37L1	443.955	CDC37L1	397.6756
CDC37	1844.836	CDC37	2021.7281
CDC40	944.6892	CDC40	853.4613
CDC42BPA	910.4258	CDC42BPA	2118.2415
CDC42BPB	3999.021	CDC42BPB	2894.3911
CDC42BPG	707.2932	CDC42BPG	769.0753
CDC42EP1	619.1875	CDC42EP1	1338.5548
CDC42EP2	302.9858	CDC42EP2	374.4315
CDC42EP3	1060.2056	CDC42EP3	1026.7812
CDC42EP4	1085.1689	CDC42EP4	1736.7357
CDC42EP5	18.1106	CDC42EP5	98.0293
CDC42SE1	2356.0352	CDC42SE1	2897.0793
CDC42SE2	1449.3392	CDC42SE2	1711.9757
CDC42	5514.4395	CDC42	5267.812
CDC45	151.7376	CDC45	7.5796
CDC5L	1146.8429	CDC5L	993.9363
CDC6	345.0808	CDC6	64.6791
CDC73	1077.8267	CDC73	1146.5387
CDC7	198.2379	CDC7	59.1208
CDCA2	81.2531	CDCA2	24.2547
CDCA3	158.4826	CDCA3	51.051
CDCA4	198.7274	CDCA4	194.5427
CDCA5	322.5649	CDCA5	77.3118
CDCA7L	132.5795	CDCA7L	538.0344
CDCA7	20.558	CDCA7	67.711
CDCA8	279.4909	CDCA8	62.1526
CDCP1	783.162	CDCP1	652.855
CDH11	999.021	CDH11	1884.285
removed	removed	CDH12	28.8024
CDH13	312.2859	CDH13	664.9823
removed	removed	CDH17	7.5796
removed	removed	CDH19	8.0849
CDH1	15560.4503	CDH1	7697.8272
removed	removed	CDH22	26.7812
CDH23	32.3054	CDH23	243.5574
CDH24	206.0695	CDH24	119.2521
CDH26	5.3842	CDH26	18.191
CDH2	139.9902	CDH2	63.6685
CDH3	86.6373	CDH3	1437.0894
removed	removed	CDH4	16.1698
CDH5	1088.5952	CDH5	3205.1541
CDH6	80.2741	CDH6	122.284
CDH7	24.9633	removed	removed
removed	removed	CDH8	8.0849
CDHR1	8.8106	CDHR1	25.2653
CDHR3	1324.3759	CDHR3	74.1839
CDHR4	5.3842	removed	removed
CDIPT	2385.7073	CDIPT	1700.3537
CDK10	896.7205	CDK10	768.57
CDK11A	355.2129	CDK11A	230.763
CDK11B	638.4239	CDK11B	672.7236
CDK12	1449.3392	CDK12	1314.3002
CDK13	989.721	CDK13	1087.9232
CDK14	385.7073	CDK14	1005.5584
CDK16	2686.2457	CDK16	1307.7312
CDK17	1742.046	CDK17	998.9894
CDK18	89.0847	CDK18	482.567
CDK19	779.4567	CDK19	902.8701
CDK1	823.2991	CDK1	137.9485
CDK20	246.2066	CDK20	159.6766
CDK2AP1	970.6314	CDK2AP1	2232.4406
CDK2AP2	1378.8546	CDK2AP2	613.9464
CDK2	455.7024	CDK2	570.4901
CDK3	141.5761	CDK3	128.4487
CDK4	1704.8458	CDK4	1650.8338
CDK5R1	292.2173	CDK5R1	72.2587
CDK5R2	431.7181	CDK5R2	6.569
CDK5RAP1	502.2026	CDK5RAP1	418.3931
CDK5RAP2	1115.0269	CDK5RAP2	1374.9368
CDK5RAP3	1591.7768	CDK5RAP3	2154.1182
CDK5	524.7186	CDK5	203.1329
CDK6	291.7279	CDK6	933.2996
CDK7	442.976	CDK7	363.3148
CDK8	102.3005	CDK8	166.2456
CDK9	1189.9168	CDK9	1059.1208
CDKAL1	180.6167	CDKAL1	293.5826
CDKL1	8.3211	CDKL1	21.7281
CDKL2	10.7685	CDKL2	66.195
CDKL3	29.5595	CDKL3	32.7337
CDKL5	8.8106	CDKL5	55.5836
CDKN1A	3420.4601	CDKN1A	2057.0995
CDKN1B	280.9594	CDKN1B	1820.6165
CDKN1C	99.3637	CDKN1C	679.6362
CDKN2AIPNL	527.1659	CDKN2AIPNL	303.1834
CDKN2AIP	461.0866	CDKN2AIP	612.9358
CDKN2A	130.6902	CDKN2A	29.813
CDKN2BAS	18.1106	removed	removed
CDKN2B	262.8488	CDKN2B	306.7206
CDKN2C	501.2237	CDKN2C	390.096
CDKN2D	330.3965	CDKN2D	88.4285
CDKN3	104.7479	CDKN3	33.3502
CDNF	41.116	CDNF	56.0889
CDO1	23.0054	CDO1	316.8267
CDON	453.255	CDON	1007.0743
CDR1	5.3842	CDR1	40.1516
CDR2L	534.5081	CDR2L	391.1066
CDR2	493.8815	CDR2	589.6918
CDRT15P	9.3	CDRT15P	9.0955
CDRT4	303.4068	CDRT4	325.0783
CDS1	1501.7132	CDS1	800.9096
CDS2	958.884	CDS2	884.7903
CDSN	12.2369	CDSN	120.7681
CDT1	440.5286	CDT1	51.5412
CDV3	1841.8992	CDV3	4079.333
CDX1	9.7895	CDX1	6.569
CDYL2	779.7357	CDYL2	70.7428
CDYL	679.8825	CDYL	642.7489
CEACAM19	17.6211	CEACAM19	53.0571
CEACAM1	358.7861	CEACAM1	637.1905
CEACAM21	49.9266	CEACAM21	20.2122
removed	removed	CEACAM4	5.0531
CEACAM5	6128.7323	CEACAM5	133.4007
CEACAM6	699.4616	CEACAM6	77.8171
CEACAM7	151.2482	CEACAM7	14.6539
CEBPA	658.3456	CEBPA	672.5619
CEBPB	337.2491	CEBPB	934.3103
CEBPD	227.117	CEBPD	683.6786
CEBPG	1606.4611	CEBPG	1158.1607
CEBPZ	1423.8864	CEBPZ	1199.5958
CECR1	1082.7215	CECR1	4049.52
removed	removed	CECR2	36.382
CECR5	651.4929	CECR5	457.807
CECR6	396.4758	CECR6	89.9444
CECR7	56.2898	CECR7	75.7959
CELF1	2209.4958	CELF1	1849.9242
CELF2	367.5967	CELF2	1182.4154
CELF4	174.2535	CELF4	11.1167
CELF5	11.258	CELF5	41.9404
CELF6	203.6221	CELF6	108.2264
CELSR1	12355.3598	CELSR1	2117.7362
CELSR2	2719.5301	CELSR2	1692.2688
CELSR3	1411.816	CELSR3	71.7534
CEL	40.6265	CEL	15.6645
CEMP1	139.6672	CEMP1	138.6256
CENPA	93.49	CENPA	17.6857
CENPBD1	469.8972	CENPBD1	341.0814
CENPB	1682.3299	CENPB	1492.1678
CENPC1	442.976	CENPC1	527.0339
CENPE	251.1013	CENPE	62.6579
CENPF	885.952	CENPF	228.9035
CENPH	153.6955	CENPH	87.4179
CENPI	18.1106	CENPI	14.6539
CENPJ	136.0744	CENPJ	159.1713
CENPK	95.4479	CENPK	38.4032
CENPL	125.7954	CENPL	106.1142
CENPM	206.559	CENPM	20.2122
CENPN	295.4674	CENPN	166.7964
CENPO	141.0622	CENPO	55.0278
CENPP	89.6231	CENPP	58.9186
CENPQ	125.3059	CENPQ	104.5983
CENPT	447.3813	CENPT	607.8828
CENPV	268.233	CENPV	90.955
CENPW	80.7636	CENPW	112.6832
CEP110	332.8439	CEP110	623.5472
CEP120	730.7881	CEP120	795.3512
CEP135	239.3539	CEP135	250.6316
CEP152	66.0793	CEP152	105.6089
CEP164	520.8027	CEP164	588.6812
