gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
ACOT11	38.1021	ACOT11	19.9003
ACOT13	537.3293	ACOT13	552.0115
ACOT1	175.0539	ACOT1	586.8873
ACOT2	87.3472	ACOT2	323.7853
ACOT4	121.1359	ACOT4	169.7433
ACOT7	495.6866	ACOT7	151.0715
ACOT8	224.6693	ACOT8	184.443
ACOT9	305.895	ACOT9	431.7844
ACOX1	1918.6161	ACOX1	2349.3783
ACOX2	583.7527	ACOX2	303.2039
ACOX3	901.8692	ACOX3	794.1863
ACP1	1479.5111	ACP1	1437.9376
ACP2	1354.4213	ACP2	824.7401
ACP5	637.6707	ACP5	571.6104
ACP6	145.9382	ACP6	312.1154
ACPL2	462.2574	ACPL2	497.9843
ACPP	17.6132	ACPP	14.0038
ACRBP	14.3781	ACRBP	22.2788
ACRC	11.862	ACRC	25.8858
removed	removed	ACR	7.6384
removed	removed	ACSBG1	8.275
ACSF2	631.9195	ACSF2	762.5716
ACSF3	228.2531	ACSF3	174.199
ACSL1	1576.2042	ACSL1	4788.2453
ACSL3	4294.0331	ACSL3	4539.7836
ACSL4	2498.2027	ACSL4	1638.4468
ACSL5	399.7124	ACSL5	596.011
ACSL6	62.9044	ACSL6	19.0961
ACSM1	11.1431	ACSM1	18.2474
removed	removed	ACSM3	46.6815
ACSM5	8.2674	ACSM5	52.4082
ACSS1	669.3027	ACSS1	831.742
ACSS2	874.5507	ACSS2	1085.0838
ACSS3	103.5226	ACSS3	366.0089
ACTA1	13.6592	removed	removed
ACTA2	2488.8821	ACTA2	12411.8184
ACTB	62096.3336	ACTB	43595.5867
ACTC1	7.5485	removed	removed
ACTG1	101922.358	ACTG1	47630.1719
ACTG2	111.0712	ACTG2	1833.4394
ACTL6A	2523.005	ACTL6A	1164.8631
ACTL8	42.775	ACTL8	7.4263
ACTN1	4840.0431	ACTN1	4740.9293
ACTN2	109.9928	ACTN2	19.0961
ACTN4	10270.4637	ACTN4	6672.7689
ACTR10	707.7642	ACTR10	1138.5529
ACTR1A	2362.6887	ACTR1A	1987.9058
ACTR1B	809.4896	ACTR1B	709.1025
ACTR2	7743.3501	ACTR2	6335.4551
ACTR3B	262.4012	ACTR3B	237.8527
ACTR3C	41.6966	ACTR3C	27.5833
ACTR3	4760.6039	ACTR3	2775.0902
ACTR5	227.1747	ACTR5	201.5701
ACTR6	457.9439	ACTR6	580.3098
ACTR8	455.7872	ACTR8	611.0757
ACVR1B	1752.6959	ACVR1B	1517.0804
ACVR1C	26.959	ACVR1C	440.0594
ACVR1	909.4177	ACVR1	944.6213
ACVR2A	381.7398	ACVR2A	687.0359
ACVR2B	527.3185	ACVR2B	481.01
ACVRL1	592.3796	ACVRL1	429.4505
ACY1	345.7944	ACY1	383.4309
removed	removed	ACY3	10.1846
ACYP1	30.913	ACYP1	58.3492
ACYP2	48.1668	ACYP2	123.9126
ADAL	134.4357	ADAL	258.6463
ADAM10	2254.8526	ADAM10	2194.1439
ADAM11	5.3918	ADAM11	23.5519
ADAM12	1063.2638	ADAM12	889.8791
ADAM15	3437.0956	ADAM15	1886.7218
ADAM17	1038.1021	ADAM17	954.5937
ADAM19	469.4464	ADAM19	222.3637
removed	removed	ADAM21	7.4263
ADAM22	103.8821	ADAM22	148.9497
ADAM23	51.0424	ADAM23	29.0685
ADAM28	102.8037	ADAM28	172.9259
removed	removed	ADAM29	189.9003
ADAM32	36.6643	ADAM32	78.5063
ADAM33	113.9468	ADAM33	370.5411
ADAM6	12341.348	ADAM6	82065.6906
ADAM8	272.1064	ADAM8	95.6928
ADAM9	3121.4953	ADAM9	2854.6573
ADAMDEC1	90.9418	ADAMDEC1	15.4891
ADAMTS10	103.1632	ADAMTS10	80.8402
ADAMTS12	139.8275	ADAMTS12	180.3522
ADAMTS13	61.4666	ADAMTS13	82.5377
ADAMTS14	43.4939	removed	removed
ADAMTS15	543.1344	ADAMTS15	417.5684
removed	removed	ADAMTS16	63.6537
ADAMTS17	8.6269	ADAMTS17	46.6794
ADAMTS18	97.0525	ADAMTS18	156.376
removed	removed	ADAMTS19	10.8211
ADAMTS1	3200.9346	ADAMTS1	5444.9395
ADAMTS2	263.1201	ADAMTS2	240.1867
ADAMTS3	86.2689	ADAMTS3	120.9421
ADAMTS4	1768.1524	ADAMTS4	339.0622
ADAMTS5	123.2926	ADAMTS5	1793.1254
ADAMTS6	42.4155	ADAMTS6	34.7974
ADAMTS7	99.9281	ADAMTS7	59.198
ADAMTS8	109.6334	ADAMTS8	97.8146
ADAMTS9	2832.4946	ADAMTS9	950.3501
ADAMTSL1	148.0949	ADAMTSL1	101.6338
ADAMTSL2	38.1021	ADAMTSL2	19.0961
ADAMTSL3	115.0252	ADAMTSL3	287.7148
ADAMTSL4	194.8239	ADAMTSL4	246.9764
