gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
EEF1D	4664.6298	EEF1D	2766.603
EEF1E1	312.3652	EEF1E1	323.7853
EEF1G	7670.0216	EEF1G	13908.5508
EEF2K	1156.3623	EEF2K	1545.5124
EEF2	19111.7901	EEF2	34098.0267
EEFSEC	103.1201	EEFSEC	166.219
EEPD1	141.6247	EEPD1	333.9699
EFCAB10	5.8555	EFCAB10	6.673
removed	removed	EFCAB1	59.6223
EFCAB2	90.9418	EFCAB2	136.6433
EFCAB4A	334.6513	EFCAB4A	612.561
EFCAB4B	62.5449	EFCAB4B	141.0991
EFCAB6	67.9367	EFCAB6	104.8165
EFCAB7	75.1258	EFCAB7	197.5387
EFEMP1	2245.1474	EFEMP1	5459.3677
EFEMP2	437.0956	EFEMP2	535.7522
EFHA1	922.7175	EFHA1	2096.9658
EFHA2	30.913	EFHA2	198.5996
EFHB	24.0834	EFHB	68.5338
EFHC1	248.023	EFHC1	549.3316
EFHC2	89.8634	EFHC2	85.0838
EFHD1	5304.0978	EFHD1	3901.3367
EFHD2	851.1862	EFHD2	359.6435
EFNA1	1375.9885	EFNA1	1139.6138
EFNA3	183.3645	EFNA3	174.0547
EFNA4	362.2861	EFNA4	330.2949
EFNA5	730.0503	EFNA5	583.9168
EFNB1	236.8799	EFNB1	407.596
EFNB2	837.8864	EFNB2	1016.7621
EFNB3	185.4781	EFNB3	332.909
EFR3A	3388.9288	EFR3A	3302.5674
EFR3B	138.7491	EFR3B	248.2495
EFS	126.1682	EFS	612.3488
EFTUD1	652.7678	EFTUD1	768.3004
EFTUD2	2713.4508	EFTUD2	1747.5069
EGFL6	59.3098	EGFL6	400.1697
EGFL7	378.8641	EGFL7	521.5362
EGFL8	63.821	EGFL8	86.011
EGFLAM	273.9037	EGFLAM	501.167
EGFR	197.6995	EGFR	1292.7817
EGF	279.2955	EGF	605.7713
EGLN1	1590.2229	EGLN1	1465.0965
EGLN2	1121.7685	EGLN2	601.9202
EGLN3	495.3271	EGLN3	264.3751
EGOT	39.1804	EGOT	33.0999
EGR1	1923.4364	EGR1	32232.9726
EGR2	186.9159	EGR2	2985.784
EGR3	826.7434	EGR3	4239.7624
EHBP1L1	915.1689	EHBP1L1	421.812
EHBP1	651.33	EHBP1	1584.3306
EHD1	1249.1014	EHD1	723.3185
EHD2	1405.8231	EHD2	2053.2569
EHD3	308.4112	EHD3	364.7358
EHD4	2151.33	EHD4	1221.515
EHF	1764.5579	EHF	5480.3734
EHHADH	481.3084	EHHADH	482.283
EHMT1	1314.8814	EHMT1	1130.9145
EHMT2	940.3307	EHMT2	851.899
EI24	2539.5399	EI24	2252.0687
EID1	2448.9576	EID1	3685.7628
EID2B	20.1294	EID2B	38.8288
EID2	179.0079	EID2	245.4912
EID3	23.3645	EID3	42.2236
EIF1AD	504.6729	EIF1AD	450.244
EIF1AX	2539.5399	EIF1AX	3189.0516
EIF1B	564.3422	EIF1B	711.8608
EIF1	13329.9784	EIF1	11182.0496
EIF2AK1	4462.926	EIF2AK1	4245.366
EIF2AK2	1382.0992	EIF2AK2	1226.1829
EIF2AK3	1969.087	EIF2AK3	1356.0365
EIF2AK4	1524.8023	EIF2AK4	1797.369
EIF2A	1908.6988	EIF2A	2345.4275
EIF2B1	515.4565	EIF2B1	891.7887
EIF2B2	453.6305	EIF2B2	386.1659
EIF2B3	468.3681	EIF2B3	556.7579
EIF2B4	664.2703	EIF2B4	689.3698
EIF2B5	1943.2063	EIF2B5	1261.1924
EIF2C1	1200.5751	EIF2C1	1336.3038
EIF2C2	388.2099	EIF2C2	271.5892
EIF2C3	210.2804	EIF2C3	249.5226
EIF2C4	406.1826	EIF2C4	754.5088
EIF2S1	1912.6528	EIF2S1	1923.4034
EIF2S2	2000.3595	EIF2S2	1358.3705
EIF2S3	5549.2451	EIF2S3	5938.0437
EIF3A	7877.4263	EIF3A	6389.9851
EIF3B	2495.3271	EIF3B	2273.0745
EIF3CL	6860.8124	EIF3CL	6323.2739
EIF3C	127.3257	EIF3C	209.5077
EIF3D	2991.0137	EIF3D	3454.6998
EIF3E	5336.4486	EIF3E	7420.9633
EIF3F	1437.4551	EIF3F	1969.0219
EIF3G	1633.6844	EIF3G	1541.812
EIF3H	3701.6535	EIF3H	3705.2833
EIF3I	2727.5701	EIF3I	2964.8398
EIF3J	1973.7599	EIF3J	1759.3889
EIF3K	1520.1294	EIF3K	1847.2311
EIF3L	3768.8713	EIF3L	7888.3938
EIF3M	1938.289	EIF3M	2162.3085
EIF4A1	12439.9533	EIF4A1	9341.5256
EIF4A2	11487.0597	EIF4A2	11390.8339
EIF4A3	2971.9626	EIF4A3	1625.0796
EIF4B	7077.4191	EIF4B	11885.4848
EIF4E1B	10.4242	removed	removed
EIF4E2	1177.2106	EIF4E2	1218.9688
EIF4E3	608.1955	EIF4E3	1155.5273
EIF4EBP1	381.7398	EIF4EBP1	215.7861
EIF4EBP2	3891.0855	EIF4EBP2	5460.0042
EIF4EBP3	228.8641	EIF4EBP3	224.1396
EIF4ENIF1	693.7455	EIF4ENIF1	628.4744
EIF4E	864.8454	EIF4E	709.3147
EIF4G1	20221.4234	EIF4G1	6495.0138
EIF4G2	24498.5622	EIF4G2	19388.7121
EIF4G3	2183.3214	EIF4G3	2147.0401
EIF4H	4774.2631	EIF4H	3273.2867
EIF5A2	214.9533	EIF5A2	252.7053
EIF5AL1	1225.7369	EIF5AL1	770.8466
EIF5A	5777.8577	EIF5A	2984.5109
EIF5B	4426.6715	EIF5B	3142.5843
EIF5	2884.9748	EIF5	4323.5731
EIF6	1734.0043	EIF6	1203.6919
ELAC1	86.2904	ELAC1	162.2279
ELAC2	1403.6664	ELAC2	1275.6206
ELAVL1	1512.5809	ELAVL1	1531.7208
ELAVL2	19.4105	ELAVL2	21.4301
ELAVL3	52.1208	ELAVL3	53.2569
ELF1	1277.1387	ELF1	1740.9293
ELF2	1053.5586	ELF2	1281.3495
ELF3	2785.7656	ELF3	2435.1793
ELF4	918.7635	ELF4	508.3811
ELF5	34.5075	ELF5	1610.4392
ELFN1	44.5723	ELFN1	16.3378
ELFN2	7.5485	removed	removed
ELK1	932.7822	ELK1	606.4078
ELK3	538.1021	ELK3	665.6058
ELK4	364.0726	ELK4	327.3923
ELL2	2350.1078	ELL2	1515.8073
ELL3	197.9008	ELL3	218.5423
ELL	548.1668	ELL	397.8358
ELMO1	370.9561	ELMO1	312.3276
ELMO2	2514.0187	ELMO2	1203.4797
ELMO3	247.6636	ELMO3	246.1277
ELMOD2	392.5234	ELMOD2	403.3524
ELMOD3	255.5715	ELMOD3	549.9682
ELN	1425.5931	ELN	518.3535
ELOF1	610.3523	ELOF1	496.499
ELOVL1	1735.4421	ELOVL1	1292.3828
ELOVL2	1313.803	ELOVL2	652.875
ELOVL3	6.4702	ELOVL3	27.5833
ELOVL4	108.555	ELOVL4	68.3217
ELOVL5	7704.8886	ELOVL5	6737.9588
ELOVL6	311.2868	ELOVL6	218.9688
ELOVL7	442.128	ELOVL7	395.714
ELP2P	10.7836	ELP2P	7.4263
ELP2	2486.3408	ELP2	2735.837
ELP3	400.4313	ELP3	924.2521
ELP4	155.6434	ELP4	166.7728
ELTD1	1112.8684	ELTD1	1232.3361
EMB	623.2926	EMB	1181.6253
EMCN	655.6434	EMCN	758.9646
EMD	1131.56	EMD	699.5544
EME1	112.3041	EME1	44.7443
EME2	16.1754	EME2	21.8544
EMG1	641.2653	EMG1	412.0263
EMID1	153.4867	EMID1	44.1332
EMID2	8.2674	EMID2	6.3654
EMILIN1	846.1538	EMILIN1	306.1744
EMILIN2	430.9849	EMILIN2	347.9737
removed	removed	EMILIN3	34.8716
EML1	391.8045	EML1	399.5332
EML2	954.2595	EML2	416.2954
EML3	645.9382	EML3	475.2811
EML4	1760.2444	EML4	1798.6421
EML5	20.4889	EML5	143.0087
EML6	25.1618	EML6	69.3826
EMP1	4274.6226	EMP1	6311.9032
EMP2	7095.9741	EMP2	3865.4785
EMP3	390.7261	EMP3	238.9136
EMR1	16.5349	EMR1	6.7897
EMR2	168.5838	EMR2	79.9915
removed	removed	EMR4P	6.3654
EMX1	113.5873	EMX1	8.4872
EMX2OS	48.8857	EMX2OS	81.6889
EMX2	7.908	EMX2	17.1865
EN1	6.1107	EN1	47.5281
EN2	46.729	EN2	12.5186
ENAH	6935.2983	ENAH	4417.3562
ENC1	2076.6535	ENC1	1245.6249
ENDOD1	1132.9978	ENDOD1	1389.773
ENDOG	73.7563	ENDOG	78.5805
removed	removed	ENDOU	7.8506
ENGASE	318.4759	ENGASE	330.1506
ENG	2274.619	ENG	1786.5478
ENHO	31.9914	ENHO	50.4986
ENKUR	5.3918	removed	removed
ENO1	11526.5996	ENO1	10030.766
ENO2	438.174	ENO2	604.4982
ENO3	24.8023	ENO3	43.7089
ENOPH1	1450.7549	ENOPH1	1051.3473
ENOSF1	173.0733	ENOSF1	546.1829
ENOX1	9.3458	ENOX1	26.3102
ENOX2	266.7146	ENOX2	331.2115
ENPEP	380.6614	ENPEP	266.4969
ENPP1	2207.0453	ENPP1	1624.0187
ENPP2	1589.504	ENPP2	2670.9102
ENPP3	16.1754	ENPP3	80.4159
ENPP4	820.9921	ENPP4	1593.4649
ENPP5	599.9281	ENPP5	2103.119
ENPP6	23.3645	ENPP6	43.4967
ENSA	5205.9669	ENSA	3478.676
ENTPD1	1132.2789	ENTPD1	1319.1152
ENTPD2	102.8037	ENTPD2	152.1324
ENTPD3	74.7664	ENTPD3	57.7127
ENTPD4	404.0259	ENTPD4	702.1006
ENTPD5	269.6729	ENTPD5	841.551
ENTPD6	2001.4378	ENTPD6	1408.4447
ENTPD7	934.22	ENTPD7	821.9945
ENTPD8	7.5485	ENTPD8	12.5186
ENY2	760.2444	ENY2	532.7817
EOMES	37.3832	EOMES	13.1551
EP300	4246.5852	EP300	3384.6807
EP400NL	106.7577	EP400NL	164.2266
EP400	1335.7297	EP400	1490.1337
EPAS1	8581.2365	EPAS1	5767.0274
EPB41L1	1804.4572	EPB41L1	1693.4012
EPB41L2	1148.0949	EPB41L2	2860.174
EPB41L3	792.2358	EPB41L3	1862.7201
EPB41L4A	442.8469	EPB41L4A	780.3947
EPB41L4B	245.1474	EPB41L4B	837.2586
EPB41L5	884.9748	EPB41L5	964.9905
EPB41	1347.4335	EPB41	1477.7827
removed	removed	EPB42	15.9134
EPB49	186.9159	EPB49	600.2546
EPC1	662.473	EPC1	933.5879
EPC2	650.6111	EPC2	1000.2122
EPCAM	3533.4292	EPCAM	3394.6531
EPDR1	232.5665	EPDR1	423.2973
EPHA10	191.9482	EPHA10	151.0715
EPHA1	395.7584	EPHA1	272.8623
EPHA2	297.6276	EPHA2	610.0149
EPHA3	325.3055	EPHA3	45.6185
EPHA4	266.7146	EPHA4	327.8167
EPHA7	10.4242	EPHA7	52.1961
removed	removed	EPHA8	29.2807
EPHB1	34.867	EPHB1	241.0354
EPHB2	127.9655	EPHB2	50.7108
EPHB3	2772.8253	EPHB3	1506.8958
EPHB4	2358.0158	EPHB4	1730.3204
EPHB6	48.5262	EPHB6	105.453
EPHX1	5031.6319	EPHX1	3038.6166
EPHX2	116.1035	EPHX2	659.0282
removed	removed	EPHX3	5.3045
EPHX4	5.0324	EPHX4	25.2493
EPM2AIP1	817.757	EPM2AIP1	1496.9234
EPM2A	110.3523	EPM2A	231.6996
EPN1	1470.1653	EPN1	723.3185
EPN2	1029.1157	EPN2	1206.8746
EPN3	1025.5212	EPN3	360.7044
EPOR	73.3285	EPOR	265.4615
EPO	5.3918	removed	removed
EPPK1	1951.4738	EPPK1	584.9777
EPR1	622.6132	EPR1	126.0959
EPRS	5662.8325	EPRS	4634.6276
EPS15L1	776.0604	EPS15L1	672.3955
EPS15	1864.8454	EPS15	2569.913
EPS8L1	551.7613	EPS8L1	279.4398
EPS8L2	844.716	EPS8L2	741.1415
EPS8	1649.1733	EPS8	1821.3452
EPSTI1	236.161	EPSTI1	103.5434
EPT1	1933.4939	EPT1	1537.6257
ERAL1	1253.7743	ERAL1	792.701
ERAP1	1668.4723	ERAP1	2326.5478
ERAP2	1108.1955	ERAP2	1021.8544
ERBB2IP	4713.5155	ERBB2IP	4280.5007
ERBB2	7971.9626	ERBB2	4946.1065
ERBB3	10537.3832	ERBB3	12148.3132
ERBB4	682.243	ERBB4	1156.376
ERC1	1644.1409	ERC1	1933.3758
removed	removed	ERC2	7.8506
ERCC1	540.762	ERCC1	593.7153
ERCC2	295.3451	ERCC2	291.3219
ERCC3	809.849	ERCC3	1033.0999
ERCC4	745.8663	ERCC4	663.6962
ERCC5	960.4601	ERCC5	1387.4708
ERCC6L	191.9482	ERCC6L	79.9915
ERCC6	296.6786	ERCC6	507.4623
ERCC8	242.6312	ERCC8	245.4912
EREG	219.6262	EREG	24.6128
ERF	823.8677	ERF	777.4241
ERGIC1	7365.9238	ERGIC1	6153.4055
ERGIC2	951.1143	ERGIC2	949.5014
ERGIC3	3964.0546	ERGIC3	3362.4019
ERG	681.8835	ERG	672.6077
ERH	1543.1344	ERH	1325.6949
ERI1	275.7009	ERI1	429.2383
ERI2	478.3357	ERI2	617.439
ERI3	722.1423	ERI3	670.4859
ERICH1	125.8088	ERICH1	187.3541
ERLEC1	2037.0237	ERLEC1	2004.0314
ERLIN1	1401.8692	ERLIN1	1176.1086
ERLIN2	1760.6039	ERLIN2	2860.8105
ERMAP	173.2566	ERMAP	510.715
ERMN	9.3458	ERMN	12.5186
ERMP1	2952.358	ERMP1	1998.2177
ERN1	560.0288	ERN1	429.6626
ERO1LB	1719.6262	ERO1LB	1172.7138
ERO1L	1080.5176	ERO1L	897.0931
ERP27	67.9367	ERP27	219.6053
ERP29	1484.5435	ERP29	1106.0895
ERP44	1042.0561	ERP44	1241.8842
ERRFI1	1470.1653	ERRFI1	1995.9686
ERVFRDE1	8.9863	ERVFRDE1	7.8506
ESAM	704.8886	ESAM	680.2461
ESCO1	757.3688	ESCO1	1107.5748
ESCO2	69.0151	ESCO2	47.1038
ESD	710.9993	ESD	1460.853
ESF1	928.8282	ESF1	819.86
ESM1	78.3609	ESM1	28.2198
ESPL1	607.4766	ESPL1	165.4997
removed	removed	ESPNL	9.3359
removed	removed	ESPNP	5.7288
ESPN	182.9619	ESPN	177.8061
ESR1	7339.6837	ESR1	5196.2656
removed	removed	ESR2	20.7935
ESRP1	4684.7592	ESRP1	2527.0528
ESRP2	1063.2638	ESRP2	897.9419
ESRRA	401.1503	ESRRA	236.5797
removed	removed	ESRRB	5.7288
ESRRG	107.8361	ESRRG	212.6034
ESYT1	4196.2617	ESYT1	3961.5956
ESYT2	4630.8411	ESYT2	4335.0308
removed	removed	ESYT3	32.8878
ETAA1	414.45	ETAA1	580.7341
ETF1	4065.0611	ETF1	3878.2092
ETFA	830.6973	ETFA	1183.5349
ETFB	515.0971	ETFB	371.7377
ETFDH	528.7563	ETFDH	712.2449
ETHE1	386.7721	ETHE1	355.1878
ETNK1	1696.2617	ETNK1	2213.0278
ETNK2	1391.8045	ETNK2	785.0626
ETS1	2620.417	ETS1	2532.3573
ETS2	1676.4917	ETS2	1965.8392
ETV1	165.7081	ETV1	772.7562
ETV2	10.4242	ETV2	8.4872
ETV3L	11.1431	ETV3L	23.5519
ETV3	448.2387	ETV3	478.2516
ETV4	188.7132	ETV4	245.7034
ETV5	204.8886	ETV5	816.4651
ETV6	2157.0812	ETV6	2242.5207
ETV7	78.3609	ETV7	33.9487
EVC2	34.5075	EVC2	99.2998
EVC	767.4012	EVC	846.6836
EVI2A	252.3364	EVI2A	165.924
EVI2B	383.8965	EVI2B	309.9936
EVI5L	194.4644	EVI5L	178.867
EVI5	436.0173	EVI5	584.9777
EVL	1011.5025	EVL	3343.3058
EVPL	1028.0374	EVPL	348.8224
EWSR1	3677.9295	EWSR1	2898.5784
EXD2	880.3019	EXD2	982.6013
EXD3	79.0798	EXD3	136.6433
EXO1	416.6068	EXO1	95.6928
EXOC1	883.1776	EXOC1	1213.6643
EXOC2	944.2847	EXOC2	1520.4753
EXOC3L2	45.6506	EXOC3L2	23.1275
EXOC3L	23.7239	EXOC3L	34.6955
EXOC3	1416.6068	EXOC3	999.5756
EXOC4	1760.9633	EXOC4	1622.1091
EXOC5	1624.371	EXOC5	1971.3558
EXOC6B	232.5665	EXOC6B	335.8795
EXOC6	688.3537	EXOC6	861.8714
EXOC7	2570.3846	EXOC7	2762.1833
EXOC8	869.5183	EXOC8	834.7125
EXOG	95.9741	EXOG	145.5548
EXOSC10	1344.3566	EXOSC10	1603.0129
EXOSC1	293.6736	EXOSC1	283.8956
EXOSC2	456.1467	EXOSC2	426.9043
EXOSC3	354.7807	EXOSC3	351.1564
EXOSC4	350.8267	EXOSC4	164.0144
EXOSC5	320.2732	EXOSC5	187.1419
EXOSC6	249.8203	EXOSC6	244.0059
EXOSC7	277.1387	EXOSC7	312.9641
EXOSC8	179.2919	EXOSC8	301.324
EXOSC9	581.6283	EXOSC9	596.7176
EXPH5	271.3875	EXPH5	408.2325
EXT1	1370.2372	EXT1	1173.9868
EXT2	2502.8756	EXT2	2120.3055
EXTL1	11.1431	EXTL1	28.8564
EXTL2	263.4795	EXTL2	541.481
EXTL3	532.3508	EXTL3	916.8258
removed	removed	EYA1	21.6423
EYA2	112.8684	EYA2	372.7986
EYA3	336.0891	EYA3	272.4379
EYS	25.1618	EYS	35.4339
EZH1	751.2581	EZH1	1161.8926
EZH2	420.2013	EZH2	255.6758
EZR	16561.826	EZR	4668.7885
F10	20.1294	F10	37.9801
F11R	10170.7405	F11R	4953.5328
F12	65.0611	F12	32.2512
F13A1	2031.9914	F13A1	2951.1988
F2RL1	160.3163	F2RL1	196.4778
F2RL2	1095.9741	F2RL2	492.0433
F2RL3	17.2538	F2RL3	75.9601
F2R	2046.0101	F2R	1668.7885
F3	94.5363	F3	815.4042
F5	76.2042	F5	10.609
F7	274.6226	F7	167.8337
F8A1	78.3609	F8A1	61.3198
F8	557.1531	F8	1118.1837
FA2H	8.9863	FA2H	40.7384
FAAH2	259.885	FAAH2	188.2028
FAAH	210.2804	FAAH	327.6045
FABP3	48.1668	FABP3	58.9858
FABP4	405.1042	FABP4	8702.1006
FABP5	53.1991	FABP5	77.4454
removed	removed	FABP7	131.9754
FADD	2016.5349	FADD	514.9586
FADS1	2260.3379	FADS1	453.2951
FADS2	9198.3249	FADS2	1432.9769
FADS3	247.3041	FADS3	439.6351
FAF1	734.3638	FAF1	970.0827
FAF2	2259.5255	FAF2	2041.1627
FAHD1	737.9188	FAHD1	428.3195
FAHD2A	127.606	FAHD2A	169.1067
FAHD2B	310.9274	FAHD2B	285.1687
FAH	916.9662	FAH	843.8362
FAIM2	43.1344	FAIM2	66.4121
FAIM3	408.3789	FAIM3	216.5245
FAIM	113.9468	FAIM	194.356
FAM100A	361.6104	FAM100A	174.199
FAM100B	514.0187	FAM100B	283.2591
removed	removed	FAM101A	11.4577
FAM101B	250.5392	FAM101B	353.9147
FAM102A	5035.5859	FAM102A	2615.7437
FAM102B	1257.3688	FAM102B	1367.9185
FAM103A1	386.0532	FAM103A1	335.0308
FAM104A	1255.1941	FAM104A	889.2998
FAM104B	153.4867	FAM104B	203.4797
FAM105A	194.8239	FAM105A	288.3514
FAM105B	1171.4594	FAM105B	675.5782
FAM106A	6.4702	FAM106A	10.1846
removed	removed	FAM106C	7.4263
FAM107A	290.0791	FAM107A	426.0556
FAM107B	3315.9597	FAM107B	2298.536
FAM108A1	157.8001	FAM108A1	155.3151
FAM108B1	389.2883	FAM108B1	427.753
FAM108C1	495.6866	FAM108C1	316.9955
FAM109A	224.6585	FAM109A	143.6452
FAM109B	281.8116	FAM109B	177.5939
FAM10A4	378.5047	FAM10A4	344.1545
FAM110A	624.371	FAM110A	327.6045
FAM110B	502.1567	FAM110B	305.7501
FAM110C	10.7836	FAM110C	8.6993
FAM111A	634.4357	FAM111A	1084.6595
FAM111B	1267.793	FAM111B	363.4628
FAM113A	374.5507	FAM113A	389.773
FAM113B	311.2868	FAM113B	109.4844
FAM114A1	1234.3638	FAM114A1	1115.6376
FAM114A2	459.7412	FAM114A2	538.0861
FAM115A	520.1294	FAM115A	776.3633
FAM115C	158.422	FAM115C	341.3792
FAM116A	728.6125	FAM116A	1033.0999
FAM116B	98.8497	FAM116B	103.119
FAM117A	191.2293	FAM117A	405.262
FAM117B	363.4076	FAM117B	492.6798
FAM118A	323.5083	FAM118A	465.0965
FAM118B	213.156	FAM118B	178.0182
FAM119A	164.2703	FAM119A	188.2028
FAM119B	156.7218	FAM119B	355.6121
FAM120AOS	2254.4357	FAM120AOS	1488.2432
FAM120A	7327.8792	FAM120A	4800.3204
FAM120B	1021.5672	FAM120B	1426.0556
FAM120C	588.785	FAM120C	786.3357
FAM122A	410.496	FAM122A	851.0503
FAM122B	745.1474	FAM122B	858.0522
FAM122C	28.7563	FAM122C	39.041
FAM123B	275.3415	FAM123B	292.1706
FAM124A	53.5586	FAM124A	39.4653
FAM124B	76.2042	FAM124B	49.2255
FAM125A	264.9173	FAM125A	254.1905
FAM125B	309.4896	FAM125B	334.6064
FAM126A	581.596	FAM126A	1496.499
FAM126B	859.4536	FAM126B	934.2245
FAM127A	745.1474	FAM127A	753.2357
FAM127B	474.8382	FAM127B	464.46
FAM127C	299.4249	FAM127C	327.1801
FAM128A	413.0122	FAM128A	129.6414
FAM128B	872.394	FAM128B	347.7615
FAM129A	1085.55	FAM129A	3005.7288
FAM129B	3896.8368	FAM129B	1807.3414
FAM129C	17.2538	removed	removed
FAM131A	1084.8311	FAM131A	379.8006
FAM131B	65.4206	FAM131B	85.9325
FAM131C	17.6132	removed	removed
FAM133B	125.4493	FAM133B	151.9202
FAM134A	2907.261	FAM134A	2246.5521
FAM134B	483.4651	FAM134B	831.5298
FAM134C	3501.4378	FAM134C	2039.041
FAM135A	351.9051	FAM135A	482.0709
FAM136A	503.5945	FAM136A	714.407
FAM13AOS	19.7124	FAM13AOS	79.6902
FAM13A	361.3084	FAM13A	1279.1046
FAM13B	1082.2933	FAM13B	1535.0011
FAM13C	75.8519	FAM13C	176.8619
FAM149A	40.6183	FAM149A	130.7023
FAM149B1	423.0769	FAM149B1	588.7969
removed	removed	FAM150B	72.9896
FAM151B	31.6319	FAM151B	29.9173
removed	removed	FAM154A	5.941
FAM154B	19.051	FAM154B	128.5805
FAM155A	361.2509	FAM155A	21.6423
FAM155B	40.9777	FAM155B	15.7013
FAM156A	363.7671	FAM156A	493.1042
FAM157A	145.2193	FAM157A	73.6261
FAM158A	81.596	FAM158A	73.8383
removed	removed	FAM159A	5.7288
FAM160A1	249.4608	FAM160A1	427.5408
FAM160A2	714.9533	FAM160A2	624.2309
FAM160B1	809.4896	FAM160B1	1329.5141
FAM160B2	479.8706	FAM160B2	776.5754
FAM161A	113.2279	FAM161A	136.6433
FAM161B	138.9252	FAM161B	339.6648
FAM162A	264.1984	FAM162A	473.3715
FAM162B	7.908	FAM162B	33.0999
FAM164A	265.9957	FAM164A	714.407
FAM164C	50.683	FAM164C	62.1685
FAM165B	231.8476	FAM165B	282.1982
removed	removed	FAM166B	7.8506
FAM167A	36.6643	FAM167A	131.9754
FAM167B	35.9454	FAM167B	14.4282
FAM168A	259.1661	FAM168A	382.7711
FAM168B	2101.3659	FAM168B	3200.9336
FAM169A	638.7491	FAM169A	332.909
FAM171A1	258.4472	FAM171A1	462.3382
FAM171A2	60.0288	FAM171A2	35.0095
FAM171B	190.8699	FAM171B	347.5493
FAM172A	359.8131	FAM172A	929.9809
FAM173A	102.4443	FAM173A	40.9506
FAM173B	447.1603	FAM173B	312.752
FAM174A	505.3918	FAM174A	478.4638
FAM174B	1320.2732	FAM174B	864.2054
FAM175A	252.8828	FAM175A	498.954
FAM175B	776.4198	FAM175B	754.5088
FAM176A	50.3235	FAM176A	59.198
FAM176B	519.9964	FAM176B	279.0028
FAM177A1	1019.4105	FAM177A1	1188.2028
removed	removed	FAM177B	6.1532
FAM178A	1145.5787	FAM178A	1533.4182
FAM178B	11.1431	removed	removed
FAM179B	573.688	FAM179B	919.5841
FAM180A	19.4105	FAM180A	48.3768
FAM180B	6.1107	removed	removed
removed	removed	FAM181B	6.1532
FAM182B	7.1891	FAM182B	13.5795
FAM183A	5.0324	removed	removed
FAM184A	135.8735	FAM184A	198.1753
FAM184B	80.9526	FAM184B	16.1405
FAM185A	61.4666	FAM185A	92.0857
FAM186B	10.0647	FAM186B	15.9134
FAM188A	377.7858	FAM188A	701.0397
FAM188B	89.7699	FAM188B	193.6007
FAM189A2	100.2876	FAM189A2	597.2841
FAM189B	1166.427	FAM189B	551.2412
FAM18A	10.7656	FAM18A	24.1184
FAM18B2	286.9986	FAM18B2	397.0571
FAM18B	980.2301	FAM18B	1030.3416
FAM190A	66.8584	FAM190A	146.4036
FAM190B	1534.867	FAM190B	1982.177
FAM192A	843.9971	FAM192A	938.0437
FAM193A	972.6815	FAM193A	814.3433
FAM193B	376.7074	FAM193B	636.7494
FAM195A	221.4234	FAM195A	95.9049
FAM195B	1281.4522	FAM195B	601.7399
FAM196A	84.8311	FAM196A	200.2971
removed	removed	FAM196B	232.3361
FAM198A	237.2394	FAM198A	117.5472
FAM198B	2956.1467	FAM198B	4152.3446
FAM199X	1032.7103	FAM199X	966.4757
FAM19A2	28.0374	FAM19A2	42.4358
removed	removed	FAM19A3	9.1237
FAM19A5	49.9641	FAM19A5	20.5814
FAM200A	255.931	FAM200A	329.9385
FAM200B	277.1387	FAM200B	512.8368
FAM20A	214.9533	FAM20A	281.3495
FAM20B	4681.1646	FAM20B	2960.7469
FAM20C	461.179	FAM20C	415.4466
FAM21A	213.156	FAM21A	109.9088
FAM21B	497.4838	FAM21B	1039.2531
FAM21C	970.5248	FAM21C	2042.4358
FAM22A	43.4939	FAM22A	60.471
FAM22D	203.0913	FAM22D	205.1772
FAM22G	5.7513	removed	removed
FAM23A	6.8296	FAM23A	17.3987
FAM24B	14.0043	FAM24B	19.1428
FAM26E	51.4019	FAM26E	129.2171
FAM26F	30.5536	FAM26F	32.4634
FAM27A	7.1891	FAM27A	7.6384
FAM27C	6.4702	FAM27C	7.6384
FAM32A	1148.8138	FAM32A	1091.237
FAM35A	1001.0784	FAM35A	1226.8194
FAM35B2	90.5823	FAM35B2	111.394
FAM35B	304.8167	FAM35B	355.6121
FAM36A	1315.3415	FAM36A	867.736
FAM38A	1423.1344	FAM38A	1328.6399
FAM38B	319.9137	FAM38B	701.6762
FAM3A	466.5708	FAM3A	286.4418
FAM3B	37.7426	FAM3B	333.5455
FAM3C	1580.5176	FAM3C	1350.5198
removed	removed	FAM3D	82.7498
FAM40A	432.4227	FAM40A	650.3289
FAM40B	21.5672	FAM40B	27.1589
FAM41C	10.4242	FAM41C	26.3102
FAM43A	217.4694	FAM43A	183.9593
FAM43B	19.4105	removed	removed
FAM45A	503.5945	FAM45A	617.2289
FAM45B	230.0503	FAM45B	271.377
FAM46A	698.059	FAM46A	791.8523
FAM46B	112.1495	FAM46B	320.1782
FAM46C	646.6571	FAM46C	2034.5852
FAM47E	75.5931	FAM47E	237.3711
FAM48A	974.9137	FAM48A	1352.3997
FAM49A	106.3983	FAM49A	169.1067
FAM49B	1421.6391	FAM49B	946.1065
FAM50A	719.2667	FAM50A	319.5417
FAM50B	96.3336	FAM50B	93.3588
FAM53A	37.0237	FAM53A	15.7013
FAM53B	604.8634	FAM53B	600.1443
FAM53C	1000	FAM53C	1252.7053
FAM54A	69.0151	FAM54A	24.4006
FAM54B	640.3487	FAM54B	1061.3707
FAM55C	588.785	FAM55C	1049.0134
FAM57A	327.8217	FAM57A	213.0278
FAM57B	20.1294	FAM57B	8.9115
FAM58A	215.6722	FAM58A	146.1914
