gene_id	TCGA-BH-A0H5-01A-21R-A115-07	gene_id	TCGA-BH-A0H5-11A-62R-A115-07
removed	removed	?|100133144	27.5073
removed	removed	?|100134869	6.9755
?|10357	72.1588	?|10357	73.2821
?|10431	836.9287	?|10431	550.0623
?|155060	149.7741	?|155060	402.9913
?|390284	10.1606	?|390284	5.8164
removed	removed	?|553137	6.6473
?|57714	908.8053	?|57714	580.806
removed	removed	?|645851	9.9709
?|652919	32.2579	?|652919	69.8587
?|653553	117.0345	?|653553	56.9173
removed	removed	?|728788	6.6473
removed	removed	?|729884	9.5555
?|8225	573.1306	?|8225	487.3286
?|90288	56.4475	?|90288	14.9564
A1BG	169.8393	A1BG	125.4591
A2LD1	142.2515	A2LD1	108.2177
removed	removed	A2ML1	10.3864
A2M	15515.4506	A2M	28177.2829
A4GALT	256.2718	A4GALT	216.452
AAAS	693.552	AAAS	662.2351
AACS	873.8078	AACS	1186.9547
AADAT	17.3106	AADAT	69.7964
AAGAB	1751.755	AAGAB	1043.2073
AAK1	1001.7555	AAK1	1062.3182
AAMP	2594.7048	AAMP	2084.7528
AARS2	436.9001	AARS2	495.2181
AARSD1	484.3198	AARSD1	491.0677
AARS	2478.7992	AARS	2247.1957
AASDHPPT	944.179	AASDHPPT	969.6718
AASDH	327.772	AASDH	554.6323
AASS	450.8276	AASS	747.8189
AATF	1207.6008	AATF	891.1508
AATK	22.2027	AATK	81.0137
ABAT	1584.6704	ABAT	825.5089
ABCA10	61.716	ABCA10	286.7345
ABCA11P	113.4219	ABCA11P	139.273
ABCA12	613.0202	ABCA12	101.7865
ABCA13	30.4817	ABCA13	94.3083
removed	removed	ABCA17P	15.3718
ABCA1	911.3943	ABCA1	1683.7516
ABCA2	1051.053	ABCA2	1417.5322
ABCA3	2502.5072	ABCA3	1152.0565
ABCA4	225.0375	ABCA4	72.2892
ABCA5	345.8352	ABCA5	1670.8891
ABCA6	290.1403	ABCA6	254.6739
ABCA7	658.1782	ABCA7	316.1612
ABCA8	231.4349	ABCA8	517.6568
ABCA9	360.8879	ABCA9	417.1167
ABCB10	573.1306	ABCB10	488.575
ABCB11	7.15	removed	removed
ABCB1	331.5352	ABCB1	608.226
ABCB4	68.4897	ABCB4	14.1255
ABCB5	33.1159	ABCB5	92.231
ABCB6	309.5846	ABCB6	399.8006
ABCB7	476.4172	ABCB7	597.0087
ABCB8	742.4732	ABCB8	305.7748
ABCB9	87.0496	ABCB9	138.1138
ABCC10	461.7408	ABCC10	439.9668
ABCC11	750.3758	ABCC11	1059.8255
ABCC12	6.7737	ABCC12	7.0627
ABCC1	1276.8432	ABCC1	936.4354
ABCC2	7.9027	ABCC2	22.0191
ABCC3	419.5933	ABCC3	301.2048
ABCC4	251.756	ABCC4	129.2065
ABCC5	322.8799	ABCC5	950.9763
ABCC6P1	7.5263	ABCC6P1	12.4636
ABCC6P2	21.4501	ABCC6P2	27.0046
ABCC6	90.6924	ABCC6	128.3756
ABCC8	175.74	ABCC8	159.1192
ABCC9	153.161	ABCC9	332.3639
ABCD1	343.9536	ABCD1	228.0848
ABCD2	133.5925	ABCD2	141.2547
ABCD3	2222.5275	ABCD3	2063.9801
ABCD4	699.9494	ABCD4	707.9352
ABCE1	1552.6834	ABCE1	1619.0278
ABCF1	1873.6817	ABCF1	1124.221
ABCF2	1297.5406	ABCF2	925.6336
ABCF3	1074.761	ABCF3	879.9335
ABCG1	1002.1318	ABCG1	651.4333
ABCG2	63.2212	ABCG2	184.8774
ABHD10	579.528	ABHD10	700.457
ABHD11	695.0573	ABHD11	611.1342
ABHD12	1003.6371	ABHD12	661.8197
ABHD13	558.0779	ABHD13	656.8342
ABHD14A	289.3463	ABHD14A	165.7665
ABHD14B	1907.1739	ABHD14B	2209.8047
ABHD15	456.8487	ABHD15	314.4994
ABHD1	20.3211	ABHD1	35.3137
ABHD2	3409.0546	ABHD2	3303.2821
ABHD3	444.8065	ABHD3	262.1521
ABHD4	810.5865	ABHD4	861.6535
ABHD5	696.5625	ABHD5	987.9518
ABHD6	133.5925	ABHD6	150.8101
ABHD8	251.3797	ABHD8	269.6302
ABI1	1697.6219	ABI1	1935.8247
ABI2	1119.919	ABI2	2131.2838
ABI3BP	1609.5073	ABI3BP	733.6934
ABI3	543.0252	ABI3	138.3465
ABL1	2073.8823	ABL1	2342.7503
ABL2	859.5077	ABL2	901.5372
ABLIM1	2972.1507	ABLIM1	5322.393
ABLIM2	48.1686	ABLIM2	47.3619
ABLIM3	1502.6333	ABLIM3	1353.1367
removed	removed	ABO	16.2027
ABP1	35.7501	ABP1	7.4782
ABR	2293.275	ABR	2202.3265
ABT1	696.1862	ABT1	584.1296
ABTB1	507.2751	ABTB1	612.3806
ABTB2	137.732	ABTB2	179.0611
ACAA1	1263.2957	ACAA1	1155.7956
ACAA2	1095.0821	ACAA2	1260.0748
ACACA	1274.5853	ACACA	1893.2281
ACACB	597.9675	ACACB	2201.0802
ACAD10	509.533	ACAD10	696.7179
ACAD11	343.5773	ACAD11	570.3074
ACAD8	515.9304	ACAD8	648.1097
ACAD9	791.7707	ACAD9	757.4657
ACADL	12.0421	ACADL	71.4582
ACADM	1169.9692	ACADM	1386.7885
ACADSB	1057.8267	ACADSB	5260.4902
ACADS	296.5377	ACADS	690.4861
ACADVL	3625.7754	ACADVL	5815.0519
ACAN	6.0211	removed	removed
ACAP1	1233.1904	ACAP1	94.7237
ACAP2	1499.9991	ACAP2	1683.4233
ACAP3	427.8723	ACAP3	563.0411
ACAT1	997.9923	ACAT1	1087.2455
ACAT2	439.8956	ACAT2	346.585
ACBD3	1608.002	ACBD3	1605.7333
ACBD4	230.6822	ACBD4	387.6194
ACBD5	733.4416	ACBD5	876.1944
ACBD6	473.0303	ACBD6	379.3103
ACBD7	38.3843	ACBD7	72.7046
ACCN2	37.6317	ACCN2	184.462
ACCN3	7.5263	ACCN3	10.8018
ACCS	310.4614	ACCS	947.6527
ACD	285.2482	ACD	368.0931
removed	removed	ACE2	19.5264
ACER2	127.5714	ACER2	192.7711
ACER3	269.0666	ACER3	362.2767
ACE	472.2777	ACE	519.3187
ACHE	108.0029	ACHE	24.9273
ACIN1	3195.6829	ACIN1	3652.2642
ACLY	3180.2539	ACLY	2593.6851
ACN9	103.1108	ACN9	172.8292
ACO1	1401.0277	ACO1	1257.1666
ACO2	2617.9913	ACO2	1830.4445
ACOT11	26.3723	ACOT11	31.3004
ACOT13	499.6322	ACOT13	460.3739
ACOT1	412.4433	ACOT1	414.2086
ACOT2	397.0143	ACOT2	385.5422
ACOT4	256.6481	ACOT4	100.1246
ACOT7	562.2174	ACOT7	159.5347
ACOT8	249.5734	ACOT8	210.2742
ACOT9	470.7724	ACOT9	338.5958
ACOX1	1336.3012	ACOX1	1694.5908
ACOX2	203.5874	ACOX2	294.973
ACOX3	753.3864	ACOX3	830.0789
ACOXL	12.7948	removed	removed
ACP1	1553.0597	ACP1	1382.634
ACP2	2107.7508	ACP2	697.5488
ACP5	2148.0167	ACP5	523.4732
ACP6	227.6717	ACP6	308.683
ACPL2	439.5381	ACPL2	507.2705
ACPP	25.2132	ACPP	84.3373
ACRBP	42.5238	ACRBP	10.3864
ACRC	18.4395	ACRC	20.7727
removed	removed	ACR	10.3864
removed	removed	ACSBG1	9.14
removed	removed	ACSBG2	8.8076
ACSF2	942.6738	ACSF2	871.2838
ACSF3	405.6696	ACSF3	429.1649
ACSL1	1648.2679	ACSL1	3657.2497
ACSL3	4278.7229	ACSL3	3707.5197
ACSL4	1105.2427	ACSL4	1310.3448
ACSL5	1693.8022	ACSL5	852.098
ACSL6	47.4159	ACSL6	14.1255
ACSM1	22.9553	ACSM1	125.4674
ACSM3	65.8517	ACSM3	254.2293
ACSM5	37.2554	ACSM5	51.9319
ACSS1	1212.1167	ACSS1	1195.2638
ACSS2	902.4079	ACSS2	1508.9323
ACSS3	92.574	ACSS3	431.6577
ACTA2	3836.0801	ACTA2	21919.4267
ACTB	100946.6251	ACTB	49597.0087
ACTG1	68010.996	ACTG1	45765.268
ACTG2	379.3274	ACTG2	3054.84
ACTL6A	835.0471	ACTL6A	729.5388
ACTN1	5091.9436	ACTN1	7474.0341
ACTN4	7900.769	ACTN4	10226.9215
ACTR10	878.3236	ACTR10	999.1691
ACTR1A	2530.731	ACTR1A	1608.226
ACTR1B	1349.8486	ACTR1B	1392.1894
ACTR2	9001.1233	ACTR2	4438.7204
ACTR3B	159.5584	ACTR3B	292.0648
ACTR3C	31.2343	ACTR3C	67.3037
ACTR3	5435.8972	ACTR3	2435.3968
ACTR5	190.4163	ACTR5	194.4329
ACTR6	539.6384	ACTR6	662.2351
ACTR8	486.5777	ACTR8	565.4342
ACVR1B	1217.7614	ACVR1B	1510.1786
ACVR1C	66.9844	ACVR1C	410.8849
ACVR1	837.305	ACVR1	1164.9356
ACVR2A	320.2457	ACVR2A	784.7943
ACVR2B	232.5638	ACVR2B	527.6278
ACVRL1	794.7812	ACVRL1	479.435
ACY1	656.338	ACY1	540.5069
ACY3	40.2659	ACY3	22.4346
ACYP1	27.8474	ACYP1	55.2555
ACYP2	143.753	ACYP2	191.5247
removed	removed	ADAD2	8.1429
ADAL	188.1584	ADAL	224.3457
ADAM10	1754.7656	ADAM10	2695.887
ADAM11	8.6553	ADAM11	39.0528
ADAM12	1243.7273	ADAM12	842.5426
ADAM15	2178.5285	ADAM15	2153.199
ADAM17	522.3278	ADAM17	968.01
ADAM19	1034.4951	ADAM19	103.0328
ADAM21	7.9027	removed	removed
ADAM22	41.0185	ADAM22	55.671
ADAM23	30.1053	ADAM23	13.71
ADAM28	390.2406	ADAM28	151.2256
ADAM29	7.15	ADAM29	14.9564
ADAM32	5.2684	ADAM32	51.9319
ADAM33	146.7636	ADAM33	544.2459
ADAM6	255119.6594	ADAM6	24382.3224
ADAM8	862.142	ADAM8	86.4146
ADAM9	1306.1959	ADAM9	1797.258
ADAMDEC1	1007.7766	ADAMDEC1	13.2946
ADAMTS10	107.6266	ADAMTS10	190.2784
ADAMTS12	170.8479	ADAMTS12	120.4819
ADAMTS13	71.5002	ADAMTS13	176.9838
ADAMTS14	38.008	ADAMTS14	17.0337
ADAMTS15	938.5343	ADAMTS15	600.7478
ADAMTS16	33.4922	ADAMTS16	124.6365
ADAMTS17	63.2212	ADAMTS17	59.4101
ADAMTS18	88.8108	ADAMTS18	159.5347
removed	removed	ADAMTS19	11.6327
ADAMTS1	806.4471	ADAMTS1	2684.6697
ADAMTS2	273.9587	ADAMTS2	418.7786
ADAMTS3	27.8474	ADAMTS3	41.13
ADAMTS4	594.2043	ADAMTS4	61.9028
ADAMTS5	235.9507	ADAMTS5	3208.5584
ADAMTS6	40.6422	ADAMTS6	17.4491
ADAMTS7	102.7345	ADAMTS7	56.5019
ADAMTS8	50.0501	ADAMTS8	58.1637
ADAMTS9	276.9692	ADAMTS9	659.327
ADAMTSL1	99.724	ADAMTSL1	83.9219
ADAMTSL2	64.3502	ADAMTSL2	17.0337
ADAMTSL3	111.7661	ADAMTSL3	78.9364
ADAMTSL4	179.5031	ADAMTSL4	386.7885
ADAMTSL5	71.5002	ADAMTSL5	52.3473
ADAP1	276.7284	ADAP1	138.1305
ADAP2	401.5301	ADAP2	132.9456
ADARB1	553.5621	ADARB1	726.2152
ADARB2	7.5263	ADARB2	23.2655
ADAR	14190.9093	ADAR	6878.6872
ADAT1	258.906	ADAT1	336.5185
ADAT2	99.724	ADAT2	161.612
ADAT3	34.2448	ADAT3	43.2073
ADA	304.064	ADA	64.811
ADCK1	170.0952	ADCK1	138.3465
ADCK2	955.0922	ADCK2	743.2489
ADCK4	566.7332	ADCK4	569.1732
