gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
CNO	160.6167	CNO	179.4015
CNPY2	1174.8952	CNPY2	1059.1817
CNPY3	1015.0186	CNPY3	785.6241
CNPY4	243.5157	CNPY4	218.0144
CNP	1434.6477	CNP	1518.1882
CNR1	26.6461	CNR1	67.7211
CNR2	8.6353	removed	removed
CNRIP1	643.7005	CNRIP1	169.5998
CNST	866.9848	CNST	848.5929
CNTD1	73.2373	CNTD1	70.4448
CNTD2	47.3708	CNTD2	11.2868
CNTFR	5.1812	CNTFR	120.2941
CNTF	26.3525	CNTF	10.9987
CNTLN	240.0615	CNTLN	311.2794
CNTN1	57.7332	CNTN1	194.5496
removed	removed	CNTN2	22.5737
CNTN3	15.0501	CNTN3	64.7509
CNTN4	115.7131	CNTN4	287.8147
removed	removed	CNTN6	35.9397
CNTNAP1	222.2975	CNTNAP1	80.4931
CNTNAP2	409.3135	CNTNAP2	211.4799
CNTNAP3	20.7247	CNTNAP3	356.4268
CNTNAP4	18.0108	removed	removed
CNTROB	623.7159	CNTROB	835.5239
COASY	1604.1933	COASY	1484.5177
COBLL1	592.6288	COBLL1	1293.5323
COBL	1964.409	COBL	3890.1017
COBRA1	922.4975	COBRA1	1021.4599
COCH	15.5436	COCH	14.2571
COG1	666.3472	COG1	856.5768
COG2	1111.2406	COG2	857.2065
COG3	999.2284	COG3	1660.949
COG4	786.7998	COG4	1044.9246
COG5	2688.1217	COG5	1404.1583
COG6	846.0134	COG6	874.7308
COG7	637.7791	COG7	695.9234
COG8	310.7008	COG8	379.2797
COIL	507.2626	COIL	763.3474
COL10A1	1135.9129	removed	removed
COL11A1	4601.6317	COL11A1	96.2352
removed	removed	COL11A2	37.7218
COL12A1	24865.7364	COL12A1	2248.1622
COL13A1	70.0693	COL13A1	65.3449
COL14A1	4771.6239	COL14A1	2050.0483
COL15A1	5421.7391	COL15A1	1498.4778
COL16A1	2073.954	COL16A1	2019.455
COL17A1	337.2704	COL17A1	6292.4185
COL18A1	3973.7215	COL18A1	1785.4014
removed	removed	COL19A1	5.9404
COL1A1	151171.6569	COL1A1	3757.0357
COL1A2	134944.9283	COL1A2	6665.7756
COL21A1	124.5951	COL21A1	77.2258
COL22A1	15.0501	COL22A1	12.4749
COL23A1	7.6484	COL23A1	64.7509
COL24A1	20.478	COL24A1	5.6434
COL25A1	5.1812	COL25A1	40.395
COL27A1	704.1476	COL27A1	768.6938
COL28A1	11.3493	COL28A1	56.4342
removed	removed	COL2A1	75.4437
COL3A1	141998.4938	COL3A1	6010.5443
COL4A1	16947.9001	COL4A1	2465.5825
COL4A2	12110.6479	COL4A2	3369.4215
COL4A3BP	1493.6614	COL4A3BP	1439.3703
COL4A3	7.8951	COL4A3	71.5824
COL4A4	95.4818	COL4A4	106.631
COL4A5	634.5717	COL4A5	746.7142
COL4A6	20.9715	COL4A6	358.803
COL5A1	14296.1207	COL5A1	625.232
COL5A2	18244.9232	COL5A2	750.8725
COL5A3	1567.6783	COL5A3	204.6484
COL6A1	18908.6082	COL6A1	2929.8285
COL6A2	24800.1081	COL6A2	3173.9808
COL6A3	37444.6646	COL6A3	3368.8275
removed	removed	COL6A4P2	5.9404
COL6A6	76.4841	COL6A6	265.835
COL7A1	58.7201	COL7A1	555.4318
COL8A1	1305.165	COL8A1	79.305
COL8A2	581.5262	COL8A2	827.8013
COL9A2	285.7053	COL9A2	362.3673
COL9A3	15.0501	COL9A3	38.6129
COLEC10	37.5019	removed	removed
removed	removed	COLEC11	5.0494
COLEC12	263.9937	COLEC12	385.832
COLQ	34.0478	COLQ	57.6223
COMMD10	547.2317	COMMD10	455.9293
COMMD1	171.4725	COMMD1	197.8169
COMMD2	713.2764	COMMD2	1236.504
COMMD3	841.4021	COMMD3	841.1109
COMMD4	670.84	COMMD4	554.5407
COMMD5	444.9576	COMMD5	325.0464
COMMD6	1108.28	COMMD6	1672.5329
COMMD7	835.651	COMMD7	820.6728
COMMD8	349.6066	COMMD8	195.1437
COMMD9	892.8907	COMMD9	580.3817
COMP	1419.3977	COMP	24.0588
COMTD1	93.7548	COMTD1	57.6223
COMT	1062.6362	COMT	1462.5381
COPA	8393.2543	COPA	5409.2433
COPB1	5181.6554	COPB1	3852.0829
COPB2	5544.8539	COPB2	3211.1086
COPE	1637.2542	COPE	937.9966
COPG2	542.2973	COPG2	522.4623
COPG	5039.5651	COPG	2759.3376
COPS2	2214.8329	COPS2	2887.9483
COPS3	1402.8673	COPS3	1132.5462
COPS4	1006.8768	COPS4	951.3626
COPS5	1118.1489	COPS5	1045.8157
COPS6	1366.8457	COPS6	1098.3887
COPS7A	1515.8665	COPS7A	1089.181
COPS7B	300.5087	COPS7B	599.9851
COPS8	1077.1781	COPS8	795.6575
COPZ1	4120.5217	COPZ1	3491.4977
COPZ2	246.7231	COPZ2	103.6608
COQ10A	89.8072	COQ10A	145.838
COQ10B	726.106	COQ10B	611.569
COQ2	217.1163	COQ2	165.1444
COQ3	168.2651	COQ3	153.8576
COQ4	683.1761	COQ4	635.0338
COQ5	623.9626	COQ5	538.7985
COQ6	568.9532	COQ6	387.8785
COQ7	509.9766	COQ7	507.3142
COQ9	763.8546	COQ9	640.6772
CORIN	261.2797	CORIN	10.0988
CORO1A	642.2201	CORO1A	507.0172
CORO1B	2332.7665	CORO1B	1204.1286
CORO1C	4743.9909	CORO1C	1925.8929
CORO2A	533.1685	CORO2A	482.0673
CORO2B	47.1241	CORO2B	103.0668
CORO6	94.2482	CORO6	33.8605
CORO7	864.8877	CORO7	353.7714
COTL1	1849.1893	COTL1	961.4613
COX10	467.0467	COX10	347.2191
COX11	833.5958	COX11	921.3841
COX15	1492.6251	COX15	1341.8816
COX16	934.0935	COX16	844.1375
COX17	498.874	COX17	301.4777
COX18	881.048	COX18	569.0948
COX19	179.3948	COX19	348.3448
COX4I1	3624.3617	COX4I1	3835.4496
COX4I2	32.8142	COX4I2	15.4452
COX4NB	330.8556	COX4NB	270.5874
COX5A	2175.1105	COX5A	920.7693
COX5B	1379.6753	COX5B	763.9415
COX6A1	1779.12	COX6A1	1141.7539
COX6B1	2058.1637	COX6B1	1435.212
removed	removed	COX6B2	23.4648
COX6C	7272.6555	COX6C	2493.5026
COX7A1	63.4078	COX7A1	101.2846
COX7A2L	1635.0337	COX7A2L	1674.612
COX7A2	1376.7146	COX7A2	916.314
COX7B	1966.8762	COX7B	1015.2224
COX7C	3742.0486	COX7C	2385.6835
COX8A	1826.7375	COX8A	877.701
CP110	875.6201	CP110	892.5522
CPA3	829.7296	CPA3	68.9092
removed	removed	CPA4	65.0479
CPA6	35.7748	CPA6	10.6928
CPAMD8	29.8535	CPAMD8	1747.9765
CPB1	5.1812	CPB1	240.8851
CPD	6860.8747	CPD	4813.8412
CPEB1	6.1681	CPEB1	20.7916
CPEB2	2531.3785	CPEB2	948.9864
CPEB3	295.3275	CPEB3	490.6809
CPEB4	1684.1316	CPEB4	1682.6316
CPE	1290.6083	CPE	2282.0227
CPLX1	136.1911	CPLX1	103.0668
CPM	530.4546	CPM	355.2387
CPNE1	1424.949	CPNE1	1799.5723
CPNE2	436.2064	CPNE2	470.4834
CPNE3	4574.7389	CPNE3	4084.9484
CPNE5	72.5366	CPNE5	29.7022
CPNE7	46.6307	CPNE7	122.6702
CPNE8	242.282	CPNE8	242.3702
CPOX	456.9311	CPOX	354.3477
CPPED1	1321.9421	CPPED1	544.442
CPS1	41.9429	CPS1	103.0668
CPSF1	1125.3039	CPSF1	1377.5897
CPSF2	1756.9149	CPSF2	1164.0306
CPSF3L	1113.7079	CPSF3L	1284.9187
CPSF3	702.6673	CPSF3	658.4986
CPSF4	286.9389	CPSF4	329.9918
CPSF6	1780.1068	CPSF6	2374.0997
CPSF7	1723.1138	CPSF7	2538.65
CPT1A	2151.1783	CPT1A	1521.3485
CPT1B	244.4557	CPT1B	400.2406
CPT1C	33.0609	CPT1C	28.8112
CPT2	1299.9838	CPT2	620.7767
CPVL	622.729	CPVL	222.1727
CPXM1	476.4222	CPXM1	387.3171
CPXM2	652.3358	CPXM2	483.8494
CPZ	267.2011	CPZ	138.7094
CP	7279.2134	CP	1830.7418
CR1L	27.1395	removed	removed
CR1	110.2852	CR1	32.3754
CR2	19.7378	CR2	9.2077
removed	removed	CRABP1	234.3506
CRABP2	278.0569	CRABP2	1783.3222
CRADD	150.5011	CRADD	148.2142
CRAMP1L	655.59	CRAMP1L	1120.9742
CRAT	1894.0929	CRAT	680.7752
removed	removed	CRB1	12.772
CRB2	6.6615	CRB2	48.4146
CRB3	179.6144	CRB3	149.6993
CRBN	756.5442	CRBN	1266.2924
CRCP	839.8453	CRCP	1076.706
CREB1	1165.0263	CREB1	2042.6227
CREB3L1	2120.8314	CREB3L1	185.936
CREB3L2	3399.8437	CREB3L2	4084.6514
CREB3L4	1504.5172	CREB3L4	1220.7619
CREB3	1033.5994	CREB3	853.1314
CREB5	109.2983	CREB5	249.7958
CREBBP	1940.4768	CREBBP	3804.5593
CREBL2	2769.2196	CREBL2	2444.791
CREBZF	1364.1318	CREBZF	2419.5441
CREG1	3627.8158	CREG1	4180.5896
CREG2	73.5235	removed	removed
CRELD1	421.8964	CRELD1	486.2256
CRELD2	430.7785	CRELD2	275.0427
CREM	360.9558	CREM	276.8248
CRHBP	16.2837	CRHBP	23.4648
removed	removed	CRHR1	29.4824
CRIM1	2243.6995	CRIM1	7735.9471
CRIP1	834.6641	CRIP1	354.0506
CRIP2	979.984	CRIP2	1346.6993
CRIPAK	121.3877	CRIPAK	239.4
CRIPT	313.0916	CRIPT	384.6439
CRISP3	177.6406	CRISP3	12.772
CRISPLD1	126.0755	CRISPLD1	2879.3347
CRISPLD2	1707.3235	CRISPLD2	512.3636
CRKL	2056.9301	CRKL	2017.0788
CRK	1425.8125	CRK	1166.1097
CRLF1	71.303	CRLF1	20.1975
CRLF3	437.44	CRLF3	470.1864
CRLS1	824.055	CRLS1	723.2494
CRMP1	75.6897	CRMP1	104.9677
CRNKL1	1309.1125	CRNKL1	1393.3318
CROCCL1	327.1622	CROCCL1	668.1102
CROCCL2	36.0216	CROCCL2	122.6702
CROCC	291.8734	CROCC	385.832
CROT	354.541	CROT	584.837
CRTAC1	23.9321	CRTAC1	178.5104
CRTAM	28.8666	CRTAM	31.1873
CRTAP	4330.9765	CRTAP	3959.902
CRTC1	149.7609	CRTC1	340.3876
CRTC2	902.7597	CRTC2	889.2849
CRTC3	1043.6385	CRTC3	1298.2847
CRY1	490.4854	CRY1	527.2147
CRY2	871.1791	CRY2	1485.4088
CRYAB	134.9575	CRYAB	2646.7662
CRYBB1	6.4148	removed	removed
CRYBG3	427.1319	CRYBG3	667.7033
removed	removed	CRYGN	9.5047
CRYGS	5.1812	CRYGS	12.772
CRYL1	465.5664	CRYL1	295.2402
removed	removed	CRYM	27.3261
CRYZL1	367.2991	CRYZL1	555.6724
CRYZ	1544.1162	CRYZ	1061.7777
CSAD	272.629	CSAD	693.8442
CSDAP1	28.6199	CSDAP1	57.9194
CSDA	1289.128	CSDA	3328.7295
CSDC2	29.36	CSDC2	12.772
CSDE1	15869.4736	CSDE1	20863.147
CSE1L	3563.4211	CSE1L	2737.358
CSF1R	12356.3841	CSF1R	1027.1033
CSF1	1530.9166	CSF1	1368.976
CSF2RA	206.2605	CSF2RA	220.3906
CSF2RB	696.7459	CSF2RB	251.5779
CSF3R	292.8603	CSF3R	230.4893
CSGALNACT1	279.7839	CSGALNACT1	460.3846
CSGALNACT2	1543.006	CSGALNACT2	729.1899
CSK	929.4057	CSK	715.8239
removed	removed	CSMD1	279.498
CSMD2	74.5104	CSMD2	5.0494
removed	removed	CSN3	5.3464
CSNK1A1	7267.9678	CSNK1A1	6615.5788
CSNK1D	2151.6718	CSNK1D	2695.1808
CSNK1E	1615.5253	CSNK1E	2624.9647
CSNK1G1	1306.3986	CSNK1G1	760.3772
CSNK1G2	763.6079	CSNK1G2	818.5936
CSNK1G3	1040.9246	CSNK1G3	1142.942
CSNK2A1P	646.1677	CSNK2A1P	541.7688
CSNK2A1	1428.7732	CSNK2A1	1304.8192
CSNK2A2	514.6643	CSNK2A2	633.2517
CSNK2B	2026.7534	CSNK2B	1646.5612
CSPG4	2699.3969	CSPG4	178.2134
removed	removed	CSPG5	11.5839
CSPP1	433.5047	CSPP1	563.1544
CSRNP1	739.429	CSRNP1	1625.9003
CSRNP2	1047.0926	CSRNP2	958.4911
CSRNP3	6.9082	CSRNP3	201.3812
CSRP1	2799.3198	CSRP1	14038.4644
CSRP2BP	931.873	CSRP2BP	907.9973
CSRP2	137.178	CSRP2	268.8052
CST2	25.4125	removed	removed
CST3	21607.265	CST3	2911.7101
CST6	7.155	CST6	10.3958
CST7	59.2135	CST7	44.2563
removed	removed	CST9	21.6826
CSTA	66.1218	CSTA	100.9876
CSTB	11838.7591	CSTB	1368.0849
CSTF1	619.2749	CSTF1	663.2509
CSTF2T	1028.8351	CSTF2T	974.2333
CSTF2	334.8032	CSTF2	235.5387
CSTF3	606.1665	CSTF3	677.6149
CS	6076.2954	CS	3248.5335
CT62	91.5343	CT62	49.0087
CTAGE1	7.4017	CTAGE1	8.9107
CTAGE4	37.7486	CTAGE4	69.8003
CTAGE5	1315.6803	CTAGE5	1111.7368
CTAGE6	6.1681	CTAGE6	9.5047
CTAGE9	127.5558	CTAGE9	206.4305
CTBP1	1223.7316	CTBP1	1553.6556
CTBP2	2747.0145	CTBP2	2706.7647
CTBS	1029.0399	CTBS	745.2053
CTCFL	13.1676	CTCFL	14.0492
CTCF	1296.7764	CTCF	2000.7426
CTDP1	318.5195	CTDP1	397.1189
CTDSP1	1336.7455	CTDSP1	2447.4642
CTDSP2	5660.3203	CTDSP2	6668.7458
CTDSPL2	960.7396	CTDSPL2	1235.0189
CTDSPL	1000.462	CTDSPL	2408.2572
CTF1	46.6307	CTF1	196.0348
CTGF	7648.168	CTGF	5271.8497
CTHRC1	1962.6819	CTHRC1	121.1851
CTH	83.1457	CTH	89.4037
CTLA4	13.5698	CTLA4	8.3166
CTNNA1	8783.5875	CTNNA1	9924.7048
CTNNAL1	284.7184	CTNNAL1	520.0861
CTNNB1	8858.0115	CTNNB1	17140.9163
CTNNBIP1	1137.8867	CTNNBIP1	918.6901
CTNNBL1	759.907	CTNNBL1	714.9328
CTNND1	8409.0619	CTNND1	12027.6231
CTNND2	37.5019	CTNND2	155.3427
CTNS	506.5224	CTNS	296.8917
CTPS2	695.5123	CTPS2	845.3256
CTPS	666.8924	CTPS	356.4268
CTR9	2083.5762	CTR9	1964.5058
removed	removed	CTRL	9.5047
CTSA	2678.724	CTSA	1073.0972
CTSB	24559.3064	CTSB	8829.5834
CTSC	2818.3175	CTSC	1052.9442
CTSD	50279.9381	CTSD	15233.3853
CTSF	1191.4256	CTSF	2055.3947
CTSG	29.6068	CTSG	14.2571
CTSH	1358.4571	CTSH	1273.3348
CTSK	173406.092	CTSK	1336.3036
CTSL1	3121.5401	CTSL1	732.4571
CTSL2	17.0239	CTSL2	108.1161
CTSO	1520.8009	CTSO	1617.5837
CTSS	3362.0951	CTSS	1503.8242
CTSW	76.2374	CTSW	98.3144
CTSZ	13336.6147	CTSZ	2583.7974
CTTNBP2NL	1363.885	CTTNBP2NL	1173.2383
CTTNBP2	27.8797	CTTNBP2	174.9462
CTTN	3418.8414	CTTN	3506.0518
CTU1	23.6854	CTU1	27.6231
CTU2	104.581	CTU2	126.8404
CTXN1	89.067	CTXN1	32.0784
CUBN	27.8797	CUBN	115.8387
CUEDC1	445.5818	CUEDC1	481.1762
CUEDC2	746.584	CUEDC2	586.6191
CUL1	1566.4447	CUL1	1700.453
CUL2	1500.3229	CUL2	959.3822
CUL3	1717.9326	CUL3	2615.8758
CUL4A	2525.4572	CUL4A	2152.818
CUL4B	2113.9231	CUL4B	2743.0014
CUL5	1621.9574	CUL5	1686.4929
CUL7	927.8835	CUL7	1176.155
CUL9	744.8569	CUL9	948.6894
CUTA	2035.9587	CUTA	1679.6614
CUTC	339.6636	CUTC	372.9591
CUX1	981.711	CUX1	616.0244
CUX2	8.1419	CUX2	28.2171
CUZD1	10.3451	CUZD1	28.5171
CWC15	747.8176	CWC15	823.94
CWC22	530.7013	CWC22	1150.6646
CWC25	373.292	CWC25	562.2633
CWC27	446.8155	CWC27	529.2938
CWF19L1	533.1685	CWF19L1	626.4201
CWF19L2	409.807	CWF19L2	810.871
CX3CL1	289.8996	CX3CL1	15092.8937
CX3CR1	128.5427	CX3CR1	1191.9507
CXADRP3	107.5713	CXADRP3	21.9797
CXADR	255.1116	CXADR	568.2038
CXCL10	574.618	CXCL10	296.1313
CXCL11	130.7632	CXCL11	55.2462
CXCL12	2051.7489	CXCL12	3870.4983
CXCL13	49646.6001	CXCL13	6226.1825
CXCL14	169.0053	CXCL14	5916.0912
CXCL16	1193.1527	CXCL16	2330.1403
removed	removed	CXCL17	245.9345
CXCL1	8.3886	CXCL1	75.1467
CXCL2	8.882	CXCL2	635.0338
CXCL3	14.0632	CXCL3	63.8598
CXCL5	1021.1867	CXCL5	243.8554
CXCL9	1210.4233	CXCL9	129.7988
CXCR1	75.0038	removed	removed
CXCR2P1	25.4125	removed	removed
CXCR2	16.2837	CXCR2	8.9107
CXCR3	49.3446	CXCR3	30.8903
CXCR4	1019.7064	CXCR4	1861.7361
CXCR5	26.6584	CXCR5	6.8315
CXCR6	54.7725	CXCR6	122.0762
CXCR7	195.6514	CXCR7	231.0834
CXXC1	462.8525	CXXC1	746.1201
CXXC4	21.7116	CXXC4	21.9797
CXXC5	509.2364	CXXC5	254.2511
CXorf21	104.6106	CXorf21	63.5628
CXorf23	204.04	CXorf23	385.832
CXorf26	603.7313	CXorf26	383.1588
CXorf36	548.2186	CXorf36	869.6814
CXorf38	304.703	CXorf38	314.5467
CXorf40A	396.7307	CXorf40A	326.1305
CXorf40B	394.2634	CXorf40B	373.0601
CXorf42	22.6985	CXorf42	48.4146
removed	removed	CXorf50B	5.6434
CXorf56	253.878	CXorf56	285.4385
CXorf57	10.3624	CXorf57	65.3449
CYB561D1	323.4539	CYB561D1	332.368
CYB561D2	597.1463	CYB561D2	326.2375
CYB561	2280.7079	CYB561	2177.1738
CYB5A	830.4698	CYB5A	755.9219
CYB5B	1066.8305	CYB5B	1218.6827
CYB5D1	1203.7026	CYB5D1	1043.9326
CYB5D2	527.9873	CYB5D2	447.3157
CYB5R1	1242.0039	CYB5R1	1192.8418
CYB5R2	68.0956	CYB5R2	174.9462
CYB5R3	3529.3733	CYB5R3	2895.9679
CYB5R4	556.6072	CYB5R4	353.4566
CYB5RL	98.9359	CYB5RL	124.1553
CYBASC3	841.5723	CYBASC3	687.9038
CYBA	1263.4688	CYBA	399.7921
CYBB	2382.3578	CYBB	1536.1996
CYBRD1	16911.1384	CYBRD1	10889.7305
CYC1	2101.3403	CYC1	1176.5055
CYCS	4641.1074	CYCS	1373.1343
CYFIP1	5026.2421	CYFIP1	3829.5092
CYFIP2	1377.9483	CYFIP2	482.9583
CYGB	280.7708	CYGB	223.3608
CYHR1	397.4708	CYHR1	534.6402
CYLD	1679.4438	CYLD	1929.4572
removed	removed	CYP11A1	20.7916
CYP1B1	1808.2333	CYP1B1	1049.0829
CYP20A1	469.0205	CYP20A1	877.107
CYP21A2	295.5224	CYP21A2	59.9688
CYP24A1	16.2837	CYP24A1	423.8509
removed	removed	CYP26A1	91.1859
CYP26B1	12.3362	CYP26B1	61.4836
CYP27A1	981.4643	CYP27A1	1161.6544
CYP27B1	76.2374	CYP27B1	44.5534
removed	removed	CYP27C1	11.2868
CYP2A6	20.478	CYP2A6	16.0392
CYP2A7	48.3577	CYP2A7	23.1677
CYP2B7P1	1072.2584	CYP2B7P1	342.4668
removed	removed	CYP2C8	5.9404
removed	removed	CYP2D6	9.5047
removed	removed	CYP2D7P1	21.0886
CYP2E1	9.4594	CYP2E1	34.3328
CYP2J2	8.1419	CYP2J2	214.4501
CYP2R1	273.3691	CYP2R1	371.575
CYP2S1	46.3839	CYP2S1	16.6333
CYP2U1	205.767	CYP2U1	533.7492
CYP39A1	14.3099	CYP39A1	251.2809
CYP46A1	8.882	CYP46A1	35.0486
CYP4A11	5.9214	CYP4A11	29.1082
CYP4B1	43.67	CYP4B1	59.1074
CYP4F11	146.8002	CYP4F11	182.0747
removed	removed	CYP4F12	12.772
CYP4F22	1311.333	CYP4F22	154.1546
CYP4F8	26.8928	CYP4F8	11.8809
CYP4V2	940.755	CYP4V2	1013.7373
CYP4X1	4417.823	CYP4X1	1467.5874
CYP4Z1	4321.8478	CYP4Z1	2099.651
CYP4Z2P	611.6265	CYP4Z2P	326.7246
CYP51A1	1099.8914	CYP51A1	1391.8467
CYP7B1	285.952	CYP7B1	382.8618
removed	removed	CYP8B1	5.3464
CYR61	3083.5447	CYR61	9868.5676
CYS1	45.397	CYS1	90.8888
CYSLTR1	162.097	CYSLTR1	68.6122
CYSLTR2	27.3863	CYSLTR2	13.663
CYTH1	803.577	CYTH1	744.9321
CYTH2	1169.714	CYTH2	1421.549
CYTH3	580.2926	CYTH3	916.0169
CYTH4	1592.3506	CYTH4	238.806
CYTIP	305.9366	CYTIP	221.8757
CYTL1	30.5937	CYTL1	45.7414
CYTSA	2303.1597	CYTSA	2594.4902
CYTSB	854.1552	CYTSB	229.5983
CYYR1	486.7846	CYYR1	1498.7748
D2HGDH	131.5034	D2HGDH	453.5531
D4S234E	13.0763	D4S234E	236.7268
DAAM1	577.3319	DAAM1	961.4613
DAAM2	352.9645	DAAM2	451.6462
DAB2IP	886.2292	DAB2IP	2759.0406
DAB2	1773.1986	DAB2	1903.3192
DACH1	41.2028	DACH1	170.1938
DACT1	572.3975	DACT1	133.363
removed	removed	DACT2	151.1844
DACT3	82.6522	DACT3	50.4938
DAD1	2272.8128	DAD1	1756.8872
DAG1	3140.0443	DAG1	4220.9846
DAGLA	245.4894	DAGLA	365.3375
DAGLB	419.9226	DAGLB	392.6635
DAK	655.2964	DAK	605.9256
DALRD3	570.7518	DALRD3	773.5799
DAP3	2241.9724	DAP3	1939.853
DAPK1	906.7072	DAPK1	288.7057
DAPK2	154.4486	DAPK2	537.6105
DAPK3	667.8793	DAPK3	547.4122
removed	removed	DAPL1	42.4742
DAPP1	317.5326	DAPP1	554.8378
DAP	2372.4889	DAP	2220.5391
DARC	494.6797	DARC	1099.8738
DARS2	971.3487	DARS2	541.7688
DARS	1577.0538	DARS	2620.6282
DAXX	1222.7595	DAXX	1262.939
DAZAP1	1212.1504	DAZAP1	1121.8534
DAZAP2	6263.0648	DAZAP2	6926.5612
DBC1	18.5042	DBC1	332.665
DBF4B	90.7941	DBF4B	109.0072
DBF4	350.8402	DBF4	203.4603
DBI	1532.8903	DBI	3304.6707
DBN1	468.5271	DBN1	651.073
DBNDD1	112.259	DBNDD1	212.074
DBNDD2	1580.8385	DBNDD2	967.3275
DBNL	2077.6548	DBNL	1257.5926
DBP	167.7667	DBP	255.7095
DBR1	417.4554	DBR1	432.4645
DBT	1297.2698	DBT	1158.9812
removed	removed	DBX2	8.3166
DCAF10	2082.0959	DCAF10	2000.1485
DCAF11	1882.0948	DCAF11	2059.2381
DCAF12	2140.3225	DCAF12	1448.578
DCAF13	990.8472	DCAF13	772.2997
DCAF15	298.2882	DCAF15	456.5234
DCAF16	596.0829	DCAF16	1360.0653
DCAF17	426.5842	DCAF17	692.9531
DCAF4L1	10.6091	DCAF4L1	6.8315
DCAF4	316.299	DCAF4	687.3097
DCAF5	1130.2383	DCAF5	1791.0448
DCAF6	1277.532	DCAF6	1827.5785
DCAF7	3052.7044	DCAF7	2653.8947
DCAF8	1951.8014	DCAF8	2543.9192
DCAKD	516.8848	DCAKD	1128.3879
DCBLD1	318.026	DCBLD1	185.0449
DCBLD2	932.6131	DCBLD2	1084.7256
DCDC1	15.0698	DCDC1	7.1226
DCDC2	17.4458	DCDC2	75.9397
removed	removed	DCD	136.6303
DCHS1	573.6311	DCHS1	906.2152
DCHS2	10.1156	DCHS2	155.9367
DCI	670.5933	DCI	504.641
DCK	1074.4789	DCK	625.8261
DCLK1	3384.5469	DCLK1	1432.8358
DCLK2	81.4186	DCLK2	111.0864
DCLK3	49.8381	DCLK3	12.772
DCLRE1A	555.867	DCLRE1A	438.108
DCLRE1B	501.3412	DCLRE1B	226.6281
DCLRE1C	339.9844	DCLRE1C	489.7899
DCN	8264.9756	DCN	14713.5962
DCP1A	969.1282	DCP1A	1314.9179
DCP1B	250.9173	DCP1B	398.307
DCP2	1557.8094	DCP2	1429.8656
DCPS	226.9852	DCPS	310.0913
removed	removed	DCST2	54.9491
DCTD	1382.8827	DCTD	1287.2949
DCTN1	2447.7912	DCTN1	2988.9508
DCTN2	1932.8284	DCTN2	1915.2001
DCTN3	629.6372	DCTN3	684.3395
DCTN4	2253.5684	DCTN4	2297.1709
DCTN5	1628.8656	DCTN5	1188.9805
DCTN6	734.4945	DCTN6	665.9241
DCTPP1	1041.9016	DCTPP1	629.3904
DCUN1D1	951.8575	DCUN1D1	621.6678
DCUN1D2	209.2212	DCUN1D2	291.6759
DCUN1D3	148.0338	DCUN1D3	169.3027
DCUN1D4	704.1476	DCUN1D4	1264.7212
DCUN1D5	499.3675	DCUN1D5	328.2097
DCXR	1316.5142	DCXR	817.9996
DCX	6.1681	DCX	103.0668
DDA1	481.8501	DDA1	468.7013
DDAH1	1126.2907	DDAH1	1390.9557
DDAH2	1143.8081	DDAH2	1366.5998
DDB1	6065.6863	DDB1	5230.2666
DDB2	591.1484	DDB2	779.3866
DDHD1	457.1778	DDHD1	419.0985
DDHD2	1086.5683	DDHD2	1315.809
DDI2	240.0887	DDI2	197.906
DDIT3	224.2268	DDIT3	402.697
DDIT4L	13.323	DDIT4L	36.2367
DDIT4	1229.1743	DDIT4	1615.8016
DDOST	5187.1055	DDOST	3809.3117
DDO	55.266	DDO	49.3057
DDR1	4873.5205	DDR1	6879.0376
DDR2	341.9582	DDR2	251.5779
DDRGK1	973.0757	DDRGK1	758.8921
DDTL	154.3351	DDTL	115.8714
DDT	505.9994	DDT	403.79
DDX10	677.5015	DDX10	959.9762
DDX11L2	12.8296	DDX11L2	8.9107
DDX11	563.022	DDX11	754.7338
DDX12	73.03	DDX12	125.6405
DDX17	10958.9447	DDX17	21464.6172
DDX18	1784.5479	DDX18	2600.4307
DDX19A	609.4059	DDX19A	905.6182
DDX19B	551.9145	DDX19B	877.11
DDX1	2280.9546	DDX1	2647.0632
DDX20	547.2317	DDX20	706.6162
DDX21	3857.515	DDX21	2942.6004
DDX23	2605.6422	DDX23	2527.9572
DDX24	3485.4566	DDX24	3088.4384
DDX26B	120.1541	DDX26B	495.7303
DDX27	1016.9924	DDX27	1167.8919
DDX28	195.1579	DDX28	239.9941
DDX31	405.8594	DDX31	445.2365
DDX39	705.8747	DDX39	483.8494
DDX3X	11789.9079	DDX3X	11139.8233
DDX41	1072.0117	DDX41	899.9777
DDX42	2681.6329	DDX42	4180.5896
DDX46	2170.9162	DDX46	2093.4135
DDX47	1075.9592	DDX47	1151.2586
DDX49	631.8577	DDX49	598.5
DDX50	1144.5483	DDX50	1476.2011
DDX51	326.908	DDX51	655.8254
DDX52	712.7829	DDX52	730.675
DDX54	1410.7082	DDX54	1476.0496
DDX55	534.6489	DDX55	719.3881
DDX56	1048.8197	DDX56	1158.9812
DDX58	1004.4096	DDX58	954.6298
DDX59	445.5818	DDX59	638.004
DDX5	10933.2855	DDX5	14509.8389
DDX60L	1452.4586	DDX60L	849.1869
DDX60	1231.3948	DDX60	1215.7125
DDX6	4737.5761	DDX6	5045.5187
DEAF1	474.2017	DEAF1	636.7595
DECR1	1396.6992	DECR1	943.937
DECR2	225.2581	DECR2	218.0144
