gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ACOT7	278.3036	ACOT7	127.4226
ACOT8	241.9687	ACOT8	234.2556
ACOT9	764.348	ACOT9	422.6628
ACOX1	1749.5601	ACOX1	1449.7661
ACOX2	26.3994	ACOX2	150.2933
ACOX3	400.925	ACOX3	515.3338
ACP1	1125.5506	ACP1	1622.3361
ACP2	1416.9305	ACP2	597.906
ACP5	61655.1046	ACP5	490.6809
ACP6	208.7277	ACP6	332.665
ACPL2	899.5523	ACPL2	510.5814
ACPP	33.3076	ACPP	21.3856
ACRBP	34.5412	ACRBP	10.3958
ACRC	12.5829	ACRC	19.6035
removed	removed	ACR	11.5839
removed	removed	ACSBG1	10.9898
removed	removed	ACSBG2	6.2375
ACSF2	839.4086	ACSF2	753.5457
ACSF3	340.7245	ACSF3	380.1886
ACSL1	3512.5961	ACSL1	1907.1805
ACSL3	3251.0697	ACSL3	4336.2293
ACSL4	4450.1437	ACSL4	1328.284
ACSL5	544.0243	ACSL5	913.3437
ACSL6	6.9082	ACSL6	20.4945
ACSM1	27.8797	ACSM1	37.4248
ACSM3	54.8293	ACSM3	184.9944
ACSM5	17.7641	ACSM5	52.2759
ACSS1	917.8098	ACSS1	1216.0095
ACSS2	666.6457	ACSS2	1251.9492
ACSS3	188.4964	ACSS3	140.1945
removed	removed	ACTA1	11.8809
ACTA2	8293.0305	ACTA2	16725.2603
removed	removed	ACTBL2	10.9898
ACTB	84238.406	ACTB	52905.9182
ACTG1	58738.0979	ACTG1	50233.9051
ACTG2	25.4125	ACTG2	2433.8011
ACTL6A	1014.2785	ACTL6A	971.2631
ACTN1	7615.1071	ACTN1	6163.5108
ACTN2	202.0662	removed	removed
ACTN4	5283.1844	ACTN4	8712.6665
ACTR10	1159.5984	ACTR10	1163.1395
ACTR1A	2604.1618	ACTR1A	1495.2105
ACTR1B	861.5569	ACTR1B	1308.3835
ACTR2	11098.5899	ACTR2	4969.1839
ACTR3B	154.4486	ACTR3B	336.5263
ACTR3C	97.2089	ACTR3C	51.9789
ACTR3	7973.1023	ACTR3	3263.3846
ACTR5	208.481	ACTR5	251.2809
ACTR6	646.4144	ACTR6	870.2755
ACTR8	673.3072	ACTR8	577.4115
ACVR1B	984.9184	ACVR1B	1408.183
ACVR1C	13.5698	ACVR1C	39.504
ACVR1	643.4537	ACVR1	952.8477
ACVR2A	336.2835	ACVR2A	747.3082
ACVR2B	413.7546	ACVR2B	528.1057
ACVRL1	476.6689	ACVRL1	333.5561
ACY1	785.3195	ACY1	682.5574
ACY3	28.8666	ACY3	24.3558
ACYP1	115.9598	ACYP1	105.74
ACYP2	68.589	ACYP2	149.9963
ADAL	207.0006	ADAL	174.9462
ADAM10	3200.4915	ADAM10	1994.2081
removed	removed	ADAM11	18.4154
ADAM12	3539.9824	ADAM12	279.201
ADAM15	2466.4188	ADAM15	2180.7737
ADAM17	641.4799	ADAM17	875.3249
ADAM19	803.3303	ADAM19	70.6913
ADAM22	313.585	ADAM22	160.095
ADAM23	59.4603	ADAM23	17.5243
ADAM28	655.7899	ADAM28	169.8968
removed	removed	ADAM29	5.3464
ADAM32	35.2814	ADAM32	159.798
ADAM33	17.7641	ADAM33	284.7583
ADAM6	5493.8094	ADAM6	10057.8124
ADAM8	876.8537	ADAM8	214.1531
ADAM9	3516.0503	ADAM9	1780.649
ADAMDEC1	639.9996	removed	removed
ADAMTS10	86.5998	ADAMTS10	177.0253
ADAMTS12	778.1645	ADAMTS12	58.2164
ADAMTS13	37.0085	ADAMTS13	72.4735
ADAMTS14	276.3298	ADAMTS14	10.3958
ADAMTS15	81.6653	ADAMTS15	155.3427
ADAMTS16	139.3985	ADAMTS16	10.3958
ADAMTS17	13.323	ADAMTS17	48.1176
ADAMTS18	6.1681	ADAMTS18	142.8678
removed	removed	ADAMTS19	5.9404
ADAMTS1	2573.0747	ADAMTS1	2127.5711
ADAMTS2	446.8155	ADAMTS2	100.0965
ADAMTS3	62.4209	ADAMTS3	45.4444
ADAMTS4	505.0421	ADAMTS4	73.3645
ADAMTS5	339.9844	ADAMTS5	1869.4587
ADAMTS6	90.7941	ADAMTS6	25.5439
ADAMTS7	204.7801	ADAMTS7	29.4052
ADAMTS8	460.6319	ADAMTS8	304.4479
ADAMTS9	425.1038	ADAMTS9	641.8653
ADAMTSL1	235.1271	ADAMTSL1	125.0464
ADAMTSL2	173.1996	ADAMTSL2	21.6826
ADAMTSL3	84.1326	ADAMTSL3	63.8598
ADAMTSL4	137.4247	ADAMTSL4	284.8444
ADAMTSL5	71.7964	ADAMTSL5	36.2367
ADAP1	144.3058	ADAP1	75.209
ADAP2	410.7939	ADAP2	238.5089
ADARB1	537.8563	ADARB1	664.439
removed	removed	ADARB2	10.6928
ADAR	7987.1655	ADAR	7661.3945
ADAT1	341.4647	ADAT1	340.6846
ADAT2	64.8882	ADAT2	220.3906
ADAT3	30.5937	ADAT3	16.9303
ADA	124.3484	ADA	48.1176
ADCK1	153.215	ADCK1	130.3928
ADCK2	740.9093	ADCK2	589.8864
ADCK4	469.0205	ADCK4	492.166
ADCK5	85.6129	ADCK5	96.5323
ADCY1	136.6846	ADCY1	430.0884
ADCY2	13.323	ADCY2	81.3841
ADCY3	1552.1964	ADCY3	949.4854
ADCY4	206.0138	ADCY4	432.4645
ADCY5	16.5304	ADCY5	202.2722
ADCY6	1715.4654	ADCY6	1981.7331
