gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ACOT13	1321.8856	ACOT13	783.4425
ACOT1	2167.4821	ACOT1	1201.0915
ACOT2	1243.5077	ACOT2	801.4274
ACOT4	1688.7467	ACOT4	276.2385
ACOT6	43.6583	ACOT6	6.717
ACOT7	365.0734	ACOT7	386.6499
ACOT8	220.7264	ACOT8	257.4685
ACOT9	539.7064	ACOT9	466.8346
ACOX1	2404.3809	ACOX1	1942.0361
ACOX2	531.0501	ACOX2	459.6977
ACOX3	257.4332	ACOX3	554.9958
ACOXL	7.9037	removed	removed
ACP1	1409.8607	ACP1	1170.445
ACP2	2681.2194	ACP2	1281.6961
ACP5	3080.9183	ACP5	1369.4374
ACP6	244.2604	ACP6	364.3997
ACPL2	278.886	ACPL2	339.6306
ACPP	57.9601	ACPP	42.8212
ACRBP	159.9548	ACRBP	21.8304
ACRC	5.2691	ACRC	20.9908
removed	removed	ACSBG1	26.4484
removed	removed	ACSBG2	5.8774
ACSF2	1001.1291	ACSF2	1767.8421
ACSF3	238.2386	ACSF3	464.3157
ACSL1	1944.2981	ACSL1	12339.2107
ACSL3	3475.3481	ACSL3	2168.3459
ACSL4	431.6899	ACSL4	824.0974
ACSL5	159.2021	ACSL5	697.733
ACSL6	6.3982	removed	removed
ACSM1	16.1837	ACSM1	17.6322
ACSM3	147.644	ACSM3	171.3182
ACSM5	25.9691	ACSM5	273.2997
ACSS1	2594.6556	ACSS1	1019.3115
ACSS2	1071.8856	ACSS2	3659.11
ACSS3	865.2616	ACSS3	470.6129
ACTA1	15.8073	ACTA1	142.3174
ACTA2	5372.7964	ACTA2	83569.9076
ACTB	86834.7761	ACTB	130926.1125
ACTC1	15.0546	removed	removed
ACTG1	62891.2307	ACTG1	69566.7506
ACTG2	339.857	ACTG2	27048.2788
ACTL6A	1097.102	ACTL6A	696.8934
ACTN1	5067.3692	ACTN1	14532.3258
ACTN4	13592.5668	ACTN4	15371.8472
ACTR10	1073.7674	ACTR10	1168.7657
ACTR1A	4076.7783	ACTR1A	2983.6272
ACTR1B	1096.3493	ACTR1B	1623.4257
ACTR2	6597.2902	ACTR2	2854.7439
ACTR3B	193.8276	ACTR3B	128.4635
ACTR3C	42.1528	ACTR3C	48.2788
ACTR3	3392.548	ACTR3	2559.194
ACTR5	207.0004	ACTR5	233.8371
ACTR6	661.6485	ACTR6	408.9001
ACTR8	311.2533	ACTR8	410.1595
ACVR1B	529.1682	ACVR1B	1041.1419
ACVR1C	57.9601	ACVR1C	605.7935
ACVR1	650.7339	ACVR1	1130.9824
ACVR2A	198.344	ACVR2A	510.9152
ACVR2B	185.924	ACVR2B	321.9983
ACVRL1	316.8988	ACVRL1	1003.3585
ACY1	986.4509	ACY1	754.4332
ACY3	31.991	ACY3	27.288
ACYP1	50.8092	ACYP1	49.5382
ACYP2	54.9492	ACYP2	169.1856
removed	removed	ADAD2	12.372
ADAL	269.1005	ADAL	180.5206
ADAM10	2132.8566	ADAM10	930.3107
removed	removed	ADAM11	23.9295
ADAM12	768.9123	ADAM12	493.7028
ADAM15	3207.4031	ADAM15	2718.3039
ADAM17	650.7339	ADAM17	421.9144
ADAM19	126.8348	ADAM19	96.5575
ADAM21	8.28	ADAM21	5.8774
ADAM22	112.9093	ADAM22	9.6558
ADAM23	6.7746	ADAM23	42.4013
ADAM28	95.9729	ADAM28	75.1469
ADAM29	46.6692	removed	removed
removed	removed	ADAM32	7.9765
ADAM33	11.6673	ADAM33	670.0252
ADAM6	198123.3384	ADAM6	38199.9706
ADAM8	311.2533	ADAM8	66.3308
ADAM9	1390.2898	ADAM9	691.016
ADAMDEC1	22.9582	ADAMDEC1	14.6935
ADAMTS10	48.551	ADAMTS10	153.2326
ADAMTS12	109.522	ADAMTS12	66.3308
ADAMTS13	41.0237	ADAMTS13	45.3401
ADAMTS14	33.4964	ADAMTS14	8.8161
ADAMTS15	119.3075	ADAMTS15	162.4685
ADAMTS16	151.6748	ADAMTS16	83.5432
ADAMTS17	137.7493	ADAMTS17	55.4156
removed	removed	ADAMTS18	30.2267
ADAMTS19	78.2838	removed	removed
ADAMTS1	464.4336	ADAMTS1	5232.9975
ADAMTS2	163.7185	ADAMTS2	563.8119
ADAMTS3	7.9037	ADAMTS3	42.4013
ADAMTS4	239.7441	ADAMTS4	110.8312
ADAMTS5	136.2439	ADAMTS5	1607.4727
ADAMTS6	19.5709	ADAMTS6	18.0521
ADAMTS7	107.2638	ADAMTS7	92.7792
ADAMTS8	25.5928	ADAMTS8	121.7464
ADAMTS9	96.3493	ADAMTS9	354.3241
ADAMTSL1	68.8747	ADAMTSL1	89.4207
ADAMTSL2	102.7475	ADAMTSL2	88.1612
ADAMTSL3	582.612	ADAMTSL3	118.8077
ADAMTSL4	770.7941	ADAMTSL4	410.9992
ADAMTSL5	162.213	ADAMTSL5	57.5147
ADAP1	374.1287	ADAP1	160.445
ADAP2	251.4114	ADAP2	262.8044
ADARB1	320.286	ADARB1	1010.0756
ADAR	7999.2473	ADAR	4734.6767
ADAT1	218.2913	ADAT1	119.6474
ADAT2	25.9691	ADAT2	105.3736
ADAT3	72.6383	ADAT3	35.2645
ADA	61.7237	ADA	140.6381
ADCK1	222.8077	ADCK1	174.6432
ADCK2	1504.3282	ADCK2	1038.2032
ADCK4	672.9394	ADCK4	504.1982
ADCK5	129.093	ADCK5	97.3971
ADCY1	2986.4509	ADCY1	861.8808
ADCY2	5.6455	ADCY2	127.204
ADCY3	347.3466	ADCY3	1470.3065
ADCY4	74.8965	ADCY4	535.6843
ADCY5	1895.7471	ADCY5	443.7448
ADCY6	2361.3097	ADCY6	2075.5668
ADCY7	210.764	ADCY7	238.0353
ADCY9	3266.4659	ADCY9	953.8203
ADC	175.0094	ADC	157.8505
ADD1	4517.5009	ADD1	7989.5046
ADD2	20.3237	ADD2	26.0285
ADD3	304.8551	ADD3	1401.7632
ADH1A	11.2909	ADH1A	195.6339
ADH1B	1552.8792	ADH1B	18641.4777
removed	removed	ADH1C	605.7935
removed	removed	ADH4	23.9295
ADH5	2168.6112	ADH5	4484.047
removed	removed	ADH7	157.4307
ADHFE1	141.8893	ADHFE1	352.225
ADI1	1873.918	ADI1	2818.22
ADIPOQ	2172.7512	ADIPOQ	13034.005
ADIPOR1	4099.7365	ADIPOR1	2658.6902
ADIPOR2	2030.8619	ADIPOR2	3262.8044
ADK	623.2593	ADK	396.3056
ADM2	269.8532	ADM2	86.0621
ADM	47.4219	ADM	1253.1486
ADNP2	575.0847	ADNP2	509.6558
ADNP	2947.309	ADNP	1905.5416
ADORA1	4268.7241	ADORA1	265.3233
ADORA2A	453.1426	ADORA2A	92.3594
ADORA2B	24.0873	ADORA2B	134.7607
ADORA3	237.4859	ADORA3	141.4777
ADO	610.8393	ADO	560.4534
ADPGK	790.2597	ADPGK	751.7086
ADPRHL1	19.5709	ADPRHL1	80.6045
ADPRHL2	845.3143	ADPRHL2	760.2855
ADPRH	151.6748	ADPRH	649.8741
removed	removed	ADRA1A	17.2124
