gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
CYP27B1	5.6455	CYP27B1	15.953
removed	removed	CYP27C1	24.3493
CYP2A6	12.7964	CYP2A6	104.9538
CYP2A7	17.6891	CYP2A7	71.7884
CYP2B7P1	593.9029	CYP2B7P1	81.864
removed	removed	CYP2C18	7.5567
removed	removed	CYP2C8	17.2124
removed	removed	CYP2D6	101.5953
CYP2E1	16.2476	CYP2E1	25.6213
CYP2J2	266.8423	CYP2J2	387.0697
CYP2R1	292.0587	CYP2R1	225.8606
CYP2S1	109.522	CYP2S1	215.3652
CYP2U1	191.9458	CYP2U1	551.6373
CYP39A1	15.8073	CYP39A1	291.7716
removed	removed	CYP3A4	6.717
CYP3A5	7.5273	CYP3A5	29.3871
removed	removed	CYP46A1	25.1889
removed	removed	CYP4A11	13.8539
CYP4B1	1173.504	CYP4B1	490.3442
CYP4F11	1293.5642	CYP4F11	475.2309
removed	removed	CYP4F12	62.5525
CYP4F22	80.542	CYP4F22	213.686
CYP4F2	6.7746	removed	removed
removed	removed	CYP4F3	117.9681
removed	removed	CYP4F8	16.3728
CYP4V2	614.9793	CYP4V2	599.4962
CYP4X1	796.7633	CYP4X1	1316.1209
CYP4Z1	65.8638	CYP4Z1	183.4593
CYP4Z2P	109.8984	CYP4Z2P	30.6465
CYP51A1	2670.6436	CYP51A1	1165.827
CYP7B1	47.7983	CYP7B1	49.1184
CYP8B1	65.8638	CYP8B1	5.8774
CYR61	2720.7377	CYR61	17834.173
CYS1	64.7347	CYS1	223.3417
CYSLTR1	53.8201	CYSLTR1	29.8069
removed	removed	CYSLTR2	11.7548
CYTH1	629.2811	CYTH1	951.7212
CYTH2	1880.3161	CYTH2	1793.0311
CYTH3	400.0753	CYTH3	1186.8178
CYTH4	297.7042	CYTH4	232.1579
CYTIP	128.3402	CYTIP	168.7657
CYTL1	7.9037	CYTL1	87.7414
CYTSA	1407.6026	CYTSA	1838.7909
CYTSB	738.0504	CYTSB	316.5407
CYYR1	214.1513	CYYR1	925.6927
D2HGDH	217.5386	D2HGDH	405.9614
D4S234E	25.9691	D4S234E	751.0495
DAAM1	573.5792	DAAM1	464.3157
DAAM2	156.2288	DAAM2	1079.9664
DAB2IP	1722.6195	DAB2IP	4157.4307
DAB2	646.2175	DAB2	2054.1562
DACH1	299.9624	DACH1	171.2846
removed	removed	DACH2	5.4576
DACT1	143.7712	DACT1	440.806
removed	removed	DACT2	133.9211
DACT3	92.2093	DACT3	114.6096
DAD1	3519.7591	DAD1	3705.7095
DAG1	3249.9059	DAG1	3892.5273
DAGLA	396.3116	DAGLA	185.9782
DAGLB	476.4772	DAGLB	421.0747
DAK	1468.9499	DAK	774.5592
DALRD3	1462.7362	DALRD3	848.3165
removed	removed	DAND5	5.0378
DAP3	2205.8713	DAP3	2459.2779
DAPK1	190.064	DAPK1	321.1587
DAPK2	348.137	DAPK2	609.152
DAPK3	1033.8728	DAPK3	984.8866
DAPL1	1118.9311	DAPL1	272.8799
DAPP1	66.6165	DAPP1	92.7792
DAP	3864.1325	DAP	3073.4677
DARC	60.5947	DARC	2397.9849
DARS2	1057.9601	DARS2	379.9328
DARS	1010.1618	DARS	1387.0697
DAXX	2493.4136	DAXX	1686.398
DAZAP1	1355.2879	DAZAP1	1501.2594
DAZAP2	6806.5487	DAZAP2	7603.6944
removed	removed	DBC1	41.5617
DBF4B	73.7674	DBF4B	80.1847
DBF4	263.2142	DBF4	127.6238
DBI	2566.0519	DBI	5971.0327
DBN1	1234.475	DBN1	1479.0092
DBNDD1	323.297	DBNDD1	197.733
DBNDD2	466.9025	DBNDD2	1270.2897
DBNL	1964.9981	DBNL	1960.9572
DBP	584.8513	DBP	966.8976
DBR1	410.9898	DBR1	321.1587
DBT	943.9217	DBT	551.2175
removed	removed	DBX2	17.2124
DCAF10	2740.685	DCAF10	674.6432
DCAF11	3704.6481	DCAF11	2768.5348
removed	removed	DCAF12L2	7.1369
DCAF12	1537.4482	DCAF12	1186.8178
DCAF13	1236.6993	DCAF13	584.4626
DCAF15	356.7934	DCAF15	492.0235
DCAF16	1048.9274	DCAF16	677.162
DCAF17	400.0753	DCAF17	282.5357
DCAF4L1	8.28	DCAF4L1	8.8161
DCAF4	491.1554	DCAF4	379.513
DCAF5	1692.134	DCAF5	2077.246
DCAF6	1799.3978	DCAF6	1779.1772
DCAF7	1929.2435	DCAF7	2172.1243
DCAF8	2630.9447	DCAF8	2911.8346
DCAKD	465.1863	DCAKD	1354.7439
DCBLD1	162.3297	DCBLD1	216.6247
DCBLD2	426.7971	DCBLD2	903.0227
DCDC1	8.6903	removed	removed
DCDC2	8238.4682	DCDC2	925.5961
removed	removed	DCD	622.1662
DCHS1	377.8698	DCHS1	1090.2603
DCHS2	7.9037	DCHS2	65.4912
DCI	2181.0312	DCI	1268.6818
DCK	477.9827	DCK	251.4694
DCLK1	75.2729	DCLK1	287.5735
DCLK2	30.4855	DCLK2	58.3543
DCLK3	10.9146	DCLK3	32.3258
DCLRE1A	690.2522	DCLRE1A	233.4173
DCLRE1B	228.8295	DCLRE1B	204.0302
DCLRE1C	199.0967	DCLRE1C	181.78
DCN	4696.6504	DCN	37194.3745
DCP1A	396.688	DCP1A	692.6952
DCP1B	190.064	DCP1B	503.7783
DCP2	824.9906	DCP2	710.7473
DCPS	306.3606	DCPS	206.1293
DCST2	15.8073	DCST2	29.3871
DCTD	1325.5551	DCTD	1938.707
DCTN1	5540.2747	DCTN1	4635.6591
DCTN2	1993.6018	DCTN2	3267.0025
DCTN3	1095.9729	DCTN3	1151.1335
DCTN4	1871.2834	DCTN4	1519.7313
DCTN5	1673.3158	DCTN5	1109.152
DCTN6	1021.8291	DCTN6	692.6952
DCTPP1	1482.1227	DCTPP1	690.9824
removed	removed	DCT	5.4576
DCUN1D1	474.219	DCUN1D1	286.314
DCUN1D2	88.4456	DCUN1D2	238.4551
DCUN1D3	225.4422	DCUN1D3	291.7716
DCUN1D4	320.286	DCUN1D4	589.8405
DCUN1D5	770.7941	DCUN1D5	281.2762
DCXR	1110.2747	DCXR	1191.8556
removed	removed	DCX	39.0428
DDA1	610.4629	DDA1	652.8128
DDAH1	2348.5134	DDAH1	852.225
DDAH2	3944.6744	DDAH2	3357.2628
DDB1	8861.1216	DDB1	5653.2326
DDB2	1014.6782	DDB2	756.927
DDHD1	257.0568	DDHD1	218.3039
DDHD2	769.665	DDHD2	1138.1192
DDI2	84.5766	DDI2	27.9639
DDIT3	244.1212	DDIT3	432.9975
DDIT4L	269.4769	DDIT4L	96.9773
DDIT4	2594.6556	DDIT4	2613.7699
DDOST	3196.8385	DDOST	4665.827
DDO	101.9947	DDO	101.5953
DDR1	26434.3244	DDR1	5420.6549
DDR2	93.3384	DDR2	256.0873
DDRGK1	1119.6839	DDRGK1	1336.6919
DDTL	155.6191	DDTL	209.9664
DDT	369.4279	DDT	818.9085
DDX10	763.2668	DDX10	592.7792
DDX11	362.0625	DDX11	507.5567
DDX12	23.3346	DDX12	33.1654
DDX17	5321.0388	DDX17	9887.9093
DDX18	1617.9902	DDX18	1509.6558
DDX19A	494.3696	DDX19A	1003.3585
DDX19B	594.4486	DDX19B	1034.8447
DDX1	2371.4716	DDX1	2538.623
DDX20	522.0173	DDX20	483.2074
DDX21	1484.3809	DDX21	731.3182
DDX23	3333.8352	DDX23	2797.2292
DDX24	3220.1731	DDX24	4844.6683
removed	removed	DDX25	15.953
DDX26B	71.1329	DDX26B	323.2578
DDX27	963.1163	DDX27	1334.173
DDX28	190.4403	DDX28	379.9328
DDX31	319.1569	DDX31	312.3426
DDX39	1177.644	DDX39	641.8976
DDX3X	6925.4799	DDX3X	5261.9647
DDX41	1257.0568	DDX41	1195.6339
DDX42	2489.2736	DDX42	4369.4374
removed	removed	DDX43	7.6658
DDX46	1654.4976	DDX46	1115.869
DDX47	706.8122	DDX47	1219.1436
DDX49	714.3395	DDX49	748.5306
DDX50	875.7998	DDX50	1236.356
DDX51	339.857	DDX51	665.827
DDX52	487.3918	DDX52	363.1402
DDX54	1754.0008	DDX54	1644.6809
DDX55	372.2243	DDX55	351.8052
DDX56	1188.1822	DDX56	1353.0647
DDX58	1288.2951	DDX58	631.822
DDX59	235.6041	DDX59	463.4761
DDX5	8943.5454	DDX5	11551.2175
DDX60L	282.6496	DDX60L	204.0302
DDX60	1184.4185	DDX60	345.9278
DDX6	2969.1381	DDX6	4234.2569
DEAF1	602.7362	DEAF1	672.0487
DECR1	2432.819	DECR1	2229.639
DECR2	909.2962	DECR2	477.7498
DEDD2	675.9503	DEDD2	589.0008
DEDD	746.1046	DEDD	903.4005
DEF6	1202.8604	DEF6	404.7019
DEF8	162.9658	DEF8	829.555
removed	removed	DEFB132	278.3375
DEFB1	16.9364	DEFB1	154.0722
DEGS1	1315.0169	DEGS1	1781.6961
DEGS2	1875.047	DEGS2	550.7976
DEK	2182.1603	DEK	1924.0134
DEM1	206.624	DEM1	208.6482
DENND1A	631.9157	DENND1A	785.0546
DENND1B	285.6605	DENND1B	20.9908
DENND1C	161.4603	DENND1C	168.3459
DENND2A	17.3128	DENND2A	337.1117
DENND2C	14.0497	DENND2C	34.8489
DENND2D	1610.4629	DENND2D	659.5298
DENND3	304.8551	DENND3	424.4332
DENND4A	512.5743	DENND4A	330.8144
DENND4B	605.1938	DENND4B	617.8967
DENND4C	1095.2202	DENND4C	681.78
DENND5A	2152.0512	DENND5A	1949.2024
DENND5B	574.7083	DENND5B	295.1301
DENR	1438.8408	DENR	1170.0252
DEPDC1B	94.8438	DEPDC1B	6.717
DEPDC1	238.615	DEPDC1	25.6087
DEPDC4	10.1618	removed	removed
DEPDC5	170.1167	DEPDC5	233.4173
DEPDC6	453.519	DEPDC6	640.2183
DEPDC7	7.1509	DEPDC7	10.4954
DERA	300.3387	DERA	342.5693
DERL1	3175.0094	DERL1	2259.8657
DERL2	1119.3075	DERL2	659.11
DERL3	583.7411	DERL3	150.7137
DES	7.5273	DES	112.0907
DET1	65.4874	DET1	177.162
DEXI	669.5521	DEXI	938.2872
DFFA	364.3207	DFFA	377.4139
DFFB	52.691	DFFB	120.0672
DFNA5	104.2529	DFNA5	309.8237
DFNB31	185.1712	DFNB31	437.4475
DFNB59	16.56	DFNB59	63.3921
DGAT1	1489.8607	DGAT1	1514.4794
DGAT2	903.6507	DGAT2	17945.0042
DGCR11	10.9146	DGCR11	18.0521
DGCR14	205.1186	DGCR14	533.5852
DGCR2	1965.7508	DGCR2	3770.361
DGCR5	12.7964	DGCR5	26.8682
DGCR6L	630.0339	DGCR6L	970.6129
DGCR6	490.4027	DGCR6	655.7515
DGCR8	662.0248	DGCR8	898.8245
DGCR9	6.0218	DGCR9	7.1369
DGKA	765.9014	DGKA	668.3459
removed	removed	DGKB	6.717
DGKD	567.181	DGKD	696.0537
DGKE	298.8333	DGKE	233.8371
DGKG	10.5382	DGKG	25.6087
DGKH	10.5382	DGKH	7.1369
removed	removed	DGKI	8.3963
DGKQ	492.2845	DGKQ	285.8942
DGKZ	1383.8916	DGKZ	778.7573
DGUOK	699.2849	DGUOK	916.0369
DHCR24	16995.86	DHCR24	11146.9353
DHCR7	1876.5525	DHCR7	793.8707
DHDDS	605.1938	DHDDS	1559.194
DHDH	13.1728	DHDH	13.8539
DHDPSL	160.4705	DHDPSL	94.0932
DHFRL1	293.1878	DHFRL1	288.8329
DHFR	480.5834	DHFR	414.8908
DHH	11.2909	DHH	10.4954
DHODH	77.1547	DHODH	155.3317
DHPS	1433.5717	DHPS	1104.0554
DHRS11	131.7275	DHRS11	343.8287
DHRS12	144.5239	DHRS12	445.8438
DHRS13	522.7588	DHRS13	150.6591
DHRS1	307.1133	DHRS1	624.2653
DHRS2	3457.2826	DHRS2	43.6608
DHRS3	1106.5111	DHRS3	3663.3081
DHRS4L1	18.4419	DHRS4L1	30.2267
DHRS4L2	574.1137	DHRS4L2	739.6474
DHRS4	1100.7979	DHRS4	1209.3367
DHRS7B	2122.6948	DHRS7B	873.6356
DHRS7	6558.5247	DHRS7	1494.9622
removed	removed	DHRS9	42.8212
DHRSX	432.4426	DHRSX	430.3107
DHTKD1	1692.134	DHTKD1	634.3409
DHX15	4164.4712	DHX15	1666.6667
DHX16	1195.3331	DHX16	1053.7364
DHX29	1257.8096	DHX29	816.9605
DHX30	1080.542	DHX30	1633.0814
DHX32	1294.2492	DHX32	817.4433
DHX33	325.1788	DHX33	166.6667
DHX34	417.0117	DHX34	370.6969
DHX35	273.6169	DHX35	251.8892
DHX36	812.5706	DHX36	672.9639
DHX37	459.5408	DHX37	350.5458
DHX38	560.4065	DHX38	1592.3594
DHX40	1549.8683	DHX40	1389.1688
DHX57	604.8175	DHX57	536.5239
DHX58	480.2409	DHX58	379.513
DHX8	1561.5356	DHX8	1037.7834
DHX9	3874.2943	DHX9	3763.2242
DIABLO	1104.7685	DIABLO	1067.8505
DIAPH1	2809.5597	DIAPH1	2549.958
DIAPH2	120.0602	DIAPH2	183.0395
DIAPH3	99.7365	DIAPH3	7.5567
DICER1	2045.9164	DICER1	933.2494
DIDO1	1420.7753	DIDO1	2119.6474
DIMT1L	348.137	DIMT1L	400.084
DIO1	262.3259	DIO1	14.6935
DIO2	90.3274	DIO2	134.3409
removed	removed	DIO3	24.7691
DIP2A	599.5484	DIP2A	407.2208
DIP2B	2633.4212	DIP2B	908.9001
DIP2C	659.7667	DIP2C	920.6549
DIRAS1	26.3455	DIRAS1	126.7842
DIRAS2	5.6455	DIRAS2	10.9152
DIRAS3	12.0437	DIRAS3	210.3275
DIRC2	714.125	DIRC2	389.7901
removed	removed	DIRC3	20.9908
DIS3L2	194.9567	DIS3L2	429.471
DIS3L	809.1833	DIS3L	794.2905
DIS3	604.6895	DIS3	822.2292
DISC1	59.4656	DISC1	131.822
DISP1	187.4294	DISP1	303.1066
removed	removed	DISP2	52.4769
DIXDC1	1000.3764	DIXDC1	1381.1923
DKC1	1070.0038	DKC1	1294.7103
DKFZP586I1420	250.2823	DKFZP586I1420	306.0453
DKFZP686I15217	116.2966	DKFZP686I15217	105.3736
removed	removed	DKFZp566F0947	5.8774
DKFZp686O24166	17.3128	DKFZp686O24166	6.2972
DKFZp761E198	516.3718	DKFZp761E198	296.3896
DKFZp779M0652	15.4309	DKFZp779M0652	22.2502
DKK1	7.5273	DKK1	16.7926
DKK2	71.1329	DKK2	48.6986
DKK3	825.367	DKK3	7498.7406
removed	removed	DKK4	5.0378
DLAT	599.9247	DLAT	658.6902
DLC1	435.0772	DLC1	1383.2914
DLD	1359.0516	DLD	1711.5869
removed	removed	DLEC1	19.3115
DLEU1	51.1855	DLEU1	60.8732
DLEU2	62.5104	DLEU2	9.1394
DLG1	1045.1411	DLG1	935.3484
DLG2	39.5183	DLG2	133.0814
DLG3	1982.3109	DLG3	1183.4593
DLG4	279.6425	DLG4	285.1092
DLG5	2844.9379	DLG5	1935.7683
removed	removed	DLGAP1	12.5945
removed	removed	DLGAP2	6.2972
DLGAP4	1449.7554	DLGAP4	1722.5021
DLGAP5	263.455	DLGAP5	11.335
removed	removed	DLK1	601.1755
removed	removed	DLK2	235.9362
DLL1	37.6364	DLL1	290.932
DLL4	195.3331	DLL4	536.9437
DLST	1844.9379	DLST	2697.733
removed	removed	DLX1	79.3451
DLX2	6.7746	DLX2	13.8539
DLX3	65.4874	DLX3	36.5239
DLX4	17.6891	removed	removed
removed	removed	DLX5	17.2124
DMAP1	647.3466	DMAP1	968.9337
removed	removed	DMBT1	12.1746
DMBX1	6.3982	removed	removed
DMC1	17.3128	DMC1	10.4954
DMD	107.2638	DMD	1158.6902
DMGDH	6.7746	DMGDH	87.3216
DMKN	141.8893	DMKN	883.2914
DMPK	398.5698	DMPK	913.9379
DMRT1	15.8073	DMRT1	7.1369
DMRT2	7.1509	DMRT2	105.7935
removed	removed	DMRT3	42.8212
removed	removed	DMRTA1	24.3493
removed	removed	DMRTC1B	38.2032
DMTF1	459.9435	DMTF1	848.0269
DMWD	621.0011	DMWD	482.3678
DMXL1	756.1159	DMXL1	435.3484
DMXL2	375.988	DMXL2	160.7893
DNA2	106.5111	DNA2	15.953
DNAH10	7.9037	DNAH10	9.6558
DNAH14	85.0583	DNAH14	18.8917
DNAH17	12.42	DNAH17	71.7884
DNAH1	21.8291	DNAH1	114.6096
DNAH2	38.0128	DNAH2	72.628
DNAH5	289.4242	DNAH5	333.3333
removed	removed	DNAH6	31.4861
DNAH7	54.1965	DNAH7	44.0806
removed	removed	DNAH9	41.1419
DNAI1	6.7746	DNAI1	28.9673
DNAJA1	4262.7023	DNAJA1	2851.8052
DNAJA2	1060.971	DNAJA2	1750.6297
DNAJA3	1659.3903	DNAJA3	1091.9395
DNAJA4	1680.0903	DNAJA4	876.9941
DNAJB11	1403.0862	DNAJB11	1222.5021
DNAJB12	2645.4648	DNAJB12	1735.5164
DNAJB14	519.7591	DNAJB14	73.0479
DNAJB1	4621.7539	DNAJB1	5301.8472
DNAJB2	2589.3865	DNAJB2	3229.2191
DNAJB4	274.746	DNAJB4	414.3577
DNAJB5	172.7512	DNAJB5	293.4509
DNAJB6	1338.3515	DNAJB6	2947.5231
DNAJB9	1590.892	DNAJB9	493.7028
DNAJC10	4781.3323	DNAJC10	1609.9916
DNAJC11	510.8318	DNAJC11	945.5709
DNAJC12	1023.3346	DNAJC12	209.9076
DNAJC13	1358.2988	DNAJC13	832.9135
DNAJC14	1901.0839	DNAJC14	1294.471
DNAJC15	308.9951	DNAJC15	899.6641
DNAJC16	552.8792	DNAJC16	490.3442
DNAJC17	415.5062	DNAJC17	330.3946
DNAJC18	117.4257	DNAJC18	256.5071
DNAJC19	512.9846	DNAJC19	552.4769
DNAJC1	5200.9785	DNAJC1	777.4979
DNAJC21	1004.8927	DNAJC21	957.5987
DNAJC22	339.857	DNAJC22	43.241
DNAJC24	272.4652	DNAJC24	297.7246
DNAJC25	235.2126	DNAJC25	209.4878
DNAJC27	155.8148	DNAJC27	152.8128
DNAJC28	47.7983	DNAJC28	39.4626
DNAJC2	391.1818	DNAJC2	530.4576
DNAJC30	550.2446	DNAJC30	493.7028
DNAJC3	2028.6037	DNAJC3	1753.9882
DNAJC4	1170.7151	DNAJC4	775.3442
DNAJC5B	12.42	removed	removed
DNAJC5	1694.7685	DNAJC5	2115.869
DNAJC6	75.2729	DNAJC6	57.9345
DNAJC7	1509.029	DNAJC7	1989.0386
DNAJC8	1406.4735	DNAJC8	2730.0588
DNAJC9	817.4595	DNAJC9	594.2611
DNAL1	644.7121	DNAL1	291.3518
DNAL4	395.5589	DNAL4	705.2897
DNALI1	2156.5676	DNALI1	859.3619
DNASE1L1	448.487	DNASE1L1	509.492
DNASE1L2	9.4091	removed	removed
DNASE1L3	8.28	DNASE1L3	583.1234
DNASE1	57.2074	DNASE1	43.241
DNASE2	3077.5311	DNASE2	1890.4282
DND1	58.4117	DND1	78.4467
removed	removed	DNER	12.5945
DNHD1	70.0038	DNHD1	162.8883
DNLZ	145.2766	DNLZ	105.3736
DNM1L	1170.8694	DNM1L	990.3442
DNM1P35	40.6473	DNM1P35	25.1889
DNM1	91.4565	DNM1	399.6641
DNM2	2094.6368	DNM2	1849.0302
DNM3	21.8291	DNM3	118.3879
DNMBP	1209.5973	DNMBP	733.7993
DNMT1	1551.7501	DNMT1	906.801
DNMT3A	426.0444	DNMT3A	329.555
DNMT3B	18.4419	DNMT3B	48.6986
DNPEP	1806.5487	DNPEP	1308.1444
DNTTIP1	417.388	DNTTIP1	657.4307
DNTTIP2	1669.5521	DNTTIP2	1563.8119
DOC2A	58.4343	DOC2A	30.3317
removed	removed	DOC2B	65.911
DOCK10	504.7046	DOCK10	398.4047
DOCK11	290.5533	DOCK11	746.0118
DOCK1	2205.8713	DOCK1	1853.0647
DOCK2	282.6496	DOCK2	218.7238
DOCK3	6.0218	removed	removed
DOCK4	246.1423	DOCK4	247.691
DOCK5	264.2078	DOCK5	173.3837
DOCK6	596.5374	DOCK6	1059.194
DOCK7	759.5032	DOCK7	685.9782
DOCK8	792.1302	DOCK8	1060.0336
DOCK9	1115.1675	DOCK9	1781.6961
DOHH	315.3933	DOHH	274.979
DOK1	351.5243	DOK1	735.5164
DOK2	39.5183	DOK2	184.2989
DOK3	165.6003	DOK3	118.8077
DOK4	142.2657	DOK4	522.2502
DOK5	16.9364	DOK5	61.293
DOK6	18.8182	DOK6	26.4484
DOK7	176.1385	DOK7	64.2317
DOLK	1118.9311	DOLK	586.9018
DOLPP1	597.2902	DOLPP1	431.9899
DOM3Z	208.5999	DOM3Z	280.6423
DONSON	295.1487	DONSON	113.2452
DOPEY1	472.9808	DOPEY1	584.1352
DOPEY2	1662.7776	DOPEY2	483.6272
DOT1L	310.5006	DOT1L	340.8774
DPAGT1	973.0787	DPAGT1	878.6734
DPCD	510.9785	DPCD	350.4702
DPEP1	27.0982	removed	removed
DPEP2	22.5819	DPEP2	17.2124
DPF2	1360.9334	DPF2	1466.8346
removed	removed	DPF3	18.4719
DPH1	924.1362	DPH1	606.1377
DPH2	433.1953	DPH2	358.1024
DPH3B	8.28	DPH3B	12.5945
DPH3	505.8336	DPH3	653.2326
DPH5	407.7079	DPH5	677.5105
DPM1	451.2608	DPM1	491.6037
DPM2	1039.1419	DPM2	743.9127
DPM3	402.3335	DPM3	354.7439
DPP3	1031.991	DPP3	526.0285
DPP4	86.1874	DPP4	481.9479
removed	removed	DPP6	174.2233
DPP7	2856.2288	DPP7	2280.8564
DPP8	480.9936	DPP8	166.2469
DPP9	1560.0301	DPP9	1021.4106
DPT	350.3952	DPT	7929.8908
DPY19L1	1310.1242	DPY19L1	352.225
removed	removed	DPY19L2P2	11.335
removed	removed	DPY19L2P4	31.906
DPY19L2	7.1509	DPY19L2	90.6801
DPY19L3	355.6643	DPY19L3	176.7422
DPY19L4	704.9304	DPY19L4	399.6641
DPY30	1040.6135	DPY30	531.843
DPYD	204.3658	DPYD	738.8749
DPYSL2	2050.0565	DPYSL2	5334.173
DPYSL3	1521.6409	DPYSL3	5671.7045
DPYSL4	5.2691	DPYSL4	26.0285
removed	removed	DPYS	7.9765
DQX1	421.9044	DQX1	13.8539
DR1	1101.6184	DR1	570.1092
DRAM1	831.3888	DRAM1	755.2477
DRAM2	883.3271	DRAM2	1649.4542
DRAP1	1274.3696	DRAP1	1554.576
removed	removed	DRD1	8.3963
removed	removed	DRD2	91.0999
removed	removed	DRD4	7.1369
DRG1	825.367	DRG1	1467.6742
DRG2	1039.1419	DRG2	936.1881
DRP2	7.9037	DRP2	7.1369
removed	removed	DSC1	34.4123
DSC2	751.5995	DSC2	807.7246
DSC3	156.1912	DSC3	1756.0873
removed	removed	DSCAML1	13.0143
removed	removed	DSCAM	13.0143
DSCC1	122.6948	DSCC1	20.9908
DSCR3	1162.5894	DSCR3	897.5651
DSCR6	108.7693	DSCR6	6.717
DSEL	271.735	DSEL	407.6406
DSE	371.6861	DSE	709.6138
DSG1	6.0218	DSG1	136.44
DSG2	1279.6387	DSG2	2551.927
DSG3	83.5529	DSG3	862.3006
DSN1	507.7155	DSN1	271.2007
DSP	16894.2416	DSP	14855.1637
DSTN	8220.9259	DSTN	14101.1755
DSTYK	476.8536	DSTYK	742.2334
DST	5836.2815	DST	34069.2695
DTD1	213.7749	DTD1	487.8254
DTL	666.5412	DTL	32.3258
DTNA	76.7783	DTNA	192.2754
DTNBP1	403.4626	DTNBP1	478.5894
DTNB	306.7369	DTNB	511.335
DTWD1	331.9533	DTWD1	482.7876
DTWD2	352.6534	DTWD2	70.9488
DTX1	38.7655	DTX1	622.5861
DTX2	307.866	DTX2	450.4618
DTX3L	2570.4893	DTX3L	820.2897
DTX3	469.3263	DTX3	1006.717
DTX4	716.5977	DTX4	616.2888
DTYMK	269.1005	DTYMK	390.848
DULLARD	2371.4716	DULLARD	2608.7322
DUOX1	17.6891	DUOX1	288.4131
removed	removed	DUOX2	33.5852
removed	removed	DUOXA1	22.2502
removed	removed	DUOXA2	6.717
DUS1L	1159.9548	DUS1L	1256.927
DUS2L	143.3948	DUS2L	185.9782
DUS3L	200.6022	DUS3L	208.2284
DUS4L	156.6165	DUS4L	109.152
DUSP10	382.7625	DUSP10	193.115
DUSP11	528.0391	DUSP11	478.1696
DUSP12	169.3639	DUSP12	261.1251
DUSP13	24.84	removed	removed
DUSP14	255.5514	DUSP14	628.8833
removed	removed	DUSP15	15.1134
DUSP16	1546.1046	DUSP16	1727.5399
DUSP18	69.5484	DUSP18	108.2326
DUSP19	77.9074	DUSP19	80.1847
DUSP1	2099.7365	DUSP1	6291.7716
DUSP22	284.9078	DUSP22	1084.3829
DUSP23	511.4791	DUSP23	646.0957
removed	removed	DUSP26	8.3963
DUSP27	6.0218	DUSP27	13.0143
DUSP28	67.7456	DUSP28	84.3829
DUSP2	44.411	DUSP2	89.0008
DUSP3	2658.2612	DUSP3	2070.529
DUSP4	4200.6022	DUSP4	763.2242
DUSP5	698.1558	DUSP5	1254.4081
DUSP6	604.4411	DUSP6	4093.199
DUSP7	238.2386	DUSP7	821.5785
DUSP8	326.6842	DUSP8	142.7372
removed	removed	DUSP9	14.2737
DUT	708.8483	DUT	868.7909
DVL1	908.9198	DVL1	824.0974
DVL2	944.6744	DVL2	800.1679
DVL3	1848.3252	DVL3	1890.0084
DYDC2	13.1728	removed	removed
DYM	543.0937	DYM	732.1579
DYNC1H1	9610.0866	DYNC1H1	7818.6398
DYNC1I1	6.7746	DYNC1I1	57.9345
DYNC1I2	5456.1536	DYNC1I2	2386.6499
DYNC1LI1	1397.8171	DYNC1LI1	606.2133
DYNC1LI2	1593.5265	DYNC1LI2	3765.7431
DYNC2H1	1010.1618	DYNC2H1	460.5374
DYNC2LI1	607.0756	DYNC2LI1	395.466
DYNLL1	3605.5702	DYNLL1	4330.3946
DYNLL2	2153.5566	DYNLL2	2376.1545
DYNLRB1	2809.936	DYNLRB1	2861.8808
DYNLRB2	20.7	DYNLRB2	47.0193
DYNLT1	628.5284	DYNLT1	1097.3971
DYNLT3	905.5326	DYNLT3	532.3258
DYRK1A	1821.9797	DYRK1A	1376.5743
DYRK1B	714.7158	DYRK1B	517.6322
DYRK2	433.9481	DYRK2	414.7775
DYRK3	134.3621	DYRK3	243.073
DYRK4	120.0602	DYRK4	375.3149
DYSF	278.1332	DYSF	682.6196
DYX1C1	110.6511	DYX1C1	39.1058
DZIP1L	16.9364	DZIP1L	183.0395
DZIP1	47.9225	DZIP1	388.0185
DZIP3	415.5062	DZIP3	280.4366
E2F1	546.8574	E2F1	60.4534
E2F2	82.4238	E2F2	54.576
E2F3	323.6733	E2F3	163.3081
E2F4	448.6263	E2F4	928.6314
E2F5	230.9259	E2F5	80.042
E2F6	391.0425	E2F6	289.2527
E2F7	24.4637	E2F7	14.6935
E2F8	117.0493	removed	removed
E4F1	558.901	E4F1	403.0227
EAF1	1016.9364	EAF1	475.2309
EAF2	114.0384	EAF2	17.6322
EAPP	1158.4494	EAPP	1125.105
EARS2	1453.8954	EARS2	566.3308
EBAG9	713.9631	EBAG9	695.2141
EBF1	138.1257	EBF1	1171.7045
removed	removed	EBF2	25.1889
EBF3	17.6891	EBF3	326.1965
EBF4	536.3192	EBF4	442.4853
EBI3	31.991	EBI3	31.906
EBNA1BP2	1622.5066	EBNA1BP2	1179.2611
EBPL	295.446	EBPL	523.9295
EBP	832.8942	EBP	614.6096
ECD	876.1761	ECD	746.4316
ECE1	5513.7373	ECE1	10119.2275
ECE2	230.335	ECE2	90.6801
removed	removed	ECEL1	10.4954
ECH1	3932.9432	ECH1	4742.6532
ECHDC1	1050.4328	ECHDC1	1361.461
ECHDC2	477.9827	ECHDC2	1732.5777
ECHDC3	387.6553	ECHDC3	939.9664
