gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
ACOT13	834.7709	ACOT13	717.2127
ACOT1	551.2869	ACOT1	1615.3082
ACOT2	259.3403	ACOT2	818.8465
ACOT4	236.999	ACOT4	256.3408
removed	removed	ACOT6	9.7482
ACOT7	1316.9296	ACOT7	252.7304
ACOT8	517.4247	ACOT8	214.6692
ACOT9	379.8022	ACOT9	546.6197
ACOX1	1866.9817	ACOX1	3601.4081
ACOX2	491.8107	ACOX2	523.513
ACOX3	1088.6859	ACOX3	608.3582
ACP1	1325.9869	ACP1	973.373
ACP2	3002.4908	ACP2	1174.1132
ACP5	3202.3549	ACP5	713.7828
ACP6	144.0109	ACP6	262.1175
ACPL2	317.6089	ACPL2	506.5439
ACPP	41.9654	ACPP	36.8264
ACRBP	41.6635	ACRBP	34.2991
removed	removed	ACRC	20.5795
removed	removed	ACR	7.943
removed	removed	ACSBG1	12.6365
ACSF2	286.2103	ACSF2	1338.0269
ACSF3	365.3106	ACSF3	241.538
ACSL1	1371.5752	ACSL1	15574.6909
ACSL3	2627.821	ACSL3	2693.7449
ACSL4	875.5378	ACSL4	1798.7183
ACSL5	445.6185	ACSL5	1364.3831
ACSL6	9.0573	ACSL6	6.4988
ACSM1	13.284	ACSM1	46.5746
ACSM3	21.1518	ACSM3	31.0425
ACSM5	18.1146	ACSM5	535.0663
ACSS1	1604.6494	ACSS1	641.2131
ACSS2	899.0867	ACSS2	2831.6635
ACSS3	190.203	ACSS3	749.1651
ACTA1	31.3986	ACTA1	66.432
ACTA2	11841.0325	ACTA2	20815.8065
ACTB	120669.3335	ACTB	71201.0109
removed	removed	ACTC1	15.1638
ACTG1	68740.8861	ACTG1	46147.8473
ACTG2	406.3703	ACTG2	6068.7788
ACTL6A	1064.8351	ACTL6A	737.2507
ACTN1	6635.6706	ACTN1	8133.225
ACTN4	11337.1998	ACTN4	10226.0385
ACTR10	733.9422	ACTR10	943.7675
ACTR1A	2545.0977	ACTR1A	3221.5904
ACTR1B	1755.9061	ACTR1B	1152.4506
ACTR2	6882.0288	ACTR2	5027.1685
ACTR3B	221.2997	ACTR3B	141.8901
ACTR3C	39.5502	ACTR3C	36.4654
ACTR3	5092.3089	ACTR3	2753.3171
ACTR5	568.1938	ACTR5	176.5502
ACTR6	482.1496	ACTR6	485.9644
ACTR8	523.5112	ACTR8	589.2229
ACVR1B	832.0628	ACVR1B	937.6297
removed	removed	ACVR1C	1280.982
ACVR1	947.6942	ACVR1	1114.541
ACVR2A	449.8453	ACVR2A	517.3752
ACVR2B	276.8511	ACVR2B	336.1314
ACVRL1	651.219	ACVRL1	1263.2909
ACY1	534.078	ACY1	665.403
ACY3	43.7769	ACY3	23.1068
ACYP1	68.5335	ACYP1	33.577
ACYP2	90.8748	ACYP2	190.2699
ADAL	76.9869	ADAL	197.1297
ADAM10	1490.5276	ADAM10	1818.2146
ADAM11	6.0382	removed	removed
ADAM12	2408.6346	ADAM12	1415.6512
ADAM15	5371.9224	ADAM15	3105.6955
ADAM17	604.1211	ADAM17	753.8587
ADAM19	695.9016	ADAM19	114.4508
ADAM22	64.3067	ADAM22	115.8949
ADAM23	28.0776	ADAM23	41.881
ADAM28	193.524	ADAM28	146.2226
ADAM32	17.8127	ADAM32	33.9381
ADAM33	20.8318	ADAM33	568.2823
ADAM6	29648.4927	ADAM6	24252.8098
ADAM8	1540.0408	ADAM8	56.6838
ADAM9	2401.3888	ADAM9	2173.8424
ADAMDEC1	626.7643	removed	removed
ADAMTS10	123.481	ADAMTS10	158.137
ADAMTS12	653.6342	ADAMTS12	311.5805
ADAMTS13	38.0406	ADAMTS13	35.7433
ADAMTS14	178.4286	removed	removed
ADAMTS15	22.0394	ADAMTS15	504.3777
ADAMTS16	175.4095	ADAMTS16	313.3857
ADAMTS17	66.1182	ADAMTS17	41.52
ADAMTS18	5.1325	ADAMTS18	489.5749
ADAMTS1	550.985	ADAMTS1	12456.3589
ADAMTS2	1564.1935	ADAMTS2	895.7487
ADAMTS3	20.8318	ADAMTS3	103.6195
ADAMTS4	1011.3971	ADAMTS4	1496.525
ADAMTS5	336.6292	ADAMTS5	3031.3205
ADAMTS6	49.5132	ADAMTS6	35.7433
ADAMTS7	286.5122	ADAMTS7	108.6741
removed	removed	ADAMTS8	68.9593
ADAMTS9	261.4537	ADAMTS9	1216.7163
ADAMTSL1	207.11	ADAMTSL1	360.6824
ADAMTSL2	313.6841	ADAMTSL2	88.8167
ADAMTSL3	72.1564	ADAMTSL3	464.3018
ADAMTSL4	78.4965	ADAMTSL4	1084.2134
ADAMTSL5	81.2137	ADAMTSL5	47.6577
ADAP1	96.7167	ADAP1	100.1065
ADAP2	531.9647	ADAP2	453.8316
ADARB1	613.1784	ADARB1	972.2899
removed	removed	ADARB2	10.8313
ADAR	27068.9109	ADAR	6848.2715
ADAT1	216.4692	ADAT1	322.4118
ADAT2	38.6444	ADAT2	94.5934
ADAT3	49.8151	ADAT3	13.3586
ADA	236.6971	ADA	131.4198
ADCK1	137.9727	ADCK1	218.4313
ADCK2	1405.691	ADCK2	685.6214
ADCK4	563.6652	ADCK4	360.6824
ADCK5	306.1363	ADCK5	44.4083
ADCY1	84.8366	ADCY1	1196.8589
ADCY2	22.9451	ADCY2	83.7621
ADCY3	890.2227	ADCY3	1408.7373
ADCY4	111.7065	ADCY4	830.0388
ADCY5	231.8666	ADCY5	674.4291
ADCY6	1658.6912	ADCY6	3107.5007
ADCY7	874.3301	ADCY7	609.0802
ADCY9	1111.933	ADCY9	1030.0569
removed	removed	ADCYAP1R1	30.6887
ADC	243.9429	ADC	106.8689
ADD1	5422.5979	ADD1	6558.7147
ADD2	28.9833	ADD2	103.6195
ADD3	1358.5931	ADD3	3054.4273
removed	removed	ADH1A	134.9725
ADH1B	46.796	ADH1B	18399.4945
removed	removed	ADH1C	221.6807
removed	removed	ADH4	27.4393
ADH5	1261.0763	ADH5	3706.1107
ADHFE1	12.3783	ADHFE1	401.4803
ADI1	1343.7995	ADI1	2153.985
ADIPOQ	130.7268	ADIPOQ	35644.3722
ADIPOR1	4296.4752	ADIPOR1	2484.7008
ADIPOR2	2598.8376	ADIPOR2	3876.8842
ADK	227.6398	ADK	407.618
ADM2	166.3522	ADM2	68.2372
ADM	52.8342	ADM	875.5303
ADNP2	515.9635	ADNP2	676.5954
ADNP	5132.7647	ADNP	2430.5443
ADORA1	319.1184	ADORA1	112.2845
ADORA2A	150.351	ADORA2A	60.2906
ADORA2B	29.5871	ADORA2B	50.5461
ADORA3	214.6577	ADORA3	92.7882
ADO	702.8455	ADO	610.8855
ADPGK	932.179	ADPGK	838.1262
ADPRHL1	61.2876	ADPRHL1	97.4817
ADPRHL2	1054.2682	ADPRHL2	510.5154
ADPRH	300.0981	ADPRH	641.5741
removed	removed	ADRA1A	138.2796
ADRA1B	8.1516	ADRA1B	53.4344
removed	removed	ADRA1D	10.1092
ADRA2A	206.5062	ADRA2A	2167.3436
ADRA2B	10.8687	ADRA2B	26.3562
ADRA2C	308.2497	ADRA2C	75.8191
removed	removed	ADRB1	84.1231
ADRB2	21.7375	ADRB2	474.05
ADRBK1	3499.7358	ADRBK1	1593.6456
ADRBK2	321.2318	ADRBK2	1979.9621
ADRM1	7776.5869	ADRM1	898.6371
ADSL	701.3359	ADSL	783.8253
ADSSL1	32.9081	ADSSL1	135.7523
ADSS	2642.0107	ADSS	1167.2534
AEBP1	45428.6361	AEBP1	5871.288
AEBP2	338.1387	AEBP2	614.1348
AEN	742.0937	AEN	406.5349
AES	7776.5869	AES	6858.7418
AFAP1L1	240.6219	AFAP1L1	649.1561
AFAP1L2	237.9047	AFAP1L2	597.5269
AFAP1	1223.3286	AFAP1	1593.281
AFF1	1001.4341	AFF1	3227.006
AFF2	14.7936	AFF2	36.8264
AFF3	2461.1669	AFF3	1534.7956
AFF4	2298.1357	AFF4	3379.0053
AFG3L1	190.203	AFG3L1	202.5454
AFG3L2	1847.6927	AFG3L2	1142.6194
AFMID	608.6497	AFMID	596.4437
AFTPH	1506.5288	AFTPH	1536.2397
AG2	227.9417	AG2	1009.4774
AGAP11	16.9069	AGAP11	166.8057
AGAP1	418.7486	AGAP1	435.4184
AGAP2	258.5916	AGAP2	50.3331
AGAP3	1904.1437	AGAP3	913.8009
AGAP4	128.3116	AGAP4	190.2699
AGAP5	23.3255	AGAP5	53.0878
AGAP6	55.8533	AGAP6	92.4271
removed	removed	AGAP7	6.1377
AGAP8	15.6993	AGAP8	15.5249
AGA	350.517	AGA	569.0044
AGBL2	17.8127	AGBL2	9.7482
removed	removed	AGBL4	6.1377
AGBL5	589.9555	AGBL5	698.2652
AGER	24.1528	AGER	24.551
AGFG1	1628.5003	AGFG1	2424.7676
AGFG2	531.6628	AGFG2	437.2236
AGGF1	947.6942	AGGF1	934.3804
AGK	597.781	AGK	488.4917
AGL	990.5653	AGL	1342.3594
AGMAT	67.3258	AGMAT	17.3301
AGPAT1	2635.7189	AGPAT1	1987.2516
AGPAT2	2120.311	AGPAT2	3490.9288
AGPAT3	2173.1451	AGPAT3	2645.7261
AGPAT4	133.444	AGPAT4	240.816
AGPAT5	532.5685	AGPAT5	599.6931
AGPAT6	1859.1592	AGPAT6	1733.7305
AGPAT9	17.8127	AGPAT9	113.0066
AGPHD1	33.512	AGPHD1	61.7384
AGPS	1035.8518	AGPS	1585.3416
AGR2	7035.097	AGR2	1471.2519
AGR3	1128.538	AGR3	297.4998
AGRN	6559.8913	AGRN	2056.8643
AGTPBP1	233.3761	AGTPBP1	473.3279
AGTR1	22.3413	AGTR1	505.8218
removed	removed	AGTR2	6.1377
AGTRAP	1005.057	AGTRAP	640.491
AGT	59.1743	AGT	286.3074
AGXT2L2	333.3837	AGXT2L2	666.2551
AGXT	9.6611	AGXT	11.5534
AHCTF1	1550.0038	AHCTF1	1397.9601
AHCYL1	3361.1593	AHCYL1	4917.7724
AHCYL2	454.3739	AHCYL2	767.5783
AHCY	5777.9455	AHCY	2053.976
removed	removed	AHDC1	686.7046
AHI1	208.0157	AHI1	435.4184
AHNAK2	496.6413	AHNAK2	1268.3455
AHNAK	20820.8921	AHNAK	124059.2111
AHRR	17.8127	AHRR	13.3586
AHR	1168.3901	AHR	3606.4627
AHSA1	1851.0076	AHSA1	1374.8533
AHSA2	140.9918	AHSA2	253.8135
AIDA	1284.4834	AIDA	1399.8484
AIF1L	4474.6019	AIF1L	2009.2066
AIF1	666.3144	AIF1	670.4576
AIFM1	1253.2267	AIFM1	839.787
AIFM2	301.3058	AIFM2	1829.407
AIFM3	6.0382	AIFM3	14.0807
AIG1	334.8177	AIG1	1196.8589
AIM1L	58.8724	removed	removed
AIM1	643.6712	AIM1	2600.5957
AIM2	72.7602	removed	removed
AIMP1	1077.9742	AIMP1	913.8803
AIMP2	419.5879	AIMP2	300.8178
AIP	1213.9784	AIP	650.9613
AJAP1	6.3401	AJAP1	14.4417
AK1	531.9647	AK1	662.5147
AK2	2773.6433	AK2	2099.8285
AK3L1	165.4464	AK3L1	530.0117
AK3	693.1844	AK3	2526.9429
AK5	17.5108	AK5	917.4113
AK7	5.1325	AK7	32.4939
AKAP10	304.9287	AKAP10	632.9091
AKAP11	850.1774	AKAP11	2039.1732
AKAP12	823.6093	AKAP12	5440.2022
AKAP13	2622.6885	AKAP13	3652.3152
AKAP1	862.8576	AKAP1	1805.9392
AKAP2	574.552	AKAP2	2881.4694
removed	removed	AKAP3	21.6626
AKAP5	181.7496	AKAP5	72.2087
AKAP6	17.8127	AKAP6	210.1273
AKAP7	93.8939	AKAP7	207.2389
AKAP8L	789.7955	AKAP8L	476.9384
AKAP8	630.6891	AKAP8	423.865
AKAP9	2028.5305	AKAP9	2529.4702
AKD1	29.2852	AKD1	174.0229
AKIRIN1	840.5163	AKIRIN1	1495.8029
AKIRIN2	752.6606	AKIRIN2	801.1553
AKNA	1076.3076	AKNA	707.6451
AKR1A1	3183.6365	AKR1A1	1666.5764
AKR1B10	14.7936	removed	removed
removed	removed	AKR1B15	77.6243
AKR1B1	969.1297	AKR1B1	971.5678
AKR1C1	42.2673	AKR1C1	5699.5974
AKR1C2	49.2113	AKR1C2	6039.5343
AKR1C3	88.7614	AKR1C3	4670.8187
removed	removed	AKR1E2	35.2162
AKR7A2	903.9173	AKR7A2	828.2336
AKR7A3	832.0628	AKR7A3	127.0873
AKR7L	53.7399	AKR7L	11.9144
AKT1S1	1094.1203	AKT1S1	836.1766
AKT1	4198.9584	AKT1	2991.2447
AKT2	2368.7825	AKT2	3058.7598
AKT3	464.035	AKT3	1337.3048
AKTIP	598.3697	AKTIP	699.1136
ALAD	2204.2418	ALAD	2639.9495
ALAS1	1392.1051	ALAS1	1353.9128
removed	removed	ALAS2	84.1231
removed	removed	ALB	61.7384
ALCAM	1660.8046	ALCAM	2873.5445
ALDH16A1	752.6606	ALDH16A1	343.3523
ALDH18A1	1958.1855	ALDH18A1	1443.8126
ALDH1A1	574.8358	ALDH1A1	2068.4177
ALDH1A2	22.6432	ALDH1A2	592.4722
ALDH1A3	341.6107	ALDH1A3	1557.3752
ALDH1B1	1838.9312	ALDH1B1	646.6288
removed	removed	ALDH1L1	963.2638
removed	removed	ALDH1L2	392.8152
ALDH2	6015.8503	ALDH2	10072.7502
removed	removed	ALDH3A1	28.8835
ALDH3A2	1383.9535	ALDH3A2	3659.175
ALDH3B1	321.5337	ALDH3B1	252.7304
ALDH3B2	1489.9238	ALDH3B2	1056.413
ALDH4A1	1752.5851	ALDH4A1	2964.8885
ALDH5A1	364.103	ALDH5A1	961.4586
ALDH6A1	171.5329	ALDH6A1	823.7206
ALDH7A1	843.5354	ALDH7A1	1700.1534
removed	removed	ALDH8A1	13.7196
ALDH9A1	2273.681	ALDH9A1	4297.1387
removed	removed	ALDOA	16989.259
removed	removed	ALDOB	7.5819
ALDOC	779.2286	ALDOC	2482.8956
ALG10B	191.4107	ALG10B	319.1624
ALG10	73.6659	ALG10	103.9805
ALG11	10.5668	ALG11	14.4417
ALG12	563.6652	ALG12	478.7436
ALG13	353.5361	ALG13	479.8267
ALG14	229.4513	ALG14	238.2887
ALG1L	218.4889	removed	removed
ALG1	869.1433	ALG1	491.1562
ALG2	937.4292	ALG2	867.2263
ALG3	1361.6122	ALG3	592.4722
ALG5	458.6006	ALG5	508.3491
ALG6	486.3763	ALG6	274.032
ALG8	1305.7589	ALG8	1015.6151
ALG9	412.7104	ALG9	891.7772
ALKBH1	255.1136	ALKBH1	223.4859
ALKBH2	293.4561	ALKBH2	159.2201
ALKBH3	467.9598	ALKBH3	336.1314
ALKBH4	321.3948	ALKBH4	141.8395
ALKBH5	1808.9516	ALKBH5	2470.259
ALKBH6	134.6517	ALKBH6	72.2087
ALKBH7	443.5052	ALKBH7	293.8893
ALKBH8	155.1815	ALKBH8	253.4525
removed	removed	ALMS1P	6.1377
ALMS1	527.1341	ALMS1	827.8726
removed	removed	ALOX12P2	15.8859
ALOX15B	112.9142	ALOX15B	309.0532
ALOX15	60.9857	ALOX15	154.1655
ALOX5AP	328.1757	ALOX5AP	366.098
ALOX5	521.6998	ALOX5	588.8618
ALOXE3	73.364	removed	removed
ALPK1	397.0111	ALPK1	677.6785
ALPK2	84.2328	ALPK2	25.9951
ALPK3	203.4871	ALPK3	449.8601
ALPL	234.8857	ALPL	2368.4448
ALS2CL	60.6838	ALS2CL	290.6399
removed	removed	ALS2CR11	15.1638
ALS2CR4	393.0863	ALS2CR4	931.8531
ALS2CR8	68.8354	ALS2CR8	195.3245
ALS2	440.1842	ALS2	692.4813
removed	removed	ALX1	5.7767
ALX3	11.7745	ALX3	21.3016
removed	removed	ALX4	18.4132
AMACR	347.7998	AMACR	294.6114
AMBP	7.8496	AMBP	7.2209
AMBRA1	1064.8351	AMBRA1	741.9442
AMD1	647.8406	AMD1	1671.6455
AMDHD1	10.2649	AMDHD1	18.7743
AMDHD2	307.2564	AMDHD2	132.1419
AMFR	2398.6716	AMFR	3971.4776
AMICA1	221.9035	AMICA1	249.12
AMIGO1	85.1385	AMIGO1	213.0156
AMIGO2	3132.0009	AMIGO2	1525.0474
AMIGO3	38.0406	AMIGO3	41.881
AMMECR1L	891.539	AMMECR1L	907.3021
AMMECR1	464.035	AMMECR1	226.0132
AMN1	111.7065	AMN1	159.5812
AMOTL1	647.596	AMOTL1	2072.0282
AMOTL2	1539.7388	AMOTL2	6461.9551
AMOT	490.6031	AMOT	1033.6673
removed	removed	AMPD1	22.3847
AMPD2	751.4529	AMPD2	511.5985
AMPD3	253.604	AMPD3	360.6824
AMPH	157.8987	AMPH	97.4817
AMT	15.7929	AMT	200.1047
removed	removed	AMY1A	17.3301
AMY2B	34.4841	AMY2B	248.9178
AMZ1	52.8342	AMZ1	17.3301
AMZ2P1	131.6326	AMZ2P1	185.2153
AMZ2	3170.6544	AMZ2	1242.7114
ANAPC10	141.8975	ANAPC10	143.3342
ANAPC11	1810.5517	ANAPC11	580.9189
ANAPC13	879.212	ANAPC13	1176.9113
ANAPC16	1399.3509	ANAPC16	2316.0935
ANAPC1	705.2608	ANAPC1	854.5898
ANAPC2	1300.3246	ANAPC2	472.6058
ANAPC4	416.6352	ANAPC4	478.0215
ANAPC5	2011.6235	ANAPC5	2178.1749
ANAPC7	1486.6028	ANAPC7	854.9508
ANGEL1	328.1757	ANGEL1	569.0044
ANGEL2	561.8537	ANGEL2	587.0566
ANGPT1	108.6874	ANGPT1	1120.6788
ANGPT2	219.4883	ANGPT2	475.1331
removed	removed	ANGPT4	22.3847
ANGPTL1	94.4977	ANGPTL1	357.0719
ANGPTL2	1962.4123	ANGPTL2	7990.6129
ANGPTL4	122.2734	ANGPTL4	1700.1534
removed	removed	ANGPTL5	32.1329
ANGPTL6	7.3907	removed	removed
removed	removed	ANGPTL7	32.855
ANG	266.2692	ANG	543.6628
ANK1	19.6241	ANK1	34.2991
ANK2	210.1291	ANK2	1460.4206
ANK3	246.962	ANK3	797.9059
ANKAR	10.8687	ANKAR	44.4083
ANKDD1A	36.5311	ANKDD1A	285.5853
ANKFY1	1544.8713	ANKFY1	2537.4131
ANKHD1-EIF4EBP3	529.9057	ANKHD1-EIF4EBP3	1169.9106
ANKHD1	2153.1316	ANKHD1	2224.9192
ANKH	3229.5268	ANKH	2307.7895
ANKIB1	1649.0301	ANKIB1	1439.4801
ANKK1	7.5477	ANKK1	15.5249
removed	removed	ANKLE1	6.4988
ANKLE2	1957.2798	ANKLE2	1417.0954
removed	removed	ANKMY1	176.5502
ANKMY2	264.1709	ANKMY2	588.5008
ANKRA2	250.8869	ANKRA2	360.3213
ANKRD10	562.1556	ANKRD10	1141.9803
ANKRD11	1317.5545	ANKRD11	1901.2871
ANKRD12	1126.7265	ANKRD12	1715.6783
ANKRD13A	1210.6574	ANKRD13A	1203.3577
removed	removed	ANKRD13B	124.56
ANKRD13C	586.3084	ANKRD13C	522.4298
ANKRD13D	892.4447	ANKRD13D	402.9245
ANKRD16	154.8796	ANKRD16	148.7318
ANKRD17	1721.1865	ANKRD17	3066.3417
ANKRD19	95.4034	ANKRD19	26.3562
ANKRD1	10.5668	removed	removed
ANKRD22	216.1673	ANKRD22	30.6887
ANKRD23	49.8151	ANKRD23	20.5795
ANKRD24	8.7554	ANKRD24	21.3016
ANKRD26	110.197	ANKRD26	279.8086
ANKRD27	1040.9842	ANKRD27	831.1219
ANKRD28	857.4232	ANKRD28	1173.7521
ANKRD29	20.5299	ANKRD29	319.8845
removed	removed	ANKRD30A	614.8569
ANKRD30B	5.4344	ANKRD30B	37.1875
ANKRD32	240.6219	ANKRD32	149.472
ANKRD34A	40.7578	ANKRD34A	14.0807
ANKRD35	39.8521	ANKRD35	140.8069
ANKRD36BP1	70.043	ANKRD36BP1	128.8925
ANKRD36B	13.284	ANKRD36B	46.5746
ANKRD36	53.1361	ANKRD36	168.6073
ANKRD37	45.2532	ANKRD37	295.9256
ANKRD39	329.0814	ANKRD39	101.0922
ANKRD40	1270.7374	ANKRD40	3179.7094
ANKRD42	183.8629	ANKRD42	293.1673
ANKRD43	105.6684	ANKRD43	66.0709
ANKRD44	82.4213	ANKRD44	144.0563
removed	removed	ANKRD45	9.7482
ANKRD46	886.9017	ANKRD46	647.1342
ANKRD49	128.0097	ANKRD49	244.4264
ANKRD50	1846.479	ANKRD50	1032.2231
ANKRD52	2015.5483	ANKRD52	1379.9079
ANKRD53	7.2458	ANKRD53	72.9308
ANKRD54	417.239	ANKRD54	334.6872
ANKRD56	9.0573	ANKRD56	71.8476
ANKRD57	512.3406	ANKRD57	540.482
ANKRD58	44.6826	removed	removed
ANKRD5	475.2057	ANKRD5	228.5405
ANKRD6	199.6588	ANKRD6	243.6249
ANKRD9	30.191	ANKRD9	45.1304
ANKS1A	845.6487	ANKS1A	1248.1271
ANKS1B	15.3974	ANKS1B	102.8974
ANKS3	216.7711	ANKS3	145.8615
ANKS6	73.6659	ANKS6	296.4166
ANKZF1	480.942	ANKZF1	461.4135
ANLN	1044.3052	ANLN	26.7172
ANO10	1008.6799	ANO10	1109.8475
ANO1	1904.7475	ANO1	3260.5831
removed	removed	ANO2	120.2275
removed	removed	ANO3	42.6031
removed	removed	ANO4	8.665
ANO5	6.3401	ANO5	150.5551
ANO6	1703.6757	ANO6	6906.7605
ANO7	18.4165	ANO7	12.9976
ANO8	220.6959	ANO8	267.8942
ANO9	205.9023	ANO9	24.912
