gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
DVL3	2429.4664	DVL3	1782.1103
DYM	498.1508	DYM	769.0225
DYNC1H1	8735.1498	DYNC1H1	12474.411
DYNC1I1	21.4356	DYNC1I1	90.9829
DYNC1I2	1844.6675	DYNC1I2	2205.9753
DYNC1LI1	1068.1561	DYNC1LI1	781.659
DYNC1LI2	2862.4047	DYNC1LI2	4169.6904
DYNC2H1	166.956	DYNC2H1	710.5334
DYNC2LI1	308.8535	DYNC2LI1	433.2521
DYNLL1	5233.6025	DYNLL1	3196.3174
DYNLL2	1958.4874	DYNLL2	1224.6593
DYNLRB1	4353.838	DYNLRB1	1878.1478
DYNLRB2	5.7363	DYNLRB2	14.4417
DYNLT1	1627.2926	DYNLT1	809.8204
DYNLT3	540.1162	DYNLT3	787.0746
DYRK1A	2155.0306	DYRK1A	1738.063
DYRK1B	394.5958	DYRK1B	417.7272
DYRK2	1063.6274	DYRK2	401.1192
DYRK3	134.3498	DYRK3	388.4827
DYRK4	117.7447	DYRK4	215.1819
DYSF	755.6797	DYSF	880.5849
DYX1C1	87.3183	DYX1C1	75.4581
DZIP1L	40.4559	DZIP1L	129.2535
DZIP1	185.3091	DZIP1	289.1849
DZIP3	240.0181	DZIP3	461.4135
E2F1	812.4387	E2F1	50.9071
E2F2	188.0897	E2F2	18.0522
E2F3	412.4085	E2F3	306.5259
E2F4	1085.3649	E2F4	1026.4464
E2F5	363.641	E2F5	65.6088
E2F6	500.5661	E2F6	297.8608
E2F7	100.5359	E2F7	5.7767
E2F8	247.5659	removed	removed
E4F1	654.54	E4F1	234.3172
EAF1	1122.4998	EAF1	822.4569
EAF2	82.1194	EAF2	47.2967
EAPP	853.4984	EAPP	828.2336
EARS2	919.3147	EARS2	602.9425
EBAG9	755.6797	EBAG9	507.266
EBF1	201.0718	EBF1	2301.2907
EBF2	10.8687	EBF2	154.8876
EBF3	54.6456	EBF3	789.6019
EBF4	301.0038	EBF4	161.0254
EBI3	57.9666	EBI3	48.3798
EBNA1BP2	1676.202	EBNA1BP2	723.17
EBPL	350.8189	EBPL	327.8274
EBP	1063.9294	EBP	315.5519
removed	removed	ECD	685.2604
ECE1	4328.4776	ECE1	8100.7311
ECE2	182.0515	ECE2	60.6553
ECEL1	27.7757	removed	removed
ECH1	2603.0644	ECH1	4397.5088
ECHDC1	709.1856	ECHDC1	1574.8714
ECHDC2	286.5122	ECHDC2	632.9091
ECHDC3	184.4668	ECHDC3	914.884
ECHS1	1904.7475	ECHS1	3837.8915
ECM1	2095.5544	ECM1	853.1456
ECM2	694.6939	ECM2	3480.0975
ECSCR	76.685	ECSCR	331.4379
ECSIT	607.744	ECSIT	474.7721
removed	removed	ECT2L	6.8598
ECT2	952.8266	ECT2	357.433
EDA2R	53.1361	EDA2R	162.4695
EDARADD	1657.7855	EDARADD	412.6726
removed	removed	EDAR	11.9144
EDA	52.5323	EDA	137.9186
EDC3	1026.7945	EDC3	696.4527
EDC4	1175.174	EDC4	1029.9919
EDEM1	1228.772	EDEM1	1853.9579
EDEM2	1085.063	EDEM2	588.8618
EDEM3	1292.7768	EDEM3	1826.5186
EDF1	8371.0469	EDF1	1973.4633
EDIL3	418.1448	EDIL3	226.0132
EDN1	150.6529	EDN1	401.1192
EDN2	36.2291	EDN2	6.4988
removed	removed	EDN3	36.4654
EDNRA	886.7084	EDNRA	322.4118
EDNRB	112.0085	EDNRB	889.2499
EEA1	559.4384	EEA1	1504.829
EED	355.6495	EED	327.1053
EEF1A1P9	4290.437	EEF1A1P9	6882.9317
EEF1A1	63387.1236	EEF1A1	102639.2274
EEF1A2	7735.8291	EEF1A2	122.3937
EEF1B2	2518.2278	EEF1B2	3580.1065
removed	removed	EEF1DP3	5.3651
EEF1D	13980.5268	EEF1D	3634.263
EEF1E1	334.8177	EEF1E1	195.6855
EEF1G	14433.3912	EEF1G	15750.519
removed	removed	EEF2K	1677.7688
EEF2	35626.2359	EEF2	42590.4865
EEFSEC	474.5626	EEFSEC	326.0114
EEPD1	183.561	EEPD1	631.826
removed	removed	EFCAB1	51.6292
EFCAB2	111.7065	EFCAB2	203.6285
EFCAB3	7.5477	removed	removed
EFCAB4A	129.2173	EFCAB4A	656.738
EFCAB4B	82.7232	EFCAB4B	174.0229
EFCAB6	27.7757	EFCAB6	41.881
EFCAB7	112.6123	EFCAB7	135.7523
EFEMP1	1773.7188	EFEMP1	14213.9182
EFEMP2	1707.2987	EFEMP2	1731.2032
EFHA1	733.3384	EFHA1	791.4072
EFHA2	14.4917	EFHA2	124.921
EFHC1	247.2639	EFHC1	349.49
removed	removed	EFHC2	25.273
EFHD1	6161.9745	EFHD1	3275.7469
EFHD2	1711.2235	EFHD2	676.9564
EFNA1	2310.514	EFNA1	1153.1727
EFNA3	272.9263	EFNA3	97.1207
EFNA4	219.4883	EFNA4	189.9088
EFNA5	757.1892	EFNA5	528.2065
EFNB1	376.1793	EFNB1	1149.2012
EFNB2	1101.3661	EFNB2	1674.1583
EFNB3	34.1158	EFNB3	139.3628
EFR3A	3549.249	EFR3A	2037.007
EFR3B	85.4404	EFR3B	120.2275
EFS	165.1445	EFS	980.5939
EFTUD1	869.1977	EFTUD1	695.0086
EFTUD2	2450.902	EFTUD2	1498.4457
EGFL6	60.6838	EGFL6	3518.7291
EGFL7	1727.5266	EGFL7	836.8986
EGFL8	60.2279	EGFL8	84.4661
EGFLAM	107.4798	EGFLAM	648.795
EGFR	99.3283	EGFR	1719.6426
EGF	35.0215	EGF	298.5829
EGLN1	1071.1752	EGLN1	1361.1337
EGLN2	1725.7151	EGLN2	1099.3772
EGLN3	338.7425	EGLN3	221.6807
removed	removed	EGOT	33.577
EGR1	1312.7028	EGR1	60228.9015
EGR2	339.0445	EGR2	3844.7513
EGR3	282.2855	EGR3	4093.1492
EHBP1L1	1003.8493	EHBP1L1	571.1707
EHBP1	544.9468	EHBP1	2656.1964
EHD1	2080.7608	EHD1	1222.854
EHD2	1920.4468	EHD2	11750.158
EHD3	324.2509	EHD3	447.3328
EHD4	1329.3079	EHD4	1715.3173
EHF	818.4769	EHF	3363.8415
EHHADH	55.2495	EHHADH	713.4218
EHMT1	2180.0891	EHMT1	1152.0895
EHMT2	2863.6123	EHMT2	1087.1017
EI24	2192.1654	EI24	2574.9616
EID1	2863.9143	EID1	2799.5306
EID2B	24.4547	EID2B	29.6056
EID2	258.4346	EID2	181.6048
EID3	24.1528	EID3	22.7457
EIF1AD	965.8087	EIF1AD	451.6653
EIF1AX	1748.3584	EIF1AX	1970.2139
EIF1B	452.5625	EIF1B	866.5042
EIF1	9969.96	EIF1	14417.5467
EIF2AK1	6133.3595	EIF2AK1	3168.0874
EIF2AK2	1179.2588	EIF2AK2	463.9408
EIF2AK3	722.4696	EIF2AK3	894.6656
EIF2AK4	793.1165	EIF2AK4	1742.3955
EIF2A	1273.1527	EIF2A	1957.5774
EIF2B1	973.0546	EIF2B1	1212.7448
EIF2B2	582.0817	EIF2B2	483.0761
EIF2B3	596.5733	EIF2B3	803.3216
EIF2B4	1012.9066	EIF2B4	687.0656
EIF2B5	1463.0538	EIF2B5	1004.4228
EIF2C1	1046.7205	EIF2C1	1209.1344
EIF2C2	238.8105	EIF2C2	234.3172
EIF2C3	112.9142	EIF2C3	181.6048
EIF2C4	170.5789	EIF2C4	623.522
EIF2S1	1943.09	EIF2S1	1549.2373
EIF2S2	2853.3474	EIF2S2	1291.8133
EIF2S3	3447.8074	EIF2S3	4111.9235
EIF3A	4448.6376	EIF3A	4983.4823
EIF3B	6414.3709	EIF3B	2858.7418
EIF3CL	8626.3658	EIF3CL	5015.2902
EIF3C	283.5897	EIF3C	113.6926
EIF3D	3558.3063	EIF3D	4528.5676
EIF3E	5630.6136	EIF3E	5334.4165
EIF3F	1487.2066	EIF3F	2308.1506
EIF3G	2565.2291	EIF3G	1899.0198
EIF3H	5563.2878	EIF3H	3888.0765
EIF3I	4899.7087	EIF3I	3371.7845
EIF3J	1440.4106	EIF3J	1332.817
EIF3K	1953.6569	EIF3K	3054.4273
EIF3L	3288.701	EIF3L	9177.7236
EIF3M	2476.0329	EIF3M	1913.4073
EIF4A1	10481.8386	EIF4A1	8784.1285
EIF4A2	6480.0574	EIF4A2	7446.6576
EIF4A3	3288.3991	EIF4A3	1265.0961
EIF4B	6284.0637	EIF4B	10995.4617
EIF4E2	1551.5133	EIF4E2	1329.3619
EIF4E3	409.3894	EIF4E3	1629.75
EIF4EBP1	999.0188	EIF4EBP1	308.3311
EIF4EBP2	3062.5708	EIF4EBP2	8182.688
EIF4EBP3	244.58	EIF4EBP3	359.2996
EIF4ENIF1	542.5315	EIF4ENIF1	663.5978
EIF4E	495.1317	EIF4E	519.5415
EIF4G1	9790.9276	EIF4G1	6441.3756
EIF4G2	16866.1786	EIF4G2	21095.7668
EIF4G3	1665.6351	EIF4G3	2013.9002
EIF4H	6155.6344	EIF4H	3663.1465
EIF5A2	146.7281	EIF5A2	200.0181
EIF5AL1	1707.6006	EIF5AL1	800.4333
EIF5A	6491.0559	EIF5A	3273.9417
EIF5B	4204.9966	EIF5B	3075.0068
EIF5	2864.5181	EIF5	4288.4737
EIF6	4932.5987	EIF6	1418.5396
ELAC1	61.8401	ELAC1	128.3401
ELAC2	1404.1814	ELAC2	1668.0206
removed	removed	ELANE	8.304
ELAVL1	2037.2858	ELAVL1	1376.6585
ELAVL2	25.0585	ELAVL2	6.1377
ELF1	1348.3282	ELF1	1763.6971
ELF2	793.4184	ELF2	877.3355
ELF3	5973.8848	ELF3	1859.7346
ELF4	1182.8817	ELF4	786.3526
removed	removed	ELF5	449.4991
ELFN1	36.2291	ELFN1	48.3798
ELFN2	12.0764	removed	removed
ELK1	912.9746	ELK1	570.4486
ELK3	497.547	ELK3	1006.228
ELK4	95.7053	ELK4	221.3196
ELL2	752.3587	ELL2	1152.0895
ELL3	281.2529	ELL3	103.1032
ELL	683.5233	ELL	347.3238
ELMO1	433.2402	ELMO1	906.58
ELMO2	2276.0963	ELMO2	1272.317
ELMO3	991.4711	ELMO3	228.1794
ELMOD2	184.4668	ELMOD2	232.512
ELMOD3	336.0254	ELMOD3	1538.406
ELN	1117.6693	ELN	2441.0145
ELOF1	1080.8363	ELOF1	513.4037
ELOVL1	2606.6873	ELOVL1	2149.6525
ELOVL2	78.7984	ELOVL2	466.107
removed	removed	ELOVL3	100.3701
ELOVL4	62.4953	ELOVL4	45.1304
ELOVL5	3554.9853	ELOVL5	12300.3881
ELOVL6	140.086	ELOVL6	110.4793
ELOVL7	175.4095	ELOVL7	215.5429
removed	removed	ELP2P	6.8598
ELP2	1261.3782	ELP2	2485.0618
ELP3	903.3135	ELP3	746.6378
ELP4	235.7914	ELP4	219.5144
ELTD1	661.7858	ELTD1	2765.5926
EMB	638.5388	EMB	759.6353
EMCN	215.8653	EMCN	1484.6105
EMD	1190.1276	EMD	775.1602
EME1	76.2744	EME1	7.3581
EME2	13.8878	removed	removed
EMG1	650.6151	EMG1	414.8389
removed	removed	EMID1	60.2943
removed	removed	EMID2	6.1377
EMILIN1	3232.8478	EMILIN1	492.8243
EMILIN2	393.3882	EMILIN2	986.7317
removed	removed	EMILIN3	23.9227
EML1	246.3582	EML1	579.4747
EML2	767.3243	EML2	578.5973
EML3	1239.0369	EML3	885.6395
EML4	1329.3079	EML4	1162.5598
removed	removed	EML5	59.5722
EML6	17.8127	EML6	24.551
EMP1	2525.7755	EMP1	15530.2825
EMP2	6347.9508	EMP2	3836.0863
EMP3	802.1737	EMP3	667.5693
EMR1	35.9272	EMR1	29.6056
EMR2	274.4358	EMR2	174.0229
removed	removed	EMR4P	5.0546
EMX1	106.5741	removed	removed
EMX2OS	47.3998	EMX2OS	315.913
EMX2	32.6062	EMX2	76.9022
EN1	39.2482	EN1	83.7621
ENAH	4291.6447	ENAH	2744.291
ENC1	2097.9697	ENC1	1092.4018
ENDOD1	795.8336	ENDOD1	1699.0703
ENDOG	173.9211	ENDOG	130.0731
ENDOU	5.1325	ENDOU	6.8598
ENGASE	586.0065	ENGASE	259.5902
ENG	3514.8313	ENG	7416.1928
ENHO	498.4527	ENHO	115.5339
ENO1	13496.5658	ENO1	14109.9377
ENO2	233.0742	ENO2	418.4493
ENO3	16.0012	ENO3	33.577
ENOPH1	1015.3219	ENOPH1	538.6768
ENOSF1	237.8444	ENOSF1	344.1213
ENOX1	58.5705	ENOX1	52.7123
ENOX2	340.554	ENOX2	406.1738
ENPEP	225.8284	ENPEP	320.9676
ENPP1	1090.4974	ENPP1	2112.8261
ENPP2	425.0887	ENPP2	8483.7982
ENPP3	9.963	ENPP3	77.9854
ENPP4	337.8368	ENPP4	976.2614
ENPP5	212.8463	ENPP5	358.5161
ENPP6	9.0573	ENPP6	9.7482
ENSA	8438.0708	ENSA	3701.0561
ENTHD1	7.5477	removed	removed
ENTPD1	1195.8638	ENTPD1	1226.4645
ENTPD2	2683.3723	ENTPD2	145.8615
ENTPD3	29.2852	ENTPD3	151.6382
ENTPD4	471.2809	ENTPD4	492.4632
ENTPD5	120.7699	ENTPD5	424.0924
ENTPD6	1882.4062	ENTPD6	1202.9967
ENTPD7	425.771	ENTPD7	301.5507
ENTPD8	251.4907	removed	removed
ENY2	935.3159	ENY2	388.8438
EOMES	114.7256	EOMES	14.0807
EP300	2111.2537	EP300	3412.9434
EP400NL	109.5932	EP400NL	98.9259
EP400	1249.9057	EP400	1591.8404
EPAS1	2091.3276	EPAS1	16318.4403
EPB41L1	1860.9706	EPB41L1	3170.3222
EPB41L2	1079.6287	EPB41L2	4765.412
EPB41L3	502.3775	EPB41L3	1860.8178
EPB41L4A	269.6053	EPB41L4A	888.1668
EPB41L4B	459.5064	EPB41L4B	1000.0903
EPB41L5	639.4445	EPB41L5	705.4788
EPB41	1218.0451	EPB41	1646.6468
removed	removed	EPB42	101.4532
EPB49	332.4024	EPB49	1341.9984
EPC1	337.233	EPC1	632.9091
EPC2	548.8716	EPC2	774.7992
EPCAM	11327.6474	EPCAM	1483.1664
EPDR1	244.2448	EPDR1	1310.2266
EPHA10	179.6362	EPHA10	34.6602
EPHA1	709.4875	EPHA1	220.9586
EPHA2	304.0229	EPHA2	739.4169
EPHA3	56.759	EPHA3	161.3864
EPHA4	215.8653	EPHA4	618.8284
removed	removed	EPHA6	7.2209
EPHA7	5.4344	EPHA7	16.247
EPHB1	23.5489	EPHB1	389.9269
EPHB2	383.7271	EPHB2	105.4247
EPHB3	806.7024	EPHB3	465.385
EPHB4	2276.0963	EPHB4	2192.6167
EPHB6	40.7578	EPHB6	177.6334
EPHX1	5572.647	EPHX1	7824.8939
EPHX2	365.3106	EPHX2	804.7658
EPHX3	14.7936	EPHX3	26.3562
EPHX4	32.3043	EPHX4	9.7482
EPM2AIP1	223.715	EPM2AIP1	1047.3869
EPM2A	71.2507	EPM2A	253.0914
EPN1	2231.4137	EPN1	1229.7139
EPN2	1191.3352	EPN2	1138.7309
EPN3	1388.1802	EPN3	208.3221
EPOR	64.0048	EPOR	81.437
EPPK1	1446.7507	EPPK1	324.217
EPR1	859.3162	EPR1	15.7487
EPRS	4118.0466	EPRS	3106.0565
EPS15L1	2172.8432	EPS15L1	745.9157
EPS15	1513.4727	EPS15	2370.25
EPS8L1	2142.3504	EPS8L1	175.1061
EPS8L2	1935.2404	EPS8L2	558.5342
EPS8	1127.0285	EPS8	2609.2608
EPSTI1	667.2202	EPSTI1	124.1989
EPT1	1208.8339	EPT1	913.4326
EPYC	764.4351	removed	removed
ERAL1	1684.0516	ERAL1	903.3306
ERAP1	2000.5344	ERAP1	3736.9871
ERAP2	1740.5087	ERAP2	1280.26
ERBB2IP	1665.3332	ERBB2IP	2162.6501
ERBB2	6721.111	ERBB2	4519.1804
ERBB3	6911.3141	ERBB3	4777.6875
ERBB4	527.7379	ERBB4	711.2555
ERC1	992.6787	ERC1	2110.2988
removed	removed	ERC2	13.7196
ERCC1	763.007	ERCC1	865.6882
ERCC2	274.2215	ERCC2	310.1363
ERCC3	1190.7314	ERCC3	1067.2443
ERCC4	304.6268	ERCC4	395.3425
ERCC5	719.4505	ERCC5	1396.1549
ERCC6L	120.4619	ERCC6L	7.5819
removed	removed	ERCC6	372.1347
ERCC8	146.1242	ERCC8	171.8567
removed	removed	EREG	34.6602
ERF	778.3229	ERF	633.9922
ERGIC1	12557.0232	ERGIC1	5504.1069
ERGIC2	630.3872	ERGIC2	572.9759
ERGIC3	6383.2742	ERGIC3	3208.2318
ERG	351.7247	ERG	1422.15
ERH	2191.2597	ERH	1123.9282
ERI1	455.2796	ERI1	373.3189
ERI2	300.6838	ERI2	380.908
ERI3	1033.7384	ERI3	826.0673
ERICH1	238.2067	ERICH1	230.7067
ERLEC1	2094.0448	ERLEC1	1644.5528
ERLIN1	795.5317	ERLIN1	1426.4825
ERLIN2	4310.0611	ERLIN2	2159.0396
ERMAP	277.7568	ERMAP	563.5888
ERMN	30.7948	removed	removed
ERMP1	1613.1995	ERMP1	1292.0625
ERN1	105.6684	ERN1	330.7158
ERO1LB	333.912	ERO1LB	447.6938
ERO1L	739.0746	ERO1L	588.8618
ERP27	35.0215	ERP27	102.1753
ERP29	4427.504	ERP29	1648.1632
ERP44	2008.9063	ERP44	1567.6505
ERRFI1	758.095	ERRFI1	1685.3507
removed	removed	ERVFRDE1	22.0236
ESAM	773.7942	ESAM	2312.4831
ESCO1	713.4123	ESCO1	493.5463
ESCO2	347.196	ESCO2	10.1092
ESD	941.9579	ESD	2059.3916
ESF1	530.1532	ESF1	493.1853
ESM1	156.993	ESM1	12.6365
ESPL1	753.8682	ESPL1	15.5249
ESPNL	7.5477	ESPNL	19.8574
ESPN	1354.9702	ESPN	106.5078
ESR1	6882.0288	ESR1	5222.493
removed	removed	ESR2	45.4915
ESRP1	4696.2035	ESRP1	859.6444
ESRP2	1559.6649	ESRP2	520.2636
ESRRA	899.9925	ESRRA	329.9937
removed	removed	ESRRG	112.6455
ESYT1	3379.5758	ESYT1	7618.7382
ESYT2	3497.9244	ESYT2	4136.8355
removed	removed	ESYT3	25.273
ETAA1	237.6028	ETAA1	296.7777
ETF1	2539.9653	ETF1	3570.3583
ETFA	1274.9641	ETFA	1614.9472
ETFB	809.4196	ETFB	981.316
ETFDH	276.2473	ETFDH	986.7317
ETHE1	537.701	ETHE1	376.9293
ETNK1	914.4841	ETNK1	930.7699
ETNK2	2120.0091	ETNK2	255.9798
ETS1	2584.346	ETS1	4417.0051
ETS2	674.1641	ETS2	3311.1292
ETV1	460.1102	ETV1	376.5683
ETV2	6.642	ETV2	11.1923
removed	removed	ETV3L	11.9144
ETV3	255.4155	ETV3	384.8723
ETV4	60.08	ETV4	140.8069
ETV5	297.6828	ETV5	484.1592
ETV6	857.1213	ETV6	1342.3594
ETV7	360.48	ETV7	14.8028
EVC2	83.327	EVC2	144.4174
EVC	604.7943	EVC	892.2285
EVI2A	422.9753	EVI2A	265.3669
EVI2B	665.7106	EVI2B	383.0671
EVI5L	432.0326	EVI5L	266.8111
EVI5	425.3906	EVI5	537.9547
EVL	1317.5334	EVL	1752.5047
EVPL	2023.6999	EVPL	218.0702
EWSR1	4050.117	EWSR1	2715.0465
EXD2	728.5078	EXD2	1002.2565
EXD3	219.1864	EXD3	135.0302
EXO1	340.554	EXO1	6.4988
EXOC1	634.9158	EXOC1	1135.4815
EXOC2	964.903	EXOC2	987.0927
EXOC3L2	71.5526	EXOC3L2	74.736
EXOC3L	68.1863	EXOC3L	53.4344
EXOC3	1561.7782	EXOC3	1175.1963
EXOC4	1790.9276	EXOC4	1514.5771
EXOC5	919.3147	EXOC5	1562.9569
EXOC6B	108.3855	EXOC6B	328.1885
EXOC6	526.2284	EXOC6	561.7836
EXOC7	4493.8335	EXOC7	2973.1925
EXOC8	471.5828	EXOC8	509.4323
EXOG	90.5729	EXOG	130.3367
EXOSC10	1534.9083	EXOSC10	1420.7058
EXOSC1	372.5564	EXOSC1	306.8869
EXOSC2	820.5902	EXOSC2	318.4403
EXOSC3	1022.5677	EXOSC3	205.7947
EXOSC4	962.4877	EXOSC4	144.0563
EXOSC5	514.152	EXOSC5	194.2414
EXOSC6	175.4095	EXOSC6	219.1534
EXOSC7	716.7333	EXOSC7	346.9627
EXOSC8	206.2314	EXOSC8	236.2488
EXOSC9	597.6723	EXOSC9	371.6942
EXPH5	186.5801	EXPH5	249.842
EXT1	1052.1549	EXT1	1493.6366
EXT2	2209.0724	EXT2	2413.2142
EXTL1	39.8521	EXTL1	9.7482
EXTL2	275.3415	EXTL2	426.3923
EXTL3	892.7466	EXTL3	1396.5159
EYA1	15.6993	EYA1	10.4703
EYA2	1171.1073	EYA2	387.7606
EYA3	129.8211	EYA3	155.9708
EYA4	13.5859	EYA4	21.3016
removed	removed	EYS	30.6887
EZH1	898.181	EZH1	1721.094
EZH2	645.4827	EZH2	52.7123
EZR	13576.5718	EZR	2685.0799
F10	26.2661	F10	151.2772
F11R	7335.1951	F11R	3847.6397
F12	83.629	F12	14.0807
F13A1	995.9997	F13A1	5908.8365
F2RL1	231.5646	F2RL1	207.6
F2RL2	834.78	F2RL2	83.04
F2RL3	73.364	F2RL3	23.8289
F2R	2902.5587	F2R	990.7031
F3	144.3128	F3	1284.5925
F5	115.0275	F5	35.7433
F7	139.1803	F7	26.7172
F8A1	150.9548	F8A1	97.4817
F8	233.9799	F8	1616.395
FA2H	165.1445	FA2H	59.5722
FAAH2	157.8987	FAAH2	134.3082
FAAH	476.7152	FAAH	478.0215
FABP3	110.197	FABP3	140.8069
FABP4	236.0933	FABP4	41232.2412
FABP5	85.4404	FABP5	683.0941
removed	removed	FABP7	17.3301
FADD	991.773	FADD	352.7394
FADS1	343.2712	FADS1	234.2811
FADS2	761.114	FADS2	734.3984
FADS3	320.0242	FADS3	2145.681
FAF1	880.6702	FAF1	833.6492
FAF2	2357.0081	FAF2	1636.9708
FAHD1	688.9577	FAHD1	468.2733
FAHD2A	268.3976	FAHD2A	395.3425
FAHD2B	318.2127	FAHD2B	265.728
FAH	1204.0154	FAH	2823.3595
FAIM2	21.7375	FAIM2	23.8289
FAIM3	334.8509	FAIM3	123.17
FAIM	194.7317	FAIM	288.4737
FAM100A	312.4764	FAM100A	210.8494
FAM100B	1038.267	FAM100B	496.4347
FAM101A	149.1433	FAM101A	9.3871
FAM101B	570.0053	FAM101B	1021.7529
FAM102A	3721.0355	FAM102A	1666.5764
FAM102B	1867.9146	FAM102B	1017.4203
FAM103A1	576.0435	FAM103A1	258.8681
FAM104A	1619.7962	FAM104A	699.778
FAM104B	215.8653	FAM104B	203.9895
FAM105A	732.1307	FAM105A	359.2382
FAM105B	705.2608	FAM105B	443.0003
removed	removed	FAM106A	5.7767
FAM107A	44.6826	FAM107A	1373.4092
FAM107B	1493.5467	FAM107B	2395.8841
FAM108A1	385.5385	FAM108A1	301.8323
FAM108B1	262.0575	FAM108B1	252.7304
FAM108C1	391.8786	FAM108C1	252.3693
FAM109A	320.0242	FAM109A	232.512
FAM109B	299.4943	FAM109B	275.1151
FAM10A4	183.561	FAM10A4	391.01
FAM110A	923.2395	FAM110A	187.3815
FAM110B	67.3258	FAM110B	225.2911
FAM110C	16.3031	FAM110C	7.5819
FAM111A	1362.8198	FAM111A	654.9328
FAM111B	560.948	FAM111B	28.5224
FAM113A	250.5849	FAM113A	424.9481
FAM113B	624.0562	FAM113B	159.5812
FAM114A1	597.781	FAM114A1	909.4684
FAM114A2	361.9896	FAM114A2	556.7289
FAM115A	389.1614	FAM115A	785.2694
FAM115C	552.8055	FAM115C	263.3198
FAM116A	508.1138	FAM116A	749.1651
FAM116B	144.0109	FAM116B	145.1395
FAM117A	256.6231	FAM117A	527.4844
FAM117B	280.7759	FAM117B	381.9839
FAM118A	203.789	FAM118A	241.177
FAM118B	215.5634	FAM118B	322.0507
FAM119A	351.7247	FAM119A	161.0254
FAM119B	233.0742	FAM119B	249.12
FAM120AOS	834.8977	FAM120AOS	1405.3037
FAM120A	3377.9485	FAM120A	3970.9938
FAM120B	604.1211	FAM120B	1075.5483
FAM120C	569.0996	FAM120C	415.561
FAM122A	376.1793	FAM122A	731.474
FAM122B	694.392	FAM122B	556.7289
FAM122C	12.0764	FAM122C	32.4939
FAM123B	156.993	FAM123B	213.3767
FAM124A	25.3604	FAM124A	112.6455
FAM124B	60.3819	FAM124B	133.9471
FAM125A	559.1365	FAM125A	426.7533
FAM125B	386.7462	FAM125B	465.746
FAM126A	262.6613	FAM126A	1036.5556
FAM126B	347.196	FAM126B	506.5439
FAM127A	1217.9032	FAM127A	2045.672
FAM127B	694.0901	FAM127B	765.7731
FAM127C	370.4431	FAM127C	394.9815
FAM128A	470.9789	FAM128A	126.3652
FAM128B	1446.7507	FAM128B	394.2594
FAM129A	777.7191	FAM129A	4038.2706
FAM129B	4575.1377	FAM129B	2261.576
FAM131A	273.2282	FAM131A	274.032
FAM131B	66.4201	FAM131B	67.8762
FAM132A	51.3246	removed	removed
FAM133B	112.0085	FAM133B	89.5388
FAM134A	3732.5081	FAM134A	2705.6594
FAM134B	311.2688	FAM134B	627.8545
FAM134C	3954.1097	FAM134C	1786.0818
FAM135A	139.4822	FAM135A	296.7777
removed	removed	FAM135B	10.4703
FAM136A	1061.816	FAM136A	510.8764
FAM13AOS	9.7607	FAM13AOS	59.5866
FAM13A	141.496	FAM13A	2246.0366
FAM13B	428.6935	FAM13B	1384.8831
FAM13C	46.6179	FAM13C	351.6996
FAM149A	13.284	FAM149A	316.6351
FAM149B1	340.554	FAM149B1	584.5293
removed	removed	FAM150B	8.665
removed	removed	FAM151A	8.1487
FAM151B	28.0776	FAM151B	28.5224
FAM154B	25.9642	FAM154B	49.4629
FAM155A	42.2673	FAM155A	28.5224
FAM155B	51.3246	FAM155B	26.3562
FAM156A	295.8714	FAM156A	531.817
FAM157A	7.2458	FAM157A	5.7767
FAM158A	385.5385	FAM158A	71.1256
FAM159A	12.3783	removed	removed
FAM160A1	41.6635	FAM160A1	130.6977
FAM160A2	424.183	FAM160A2	772.994
FAM160B1	562.4575	FAM160B1	1015.6151
FAM160B2	1269.8317	FAM160B2	1074.4652
FAM161A	43.475	FAM161A	67.1541
FAM161B	86.8835	FAM161B	226.7353
FAM162A	851.0831	FAM162A	693.5644
removed	removed	FAM162B	49.1019
FAM164A	582.3836	FAM164A	222.7638
FAM164C	31.0967	FAM164C	52.7123
FAM165B	212.5443	FAM165B	306.5259
FAM166B	8.1516	FAM166B	27.4393
FAM167A	977.5832	FAM167A	55.6007
FAM167B	87.2519	FAM167B	75.8191
FAM168A	255.4155	FAM168A	347.6848
FAM168B	1194.9581	FAM168B	3660.6192
FAM169A	60.08	FAM169A	80.5127
FAM171A1	198.6565	FAM171A1	1041.6103
FAM171A2	23.8509	FAM171A2	35.3823
FAM171B	271.1148	FAM171B	418.8104
FAM172A	208.3176	FAM172A	767.5783
FAM173A	179.3343	FAM173A	51.6292
FAM173B	311.5707	FAM173B	303.6375
FAM174A	563.9671	FAM174A	211.9325
FAM174B	1315.7219	FAM174B	745.5547
FAM175A	145.457	FAM175A	329.221
FAM175B	409.6913	FAM175B	536.1495
FAM176A	121.0657	FAM176A	61.0163
FAM176B	189.0286	FAM176B	163.1158
FAM177A1	1307.2685	FAM177A1	839.0649
FAM178A	601.102	FAM178A	837.6207
FAM178B	30.7948	FAM178B	15.5249
removed	removed	FAM179A	5.0546
FAM179B	320.3261	FAM179B	699.7021
FAM180A	65.8163	FAM180A	103.2584
removed	removed	FAM180B	65.3489
removed	removed	FAM181B	5.0546
FAM182B	19.6241	FAM182B	19.1353
FAM184A	18.7184	FAM184A	192.4361
FAM184B	5.9748	FAM184B	5.7803
FAM185A	72.4583	FAM185A	105.0636
